source_headword	HY	example_HY
liberation	ազատագրում	Ազատագրումը փոխեց երկրի ապագան։
liberty	ազատություն	Օրենքը պաշտպանում է անձնական ազատությունը։
license	լիցենզավորել	Պետությունը կարող է լիցենզավորել նոր կլինիկաներ։
lifelong	ողջ կյանքի	Նա այնտեղ ողջ կյանքի ընկերներ ձեռք բերեց։
likelihood	հավանականություն	Անձրեւի հավանականությունը մեծացավ։
limb	վերջույթ	Վիրավոր վերջույթը դանդաղ էր ապաքինվում։
linear	գծային	Գծապատկերը ցույց է տալիս գծային միտում։
line-up	կազմ	Փառատոնի կազմում ներառված են տեղական խմբեր։
linger	պահպանվել	Հոտը կարող է ժամերով պահպանվել։
listing	հայտարարություն	Բնակարանի հայտարարությունը ճշգրիտ էր թվում։
literacy	գրագիտություն	Մեծահասակների գրագիտության ծրագրերն ընդլայնվեցին։
liver	լյարդ	Լյարդը զտում է վնասակար նյութերը։
lobby	նախասրահ	Կեսօրից հետո նախասրահը մարդաշատ էր։
log	մատյան	Համակարգը վարում է ամենօրյա մատյան։
logic	տրամաբանություն	Նրա փաստարկի տրամաբանությունը ձախողվեց։
long-standing	վաղեմի	Նրանք լուծեցին վաղեմի վեճը։
long-time	երկարամյա	Նա երկարամյա կամավոր է։
loom	կախվել	Մութ ամպերը կախված են հովտի վրա։
loop	օղակ	Արահետն օղակ է կազմում։
loyalty	հավատարմություն	Նրա հավատարմությունը տպավորեց թիմին։
machinery	սարքավորումներ	Գործարանը տեղադրեց նոր սարքավորումներ։
magical	կախարդական	Այգին գիշերը կախարդական տեսք ուներ։
magistrate	դատավոր	Դատավորը լսեց գործը։
magnetic	մագնիսական	Մագնիսական դաշտն ազդեց կողմնացույցի վրա։
magnitude	մասշտաբ	Վնասի մասշտաբը պարզ էր։
mainland	մայրցամաք	Լաստանավը կղզիները կապում է մայրցամաքին։
mainstream	հիմնական հոսանք	Գաղափարը մտավ հիմնական քաղաքականություն։
maintenance	սպասարկում	Կանոնավոր սպասարկումը կանխում է խափանումները։
mandate	մանդատ	Նախագահը հայտարարեց ուժեղ մանդատի մասին։
mandatory	պարտադիր	Հաճախումը պարտադիր է պրակտիկանտների համար։
manifest	դրսևորվել	Ախտանիշները կարող են դրսևորվել շաբաթներ անց։
manipulate	մանիպուլյացիայի ենթարկել	Մի ենթարկեք հարցման արդյունքները մանիպուլյացիայի։
manipulation	մանիպուլյացիա	Տվյալների մանիպուլյացիան բացահայտվեց։
manuscript	ձեռագիր	Հրատարակիչն ընդունեց նրա ձեռագիրը։
march	երթ	Ցուցարարները երթով կանցնեն քաղաքի կենտրոնով։
marginal	աննշան	Փոփոխությունն աննշան օգուտներ ունեցավ։
marine	ծովային	Ծովային կյանքը մաքուր ջրի կարիք ունի։
marketplace	շուկա	Առցանց շուկան արագորեն ընդլայնվեց։
mask	դիմակ	Աշխատողները պետք է դիմակ կրեն։
massacre	կոտորած	Կոտորածը ցնցեց ողջ տարածաշրջանը։
mathematical	մաթեմատիկական	Մաթեմատիկական մոդելը կանխատեսեց պահանջարկը։
mature	հասուն	Հասուն ծառերը ստվեր են ապահովում։
maximize	առավելագույնի հասցնել	Թարմացումը կառավելագույնի կհասցնի մարտկոցի կյանքը։
meaningful	իմաստալից	Նրանք իմաստալից զրույց ունեցան։
meantime	այդ ընթացքում	Այդ ընթացքում սպասեք դրսում։
medieval	միջնադարյան	Ամրոցն ունի միջնադարյան պատեր։
meditation	մեդիտացիա	Ամենօրյա մեդիտացիան հանգստացնում է նրա միտքը։
melody	մեղեդի	Մեղեդին մնաց իմ գլխում։
memo	ծանուցագիր	Ծանուցագիրը բացատրում էր քաղաքականությունը։
memoir	հուշագրություն	Նրա հուշագրությունը նկարագրում է մանկության աքսորը։
memorial	հուշահամալիր	Հուշահամալիրը հարգանքի տուրք է մատուցում տեղի զինվորներին։
mentor	մենթոր	Նրա մենթորը վերանայեց առաջարկը։
merchant	վաճառական	Վաճառականը մետաքս և համեմունքներ էր վաճառում։
mercy	գթասրտություն	Դատավորը գթասրտություն ցուցաբերեց։
mere	ընդամենը	Ընդամենը մեկ հայացքը բացահայտեց սխալը։
merely	պարզապես	Նա պարզապես կրկնեց հրահանգները։
merge	միաձուլվել	Երկու ընկերությունները կմիաձուլվեն։
merger	միաձուլում	Միաձուլումը ստեղծեց ավելի մեծ բանկ։
merit	արժանիք	Առաջարկն ունի հստակ արժանիքներ։
methodology	մեթոդաբանություն	Ուսումնասիրությունը բացատրում է իր մեթոդաբանությունը։
midst	կենտրոն	Նրանք աշխատում էին քաոսի մեջտեղում։
migration	միգրացիա	Սեզոնային միգրացիան ազդում է տեղական աշխատատեղերի վրա։
militant	զինյալ	Զինյալ խումբը մերժեց բանակցությունները։
militia	աշխարհազոր	Աշխարհազորը վերահսկում էր ճանապարհը։
mill	ջրաղաց	Հին ջրաղացը դարձավ թանգարան։
minimal	նվազագույն	Պլանը պահանջում է նվազագույն ջանք։
minimize	նվազագույնի հասցնել	Մենք պետք է նվազագույնի հասցնենք անհարկի ռիսկը։
mining	հանքարդյունաբերություն	Հանքարդյունաբերությունը վնասեց գետի հովիտը։
ministry	նախարարություն	Նախարարությունը հայտարարեց նոր կանոններ։
minute2	չնչին	Ապակու վրա հայտնվեց չնչին ճեղք։
miracle	հրաշք	Նրա ապաքինումը հրաշք էր թվում։
misery	տառապանք	Փախստականները տարիներ շարունակ տառապանք են կրել։
misleading	ապակողմնորոշիչ	Ապակողմնորոշիչ գծապատկերը շփոթեցրեց ընթերցողներին։
missile	հրթիռ	Հրթիռի փորձարկումը մեծացրեց լարվածությունը։
mob	ամբոխ	Զայրացած ամբոխը արգելափակեց երթևեկությունը։
mobility	շարժունակություն	Ավելի լավ ավտոբուսները բարելավում են քաղաքային շարժունակությունը։
mobilize	համախմբել	Առաջնորդները արագ համախմբում են կամավորներին։
moderate	չափավոր	Թեկնածուն ունի չափավոր հայացքներ։
modification	փոփոխություն	Դիզայնը մեկ փոփոխության կարիք ունի։
momentum	թափ	Քարոզարշավն արագորեն թափ հավաքեց։
monk	վանական	Վանականն ապրում էր լռության մեջ։
monopoly	մենաշնորհ	Ընկերությունն ուներ մենաշնորհ։
morality	բարոյականություն	Դասընթացն ուսումնասիրում է հասարակական բարոյականությունը։
motive	շարժառիթ	Ոստիկանությունը հարցաքննեց նրա շարժառիթը։
motorist	վարորդ	Վարորդը կանգ առավ կարմիր լույսի տակ։
municipal	քաղաքային	Մունիցիպալ ծառայություններն այս տարի բարելավվեցին։
mutual	փոխադարձ	Նրանք հասան փոխադարձ համաձայնության։
namely	մասնավորապես	Մնում է մեկ խնդիր, մասնավորապես՝ ֆինանսավորումը։
nationwide	համազգային	Գործադուլը հանգեցրեց համազգային ուշացումների։
naval	ռազմածովային	Ռազմածովային բազան անցյալ տարի փակվեց։
neglect	անտեսել	Մի անտեսեք հիմնական անվտանգությունը։
neighbouring	հարևան	Հարևան քաղաքները կիսում էին հիվանդանոցը։
nest	բույն	Թռչունը բույն շինեց։
net	զուտ	Զուտ շահույթը կտրուկ աճեց։
newsletter	տեղեկագիր	Տեղեկագիրը ստացվում է ամեն ուրբաթ։
niche	խորշ	Ընկերությունը շահավետ խորշ գտավ։
noble	ազնիվ	Նրա ազնիվ ժեստը տպավորեց բոլորին։
nod	գլխով անել	Խնդրում ենք գլխով անել, եթե հասկանում եք։
nominate	առաջադրել	Նրանք կառաջադրեն նոր նախագահ։
nomination	առաջադրում	Նրա առաջադրումը զարմացրեց հանձնաժողովին։
nominee	թեկնածու	Թեկնածուն պատասխանեց դժվար հարցերին։
nonetheless	այնուամենայնիվ	Այնուամենայնիվ, ծրագիրն առաջ գնաց։
non-profit	շահույթ չհետապնդող	Նա աշխատում է շահույթ չհետապնդող կլինիկայում։
nonsense	անհեթեթություն	Այդ լուրը լիակատար անհեթեթություն է։
noon	կեսօր	Հանդիպումը սկսվում է կեսօրին։
notable	նշանակալի	Զեկույցը նշանակալի առաջընթաց է գրանցել։
notably	հատկապես	Հատկապես ծախսերը նվազեցին մայիսին։
notify	տեղեկացնել	Հեռանալուց առաջ խնդրում ենք տեղեկացնել աշխատակազմին։
notorious	տխրահռչակ	Ճանապարհը տխրահռչակ է վթարներով։
novel	նոր	Նրանք նոր լուծում առաջարկեցին։
nursery	մսուր	Մսուրը խնամում է նորածիններին։
objection	առարկություն	Փաստաբանը առարկություն ներկայացրեց։
oblige	պարտադրել	Կանոնները վարորդներին պարտադրում են կանգ առնել։
obsess	կենտրոնանալ	Մի կենտրոնացեք մանր սխալների վրա։
obsession	տարվածություն	Նրա տարվածությունը վնասեց իր աշխատանքին։
occasional	երբեմնի	Երբեմնի ուշացումներ են սպասվում։
occurrence	դեպք	Նման դեպք հազվադեպ է լինում։
odds	հավանականություն	Հաջողության հավանականությունը մեծացավ։
offering	առաջարկ	Համալսարանն ընդլայնեց իր առաջարկները։
offspring	սերունդ	Աղվեսը պաշտպանեց իր սերնդին։
operational	գործող	Նոր համակարգը գործում է։
opt	ընտրել	Շատ ուսանողներ ընտրում են առցանց դասեր։
optical	օպտիկական	Օպտիկական ոսպնյակը մաքրման կարիք ունի։
optimism	լավատեսություն	Հայտարարությունից հետո լավատեսությունը վերադարձավ։
oral	բանավոր	Բանավոր քննությունը սկսվում է վաղը։
organizational	կազմակերպչական	Կազմակերպչական փոփոխություններն անմիջապես սկսվեցին։
orientation	կողմնորոշում	Սեմինարը վերաբերում էր աշխատակիցների կողմնորոշմանը։
originate	ծագել	Շատ ավանդույթներ ծագում են գյուղերում։
outbreak	բռնկում	Համաճարակի բռնկումը տարածվեց ամբողջ քաղաքում։
outing	զբոսանք	Դասարանը վայելեց թանգարանային զբոսանքը։
outlet	խանութ	Խանութը վաճառում է զեղչված հագուստ։
outlook	հեռանկար	Տնտեսական հեռանկարն անորոշ է մնում։
outrage	վրդովմունք	Որոշումը հանրային վրդովմունք առաջացրեց։
outsider	օտար	Որպես օտար, նա նկատեց խնդիրներ։
overlook	անտեսել	Մի անտեսեք մանրուքները։
overly	չափազանց	Հրահանգները չափազանց բարդ էին։
oversee	վերահսկել	Նա կվերահսկի նախագիծը։
overturn	բեկանել	Դատարանը կարող է բեկանել վճիռը։
overwhelm	ծանրաբեռնել	Չափազանց շատ տեղեկատվությունը կարող է ծանրաբեռնել սովորողներին։
overwhelming	ճնշող	Ապացույցները ճնշող էին։
pad	բարձիկ	Ծնկները պաշտպանելու համար օգտագործեք բարձիկ։
parameter	պարամետր	Միաժամանակ մեկ պարամետր հարմարեցրեք։
parental	ծնողական	Ծնողների աջակցությունը բարելավեց հաճախելիությունը։
parish	ծուխ	Ծուխը կազմակերպեց բարեգործական ընթրիք։
parliamentary	խորհրդարանական	Խորհրդարանական բանավեճը ժամեր տևեց։
partial	մասնակի	Զեկույցը մասնակի պատասխան տվեց։
partially	մասամբ	Պատուհանը մասամբ բաց էր։
passing	մահ	Նրա մահը անսպասելի էր։
passive	պասիվ	Պասիվ ներդրողները ընդունեցին կայուն եկամուտներ։
pastor	հովիվ	Հովիվն այցելեց ընտանիքին։
patch	կարկատան	Բաճկոնը փոքր կարկատանի կարիք ունի։
patent	արտոնագիր	Ընկերությունը հայտ ներկայացրեց արտոնագրի համար։
pathway	ճանապարհ	Ճանապարհը տանում է դեպի հավաստագրում։
patrol	պարեկել	Ոստիկանությունը գիշերը պարեկում է տարածքը։
patron	հովանավոր	Թանգարանը շնորհակալություն հայտնեց իր հովանավորին։
peak	գագաթնակետ	Պահանջարկը հասավ ձմեռային գագաթնակետի։
peasant	գյուղացի	Գյուղացին քիչ հող ուներ։
peculiar	տարօրինակ	Սենյակը տարօրինակ հոտ ուներ։
persist	շարունակվել	Ախտանիշները կարող են պահպանվել օրերով։
persistent	համառ	Շարունակական հազը ուշադրություն է պահանջում։
personnel	անձնակազմ	Անձնակազմի գրառումները գաղտնի են։
petition	խնդրագիր	Խնդրագիրը հազարավոր ստորագրություններ հավաքեց։
philosopher	փիլիսոփա	Փիլիսոփան կասկածի տակ դրեց ընդհանուր ենթադրությունները։
philosophical	փիլիսոփայական	Բանավեճը փիլիսոփայական դարձավ։
physician	բժիշկ	Բժիշկը արյան անալիզներ նշանակեց։
pioneer	ռահվիրա	Նա դարձավ բժշկության ռահվիրա։
pipeline	խողովակաշար	Խողովակաշարը գազ է տեղափոխում ստորգետնյա։
pirate	ծովահեն	Ծովահենների նավը հայտնվեց ափին։
pit	փոս	Բանվորները խորը փոս փորեցին։
plea	աղերս	Նրա օգնության աղերսն անտեսվեց։
plead	մեղավոր ճանաչել	Կասկածյալն իրեն մեղավոր կճանաչի։
pledge	խոստանալ	Նրանք խոստանում են աջակցել բարեփոխումներին։
plug	միացնել	Միացրեք մալուխը վարդակին։
plunge	կտրուկ ընկնել	Գները կարող են կտրուկ ընկնել սկանդալից հետո։
pole	ձող	Դրոշը կախված էր ձողից։
poll	հարցում	Հարցումը ցույց տվեց փոփոխվող կարծիքներ։
pond	լճակ	Բադերը անցան սառած լճակով։
pop	պայթել	Փուչիկները պայթում են սուր առարկաների մոտ։
portfolio	պորտֆել	Նրա պորտֆելը ներառում է մի քանի ստարտափներ։
portray	պատկերել	Ֆիլմը կպատկերի գյուղական կյանքը։
postpone	հետաձգել	Նրանք որոշեցին հետաձգել լսումը։
post-war	հետպատերազմյան	Հետպատերազմյան բնակարանների հրատապ կարիք կար։
practitioner	բժիշկ	Բժիշկը բացատրեց բուժումը։
preach	քարոզել	Քահանան կքարոզի կիրակի օրը։
precedent	նախադեպ	Որոշումը կարևոր նախադեպ ստեղծեց։
precision	ճշգրտություն	Մեքենան կտրում է ճշգրտությամբ։
predator	գիշատիչ	Գիշատիչը սպասում էր գետի մոտ։
predecessor	նախորդ	Նրա նախորդը մանրամասն գրառումներ թողեց։
predominantly	գերազանցապես	Տարածքը գերազանցապես բնակելի է։
pregnancy	հղիություն	Հղիությունը կանոնավոր բժշկական խնամք է պահանջում։
prejudice	նախապաշարմունք	Արշավը դեմ դուրս եկավ ռասայական նախապաշարմունքներին։
preliminary	նախնական	Նախնական արդյունքները խոստումնալից են։
premier	վարչապետ	Վարչապետն այսօր ելույթ ունեցավ խորհրդարանում։
premise	նախադրյալ	Փաստարկը հիմնված է սխալ նախադրյալի վրա։
premium	հավելավճար	Հաճախորդները հավելավճար են վճարել արագության համար։
prescribe	նշանակել	Բժիշկները զգուշորեն են հակաբիոտիկներ նշանակում։
prescription	դեղատոմս	Դեղատոմսի ժամկետը լրանում է հաջորդ ամիս։
presently	ներկայումս	Նա ներկայումս զբաղված է։
preservation	պահպանում	Պահպանումը պաշտպանում է պատմական շենքերը։
preside	նախագահել	Դատավորը կնախագահի դատավարությունը։
presidency	նախագահություն	Նրա նախագահությունը տևեց ութ տարի։
presidential	նախագահական	Նախագահական ընտրությունները գրավեցին ուշադրությունը։
prestigious	հեղինակավոր	Նա շահեց հեղինակավոր կրթաթոշակ։
presumably	ենթադրաբար	Ենթադրաբար, գրասենյակն այսօր փակ է։
presume	ենթադրել	Մենք ենթադրում ենք, որ փաստաթղթերը իսկական են։
prevail	հաղթանակել	Բանականությունը պետք է հաղթանակի։
prevalence	տարածվածություն	Ասթմայի տարածվածությունն աճել է։
prevention	կանխարգելում	Կանխարգելումն ավելի էժան է, քան վերանորոգումը։
