source_headword	JA	example_JA
succession	連続	危機は一連の失敗の後に続いた。
successive	連続する	歴代の政府はその問題を無視した。
successor	後継者	後継者は月曜日に働き始める。
suck	吸う	その機械はホコリを吸い込むことができる。
sue	告訴する	彼女はその会社を訴えることにした。
suicide	自殺	自殺予防には継続的な資金が必要だ。
suite	スイートルーム	ホテルのスイートルームからは川が見下ろせた。
summit	首脳会議	リーダーたちは首脳会議で顔を合わせた。
superb	素晴らしい	そのパフォーマンスは素晴らしかった。
superior	優れた	新しいモデルの方が優れている。
supervise	監督する	彼女は研修生を監督する予定だ。
supervision	監督	子供には大人の監督が必要だ。
supervisor	監督者	まず監督者に聞いてください。
supplement	補足	報告書には補足が含まれている。
supportive	協力的な	彼女の家族は協力的だった。
supposedly	たぶん	そのファイルは削除されたことになっている。
suppress	抑圧する	政権は抗議活動を鎮圧しようとした。
supreme	最高の	最高裁判所がその事件を審理した。
surge	急増	突然の電圧の上昇が設備に損傷を与えた。
surgical	外科の	患者は外科治療を必要としている。
surplus	余剰	倉庫には余剰品がある。
surrender	降伏する	兵士たちは降伏することに同意した。
surveillance	監視	監視カメラが入り口を録画した。
suspension	停学	停学期間は2週間続いた。
suspicion	疑い	彼の行動が疑いを招いた。
suspicious	疑わしい	その小包は怪しげに見えた。
sustain	維持する	そのプロジェクトは地元の雇用を維持できる。
swing	揺れる	ドアが揺れ始めた。
sword	剣	剣が壁に掛かっていた。
symbolic	象徴的な	そのジェスチャーは象徴的だった。
syndrome	症候群	その症候群は記憶に影響を与える。
synthesis	統合	その章は総合的な見解を提供している。
systematic	体系的な	その見直しは体系的だった。
tactic	戦術	その戦術はすぐに失敗した。
tactical	戦術的な	チームは戦術的な変更を行った。
taxpayer	納税者	納税者のお金がその橋の建設資金となった。
tempt	誘惑する	そのオファーは投資家を惹きつけるかもしれない。
tenant	賃借人	借り主は家賃を早めに支払った。
tender	優しい	彼女は優しい笑顔を向けた。
tenure	在職期間	彼の在職期間は6年間続いた。
terminal	末期の	患者は末期の病気にかかっていた。
terminate	終わらせる	会社は契約を打ち切るかもしれない。
terrain	地形	その地形は険しかった。
terrific	素晴らしい	景色は素晴らしかった。
testify	証言する	彼女は証言することに同意した。
testimony	証言	彼の証言は詳細だった。
texture	手触り	その布地はざらざらした手触りだ。
thankfully	ありがたいことに	ありがたいことに、けが人は誰もいなかった。
theatrical	演劇の	そのスピーチは芝居がかって聞こえた。
theology	神学	彼は大学で神学を学んだ。
theoretical	理論上の	そのモデルは純粋に理論上のものだ。
thereafter	その後	その後、規則は変わった。
thereby	それによって	その変更はコストを削減し、それによって雇用を守った。
thoughtful	思いやりのある	彼女の返答は思慮深かった。
thought-provoking	示唆に富む	その記事は考えさせられるものだった。
thread	糸	その糸は簡単に切れた。
threshold	敷居	投票は基準値を超えた。
thrilled	大喜びして	彼女はその知らせに大喜びした。
thrive	繁栄する	中小企業はここで繁栄できる。
tide	潮	潮は急に満ちた。
tighten	締める	蓋をしっかりと締めてください。
timber	木材	その家は地元の木材を使っている。
timely	タイムリーな	その警告はタイムリーだった。
tobacco	タバコ	タバコの売り上げが減少した。
tolerance	寛容	その政策は寛容さを奨励している。
tolerate	許容する	私たちは虐待を容認することはできない。
toll	犠牲者	その嵐は大きな被害をもたらした。
top	上回る	売り上げは昨年の記録を上回るかもしれない。
torture	拷問	その条約は拷問を絶対に禁止している。
