source_headword	MS	example_MS
beloved	disayangi	Guru yang disayangi itu bersara hari ini.
bench	bangku	Mereka duduk di atas bangku kayu.
benchmark	tanda aras	Ujian itu menjadi tanda aras industri.
beneath	di bawah	Dokumen itu berada di bawah fail.
beneficiary	penerima manfaat	Anak lelakinya adalah penerima manfaat utama.
betray	mengkhianati	Jangan mengkhianati kepercayaan rakan anda.
bind	mengikat	Perjanjian itu akan mengikat kedua-dua syarikat.
biography	biografi	Biografinya terjual banyak naskhah.
bishop	uskup	Uskup itu melawat gereja kampung.
bizarre	pelik	Filem itu mempunyai pengakhiran yang pelik.
blade	bilah	Bilah itu memotong tali tersebut.
blast	letupan	Letupan itu memecahkan tingkap berdekatan.
bleed	berdarah	Luka itu mula berdarah dengan banyak.
blend	kisar	Kisar sos sehingga lumat.
bless	memberkati	Paderi akan memberkati rumah itu.
blessing	rahmat	Mendapat sokongan adalah satu rahmat.
boast	bermegah	Dia suka bermegah tentang wang.
bonus	bonus	Pekerja menerima bonus percutian.
boom	ledakan	Bandar itu mengalami ledakan pembinaan.
bounce	melantun	Bola itu boleh melantun sangat tinggi.
boundary	sempadan	Sungai itu menandakan sempadan.
bow1	tunduk hormat	Pelakon itu memberikan tunduk hormat.
breach	pelanggaran	Pelanggaran itu mendedahkan data peribadi.
breakdown	pecahan	Laporan itu merangkumi pecahan kos.
breakthrough	penemuan	Penemuan itu adalah satu kejayaan besar.
breed	membiak	Burung-burung ini membiak pada musim bunga.
broadband	jalur lebar	Pejabat itu memerlukan jalur lebar yang lebih pantas.
browser	pelayar	Kemas kini pelayar anda sebelum log masuk.
brutal	kejam	Serangan itu kejam dan mengejut.
buck	dolar	Harga tiket itu ialah sepuluh dolar.
buddy	rakan	Rakannya menunggu di luar.
buffer	penampan	Pokok-pokok itu mewujudkan penampan bunyi.
bulk	pukal	Mereka membeli beras secara pukal.
burden	beban	Hutang itu menjadi beban yang berat.
bureaucracy	birokrasi	Birokrasi melambatkan permit tersebut.
burial	pengebumian	Pengebumian berlangsung pada waktu subuh.
burst	pecah	Paip itu mungkin pecah di bawah tekanan.
cabinet	kabinet	Kabinet meluluskan pelan itu.
calculation	pengiraan	Pengiraan itu mengambil masa beberapa minit.
canvas	kanvas	Artis itu melukis di atas kanvas yang besar.
capability	keupayaan	Peranti ini mempunyai keupayaan wayarles.
capitalism	kapitalisme	Kapitalisme membentuk ekonomi moden.
capitalist	kapitalis	Sistem kapitalis memberi ganjaran kepada pelaburan swasta.
cargo	kargo	Kapal itu membawa kargo perubatan.
carriage	gerabak	Gerabak kereta api itu hampir kosong.
carve	mengukir	Dia akan mengukir kayu itu dengan berhati-hati.
casino	kasino	Kasino itu dibuka berhampiran hotel.
casualty	korban	Kemalangan itu menyebabkan seorang korban.
catalogue	katalog	Katalog itu menyenaraikan setiap produk.
cater	menyediakan makanan	Restoran itu boleh menyediakan makanan untuk acara besar.
cattle	lembu	Lembu-lembu itu meragut rumput berhampiran sungai.
caution	sikap berhati-hati	Gunakan sikap berhati-hati di jalan yang berais.
cautious	berhati-hati	Pelabur kekal berhati-hati minggu ini.
cease	menghentikan	Kilang itu akan menghentikan pengeluaran tidak lama lagi.
cemetery	tanah perkuburan	Tanah perkuburan itu menghadap ke laut.
chamber	dewan	Dewan itu sunyi semasa pengundian.
chaos	kekacauan	Kelewatan itu menyebabkan kekacauan di lapangan terbang.
characterize	menyifatkan	Pakar menyifatkan pelan itu sebagai berisiko.
charm	pesona	Pekan ini mempunyai pesona dunia lama.
charter	piagam	Piagam itu melindungi hak-hak asas.
chronic	kronik	Dia menderita sakit belakang yang kronik.
chunk	ketul	Potong keju itu menjadi seketul.
circulate	mengedarkan	Sila edarkan agenda hari ini.
circulation	edaran	Edaran surat khabar itu jatuh menjunam.
citizenship	kewarganegaraan	Dia memohon kewarganegaraan Perancis.
civic	sivik	Pemimpin sivik menghadiri mesyuarat tersebut.
civilian	orang awam	Beberapa rumah orang awam rosak.
clarity	kejelasan	Gambar rajah itu menambahkan kejelasan pada laporan tersebut.
clash	pertempuran	Pertempuran itu bermula selepas perarakan.
classification	pengelasan	Pengelasan bergantung pada saiz.
cling	melekat	Pakaian basah melekat pada kulit.
clinical	klinikal	Ujian klinikal bermula bulan depan.
closure	penutupan	Keluarga itu mahukan penutupan selepas kes tersebut.
cluster	gugusan	Gugusan rumah terletak berhampiran.
coalition	gabungan	Gabungan itu kehilangan majoritinya.
coastal	pantai	Kampung-kampung di pantai bersiap sedia untuk menghadapi banjir.
cocktail	koktel	Dia memesan koktel buah.
cognitive	kognitif	Kemahiran kognitif bertambah baik dengan amalan.
coincide	bertepatan	Festival itu akan bertepatan dengan hari graduasi.
collaborate	bekerjasama	Pasukan itu bekerjasama dalam perisian.
collaboration	kerjasama	Kerjasama mereka membuahkan hasil yang memberangsangkan.
collective	kolektif	Keputusan itu adalah usaha kolektif.
collision	pelanggaran	Pelanggaran itu menghalang lebuh raya.
colonial	kolonial	Bangunan ini mempunyai seni bina kolonial.
columnist	kolumnis	Kolumnis itu mengkritik dasar tersebut.
combat	pertempuran	Askar-askar berlatih untuk pertempuran.
commence	bermula	Majlis akan bermula pada waktu tengah hari.
commentary	ulasan	Ulasan perlawanan itu sangat meriah.
commentator	pengulas	Pengulas menerangkan keputusan itu.
commerce	perdagangan	Perdagangan dalam talian berkembang dengan cepat.
commissioner	pesuruhjaya	Pesuruhjaya mengumumkan peraturan baru.
commodity	komoditi	Gandum adalah komoditi yang penting.
communist	komunis	Parti komunis mengadakan mesyuarat.
companion	teman	Anjingnya ialah teman yang setia.
comparable	sebanding	Kedua-dua bandar ini sebanding dari segi saiz.
compassion	belas kasihan	Jururawat itu menunjukkan belas kasihan yang besar.
compel	memaksa	Bukti itu mungkin memaksa satu jawapan.
compelling	meyakinkan	Dokumentari itu membuat hujah yang meyakinkan.
compensate	memberi pampasan	Syarikat akan memberi pampasan kepada pelanggan yang terjejas.
compensation	pampasan	Pekerja menuntut pampasan yang adil.
competence	kecekapan	Ujian ini mengukur kecekapan profesional.
competent	cekap	Dia ialah seorang jurutera yang cekap.
compile	menyusun	Penyelidik menyusun data dari hospital.
complement	melengkapkan	Wain itu akan melengkapkan hidangan tersebut.
complexity	kerumitan	Projek itu mempunyai kerumitan yang tidak dijangka.
compliance	pematuhan	Audit itu memeriksa pematuhan undang-undang.
complication	komplikasi	Pembedahan itu mempunyai satu komplikasi.
comply	mematuhi	Syarikat mesti mematuhi peraturan.
composition	gubahan	Gubahan itu termasuk biola dan piano.
compromise	kompromi	Kompromi itu memuaskan hati kedua-dua belah pihak.
compute	mengira	Program ini boleh mengira jumlahnya.
conceal	menyembunyikan	Dia cuba menyembunyikan kerosakan itu.
concede	mengaku kalah	Menteri enggan mengaku kalah.
conceive	memikirkan	Mereka tidak dapat memikirkan rancangan yang lebih baik.
conception	konsep	Filem itu mengubah konsep saya tentang sejarah.
concession	tolak ansur	Syarikat menawarkan satu tolak ansur.
condemn	mengutuk	Pemimpin mengutuk serangan itu secara terbuka.
confer	memberikan	Anugerah itu akan memberikan prestij.
confession	pengakuan	Pengakuannya mengejutkan mahkamah.
configuration	konfigurasi	Konfigurasi mengawal akses rangkaian.
confine	mengehadkan	Peraturan mengehadkan anjing di kawasan ini.
confirmation	pengesahan	Kami menerima pengesahan melalui e-mel.
confront	berdepan	Dia memutuskan untuk berdepan dengan masalah itu.
confrontation	konfrontasi	Konfrontasi itu berakhir tanpa keganasan.
congratulate	mengucapkan tahniah	Saya menelefon untuk mengucapkan tahniah kepada adik saya.
congregation	jemaah	Jemaah menyanyi bersama-sama.
congressional	kongres	Perbicaraan kongres berlangsung selama berjam-jam.
conquer	menakluki	Pasukan itu berharap dapat menakluki pasaran.
conscience	hati nurani	Hati nuraninya tidak membenarkan penipuan.
consciousness	kesedaran	Kemalangan itu menjejaskan kesedarannya.
consecutive	berturut-turut	Dia memenangi tiga perlawanan berturut-turut.
consensus	konsensus	Jawatankuasa mencapai konsensus dengan cepat.
consent	kebenaran	Kebenaran bertulis diperlukan.
conserve	menjimatkan	Kami menjimatkan air semasa kemarau.
consistency	ketekalan	Ketekalan adalah penting dalam kajian bahasa.
consolidate	menyatukan	Syarikat akan menyatukan dua pejabat.
constituency	kawasan pilihan raya	Calon melawat setiap kawasan pilihan raya.
constitute	membentuk	Wanita membentuk separuh daripada jawatankuasa.
constitution	perlembagaan	Perlembagaan menjamin kebebasan bersuara.
constitutional	perlembagaan	Mahkamah menyemak hak-hak perlembagaan.
constraint	kekangan	Kekangan belanjawan mengehadkan projek tersebut.
consultation	rundingan	Rundingan berlangsung selama dua minggu.
contemplate	merenungkan	Dia berhenti sejenak untuk merenungkan tawaran itu.
contempt	penghinaan	Dia menunjukkan penghinaan terhadap peraturan.
contend	bersaing	Beberapa firma bersaing untuk mendapatkan kontrak.
contender	pesaing	Dia ialah pesaing yang kuat.
content2	berpuas hati	Dia berasa berpuas hati dengan keputusan itu.
contention	pertikaian	Pertikaian utama melibatkan isu dana.
continually	berterusan	Sistem secara berterusan memeriksa ralat.
contractor	kontraktor	Kontraktor membaiki bumbung.
contradiction	percanggahan	Kenyataannya mengandungi percanggahan.
contrary	bertentangan	Bukti yang bertentangan telah mengubah kes.
contributor	penyumbang	Dia ialah penyumbang tetap.
conversion	pertukaran	Pertukaran itu menukar dolar kepada euro.
convict	mensabitkan kesalahan	Juri mungkin mensabitkan kesalahan suspek.
conviction	sabitan	Sabitannya mengejutkan orang awam.
cooperate	bekerjasama	Sila bekerjasama dengan penyiasatan.
cooperative	bekerjasama	Kakitangan memberi kerjasama dan bertenang.
coordinate	menyelaras	Mereka menyelaras penghantaran setiap pagi.
coordination	penyelarasan	Penyelarasan yang baik menjimatkan masa.
coordinator	penyelaras	Penyelaras mengagihkan setiap tugas.
cop	polis	Seorang polis berdiri di luar stesen.
copper	tembaga	Paip itu diperbuat daripada tembaga.
copyright	hak cipta	Imej ini dilindungi oleh hak cipta.
correction	pembetulan	Guru membuat satu pembetulan.
correlate	berkait	Tekanan tinggi boleh berkait dengan penyakit.
correlation	korelasi	Kajian mendapati korelasi yang kuat.
correspond	sepadan	Nombor ini sepadan dengan label.
correspondence	surat-menyurat	Surat-menyurat mereka berlanjutan selama bertahun-tahun.
correspondent	wartawan	Wartawan itu melaporkan dari Kaherah.
corresponding	sepadan	Setiap butang mempunyai lampu yang sepadan.
corrupt	rasuah	Pegawai yang rasuah itu menerima wang.
corruption	rasuah	Rasuah melemahkan kepercayaan orang awam.
costly	merugikan	Kesilapan itu merugikan bagi pasukan tersebut.
councillor	ahli majlis	Ahli majlis menjawab soalan penduduk.
counselling	kaunseling	Dia menerima kaunseling selepas kemalangan itu.
counsellor	kaunselor	Kaunselor membantu pelajar baru.
counter (argue against)	menyangkal	Dia cuba menyangkal hujahnya.
counterpart	rakan sejawatan	Dia bertemu rakan sejawatannya dari Jepun.
countless	tidak terkira banyaknya	Sukarelawan yang tidak terkira banyaknya menyertai pencarian.
coup	rampasan kuasa	Rampasan kuasa menyingkirkan presiden.
courtesy	budi bahasa	Dia berterima kasih atas budi bahasa mereka.
