source_headword	SI	example_SI
instinct	සහජ බුද්ධිය	ඔහුගේ පළමු සහජ බුද්ධිය වූයේ උදව් කිරීමයි.
institutional	ආයතනික	ආයතනික නීති තීරණය හැඩගැස්වීය.
instruct	උපදෙස් දෙනවා	අත්පොත නව කාර්ය මණ්ඩලයට උපදෙස් දෙනු ඇත.
instrumental	උපකාරී වන	ඇගේ උපදෙස් සාකච්ඡා සඳහා උපකාරී විය.
insufficient	ප්‍රමාණවත් නොවන	චෝදනා සඳහා සාක්ෂි ප්‍රමාණවත් නොවීය.
insult	අපහාසය	ඔහුගේ අපහාසය සංවාදය අවසන් කළේය.
intact	නොනැසී පවතින	පැරණි තාප්පය නොනැසී පැවතුනි.
intake	පරිභෝජනය	සීනි පරිභෝජනය මධ්‍යස්ථව පැවතිය යුතුය.
integral	අත්‍යවශ්‍ය	කණ්ඩායමට විශ්වාසය අත්‍යවශ්‍ය වේ.
integrated	ඒකාබද්ධ	පාසල ඒකාබද්ධ සහාය ලබා දෙයි.
integration	ඒකාබද්ධ කිරීම	ඒකාබද්ධ කිරීම සමස්ත පද්ධතියම වැඩිදියුණු කළේය.
integrity	අවංකභාවය	විනිසුරුවරයා විශාල අවංකභාවයක් පෙන්නුම් කළේය.
intensify	තීව්‍ර වෙනවා	කුණාටුව එක රැයකින් තීව්‍ර විය හැකිය.
intensity	තීව්‍රතාවය	පුහුණුවේ තීව්‍රතාවය වැඩි විය.
intensive	දැඩි	ඔවුන් දැඩි භාෂා පුහුණුවක් සම්පූර්ණ කළා.
intent	චේතනාව	ඔහුගේ චේතනාව ඔප්පු කිරීමට අපහසු විය.
interactive	අන්තර්ක්‍රියාකාරී	කෞතුකාගාරයේ අන්තර්ක්‍රියාකාරී ප්‍රදර්ශන ඇත.
interface	අතුරුමුහුණත	අතුරුමුහුණත සැරිසැරීමට පහසුය.
interfere	මැදිහත් වෙනවා	විමර්ශනයට මැදිහත් වෙන්න එපා.
interference	බාධාව	සංඥා බාධාව ඇමතුම කඩාකප්පල් කළේය.
interim	අන්තර්වාර	අන්තර්වාර වාර්තාවක් හෙට පැමිණේ.
interior	අභ්‍යන්තර	අභ්‍යන්තර බිත්ති තීන්ත ආලේප කළ යුතුය.
intermediate	අතරමැදි	ඇය අතරමැදි පන්තියට සම්බන්ධ වූවාය.
intervene	මැදිහත් වෙනවා	පොලිසියට ඉක්මනින් මැදිහත් වීමට සිදු විය.
intervention	මැදිහත් වීම	පූර්ව මැදිහත් වීම රෝගියාට උපකාර විය.
intimate	සමීප	ඔවුන් සමීප පවුලේ උත්සවයක් පැවැත්වූහ.
intriguing	කුතුහලය දනවන	දත්ත මගින් කුතුහලය දනවන රටාවක් අනාවරණය විය.
investigator	විමර්ශකයා	විමර්ශකයා සෑම සාක්ෂිකරුවෙකුම සම්මුඛ පරීක්ෂණයට ලක් කළේය.
invisible	නොපෙනෙන	වායුව නොපෙනෙන සහ භයානක ය.
invoke	ආයාචනා කරනවා	නීතිඥවරයා පූර්වාදර්ශය ආයාචනා කිරීමට උත්සාහ කළේය.
involvement	සම්බන්ධය	ඔහුගේ සම්බන්ධය අපැහැදිලි විය.
ironic	උත්ප්‍රාසාත්මක	උත්ප්‍රාසාත්මක අදහස් දැක්වීම සෑම දෙනාම සිනාස්සුවේය.
ironically	උත්ප්‍රාසාත්මක ලෙස	උත්ප්‍රාසාත්මක ලෙස, එම මාර්ගය වැඩි කාලයක් ගත විය.
irony	උත්ප්‍රාසය	උත්ප්‍රාසය සෑම කෙනෙකුටම පැහැදිලි විය.
irrelevant	අදාළ නොවන	එම විස්තරය මෙහි අදාළ නොවේ.
isolation	හුදකලාව	හුදකලාව මානසික සෞඛ්‍යයට හානි කළ හැකිය.
judicial	අධිකරණ	අධිකරණ සමාලෝචනය සඳුදා ආරම්භ වේ.
junction	මංසන්ධිය	මංසන්ධියෙන් වමට හැරෙන්න.
jurisdiction	අධිකරණ බලය	අධිකරණයට සීමිත අධිකරණ බලයක් ඇත.
just	සාධාරණ	විනිසුරුවරයා සාධාරණ තීරණයක් ගත්තේය.
justification	සාධාරණීකරණය	වියදම් කිරීම සඳහා අපට පැහැදිලි සාධාරණීකරණයක් අවශ්‍ය වේ.
kidnap	පැහැරගෙන යනවා	අපරාධකරුවන් රාජ්‍ය තාන්ත්‍රිකයා පැහැරගෙන යාමට උත්සාහ කළහ.
kidney	වකුගඩුව	ඇගේ වකුගඩු ක්‍රියාකාරිත්වය වැඩිදියුණු විය.
kingdom	රාජධානිය	ඔහුගේ පාලනය යටතේ රාජධානිය පුළුල් විය.
lad	කොලුවා	තරුණ කොලුවා බෑග් රැගෙන ගියේය.
landlord	ඉඩම් හිමියා	ඉඩම් හිමියා උණුසුම් කිරීමේ පද්ධතිය අලුත්වැඩියා කළේය.
landmark	සන්ධිස්ථානය	කුළුණ නගරයේ සන්ධිස්ථානයක් බවට පත් විය.
lap	උකුල	ළමයා ඇගේ උකුලේ වාඩි විය.
large-scale	මහා පරිමාණ	නගරය මහා පරිමාණ අලුත්වැඩියාවන් සැලසුම් කළේය.
laser	ලේසර්	ලේසර් මගින් දුර මනිනු ලැබීය.
latter	දෙවැන්න	දෙවන විකල්පය ආරක්ෂිත බව පෙනේ.
lawn	තණකොළ පිටිය	ළමයින් තණකොළ පිටියේ සෙල්ලම් කළහ.
lawsuit	නඩුව	සමාගම නඩුව සමථයකට පත් කළේය.
layout	පිරිසැලසුම	පිටුවේ පිරිසැලසුම පැහැදිලි බව පෙනේ.
leak	කාන්දුව	නළ කාන්දුවක් කුස්සිය ජලයෙන් යට කළේය.
leap	පිම්ම	විකුණුම්වල හදිසි පිම්මක් ඇති විය.
legacy	උරුමය	ඇගේ උරුමය විශ්ව විද්‍යාලය හැඩගැස්වීය.
legendary	පුරාවෘත්තයක් වූ	පුරාවෘත්තයක් වූ ගායකයා නැවත වේදිකාවට පැමිණියේය.
legislation	නීති සම්පාදනය	නව නීති සම්පාදනය කුලී නිවැසියන් ආරක්ෂා කරයි.
legislative	ව්‍යවස්ථාදායක	ව්‍යවස්ථාදායක කමිටුව අද රැස් විය.
legislature	ව්‍යවස්ථාදායකය	ව්‍යවස්ථාදායකය අයවැය අනුමත කළේය.
legitimate	නීත්‍යානුකූල	ඔවුන් නීත්‍යානුකූල කරුණු මතු කළහ.
lengthy	දීර්ඝ	දීර්ඝ විවාදය ඡන්දය ප්‍රමාද කළේය.
lesbian	සමලිංගික	සමලිංගික ක්‍රියාකාරිනිය සංසදයේදී කතා කළාය.
lesser	අඩු	අඩු අවදානමක් තෝරන්න.
lethal	මාරාන්තික	රසායනිකය මාරාන්තික විය හැකිය.
liable	වගකිව යුතු	හානි සඳහා රියදුරන් වගකිව යුතුය.
liberal	ලිබරල්	ඔහු ලිබරල් සමාජ ප්‍රතිපත්තිවලට සහාය දෙයි.
liberation	විමුක්තිය	විමුක්තිය රටේ අනාගතය වෙනස් කළේය.
liberty	නිදහස	නීතිය පුද්ගලික නිදහස ආරක්ෂා කරයි.
license	බලපත්‍ර දෙනවා	රජය නව සායන සඳහා බලපත්‍ර ලබා දිය හැකිය.
lifelong	ජීවිත කාලය පුරාම	ඇය එහි ජීවිත කාලය පුරාම මිතුරන් ඇති කර ගත්තාය.
likelihood	සම්භාවිතාව	වැසි ඇතිවීමේ සම්භාවිතාව වැඩි විය.
limb	අවයවය	තුවාල වූ අවයවය සෙමින් සුව විය.
linear	රේඛීය	ප්‍රස්ථාරය රේඛීය ප්‍රවණතාවක් පෙන්වයි.
line-up	පෙළගැස්ම	උත්සව පෙළගැස්මට දේශීය සංගීත කණ්ඩායම් ඇතුළත් වේ.
linger	රැඳී සිටිනවා	සුවඳ පැය ගණනක් රැඳී තිබිය හැකියි.
listing	ලැයිස්තුගත කිරීම	මහල් නිවාස ලැයිස්තුගත කිරීම නිවැරදි බව පෙනෙන්නට තිබුණි.
literacy	සාක්ෂරතාවය	වැඩිහිටි සාක්ෂරතා වැඩසටහන් පුළුල් විය.
liver	අක්මාව	අක්මාව හානිකර ද්‍රව්‍ය පෙරයි.
lobby	ආලින්දය	දහවල් කාලයෙන් පසු ආලින්දයේ සෙනඟ ගැවසී සිටියහ.
log	සටහන	පද්ධතිය දිනපතා සටහනක් තබා ගනී.
logic	තර්කය	ඔහුගේ තර්කය අසාර්ථක විය.
long-standing	දීර්ඝ කාලීන	ඔවුන් දීර්ඝ කාලීන ආරවුලක් විසඳා ගත්හ.
long-time	දිගු කාලීන	ඇය දිගු කාලීන ස්වේච්ඡා සේවිකාවකි.
loom	මතු වෙනවා	මිටියාවතට ඉහළින් කළු වලාකුළු මතු වේ.
loop	පුඩුව	මාර්ගය පුඩුවක් සාදයි.
loyalty	පක්ෂපාතීත්වය	ඔහුගේ පක්ෂපාතීත්වය කණ්ඩායම පැහැදීමට ලක් කළේය.
machinery	යන්ත්‍ර සූත්‍ර	කර්මාන්තශාලාව නව යන්ත්‍ර සූත්‍ර සවි කළේය.
magical	ඉන්ද්‍රජාලික	රාත්‍රියට උද්‍යානය ඉන්ද්‍රජාලික බවක් පෙනෙන්නට තිබුණි.
magistrate	මහේස්ත්‍රාත්	මහේස්ත්‍රාත්වරයා නඩුව විභාග කළේය.
magnetic	චුම්බක	චුම්බක ක්ෂේත්‍රය මාලිමාවට බලපෑවේය.
magnitude	විශාලත්වය	හානියේ විශාලත්වය පැහැදිලි විය.
mainland	ප්‍රධාන ගොඩබිම	තොටුපළ දූපත් ප්‍රධාන ගොඩබිමට සම්බන්ධ කරයි.
mainstream	ප්‍රධාන ප්‍රවාහය	මෙම අදහස ප්‍රධාන ප්‍රවාහයේ දේශපාලනයට පිවිසියේය.
maintenance	නඩත්තුව	නිතිපතා නඩත්තු කිරීම බිඳ වැටීම් වළක්වයි.
mandate	ජනවරම	ජනාධිපතිවරයා ශක්තිමත් ජනවරමක් ප්‍රකාශ කළේය.
mandatory	අනිවාර්ය	පුහුණුවන්නන් සඳහා පැමිණීම අනිවාර්ය වේ.
manifest	ප්‍රකාශ වෙනවා	රෝග ලක්ෂණ සති කිහිපයකට පසු ප්‍රකාශ විය හැකිය.
manipulate	හසුරුවනවා	සමීක්ෂණ ප්‍රතිඵල හසුරුවන්න එපා.
manipulation	හැසිරවීම	දත්ත හැසිරවීම සොයා ගන්නා ලදී.
manuscript	අත්පිටපත	ප්‍රකාශකයා ඇයගේ අත්පිටපත පිළිගත්තේය.
march	පෙළපාලි යනවා	විරෝධතාකරුවන් නගර මධ්‍යයට පෙළපාලි යනු ඇත.
marginal	ආන්තික	වෙනස නිසා ලැබුණේ ආන්තික ප්‍රතිලාභ පමණි.
marine	සාගර	සාගර ජීවීන්ට පිරිසිදු ජලය අවශ්‍ය වේ.
marketplace	වෙළඳපොළ	මාර්ගගත වෙළඳපොළ වේගයෙන් පුළුල් විය.
mask	මුහුණු ආවරණය	කම්කරුවන් මුහුණු ආවරණයක් පැළඳිය යුතුය.
massacre	සමූලඝාතනය	සමූලඝාතනය මුළු කලාපයම කම්පනයට පත් කළේය.
mathematical	ගණිතමය	ගණිතමය ආකෘතිය ඉල්ලුම පුරෝකථනය කළේය.
mature	මේරූ	මේරූ ගස් සෙවන ලබා දෙයි.
maximize	උපරිම කරනවා	යාවත්කාලීන කිරීම මගින් බැටරි ආයු කාලය උපරිම කරනු ඇත.
meaningful	අර්ථවත්	ඔවුන්ට අර්ථවත් සංවාදයක් තිබුණි.
meantime	මේ අතරතුර	මේ අතරතුර, පිටත රැඳී සිටින්න.
medieval	මධ්‍යකාලීන	මාලිගාවට මධ්‍යකාලීන බිත්ති ඇත.
meditation	භාවනාව	දිනපතා භාවනාව ඇගේ මනස සන්සුන් කරයි.
melody	තනුව	තනුව මගේ ඔළුවේ රැඳී තිබුණි.
memo	සංදේශය	සංදේශය මගින් ප්‍රතිපත්තිය පැහැදිලි කළේය.
memoir	මතක සටහන්	ඇගේ මතක සටහන් ළමා කාලයේ පිටුවහල් කිරීම ගැන විස්තර කරයි.
memorial	ස්මාරකය	ස්මාරකය ප්‍රාදේශීය සොල්දාදුවන්ට ගෞරව කරයි.
mentor	උපදේශකයා	ඇගේ උපදේශකයා යෝජනාව සමාලෝචනය කළේය.
merchant	වෙළෙන්දා	වෙළෙන්දා සේද සහ කුළුබඩු විකුණුවා.
mercy	අනුකම්පාව	විනිසුරුවරයා අනුකම්පාව දැක්වීය.
mere	හුදු	හුදු බැල්මකින්ම දෝෂය හෙළි විය.
merely	හුදෙක්	ඇය හුදෙක් උපදෙස් නැවත නැවතත් පැවසුවාය.
merge	ඒකාබද්ධ වෙනවා	සමාගම් දෙක ඒකාබද්ධ වනු ඇත.
merger	ඒකාබද්ධ කිරීම	ඒකාබද්ධ කිරීම හරහා විශාල බැංකුවක් නිර්මාණය විය.
merit	කුසලතාව	යෝජනාවට පැහැදිලි කුසලතාවක් ඇත.
methodology	ක්‍රමවේදය	අධ්‍යයනය මගින් එහි ක්‍රමවේදය පැහැදිලි කරයි.
midst	මධ්‍යයේ	ඔවුන් අවුල් වියවුල් මධ්‍යයේ වැඩ කළහ.
migration	සංක්‍රමණය	සෘතුමය සංක්‍රමණය දේශීය රැකියාවලට බලපායි.
militant	සටන්කාමී	සටන්කාමී කණ්ඩායම සාකච්ඡා ප්‍රතික්ෂේප කළේය.
militia	මිලීෂියාව	මිලීෂියාව මාර්ගය පාලනය කළේය.
mill	මෝල	පැරණි මෝල කෞතුකාගාරයක් බවට පත් විය.
minimal	අවම	සැලැස්මට අවම උත්සාහයක් අවශ්‍ය වේ.
minimize	අවම කරනවා	අපි අනවශ්‍ය අවදානම අවම කළ යුතුයි.
mining	පතල් කැණීම	පතල් කැණීම නිසා ගංගා නිම්නයට හානි සිදු විය.
ministry	අමාත්‍යාංශය	අමාත්‍යාංශය නව නීති නිවේදනය කළේය.
minute2	ඉතා කුඩා	වීදුරුවේ ඉතා කුඩා ඉරිතැලීමක් මතු විය.
miracle	ආශ්චර්යය	ඔහුගේ සුවය ලැබීම ආශ්චර්යයක් සේ පෙනුණි.
misery	දුක්ඛිත තත්වය	සරණාගතයින් වසර ගණනාවක් දුක්ඛිත තත්වයකට මුහුණ දුන්හ.
misleading	නොමඟ යවන සුළු	නොමඟ යවන සුළු ප්‍රස්ථාරය පාඨකයන් ව්‍යාකූල කළේය.
missile	මිසයිලය	මිසයිල අත්හදා බැලීම ආතතීන් වැඩි කළේය.
mob	කලහකාරී මැර පිරිස	කෝපයට පත් කලහකාරී මැර පිරිස රථවාහන ගමනාගමනය අවහිර කළහ.
mobility	සංචලතාව	වඩා හොඳ බස් රථ නාගරික සංචලතාව වැඩි දියුණු කරයි.
mobilize	බලමුලු ගන්වනවා	නායකයින් ස්වේච්ඡා සේවකයන් ඉක්මනින් බලමුලු ගන්වයි.
moderate	මධ්‍යස්ථ	අපේක්ෂකයාට මධ්‍යස්ථ අදහස් ඇත.
modification	වෙනස් කිරීම	සැලසුමට එක් වෙනස් කිරීමක් අවශ්‍ය වේ.
momentum	ගම්‍යතාව	ව්‍යාපාරය ඉක්මනින් ගම්‍යතාවක් ලබා ගත්තේය.
monk	භික්ෂුව	භික්ෂුව නිශ්ශබ්දව ජීවත් විය.
monopoly	ඒකාධිකාරය	ආයතනය ඒකාධිකාරයක් පවත්වා ගෙන ගියේය.
morality	සදාචාරය	පාඨමාලාව මගින් පොදු සදාචාරය පරීක්ෂා කරයි.
motive	චේතනාව	පොලිසිය ඔහුගේ චේතනාව ගැන ප්‍රශ්න කළේය.
motorist	මෝටර් රථ රියදුරු	මෝටර් රථ රියදුරා රතු එළියේදී නතර විය.
municipal	නාගරික	මේ වසරේ නාගරික සේවා වැඩිදියුණු විය.
mutual	අන්‍යෝන්‍ය	ඔවුන් අන්‍යෝන්‍ය එකඟතාවකට පැමිණියහ.
namely	එනම්	එක් ගැටලුවක් ඉතිරිව ඇත, එනම් අරමුදල් සැපයීමයි.
nationwide	රටපුරා	වැඩවර්ජනය නිසා රටපුරා ප්‍රමාදයන් සිදු විය.
naval	නාවික	නාවික කඳවුර පසුගිය වසරේ වසා දමන ලදී.
neglect	නොසලකා හරිනවා	මූලික ආරක්ෂාව නොසලකා හරින්න එපා.
neighbouring	අසල්වැසි	අසල්වැසි නගර රෝහල බෙදා ගත්හ.
nest	කූඩුව	කුරුල්ලා කූඩුවක් සෑදුවේය.
net	ශුද්ධ	ශුද්ධ ලාභය තියුනු ලෙස ඉහළ ගියේය.
newsletter	පුවත් පත්‍රිකාව	පුවත් පත්‍රිකාව සෑම සිකුරාදා දිනකම පැමිණේ.
niche	නිශ්චිත කොටස	සමාගම ලාභදායී නිශ්චිත කොටසක් සොයා ගත්තේය.
noble	උතුම්	ඇගේ උතුම් ක්‍රියාව සැමගේ පැසසුමට ලක් විය.
nod	හිස සලනවා	ඔබට තේරෙනවා නම් කරුණාකර හිස සලන්න.
nominate	නාම යෝජනා කරනවා	ඔවුන් නව සභාපතිවරයෙකු නාම යෝජනා කරනු ඇත.
nomination	නාම යෝජනාව	ඇයගේ නාම යෝජනාව කමිටුව පුදුමයට පත් කළේය.
nominee	නාම යෝජිතයා	නාම යෝජිතයා දුෂ්කර ප්‍රශ්නවලට පිළිතුරු දුන්නේය.
nonetheless	එසේ වුවද	එසේ වුවද, සැලැස්ම ඉදිරියට ගියේය.
non-profit	ලාභ නොලබන	ඇය ලාභ නොලබන සායනයක වැඩ කරයි.
nonsense	විකාරය	ඒ කටකතාව සම්පූර්ණ විකාරයකි.
noon	මධ්‍යහ්නය	රැස්වීම මධ්‍යහ්නයේ ආරම්භ වේ.
notable	කැපී පෙනෙන	වාර්තාව මගින් කැපී පෙනෙන ප්‍රගතියක් පෙන්නුම් කළේය.
notably	විශේෂයෙන්ම	විශේෂයෙන්ම, මැයි මාසයේදී පිරිවැය පහත වැටුණි.
notify	දැනුම් දෙනවා	කරුණාකර පිටව යාමට පෙර කාර්ය මණ්ඩලයට දැනුම් දෙන්න.
notorious	කුප්‍රකට	මෙම මාර්ගය අනතුරු සඳහා කුප්‍රකටය.
novel	නව්‍ය	ඔවුන් නව්‍ය විසඳුමක් යෝජනා කළහ.
nursery	ළදරු පාසල	ළදරු පාසල ළදරුවන් ගැන බලා ගනී.
objection	විරෝධතාව	නීතීඥවරයා විරෝධතාවක් මතු කළේය.
oblige	බැඳී සිටිනවා	නීති රීති රියදුරන්ට නතර වීමට බල කරයි.
obsess	උමතු වෙනවා	කුඩා වැරදි සම්බන්ධයෙන් උමතු නොවන්න.
obsession	දැඩි ආශාව	ඔහුගේ දැඩි ආශාව ඔහුගේ කාර්යයට හානි කළේය.
occasional	ඉඳහිට සිදුවන	ඉඳහිට ප්‍රමාදයන් අපේක්ෂා කෙරේ.
occurrence	සිදුවීම	එවැනි සිදුවීමක් දුර්ලභ ය.
odds	සම්භාවිතාව	සාර්ථකත්වයේ සම්භාවිතාව වැඩිදියුණු විය.
offering	ඉදිරිපත් කිරීම	විශ්වවිද්‍යාලය එහි ඉදිරිපත් කිරීම පුළුල් කළේය.
offspring	දරුවන්	නරියා තම දරුවන් ආරක්ෂා කළේය.
operational	ක්‍රියාත්මක වන	නව පද්ධතිය ක්‍රියාත්මක වේ.
opt	තෝරා ගන්නවා	බොහෝ සිසුන් මාර්ගගත පන්ති තෝරා ගනී.
optical	දෘශ්‍ය	දෘශ්‍ය කාචය පිරිසිදු කිරීම අවශ්‍ය වේ.
optimism	ශුභවාදී බව	නිවේදනයෙන් පසු ශුභවාදී බව නැවත පැමිණියේය.
oral	වාචික	වාචික විභාගය හෙට ආරම්භ වේ.
organizational	ආයතනික	ආයතනික වෙනස්කම් වහාම ආරම්භ විය.
orientation	දිශානතිය	වැඩමුළුවට සේවක දිශානතිය ඇතුළත් විය.
originate	ආරම්භ වෙනවා	බොහෝ සම්ප්‍රදායන් ආරම්භ වන්නේ ග්‍රාමීය ගම්මානවලිනි.
outbreak	පැතිරීම	මෙම රෝගය නගරය පුරා පැතිර ගියේය.
outing	විනෝද චාරිකාව	පන්තිය කෞතුකාගාර විනෝද චාරිකාවක් භුක්ති වින්දා.
outlet	අලෙවිසැල	මෙම අලෙවිසැල වට්ටම් සහිත ඇඳුම් විකුණයි.
outlook	ඉදිරි දැක්ම	ආර්ථික ඉදිරි දැක්ම අවිනිශ්චිතව පවතී.
outrage	කෝපය	මෙම තීරණය මහජන කෝපයට හේතු විය.
outsider	පිටස්තරයා	පිටස්තරයෙකු ලෙස ඇය ගැටළු දුටුවාය.
overlook	නොසලකා හරිනවා	සුළු කරුණු නොසලකා හරින්න එපා.
overly	අධික ලෙස	උපදෙස් අධික ලෙස සංකීර්ණ විය.
oversee	අධීක්ෂණය කරනවා	ඇය ව්‍යාපෘතිය අධීක්ෂණය කරනු ඇත.
overturn	අහෝසි කරනවා	උසාවිය විසින් තීන්දුව අහෝසි කරනු ඇත.
overwhelm	යටපත් කරනවා	අධික තොරතුරු ඉගෙන ගන්නන් යටපත් කළ හැකිය.
overwhelming	අතිමහත්	සාක්ෂි අතිමහත් විය.
pad	පෑඩ් එක	දණහිස ආරක්ෂා කිරීම සඳහා පෑඩ් එක භාවිතා කරන්න.
parameter	පරාමිතිය	එකවර එක් පරාමිතියක් සකසන්න.
parental	මාපිය	මාපිය සහයෝගය පැමිණීම වැඩිදියුණු කළේය.
parish	පල්ලිය	පල්ලිය පුණ්‍ය රාත්‍රී භෝජන සංග්‍රහයක් සංවිධානය කළේය.
parliamentary	පාර්ලිමේන්තු	පාර්ලිමේන්තු විවාදය පැය ගණනාවක් පැවතුනි.
partial	අර්ධ	වාර්තාව අර්ධ පිළිතුරක් ලබා දුන්නේය.
partially	අර්ධ වශයෙන්	කවුළුව අර්ධ වශයෙන් විවෘතව තිබුණි.
passing	සමුගැනීම	ඇගේ සමුගැනීම හදිසි විය.
passive	නිෂ්ක්‍රීය	නිෂ්ක්‍රීය ආයෝජකයින් ස්ථාවර ප්‍රතිලාභ පිළිගත්තේය.
pastor	දේවගැති	දේවගැතිවරයා පවුලේ අය බැලීමට ගියේය.
patch	පැච් එක	ජැකට් එක සඳහා කුඩා පැච් එකක් අවශ්‍ය වේ.
patent	පේටන්ට් බලපත්‍රය	සමාගම පේටන්ට් බලපත්‍රයක් ගොනු කළේය.
pathway	මාර්ගය	මාර්ගය සහතික කිරීම සඳහා මග පාදයි.
patrol	මුර සංචාරය	පොලිසිය රාත්‍රියේ ප්‍රදේශයේ මුර සංචාරය කරයි.
patron	අනුග්‍රාහකයා	කෞතුකාගාරය එහි අනුග්‍රාහකයාට ස්තූති කළේය.
peak	උපරිමය	ඉල්ලුම ශීත ඍතුවේ උපරිමයට පැමිණියේය.
peasant	ගොවියා	ගොවියාට හිමි වූයේ කුඩා ඉඩමකි.
peculiar	අමුතු	කාමරයේ අමුතු සුවඳක් තිබුණි.
persist	පවතිනවා	රෝග ලක්ෂණ දින ගණනාවක් පැවතිය හැකිය.
persistent	නොනැසී පවතින	නොනැසී පවතින කැස්සක් සඳහා අවධානය යොමු කළ යුතුය.
personnel	කාර්ය මණ්ඩලය	කාර්ය මණ්ඩල වාර්තා රහස්‍ය වේ.
petition	පෙත්සම	මෙම පෙත්සම සඳහා අත්සන් දහස් ගණනක් එකතු විය.
philosopher	දාර්ශනිකයා	දාර්ශනිකයා පොදු උපකල්පන ප්‍රශ්න කළේය.
philosophical	දාර්ශනික	සාකච්ඡාව දාර්ශනික විය.
physician	වෛද්‍යවරයා	වෛද්‍යවරයා රුධිර පරීක්ෂණ සඳහා නියම කළේය.
pioneer	පුරෝගාමියා	ඇය වෛද්‍ය විද්‍යාවේ පුරෝගාමියෙකු වූවාය.
pipeline	නල මාර්ගය	නල මාර්ගය පොළොව යටින් ගෑස් රැගෙන යයි.
pirate	මුහුදු කොල්ලකරුවා	මුහුදු කොල්ලකරුවන්ගේ නැව වෙරළට ඔබ්බෙන් දර්ශනය විය.
pit	වළ	කම්කරුවන් ගැඹුරු වළක් හෑරුවා.
plea	ආයාචනය	ඔහුගේ උපකාර සඳහා වූ ආයාචනය නොසලකා හරින ලදී.
plead	වරද පිළිගන්නවා	සැකකරු වරද පිළිගනු ඇත.
pledge	ප්‍රතිඥාව	ප්‍රතිසංස්කරණ සඳහා සහාය දෙන බවට ඔවුහු ප්‍රතිඥා දෙති.
plug	සවි කරන්න	කේබලය සොකට් එකට සවි කරන්න.
plunge	කඩා වැටෙනවා	අපකීර්තියෙන් පසු මිල ගණන් කඩා වැටෙනු ඇත.
pole	කණුව	කොඩිය කණුවක එල්ලා තිබුණි.
poll	ඡන්ද විමසීම	ඡන්ද විමසීම මගින් වෙනස් වන අදහස් පෙන්වයි.
pond	පොකුණ	තාරාවන් මිදුණු පොකුණ හරහා ගියහ.
pop	පිපිරෙනවා	තියුණු වස්තූන් අසල බැලූන් පිපිරී යයි.
portfolio	කළඹ	ඇගේ කළඹට නව ව්‍යාපාර කිහිපයක් ඇතුළත් වේ.
portray	නිරූපණය කරනවා	චිත්‍රපටය ග්‍රාමීය ජීවිතය නිරූපණය කරනු ඇත.
postpone	කල් දානවා	නඩු විභාගය කල් දැමීමට ඔවුහු තීරණය කළහ.
post-war	පශ්චාත් යුධ	පශ්චාත් යුධ නිවාස හදිසි අවශ්‍යතාවක් විය.
practitioner	වෘත්තිකයා	වෘත්තිකයා ප්‍රතිකාරය පැහැදිලි කළේය.
preach	දේශනා කරනවා	දේවගැතිවරයා ඉරිදා දේශනා කරනු ඇත.
