simplified	IS	example_IS
地铁	neðanjarðarlest	Ég tek neðanjarðarlestina í vinnuna á hverjum degi.
地图	kort	Ég leita að skólanum á kortinu.
电梯	lyfta	Lyftan er til vinstri.
电子邮件	tölvupóstur	Ég sendi kennaranum tölvupóst.
东	austur	Sólin kemur upp í austri.
冬	vetur	Á veturna finnst mér gott að drekka heitt te.
动物	dýr	Pandan er frægt dýr í Kína.
短	stuttur; stutt; stutt	Þessar buxur eru of stuttar.
段	málsgrein; kafli	Vinsamlegast lestu þessa málsgrein.
锻炼	æfa; stunda líkamsrækt	Ég æfi á hverjum morgni.
多么	hversu; hvað	Hversu gott umhverfið er hér!
饿	svangur; svöng; svangt	Ég er svangur og vil borða brauð.
耳朵	eyra	Eyrað mitt verkjar svolítið.
发	senda; gefa út	Á kvöldin sendi ég tölvupósta.
发烧	vera með hita	Hann er með hita og getur ekki farið í skólann.
发现	uppgötva; finna	Ég uppgötvaði að þessi aðferð er góð.
方便	þægilegur; þægileg; þægilegt	Það er þægilegt að taka neðanjarðarlestina.
放	setja; sleppa	Vinsamlegast settu bókina á borðið.
放心	vera rólegur; hætta að hafa áhyggjur	Ekki hafa áhyggjur, ég kem á réttum tíma.
分	skipta; deila	Vinsamlegast skiptu kökunni milli allra.
复习	rifja upp; upprifjun	Ég þarf að rifja upp fyrir prófið.
附近	nálægt; nágrenni	Það er veitingastaður nálægt.
干净	hreinn; hrein; hreint	Þetta herbergi er mjög hreint.
感冒	vera með kvef; kvef	Ég er með kvef og vil hvíla mig.
感兴趣	hafa áhuga	Ég hef mikinn áhuga á kínversku.
刚才	rétt áðan; fyrir augnabliki	Hver hringdi í þig rétt áðan?
个子	hæð; líkamsvöxtur	Hann er hávaxinn.
根据	samkvæmt; byggt á	Samkvæmt kortinu er skólinn í austri.
跟	með; fylgja	Ég fer í garðinn með vini.
更	meira; enn meira	Í dag er enn kaldara en í gær.
公斤	kílógramm	Þessi epli vega eitt kílógramm.
公园	almenningsgarður	Börnin eru að leika sér í garðinum.
故事	saga	Afi segir mér sögu.
刮风	vera hvasst	Það er hvasst í dag; ekki hjóla.
关	loka; slökkva	Vinsamlegast lokaðu hurðinni.
关系	samband; tengsl	Samband mitt við samstarfsmanninn er gott.
关心	vera annt um; sýna umhyggju	Mömmu er mjög annt um heilsu mína.
关于	um; varðandi	Þessi bók er um kínverska menningu.
国家	land; ríki	Kína er mjög stórt land.
过	reynsluögn; hafa gert áður	Ég hef komið til Peking.
过去	fortíð; áður	Áður var engin neðanjarðarlest hér.
还是	eða; samt	Drekkurðu te eða kaffi?
害怕	vera hræddur; hrædd; hrætt	Ég er ekki hræddur við prófið.
黑板	tafla	Kennarinn skrifar stafi á töfluna.
后来	seinna; síðar	Seinna fórum við í garðinn.
护照	vegabréf	Vinsamlegast taktu vegabréfið með.
96:花	eyða; kosta	Að kaupa símann kostaði tvö þúsund júan.
97:花	blóm	Það er blóm á borðinu.
画	teikna; mynd; málverk	Yngri systir mín hefur gaman af að teikna pöndur.
坏	slæmur; slæm; slæmt; bilaður; biluð; bilað	Tölvan mín bilaði.
欢迎	bjóða velkominn; velkominn	Velkominn heim til mín.
环境	umhverfi; aðstæður	Umhverfi þessa skóla er mjög gott.
还	skila; gefa til baka	Vinsamlegast skilaðu mér bókinni á morgun.
换	skipta; skipta um	Ég vil skipta um skyrtu.
黄河	Gula áin	Gula áin er mjög löng.
回答	svara; svar	Vinsamlegast svaraðu spurningunni minni.
会议	fundur; ráðstefna	Fundurinn byrjar klukkan níu.
或者	eða; kannski	Þú getur tekið neðanjarðarlestina eða strætó.
几乎	næstum; svo til	Hann æfir næstum á hverjum degi.
机会	tækifæri	Þetta er gott tækifæri.
极	afar; mjög	Hún er afar ánægð.
季节	árstíð	Haustið er uppáhaldsárstíðin mín.
记得	muna	Mundu eftir að taka kreditkortið með?
检查	athuga; skoða	Læknirinn skoðar mig.
简单	einfaldur; einföld; einfalt	Þessi setning er mjög einföld.
健康	heilsa; heilbrigður; heilbrigð; heilbrigt	Hreyfing er góð fyrir heilsuna.
见面	hitta; hittast	Við hittumst í skólanum á morgun.
讲	útskýra; tala	Kennarinn útskýrir mjög skýrt.
教	kenna	Hann kennir mér að skrifa kínverska stafi.
脚	fótur	Fóturinn á mér verkjar svolítið.
角	horn; vinkill	Búðin er á götuhorninu.
接	sækja; taka á móti; svara	Ég fer út á flugvöll að sækja vin.
街道	gata	Þessi gata er mjög hrein.
结婚	giftast	Þau giftast á næsta ári.
结束	ljúka; enda	Leiknum er þegar lokið.
节目	þáttur; dagskrárliður	Þessi sjónvarpsþáttur er mjög góður.
节日	hátíð; frídagur	Vorhátíðin er mikilvæg kínversk hátíð.
解决	leysa	Þetta vandamál er þegar leyst.
借	fá lánað; lána	Ég vil fá orðabókina þína lánaða.
经常	oft	Ég fer oft á bókasafnið.
经过	fara framhjá; fara í gegnum; ferli	Ég fer framhjá þessum garði á hverjum degi.
经理	stjóri; framkvæmdastjóri	Stjórinn er á fundi.
久	lengi; langur tími	Ég hef búið hér lengi.
旧	gamall; gömul; gamalt; notaður; notuð; notað	Þessi flík er mjög gömul.
句子	setning	Vinsamlegast skrifaðu eina setningu.
决定	ákveða; ákvörðun	Ég ákvað að læra kínversku.
可爱	sætur; sæt; sætt; yndislegur; yndisleg; yndislegt	Þessi köttur er mjög sætur.
渴	þyrstur; þyrst; þyrst	Ég er þyrstur og vil drekka vatn.
刻	fimmtán mínútur; augnablik	Klukkan er korter gengin í níu.
客人	gestur; viðskiptavinur	Í dag kom gestur heim til okkar.
空调	loftkæling	Vinsamlegast kveiktu á loftkælingunni.
口	munnur; sopi; mæliorð fyrir fólk eða dýr	Hann drakk sopa af vatni.
哭	gráta	Af hverju grætur barnið?
裤子	buxur	Þessar buxur eru nýjar.
筷子	prjónar; matprjónar	Ég kann að borða með matprjónum.
蓝	blár; blá; blátt	Himinninn er blár.
老	gamall; gömul; gamalt; aldraður; öldruð; aldrað	Kennarinn minn er ekki gamall.
离开	fara; yfirgefa	Hann fer frá Peking á morgun.
礼物	gjöf	Þetta er gjöf handa þér.
历史	saga; mannkynssaga	Ég hef gaman af kínverskri sögu.
脸	andlit	Andlitið á henni er mjög rautt.
练习	æfa; æfing	Vinsamlegast æfðu þig meira í að tala kínversku.
辆	mæliorð fyrir farartæki	Það er leigubíll við dyrnar.
聊天	spjalla	Ég spjalla við vin.
了解	skilja; kynnast	Ég vil skilja kínverska menningu.
邻居	nágranni	Nágranni minn er mjög hlýlegur.
留学	stunda nám erlendis	Hún stundar nám erlendis í Kína.
楼	bygging; hæð	Skrifstofan er á þriðju hæð.
绿	grænn; græn; grænt	Á vorin verða trén græn.
马	hestur	Þessi hestur hleypur mjög hratt.
马上	strax	Ég kem strax aftur.
满意	ánægður; ánægð; ánægt	Þetta herbergi er mjög ánægjulegt.
帽子	hattur; húfa	Þessi húfa er mjög falleg.
米	metri; hrísgrjón	Þetta borð er tveir metrar að lengd.
面包	brauð	Ég borða brauð í morgunmat.
明白	skilja; skýr	Ég skil hvað þú átt við.
拿	taka; halda	Vinsamlegast taktu eina bók fyrir mig.
奶奶	amma föðurmegin; amma	Ömmu finnst gaman að hlusta á tónlist.
南	suður	Skólinn er í suðurhluta borgarinnar.
难	erfiður; erfið; erfitt	Þessi spurning er ekki erfið.
难过	leiður; leið; leitt	Hún er svolítið leið í dag.
年级	bekkur; námsár	Yngri systir mín er í þriðja bekk.
年轻	ungur; ung; ungt	Þessi stjóri er mjög ungur.
鸟	fugl	Það er fugl í trénu.
努力	áreynsla; leggja sig fram	Hann lærir mjög duglega.
爬山	ganga á fjall; fjallganga	Um næstu helgi förum við í fjallgöngu.
盘子	diskur; bakki	Það eru þrír diskar á borðinu.
胖	feitur; feit; feitt; þéttvaxinn; þéttvaxin; þéttvaxið	Þessi hundur er svolítið feitur.
啤酒	bjór	Pabbi drekkur ekki bjór.
皮鞋	leðurskór	Þetta par af leðurskóm er dýrt.
瓶子	flaska	Það er vatn í flöskunni.
其实	í raun; reyndar	Í raun líkar mér ekki bjór.
其他	annar; önnur; annað; aðrir	Allir hinir bekkjarfélagarnir eru komnir.
奇怪	undarlegur; undarleg; undarlegt	Þetta hljóð er mjög undarlegt.
骑	hjóla; ríða	Hann hjólar í vinnuna á hverjum degi.
起飞	taka á loft	Flugvélin tekur bráðum á loft.
起来	standa upp; upp; byrja	Vinsamlegast standið upp.
清楚	skýr; skýrlega	Þú talaðir mjög skýrt.
请假	biðja um leyfi	Hann er með kvef og þarf að biðja um leyfi.
秋	haust	Veðrið er notalegt á haustin.
裙子	pils	Þetta pils er mjög fallegt.
然后	síðan; eftir það	Fyrst borða ég, síðan geri ég heimavinnuna.
热情	hlýlegur; hlýleg; hlýlegt; áhugasamur; áhugasöm; áhugasamt	Kínverskir vinir eru mjög hlýlegir.
认为	halda; telja	Ég held að þessi aðferð sé góð.
认真	alvarlegur; alvarleg; alvarlegt; vandvirkur; vandvirk; vandvirkt	Vinsamlegast hlustaðu vandlega á kennarann.
容易	auðveldur; auðveld; auðvelt	Það er auðvelt að skrifa þennan kínverska staf.
如果	ef	Ef það rignir tökum við neðanjarðarlestina.
伞	regnhlíf	Það rignir; vinsamlegast taktu regnhlíf með.
上网	fara á netið	Á kvöldin fer ég á netið til að skoða kortið.
声音	rödd; hljóð	Röddin þín hljómar fallega.
生气	reiður; reið; reitt; verða reiður	Ekki verða reiður; ég gerði þetta ekki viljandi.
世界	heimur	Heimurinn er mjög stór.
试	prófa; reyna	Ég vil máta þetta par af leðurskóm.
瘦	grannur; grönn; grannt	Hann er grennri en áður.
叔叔	föðurbróðir; frændi	Frændi ekur mér í skólann.
舒服	þægilegur; þægileg; þægilegt; líða vel	Þessi stóll er þægilegur.
数学	stærðfræði	Stærðfræðitíminn er áhugaverður.
树	tré	Það er tré fyrir framan húsið.
刷牙	bursta tennurnar	Ég bursta tennurnar á hverjum morgni.
双	par; tvöfaldur; tvöföld; tvöfalt	Ég keypti eitt par af leðurskóm.
水平	stig; færni; mælikvarði	Kínverskukunnátta hans er góð.
司机	bílstjóri	Bílstjórinn bíður eftir okkur við dyrnar.
太阳	sól	Sólin er sterk í dag.
特别	sérstaklega; sérstakur; sérstök; sérstakt	Þessi þáttur er sérstaklega áhugaverður.
疼	verkja; vera sárt	Fóturinn á mér verkjar.
提高	bæta; hækka	Meiri æfing getur bætt kínverskukunnáttuna.
体育	íþróttir; leikfimi	Mér líkar vel við leikfimitíma.
甜	sætur; sæt; sætt	Þessi drykkur er of sætur.
条	mæliorð fyrir langa hluti; stykki	Ég keypti pils.
同事	samstarfsmaður	Samstarfsmaður minn er mjög upptekinn.
同意	samþykkja; vera sammála	Ég er sammála ákvörðun þinni.
头发	hár	Hárið á henni er sítt.
突然	skyndilega; skyndilegur; skyndileg; skyndilegt	Hann fór skyndilega.
图书馆	bókasafn	Bókasafnið er ekki opið í dag.
腿	fótleggur; fótur	Eftir fjallgönguna verkaði mig í fæturna.
完成	ljúka; klára	Ég hef þegar lokið heimavinnunni.
碗	skál	Það eru tvær skálar á borðinu.
万	tíu þúsund; ótal	Í þessari borg búa tíu þúsund manns.
忘记	gleyma	Ekki gleyma að taka vegabréfið með.
为	fyrir; vegna	Ég er glaður þín vegna.
为了	til þess að; vegna	Hann rifjar upp á hverjum degi vegna prófsins.
位	kurteisislegt mæliorð fyrir fólk	Þessi kennari er mjög frægur.
文化	menning	Ég vil skilja kínverska menningu.
西	vestur	Bankinn er vestan við skólann.
习惯	venja; vera vanur	Ég er vanur að æfa á morgnana.
洗手间	salerni	Salernið er til hægri.
洗澡	fara í sturtu; baða sig	Ég fer í sturtu á kvöldin.
夏	sumar	Sumarið er mjög heitt.
先	fyrst; áður	Borðaðu þú fyrst.
相信	trúa	Ég trúi því að hann komi.
香蕉	banani	Ég keypti þrjá banana.
像	líkjast; vera eins og	Þetta ský líkist fugli.
向	í átt að; stefna	Vinsamlegast farðu til vinstri.
小心	fara varlega	Það rignir; farðu varlega á veginum.
校长	skólastjóri	Skólastjórinn er á skrifstofunni.
新闻	fréttir	Pabbi horfir á fréttirnar á hverjum degi.
新鲜	ferskur; fersk; ferskt	Þessir ávextir eru mjög ferskir.
信用卡	kreditkort	Get ég borgað með kreditkorti?
行李箱	ferðataska	Ferðataskan mín er þung.
熊猫	panda	Börnum finnst gaman að horfa á pöndur.
需要	þurfa; þarfnast	Ég þarf hjálp þína.
选择	velja; val	Hvaða skyrtu velurðu?
要求	biðja um; krefjast	Kennarinn biður okkur að gera heimavinnuna vandlega.
爷爷	afi föðurmegin; afi	Afi fer í garðinn á hverjum degi.
一直	alltaf; stöðugt	Hann hefur beðið eftir þér lengi.
一定	örugglega; vissulega	Ég kem örugglega.
一共	samtals	Hvað kosta þessar bækur samtals?
一会儿	stund	Vinsamlegast bíddu eftir mér í smástund.
一样	eins; sama	Þessir tveir bollar eru jafn stórir.
以前	áður	Áður bjó ég í Peking.
一般	venjulegur; venjuleg; venjulegt; meðal	Maturinn á þessum veitingastað er í meðallagi.
一边	ein hlið; á meðan	Hann hlustar á tónlist á meðan hann gerir heimavinnuna.
音乐	tónlist	Mér líkar kínversk tónlist.
银行	banki	Bankinn er við hliðina á stórmarkaðnum.
饮料	drykkur	Þessi drykkur bragðast vel.
应该	ætti; eiga að	Þú ættir að hvíla þig meira.
影响	áhrif; hafa áhrif	Veðrið hefur áhrif á leikinn.
用	nota	Ég nota tölvu til að gera heimavinnuna.
游戏	leikur	Börnin eru að leika sér.
有名	frægur; fræg; frægt	Þessi veitingastaður er mjög frægur.
又	aftur; líka	Hann kom aftur of seint í dag.
遇到	hitta; rekast á	Ég hitti kennarann á götunni.
元	júan; gjaldmiðilseining	Þessi orðabók kostar fimmtíu júan.
愿意	vilja; vera tilbúinn	Ertu tilbúinn að taka þátt?
月亮	tungl	Tunglið er bjart í kvöld.
越	því meira... því meira...	Því meira sem ég læri kínversku, því áhugaverðari verður hún.
站	stöð; standa	Hann stendur við dyrnar.
张	mæliorð fyrir flata hluti; blað	Vinsamlegast réttu mér kort.
长	vaxa	Börn vaxa hratt.
着急	hafa áhyggjur; vera órólegur	Ekki hafa áhyggjur; lyftan kemur bráðum.
照顾	sjá um; annast	Hún annast veika ömmu sína.
照片	ljósmynd	Þessi ljósmynd er falleg.
照相机	myndavél	Ég nota myndavél til að taka myndir.
283:只	aðeins; bara	Ég drekk aðeins einn bolla af tei.
284:只	mæliorð fyrir dýr	Það er köttur undir borðinu.
只有…才…	aðeins ef... þá...	Aðeins ef þú rifjar vandlega upp geturðu gengið vel í prófinu.
中间	miðja; á milli	Borðið er í miðju herberginu.
中文	kínverska; kínverskt ritmál	Ég læri kínversku á hverjum degi.
终于	loksins; að lokum	Loksins komum við á staðinn.
种	tegund; gerð	Hvers konar drykk líkar þér?
重要	mikilvægur; mikilvæg; mikilvægt	Vegabréf er mjög mikilvægt.
周末	helgi	Ég vil fara í garðinn um helgina.
主要	aðal; megin	Aðaláhugamál hans er tónlist.
注意	veita athygli; passa sig	Vinsamlegast veittu kennaranum athygli.
自己	sjálfur; sjálf; sjálft	Ég vil klára heimavinnuna án hjálpar.
自行车	reiðhjól	Reiðhjólið mitt er niðri.
总是	alltaf	Hann kemur alltaf snemma á skrifstofuna.
嘴	munnur	Vinsamlegast opnaðu munninn.
最后	síðastur; síðust; síðast; að lokum	Að lokum vorum við öll sammála.
最近	nýlega; undanfarið	Ég hef haft mikið að gera undanfarið.
作业	heimavinna; verkefni	Ég hef ekki enn lokið heimavinnunni.
