hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
3635:悲剧	悲剧	悲剧	විපත; දුක්ඛදායක සිද්ධිය	මෙම අනතුර දුක්ඛදායක සිද්ධියක් විය.	துயரச் சம்பவம்; சோகம்	இந்த விபத்து ஒரு துயரச் சம்பவமாக இருந்தது.
3636:悲伤	悲伤	悲伤	දුක්බර; ශෝකයෙන් පිරුණු	පුවත ඇසූ පසු ඔහු ඉතා දුක්බර විය.	துயரமான; சோகமான	செய்தியை கேட்ட பிறகு அவர் மிகவும் சோகமாக இருந்தார்.
3638:北美洲	北美洲	北美洲	උතුරු ඇමරිකාව	කැනඩාව උතුරු ඇමරිකාවේ පිහිටා ඇත.	வட அமெரிக்கா	கனடா வட அமெரிக்காவில் அமைந்துள்ளது.
3640:被迫	被迫	被迫	බලකෙරේ; අනිවාර්ය වේ	වැසි අධික නිසා තරගය අවලංගු කිරීමට බල කෙරුණි.	கட்டாயப்படுத்தப்பட	கனமழையால் போட்டி ரத்து செய்ய கட்டாயப்படுத்தப்பட்டது.
3641:背心	背心	背心	අත් නැති බැනියම	ගිම්හානයේදී ඔහු බොහෝ විට අත් නැති බැනියමක් අඳියි.	கை இல்லா மேலங்கி; பனியன்	கோடையில் அவர் அடிக்கடி கை இல்லா பனியன் அணிவார்.
3642:备用	备用	备用	අමතර; උපස්ථ භාවිතයට	කරුණාකර අමතර යතුරක් සූදානම් කරන්න.	மாற்று; காப்புப் பயன்பாட்டிற்கான	தயவுசெய்து ஒரு மாற்றுச் சாவியை தயார் செய்யுங்கள்.
3643:倍增	倍增	倍增	බොහෝ ගුණයකින් වැඩි වේ	මෙම වසරේ ඇණවුම් සංඛ්‍යාව බොහෝ ගුණයකින් වැඩි විය.	பல மடங்கு அதிகரிக்க	இந்த ஆண்டில் ஆர்டர்களின் எண்ணிக்கை பல மடங்கு அதிகரித்தது.
3644:奔跑	奔跑	奔跑	දුවයි	ළමයා ක්‍රීඩා පිටියේ දුවමින් සිටී.	ஓடுதல்	குழந்தை விளையாட்டு மைதானத்தில் ஓடிக்கொண்டிருக்கிறது.
3647:本土	本土	本土	දේශීය; ස්වදේශීය	මෙම සමාගම දේශීය සංස්කෘතිය අගය කරයි.	உள்ளூர்; தாயகத்துக்குரிய	இந்த நிறுவனம் உள்ளூர் பண்பாட்டை மதிக்கிறது.
3648:逼	逼	逼	බල කරයි; තද කරයි	ළමයින් කැමති නැති දේ කිරීමට ඔවුන්ට බල නොකරන්න.	கட்டாயப்படுத்து; அழுத்தம் கொடு	குழந்தைகள் விரும்பாதவற்றை செய்ய அவர்களை கட்டாயப்படுத்தாதீர்கள்.
3651:闭	闭	闭	වසයි	කරුණාකර දොර වසන්න.	மூடு	தயவுசெய்து கதவை மூடுங்கள்.
3652:避	避	避	වළක්වයි; මග හරියි	රිය පැදවීමේදී කාර්යබහුල වේලාව මග හරින්න.	தவிர்	வாகனம் ஓட்டும்போது நெரிசல் நேரத்தைத் தவிர்க்கவும்.
3653:必修	必修	必修	අනිවාර්ය	මෙම පාඨමාලාව පළමු වසරේ විශ්වවිද්‍යාල සිසුන්ට අනිවාර්යය.	கட்டாயமான	இந்த பாடம் முதல் ஆண்டு பல்கலைக்கழக மாணவர்களுக்கு கட்டாயமானது.
3654:编	编	编	සම්පාදනය කරයි; සංස්කරණය කරයි	ඔහු චීන පාඩම් පොතක් සම්පාදනය කරමින් සිටී.	தொகுக்க; திருத்த	அவர் ஒரு சீனப் பாடநூலைத் தொகுத்துக் கொண்டிருக்கிறார்.
3656:编写	编写	编写	සම්පාදනය කර ලියයි	ගුරුවරයා අභ්‍යාස මාලාවක් සම්පාදනය කර ලිවීය.	தொகுத்து எழுத	ஆசிரியர் பயிற்சிகளின் ஒரு தொகுப்பைத் தொகுத்து எழுதினார்.
3657:遍地	遍地	遍地	සෑම තැනම; පුරාම	වසන්තයේදී උද්‍යානය පුරාම මල් ඇත.	எங்கும்; எல்லா இடங்களிலும்	வசந்தத்தில் பூங்கா முழுவதும் மலர்கள் இருக்கும்.
3658:便捷	便捷	便捷	පහසු; ඉක්මන් භාවිතයට සුදුසු	මෙම ගෙවීම් ක්‍රමය ඉතා පහසුය.	வசதியான; எளிதான	இந்த கட்டண முறை மிகவும் வசதியானது.
3660:兵	兵	兵	සෙබළා	මෙම සෙබළා දේශසීමාවේ සේවය කරයි.	சிப்பாய்	இந்த சிப்பாய் எல்லையில் சேவை செய்கிறார்.
3662:播	播	播	විකාශනය කරයි; ප්‍රචාරය කරයි	රූපවාහිනී නාලිකාව අද රාත්‍රියේ මෙම වාර්තා චිත්‍රපටය විකාශනය කරනු ඇත.	ஒளிபரப்ப; ஒலிக்க	தொலைக்காட்சி நிலையம் இன்று இரவு இந்த ஆவணப்படத்தை ஒளிபரப்பும்.
3670:不适	不适	不适	අසනීප බව; අපහසුතාව	ඖෂධය ගත් පසු ඔහුට ශාරීරික අපහසුතාවක් දැනුණි.	அசௌகரியம்; உடல் நலம் சரியில்லாமை	மருந்து எடுத்த பிறகு அவர் உடலில் அசௌகரியம் உணர்ந்தார்.
3671:不至于	不至于	不至于	එතරම් දුරට නොවේ	මෙම කුඩා වැරැද්ද ප්‍රතිඵලයට බලපාන තරම් නොවිය යුතුය.	அந்த அளவுக்கு இல்லை	இந்த சிறிய தவறு முடிவை பாதிக்கும் அளவுக்கு இருக்கக் கூடாது.
3672:补	补	补	එකතු කරයි; අලුත්වැඩියා කරයි	මෙම වාර්තාවට තවත් දත්ත කිහිපයක් එකතු කළ යුතුය.	சேர்க்க; சரிசெய்ய	இந்த அறிக்கைக்கு இன்னும் சில தரவு சேர்க்கப்பட வேண்டும்.
3673:捕	捕	捕	අල්ලා ගනී; අත්අඩංගුවට ගනී	පොලිසිය සැකකරු ඉක්මනින් අල්ලා ගත්තේය.	பிடிக்க; கைது செய்ய	போலீசார் சந்தேக நபரை விரைவாகப் பிடித்தனர்.
3675:补课	补课	补课	මගහැරුණු පාඩම් පිරිමහයි	අසනීප වූ පසු ඔහුට මගහැරුණු පාඩම් පිරිමැසිය යුතුය.	விடுபட்ட பாடங்களை ஈடு செய்ய	நோயுற்ற பிறகு அவர் விடுபட்ட பாடங்களை ஈடு செய்ய வேண்டும்.
3677:补习	补习	补习	අමතර පන්ති යයි; උපකාරක පන්ති ගනී	ඇය සති අන්තයේ අමතර ගණිත පන්ති යයි.	கூடுதல் வகுப்பு எடுக்க; துணைப் பாடம் படிக்க	அவள் வார இறுதிகளில் கூடுதல் கணித வகுப்புகளுக்குச் செல்கிறாள்.
3680:不曾	不曾	不曾	කිසිදා නො; වරක්වත් නො	මම මෙම කාරණය ගැන කිසිදා අසා නැත.	ஒருபோதும் இல்லை; ஒருமுறையும் இல்லை	இந்த விஷயத்தை நான் ஒருபோதும் கேள்விப்பட்டதில்லை.
3681:不成	不成	不成	සාර්ථක නොවේ; කළ නොහැක	මෙලෙස කිරීම සාර්ථක නොවනු ඇතැයි මට බියයි.	செயல்படாது; முடியாது	இவ்வாறு செய்வது செயல்படாது என நான் பயப்படுகிறேன்.
3682:不得	不得	不得	කළ නොහැක; අවසර නැත	පොදු ස්ථානවල දුම් පානයට අවසර නැත.	செய்யக்கூடாது; அனுமதி இல்லை	பொது இடங்களில் புகைபிடிக்க அனுமதி இல்லை.
3683:部队	部队	部队	හමුදා ඒකකය; හමුදාව	මෙම හමුදා ඒකකය කඳුකරයේ පුහුණුව ලබයි.	படையணி; இராணுவ அலகு	இந்த படையணி மலைப்பகுதியில் பயிற்சி பெறுகிறது.
3687:不许	不许	不许	අවසර නැත; නොකළ යුතු	මෙහි වාහන නවතා තැබීමට අවසර නැත.	அனுமதி இல்லை; செய்யக்கூடாது	இங்கு வாகனம் நிறுத்த அனுமதி இல்லை.
3688:不宜	不宜	不宜	සුදුසු නොවේ; කළ යුතු නොවේ	ආහාරයෙන් වහාම පසු ව්‍යායාම කිරීම සුදුසු නොවේ.	பொருத்தமில்லை; செய்யத் தகாது	உணவுக்குப் பிறகு உடனே உடற்பயிற்சி செய்வது பொருத்தமில்லை.
3689:不已	不已	不已	නොනවත්වා; ඉමහත් ලෙස	හොඳ පුවත ඇසූ පසු සියලු දෙනා ඉමහත් ලෙස උද්යෝගිමත් වූහ.	நிற்றாமல்; மிகுந்த அளவில்	நல்ல செய்தியை கேட்ட பிறகு அனைவரும் மிகுந்த உற்சாகமடைந்தனர்.
3693:猜测	猜测	猜测	අනුමාන කරයි; උපකල්පනය කරයි	ඔහු තවමත් සාක්ෂි නැතිව අනුමාන කිරීම පමණක් කරයි.	ஊகிக்க; கணிக்க	அவர் வெறும் ஊகிக்கிறார்; இன்னும் ஆதாரம் இல்லை.
3696:才华	才华	才华	දක්ෂතාව; ප්‍රතිභාව	ඇයට සංගීතයේ විශාල දක්ෂතාවක් ඇත.	திறமை; இயற்கை வரம்	அவளுக்கு இசையில் பெரிய திறமை உள்ளது.
3697:才能	才能	才能	හැකියාව; දක්ෂතාව	මෙම ව්‍යාපෘතියට කළමනාකරණ හැකියාව අවශ්‍ය වේ.	திறன்; திறமை	இந்த திட்டத்திற்கு மேலாண்மை திறன் தேவை.
3699:财物	财物	财物	දේපළ; බඩුබාහිරාදිය	කරුණාකර ඔබගේ පෞද්ගලික බඩුබාහිරාදිය හොඳින් රැක ගන්න.	சொத்து; உடைமைகள்	தயவுசெய்து உங்கள் தனிப்பட்ட உடைமைகளை நன்றாக கவனியுங்கள்.
3700:材质	材质	材质	ද්‍රව්‍යය; ද්‍රව්‍ය ගුණය	මෙම ඇඳුමේ ද්‍රව්‍යය ඉතා සුවපහසුය.	பொருள்; தன்மை	இந்த ஆடையின் பொருள் மிகவும் வசதியானது.
3707:参展	参展	参展	ප්‍රදර්ශනයකට සහභාගි වේ	මෙම වසරේ සමාගම පළමු වරට ප්‍රදර්ශනයකට සහභාගි වේ.	கண்காட்சியில் பங்கேற்க	இந்த ஆண்டு நிறுவனம் முதல் முறையாக கண்காட்சியில் பங்கேற்கிறது.
3710:草原	草原	草原	තෘණ භූමිය	ගිම්හානයේදී තෘණ භූමිය ඉතා ලස්සනය.	புல்வெளி; புல்வெளிப் பரப்பு	கோடையில் புல்வெளி மிகவும் அழகாக இருக்கும்.
3711:侧	侧	侧	පැත්ත	ඔහු මාර්ගයේ වම් පැත්තේ සිටියේය.	பக்கம்	அவர் சாலையின் இடது பக்கத்தில் நின்றார்.
3716:层面	层面	层面	මට්ටම; පැතිකඩ	මෙම ගැටලුව නීතිමය පැතිකඩකින් විශ්ලේෂණය කළ යුතුය.	நிலை; அம்சம்	இந்த பிரச்சினையை சட்ட அம்சத்தில் இருந்து பகுப்பாய்வு செய்ய வேண்டும்.
3717:叉	叉	叉	ෆෝක් එක; කෑම කටුව	වේටර් මට ෆෝක් එකක් දුන්නේය.	முள் கரண்டி	பணியாளர் எனக்கு ஒரு முள் கரண்டி கொடுத்தார்.
3718:差异	差异	差异	වෙනස; අසමානතාව	උතුරු සහ දකුණු දේශගුණ අතර විශාල වෙනසක් ඇත.	வேறுபாடு; மாறுபாடு	வடக்கு மற்றும் தெற்கு காலநிலைகளுக்கு பெரிய வேறுபாடு உள்ளது.
3720:查询	查询	查询	සොයා බලයි; විමසයි	ඔබට ගුවන් ගමන් තොරතුරු අන්තර්ජාලයෙන් සොයා බැලිය හැක.	தேடிப் பார்க்க; விசாரிக்க	நீங்கள் விமானத் தகவலை இணையத்தில் தேடிப் பார்க்கலாம்.
3721:拆除	拆除	拆除	කඩා ඉවත් කරයි	මෙම පැරණි පාලම ලබන මාසයේ කඩා ඉවත් කරනු ඇත.	இடித்து அகற்ற	இந்த பழைய பாலம் அடுத்த மாதம் இடித்து அகற்றப்படும்.
3722:产出	产出	产出	නිපදවයි; ප්‍රතිඵල ලෙස ලබා දෙයි	මෙම ඉඩම සෑම වසරකම ධාන්‍ය බොහෝ ප්‍රමාණයක් නිපදවයි.	உற்பத்தி செய்ய; விளைவிக்க	இந்த நிலம் ஒவ்வொரு ஆண்டும் அதிக தானியத்தை உற்பத்தி செய்கிறது.
3723:产地	产地	产地	නිෂ්පාදන ස්ථානය; උපන් ප්‍රදේශය	මෙම තේ නිෂ්පාදන ස්ථානය යුන්නාන්හි පිහිටා ඇත.	தோற்ற இடம்; உற்பத்தி பகுதி	இந்த தேயிலையின் தோற்ற இடம் யுன்னானில் உள்ளது.
3724:肠	肠	肠	අන්ත්‍රය	වෛද්‍යවරයා ඔහුගේ අන්ත්‍රය පරීක්ෂා කළේය.	குடல்	மருத்துவர் அவரது குடலை பரிசோதித்தார்.
3725:长短	长短	长短	දිග කෙටි බව; දිග වෙනස	මෙම ලණු දෙකේ දිග වෙනස්ය.	நீளம்; நீள வேறுபாடு	இந்த இரண்டு கயிறுகளின் நீளம் வேறுபடுகிறது.
3726:常规	常规	常规	සාමාන්‍ය; නියමිත ක්‍රමයේ	මෙය රෝහලේ සාමාන්‍ය පරීක්ෂණයකි.	வழக்கமான; பொதுவான	இது மருத்துவமனையில் செய்யப்படும் வழக்கமான பரிசோதனை.
3727:常年	常年	常年	වසර පුරා; හැම අවුරුද්දකම	මෙහි කාලගුණය වසර පුරා මෘදුය.	ஆண்டு முழுவதும்	இங்கு காலநிலை ஆண்டு முழுவதும் மிதமாக இருக்கும்.
3728:长寿	长寿	长寿	දීර්ඝායුෂ	සෞඛ්‍ය සම්පන්න ජීවන පුරුදු දීර්ඝායුෂට උපකාරී වේ.	நீண்ட ஆயுள்	ஆரோக்கியமான வாழ்க்கை பழக்கங்கள் நீண்ட ஆயுளுக்கு உதவும்.
3729:常温	常温	常温	කාමර උෂ්ණත්වය; සාමාන්‍ය උෂ්ණත්වය	මෙම ඖෂධය කාමර උෂ්ණත්වයේ ගබඩා කළ හැක.	அறை வெப்பநிலை; சாதாரண வெப்பநிலை	இந்த மருந்தை அறை வெப்பநிலையில் சேமிக்கலாம்.
3730:场次	场次	场次	ප්‍රදර්ශන වාරය; සැසිය	අද ප්‍රදර්ශනයට වාර තුනක් ඇත.	காட்சி நேரம்; அமர்வு	இன்றைய நிகழ்ச்சிக்கு மூன்று காட்சி நேரங்கள் உள்ளன.
3731:场地	场地	场地	ස්ථානය; තරග භූමිය	පාසල තරග ස්ථානය ලබා දුන්නේය.	இடம்; மைதானம்	பள்ளி போட்டி இடத்தை வழங்கியது.
3732:场馆	场馆	场馆	අරංගය; ක්‍රීඩාංගණය	නව අරංගයට විසි දහසක් දෙනා අසුන් ගත හැක.	அரங்கு; விளையாட்டரங்கு	புதிய அரங்கில் இருபது ஆயிரம் பேர் அமர முடியும்.
3734:厂家	厂家	厂家	නිෂ්පාදකයා; කර්මාන්තශාලාව	මෙම නිෂ්පාදකයා අලෙවියෙන් පසු සේවාව සපයයි.	உற்பத்தியாளர்; தொழிற்சாலை	இந்த உற்பத்தியாளர் விற்பனைக்குப் பிந்தைய சேவையை வழங்குகிறார்.
3735:场景	场景	场景	දර්ශනය; තත්ත්වය	චිත්‍රපටයේ මෙම දර්ශනය ඉතා හද කම්පා කරවන සුළුය.	காட்சி; சூழ்நிலை	திரைப்படத்தின் இந்த காட்சி மிகவும் மனதை உருக்கும்.
3737:厂商	厂商	厂商	නිෂ්පාදකයා; සැපයුම්කරු	නිකුත් කිරීමේ උත්සවයට බොහෝ සැපයුම්කරුවන් සහභාගි වූහ.	உற்பத்தியாளர்; விற்பனையாளர்	வெளியீட்டு நிகழ்வில் பல விற்பனையாளர்கள் கலந்து கொண்டனர்.
3746:炒股	炒股	炒股	කොටස් වෙළඳාම කරයි	ඔහු මෑතකදී කොටස් වෙළඳාම ඉගෙන ගැනීමට පටන් ගත්තේය.	பங்குகளை வர்த்தகம் செய்ய	அவர் சமீபத்தில் பங்குகளை வர்த்தகம் செய்வதை கற்கத் தொடங்கினார்.
3748:撤回	撤回	撤回	ආපසු ගනී; ඉල්ලා අස්කර ගනී	සමාගම මෙම අයදුම්පත ආපසු ගත්තේය.	திரும்பப் பெற; வாபஸ் பெற	நிறுவனம் இந்த விண்ணப்பத்தை திரும்பப் பெற்றது.
3752:撑	撑	撑	ආධාර කරයි; විවර කර තබයි	මෙම කුඩය තවදුරටත් විවර කළ නොහැක.	தாங்கு; விரித்து பிடி	இந்த குடையை இனி திறக்க முடியாது.
3755:称作	称作	称作	ලෙස හඳුන්වයි	ජනතාව මෙම ස්ථානය නගර උද්‍යානය ලෙස හඳුන්වති.	என்று அழைக்க	மக்கள் இந்த இடத்தை நகரத் தோட்டம் என்று அழைக்கிறார்கள்.
3756:成	成	成	දහයෙන් එක කොටස; අනුපාතය	මෙම වසරේ ආදායම සියයට තිහකින් වැඩි විය.	பத்தில் ஒரு பங்கு; விகிதம்	இந்த ஆண்டில் வருமானம் முப்பது சதவீதம் அதிகரித்தது.
3763:成千上万	成千上万	成千上万	දහස් ගණනින්; අති විශාල සංඛ්‍යාවක්	දහස් ගණනක් ජනතාව පාගමනට එක් වූහ.	ஆயிரக்கணக்கான	ஆயிரக்கணக்கான மக்கள் பேரணியில் சேர்ந்தனர்.
3766:诚信	诚信	诚信	අවංකභාවය; විශ්වාසනීයත්වය	ව්‍යාපාර කිරීමේදී වැදගත්ම දෙය අවංකභාවයයි.	நேர்மை; நம்பகத்தன்மை	வியாபாரம் செய்வதில் மிக முக்கியமானது நேர்மை.
3768:城镇	城镇	城镇	නගරය; නගරවාස ප්‍රදේශය	මෙම නගරය මුහුදු වෙරළට ආසන්නය.	நகரம்; நகர்ப்புற குடியிருப்பு	இந்த நகரம் கடற்கரைக்கு அருகில் உள்ளது.
3770:持有	持有	持有	දරා සිටී; හිමිකම් දරයි	ඔහු මෙම සමාගමේ කොටස් දරයි.	கையில் வைத்திரு; வைத்திரு	அவர் இந்த நிறுவனத்தின் பங்குகளை வைத்திருக்கிறார்.
3771:尺	尺	尺	චීන දිග මිනුමක්	මෙම රෙදි කැබැල්ල චීන අඩි තුනක් දිගය.	சீ எனப்படும் சீன நீள அளவு	இந்த துணி மூன்று சீ நீளமுள்ளது.
3772:尺寸	尺寸	尺寸	ප්‍රමාණය; මානයන්	කරුණාකර පෙට්ටියේ මානයන් තහවුරු කරන්න.	அளவு; பரிமாணங்கள்	தயவுசெய்து பெட்டியின் பரிமாணங்களை உறுதிப்படுத்துங்கள்.
3778:重建	重建	重建	නැවත ගොඩනඟයි	භූමිකම්පාවෙන් පසු ගම නැවත ගොඩනැඟීමට පටන් ගත්තේය.	மீண்டும் கட்டு	நிலநடுக்கத்துக்குப் பிறகு கிராமம் மீண்டும் கட்டத் தொடங்கியது.
3780:抽奖	抽奖	抽奖	තෑගි ඇදීම; ලොතරැයි ඇදීම	ටිකට් මිලදී ගන්නා අයට තෑගි ඇදීමට සහභාගි විය හැක.	பரிசு சீட்டு எடுப்பு	சீட்டு வாங்குபவர்கள் பரிசு சீட்டு எடுப்பில் சேரலாம்.
3782:愁	愁	愁	කනස්සල්ලට පත් වේ	ඔහු වැඩ ගැන කනස්සල්ලට පත්ව සිටී.	கவலைப்படு	அவர் வேலை குறித்து கவலைப்படுகிறார்.
3785:出场	出场	出场	වේදිකාවට පැමිණේ; පෙනී සිටී	ප්‍රධාන චරිතය අවසානයේ පෙනී සිටියේය.	மேடைக்கு வர; தோன்ற	முக்கிய கதாபாத்திரம் கடைசியாக தோன்றியது.
3786:初等	初等	初等	ප්‍රාථමික; ආරම්භක මට්ටමේ	මෙම පොත ප්‍රාථමික ගණිතය හඳුන්වා දෙයි.	ஆரம்ப நிலை; தொடக்க	இந்த புத்தகம் ஆரம்ப நிலை கணிதத்தை அறிமுகப்படுத்துகிறது.
3787:出境	出境	出境	රටෙන් පිටවෙයි; සීමාවෙන් පිටවෙයි	පිටවීමේ ක්‍රියාවලිය සම්පූර්ණ කිරීමට ගමන් බලපත්‍රයක් අවශ්‍ය වේ.	நாட்டை விட்டு வெளியேறு; எல்லை கடந்துச் செல்	வெளியேறும் நடைமுறைக்கு கடவுச்சீட்டு தேவை.
3788:出力	出力	出力	උත්සාහ දරයි; ශ්‍රමය දායක කරයි	මෙම ව්‍යාපෘතියට උත්සාහ දායක කිරීමට සියලු දෙනා කැමතිය.	முயற்சி செலுத்த; உழைப்பு வழங்க	இந்த திட்டத்திற்கு அனைவரும் முயற்சி செலுத்த விரும்புகிறார்கள்.
3789:出名	出名	出名	ප්‍රසිද්ධ; නමක් ඇති	මෙම කුඩා සාප්පුව පාන් නිසා ප්‍රසිද්ධය.	பிரபலமான; பெயர் பெற்ற	இந்த சிறிய கடை அதன் அப்பத்திற்காக பிரபலமானது.
3790:出入	出入	出入	ඇතුළුවීම සහ පිටවීම	නිවාස ප්‍රදේශයට ඇතුළුවීමට සහ පිටවීමට කාඩ්පත ස්කෑන් කළ යුතුය.	நுழைவும் வெளியேறும்; அணுகல்	குடியிருப்பு பகுதியில் நுழையவும் வெளியேறவும் அட்டை ஸ்கேன் செய்ய வேண்டும்.
3792:出游	出游	出游	සංචාරයට යයි	නිවාඩු කාලයේ බොහෝ පවුල් සංචාරයට යාම තෝරා ගනී.	சுற்றுலா செல்ல	விடுமுறையில் பல குடும்பங்கள் சுற்றுலா செல்லத் தேர்வு செய்கின்றன.
3793:出于	出于	出于	නිසා; මත පදනම්ව	ආරක්ෂාව පිළිබඳ සැලකිල්ල නිසා ඔහු සැලැස්ම අවලංගු කළේය.	காரணமாக; அடிப்படையாக	பாதுகாப்பு கவலை காரணமாக அவர் திட்டத்தை ரத்து செய்தார்.
3797:处罚	处罚	处罚	දඬුවම් කරයි; දඬුවම	නීති විරෝධී වාහන නැවැත්වීමට දඬුවම් ලැබේ.	தண்டனை; தண்டிக்க	சட்டவிரோதமாக வாகனம் நிறுத்தினால் தண்டனை கிடைக்கும்.
3799:处处	处处	处处	සෑම තැනම	මෙම නගරයේ සෑම තැනම කොළ ගස් ඇත.	எங்கும்; எல்லா இடங்களிலும்	இந்த நகரில் எங்கும் பச்சை மரங்கள் உள்ளன.
3800:穿过	穿过	穿过	හරහා ගමන් කරයි	අපි නිහඬ මාවතක් හරහා ගියෙමු.	கடந்து செல்	நாங்கள் அமைதியான பாதையை கடந்து சென்றோம்.
3801:传承	传承	传承	පරම්පරාවෙන් පරම්පරාවට පවරයි; උරුම කර ගනී	මෙම කර්මාන්තය පරම්පරා කිහිපයක් පුරා පවරා ඇත.	பரம்பரையாகக் கடத்த; மரபாகப் பெற	இந்த கைவினை பல தலைமுறைகளாக பரம்பரையாக வந்துள்ளது.
3804:传染病	传染病	传染病	බෝවන රෝගය	වෛද්‍යවරයා සෑම කෙනෙකුටම බෝවන රෝග වැළැක්වීමට මතක් කළේය.	தொற்றுநோய்	மருத்துவர் அனைவரும் தொற்றுநோய்களைத் தடுப்பதை நினைவூட்டினார்.
3806:传输	传输	传输	සම්ප්‍රේෂණය කරයි; මාරු කරයි	පද්ධතිය දත්ත සම්ප්‍රේෂණය කරමින් සිටී.	பரிமாற்று; அனுப்பு	அமைப்பு தரவை பரிமாற்றுகிறது.
3808:船只	船只	船只	නැව්; බෝට්ටු	වරායේ නැව් බොහෝ ගණනක් නවතා ඇත.	கப்பல்கள்; படகுகள்	துறைமுகத்தில் பல கப்பல்கள் நிறுத்தப்பட்டுள்ளன.
3810:窗口	窗口	窗口	කවුළුව; සේවා කවුන්ටරය	කරුණාකර කාර්යය සිදු කිරීමට අංක තුනේ කවුන්ටරයට යන්න.	சாளரம்; சேவை கவுண்டர்	செயல்முறையை செய்ய தயவுசெய்து மூன்றாம் எண் கவுண்டருக்குச் செல்லுங்கள்.
3812:创办	创办	创办	ආරම්භ කරයි; පිහිටුවයි	උපාධිය ලැබීමෙන් පසු ඔහු සමාගමක් ආරම්භ කළේය.	தொடங்கு; நிறுவ	பட்டம் பெற்ற பிறகு அவர் ஒரு நிறுவனத்தைத் தொடங்கினார்.
