source_headword	NE	example_NE
smoke	धुवाँ	धुवाँले कोठा भरियो।
smoking	धूम्रपान	धूम्रपान अनुमति छैन।
soap	साबुन	साबुन र पानी प्रयोग गर।
soccer	फुटबल	यहाँ फुटबल लोकप्रिय छ।
social	सामाजिक	यो सामाजिक कार्यक्रम हो।
society	समाज	समाज समयसँगै बदलिन्छ।
sock	मोजा	एउटा मोजा हराएको छ।
soft	नरम	यो कम्बल नरम छ।
soldier	सैनिक	सैनिक घर फर्कियो।
solution	समाधान	हामीले समाधान भेट्यौँ।
solve	समाधान गर्नु	यो पहेली समाधान गर।
somewhere	कुनै ठाउँ	यसलाई सुरक्षित कुनै ठाउँमा राख।
sort	प्रकार	तिमीलाई कुन प्रकार चाहिन्छ?
source	स्रोत	पहिले स्रोत जाँच।
speaker	वक्ता	वक्ता ठूलो स्वरका थिए।
specific	विशिष्ट	मलाई विशिष्ट उत्तर चाहिन्छ।
speech	भाषण	उनको भाषण छोटो थियो।
speed	गति	यहाँ आफ्नो गति घटाऊ।
spider	माकुरा	भित्तामा माकुरा छ।
spoon	चम्चा	सुपका लागि चम्चा प्रयोग गर।
square	वर्ग	वर्ग बाकस कोर।
stage	मञ्च	ब्यान्ड मञ्चमा छ।
stair	सिँढी	सिँढी बिग्रिएको छ।
stamp	टिकट	पत्रमा टिकट टाँस।
state	बताउनु	आफ्नो नाम स्पष्ट बताऊ।
steal	चोर्नु	पैसा नचोर।
step	कदम	एक कदम अगाडि चाल।
stomach	पेट	मेरो पेट दुख्छ।
stone	ढुङ्गा	ढुङ्गा भारी छ।
store	पसल	पसल चाँडै बन्द हुन्छ।
storm	आँधी	आँधी आउँदै छ।
straight	सिधा	सिधा घर जाऊ।
strange	अनौठो	त्यो आवाज अनौठो छ।
strategy	रणनीति	हामीलाई रणनीति चाहिन्छ।
stress	तनाव	कामले तनाव ल्याउन सक्छ।
structure	संरचना	यो संरचना बलियो छ।
stupid	मूर्ख	त्यो मूर्ख गल्ती थियो।
succeed	सफल हुनु	तिमी यहाँ सफल हुन सक्छौ।
successful	सफल	उनी सफल भइन्।
such	त्यस्तो	त्यस्तो सहयोग उपयोगी हुन्छ।
suddenly	अचानक	अचानक कुकुर भाग्यो।
suggest	सुझाव दिनु	म छोटो विश्राम सुझाव दिन्छु।
suggestion	सुझाव	तिम्रो सुझाव उपयोगी छ।
suit	सुट	यो सुट महँगो छ।
support	समर्थन गर्नु	हामी आफ्नो टोलीलाई समर्थन गर्छौँ।
suppose	ठान्नु	म तिमी सही छौ भनी ठान्छु।
surprise	आश्चर्य	आश्चर्यले उनलाई खुसी बनायो।
surprised	आश्चर्यचकित	उनी आज आश्चर्यचकित थिइन्।
surprising	आश्चर्यजनक	नतिजा आश्चर्यजनक थियो।
survey	सर्वेक्षण	कृपया सर्वेक्षण पूरा गर।
sweet	गुलियो	यो चिया गुलियो छ।
symbol	प्रतीक	यो प्रतीकले खतरा जनाउँछ।
system	प्रणाली	प्रणाली राम्रोसँग काम गर्छ।
tablet	ट्याब्लेट	मेरो ट्याब्लेट डेस्कमा छ।
target	लक्ष्य	लक्ष्य सावधानीपूर्वक हान।
task	कार्य	यो कार्य सजिलो छ।
taste	चाख्नु	पहिले सुप चाख।
teaching	शिक्षण	शिक्षण कठिन काम हो।
technology	प्रविधि	प्रविधि छिटो बदलिन्छ।
teenage	किशोर	मेरो किशोर भाइ मेहनत गर्छ।
temperature	तापक्रम	तापक्रम कम छ।
term	अवधि	यो अवधि चाँडै सकिन्छ।
themselves	आफैँ	उनीहरूले बेलुकाको खाना आफैँ पकाए।
thick	बाक्लो	यो किताब बाक्लो छ।
thief	चोर	चोर भाग्यो।
thin	पातलो	कागज पातलो छ।
thinking	सोचाइ	सोचाइलाई समय लाग्छ।
thought	विचार	मलाई अनौठो विचार आयो।
throw	फ्याँक्नु	बल बिस्तारै फ्याँक।
tidy	सफा	आफ्नो कोठा सफा राख।
tie	बाँध्नु	आफ्नो जुत्ता अहिले बाँध।
tip	टिप	सेवाका लागि टिप छोड।
tool	औजार	सही औजार प्रयोग गर।
top	माथिल्लो भाग	माथिल्लो तख्ता भरिएको छ।
touch	छुनु	गिलास नछोऊ।
tour	भ्रमण	हामीले शहर भ्रमण गर्‍यौँ।
tourism	पर्यटन	पर्यटनले यो शहरलाई मद्दत गर्छ।
towards	तर्फ	स्टेशनतर्फ हिँड।
towel	तौलिया	सफा तौलिया ल्याऊ।
tower	टावर	टावर धेरै पुरानो छ।
toy	खेलौना	खेलौना कार रातो छ।
track	बाटो	बाटो उत्तरतर्फ जान्छ।
tradition	परम्परा	यो परम्परा पुरानो छ।
traditional	परम्परागत	उनले परम्परागत कपडा लगाइन्।
trainer	प्रशिक्षक	मेरो प्रशिक्षक सहयोगी छ।
training	तालिम	तालिम भोलि सुरु हुन्छ।
transport	यातायात	सार्वजनिक यातायात ढिलो छ।
traveller	यात्री	यात्रीले सहयोग माग्यो।
trouble	समस्या	हामीलाई हिजो समस्या भयो।
truck	ट्रक	ट्रक बाहिर छ।
twin	जुम्ल्याहा	मेरी जुम्ल्याहा बहिनी अग्ली छिन्।
typical	सामान्य	यो सामान्य दिन हो।
underground	भूमिगत	रेल भूमिगत चल्छ।
understanding	बुझाइ	तिम्रो बुझाइ सही छ।
unfortunately	दुर्भाग्यवश	दुर्भाग्यवश पसल बन्द छ।
unhappy	नाखुश	ऊ नाखुश देखिन्छ।
uniform	वर्दी	उनले विद्यालयको वर्दी लगाउँछिन्।
unit	एकाइ	यो एकाइ सानो छ।
united	एकताबद्ध	टोली एकताबद्ध रह्यो।
unusual	असामान्य	त्यो आवाज असामान्य छ।
used to modal	पहिले गर्थ्यो	हामी पहिले यहाँ बस्थ्यौँ।
user	प्रयोगकर्ता	प्रत्येक प्रयोगकर्तासँग नम्बर छ।
usual	सामान्य	मैले आफ्नो सामान्य सिट लिएँ।
valley	उपत्यका	उपत्यका हरियो छ।
van	भ्यान	भ्यान भरिएको छ।
variety	विविधता	हामीलाई थप विविधता चाहिन्छ।
vehicle	सवारीसाधन	यो सवारीसाधन ढिलो छ।
view	दृश्य	दृश्य सुन्दर छ।
virus	भाइरस	भाइरसले उसलाई बिरामी बनायो।
voice	आवाज	उनको आवाज शान्त छ।
war	युद्ध	युद्ध धेरै वर्षअघि समाप्त भयो।
washing	धुलाई	धुलाई बाहिर छ।
wave	लहर	लहरले डुङ्गा हान्यो।
weak	कमजोर	मेरा खुट्टा कमजोर लाग्छन्।
web	वेब	वेब पृष्ठ खुलेको छ।
wedding	विवाह	विवाह चाँडै सुरु हुन्छ।
weight	तौल	पहिले तौल जाँच।
wet	भिजेको	मेरा जुत्ता भिजेका छन्।
wheel	पाङ्ग्रा	पाङ्ग्रा बिग्रिएको छ।
while	क्षण	यहाँ एक क्षण पर्ख।
whole	पूरै	मैले पूरै स्याउ खाएँ।
whose	कसको	यो फोन कसको हो?
wide	फराकिलो	सडक फराकिलो छ।
wild	जङ्गली	जङ्गली जनावर यहाँ बस्छन्।
wind1	हावा	हावा बलियो छ।
winner	विजेता	विजेता मुस्कुरायो।
wish	इच्छा	एउटा इच्छा गर।
wood	काठ	कुर्सी काठबाट बनेको छ।
wooden	काठको	काठको बाकस भारी छ।
working	कामकाज	कामकाजको दिन सकियो।
worried	चिन्तित	म आज चिन्तित छु।
worry	चिन्ता गर्नु	अहिले चिन्ता नगर।
worse	झन् खराब	यो दुखाइ झन् खराब छ।
worst	सबैभन्दा खराब	त्यो सबैभन्दा खराब दिन थियो।
wow	वाह	वाह त्यो अद्भुत छ!
yet	अझै	के हामी अझै पुगेका छैनौँ?
yours	तिम्रो	यो किताब तिम्रो हो।
zero	शून्य	शून्यसम्म उल्टो गन।
