simplified	JA	example_JA
弊端	欠点	新しい案は旧制度の欠点を解決しました。
臂	腕	彼の右腕はけがをしました。
闭塞	閉鎖的な; 不便な	この山村は以前、交通がとても不便でした。
编织	編む	祖母はセーターを編んでいます。
边疆	辺境; 国境地帯	多くの兵士が祖国の辺境を守っています。
边界	境界	両国は境界を引き直しました。
边境	国境	国境地域では安全検査が強化されました。
边缘	縁; 端	コップは机の端に置かれています。
鞭策	励ます; 駆り立てる	先生の言葉はずっと私を励ましています。
扁	平たい	この箱は広くて平たいです。
贬低	けなす	他人の努力を軽々しくけなしてはいけません。
贬义	否定的な意味	この言葉はここでは否定的な意味を持っています。
便利	便利な	地下鉄は移動をさらに便利にします。
便条	メモ	彼は机の上にメモを一枚残しました。
便于	しやすい	この設計は高齢者が使いやすいです。
变故	思いがけない不幸	家で突然思いがけない不幸が起こりました。
变迁	変遷	都市の変遷に彼は深く感慨を覚えました。
变质	傷む	牛乳は長く置くと傷みます。
辨认	見分ける	警察は彼に写真の人物を見分けさせました。
辩护	弁護する	弁護士は被告を弁護しました。
辩解	弁解する	彼は自分の過ちを弁解しようとしました。
辩证	弁証法的に	私たちはこの問題を弁証法的に見るべきです。
辫子	三つ編み	小さな女の子は二本の三つ編みをしています。
遍布	全国に広がる	この植物は全国に分布しています。
标本	標本	博物館には動物の標本が展示されています。
标记	印	重要な段落の横に印を付けてください。
标题	タイトル	この記事のタイトルはとても人を引きつけます。
表决	採決する	代表たちは提案について採決します。
表态	立場を表明する	彼はまだ公に立場を表明していません。
表彰	表彰する	会社は優秀な社員を表彰しました。
憋	こらえる	彼は笑いをこらえて、何も言いませんでした。
别墅	別荘	彼らは郊外に別荘を一軒買いました。
别致	しゃれた	このカフェの内装はとてもしゃれています。
别扭	ぎこちない	この文は少しぎこちなく聞こえます。
濒临	瀬戸際にある	この動物は絶滅の瀬戸際にあります。
冰雹	ひょう	昨日の午後、大きなひょうが降りました。
丙	丙; C	丙組の試合は午後に始まります。
并非	決してそうではない	事情はあなたが思うようなものではありません。
并列	同列に並ぶ	この二つのプロジェクトは同率一位です。
剥削	搾取	旧社会には深刻な搾取が存在しました。
拨	ダイヤルする	この電話番号にかけてください。
播种	種をまく	農民は春に種まきを始めます。
波浪	波	海面に大きな波が立ちました。
波涛	大波	船は大波の中を進みました。
伯母	伯母	私は週末に伯母を訪ねます。
博大精深	広く深い	中国文化は広く深いです。
博览会	博覧会	国際博覧会は多くの企業を引きつけました。
搏斗	格闘する	警察は悪者と格闘しました。
薄弱	弱い	彼の文法の基礎は比較的弱いです。
不顾	顧みず	彼は危険を顧みず飛び込みました。
不愧	さすが	彼はさすが経験豊かな専門家です。
不料	思いがけず	思いがけず、会議は突然中止されました。
不像话	ひどい	お客様にそんなふうに接するのはひどすぎます。
不屑一顾	軽蔑して相手にしない	彼はこれらのうわさを軽蔑して相手にしませんでした。
哺乳	授乳する	母親は赤ちゃんに授乳しています。
捕捉	捉える	写真家はすばらしい瞬間を捉えました。
补偿	補償する	会社はあなたの損失を補償します。
补救	補救する	私たちはまだ補救する時間があります。
补贴	補助金	政府は低所得世帯に補助金を支給します。
不得已	やむを得ず	彼はやむを得ず故郷を離れました。
不妨	してみてもよい	まず彼の説明を聞いてみてもよいでしょう。
不敢当	恐縮です	そんなに褒めていただいて、本当に恐縮です。
不禁	思わず	その知らせを聞いて、彼は思わず笑いました。
不堪	耐えられない	ここの騒音は耐えられません。
不可思议	信じられない	この結果は本当に信じられません。
不免	避けられない	初めて舞台に立つので、彼は少し緊張するのも避けられません。
不时	時々	彼は時々顔を上げて時計を見ました。
不惜	惜しまない	人を救うために、彼は危険を冒すことを惜しみませんでした。
不相上下	互角である	二つのチームの実力は互角です。
不言而喻	言うまでもない	正直さの重要性は言うまでもありません。
不由得	思わず	古い写真を見ると、私は思わず子どものころを思い出しました。
不择手段	手段を選ばない	彼は金を稼ぐために手段を選びません。
不止	それ以上	会議に参加した人は百人以上でした。
布告	掲示	学校の門に掲示が一枚貼られました。
布局	間取り; 配置	この部屋の間取りはとても合理的です。
布置	出す; 配置する	先生は新しい宿題を出しました。
步伐	歩調	隊列はそろった歩調で前進しました。
部署	配置する; 展開する	会社は新しい販売計画を展開しています。
部位	部位	医者はけがをした部位を検査しました。
才干	才能	彼女は管理の面でとても才能があります。
裁缝	仕立屋	この仕立屋は腕がとてもよいです。
裁判	審判	審判は試合の一時停止を発表しました。
裁员	人員削減する	会社は赤字のため人員削減を決めました。
财富	富	知識も一種の富です。
财务	財務	財務部門は帳簿を照合しています。
财政	財政	今年は財政収入がいくらか増えました。
彩票	宝くじ	彼は時々宝くじを一枚買います。
采购	調達する	会社は設備を調達するために人を派遣しました。
采集	採集する	研究者は森でサンプルを採集しました。
采纳	採用する	リーダーは私たちの提案を採用しました。
参谋	助言する	彼はよくマネージャーに助言します。
参照	参照する	この形式を参照して表に記入してください。
残疾	障害	この駅は障害のある乗客に支援を提供しています。
残酷	残酷な	戦争は非常に残酷です。
残留	残る	カップにはまだコーヒーのにおいが残っています。
残忍	残忍な	動物を虐待することは残忍な行為です。
灿烂	明るい	彼女は明るい笑顔を見せました。
仓促	慌ただしい	この決定はあまりに慌ただしく下されました。
仓库	倉庫	貨物はすでに倉庫に届けられました。
舱	客室; キャビン	乗客は機内に入っています。
苍白	青白い	彼の顔色はとても青白く見えました。
操劳	苦労して働く	母はこの家のために長年苦労して働きました。
操练	訓練する	兵士たちは毎朝訓練します。
操纵	操作する; 操る	この機械はコンピューターで操作されています。
操作	操作する	説明に従って設備を操作してください。
嘈杂	騒がしい	駅の中はとても騒がしいです。
草案	草案	委員会は草案を議論しています。
草率	軽率な	こんなに重要な決定は軽率であってはいけません。
侧面	側面	側面から見ると、この建物はもっと高く見えます。
测量	測る	技師は橋の長さを測っています。
策划	企画する	彼らは大規模なイベントを企画しました。
策略	戦略	この戦略は会社のコスト削減に役立ちました。
层出不穷	次々に現れる	新しい問題が次々に現れます。
层次	構成; レベル	この文章の構成はとても明確です。
差别	違い	二つの方法には大きな違いはありません。
插座	コンセント	この部屋のコンセントは足りません。
查获	摘発する	税関は偽物の品を一批摘発しました。
刹那	一瞬	一瞬で、すべての明かりが消えました。
岔	分かれる	車は前の交差点で分かれました。
诧异	驚く	彼の決定にみんなとても驚きました。
柴油	ディーゼル燃料	このトラックはディーゼル燃料を使います。
搀	支える	看護師は老人を支えて病室に入りました。
缠绕	絡みつく	つるが枝に絡みついています。
馋	食べたがる	ケーキを見ると、子どもは少し食べたがりました。
产业	産業	観光業はここで重要な産業です。
阐述	詳しく述べる	教授は自分の見解を詳しく述べました。
颤抖	震える	彼女は寒さで全身が震えていました。
昌盛	繁栄する	私たちは国が繁栄することを願っています。
偿还	返済する	彼は期限どおりにローンを返済しました。
尝试	試す	私たちは新しい方法を試すことができます。
场合	場面	このような場面で冗談を言うのはふさわしくありません。
场面	場面	結婚式の場面はとてもにぎやかでした。
场所	場所	ここは公共の場所ですので、喫煙しないでください。
敞开	大きく開ける	窓をしばらく大きく開けてください。
倡导	提唱する	学校は健康的な生活様式を提唱しています。
倡议	提案; イニシアチブ	この環境保護の提案は支持を得ました。
畅通	通じる	雨が止んだ後、道路はまた通じるようになりました。
畅销	よく売れる	この小説はとてもよく売れています。
超越	超える	彼はついに自分の記録を超えました。
钞票	紙幣	財布には紙幣が数枚しか残っていません。
嘲笑	あざ笑う	他人の欠点をあざ笑ってはいけません。
巢穴	巣穴	猟師は動物の巣穴を見つけました。
朝代	王朝	唐は中国史上の一つの王朝です。
潮流	流行	若者はファッションの流行にとても関心があります。
撤退	撤退する	部隊は命令を受けた後、撤退しました。
撤销	取り消す	裁判所は元の判決を取り消しました。
沉淀	沈殿する	泥や砂はゆっくり沈殿します。
沉闷	蒸し暑い; 重苦しい	今日の天気は暑くて蒸し暑いです。
沉思	深く考える	彼は窓辺に座って深く考えていました。
沉重	重い	この知らせでみんなの気持ちは重くなりました。
沉着	落ち着いた	危険に遭ったときは落ち着いていなければなりません。
陈旧	古びた	この機械はすでにかなり古びています。
陈列	展示する	展示ホールには多くの文化財が展示されています。
陈述	述べる	事実をはっきり述べてください。
称心如意	満足のいく	この仕事は彼にとってとても満足のいくものです。
衬托	引き立てる	白い壁が花の色を引き立てています。
称号	称号	彼は優秀教師の称号を得ました。
乘	乗る	私は毎日地下鉄に乗って出勤します。
呈现	現れる	空は淡い赤色を帯びました。
城堡	城	山頂には古い城があります。
惩罚	罰する	学校はカンニングをした学生を罰します。
成本	コスト	原材料の値上がりでコストが上がりました。
成交	取引が成立する	この取引はついに成立しました。
成天	一日中	彼は一日中コンピューターの前に座っています。
成效	効果	新しい管理方法はすぐに効果を示しました。
成心	わざと	彼はわざとあなたを困らせたのではありません。
成员	メンバー	各メンバーは会議に参加しなければなりません。
承办	引き受ける	この会社は展覧会を引き受けました。
承包	請け負う	彼らはこの工事を請け負いました。
承诺	約束する	彼は期限どおりに任務を終えると約束しました。
橙	オレンジ	私は新鮮なオレンジをいくつか買いました。
澄清	明らかにする	マネージャーは出てきて誤解を明らかにしました。
盛	よそう	彼女は客にスープを一杯よそいました。
诚挚	心からの	私の心からの感謝をお受け取りください。
秤	はかり	このはかりはあまり正確ではありません。
吃苦	苦労に耐える	若者は苦労に耐えることを学ぶべきです。
吃力	骨が折れる	この箱を運ぶのはとても骨が折れます。
持久	持続的な	成功には持続的な努力が必要です。
迟钝	鈍い	彼は最近、反応が少し鈍いです。
迟缓	遅い	雨の後、交通は遅くなりました。
迟疑	ためらう	彼女は少しためらってから答えました。
赤道	赤道	赤道付近は一年中暑いです。
赤字	赤字	会社は今年赤字を出しました。
充当	務める	彼はプロジェクトで調整役を務めました。
充沛	満ちあふれた	子どもたちはエネルギーに満ちあふれています。
充实	充実した	この経験は私の生活をより充実させました。
充足	十分な	旅行の前に十分な水を用意してください。
冲动	衝動	一時の衝動で決定してはいけません。
冲击	衝撃を与える	新技術は伝統産業に衝撃を与えました。
冲突	衝突	双方は衝突を避けようと努力しました。
崇拜	崇拝する; 敬慕する	多くの若者がこの科学者を敬慕しています。
崇高	崇高な	医者の職責は崇高です。
崇敬	尊敬する	学生たちは皆この先生をとても尊敬しています。
重叠	重なる	この二つの任務は一部重なっています。
稠密	密集した	ここの人口は非常に密集しています。
筹备	準備する	彼らは結婚式を準備しています。
丑恶	醜い	彼は事件の背後にある醜い真相を暴きました。
出路	道	学びは若者により多くの道を与えます。
出卖	裏切る	彼は友人を裏切りません。
出身	出身	彼は普通の家庭の出身です。
出神	夢中になる	彼女は音楽を夢中になって聞いていました。
出息	将来性	この子は将来有望です。
初步	初歩的な; 暫定的な	私たちはすでに暫定的な合意に達しました。
除	除く	彼を除いて、みんな到着しました。
储备	蓄える	会社はもっと多くの資金を蓄える必要があります。
储存	保存する	これらのデータは自動的に保存されます。
储蓄	貯蓄する	彼は毎月給料の一部を貯蓄しています。
处分	処分	学校は彼に重い処分を下しました。
处境	境遇	彼らの現在の境遇はとても厳しいです。
处置	処理する	これらの古い設備は適切に処理する必要があります。
触犯	違反する	このようにすると法律に違反します。
川流不息	絶え間なく流れる	通りの車は絶え間なく流れています。
穿越	通り抜ける	列車は長いトンネルを通り抜けました。
传达	伝える	この知らせをみんなに伝えてください。
传单	チラシ	ボランティアは街でチラシを配りました。
传授	伝授する	先生は学生に経験を伝授しました。
船舶	船舶	港には多くの船舶が停泊しています。
喘气	息を切らす	彼は走り終えた後、ずっと息を切らしていました。
串	つなぐ	彼女はビーズをつないでネックレスにしました。
床单	シーツ	シーツを替えてください。
创立	創立する	彼らは共同でこの会社を創立しました。
创新	革新する	企業の発展には絶えず革新することが必要です。
创业	起業する	多くの若者が起業を選びます。
创作	創作する	作家は長編小説を創作しています。
吹牛	ほらを吹く	ほらを吹かず、証拠を出してください。
吹捧	持ち上げる	メディアはこの製品を過度に持ち上げました。
炊烟	炊煙	夕方、村に炊煙が立ち上りました。
垂直	垂直な	この二本の線は互いに垂直です。
锤	ハンマー	作業員はハンマーで鉄板をたたきました。
纯粹	純粋に	彼の助けは純粋に善意からでした。
纯洁	純粋な	子どもの心はとても純粋です。
慈善	慈善	この企業はよく慈善活動に参加します。
慈祥	優しい	祖母の笑顔はとても優しいです。
磁带	カセットテープ	この古いカセットテープはまだ再生できます。
雌雄	雌雄	この鳥は雌雄で色が違います。
伺候	世話をする	看護師は患者を丁寧に世話しました。
刺	とげ	バラの枝にはたくさんのとげがあります。
次品	不良品	これらの不良品は販売できません。
次序	順序	順序どおりに並んでください。
丛	茂み	道端に野花の茂みがあります。
从容	落ち着いて	彼女は落ち着いて質問に答えました。
凑合	何とか間に合わせる	部屋は大きくありませんが、何とか住めます。
粗鲁	粗野な	彼の話し方はあまりに粗野です。
窜	さっと逃げ込む	その猫は一瞬で部屋の中へ逃げ込みました。
摧残	荒廃させる	長期の汚染はこの森を荒廃させます。
脆弱	もろい	ガラス製品は非常にもろいです。
搓	こする	彼は冷たい手をこすりました。
磋商	協議する	双方は引き続き協議します。
挫折	挫折	誰でも挫折に出会います。
搭	乗る	私たちはバスに乗って空港へ行きます。
搭档	相棒	彼は長年の仕事上の相棒です。
搭配	組み合わせる	この上着とズボンはよく合います。
答辩	答弁; 口頭試問	大学院生は論文の口頭試問を準備しています。
答复	返事	できるだけ早く返事をください。
达成	達成する	双方はついに合意に達しました。
打包	包む	店員は残り物を包んでくれました。
打官司	訴訟を起こす	彼らは契約問題で訴訟を起こしました。
打击	打撃	今回の失敗は彼に大きな打撃を与えました。
打架	けんかする	キャンパスでけんかをした学生は処分されます。
打量	じろじろ見る	彼女は私を上から下までじろじろ見ました。
打猎	狩りをする	ここでは狩りが禁止されています。
打仗	戦争する	誰も戦争したくありません。
大不了	最悪でも	最悪でも、私たちは明日もう一度試します。
大臣	大臣	王は数人の大臣を召し出しました。
大伙儿	みんな	みんなあなたの決定を待っています。
大肆	大々的に	商人は新製品を大々的に宣伝しました。
大体	だいたい	計画はだいたい問題ありません。
大意	大意	まずこの文章の大意を話してください。
大致	おおよそ	私は事情の経過をおおよそ理解しました。
歹徒	悪者	警察はすぐに悪者を捕まえました。
代价	代償	成功にはしばしば代償を払う必要があります。
代理	代理する	彼は一時的にマネージャーの仕事を代理しています。
带领	率いる	先生は学生を率いて博物館を見学しました。
怠慢	怠る	私たちは客への対応を怠ってはいけません。
逮捕	逮捕する	警察は主な容疑者を逮捕しました。
担保	保証する	銀行は誰かに保証してもらうことを求めています。
胆怯	臆病な	初めての演説のとき、彼は少し臆病でした。
淡季	閑散期	観光の閑散期は航空券が比較的安いです。
淡水	淡水	この魚は淡水でしか生きられません。
蛋白质	タンパク質	卵には豊富なタンパク質が含まれています。
诞辰	誕生日	今日はこの作家の誕生日です。
诞生	生まれる	この考えは議論の中で生まれました。
当场	その場で	彼はその場で過ちを認めました。
当初	当初	当初、私たちはみなこの決定を支持していました。
当代	現代	現代社会は変化がとても速いです。
当面	面と向かって	問題があれば面と向かってはっきり話すのが一番です。
当前	現在	現在最も重要なのは安全を確保することです。
当事人	当事者	警察は当事者に質問しています。
当务之急	最優先事項	住宅問題を解決することが最優先事項です。
当选	当選する	彼女は順調に議長に当選しました。
党	党	この党は新しい政策を提案しました。
档案	記録; ファイル	学校は学生の記録を保存しました。
档次	等級	このホテルは等級が高いです。
倒闭	倒産する	その小さな店は去年倒産しました。
导弹	ミサイル	ニュースはミサイル実験を報道しました。
导航	ナビ	スマートフォンのナビを開いてください。
导向	方向づけ	教育政策は公平を方向づけとすべきです。
捣乱	邪魔をする	授業中に邪魔をしないでください。
盗窃	盗む	ショッピングモールは盗難防止の措置を強化しました。
稻谷	稲	農民は稲を収穫しています。
得不偿失	割に合わない	お金を節約するために粗悪な材料を買うのは割に合いません。
得力	有能な	彼はマネージャーのそばにいる有能な助手です。
得天独厚	恵まれた	この都市には恵まれた地理的優位があります。
得罪	怒らせる	私は小さなことで同僚を怒らせたくありません。
灯笼	灯籠	春節には入口に赤い灯籠が掛かっています。
登录	ログインする	まず自分のアカウントにログインしてください。
登陆	上陸する	台風は今夜、沿岸地域に上陸する可能性があります。
蹬	踏み込む	彼が強く踏み込むと、自転車が動きました。
等候	待つ	乗客はホールで搭乗を待っています。
等级	等級	このソフトには異なる会員等級があります。
瞪	にらむ	彼は怒って私をにらみました。
堤坝	堤防	大雨の後、堤防は詳しく点検する必要があります。
敌视	敵視する	私たちは異なる意見を敵視すべきではありません。
抵达	到着する	飛行機は定刻どおり北京に到着しました。
抵抗	抵抗する	村人たちは一緒に洪水に抵抗しました。
抵制	ボイコットする	消費者は粗悪品をボイコットし始めました。
地步	程度	事態はまだそこまで深刻になっていません。
地势	地勢	ここは地勢が高く、水がたまりにくいです。
地质	地質	専門家は現地の地質状況を調査しています。
递增	徐々に増える	売上は三か月連続で増えました。
颠簸	揺れる	山道はとても揺れるので、運転には注意が必要です。
颠倒	逆にする	あなたは二つの数字の順序を逆にしました。
典礼	式典	卒業式は講堂で行われます。
典型	典型	これは典型的な成功例です。
点缀	飾る	数輪の小さな花が食卓を飾っています。
垫	敷く	この紙をコップの下に敷いてください。
奠定	基礎を築く	今回の協力は長期的な関係の基礎を築きました。
惦记	気にかける	母は遠くにいる子どもをずっと気にかけています。
电源	電源	出かける前に電源を切ってください。
叼	口にくわえる	その犬は骨を一本口にくわえています。
雕刻	彫る	彼は木に模様を彫るのが好きです。
雕塑	彫刻	広場の中央に彫刻があります。
吊	つり上げる	作業員は機械で鋼材をつり上げました。
调动	異動させる	会社は彼を上海勤務に異動させました。
跌	下がる	株価は今日また下がりました。
丁	さいの目	レシピにはジャガイモをさいの目に切ると書いてあります。
叮嘱	何度も言い聞かせる	先生は私たちに安全に注意するよう何度も言い聞かせました。
盯	じっと見る	人をずっとじっと見ないでください。
定期	定期的に	医者は彼に定期的に健康診断を受けるよう勧めました。
定义	定義	まずこの概念の定義を説明してください。
丢人	恥ずかしい	人前でうそをつくのは本当に恥ずかしいです。
丢三落四	忘れっぽい	彼はいつも忘れっぽく、出かけるときによく鍵を忘れます。
东道主	ホスト	ホストとして、私たちは客をきちんともてなすべきです。
东张西望	きょろきょろする	授業中にきょろきょろしてはいけません。
董事长	会長	会長は今日会議に出席しました。
冻结	凍結する	銀行は一時的にこの口座を凍結しました。
动荡	不安定な	戦争でこの地域は長期にわたり不安定になりました。
动机	動機	警察は彼の動機を調査しています。
动静	物音	部屋の中には少しの物音もありませんでした。
动力	原動力	興味は学習の原動力です。
动脉	動脈	医者は彼の動脈を検査しました。
动身	出発する	私たちは明日の早朝に空港へ出発します。
动手	手を出す	事情がまだはっきりしないので、誰も手を出してはいけません。
动态	動向	プロジェクトの動向にいつでも注意してください。
动员	動員する	学校は学生を動員してボランティア活動に参加させました。
栋	棟	この建物は二十階建てです。
兜	ポケット	彼は鍵をコートのポケットに入れました。
陡峭	険しい	この山道は非常に険しいです。
斗争	闘う	彼らは環境を守るために闘っています。
督促	促す	マネージャーは皆に時間どおり任務を終えるよう促しました。
毒品	麻薬	税関は麻薬を一批押収しました。
独裁	独裁	人々は独裁支配に反対しています。
堵塞	詰まらせる	ごみが下水道を詰まらせました。
赌博	賭博	賭博は深刻な結果をもたらします。
杜绝	根絶する	会社は浪費現象を根絶するよう求めています。
端	持つ	彼は熱いお茶を一杯持って入ってきました。
端午节	端午節	端午節には私たちはちまきを食べます。
端正	正す	学生は学習態度を正すべきです。
短促	短い	彼は短いため息をつきました。
断定	断定する	今はまだ誰が正しく誰が間違っているか断定できません。
断绝	断つ	事故の後、村は外界との連絡を断たれました。
堆积	積もる	雪が道端に積もりました。
兑现	果たす	彼はついに約束を果たしました。
对策	対策	リスクに直面して、私たちには対策が必要です。
对称	対称	この建物の左右はとても対称です。
对付	対処する	この問題は対処しにくいです。
对抗	対抗する	二つのチームは決勝で対抗します。
对立	対立する	双方の立場は完全に対立しています。
对联	対聯	春節には彼らは入口に対聯を貼ります。
对应	対応する	各番号は一つの座席に対応しています。
对照	照らし合わせる	原文と照らし合わせて翻訳を確認してください。
队伍	隊列	パレードの隊列はゆっくり前へ進みました。
顿时	すぐに	その知らせを聞いて、彼はすぐに固まりました。
哆嗦	震える	とても寒かったので、彼はずっと震えていました。
多元化	多角化	会社は事業の多角化を進めています。
堕落	堕落する	彼は自分がさらに堕落するのを望んでいません。
额外	追加の	このサービスには追加料金が必要です。
恶心	吐き気がする	そのにおいを嗅いで、私は少し吐き気がしました。
恶化	悪化する	治療しなければ、病状は悪化する可能性があります。
遏制	抑える	政府は汚染を抑える措置を取りました。
恩怨	恨み	二つの会社の恨みは長い歴史があります。
而已	だけ	私はただ何となく言っただけです。
二氧化碳	二酸化炭素	植物は二酸化炭素を吸収します。
发布	発表する	会社は明日新製品を発表します。
发财	金持ちになる	彼は努力で金持ちになりたいと思っています。
发呆	ぼんやりする	彼女は窓辺に座ってぼんやりしていました。
发动	動員する	ボランティアは住民を動員して通りを掃除しました。
发觉	気づく	私は彼が今日少し緊張していることに気づきました。
发射	発射する	ロケットは夜に発射されます。
发誓	誓う	彼は二度とうそをつかないと誓いました。
发行	公開する; 発行する	この映画は来月公開されます。
发炎	炎症を起こす	傷口が少し炎症を起こしています。
发扬	発揮する	私たちはチームワーク精神を発揮すべきです。
发育	発育	子どもの体の発育には十分な栄養が必要です。
法人	法人	この会社は独立した法人です。
番	ひとしきりの	このひとしきりの話に私は大いに啓発されました。
凡是	すべて	申し込んだ人はすべて研修に参加しなければなりません。
繁华	にぎやかな	この通りは以前とてもにぎやかでした。
繁忙	忙しい	休暇中、空港は特に忙しくなります。
繁体字	繁体字	台湾地域では繁体字がよく使われます。
繁殖	繁殖する	この植物はとても繁殖しやすいです。
反驳	反論する	彼はデータを使ってこの見方に反論しました。
反常	異常な	今日の天気は少し異常です。
反感	反感を持つ	私はこの種の広告に強い反感を持っています。
反抗	抵抗する	人々は不公平な規定に抵抗し始めました。
反馈	フィードバックする	顧客はシステムがとても安定しているとフィードバックしました。
反面	裏側	紙を裏側に返してください。
反射	反射する	鏡は光を反射します。
反思	反省する	失敗した後、彼は原因を真剣に反省しました。
反问	聞き返す	彼は答えず、私に一言聞き返しました。
反之	逆に	価格が高すぎると需要は減り、逆も同じです。
泛滥	氾濫する	大雨で川の水が氾濫しました。
范畴	範疇	この問題は法律の範疇に属します。
贩卖	販売する	法律は偽薬の販売を禁じています。
方位	方位	地図には正確な方位が示されています。
方言	方言	彼は現地の方言を聞き取れます。
方圆	周囲	周囲十キロ以内に病院はありません。
方针	方針	会社は新しい発展方針を定めました。
