source_headword	KA	example_KA
event	ღონისძიება	ღონისძიება დღეს იწყება.
ever	ოდესმე	ოდესმე ამზადებ საჭმელს?
every	ყოველი	ყოველდღე ვსწავლობ.
everybody	ყველა	ყველა აქ არის.
everyone	ყველა	ყველას მუსიკა მოსწონს.
everything	ყველაფერი	ყველაფერი მზადაა.
exam	გამოცდა	გამოცდა მალე იწყება.
example	მაგალითი	ეს კარგი მაგალითია.
excited	აღელვებული	დღეს აღელვებული ვარ.
exciting	ამაღელვებელი	თამაში ამაღელვებელია.
exercise	ვარჯიში	საუზმემდე ვვარჯიშობ.
expensive	ძვირი	ეს პალტო ძვირია.
explain	ახსნა	გთხოვ, ეს სიტყვა ახსენი.
extra	დამატებითი	დამატებითი დრო მჭირდება.
eye	თვალი	თვალი წითელი მაქვს.
face	სახე	სახე დაიბანე.
fact	ფაქტი	ეს ფაქტი მნიშვნელოვანია.
fall	დაცემა; შემოდგომა	შემოდგომაზე ფოთლები ცვივა.
false	მცდარი	ეს პასუხი მცდარია.
family	ოჯახი	ჩემი ოჯახი პატარაა.
famous	ცნობილი	ის ცნობილი მომღერალია.
fantastic	ფანტასტიკური	კონცერტი ფანტასტიკური იყო.
far	შორს	სკოლა შორსაა.
farm	ფერმა	ისინი ფერმაში ცხოვრობენ.
farmer	ფერმერი	ფერმერი საკვებს ზრდის.
fast	სწრაფი	ეს მატარებელი სწრაფია.
fat	მსუქანი	კატა მსუქანია.
father	მამა	მამაჩემი მაღალია.
favourite	საყვარელი	ეს ჩემი საყვარელი სიმღერაა.
February	თებერვალი	აქ თებერვალში ცივა.
feel	გრძნობა	თავს ბედნიერად ვგრძნობ.
feeling	გრძნობა	ეს გრძნობა ვიცი.
festival	ფესტივალი	ფესტივალი ხვალ იწყება.
few	რამდენიმე	აქ რამდენიმე სტუდენტია.
fifteen	თხუთმეტი	მე თხუთმეტი წლის ვარ.
fifth	მეხუთე	ეს მეხუთე გაკვეთილია.
fifty	ორმოცდაათი	დედაჩემი ორმოცდაათი წლისაა.
fill	შევსება	ჭიქა წყლით შეავსე.
film	ფილმი	ფილმს ვუყურებთ.
final	ბოლო	ეს ბოლო კითხვაა.
find	პოვნა	ჩემს გასაღებებს ვპოულობ.
fine	კარგად	ახლა კარგად ვარ.
finish	დამთავრება	საშინაო დავალება დაასრულე.
fire	ცეცხლი	ცეცხლი ცხელია.
first	პირველი	ის რიგში პირველია.
fish	თევზი	ვახშამზე თევზს ვჭამ.
five	ხუთი	ხუთი წიგნი მაქვს.
flat	ბინა	ჩემი ბინა პატარაა.
flight	ფრენა	ფრენა აგვიანებს.
floor	იატაკი	ჩანთა იატაკზეა.
flower	ყვავილი	ეს ყვავილი ყვითელია.
fly	ფრენა	ფრინველები ცაში დაფრინავენ.
follow	გაყოლა	გთხოვ, გამომყევი.
food	საჭმელი	საჭმელი მზადაა.
foot	ტერფი	ტერფი მტკივა.
football	ფეხბურთი	დღეს ფეხბურთს ვთამაშობთ.
for	თვის	ეს საჩუქარი შენთვისაა.
forget	დავიწყება	გასაღებები არ დაგავიწყდეს.
form	ფორმა	ფორმა შეავსე.
forty	ორმოცი	მამაჩემი ორმოცი წლისაა.
four	ოთხი	ოთხ ფრინველს ვხედავ.
fourteen	თოთხმეტი	ის თოთხმეტი წლისაა.
fourth	მეოთხე	ეს მეოთხე სართულია.
free	უფასო; თავისუფალი	ბილეთი უფასოა.
Friday	პარასკევი	პარასკევს ვხვდებით.
friend	მეგობარი	ჩემი მეგობარი აქ არის.
friendly	მეგობრული	მასწავლებელი მეგობრულია.
from	დან; აქედან	აქედან ვარ.
front	წინა მხარე	წინ დადექი.
fruit	ხილი	ყოველდღე ხილს ვჭამ.
full	სავსე	ბოთლი სავსეა.
fun	გართობა; სახალისო	ეს თამაში სახალისოა.
funny	სასაცილო	ფილმი სასაცილოა.
future	მომავალი	მომავალზე იფიქრე.
game	თამაში	თამაში ახლა იწყება.
garden	ბაღი	ბაღი ლამაზია.
geography	გეოგრაფია	სკოლაში გეოგრაფიას ვსწავლობ.
get	მიღება; მიღწევა	სახლში ექვსზე მივაღწევ.
girl	გოგო	გოგო იღიმის.
girlfriend	შეყვარებული	მისი შეყვარებული კეთილია.
give	მიცემა	წიგნი მომეცი.
glass	ჭიქა	ჭიქიდან ვსვამ.
go	წასვლა	ახლა სახლში მივდივართ.
good	კარგი	ეს ყავა კარგია.
goodbye	ნახვამდის	ნახვამდის, ხვალ გნახავ.
grandfather	ბაბუა	ბაბუაჩემი მოხუცია.
grandmother	ბებია	ბებიაჩემი სუპს ამზადებს.
grandparent	ბებია ან ბაბუა	ერთი ბებია ან ბაბუა ჩვენთან ცხოვრობს.
great	შესანიშნავი	ეს შესანიშნავი იდეაა.
green	მწვანე	კარი მწვანეა.
grey	ნაცრისფერი	ცა ნაცრისფერია.
group	ჯგუფი	პატარა ჯგუფში იმუშავეთ.
grow	ზრდა	მცენარეები ბაღში იზრდება.
guess	გამოცნობა	პასუხი გამოიცანი.
guitar	გიტარა	ის გიტარაზე უკრავს.
gym	სპორტდარბაზი	სპორტდარბაზში დავდივარ.
hair	თმა	მისი თმა გრძელია.
half	ნახევარი	ნამცხვარი შუაზე გაჭერი.
hand	ხელი	ხელი ასწიე.
happen	მოხდენა	შემდეგ რა მოხდება?
happy	ბედნიერი	დღეს ბედნიერი ვარ.
hard	მაგარი; რთული	ეს სკამი მაგარია.
hat	ქუდი	ჩემი ქუდი შავია.
hate	სიძულვილი; ვერ ატანა	ცივ ჩაის ვერ ვიტან.
have	ქონა	მანქანა მაქვს.
have to modal	უნდა; საჭიროება	უნდა ვისწავლო.
he	ის	ის ჩემი ძმაა.
head	თავი	თავი მტკივა.
health	ჯანმრთელობა	კარგი საკვები ჯანმრთელობას ეხმარება.
healthy	ჯანსაღი	ეს კერძი ჯანსაღია.
hear	გაგონება	მუსიკა მესმის.
hello	გამარჯობა	გამარჯობა, სასიამოვნოა გაცნობა.
help	დახმარება	გთხოვ, დამეხმარე.
her	მისი; მას	ეს მისი ჩანთაა.
here	აქ	ახლა აქ მოდი.
hey	ჰეი	ჰეი, დამელოდე.
hi	გამარჯობა	გამარჯობა, როგორ ხარ?
high	მაღალი	კედელი მაღალია.
him	მას	მას ვიცნობ.
his	მისი	მისი პალტო ლურჯია.
history	ისტორია	ისტორიას ვსწავლობ.
hobby	ჰობი	კითხვა ჩემი ჰობია.
holiday	შვებულება	ივლისში შვებულებაში მივდივართ.
home	სახლი; შინ	სახლში ვარ.
homework	საშინაო დავალება	საშინაო დავალება დღეს გააკეთე.
hope	იმედი	იმედი მაქვს, მოხვალ.
horse	ცხენი	ცხენი სწრაფად დარბის.
hospital	საავადმყოფო	საავადმყოფო აქ ახლოსაა.
hot	ცხელი	სუპი ცხელია.
hotel	სასტუმრო	სასტუმრო სუფთაა.
hour	საათი	ერთი საათი მოიცადე.
house	სახლი	ეს სახლი ძველია.
how	როგორ	როგორ ხარ?
however	თუმცა	თუმცა აქ დარჩენა შემიძლია.
hundred	ასი	ასი ადამიანი მოვიდა.
hungry	მშიერი	მშია.
husband	ქმარი	მისი ქმარი ექიმია.
I	მე	მე ჩაი მიყვარს.
ice	ყინული	ყინული ცივია.
ice cream	ნაყინი	ნაყინი მინდა.
idea	იდეა	ეს კარგი იდეაა.
if	თუ	თუ დახმარება დაგჭირდება, დამირეკე.
imagine	წარმოდგენა	პატარა სახლი წარმოიდგინე.
important	მნიშვნელოვანი	ეს გაკვეთილი მნიშვნელოვანია.
improve	გაუმჯობესება	გაუმჯობესება მინდა.
in	ში; შიგნით	გასაღებები ჩემს ჩანთაშია.
include	ჩართვა; დამატება	გთხოვ, შენი სახელი დაამატე.
information	ინფორმაცია	მეტი ინფორმაცია მჭირდება.
interest	ინტერესი	მას ხელოვნების ინტერესი აქვს.
interested	დაინტერესებული	მუსიკით დაინტერესებული ვარ.
interesting	საინტერესო	ეს წიგნი საინტერესოა.
internet	ინტერნეტი	ინტერნეტი ნელია.
interview	ინტერვიუ	დღეს ინტერვიუ მაქვს.
into	შიგნით	წიგნები ჩანთაში ჩადე.
introduce	გაცნობა	გთხოვ, შენი მეგობარი გამაცანი.
island	კუნძული	ეს კუნძული პატარაა.
it	ის	ის ცივია.
its	მისი; თავისი	ძაღლს თავისი საწოლი უყვარს.
jacket	ქურთუკი	ჩემი ქურთუკი ახალია.
January	იანვარი	იანვარი პირველი თვეა.
jeans	ჯინსი	ჩემი ჯინსი ლურჯია.
job	სამსახური	ახალი სამსახური მჭირდება.
join	შეერთება	დღეს ჩვენს კლასს შეუერთდი.
journey	მოგზაურობა	მოგზაურობა გრძელია.
juice	წვენი	ფორთოხლის წვენს ვსვამ.
July	ივლისი	ივლისში ვმოგზაურობთ.
June	ივნისი	სკოლა ივნისში მთავრდება.
just	უბრალოდ	უბრალოდ წყალი მჭირდება.
keep	შენარჩუნება; შენახვა	ეს გასაღები შეინახე.
key	გასაღები	გასაღები დავკარგე.
kilometre	კილომეტრი	ერთი კილომეტრი იარე.
kind (type)	სახეობა	როგორი მუსიკა მოგწონს?
kitchen	სამზარეულო	სამზარეულო სუფთაა.
know	ცოდნა	პასუხი ვიცი.
land	ხმელეთი; მიწა	თვითმფრინავი ხმელეთზეა.
language	ენა	ინგლისური ენაა.
large	დიდი	ეს ოთახი დიდია.
last1 (final)	ბოლო	ეს ბოლო გვერდია.
late	გვიანი	ავტობუსი აგვიანებს.
later	მოგვიანებით	მოგვიანებით გნახავ.
laugh	სიცილი	ერთად ვიცინით.
learn	სწავლა	ინგლისურს ვსწავლობ.
leave	დატოვება; წასვლა	კარი ღია დატოვე.
left	მარცხენა	აქ მარცხნივ მოუხვიე.
leg	ფეხი	ფეხი მტკივა.
lesson	გაკვეთილი	გაკვეთილი ახლა იწყება.
let	ნება; დაშვება	ნება მომეცი, დაგეხმარო.
letter	წერილი	წერილს ვწერ.
library	ბიბლიოთეკა	ბიბლიოთეკა ცხრაზე იხსნება.
lie1	დაწოლა	გთხოვ, საწოლზე დაწექი.
life	ცხოვრება	ქალაქის ცხოვრება დატვირთულია.
like (similar)	როგორც	ეს თამაშს ჰგავს.
like (find sb/sth pleasant)	მოწონება	ეს სიმღერა მომწონს.
line	რიგი	რიგში დადექი.
lion	ლომი	ლომს სძინავს.
list	სია	საყიდლების სია გააკეთე.
listen	მოსმენა	მასწავლებელს მოუსმინე.
little	პატარა; ცოტა	ცოტა ფული მაქვს.
live1	ცხოვრება	სკოლასთან ახლოს ვცხოვრობ.
local	ადგილობრივი	ეს ადგილობრივი მაღაზიაა.
long1	გრძელი	გზა გრძელია.
look	ყურება	სურათს შეხედე.
lose	დაკარგვა	ბილეთი არ დაკარგო.
lot	ბევრი	ბევრი საშინაო დავალება მაქვს.
love	სიყვარული; ძალიან მოწონება	ჩემი ოჯახი მიყვარს.
lunch	სადილი	სადილი მზადაა.
