source_headword	LV	example_LV
baseball	beisbols	Beisbols šeit ir populārs.
based	balstīts	Filma ir balstīta uz grāmatu.
basketball	basketbols	Pēc skolas spēlējam basketbolu.
bean	pupa	Šī pupa ir zaļa.
bear (animal)	lācis	Lācis dzīvo mežā.
beat	uzvarēt; sist	Mūsu komanda var viņus uzvarēt.
beef	liellopa gaļa	Vakariņās ēdu liellopa gaļu.
behave	uzvesties	Lūdzu, uzvedies labi stundā.
behaviour	uzvedība	Viņa uzvedība bija pieklājīga.
belong	piederēt	Šīs kurpes pieder man.
belt	josta	Viņa josta ir melna.
benefit	ieguvums; labums	Vingrošanai ir īsts ieguvums.
billion	miljards	Miljards ir milzīgs skaitlis.
bin	atkritumu tvertne	Ieliec papīru atkritumu tvertnē.
biology	bioloģija	Bioloģija ir mans labākais priekšmets.
birth	dzimšana	Viņas dzimšana bija maijā.
biscuit	cepums	Viņa ēd cepumu.
bit	mazliet; gabaliņš	Man vajag vēl mazliet laika.
blank	tukšs; tukša vieta	Ieraksti vārdu tukšajā vietā.
blood	asinis	Asinis ir sarkanas.
blow	pūst	Vējš var pūst stipri.
board	tāfele; dēlis	Uzraksti to uz tāfeles.
boil	vārīt; uzvārīt	Vispirms uzvāri ūdeni.
bone	kauls	Sunim ir kauls.
borrow	aizņemties	Vai varu aizņemties tavu pildspalvu?
boss	priekšnieks	Mans priekšnieks ir draudzīgs.
bottom	apakša; dibens	Paraksties apakšā.
bowl	bļoda	Bļoda ir pilna.
brain	smadzenes	Tavām smadzenēm vajag atpūtu.
bridge	tilts	Tilts ir vecs.
bright	spilgts; gudrs	Istaba ir gaiša.
brilliant	lielisks; izcils	Tā ideja ir lieliska.
broken	salauzts; bojāts	Krēsls ir salauzts.
brush	birste; tīrīt	Tagad iztīri zobus.
burn	degt; sadedzināt	Nesadedzini maizi.
businessman	uzņēmējs	Uzņēmējs ieradās agri.
button	poga	Nospied sarkano pogu.
camp	nometne; nakšņot teltī	Mēs nakšņojam teltī pie ezera.
camping	kempings; nakšņošana teltī	Nakšņošana teltī vasarā ir jautra.
can2	skārdene	Uzmanīgi atver skārdeni.
care	rūpes; aprūpe	Rūpējies par savu veselību.
careful	uzmanīgs	Esi uzmanīgs uz kāpnēm.
carefully	uzmanīgi	Uzmanīgi izlasi jautājumu.
carpet	paklājs	Paklājs ir mīksts.
cartoon	multfilma	Šī multfilma ir smieklīga.
case	gadījums; kaste	Ieliec to kastē.
cash	skaidra nauda	Es maksāju skaidrā naudā.
castle	pils	Pils ir ļoti veca.
catch	noķert	Noķer bumbu tagad.
cause	cēlonis; izraisīt	Lietus var izraisīt problēmas.
celebrate	svinēt	Mēs svinam manu dzimšanas dienu.
celebrity	slavenība	Slavenība bija ļoti laipna.
certain	noteikts; pārliecināts	Es esmu par to pārliecināts.
certainly	noteikti; protams	Es noteikti palīdzēšu.
chance	iespēja	Tev ir iespēja.
character	tēls; raksturs	Šis tēls ir drosmīgs.
charity	labdarības organizācija; labdarība	Organizācija palīdz bērniem.
chat	tērzēt; saruna	Mēs tērzējam pēc stundas.
chef	pavārs	Pavārs pagatavoja zupu.
chemistry	ķīmija	Ķīmija man ir grūta.
chip	čipsis; gabaliņš	Šie čipsi ir sāļi.
choice	izvēle	Šī izvēle ir svarīga.
church	baznīca	Baznīca ir netālu.
cigarette	cigarete	Cigarete ir slikta veselībai.
circle	aplis	Uzzīmē apli šeit.
classical	klasisks	Man patīk klasiskā mūzika.
clear	skaidrs	Atbilde ir skaidra.
clearly	skaidri	Lūdzu, runā skaidri.
clever	gudrs	Viņa ir gudrs bērns.
climate	klimats	Klimats mainās.
close2	tuvu; tuvs	Mana skola ir tuvu mājām.
closed	aizvērts	Veikals ir aizvērts.
clothing	apģērbs	Silts apģērbs ir noderīgs.
cloud	mākonis	Mākonis aizsedz sauli.
coach	treneris; autobuss	Treneris palīdzēja komandai.
coast	piekraste	Mēs braucām gar piekrasti.
code	kods	Ievadi kodu šeit.
colleague	kolēģis	Mans kolēģis man piezvanīja.
collect	vākt; kolekcionēt	Es kolekcionēju vecas kartītes.
column	kolonna	Izlasi pirmo kolonnu.
comedy	komēdija	Šī komēdija ir smieklīga.
comfortable	ērts	Šis krēsls ir ērts.
comment	komentārs	Atstāj komentāru zemāk.
communicate	sazināties	Mēs sazināmies pa e-pastu.
community	kopiena	Mūsu kopiena ir draudzīga.
compete	sacensties	Viņi sacenšas katru gadu.
competition	sacensības; konkurss	Sacensības sākas rīt.
complain	sūdzēties	Nesūdzies atkal.
completely	pilnīgi	Es pilnīgi piekrītu tev.
condition	stāvoklis; nosacījums	Automašīna ir labā stāvoklī.
conference	konference	Konference sākas deviņos.
connect	savienot	Savieno telefonu ar datoru.
connected	savienots; saistīts	Šīs divas idejas ir saistītas.
consider	apsvērt	Lūdzu, apsver manu ideju.
contain	saturēt	Šajā kastē ir grāmatas.
context	konteksts	Konteksts palīdz saprast.
continent	kontinents	Kontinents ir ļoti liels.
continue	turpināt	Lūdzu, turpini lasīt.
control	kontrole; kontrolēt	Uzmanīgi kontrolē ātrumu.
cooker	plīts	Plīts ir tīra.
copy	kopija; kopēt	Izveido kopiju man.
corner	stūris	Apsēdies stūrī.
correctly	pareizi	Uzraksti atbildi pareizi.
count	skaitīt	Saskaiti grāmatas.
couple	pāris; daži	Pāris ieradās agri.
cover	pārklāt; vāks	Pārklāj bļodu.
crazy	traks	Šī ideja izklausās traka.
creative	radošs	Viņai ir radoša ideja.
credit	kredīts; kredītkarte	Es maksāju ar kredītkarti.
crime	noziegums; noziedzība	Noziedzība ir nopietna problēma.
criminal	noziedznieks	Noziedznieks ātri aizgāja.
cross	šķērsot; krusts	Uzmanīgi šķērso ielu.
crowd	pūlis	Pūlis gaidīja ārā.
crowded	pārpildīts	Vilciens bija pārpildīts.
cry	raudāt	Neraudi tagad.
cupboard	skapis	Krūzes ir skapī.
curly	cirtains	Viņai ir cirtaini mati.
cycle	braukt ar velosipēdu; cikls	Es braucu uz skolu ar velosipēdu.
daily	ikdienas; katru dienu	Katru dienu lasu ziņas.
danger	briesmas	Zīme rāda briesmas.
data	dati	Dati ir noderīgi.
dead	miris; nokaltis	Augs ir nokaltis.
deal	vienošanās; piedāvājums	Tas ir labs piedāvājums.
death	nāve	Nāve ir grūta tēma.
decision	lēmums	Pieņem lēmumu šodien.
deep	dziļš	Ūdens ir dziļš.
definitely	noteikti	Es noteikti gribu tēju.
degree	grāds; diploms	Mans diploms ir vēsturē.
dentist	zobārsts	Zobārsts pārbaudīja manus zobus.
department	nodaļa	Apavu nodaļa ir augšā.
depend	būt atkarīgam	Tas ir atkarīgs no laika.
desert	tuksnesis	Tuksnesis ir ļoti sauss.
designer	dizainers	Dizainers izveidoja šo kleitu.
destroy	iznīcināt	Neiznīcini failu.
detective	detektīvs	Detektīvs atrada atslēgu.
develop	attīstīt; izstrādāt	Viņi izstrādā jaunu lietotni.
device	ierīce	Šī ierīce ir noderīga.
diary	dienasgrāmata	Viņa raksta savā dienasgrāmatā.
differently	citādi	Mēs to darām citādi.
digital	digitāls	Šī ir digitālā kamera.
direct	tiešs	Izvēlies tiešo vilcienu.
direction	virziens	Ej šajā virzienā.
director	direktors; režisors	Režisoram patika filma.
disagree	nepiekrist	Es nepiekrītu tai idejai.
disappear	pazust	Saule drīz pazudīs.
disaster	katastrofa	Vētra bija katastrofa.
discover	atklāt	Viņi atklāj jaunu salu.
discovery	atklājums	Atklājums mainīja zinātni.
discussion	diskusija	Diskusija beidzās agri.
disease	slimība	Šī slimība ir nopietna.
distance	attālums	Attālums ir īss.
divorced	šķīries; šķīrusies	Viņas vecāki ir šķīrušies.
document	dokuments	Saglabā šo dokumentu tagad.
double	dubults; divvietīgs	Man vajag divvietīgu istabu.
download	lejupielādēt; lejupielāde	Lejupielādē lietotni šodien.
drama	drāma	Drāma sākas šovakar.
drawing	zīmējums	Viņas zīmējums ir skaists.
dream	sapnis; sapņot	Man bija dīvains sapnis.
driving	braukšana	Braukšana naktī ir grūta.
drop	nomest; piliens	Nenomet glāzi.
drug	zāles; narkotika	Zāles viņam palīdzēja.
dry	sauss	Dvielis ir sauss.
earn	nopelnīt	Es nopelnu naudu darbā.
earth	Zeme; zeme	Zeme ir apaļa.
easily	viegli	Viņa viegli mācās.
education	izglītība	Izglītība ir svarīga.
effect	efekts; ietekme	Ietekme bija skaidra.
either	jebkurš; vai nu	Jebkura atbilde ir laba.
electric	elektrisks	Šī automašīna ir elektriska.
electrical	elektriskais	Elektriskā sistēma ir droša.
electricity	elektrība	Elektrība šeit ir dārga.
electronic	elektronisks	Šī elektroniskā biļete darbojas.
employ	nodarbināt; pieņemt darbā	Viņi pieņem darbā piecus cilvēkus.
employee	darbinieks	Darbinieks daudz strādā.
employer	darba devējs	Mans darba devējs ir taisnīgs.
empty	tukšs	Istaba ir tukša.
ending	beigas	Beigas bija pārsteidzošas.
energy	enerģija	Šodien man nav enerģijas.
engine	dzinējs	Dzinējs ir skaļš.
engineer	inženieris	Inženieris salaboja tiltu.
enormous	milzīgs	Ēka ir milzīga.
enter	ieiet; ievadīt	Ieej istabā klusi.
environment	vide	Saudzē vidi.
equipment	aprīkojums	Šis aprīkojums ir dārgs.
error	kļūda	Es atradu kļūdu.
especially	īpaši	Man īpaši patīk šī dziesma.
essay	eseja	Uzraksti eseju šovakar.
everyday	ikdienas	Šī ir ikdienas angļu valoda.
everywhere	visur	Puķes aug visur.
evidence	pierādījums	Pierādījums ir skaidrs.
exact	precīzs	Dod precīzu skaitli.
exactly	tieši; precīzi	Tas precīzi atbilst.
excellent	izcils; lielisks	Tavs darbs ir lielisks.
except	izņemot	Visi atnāca, izņemot mani.
exist	eksistēt; pastāvēt	Vai šī adrese pastāv?
expect	gaidīt; sagaidīt	Es gaidu lietu rīt.
experience	pieredze	Man ir pieredze ar bērniem.
experiment	eksperiments	Eksperiments izdevās labi.
expert	eksperts; speciālists	Jautā ekspertam pēc palīdzības.
explanation	skaidrojums	Viņas skaidrojums bija skaidrs.
express	izteikt	Lūdzu, izsaki savu viedokli.
expression	izteiciens; izteiksme	Šis izteiciens ir biežs.
extreme	ekstrēms	Karstums bija ekstrēms.
extremely	ļoti; ārkārtīgi	Ir ārkārtīgi auksts.
factor	faktors	Cena ir viens faktors.
factory	rūpnīca	Rūpnīca aizveras piecos.
fail	neizdoties; izgāzties	Man neizdevās eksāmens.
fair	godīgs; taisnīgs	Cena ir taisnīga.
fan	ventilators; fans	Ieslēdz ventilatoru.
farming	lauksaimniecība	Lauksaimniecība ir smags darbs.
fashion	mode	Mode mainās katru gadu.
fear	bailes	Bailes var apturēt cilvēkus.
feature	iezīme; funkcija	Šim telefonam ir noderīga funkcija.
feed	barot	Pabaro kaķi tagad.
female	sieviešu; sieviete	Sportiste uzvarēja.
fiction	daiļliteratūra; fikcija	Viņa vakarā lasa daiļliteratūru.
field	lauks; joma	Lauks ir zaļš.
fight	cīnīties; kautiņš	Viņi pārāk daudz strīdas.
figure	figūra; skaitlis	Paskaties uz figūru.
finally	beidzot	Beidzot mēs atnācām mājās.
finger	pirksts	Man sāp pirksts.
firstly	pirmkārt	Pirmkārt, izlasi jautājumu.
fishing	makšķerēšana	Makšķerēšana šeit ir populāra.
fit	derēt; piestāvēt	Šīs kurpes man labi der.
fix	salabot	Salabo salauzto krēslu.
flu	gripa	Man ir gripa.
flying	lidošana	Lidošana ir ātra.
focus	koncentrēties; fokuss	Koncentrējies uz šo uzdevumu.
following	nākamais	Izlasi nākamo teikumu.
foreign	ārzemju; svešs	Viņa runā svešvalodā.
forest	mežs	Mežs ir kluss.
fork	dakša	Izmanto dakšu.
formal	formāls; oficiāls	Šī vēstule ir oficiāla.
fortunately	par laimi	Par laimi, neviens necieta.
forward	uz priekšu	Kusties lēnām uz priekšu.
fresh	svaigs	Maize ir svaiga.
