source_headword	KA	example_KA
simple	მარტივი	ეს სავარჯიშო მარტივია.
since	მას შემდეგ	შუადღის შემდეგ ველოდები.
singing	სიმღერა	სიმღერა მოდუნებაში მეხმარება.
single	ერთეული	ერთი ბილეთი ვიყიდე.
sir	ბატონო	ბატონო, თქვენი ჩანთა მზადაა.
site	საიტი	ეს საიტი უსაფრთხოა.
size	ზომა	რა ზომა გჭირდებათ?
ski	თხილამურებით სრიალი	ზამთარში თხილამურებით ვსრიალებთ.
skiing	თხილამურებით სრიალი	ზამთარში თხილამურებით სრიალი სახალისოა.
skin	კანი	მისი კანი მშრალია.
sky	ცა	ცა ნათელია.
slowly	ნელა	ყინულზე ნელა იარე.
smartphone	სმარტფონი	ჩემი სმარტფონი ახალია.
smell	სუნი	სუპს კარგი სუნი აქვს.
smile	ღიმილი	კამერისთვის გაიღიმე.
smoke	კვამლი	ოთახი კვამლით გაივსო.
smoking	მოწევა	მოწევა აკრძალულია.
soap	საპონი	საპონი და წყალი გამოიყენე.
soccer	ფეხბურთი	ფეხბურთი აქ პოპულარულია.
social	სოციალური	ეს სოციალური ღონისძიებაა.
society	საზოგადოება	საზოგადოება დროთა განმავლობაში იცვლება.
sock	წინდა	ერთი წინდა დაკარგულია.
soft	რბილი	ეს საბანი რბილია.
soldier	ჯარისკაცი	ჯარისკაცი სახლში დაბრუნდა.
solution	გამოსავალი	ჩვენ გამოსავალი ვიპოვეთ.
solve	გადაჭრა	ეს თავსატეხი გადაჭერი.
somewhere	სადმე	ის სადმე უსაფრთხოდ დადე.
sort	სახეობა	რომელი სახეობა გინდა?
source	წყარო	ჯერ წყარო შეამოწმე.
speaker	მომხსენებელი	მომხსენებელი ხმამაღალი იყო.
specific	კონკრეტული	კონკრეტული პასუხი მჭირდება.
speech	სიტყვა	მისი სიტყვა მოკლე იყო.
speed	სიჩქარე	აქ სიჩქარე შეამცირე.
spider	ობობა	კედელზე ობობაა.
spoon	კოვზი	სუპისთვის კოვზი გამოიყენე.
square	კვადრატი	კვადრატული ყუთი დახატე.
stage	სცენა	ჯგუფი სცენაზეა.
stair	საფეხური	საფეხური გატეხილია.
stamp	მარკა	წერილზე მარკა დააკარი.
state	თქმა	სახელი გარკვევით თქვი.
steal	მოპარვა	ფული არ მოიპარო.
step	ნაბიჯი	ერთი ნაბიჯი წინ გადადგი.
stomach	მუცელი	მუცელი მტკივა.
stone	ქვა	ქვა მძიმეა.
store	მაღაზია	მაღაზია ადრე იხურება.
storm	ქარიშხალი	ქარიშხალი მოდის.
straight	პირდაპირ	პირდაპირ სახლში წადი.
strange	უცნაური	ეს ხმა უცნაურია.
strategy	სტრატეგია	სტრატეგია გვჭირდება.
stress	სტრესი	სამუშაომ შეიძლება სტრესი გამოიწვიოს.
structure	სტრუქტურა	ეს სტრუქტურა მტკიცეა.
stupid	სულელური	ეს სულელური შეცდომა იყო.
succeed	წარმატება	აქ წარმატებას მიაღწევ.
successful	წარმატებული	ის წარმატებული გახდა.
such	ასეთი	ასეთი დახმარება სასარგებლოა.
suddenly	მოულოდნელად	მოულოდნელად ძაღლი გაიქცა.
suggest	შეთავაზება	მოკლე შესვენებას გთავაზობ.
suggestion	წინადადება	შენი წინადადება სასარგებლოა.
suit	კოსტიუმი	ეს კოსტიუმი ძვირია.
support	მხარდაჭერა	ჩვენ ჩვენს გუნდს მხარს ვუჭერთ.
suppose	ვფიქრობ	ვფიქრობ, შენ მართალი ხარ.
surprise	სიურპრიზი	სიურპრიზმა ის გაახარა.
surprised	გაკვირვებული	ის დღეს გაკვირვებული იყო.
surprising	გასაკვირი	შედეგი გასაკვირი იყო.
survey	გამოკითხვა	გთხოვ, გამოკითხვა შეავსე.
sweet	ტკბილი	ეს ჩაი ტკბილია.
symbol	სიმბოლო	ეს სიმბოლო საფრთხეს ნიშნავს.
system	სისტემა	სისტემა კარგად მუშაობს.
tablet	ტაბლეტი	ჩემი ტაბლეტი მაგიდაზეა.
target	სამიზნე	სამიზნეს ფრთხილად მოარტყი.
task	დავალება	ეს დავალება მარტივია.
taste	გასინჯვა	ჯერ სუპი გასინჯე.
teaching	სწავლება	სწავლება რთული საქმეა.
technology	ტექნოლოგია	ტექნოლოგია სწრაფად იცვლება.
teenage	თინეიჯერი	ჩემი თინეიჯერი ძმა ბევრს სწავლობს.
temperature	ტემპერატურა	ტემპერატურა დაბალია.
term	სემესტრი	ეს სემესტრი მალე მთავრდება.
themselves	თვითონ	მათ ვახშამი თვითონ მოამზადეს.
thick	სქელი	ეს წიგნი სქელია.
thief	ქურდი	ქურდი გაიქცა.
thin	თხელი	ქაღალდი თხელია.
thinking	ფიქრი	ფიქრს დრო სჭირდება.
thought	ფიქრი	უცნაური ფიქრი მქონდა.
throw	სროლა	ბურთი ნაზად ისროლე.
tidy	მოწესრიგებული	ოთახი მოწესრიგებული გქონდეს.
tie	შეკვრა	ფეხსაცმელები ახლა შეიკარი.
tip	ჩაიფული	მომსახურებისთვის ჩაიფული დატოვე.
tool	ინსტრუმენტი	სწორი ინსტრუმენტი გამოიყენე.
top	ზედა	ზედა თარო სავსეა.
touch	შეხება	ჭიქას ნუ შეეხები.
tour	ტური	ქალაქის ტურზე წავედით.
tourism	ტურიზმი	ტურიზმი ამ ქალაქს ეხმარება.
towards	მიმართულებით	სადგურის მიმართულებით იარე.
towel	პირსახოცი	სუფთა პირსახოცი მოიტანე.
tower	კოშკი	კოშკი ძალიან ძველია.
toy	სათამაშო	სათამაშო მანქანა წითელია.
track	ბილიკი	ბილიკი ჩრდილოეთისკენ მიდის.
tradition	ტრადიცია	ეს ტრადიცია ძველია.
traditional	ტრადიციული	მას ტრადიციული ტანსაცმელი ეცვა.
trainer	მწვრთნელი	ჩემი მწვრთნელი მეხმარება.
training	ვარჯიში	ვარჯიში ხვალ იწყება.
transport	ტრანსპორტი	საზოგადოებრივი ტრანსპორტი აგვიანებს.
traveller	მოგზაური	მოგზაურმა დახმარება ითხოვა.
trouble	პრობლემა	გუშინ პრობლემა გვქონდა.
truck	სატვირთო	სატვირთო გარეთ დგას.
twin	ტყუპი	ჩემი ტყუპი და უფრო მაღალია.
typical	ტიპური	ეს ტიპური დღეა.
underground	მიწისქვეშა	მატარებელი მიწისქვეშ მოძრაობს.
understanding	გაგება	შენი გაგება სწორია.
unfortunately	სამწუხაროდ	სამწუხაროდ, მაღაზია დახურულია.
unhappy	უკმაყოფილო	ის უკმაყოფილო ჩანს.
uniform	ფორმა	მას სკოლის ფორმა აცვია.
unit	ერთეული	ეს ერთეული პატარაა.
united	გაერთიანებული	გუნდი გაერთიანებული დარჩა.
unusual	უჩვეულო	ეს ხმა უჩვეულოა.
used to modal	ადრე	ადრე აქ ვცხოვრობდით.
user	მომხმარებელი	თითოეულ მომხმარებელს ნომერი აქვს.
usual	ჩვეული	ჩემი ჩვეული ადგილი დავიკავე.
valley	ხეობა	ხეობა მწვანეა.
van	ფურგონი	ფურგონი სავსეა.
variety	მრავალფეროვნება	მეტი მრავალფეროვნება გვჭირდება.
vehicle	სატრანსპორტო საშუალება	ეს სატრანსპორტო საშუალება ნელია.
view	ხედი	ხედი ლამაზია.
virus	ვირუსი	ვირუსმა ის ავად გახადა.
voice	ხმა	მისი ხმა მშვიდია.
war	ომი	ომი წლების წინ დასრულდა.
washing	სარეცხი	სარეცხი გარეთ არის.
wave	ტალღა	ტალღა ნავს დაეჯახა.
weak	სუსტი	ფეხები სუსტად მაქვს.
web	ვები	ვებ გვერდი ღიაა.
wedding	ქორწილი	ქორწილი მალე იწყება.
weight	წონა	ჯერ წონა შეამოწმე.
wet	სველი	ჩემი ფეხსაცმელები სველია.
wheel	ბორბალი	ბორბალი გატეხილია.
while	ცოტა ხანი	აქ ცოტა ხანი დაელოდე.
whole	მთელი	მთელი ვაშლი შევჭამე.
whose	ვისი	ეს ვისი ტელეფონია?
wide	ფართო	გზა ფართოა.
wild	ველური	ველური ცხოველები აქ ცხოვრობენ.
wind1	ქარი	ქარი ძლიერია.
winner	გამარჯვებული	გამარჯვებულმა გაიღიმა.
wish	სურვილი	სურვილი ჩაიფიქრე.
wood	ხე	სკამი ხისგან არის გაკეთებული.
wooden	ხის	ხის ყუთი მძიმეა.
working	სამუშაო	სამუშაო დღე დასრულდა.
worried	შეშფოთებული	დღეს შეშფოთებული ვარ.
worry	ნერვიულობა	ახლა ნუ ნერვიულობ.
worse	უარესი	ეს ტკივილი უარესია.
worst	ყველაზე ცუდი	ეს ყველაზე ცუდი დღე იყო.
wow	ვაუ	ვაუ, ეს გასაოცარია!
yet	ჯერ	ჯერ მივედით?
yours	შენი	ეს წიგნი შენია.
zero	ნული	ნულამდე დაითვალე.
