simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
希望	remélni; remény	Remélem, eljössz.	a spera; speranță	Sper că vii.	надявам се; надежда	Надявам се да дойдеш.	nadati se; nada	Nadam se da ćeš doći.
洗	mosni	Ruhát mosok.	a spăla	Spăl haine.	мия; пера	Пера дрехи.	prati; oprati	Perem odjeću.
向	felé; irányába	Felém jön.	către; spre	El merge spre mine.	към; по посока на	Той върви към мен.	prema; u smjeru	On hoda prema meni.
小时	óra	Két órát tanulok.	o oră	Studiez două ore.	час	Уча два часа.	sat	Učim dva sata.
笑	mosolyogni; nevetni	Elmosolyodott.	a zâmbi; a râde	Ea a zâmbit.	усмихвам се; смея се	Тя се усмихна.	smiješiti se; smijati se	Ona se nasmiješila.
新	új	Ez egy új könyv.	nou	Aceasta este o carte nouă.	нов	Това е нова книга.	nov	Ovo je nova knjiga.
姓	vezetéknév; a vezetékneve	Mi a vezetékneved?	un nume de familie; a se numi	Care este numele dumneavoastră de familie?	фамилия; казвам се	Каква е фамилията ви?	prezime; prezivati se	Koje je vaše prezime?
休息	pihenni	Szeretnék pihenni.	a se odihni	Vreau să mă odihnesc.	почивам си	Искам да си почина.	odmoriti se	Želim se odmoriti.
雪	hó	Ma havazik.	zăpadă	Astăzi ninge.	сняг	Днес вали сняг.	snijeg	Danas pada snijeg.
颜色	szín	Szeretem ezt a színt.	o culoare	Îmi place culoarea aceasta.	цвят	Харесвам този цвят.	boja	Sviđa mi se ova boja.
眼睛	szem; szemek	Nagy a szeme.	un ochi; ochi	Ea are ochii mari.	око; очи	Очите ѝ са големи.	oko; oči	Njezine oči su velike.
羊肉	bárányhús; birkahús	Nem eszem bárányhúst.	carne de miel; carne de oaie	Nu mănânc carne de miel.	агнешко; овнешко	Не ям агнешко.	janjetina; ovčetina	Ne jedem janjetinu.
药	gyógyszer	Gyógyszert vesz be.	un medicament	El ia medicamente.	лекарство	Той взема лекарство.	lijek	On uzima lijek.
要	akarni; kell	Vizet akarok inni.	a vrea; a trebui	Vreau să beau apă.	искам; трябва	Искам да пия вода.	htjeti; morati	Želim piti vodu.
也	is	Én is megyek.	și; de asemenea	Merg și eu.	също; и	И аз отивам.	također; i	Idem i ja.
已经	már	Már megérkeztem.	deja	Am ajuns deja.	вече	Вече пристигнах.	već	Već sam stigao.
一起	együtt	Együtt megyünk.	împreună	Mergem împreună.	заедно	Отиваме заедно.	zajedno	Idemo zajedno.
意思	jelentés; értelem	Mit jelent ez az írásjegy?	un sens; o semnificație	Ce înseamnă acest caracter?	значение; смисъл	Какво означава този знак?	značenje; smisao	Što znači ovaj znak?
阴	borult; felhős	Ma borult az idő.	înnorat; acoperit	Astăzi este înnorat.	облачен; мрачен	Днес е облачно.	oblačan; tmuran	Danas je oblačno.
因为	mert; mivel	Mivel esik az eső, nem megyek.	pentru că; deoarece	Pentru că plouă, nu merg.	защото; понеже	Понеже вали, не отивам.	jer; zato što	Zato što pada kiša, ne idem.
游泳	úszni	Tudok úszni.	a înota	Știu să înot.	плувам	Мога да плувам.	plivati	Znam plivati.
右边	jobb oldal	A bolt jobbra van.	partea dreaptă; la dreapta	Magazinul este în dreapta.	дясна страна; вдясно	Магазинът е вдясно.	desna strana; desno	Trgovina je desno.
鱼	hal	Halat eszem.	un pește	Mănânc pește.	риба	Ям риба.	riba	Jedem ribu.
元	jüan; pénzegység	Ez a csésze tíz jüanba kerül.	un yuan; o unitate monetară	Cana aceasta costă zece yuani.	юан; парична единица	Тази чаша струва десет юана.	juan; novčana jedinica	Ova šalica košta deset juana.
远	messze	A repülőtér messze van.	departe	Aeroportul este departe.	далеч	Летището е далеч.	daleko	Zračna luka je daleko.
运动	sport; mozgás	Szeretek mozogni.	sport; mișcare	Îmi place să fac mișcare.	спорт; движение	Обичам да спортувам.	sport; tjelovježba	Volim vježbati.
再	újra; megint	Holnap újra eljövök.	din nou; iar	Vin din nou mâine.	отново; пак	Утре ще дойда отново.	opet; ponovno	Sutra ću ponovno doći.
早上	reggel	Reggel teát iszom.	dimineață	Dimineața beau ceai.	сутрин	Сутрин пия чай.	jutro; ujutro	Ujutro pijem čaj.
张	lapos tárgyak mértékszava	Vettem egy jegyet.	un clasificator pentru obiecte plate	Am cumpărat un bilet.	мерна дума за плоски предмети	Купих един билет.	mjerna riječ za ravne predmete	Kupio sam jednu kartu.
丈夫	férj	A férje orvos.	un soț	Soțul ei este medic.	съпруг; мъж	Съпругът ѝ е лекар.	suprug; muž	Njezin suprug je liječnik.
找	keresni	Barátot keresek.	a căuta; a găsi	Caut un prieten.	търся; намирам	Търся приятел.	tražiti; naći	Tražim prijatelja.
着	folyamatos állapotot jelölő partikula	Az ajtó nyitva van.	particulă de stare continuă	Ușa este deschisă.	частица за продължаващо състояние	Вратата е отворена.	čestica trajnog stanja	Vrata su otvorena.
真	igazán; valódi	Ez a könyv igazán jó.	chiar; adevărat	Cartea aceasta este chiar bună.	наистина; истински	Тази книга е наистина добра.	stvarno; pravi	Ova knjiga je stvarno dobra.
正在	éppen; folyamatban	Éppen tévét néz.	în curs de; chiar acum	El se uită acum la televizor.	в момента; тъкмо	Той в момента гледа телевизия.	upravo; biti usred	On upravo gleda televiziju.
知道	tudni	Nem tudom.	a ști	Nu știu.	зная; знам	Не знам.	znati	Ne znam.
准备	készülni; előkészíteni	A vizsgára készülök.	a se pregăti; pregătire	Mă pregătesc pentru examen.	подготвям се; подготовка	Подготвям се за изпита.	pripremiti se; priprema	Pripremam se za ispit.
自行车	kerékpár	A kerékpárom új.	o bicicletă	Bicicleta mea este nouă.	велосипед	Велосипедът ми е нов.	bicikl	Moj bicikl je nov.
走	menni; járni	Gyalog megyek haza.	a merge; a umbla	Merg pe jos acasă.	вървя; ходя	Вървя към дома.	ići; hodati	Idem kući pješice.
最	leginkább; leg-	Ő a legmagasabb.	cel mai; cea mai	El este cel mai înalt.	най-	Той е най-висок.	najviše; naj-	On je najviši.
左边	bal oldal	Az iskola balra van.	partea stângă; la stânga	Școala este în stânga.	лява страна; вляво	Училището е вляво.	lijeva strana; lijevo	Škola je lijevo.
