source_headword	SV	example_SV
invention	en uppfinning	Uppfinningen sparar tid.
invitation	en inbjudan	Jag fick en inbjudan.
invite	bjuda in	Bjud in din vän också.
involve	omfatta; innebära	Jobbet innebär resor.
item	en sak; en post	Välj en sak.
itself	sig själv	Maskinen stängde av sig själv.
jam	sylt	Bred sylt på brödet.
jazz	jazz	Jazz låter bra i kväll.
jewellery	smycken	Hon förvarar smycken i en låda.
joke	ett skämt	Berätta ett skämt för mig.
journalist	en journalist	Journalisten ställde en fråga.
jump	hoppa	Hoppa över linjen.
kid	ett barn	Barnet skrattar.
kill	döda	Döda inte insekten.
king	en kung	Kungen bodde i ett palats.
knee	ett knä	Mitt knä gör ont.
knife	en kniv	Använd en vass kniv.
knock	knacka	Knacka innan du går in.
knowledge	kunskap	Kunskap växer genom övning.
lab	ett labb; ett laboratorium	Labbet är stängt.
lady	en dam; en kvinna	Damen log mot oss.
lake	en sjö	Sjön är lugn.
lamp	en lampa	Tänd lampan.
laptop	en bärbar dator	Min bärbara dator är ny.
last1 (taking time)	vara; pågå	Filmen varade i två timmar.
laughter	skratt	Vi hörde skratt utanför.
law	en lag	Lagen ändrades i går.
lawyer	en advokat	Advokaten ringde mig.
lazy	lat	Var inte lat.
lead1	leda	En bra ledare leder med exempel.
leader	en ledare	Hon är lagets ledare.
learning	lärande	Att lära sig tar tid.
least	minst; minsta	Välj det minst dyra.
lecture	en föreläsning	Föreläsningen börjar klockan tio.
lemon	en citron	Lägg citron i teet.
lend	låna ut	Kan du låna mig fem dollar?
less	mindre	Ät mindre socker.
level	en nivå	Den här nivån är lätt.
lifestyle	en livsstil	Han har en hälsosam livsstil.
lift	lyfta; en hiss	Lyft lådan försiktigt.
light	tända; sätta på	Tänd ljuset försiktigt.
light (not heavy)	lätt	Den här väskan är lätt.
likely	sannolik; troligen	Det regnar troligen i morgon.
link	en länk	Skicka länken till mig.
listener	en lyssnare	Var en god lyssnare.
lock	låsa; ett lås	Lås dörren.
lorry	en lastbil	Lastbilen transporterade lådor.
lost	vilse; förlorad	Vi gick vilse.
loud	hög; ljudlig	Musiken är hög.
loudly	högt	Prata inte så högt, tack.
lovely	härlig; fin	Vilken fin trädgård!
low	låg	Stolen är låg.
luck	tur	Lycka till på provet.
lucky	tursam; lycklig	Du har tur i dag.
mail	post; ett brev	Jag fick post i morse.
major	stor; viktig	Det här är ett stort problem.
male	manlig; en hane	Fågelhanen är färgstark.
manage	hantera; klara av	Kan du klara den här uppgiften?
manager	en chef; en manager	Chefen är upptagen.
manner	ett sätt; ett uppförande	Tala på ett artigt sätt.
mark	markera; ett betyg	Markera ditt svar tydligt.
marry	gifta sig	De ska gifta sig i juni.
material	ett material	Det här materialet känns mjukt.
mathematics	matematik	Matematik är mitt favoritämne.
maths	matematik	Matematik är svårt för mig.
matter	en sak; spela roll	Det spelar ingen roll.
may modal	få; kanske	Du får gå nu.
media	medier	Medierna rapporterade om berättelsen.
medical	medicinsk	Hon behöver medicinsk hjälp.
medicine	medicin	Ta den här medicinen efter lunch.
memory	ett minne; minne	Mitt minne är bra.
mention	nämna	Nämn inte mitt namn.
metal	metall	Grinden är gjord av metall.
method	en metod	Den här metoden fungerar bra.
middle	mitten	Stå i mitten.
might modal	kanske; kan	Det kan regna senare.
mind	ett sinne; en åsikt	Jag ändrade mig.
mine (belongs to me)	min; mitt	Den här boken är min.
mirror	en spegel	Titta i spegeln.
missing	saknad; borta	Mina nycklar är borta.
mobile	en mobiltelefon	Min mobiltelefon ligger på bordet.
monkey	en apa	Apan klättrade upp i trädet.
moon	månen	Månen är ljus.
mostly	mestadels	Klassen var mestadels tyst.
motorcycle	en motorcykel	Han kör motorcykel.
movement	en rörelse	Jag såg en rörelse i träden.
musical	en musikal; musikalisk	Det här är en musikalisk film.
musician	en musiker	Musikern spelade gitarr.
myself	mig själv	Jag gjorde det här själv.
narrow	smal	Vägen är smal.
national	nationell	Det här är en nationell helgdag.
nature	natur	Jag älskar naturen.
nearly	nästan	Vi är nästan framme.
necessary	nödvändig; behövlig	Är detta nödvändigt?
neck	en hals; en nacke	Min nacke gör ont.
neither	ingen av dem	Inget av svaren är rätt.
nervous	nervös	Hon känner sig nervös.
network	ett nätverk	Nätverket ligger nere.
noise	ett ljud; oväsen	Jag hörde ett högt ljud.
noisy	bullrig	Gatan är bullrig.
none	ingen	Ingen av dem kom.
normal	normal	Det här är normalt.
normally	normalt sett	Jag går normalt sett upp tidigt.
notice	märka; ett meddelande	Märkte du skylten?
novel	en roman	Hon skrev en roman.
nowhere	ingenstans	Det fanns ingenstans att sitta.
nut	en nöt	Nöten är hård.
ocean	ett hav; en ocean	Havet är djupt.
offer	erbjuda; ett erbjudande	Jag accepterade erbjudandet.
officer	en polis; en officer	Polisen kontrollerade min biljett.
oil	olja	Häll olja i pannan.
onto	på; upp på	Lägg det på hyllan.
opportunity	en möjlighet; en chans	Det här är en bra möjlighet.
option	ett alternativ	Välj det bästa alternativet.
ordinary	vanlig	Det var en vanlig dag.
organization	en organisation	Organisationen hjälper studenter.
organize	organisera; ordna	Ordna filerna, tack.
original	ursprunglig; original-	Behåll originalkvittot.
ourselves	oss själva	Vi lagade middagen själva.
oven	en ugn	Ugnen är varm.
owner	en ägare	Ägaren öppnade butiken.
pack	packa; ett paket	Packa din väska nu.
pain	smärtan; en smärta	Jag känner smärta i ryggen.
painter	en målare	Målaren gjorde klart väggen.
palace	ett palats	Palatset är gammalt.
pants	byxor	De här byxorna är för långa.
parking	parkering	Parkering är svår här.
particular	särskild; specifik	Jag behöver en särskild bok.
pass	räcka; passera	Räck mig saltet.
passenger	en passagerare	Varje passagerare behöver en biljett.
patient	en patient; tålmodig	Var tålmodig med barnen.
pattern	ett mönster	Det här mönstret är enkelt.
peace	fred; lugn	Vi vill alla ha fred.
penny	ett öre; ett litet mynt	Jag hittade ett litet mynt.
per	per; för	Biljetten kostar tio dollar per person.
per cent	procent	Fem procent är lite.
perform	uppträda; utföra	Bandet uppträder i kväll.
perhaps	kanske	Kanske är hon hemma.
permission	tillstånd	Be om tillstånd först.
personality	en personlighet	Hon har en vänlig personlighet.
pet	ett husdjur	Mitt husdjur är en katt.
petrol	bensin	Bilen behöver bensin.
physical	fysisk	Fysisk träning hjälper hälsan.
physics	fysik	Fysik är svårt.
pick	välja; plocka	Välj ett kort.
pilot	en pilot	Piloten talade tydligt.
planet	en planet	Jorden är en planet.
plastic	plast; plast-	Flaskan är av plast.
plate	en tallrik	Lägg maten på tallriken.
platform	en plattform; en perrong	Vänta på perrong två.
pleased	glad; nöjd	Jag är glad att träffa dig.
pocket	en ficka	Biljetten ligger i min ficka.
polite	artig	Var artig mot alla.
pollution	förorening	Förorening skadar havet.
pop	pop; popmusik	Jag gillar popmusik.
population	en befolkning	Befolkningen ökar.
position	en position	Ändra din position.
possession	en ägodel; ägande	Den här ringen är min ägodel.
possibility	en möjlighet	Det finns en möjlighet till regn.
poster	en affisch	Sätt upp affischen på väggen.
power	kraft; ström	Datorn behöver ström.
predict	förutsäga	Vi kan inte förutsäga vädret.
president	en president	Presidenten höll ett tal.
prevent	förhindra	Tvätta händerna för att förhindra sjukdom.
print	skriva ut	Skriv ut dokumentet.
printer	en skrivare	Skrivaren är trasig.
prison	ett fängelse	Han hamnade i fängelse.
prize	ett pris	Hon vann ett pris.
process	en process	Processen tar tid.
produce	producera	Gårdar producerar mat.
professional	professionell; en yrkesperson	Hon är en professionell dansare.
professor	en professor	Professorn svarade på frågan.
profile	en profil	Uppdatera din profil.
program	ett program	Programmet börjar nu.
progress	framsteg	Vi gjorde framsteg i dag.
promise	lova; ett löfte	Håll ditt löfte.
pronounce	uttala	Uttala det här ordet, tack.
protect	skydda	Skydda dina ögon.
provide	tillhandahålla; ge	De tillhandahåller gratis vatten.
pub	en pub; en krog	Vi träffades på puben.
public	offentlig	Parken är offentlig.
publish	publicera	De publicerar en tidskrift.
pull	dra	Dra i dörren.
purpose	ett syfte	Vad är syftet?
push	trycka; skjuta	Tryck på knappen.
quality	en kvalitet	Kvaliteten är hög.
quantity	en mängd	Kontrollera mängden.
queen	en drottning	Drottningen vinkade.
quietly	tyst; lågmält	Tala tyst.
race (competition)	ett lopp; en tävling	Loppet börjar snart.
railway	en järnväg	Järnvägen är stängd.
raise	höja; lyfta	Räck upp handen.
rate	en avgift; en nivå	Hotellavgiften är hög.
rather	ganska; hellre	Jag är ganska trött.
reach	nå; räcka	Kan du nå hyllan?
react	reagera	Hur reagerade hon?
realize	inse	Jag insåg mitt misstag.
receive	ta emot	Fick du mitt meddelande?
recent	nylig; aktuell	Det här är ett nytt foto.
recently	nyligen	Jag flyttade nyligen hit.
reception	en reception; ett mottagande	Mottagningen är på måndag.
recipe	ett recept	Det här receptet är enkelt.
recognize	känna igen	Jag känner igen den sången.
recommend	rekommendera	Jag rekommenderar den här boken.
record	ett register; spela in	Spara ett register över betalningen.
recording	en inspelning	Inspelningen låter tydlig.
recycle	återvinna	Återvinn papper och plast.
reduce	minska	Sänk värmen.
refer	hänvisa	Hänvisa till sida två.
refuse1	vägra	Jag vägrar att ljuga.
region	en region	Den här regionen är kall.
regular	regelbunden; stam-	Hon är en stamkund.
relationship	en relation	Deras relation är stark.
remove	ta bort; ta av	Ta av dig skorna.
repair	reparera	Reparera cykeln i dag.
replace	ersätta; byta ut	Byt ut det gamla batteriet.
reply	svara	Svara snabbt, tack.
reporter	en reporter	Reportern antecknade.
request	en begäran; en förfrågan	Jag gjorde en förfrågan.
research	forskning; forska	Vi forskar om lokal historia.
researcher	en forskare	Forskaren kontrollerade uppgifterna.
respond	svara; reagera	Svara i dag, tack.
response	ett svar; en reaktion	Svaret var snabbt.
rest (remaining part)	resten	Ät resten senare.
rest (sleep/relax)	vila	Du behöver vila.
review	granska; en recension	Granska dina anteckningar i kväll.
ring1	en ring	Hon bär en guldring.
ring2	ringa	Ring mig efter lunch.
rise	stiga; en ökning	Priserna stiger varje år.
rock (stone)	en sten	Stenen är tung.
