source_headword	VI	example_VI
thumb	ngón tay cái	Anh ấy giơ ngón tay cái lên để báo hiệu sự đồng ý.
timing	thời điểm	Thời điểm của cuộc gọi rất hoàn hảo.
tissue	khăn giấy	Cô ấy đã lau kính bằng khăn giấy.
ton	tấn	Chiếc xe tải chở một tấn cát.
tonne	tấn	Lô hàng nặng một tấn.
tournament	giải đấu	Giải đấu quần vợt bắt đầu vào ngày mai.
trace	theo dõi	Các nhà khoa học có thể theo dõi nguồn gốc của virus.
trading	việc giao dịch	Việc giao dịch chứng khoán đã dừng lại vào buổi trưa.
tragedy	bi kịch	Vụ tai nạn là một bi kịch khủng khiếp.
tragic	bi thảm	Vụ va chạm đã để lại những hậu quả bi thảm.
trait	đặc điểm	Kiên nhẫn là một đặc điểm hữu ích.
transmit	truyền	Muỗi có thể truyền bệnh.
transportation	phương tiện giao thông	Phương tiện giao thông công cộng hôm nay rất đông đúc.
trap	bẫy	Chiếc hộp có thể bẫy côn trùng một cách an toàn.
treasure	kho báu	Chiếc rương cũ chứa kho báu.
tribe	bộ lạc	Bộ lạc đã bảo vệ các truyền thống của mình.
trigger	kích hoạt	Khói có thể kích hoạt báo động.
trillion	nghìn tỷ	Khoản nợ đã lên tới một nghìn tỷ đô la.
troop	quân đội	Quân đội di chuyển về phía biên giới.
tsunami	sóng thần	Sóng thần đã phá hủy những ngôi nhà ven biển.
ultimate	cuối cùng	Mục tiêu cuối cùng là hòa bình.
unacceptable	không thể chấp nhận được	Sự chậm trễ là không thể chấp nhận được đối với hành khách.
uncertainty	sự không chắc chắn	Sự không chắc chắn đã làm cho các nhà đầu tư lo lắng.
undergo	trải qua	Bệnh nhân sẽ trải qua phẫu thuật vào ngày mai.
undertake	đảm nhận	Đội sẽ đảm nhận một cuộc khảo sát.
unfold	diễn ra	Vở kịch bắt đầu diễn ra từ từ.
unfortunate	đáng tiếc	Lỗi này rất đáng tiếc nhưng có thể sửa được.
unite	đoàn kết	Các nhà lãnh đạo đã cố gắng đoàn kết đảng.
unity	sự đoàn kết	Bài phát biểu kêu gọi sự đoàn kết quốc gia.
universal	phổ quát	Ứng dụng này sử dụng một thiết kế phổ quát.
urgent	khẩn cấp	Bệnh viện đã nhận được một cuộc gọi khẩn cấp.
usage	cách sử dụng	Hướng dẫn giải thích cách sử dụng chính xác.
useless	vô dụng	Bộ sạc bị hỏng thật vô dụng.
valid	có hiệu lực	Hộ chiếu của bạn vẫn còn có hiệu lực.
variation	sự biến động	Có sự biến động rộng về giá.
vertical	thẳng đứng	Biểu đồ có một trục thẳng đứng.
viewpoint	quan điểm	Quan điểm của cô ấy đã thay đổi sau cuộc tranh luận.
visa	thị thực	Anh ấy đã nộp đơn xin thị thực sinh viên.
visible	có thể nhìn thấy	Biển báo có thể nhìn thấy từ đây.
voluntary	tự nguyện	Khóa học bao gồm các hội thảo tự nguyện.
voting	việc bỏ phiếu	Việc bỏ phiếu sớm bắt đầu vào tuần tới.
wander	đi lang thang	Khách du lịch đi lang thang qua khu chợ cũ.
warming	sự nóng lên	Sự nóng lên toàn cầu ảnh hưởng đến mực nước biển.
weekly	hàng tuần	Đội tổ chức một cuộc họp hàng tuần.
weird	kỳ lạ	Tiếng ồn nghe thật kỳ lạ.
welfare	phúc lợi	Chương trình hỗ trợ phúc lợi trẻ em.
wheat	lúa mì	Người nông dân trồng lúa mì.
whoever	bất cứ ai	Bất cứ ai đến trước đều phải đợi bên ngoài.
widespread	lan rộng	Cơn bão đã gây ra thiệt hại lan rộng.
wisdom	sự khôn ngoan	Bà của cô ấy đã chia sẻ sự khôn ngoan thực tế.
withdraw	rút lại	Anh ấy quyết định rút lại đơn đăng ký của mình.
workforce	lực lượng lao động	Lực lượng lao động cần những kỹ năng mới.
workplace	nơi làm việc	Nơi làm việc có những quy tắc an toàn rõ ràng.
workshop	hội thảo	Hội thảo bắt đầu lúc mười giờ.
worm	con giun	Một con giun di chuyển qua bãi đất.
wrist	cổ tay	Cô ấy đã làm đau cổ tay của mình.
