source_headword	MS	example_MS
pain	sakit; kesakitan	Saya rasa sakit di belakang.
painter	pelukis; tukang cat	Tukang cat itu menyiapkan dinding.
palace	istana	Istana itu lama.
pants	seluar	Seluar ini terlalu panjang.
parking	tempat letak kereta; parkir	Parkir sukar di sini.
particular	tertentu	Saya perlukan buku tertentu.
pass	memberi; lulus	Berikan garam kepada saya.
passenger	penumpang	Setiap penumpang memerlukan tiket.
patient	pesakit; sabar	Bersabar dengan kanak-kanak.
pattern	corak; pola	Corak ini mudah.
peace	keamanan	Kita semua mahu keamanan.
penny	syiling kecil	Saya menemui syiling kecil.
per	setiap	Tiket berharga sepuluh dolar setiap orang.
per cent	peratus	Lima peratus itu kecil.
perform	membuat persembahan	Kumpulan itu akan membuat persembahan malam ini.
perhaps	mungkin	Mungkin dia di rumah.
permission	kebenaran	Minta kebenaran dahulu.
personality	personaliti	Dia mempunyai personaliti yang mesra.
pet	haiwan peliharaan	Haiwan peliharaan saya kucing.
petrol	petrol	Kereta itu memerlukan petrol.
physical	fizikal	Senaman fizikal membantu kesihatan.
physics	fizik	Fizik sukar.
pick	memilih; memetik	Pilih satu kad.
pilot	juruterbang	Juruterbang itu bercakap dengan jelas.
planet	planet	Bumi ialah planet.
plastic	plastik	Botol ini plastik.
plate	pinggan	Letakkan makanan di atas pinggan.
platform	platform; peron	Tunggu di platform dua.
pleased	gembira; puas hati	Saya gembira bertemu anda.
pocket	poket	Tiket itu di dalam poket saya.
polite	sopan	Bersikap sopan kepada semua orang.
pollution	pencemaran	Pencemaran merosakkan lautan.
pop	pop	Saya suka muzik pop.
population	penduduk	Jumlah penduduk sedang meningkat.
position	kedudukan; posisi	Ubah kedudukan anda.
possession	harta milik	Cincin ini harta milik saya.
possibility	kemungkinan	Ada kemungkinan hujan.
poster	poster	Letakkan poster pada dinding.
power	kuasa; elektrik	Komputer memerlukan elektrik.
predict	meramalkan	Kami tidak dapat meramalkan cuaca.
president	presiden	Presiden memberi ucapan.
prevent	mencegah	Basuh tangan untuk mencegah penyakit.
print	mencetak	Cetak dokumen itu.
printer	pencetak	Pencetak itu rosak.
prison	penjara	Dia masuk penjara.
prize	hadiah; anugerah	Dia memenangi hadiah.
process	proses	Proses itu mengambil masa.
produce	menghasilkan	Ladang menghasilkan makanan.
professional	profesional	Dia penari profesional.
professor	profesor	Profesor itu menjawab soalan.
profile	profil	Kemas kini profil anda.
program	program	Program itu bermula sekarang.
progress	kemajuan	Kami membuat kemajuan hari ini.
promise	berjanji; janji	Tepati janji anda.
pronounce	menyebut; melafazkan	Tolong sebut perkataan ini.
protect	melindungi	Lindungi mata anda.
provide	menyediakan	Mereka menyediakan air percuma.
pub	pub; kedai minuman	Kami bertemu di pub.
public	awam	Taman itu awam.
publish	menerbitkan	Mereka menerbitkan majalah.
pull	menarik	Tarik pintu itu.
purpose	tujuan	Apakah tujuannya?
push	menolak; menekan	Tekan butang itu.
quality	kualiti	Kualitinya tinggi.
quantity	kuantiti; jumlah	Periksa kuantiti itu.
queen	permaisuri; ratu	Permaisuri melambai.
quietly	dengan perlahan; secara senyap	Bercakap dengan perlahan.
race (competition)	perlumbaan	Perlumbaan bermula tidak lama lagi.
railway	kereta api; landasan	Landasan kereta api ditutup.
raise	mengangkat; menaikkan	Angkat tangan anda.
rate	kadar; harga	Kadar hotel itu tinggi.
rather	agak	Saya agak letih.
reach	mencapai; sampai	Bolehkah anda mencapai rak itu?
react	bertindak balas	Bagaimana dia bertindak balas?
realize	menyedari	Saya menyedari kesilapan saya.
receive	menerima	Adakah anda menerima mesej saya?
recent	baru-baru ini; terkini	Ini foto terkini.
recently	baru-baru ini	Saya baru-baru ini berpindah ke sini.
reception	kaunter sambut tetamu; majlis sambutan	Majlis sambutan pada hari Isnin.
recipe	resipi	Resipi ini mudah.
recognize	mengenali	Saya mengenali lagu itu.
recommend	mengesyorkan; menyarankan	Saya mengesyorkan buku ini.
record	rekod; merakam	Simpan rekod bayaran.
recording	rakaman	Rakaman itu kedengaran jelas.
recycle	mengitar semula	Kitar semula kertas dan plastik.
reduce	mengurangkan	Kurangkan haba.
refer	merujuk	Rujuk halaman dua.
refuse1	menolak	Saya menolak untuk berbohong.
region	wilayah; kawasan	Wilayah ini sejuk.
regular	tetap; biasa	Dia pelanggan tetap.
relationship	hubungan	Hubungan mereka kuat.
remove	menanggalkan; membuang	Tanggalkan kasut anda.
repair	membaiki	Baiki basikal hari ini.
replace	menggantikan	Gantikan bateri lama.
reply	membalas	Tolong balas segera.
reporter	pemberita	Pemberita itu mengambil nota.
request	permintaan	Saya membuat permintaan.
research	penyelidikan; menyelidik	Kami menyelidik sejarah tempatan.
researcher	penyelidik	Penyelidik memeriksa data.
respond	menjawab; memberi respons	Tolong jawab hari ini.
response	respons; jawapan	Responsnya cepat.
rest (remaining part)	baki; selebihnya	Makan baki itu kemudian.
rest (sleep/relax)	berehat	Anda perlu berehat.
review	mengulang kaji; ulasan	Ulang kaji nota anda malam ini.
ring1	cincin	Dia memakai cincin emas.
ring2	menelefon; berdering	Telefon saya selepas makan tengah hari.
rise	naik; meningkat	Harga naik setiap tahun.
rock (stone)	batu	Batu itu berat.
