source_headword	LT	example_LT
effort	pastanga	Tavo pastanga daug pakeitė.
election	rinkimai	Rinkimų rezultatas buvo apylygis.
element	elementas	Pasitikėjimas yra svarbus elementas.
embarrassed	susigėdęs	Nukritęs jis jautėsi susigėdęs.
embarrassing	gėdingas	Tai buvo gėdinga klaida.
emergency	nepaprastoji padėtis	Nepaprastosios padėties atveju skambink šiuo numeriu.
emotion	emocija	Baimė yra stipri emocija.
employment	užimtumas	Šį mėnesį užimtumas padidėjo.
encourage	skatinti	Mokytojai skatina mokinius skaityti.
enemy	priešas	Dvi šalys buvo priešės.
engaged	susižadėjęs	Praėjusį pavasarį jie susižadėjo.
engineering	inžinerija	Ji universitete studijuoja inžineriją.
entertain	linksminti	Dainininkas linksmins svečius.
entertainment	pramogos	Miestas siūlo vakaro pramogų.
entrance	įėjimas	Susitikime prie įėjimo.
entry	įėjimas	Vaikams įėjimas nemokamas.
environmental	aplinkosauginis	Aptarėme aplinkosaugos problemas.
episode	serija	Paskutinė serija buvo įdomi.
equal	lygus	Jie gauna vienodą atlyginimą.
equally	vienodai	Darbas paskirstytas vienodai.
escape	pabėgti	Kaliniai bandė pabėgti.
essential	būtinas	Vanduo būtinas gyvybei.
eventually	galiausiai	Galiausiai radome viešbutį.
examine	apžiūrėti	Gydytojas apžiūrėjo mano ranką.
exchange	mainai	Parduotuvėje atlikome mainus.
excitement	jaudulys	Žaidimas buvo kupinas jaudulio.
exhibition	paroda	Meno paroda atidaroma rytoj.
expand	plėstis	Įmonė planuoja plėstis.
expected	tikėtinas	Tikėtina kaina yra didelė.
expedition	ekspedicija	Ekspedicija kirto dykumą.
experienced	patyręs	Ji yra patyrusi slaugytoja.
explode	sprogti	Butelis gali sprogti nuo karščio.
explore	tyrinėti	Tyrinėjome senamiestį.
explosion	sprogimas	Sprogimas išdaužė kelis langus.
export	eksportas	Kava yra svarbus eksportas.
fairly	gana	Testas buvo gana lengvas.
familiar	pažįstamas	Jos veidas atrodė pažįstamas.
fancy	norėti	Ar norėtum kavos?
fascinating	įdomus	Istorija buvo labai įdomi.
fashionable	madingas	Tie batai yra madingi.
fasten	prisegti	Prisek saugos diržą.
favour	paslauga	Ar gali padaryti man paslaugą?
fence	tvora	Tvora supa sodą.
fighting	muštynės	Muštynės liovėsi auštant.
file	failas	Išsaugok failą prieš uždarydamas.
financial	finansinis	Jai reikia finansinio patarimo.
fitness	fizinė forma	Bėgimas gerina tavo fizinę formą.
fixed	fiksuotas	Kaina yra fiksuota.
flag	vėliava	Vėliava plevėsavo virš mokyklos.
flood	potvynis	Potvynis apgadino daug namų.
flour	miltai	Į dubenį įdėk miltų.
flow	tekėti	Upė teka per miestą.
fold	sulankstyti	Sulankstyk popierių per pusę.
folk	liaudies	Liaudies muzika skambėjo salėje.
force	jėga	Vėjas turėjo didelę jėgą.
forever	amžinai	Prisiminsiu tai amžinai.
frame	rėmas	Nuotraukai reikia rėmo.
freeze	užšalti	Vanduo per naktį užšals.
frequently	dažnai	Jis dažnai lanko tėvus.
friendship	draugystė	Jų draugystė truko daugelį metų.
frighten	gąsdinti	Garsūs triukšmai gąsdina kūdikį.
frightened	išsigandęs	Vaikas atrodė išsigandęs.
frightening	bauginantis	Audra buvo bauginanti.
frozen	sušalęs	Ežeras buvo užšalęs.
fry	kepti keptuvėje	Kepk svogūnus keptuvėje penkias minutes.
fuel	kuras	Automobiliui reikia daugiau kuro.
function	funkcija	Šis mygtukas turi vieną funkciją.
fur	kailis	Katė turi minkštą kailį.
garage	garažas	Automobilis yra garaže.
gather	susirinkti	Susirinkome aplink stalą.
generally	paprastai	Ji paprastai atvyksta anksti.
generation	karta	Kiekviena karta susiduria su naujomis problemomis.
generous	dosnus	Jis dosnus savo laiku.
gentle	švelnus	Kalbėk švelniu balsu.
gentleman	džentelmenas	Džentelmenas atidarė duris.
ghost	vaiduoklis	Pasakojime minimas vaiduoklis.
giant	milžiniškas	Milžiniškas ekranas užpildė sceną.
glad	laimingas	Džiaugiuosi, kad atėjai.
global	pasaulinis	Klimato kaita yra pasaulinė problema.
glove	pirštinė	Pamečiau vieną pirštinę.
goods	prekės	Prekės atvyko vėlai.
grade	pažymys	Ji gavo aukštą pažymį.
graduate	absolventas	Jis yra neseniai baigęs absolventas.
grain	grūdas	Nukrito ryžio grūdas.
grateful	dėkingas	Esu dėkingas už tavo paramą.
growth	augimas	Augalas rodė stabilų augimą.
guard	sargybinis	Sargybinis patikrino mūsų bilietus.
guilty	kaltas	Jis jautėsi kaltas dėl melo.
hang	pakabinti	Pakabink paltą čia.
happiness	laimė	Pinigai negali nupirkti laimės.
hardly	vargiai	Vargiai tave girdėjau.
headline	antraštė	Antraštė patraukė mano dėmesį.
heating	šildymas	Šildymas nustojo veikti.
heavily	smarkiai	Visą naktį smarkiai lijo.
helicopter	sraigtasparnis	Netoliese nusileido sraigtasparnis.
highlight	pabrėžti	Prašau pabrėžti pagrindinę mintį.
highly	labai	Ji yra labai gerbiama.
hire	išsinuomoti	Mums reikia išsinuomoti automobilį.
historic	istorinis	Aplankėme istorinį pastatą.
historical	istorinis	Ji mėgsta istorinius romanus.
honest	sąžiningas	Prašau pateikti sąžiningą atsakymą.
horrible	baisus	Kvapas buvo baisus.
horror	siaubas	Jam patinka siaubo filmai.
host	šeimininkas	Šeimininkas pasveikino kiekvieną svečią.
