source_headword	ES	example_ES
blow	el golpe	El fuerte golpe rompió la ventana.
bold	audaz	El titular usó letras en negrita.
bombing	el bombardeo	El bombardeo dañó varios edificios.
booking	la reserva	Confirmé la reserva del hotel.
boost	impulsar	La victoria impulsó la confianza del equipo.
bound	vinculante	El paquete estaba atado con una cuerda.
brick	el ladrillo	La pared está hecha de ladrillo.
briefly	brevemente	Ella habló brevemente después del almuerzo.
broadcaster	el locutor	El locutor entrevistó al alcalde.
broadly	en términos generales	Los dos planes son ampliamente similares.
bug	el error	La aplicación se bloqueó debido a un error.
cabin	la cabaña	Nos alojamos en una cabaña pequeña.
canal	el canal	Los barcos se movían lentamente por el canal.
candle	la vela	La vela ardía en la mesa.
carbon	el carbono	Los árboles absorben el carbono del aire.
casual	informal	Él usó ropa informal para el trabajo.
cave	la cueva	Los excursionistas entraron en la cueva.
certainty	la certeza	No podemos saber con certeza.
certificate	el certificado	Ella recibió un certificado de formación.
challenging	desafiante	El curso fue desafiante pero útil.
championship	el campeonato	Nuestro equipo llegó a la final del campeonato.
charming	encantador	La calle antigua lucía encantadora.
chase	perseguir	El perro persiguió la pelota.
cheek	la mejilla	Una lágrima corrió por su mejilla.
cheer	animar	La multitud comenzó a aclamar en voz alta.
choir	el coro	El coro cantó maravillosamente.
chop	cortar	Pique las cebollas en trozos pequeños.
circuit	el circuito	El corredor completó el circuito.
civilization	la civilización	La antigua civilización dio forma a esta región.
clarify	aclarar	Por favor, aclare el último punto.
classify	clasificar	Los científicos clasifican a los animales por especies.
clerk	el empleado	El empleado imprimió el recibo.
cliff	el acantilado	El camino termina cerca de un acantilado.
clinic	la clínica	La clínica abre a las ocho.
clip	el clip	Ella puso el clip en el papel.
coincidence	la coincidencia	Encontrarlo allí fue una coincidencia.
collector	el coleccionista	El coleccionista compró monedas raras.
colony	la colonia	Las hormigas construyeron una gran colonia.
colourful	colorido	El mercado era brillante y colorido.
comic	el cómic	La escena cómica nos hizo reír.
commander	el comandante	El comandante dio órdenes claras.
comparative	comparativo	El ensayo utiliza datos comparativos.
completion	la finalización	El puente está cerca de su finalización.
compose	componer	Él compondrá la música para la película.
composer	el compositor	El compositor escribió una nueva canción.
compound	el compuesto	El compuesto contiene dos sustancias químicas.
comprehensive	exhaustivo	La guía da instrucciones exhaustivas.
comprise	abarcar	El equipo consta de cinco miembros.
compulsory	obligatorio	La asistencia es obligatoria para esta clase.
concrete	el hormigón	El suelo está hecho de hormigón.
confess	confesar	Él confesó el error a su profesor.
confusion	la confusión	El retraso causó confusión.
consequently	en consecuencia	Llovió; por consiguiente, el partido se detuvo.
conservation	la conservación	La conservación protege a los animales raros.
considerable	considerable	La reparación llevó un tiempo considerable.
considerably	considerablemente	Los precios subieron considerablemente este año.
consistently	consistentemente	Ella rinde constantemente bien.
conspiracy	la conspiración	La policía investigó la conspiración.
consult	consultar	Consulte a su médico antes de tomar la medicina.
consultant	el consultor	El consultor sugirió una nueva estrategia.
consumption	el consumo	El consumo de energía cayó el mes pasado.
controversial	polémico	La política sigue siendo polémica.
controversy	la controversia	La decisión causó controversia.
convenience	la comodidad	La tienda ofrece gran comodidad.
convention	la convención	La convención anual empieza el lunes.
conventional	convencional	Él eligió un diseño convencional.
convey	transmitir	El mensaje transmitió simpatía.
convincing	convincente	Su explicación fue convincente.
cope	hacer frente a	Ella aprendió a hacer frente al estrés.
corporation	la corporación	La corporación abrió una nueva oficina.
corridor	el pasillo	El pasillo era estrecho y silencioso.
counter (long flat surface)	el mostrador	Las llaves están en la encimera de la cocina.
coverage	la cobertura	La cobertura de noticias duró toda la noche.
crack	la grieta	Apareció una grieta en la pared.
craft	la artesanía	Ella vende artesanía hecha a mano en línea.
creativity	la creatividad	La creatividad ayuda a resolver problemas.
critically	críticamente	El artículo era críticamente importante.
cruise	el crucero	Ellos reservaron un crucero a Grecia.
cue	la señal	El actor perdió su señal.
curious	curioso	El niño tenía curiosidad por el espacio.
curriculum	el currículo	La escuela actualizó su plan de estudios.
cute	lindo	El cachorro se veía lindo.
dairy	la lechería	La granja produce productos lácteos.
dare	atreverse	Te reto a intentarlo.
darkness	la oscuridad	La habitación se llenó de oscuridad.
database	la base de datos	La base de datos almacena registros de clientes.
deadline	la fecha límite	La fecha límite es el viernes.
deadly	mortal	La serpiente tiene veneno mortal.
dealer	el distribuidor	El concesionario de coches ofreció un descuento.
deck	la cubierta	Las sillas están en la terraza.
defender	el defensor	El defensa bloqueó el tiro.
delete	borrar	Borra el mensaje antiguo.
democracy	la democracia	La democracia depende de elecciones libres.
democratic	democrático	La votación siguió reglas democráticas.
demonstration	la manifestación	Los estudiantes se unieron a una manifestación.
depart	partir	El tren partirá al mediodía.
dependent	dependiente	El niño es dependiente de los adultos.
deposit	el depósito	Ella pagó un depósito por el apartamento.
depression	la depresión	La depresión requiere apoyo profesional.
derive	derivar	Muchas palabras derivan del latín.
desperately	desesperadamente	Él necesitaba agua desesperadamente.
destruction	la destrucción	La tormenta causó destrucción generalizada.
determination	la determinación	Su determinación impresionó al entrenador.
devote	dedicar	Ella dedica los fines de semana a estudiar.
differ	diferir	Sus opiniones difieren marcadamente.
disability	la discapacidad	El edificio tiene acceso para discapacitados.
disabled	discapacitado	El atleta discapacitado ganó una medalla.
disagreement	el desacuerdo	La reunión terminó en desacuerdo.
disappoint	decepcionar	El resultado puede decepcionar a los fans.
disappointment	la decepción	Él sintió una profunda decepción.
discourage	desanimar	No desanime a los estudiantes jóvenes.
disorder	el trastorno	El médico diagnosticó un trastorno del sueño.
distant	distante	Las montañas parecían distantes.
distinct	distinto	Los dos sonidos son distintos.
distinguish	distinguir	¿Puedes distinguir estos colores?
distract	distraer	El ruido puede distraer a los estudiantes.
disturb	perturbar	Por favor, no moleste al paciente.
dive	bucear	Ellos bucearán cerca del arrecife.
diverse	diverso	La ciudad tiene culturas diversas.
diversity	la diversidad	Celebramos la diversidad cultural.
divorce	el divorcio	El divorcio fue difícil para todos.
dominant	dominante	El equipo dominante controló el partido.
donation	la donación	La organización benéfica recibió una donación.
dot	el punto	Pon un punto después del número.
downtown	el centro de la ciudad	Nos encontramos en el centro después del trabajo.
dramatically	drásticamente	El precio cayó drásticamente.
drought	la sequía	La sequía dañó las cosechas.
dull	aburrido	La conferencia fue aburrida.
dump	desechar	No tire basura aquí.
duration	la duración	La duración del vuelo es de tres horas.
dynamic	dinámico	El aula se sentía dinámica.
economics	la economía	Ella estudia economía en la universidad.
economist	el economista	El economista predijo un crecimiento más lento.
editorial	editorial	El editorial criticó la ley.
efficiently	eficientemente	El equipo trabajó eficientemente.
elbow	el codo	Se lastimó el codo.
electronics	la electrónica	La tienda vende electrónica.
elegant	elegante	El vestido se veía elegante.
elementary	elemental	El libro explica la gramática elemental.
eliminate	eliminar	El equipo eliminó varios errores.
embrace	adoptar	Ella aceptó la nueva idea.
emission	la emisión	Los niveles de emisión de automóviles cayeron.
emotionally	emocionalmente	Él habló emocionalmente sobre su familia.
empire	el imperio	El imperio duró siglos.
enjoyable	agradable	El viaje fue agradable.
entertaining	entretenido	El espectáculo fue entretenido.
entrepreneur	el empresario	El emprendedor abrió una cafetería.
envelope	el sobre	Pon la carta en un sobre.
equip	equipar	La escuela equipará el laboratorio.
equivalent	el equivalente	Un dólar no es equivalente aquí.
era	la época	El descubrimiento comenzó una nueva era.
erupt	estallar	El volcán podría hacer erupción pronto.
essentially	esencialmente	Los dos métodos son esencialmente idénticos.
ethic	la ética	Su ética de trabajo es fuerte.
ethnic	étnico	El festival celebra tradiciones étnicas.
evaluation	la evaluación	El curso incluye una evaluación final.
evident	evidente	Su nerviosismo era evidente.
evolution	la evolución	La evolución explica muchos cambios biológicos.
evolve	evolucionar	Los idiomas evolucionan con el tiempo.
exceed	exceder	La demanda puede exceder la oferta.
exception	la excepción	Hay una excepción.
excessive	excesivo	El ruido excesivo molesta a los vecinos.
exclude	excluir	La lista excluye a los trabajadores temporales.
exhibit	la exhibición	El museo exhibirá fotografías raras.
exit	la salida	La salida está detrás del escenario.
exotic	exótico	La tienda vende frutas exóticas.
expansion	la expansión	La empresa planeó una expansión.
expertise	la experiencia	Su experiencia mejoró el proyecto.
exploit	explotar	Los criminales explotan las contraseñas débiles.
exposure	la exposición	La exposición al sol puede dañar la piel.
extension	la extensión	La extensión de la fecha límite ayudó a todos.
extensive	extenso	La biblioteca tiene amplios recursos.
extensively	extensamente	El tema fue estudiado extensamente.
extract	el extracto	El extracto de vainilla da sabor.
fabric	la tela	La tela se siente suave.
fabulous	fabuloso	La comida estuvo fabulosa.
failed	fallido	El intento fallido nos enseñó algo.
fake	falso	El sitio web vendía entradas falsas.
fame	la fama	La fama cambió su vida privada.
fantasy	la fantasía	La novela es una fantasía.
fare	la tarifa	La tarifa del autobús aumentó.
federal	federal	El gobierno federal anunció fondos.
fever	la fiebre	El niño tiene fiebre.
firefighter	el bombero	El bombero rescató al perro.
firework	el fuego artificial	Un fuego artificial explotó sobre el parque.
firm	firme	El colchón es firme.
firmly	firmemente	Ella cerró la puerta firmemente.
flavour	el sabor	La sopa tiene un rico sabor.
fond	cariñoso	Él es aficionado al jazz.
fool	el tonto	No actúes como un tonto.
forbid	prohibir	La ley prohíbe fumar aquí.
forecast	el pronóstico	El pronóstico predice lluvia.
format	el formato	Usa el formato de archivo correcto.
formation	la formación	La formación de nubes cambia rápidamente.
formerly	anteriormente	El edificio era anteriormente una escuela.
fortunate	afortunado	Fuimos afortunados de llegar temprano.
forum	el foro	El foro discutió la política climática.
fossil	el fósil	El fósil fue encontrado en la piedra.
foundation	la fundación	La casa tiene unos cimientos fuertes.
founder	el fundador	El fundador dio la bienvenida a los invitados.
fraction	la fracción	Solo una fracción de los estudiantes vino.
fragment	el fragmento	Un fragmento de vidrio estaba en el piso.
framework	el marco	La ley crea un marco claro.
fraud	el fraude	El banco detectó fraude.
freely	libremente	Los niños jugaron libremente afuera.
frequent	frecuente	Los descansos frecuentes mejoran la concentración.
fulfil	cumplir	Espero cumplir mi promesa.
full-time	a tiempo completo	Ella tiene un trabajo a tiempo completo.
fundamentally	fundamentalmente	El plan es fundamentalmente diferente.
furious	furioso	Él estaba furioso por el retraso.
gaming	el juego	Los videojuegos pueden mejorar la velocidad de reacción.
gay	gay	Él apoya los derechos de los homosexuales.
gender	el género	La encuesta preguntó sobre el género.
gene	el gen	El gen afecta el color de los ojos.
genetic	genético	La enfermedad tiene causas genéticas.
genius	el genio	El joven pianista es un genio.
genuine	genuino	Su sonrisa parecía genuina.
genuinely	genuinamente	Él genuinamente quería ayudar.
gesture	el gesto	Ella hizo un gesto amistoso.
gig	el concierto	La banda tocó un concierto en el centro.
globalization	la globalización	La globalización afecta a las empresas locales.
globe	el globo	El globo terráqueo muestra todos los continentes.
golden	dorado	El atardecer se volvió dorado.
goodness	la bondad	Ella cree en la bondad humana.
gorgeous	precioso	El jardín se veía hermoso.
governor	el gobernador	El gobernador firmó el proyecto de ley.
graphic	gráfico	La imagen gráfica sorprendió a los espectadores.
graphics	los gráficos	El juego tiene gráficos simples.
greatly	enormemente	Tu consejo ayudó mucho.
greenhouse	el invernadero	Los tomates crecen dentro del invernadero.
grocery	la tienda de comestibles	Ella compró alimentos después del trabajo.
guideline	la pauta	La directriz explica la práctica segura.
habitat	el hábitat	El bosque es un hábitat para las aves.
harbour	el puerto	El barco entró al puerto.
headquarters	la sede	La sede de la empresa se mudó al centro.
