simplified	AZ	example_AZ
灯	lampa; işıq	Zəhmət olmasa, işığı yandırın.
地方	yer; məkan	Bu yer çox sakitdir.
地铁	metro	Mən hər gün işə metro ilə gedirəm.
地图	xəritə	Mən xəritədə məktəbi axtarıram.
电梯	lift	Lift soldadır.
电子邮件	elektron poçt	Mən müəllimə elektron poçt göndərirəm.
东	şərq	Günəş şərqdən doğur.
冬	qış	Qışda isti çay içməyi xoşlayıram.
动物	heyvan	Panda ayısı Çində məşhur heyvandır.
短	qısa	Bu şalvar çox qısadır.
段	abzas; hissə	Zəhmət olmasa, bu abzası oxuyun.
锻炼	idman etmək; məşq etmək	Mən hər səhər idman edirəm.
多么	necə; nə qədər	Buranın mühiti necə də yaxşıdır!
饿	ac olmaq; ac	Mən acam və çörək yemək istəyirəm.
耳朵	qulaq	Qulağım bir az ağrıyır.
发	göndərmək; çıxarmaq	Mən axşam elektron poçt göndərirəm.
发烧	qızdırması olmaq	Onun qızdırması var, məktəbə gedə bilmir.
发现	tapmaq; aşkar etmək	Mən bu üsulun yaxşı olduğunu gördüm.
方便	rahat	Metro ilə getmək çox rahatdır.
放	qoymaq; buraxmaq	Zəhmət olmasa, kitabı stolun üstünə qoyun.
放心	rahat olmaq; narahat olmamaq	Rahat olun, mən vaxtında çatacağam.
分	bölmək; paylamaq	Zəhmət olmasa, tortu hamıya bölün.
复习	təkrar etmək; yenidən baxmaq	İmtahandan əvvəl dərsləri təkrar etməliyəm.
附近	yaxın; ətrafda	Yaxında bir restoran var.
干净	təmiz	Bu otaq çox təmizdir.
感冒	soyuqlamaq	Mən soyuqlamışam və dincəlmək istəyirəm.
感兴趣	maraqlanmaq	Mən Çin dili ilə çox maraqlanıram.
刚才	indicə; bir az əvvəl	İndicə sənə kim zəng etdi?
个子	boy; bədən quruluşu	Onun boyu uzundur.
根据	-a görə; əsasında	Xəritəyə görə, məktəb şərqdədir.
跟	ilə; ardınca getmək	Mən dostumla ictimai bağa gedirəm.
更	daha; daha da	Bu gün dünəndən daha soyuqdur.
公斤	kiloqram	Bu almaların çəkisi bir kiloqramdır.
公园	ictimai bağ	Uşaqlar ictimai bağda oyun oynayırlar.
故事	hekayə	Babam mənə hekayə danışır.
刮风	külək əsmək	Bu gün külək əsir, velosiped sürmə.
关	bağlamaq; söndürmək	Zəhmət olmasa, qapını bağlayın.
关系	münasibət; əlaqə	Mənim həmkarımla münasibətim yaxşıdır.
关心	qayğı göstərmək; maraqlanmaq	Anam mənim sağlamlığıma çox qayğı göstərir.
关于	haqqında; barədə	Bu kitab Çin mədəniyyəti haqqındadır.
国家	ölkə; dövlət	Çin çox böyük ölkədir.
过	təcrübə hissəciyi; əvvəllər etmək	Mən Pekində olmuşam.
过去	keçmiş; əvvəllər	Keçmişdə burada metro yox idi.
还是	ya; yoxsa; hələ	Sən çay içirsən, yoxsa qəhvə?
害怕	qorxmaq	Mən imtahandan qorxmuram.
黑板	lövhə	Müəllim lövhədə heroqlif yazır.
后来	sonra; sonradan	Sonra biz ictimai bağa getdik.
护照	pasport	Zəhmət olmasa, pasportunuzu gətirin.
96:花	xərcləmək; başa gəlmək	Telefon almaq iki min yuana başa gəldi.
97:花	gül	Stolun üstündə bir gül var.
画	çəkmək; şəkil	Mənim kiçik bacım panda ayısı çəkməyi xoşlayır.
坏	pis; xarab; qırıq	Mənim kompüterim xarab olub.
欢迎	xoş gəlmisiniz; qarşılamaq	Evimə xoş gəlmisiniz.
环境	mühit; şərait	Bu məktəbin mühiti çox yaxşıdır.
还	qaytarmaq; geri vermək	Zəhmət olmasa, kitabımı sabah qaytarın.
换	dəyişmək; dəyişdirmək	Mən köynəyi dəyişmək istəyirəm.
黄河	Sarı çay	Sarı çay çox uzundur.
回答	cavab vermək; cavab	Zəhmət olmasa, sualıma cavab verin.
会议	iclas; konfrans	İclas saat doqquzda başlayır.
或者	ya; yaxud	Sən metroya və ya avtobusa minə bilərsən.
几乎	demək olar ki	O demək olar ki, hər gün idman edir.
机会	fürsət; imkan	Bu yaxşı fürsətdir.
极	çox; son dərəcə	O son dərəcə xoşbəxtdir.
季节	fəsil	Payız mənim ən sevdiyim fəsildir.
记得	xatırlamaq	Kredit kartını gətirməyi xatırlayırsan?
检查	yoxlamaq; müayinə etmək	Həkim məni müayinə edir.
简单	sadə; asan	Bu cümlə çox sadədir.
健康	sağlamlıq; sağlam	İdman sağlamlıq üçün yaxşıdır.
见面	görüşmək	Biz sabah məktəbdə görüşəcəyik.
讲	danışmaq; izah etmək	Müəllim çox aydın izah edir.
教	öyrətmək	O mənə Çin heroqlifləri yazmağı öyrədir.
脚	ayaq	Ayağım bir az ağrıyır.
角	künc; bucaq	Mağaza küçənin küncündədir.
接	qarşılamaq; almaq	Mən dostumu qarşılamaq üçün hava limanına gedirəm.
街道	küçə	Bu küçə çox təmizdir.
结婚	evlənmək	Onlar gələn il evlənəcəklər.
结束	bitmək; qurtarmaq	Yarış artıq bitib.
节目	proqram; veriliş	Bu televiziya verilişi çox yaxşıdır.
节日	bayram	Bahar bayramı mühüm Çin bayramıdır.
解决	həll etmək	Bu problem artıq həll olunub.
借	borc almaq; borc vermək	Mən sənin lüğətini götürmək istəyirəm.
经常	tez-tez	Mən tez-tez kitabxanaya gedirəm.
经过	yanından keçmək; keçmək	Mən hər gün bu ictimai bağın yanından keçirəm.
经理	menecer; müdir	Menecer iclasdadır.
久	uzun müddət	Mən burada uzun müddətdir yaşayıram.
旧	köhnə; işlənmiş	Bu paltar çox köhnədir.
句子	cümlə	Zəhmət olmasa, bir cümlə yazın.
决定	qərar vermək; qərar	Mən Çin dilini öyrənməyə qərar verdim.
可爱	sevimli; xoş	Bu pişik çox sevimlidir.
渴	susamaq; susuz	Mən susamışam və su içmək istəyirəm.
刻	on beş dəqiqə; an	Saat səkkizi on beş dəqiqə keçib.
客人	qonaq; müştəri	Bu gün evimizə qonaq gəldi.
空调	kondisioner	Zəhmət olmasa, kondisioneri yandırın.
口	ağız; say sözü	O bir qurtum su içdi.
哭	ağlamaq	Uşaq niyə ağlayır?
裤子	şalvar	Bu şalvar yenidir.
筷子	çubuqlar; yemək çubuqları	Mən yemək çubuqları ilə yeyə bilirəm.
蓝	mavi	Göy mavidir.
老	qoca; yaşlı	Mənim müəllimim yaşlı deyil.
离开	ayrılmaq; tərk etmək	O sabah Pekindən ayrılır.
礼物	hədiyyə	Bu sənin üçün hədiyyədir.
历史	tarix	Mən Çin tarixini xoşlayıram.
脸	üz	Onun üzü çox qırmızıdır.
练习	məşq; məşq etmək	Zəhmət olmasa, Çin dilində danışmağı daha çox məşq edin.
辆	nəqliyyat vasitələri üçün say sözü	Qapının yanında bir taksi var.
聊天	söhbət etmək	Mən dostumla söhbət edirəm.
了解	anlamaq; tanımaq	Mən Çin mədəniyyətini anlamaq istəyirəm.
邻居	qonşu	Mənim qonşum çox mehribandır.
留学	xaricdə oxumaq	O Çində təhsil alır.
楼	bina; mərtəbə	Ofis üçüncü mərtəbədədir.
绿	yaşıl	Yazda ağaclar yaşıllaşır.
马	at	O at çox sürətlə qaçır.
马上	dərhal; elə indi	Mən dərhal qayıdacağam.
满意	razı; məmnun	Mən bu otaqdan çox razıyam.
帽子	papaq; şlyapa	Bu papaq çox gözəldir.
米	metr; düyü	Bu stolun uzunluğu iki metrdir.
面包	çörək	Mən səhər yeməyində çörək yeyirəm.
明白	anlamaq; aydın	Mən sənin nə demək istədiyini başa düşürəm.
拿	götürmək; tutmaq	Zəhmət olmasa, mənim üçün bir kitab götürün.
奶奶	nənə	Nənəm musiqi dinləməyi xoşlayır.
南	cənub	Məktəb şəhərin cənubundadır.
难	çətin	Bu sual çətin deyil.
难过	kədərlənmək; pis olmaq	O bu gün bir az kədərlidir.
年级	sinif; təhsil ili	Mənim kiçik bacım üçüncü sinifdə oxuyur.
年轻	gənc	Bu menecer çox gəncdir.
鸟	quş	Ağacın üstündə bir quş var.
努力	çalışmaq; səy göstərmək	O çox səylə oxuyur.
爬山	dağa çıxmaq; yürüş etmək	Biz bu həftəsonu dağa çıxacağıq.
盘子	boşqab; nimçə	Stolun üstündə üç boşqab var.
胖	kök; dolu	Bu it bir az kökdür.
啤酒	pivə	Atam pivə içmir.
皮鞋	dəri ayaqqabı	Bu cüt dəri ayaqqabı bahalıdır.
瓶子	şüşə; butulka	Şüşədə su var.
其实	əslində	Əslində, mən pivəni xoşlamıram.
其他	digər; başqa	Digər sinif yoldaşları hamısı gəlib.
奇怪	qəribə	Bu səs çox qəribədir.
骑	minmək	O hər gün işə velosipedlə gedir.
起飞	havaya qalxmaq	Təyyarə tezliklə havaya qalxacaq.
起来	ayağa qalxmaq; yuxarı istiqamət	Zəhmət olmasa, ayağa qalxın.
清楚	aydın; dəqiq	Sən çox aydın danışdın.
请假	icazə almaq	O soyuqlayıb və icazə almalıdır.
秋	payız	Payızda hava rahat olur.
裙子	ətək	Bu ətək çox gözəldir.
然后	sonra; ondan sonra	Mən əvvəl yemək yeyirəm, sonra ev tapşırığı edirəm.
热情	səmimi; həvəsli	Çinli dostlar çox səmimidirlər.
认为	düşünmək; hesab etmək	Məncə, bu üsul yaxşıdır.
认真	ciddi; diqqətli	Zəhmət olmasa, müəllimi diqqətlə dinləyin.
容易	asan	Bu Çin heroqlifini yazmaq asandır.
如果	əgər	Əgər yağış yağsa, metro ilə gedəcəyik.
伞	çətir	Yağış yağır, zəhmət olmasa, çətir götürün.
上网	internetə girmək	Mən axşam xəritəyə baxmaq üçün internetə girirəm.
声音	səs	Sənin səsin xoş gəlir.
生气	əsəbiləşmək; hirslənmək	Hirslənmə, mən bunu qəsdən etmədim.
世界	dünya	Dünya çox böyükdür.
试	sınamaq; yoxlamaq	Mən bu cüt dəri ayaqqabını geyinib yoxlamaq istəyirəm.
瘦	arıq; incə	O əvvəlkindən daha arıqdır.
叔叔	əmi	Əmim məni məktəbə maşınla aparır.
舒服	rahat; özünü yaxşı hiss etmək	Bu stul rahatdır.
数学	riyaziyyat	Riyaziyyat dərsi maraqlıdır.
树	ağac	Evin qarşısında bir ağac var.
刷牙	diş fırçalamaq	Mən hər səhər dişlərimi fırçalayıram.
双	cüt; iki	Mən bir cüt dəri ayaqqabı aldım.
水平	səviyyə	Onun Çin dili səviyyəsi yüksəkdir.
司机	sürücü	Sürücü bizi qapıda gözləyir.
太阳	günəş	Bu gün günəş güclüdür.
特别	xüsusilə; xüsusi	Bu proqram xüsusilə maraqlıdır.
疼	ağrımaq; ağrılı	Ayağım ağrıyır.
提高	yüksəltmək; artırmaq	Daha çox məşq Çin dili səviyyəsini yüksəldə bilər.
体育	idman; bədən tərbiyəsi	Mən bədən tərbiyəsi dərsini xoşlayıram.
甜	şirin	Bu içki çox şirindir.
条	zolaq; say sözü	Mən bir ətək aldım.
同事	həmkar	Mənim həmkarım çox məşğuldur.
同意	razılaşmaq	Mən sənin qərarınla razıyam.
头发	saç	Onun saçı uzundur.
突然	qəfil; birdən	O birdən getdi.
图书馆	kitabxana	Kitabxana bu gün açıq deyil.
腿	ayaq	Dağa çıxdıqdan sonra ayaqlarım ağrıyır.
完成	tamamlamaq; bitirmək	Mən ev tapşırığını artıq bitirmişəm.
碗	kasa; piyalə	Stolun üstündə iki kasa var.
万	on min	Bu şəhərdə on min insan var.
忘记	unutmaq	Pasportunu gətirməyi unutma.
为	üçün; görə	Mən sənin üçün sevinirəm.
为了	üçün; məqsədilə	İmtahan üçün o hər gün təkrar edir.
位	insanlar üçün nəzakətli say sözü	Bu müəllim çox məşhurdur.
文化	mədəniyyət	Mən Çin mədəniyyətini anlamaq istəyirəm.
西	qərb	Bank məktəbin qərbindədir.
习惯	vərdiş; alışmaq	Mən səhərlər idman etməyə alışmışam.
洗手间	tualet; ayaqyolu	Ayaqyolu sağdadır.
洗澡	çimmək; duş qəbul etmək	Mən axşam duş qəbul edirəm.
夏	yay	Yay çox isti olur.
先	əvvəl; birinci	Sən əvvəl yemək ye.
相信	inanmaq	Mən onun gələcəyinə inanıram.
香蕉	banan	Mən üç banan aldım.
像	oxşamaq; kimi olmaq	Bu bulud quşa oxşayır.
向	istiqamət; tərəfə	Zəhmət olmasa, sola tərəf gedin.
小心	ehtiyatlı olmaq	Yağış yağır, yolda ehtiyatlı ol.
校长	direktor	Məktəb direktoru ofisdədir.
新闻	xəbər	Atam hər gün xəbərlərə baxır.
新鲜	təzə	Bu meyvə çox təzədir.
信用卡	kredit kartı	Kredit kartı ilə ödəyə bilərəm?
行李箱	çamadan	Mənim çamadanım ağırdır.
熊猫	panda ayısı	Uşaqlar panda ayılarına baxmağı xoşlayırlar.
需要	ehtiyac duymaq; lazım olmaq	Mənim sənin köməyinə ehtiyacım var.
选择	seçmək; seçim	Sən hansı köynəyi seçirsən?
要求	tələb etmək; istəmək	Müəllim bizdən ev tapşırığını diqqətlə etməyi tələb edir.
爷爷	baba	Babam hər gün ictimai bağa gedir.
一直	həmişə; davamlı olaraq	O səni çoxdan gözləyir.
一定	mütləq; yəqin	Mən mütləq gələcəyəm.
一共	cəmi; birlikdə	Bu kitablar cəmi neçəyədir?
一会儿	bir az; bir müddət	Zəhmət olmasa, məni bir az gözlə.
一样	eyni; bərabər	Bu iki fincan eyni böyüklükdədir.
以前	əvvəl; keçmişdə	Mən əvvəllər Pekində yaşayırdım.
一般	adi; ümumi	Bu restoranın yeməyi adidir.
一边	bir tərəf; eyni zamanda	O musiqi dinləyə-dinləyə ev tapşırığı edir.
音乐	musiqi	Mən Çin musiqisini xoşlayıram.
银行	bank	Bank böyük mağazanın yanındadır.
饮料	içki	Bu içkinin dadı yaxşıdır.
应该	gərək; lazımdır	Sən daha çox dincəlməlisən.
影响	təsir; təsir etmək	Hava yarışa təsir edəcək.
用	istifadə etmək	Mən ev tapşırığı etmək üçün kompüterdən istifadə edirəm.
游戏	oyun	Uşaqlar oyun oynayırlar.
有名	məşhur	Bu restoran çox məşhurdur.
又	yenidən; yenə	O bu gün yenə gecikdi.
遇到	rast gəlmək; qarşılaşmaq	Mən küçədə müəllimə rast gəldim.
元	yuan; pul vahidi	Bu lüğət əlli yuandır.
愿意	istəmək; razı olmaq	İştirak etməyə razısınız?
月亮	ay	Bu gecə ay parlaqdır.
越	getdikcə; nə qədər... bir o qədər...	Çin dilini nə qədər çox öyrənsəm, bir o qədər maraqlı olur.
站	stansiya; dayanmaq	O qapının yanında dayanıb.
张	yastı əşyalar üçün say sözü	Zəhmət olmasa, mənə bir xəritə verin.
长	böyümək	Uşaqlar tez böyüyür.
着急	narahat olmaq; tələsmək	Narahat olma, lift tezliklə gələcək.
照顾	qayğı göstərmək; baxmaq	O xəstə nənəsinə baxır.
照片	foto; şəkil	Bu foto yaxşı görünür.
照相机	fotoaparat	Mən fotoaparatla şəkil çəkirəm.
283:只	yalnız; ancaq	Mən yalnız bir fincan çay içirəm.
284:只	heyvanlar üçün say sözü	Stolun altında bir pişik var.
只有…才…	yalnız... onda...	Yalnız diqqətlə təkrar etsən, imtahanda yaxşı nəticə göstərə bilərsən.
中间	orta; arasında	Stol otağın ortasındadır.
中文	Çin dili; Çin yazısı	Mən hər gün Çin dili öyrənirəm.
终于	nəhayət	Biz nəhayət çatdıq.
种	növ; çeşid	Sən hansı növ içkini xoşlayırsan?
重要	vacib; mühüm	Pasport çox vacibdir.
周末	həftəsonu	Mən həftəsonu ictimai bağa getmək istəyirəm.
主要	əsas	Onun əsas marağı musiqidir.
注意	diqqət etmək	Zəhmət olmasa, müəllimə diqqət edin.
自己	özü; özüm	Mən ev tapşırığını özüm etmək istəyirəm.
自行车	velosiped	Mənim velosipedim aşağıdadır.
总是	həmişə	O həmişə ofisə tez çatır.
嘴	ağız	Zəhmət olmasa, ağzınızı açın.
最后	son; nəhayət	Sonda hamımız razılaşdıq.
最近	son vaxtlar; bu günlərdə	Son vaxtlar məşğulam.
作业	ev tapşırığı; iş	Mən ev tapşırığını hələ bitirməmişəm.
