simplified	NL	example_NL
伴随	gepaard gaan	Succes gaat vaak gepaard met druk
半途而废	halverwege opgeven	Bij onderzoek mag je niet halverwege opgeven
扮演	spelen	Hij speelt een arts in de film
榜样	het rolmodel	Ouders zijn rolmodellen voor kinderen
绑架	de ontvoering	De politie voorkwam een ontvoeringszaak
磅	het pond	Deze doos weegt twintig pond
包庇	dekken	Niemand mag een misdaad dekken
包袱	de last	Nadat hij zijn last had neergelegd, voelde hij zich veel lichter
包围	omringen	Verslaggevers omringden de acteur
包装	de verpakking	De verpakking van dit cadeau is erg mooi
保管	bewaren	Deze documenten worden door mij bewaard
保密	geheimhouden	De inhoud van de vergadering moet geheim worden gehouden
保姆	de oppas	Zij huurden een oppas in
保守	conservatief	Zijn ideeen zijn vrij conservatief
保卫	verdedigen	Soldaten verdedigen de grens
保养	onderhouden	Deze auto heeft regelmatig onderhoud nodig
保障	waarborgen	De wet waarborgt de rechten van burgers
保重	goed voor jezelf zorgen	Zorg goed voor jezelf wanneer je van huis bent
饱和	de verzadiging	Deze markt is al bijna verzadigd
饱经沧桑	veel hebben meegemaakt	Deze oude man heeft veel meegemaakt
报酬	de vergoeding	Hij kreeg een redelijke vergoeding
报仇	wraak nemen	Hij wil geen wraak nemen, alleen opnieuw beginnen
报答	terugbetalen	Ik zal je hulp met daden terugbetalen
报复	wraak	Wraak verdiept het conflict alleen maar
报警	de politie bellen	Als je brand ontdekt, moet je meteen de politie bellen
报销	vergoeden	Reiskosten kunnen worden vergoed
抱负	de ambitie	Hij had van jongs af aan grote ambities
暴力	het geweld	Wij zijn tegen elke vorm van geweld
暴露	aan het licht komen	Dit probleem kwam geleidelijk aan het licht
曝光	openbaar worden	Nadat deze foto openbaar werd, trok hij aandacht
爆发	uitbarsten	De vulkaan barstte plotseling uit
爆炸	de explosie	Er vond een explosie plaats in het laboratorium
卑鄙	gemeen	Deze gemene aanpak maakt mensen boos
悲哀	verdrietig	Toen hij het nieuws hoorde, voelde hij zich erg verdrietig
悲惨	tragisch	Dat was een tragische periode in de geschiedenis
北极	de Noordpool	Wetenschappers doen onderzoek op de Noordpool
备份	de reservekopie	Maak eerst een reservekopie van belangrijke bestanden
备忘录	de memo	Ze schreef de belangrijkste punten in de memo
背叛	het verraad	Hij kon het verraad van zijn vriend niet accepteren
背诵	opzeggen	De leerlingen zeggen de tekst uit het hoofd op
被动	passief	In de onderhandeling mogen we niet te passief zijn
被告	de beklaagde	De beklaagde ontkende alle beschuldigingen
贝壳	de schelp	Het kind raapte schelpen op aan zee
奔波	heen en weer rennen	Hij rent overal heen en weer voor zijn werk
奔驰	snellen	De auto snelde over de snelweg
本能	het instinct	Kinderen beschermen is het instinct van ouders
本钱	het startkapitaal	Zakendoen vereist startkapitaal
本人	ikzelf	Ikzelf ben bereid verantwoordelijkheid te nemen
本身	op zichzelf	Met het plan op zichzelf is niets mis
本事	de vaardigheid	Hij heeft veel vaardigheid
笨拙	onhandig	Zijn bewegingen zijn een beetje onhandig
崩溃	instorten	Het systeem stortte plotseling in
甭	niet hoeven	Je hoeft je hierover geen zorgen te maken
蹦	springen	De puppy sprong rond op het gras
迸发	losbarsten	Applaus barstte los uit de menigte
逼迫	dwingen	Ze dwongen hem het contract te ondertekenen
鼻涕	het snot	Het kind is verkouden en heeft steeds een loopneus
比方	het voorbeeld	Bijvoorbeeld, we kunnen het eerst een maand proberen
比喻	de metafoor	Deze metafoor is erg beeldend
比重	het aandeel	Het aandeel van de dienstensector wordt steeds groter
鄙视	minachten	Minacht de inspanningen van anderen niet
弊病	het mankement	Dit systeem heeft behoorlijk wat mankementen
弊端	het nadeel	Het nieuwe plan loste de nadelen van het oude systeem op
臂	de arm	Zijn rechterarm raakte gewond
闭塞	afgelegen	Het vervoer in dit bergdorp was vroeger erg afgelegen
编织	breien	Oma is een trui aan het breien
边疆	het grensgebied	Veel soldaten bewaken het grensgebied van het land
边界	de grens	De twee landen trokken de grens opnieuw
边境	de grensstreek	In de grensstreek zijn de veiligheidscontroles versterkt
边缘	de rand	De beker staat op de rand van de tafel
鞭策	aansporen	De woorden van de leraar hebben mij altijd aangespoord
扁	plat	Deze doos is breed en plat
贬低	kleineren	Kleineer de inspanningen van anderen niet zomaar
贬义	negatieve bijklank	Dit woord heeft hier een negatieve bijklank
便利	gemakkelijk	De metro maakt reizen gemakkelijker
便条	het briefje	Hij liet een briefje op tafel achter
便于	handig voor	Dit ontwerp is handig voor ouderen
变故	de tegenslag	Thuis gebeurde plotseling een tegenslag
变迁	de verandering	De veranderingen in de stad raakten hem diep
变质	bederven	Melk bederft als je die te lang laat staan
辨认	herkennen	De politie vroeg hem de persoon op de foto te herkennen
辩护	verdedigen	De advocaat verdedigde de beklaagde
辩解	rechtvaardigen	Hij probeerde zijn fout te rechtvaardigen
辩证	dialectisch	We moeten dit probleem dialectisch bekijken
辫子	de vlecht	Het kleine meisje draagt twee vlechten
遍布	overal voorkomen	Deze plant komt in het hele land voor
标本	het specimen	In het museum worden dierlijke specimens tentoongesteld
标记	de markering	Maak markeringen naast de belangrijke alinea's
标题	de titel	De titel van dit artikel is erg aantrekkelijk
表决	stemmen	De afgevaardigden zullen over het voorstel stemmen
表态	standpunt innemen	Hij heeft nog niet openlijk een standpunt ingenomen
表彰	onderscheiden	Het bedrijf onderscheidde uitstekende medewerkers
憋	inhouden	Hij hield zijn lach in en zei niets
别墅	de villa	Ze kochten een villa in de buitenwijk
别致	bijzonder	De inrichting van dit cafe is heel bijzonder
别扭	ongemakkelijk	Deze zin klinkt een beetje ongemakkelijk
濒临	op de rand staan	Dit dier staat op de rand van uitsterven
冰雹	de hagel	Gisterenmiddag viel er zware hagel
丙	groep C	De wedstrijd van groep C begint vanmiddag
并非	niet zo zijn	De zaak is niet zoals jij denkt
并列	gedeeld	Deze twee projecten staan gedeeld eerste
剥削	uitbuiting	In de oude maatschappij bestond ernstige uitbuiting
拨	draaien	Draai alstublieft dit telefoonnummer
播种	zaaien	Boeren beginnen in de lente met zaaien
波浪	de golf	Er kwamen grote golven op zee
波涛	de hoge golven	De boot voer door de hoge golven
伯母	de tante	Ik ga dit weekend mijn tante bezoeken
博大精深	breed en diepgaand	De Chinese cultuur is breed en diepgaand
博览会	de beurs	De internationale beurs trok veel bedrijven aan
搏斗	vechten	De politie vocht met de misdadiger
薄弱	zwak	Zijn grammaticabasis is vrij zwak
不顾	ondanks	Hij rende naar binnen ondanks het gevaar
不愧	terecht	Hij is terecht een ervaren expert
不料	onverwacht	Onverwacht werd de vergadering plotseling geannuleerd
不像话	schandalig	Zo met gasten omgaan is schandalig
不屑一顾	minachtend negeren	Hij negeerde deze geruchten minachtend
哺乳	borstvoeding geven	De moeder geeft de baby borstvoeding
捕捉	vastleggen	De fotograaf legde een prachtig moment vast
补偿	compenseren	Het bedrijf zal je verlies compenseren
补救	herstellen	We hebben nog tijd om het te herstellen
补贴	de subsidie	De overheid geeft subsidies aan gezinnen met lage inkomens
不得已	geen andere keuze hebben	Hij verliet zijn geboorteplaats alleen omdat hij geen andere keuze had
不妨	gerust kunnen	Je kunt gerust eerst naar zijn uitleg luisteren
不敢当	niet verdienen	Ik verdien uw lof echt niet
不禁	niet kunnen laten	Toen hij het nieuws hoorde, kon hij niet anders dan lachen
不堪	onverdraaglijk	Het lawaai hier is onverdraaglijk
不可思议	ongelooflijk	Dit resultaat is echt ongelooflijk
不免	onvermijdelijk	Toen hij voor het eerst op het podium stond, was hij onvermijdelijk wat zenuwachtig
不时	af en toe	Hij keek af en toe naar de klok
不惜	niet aarzelen	Om iemand te redden aarzelde hij niet risico te nemen
不相上下	aan elkaar gewaagd	De twee teams zijn aan elkaar gewaagd
不言而喻	vanzelfsprekend	Het belang van eerlijkheid is vanzelfsprekend
不由得	niet kunnen helpen	Bij het zien van de oude foto moest ik aan mijn kindertijd denken
不择手段	zonder scrupules	Hij gebruikt zonder scrupules elk middel om geld te verdienen
不止	meer dan	Er namen meer dan honderd mensen deel aan de vergadering
布告	de kennisgeving	Er hing een kennisgeving bij de schoolpoort
布局	de indeling	De indeling van dit appartement is heel redelijk
布置	opdragen	De leraar gaf nieuw huiswerk op
步伐	de pas	De groep marcheerde vooruit met nette passen
部署	inzetten	Het bedrijf zet een nieuw verkoopplan in
部位	de plek	De arts onderzocht de gewonde plek
才干	de bekwaamheid	Zij heeft veel bekwaamheid in management
裁缝	de kleermaker	Deze kleermaker is erg vakkundig
裁判	de scheidsrechter	De scheidsrechter kondigde aan dat de wedstrijd werd onderbroken
裁员	personeel ontslaan	Het bedrijf besloot personeel te ontslaan vanwege verliezen
财富	de rijkdom	Kennis is ook een vorm van rijkdom
财务	de financien	De financiele afdeling controleert de rekeningen
财政	de overheidsfinancien	De overheidsinkomsten zijn dit jaar wat gestegen
彩票	het lot	Hij koopt af en toe een lot
采购	inkopen	Het bedrijf stuurde iemand om apparatuur in te kopen
采集	verzamelen	Onderzoekers verzamelden monsters in het bos
采纳	overnemen	De leiding nam ons voorstel over
参谋	adviseren	Hij adviseert de manager vaak
参照	raadplegen	Vul het formulier in volgens dit voorbeeld
残疾	met een beperking	Dit station biedt hulp aan reizigers met een beperking
残酷	wreed	Oorlog is zeer wreed
残留	achterblijven	Er bleef nog koffielucht in de beker achter
残忍	wreed	Dieren mishandelen is wreed gedrag
灿烂	stralend	Ze liet een stralende glimlach zien
仓促	overhaast	Deze beslissing is te overhaast genomen
仓库	het magazijn	De goederen zijn al in het magazijn afgeleverd
舱	de cabine	Passagiers gaan de cabine binnen
苍白	bleek	Zijn gezicht zag er erg bleek uit
操劳	hard werken	Moeder heeft jarenlang hard gewerkt voor dit gezin
操练	oefenen	De soldaten oefenen elke ochtend
操纵	besturen	Deze machine wordt door een computer bestuurd
操作	bedienen	Bedien de apparatuur volgens de instructies
嘈杂	lawaaiig	Het is erg lawaaiig op het station
草案	het concept	De commissie bespreekt het concept
草率	onzorgvuldig	Zo'n belangrijke beslissing mag niet onzorgvuldig zijn
侧面	de zijkant	Vanaf de zijkant lijkt dit gebouw hoger
测量	meten	De ingenieur meet de lengte van de brug
策划	plannen	Ze planden een groot evenement
策略	de strategie	Deze strategie hielp het bedrijf de kosten te verlagen
层出不穷	blijven opduiken	Nieuwe problemen blijven een voor een opduiken
层次	de structuur	De structuur van dit artikel is heel duidelijk
差别	het verschil	Er is niet veel verschil tussen de twee methoden
插座	het stopcontact	Er zijn niet genoeg stopcontacten in deze kamer
查获	in beslag nemen	De douane nam een partij nepartikelen in beslag
刹那	het ogenblik	In een ogenblik gingen alle lichten uit
岔	de splitsing	De auto's splitsten zich bij het kruispunt verderop
诧异	verbaasd	Zijn beslissing maakte iedereen erg verbaasd
柴油	de diesel	Deze vrachtwagen gebruikt diesel
搀	ondersteunen	De verpleegkundige ondersteunde de oude man naar de ziekenzaal
缠绕	omwikkelen	De ranken wikkelen zich om de takken
馋	trek hebben	Bij het zien van de taart kreeg het kind trek
产业	de sector	Toerisme is hier een belangrijke sector
阐述	uiteenzetten	De professor zette zijn standpunt gedetailleerd uiteen
颤抖	beven	Ze had het zo koud dat haar hele lichaam beefde
昌盛	voorspoedig	We hopen dat het land voorspoedig en bloeiend zal zijn
偿还	terugbetalen	Hij betaalde de lening op tijd terug
尝试	proberen	We kunnen een nieuwe methode proberen
场合	de gelegenheid	Deze gelegenheid is niet geschikt om grappen te maken
场面	het tafereel	Het tafereel van de bruiloft was erg levendig
场所	de plaats	Dit is een openbare plaats, rook alstublieft niet
敞开	wijd openzetten	Zet het raam alstublieft een tijdje wijd open
倡导	bevorderen	De school bevordert een gezonde levensstijl
倡议	het initiatief	Dit milieu-initiatief kreeg steun
畅通	vrij toegankelijk	Nadat de regen stopte, was de weg weer vrij
畅销	goed verkopen	Deze roman verkoopt erg goed
超越	overtreffen	Hij overtrof eindelijk zijn eigen record
钞票	het bankbiljet	Er bleven maar een paar bankbiljetten in de portemonnee over
嘲笑	uitlachen	Lach de tekortkomingen van anderen niet uit
巢穴	het hol	De jager ontdekte het hol van het dier
朝代	de dynastie	De Tang is een dynastie in de Chinese geschiedenis
潮流	de trend	Jongeren letten sterk op modetrends
撤退	zich terugtrekken	De troepen trokken zich terug nadat ze het bevel kregen
撤销	intrekken	De rechtbank trok het oorspronkelijke vonnis in
沉淀	bezinken	Het slib zal langzaam bezinken
沉闷	benauwd	Het weer is vandaag heet en benauwd
沉思	diepe gedachten	Hij zat bij het raam in diepe gedachten
沉重	zwaar	Dit nieuws maakte iedereen zwaar van hart
沉着	kalm	Blijf kalm wanneer je gevaar tegenkomt
陈旧	verouderd	Deze machine is al erg verouderd
陈列	tentoonstellen	In de zaal worden veel cultuurvoorwerpen tentoongesteld
陈述	verklaren	Verklaar de feiten alstublieft duidelijk
称心如意	naar wens	Deze baan is helemaal naar zijn wens
衬托	doen uitkomen	De witte muur doet de kleur van de bloemen uitkomen
称号	de titel	Hij kreeg de titel van uitstekende leraar
乘	nemen	Ik neem elke dag de metro naar mijn werk
呈现	aannemen	De lucht nam een lichte rode kleur aan
城堡	het kasteel	Op de bergtop staat een oud kasteel
惩罚	straffen	De school straft leerlingen die spieken
成本	de kosten	Stijgende grondstofprijzen verhoogden de kosten
成交	de deal	Deze zakelijke deal werd eindelijk gesloten
成天	de hele dag	Hij zit de hele dag achter de computer
成效	het resultaat	De nieuwe beheermethode liet al snel resultaat zien
成心	opzettelijk	Hij wilde je niet opzettelijk in verlegenheid brengen
成员	het lid	Elk lid moet de vergadering bijwonen
承办	organiseren	Dit bedrijf organiseerde de tentoonstelling
承包	aannemen	Zij namen dit project aan
承诺	beloven	Hij beloofde de taak op tijd af te maken
橙	de sinaasappel	Ik kocht een paar verse sinaasappels
澄清	ophelderen	De manager kwam naar buiten om het misverstand op te helderen
盛	opscheppen	Ze schepte een kom soep op voor de gast
诚挚	oprecht	Aanvaard alstublieft mijn oprechte dank
秤	de weegschaal	Deze weegschaal is niet erg nauwkeurig
吃苦	ontberingen verdragen	Jongeren moeten leren ontberingen te verdragen
吃力	veel moeite kosten	Deze doos verplaatsen kost veel moeite
持久	duurzaam	Succes vereist duurzame inspanning
迟钝	traag	Zijn reacties zijn de laatste tijd wat traag
迟缓	langzaam	Na de regen werd het verkeer langzaam
迟疑	aarzelen	Ze aarzelde even voordat ze antwoordde
赤道	de evenaar	Het is het hele jaar warm bij de evenaar
赤字	het tekort	Het bedrijf draaide dit jaar een tekort
充当	optreden als	Hij trad in het project op als coordinator
充沛	overvloedig	De kinderen hebben overvloedige energie
充实	vervullend	Deze ervaring maakte mijn leven meer vervullend
充足	voldoende	Bereid voldoende water voor voor de reis
冲动	de impuls	Neem geen beslissing door een tijdelijke impuls
冲击	de schok	Nieuwe technologie gaf traditionele sectoren een schok
冲突	het conflict	Beide partijen probeerden conflict te vermijden
崇拜	bewonderen	Veel jongeren bewonderen deze wetenschapper
崇高	edel	De taak van een arts is edel
崇敬	hoogachten	Alle studenten hebben veel achting voor deze leraar
重叠	overlappen	Deze twee taken overlappen gedeeltelijk
稠密	dichtbevolkt	De bevolking hier is zeer dicht
筹备	voorbereiden	Ze bereiden de bruiloft voor
丑恶	afschuwelijk	Hij onthulde de afschuwelijke waarheid achter het incident
出路	de uitweg	Onderwijs kan jongeren meer uitwegen bieden
出卖	verraden	Hij zou zijn vrienden niet verraden
出身	afkomst	Hij komt uit een gewoon gezin
出神	verzonken	Ze was verzonken in de muziek
出息	toekomstperspectief	Dit kind heeft later goede toekomstperspectieven
初步	voorlopig	We hebben al een voorlopig akkoord bereikt
除	behalve	Iedereen is aangekomen behalve hij
储备	reserves aanleggen	Het bedrijf moet meer geldreserves aanleggen
储存	opslaan	Deze gegevens worden automatisch opgeslagen
储蓄	sparen	Hij spaart elke maand een deel van zijn salaris
处分	disciplinaire straf	De school gaf hem een zware disciplinaire straf
处境	de moeilijke situatie	Hun huidige situatie is erg moeilijk
处置	afhandelen	Deze oude apparatuur moet zorgvuldig worden afgehandeld
触犯	overtreden	Dit doen zou de wet overtreden
川流不息	onophoudelijk stromen	De voertuigen op straat stroomden onophoudelijk voorbij
穿越	doorkruisen	De trein doorkruiste de lange tunnel
传达	doorgeven	Geef dit bericht alstublieft aan iedereen door
传单	de folder	Vrijwilligers deelden op straat folders uit
传授	overdragen	De docent droeg zijn ervaring over aan de studenten
船舶	de schepen	In de haven lagen veel schepen aangemeerd
喘气	hijgen	Na het hardlopen bleef hij hijgen
串	rijgen	Ze reeg de kralen tot een ketting
床单	het laken	Vervang alstublieft het laken
创立	oprichten	Zij richtten samen dit bedrijf op
创新	innovatie	De ontwikkeling van een bedrijf vereist voortdurende innovatie
创业	een bedrijf starten	Veel jongeren kiezen ervoor een bedrijf te starten
创作	schrijven	De schrijver werkt aan een lange roman
吹牛	opscheppen	Schep niet op maar laat bewijs zien
吹捧	ophemelen	De media hemelden dit product overdreven op
炊烟	kookrook	Tegen de avond steeg er kookrook op uit het dorp
垂直	loodrecht	Deze twee lijnen staan loodrecht op elkaar
锤	de hamer	De arbeider sloeg met een hamer op de ijzeren plaat
纯粹	louter	Zijn hulp kwam louter uit goede wil
纯洁	zuiver	Het hart van een kind is heel zuiver
慈善	liefdadigheid	Dit bedrijf doet vaak mee aan liefdadigheidsactiviteiten
慈祥	goedig	Oma had een goedige glimlach
磁带	de cassetteband	Deze oude cassetteband kan nog worden afgespeeld
雌雄	mannetjes en vrouwtjes	Bij deze vogelsoort hebben mannetjes en vrouwtjes verschillende kleuren
伺候	verzorgen	De verpleegkundige verzorgde de patient zorgvuldig
刺	de doorn	Er zitten veel doornen aan de rozentak
次品	defecte producten	Deze defecte producten mogen niet worden verkocht
次序	volgorde	Ga alstublieft in volgorde in de rij staan
丛	het groepje	Langs de weg stond een groepje wilde bloemen
从容	kalm	Ze beantwoordde de vraag kalm
凑合	zich behelpen	De kamer is niet groot maar je kunt je er behelpen
粗鲁	grof	Hij spreekt veel te grof
窜	wegschieten	Die kat schoot plotseling het huis in
摧残	verwoesten	Langdurige vervuiling zal dit bos verwoesten
脆弱	kwetsbaar	Glaswerk is erg kwetsbaar
搓	wrijven	Hij wreef over zijn koude handen
磋商	overleggen	Beide partijen zullen verder overleggen
挫折	de tegenslag	Iedereen krijgt met tegenslagen te maken
搭	nemen	We nemen de bus naar het vliegveld
搭档	de partner	Hij is al jaren mijn werkpartner
搭配	passen bij	Deze jas past goed bij de broek
答辩	de verdediging	De masterstudent bereidt zijn scriptieverdediging voor
答复	het antwoord	Geef mij alstublieft zo snel mogelijk antwoord
达成	bereiken	De twee partijen bereikten uiteindelijk een akkoord
打包	inpakken	De ober pakte de restjes voor ons in
打官司	procederen	Ze gingen procederen vanwege een contractprobleem
打击	de klap	Deze mislukking was een grote klap voor hem
打架	vechten	Studenten die op de campus vechten krijgen straf
打量	opnemen	Ze nam mij van top tot teen op
打猎	jagen	Jagen is hier verboden
打仗	oorlog voeren	Niemand wil oorlog voeren
大不了	in het ergste geval	In het ergste geval proberen we het morgen opnieuw
大臣	de minister	De koning ontbood enkele ministers
大伙儿	iedereen	Iedereen wacht op jouw beslissing
大肆	grootschalig	De handelaar promootte het nieuwe product grootschalig
大体	in grote lijnen	In grote lijnen is er geen probleem met het plan
大意	de hoofdgedachte	Vertel eerst de hoofdgedachte van dit artikel
大致	globaal	Ik begrijp globaal wat er is gebeurd
歹徒	de crimineel	De politie pakte de crimineel snel op
代价	de prijs	Succes vraagt vaak dat je een prijs betaalt
代理	waarnemen	Hij neemt tijdelijk het werk van de manager waar
带领	leiden	De docent leidde de studenten door het museum
怠慢	verwaarlozen	We mogen onze gasten niet verwaarlozen
逮捕	arresteren	De politie arresteerde de hoofdverdachte
担保	garant staan	De bank eist dat iemand garant staat
胆怯	schuchter	Bij zijn eerste toespraak was hij een beetje schuchter
淡季	het laagseizoen	Vliegtickets zijn in het laagseizoen goedkoper
淡水	zoet water	Deze vis kan alleen in zoet water leven
蛋白质	eiwit	Eieren bevatten veel eiwit
诞辰	de geboortedag	Vandaag is de geboortedag van deze schrijver
诞生	ontstaan	Dit idee ontstond tijdens de discussie
当场	ter plekke	Hij gaf zijn fout ter plekke toe
当初	toen	Toen steunden we allemaal deze beslissing
当代	hedendaags	De hedendaagse samenleving verandert snel
当面	in persoon	Problemen kun je het beste in persoon duidelijk uitleggen
当前	huidig	Het belangrijkste op dit moment is de veiligheid garanderen
当事人	de betrokkene	De politie ondervraagt de betrokkene
当务之急	de hoogste prioriteit	Het huisvestingsprobleem oplossen is de hoogste prioriteit
当选	verkozen worden	Zij werd zonder problemen tot voorzitter verkozen
党	de partij	Deze partij stelde nieuw beleid voor
档案	het dossier	De school bewaarde de dossiers van de studenten
档次	het niveau	Dit hotel heeft een hoog niveau
倒闭	failliet gaan	Dat kleine winkeltje ging vorig jaar failliet
导弹	de raket	Het nieuws berichtte over de raketproef
导航	navigatie	Zet alstublieft de navigatie op de telefoon aan
导向	de oriëntatie	Onderwijsbeleid moet gericht zijn op eerlijkheid
捣乱	problemen veroorzaken	Veroorzaak alstublieft geen problemen in de les
盗窃	diefstal	Het winkelcentrum nam strengere maatregelen tegen diefstal
稻谷	ongepelde rijst	De boeren oogsten ongepelde rijst
得不偿失	niet de moeite waard zijn	Slechte materialen kopen om geld te besparen is niet de moeite waard
得力	bekwaam	Hij is een bekwame assistent van de manager
得天独厚	uitzonderlijk gunstig	Deze stad heeft uitzonderlijk gunstige geografische voordelen
得罪	beledigen	Ik wil mijn collega's niet om een kleinigheid beledigen
灯笼	de lantaarn	Tijdens het Lentefeest hangen er rode lantaarns bij de deur
登录	inloggen	Log eerst in op je account
登陆	aan land komen	De tyfoon kan vannacht aan de kust aan land komen
蹬	afzetten	Hij zette krachtig af en de fiets kwam in beweging
等候	wachten	De passagiers wachten in de hal om in te stappen
等级	het niveau	Deze software heeft verschillende lidmaatschapsniveaus
瞪	aanstaren	Hij staarde mij boos aan
堤坝	de dam	Na de zware regen moet de dam zorgvuldig worden gecontroleerd
敌视	vijandig staan tegenover	We moeten niet vijandig staan tegenover andere meningen
抵达	aankomen	Het vliegtuig kwam op tijd in Beijing aan
抵抗	weerstand bieden	De dorpsbewoners boden samen weerstand tegen de overstroming
抵制	boycotten	Consumenten begonnen producten van slechte kwaliteit te boycotten
地步	het punt	De zaak is nog niet zo ernstig geworden
地势	het terrein	Het terrein ligt hier hoog, dus water blijft niet snel staan
地质	de geologie	Deskundigen onderzoeken de plaatselijke geologische omstandigheden
递增	geleidelijk toenemen	De omzet nam drie maanden achter elkaar toe
颠簸	hobbelig	De bergweg is erg hobbelig, dus rijd voorzichtig
颠倒	omdraaien	Je hebt de volgorde van de twee cijfers omgedraaid
典礼	de ceremonie	De diploma-uitreiking wordt in de aula gehouden
典型	typisch	Dit is een typisch succesvol geval
点缀	versieren	Een paar kleine bloemen versierden de eettafel
垫	de onderlegger	Leg dit vel papier alstublieft onder de beker
奠定	de basis leggen	Deze samenwerking legde de basis voor een langdurige relatie
惦记	zich zorgen maken	Moeder maakt zich steeds zorgen om haar kind ver weg
电源	de stroom	Schakel alstublieft de stroom uit voordat u weggaat
叼	in de bek houden	Die hond hield een bot in zijn bek
雕刻	snijden	Hij snijdt graag patronen in hout
雕塑	het beeldhouwwerk	In het midden van het plein staat een beeldhouwwerk
吊	optillen	De arbeiders tilden de stalen balk met een machine op
调动	overplaatsen	Het bedrijf plaatste hem over naar Shanghai
跌	dalen	De aandelenkoers daalde vandaag opnieuw
丁	het blokje	In het recept staat dat je de aardappelen in blokjes moet snijden
叮嘱	herhaaldelijk waarschuwen	De docent waarschuwde ons herhaaldelijk om op veiligheid te letten
盯	staren	Blijf alstublieft niet steeds naar anderen staren
定期	regelmatig	De arts raadde hem aan regelmatig medisch onderzoek te laten doen
定义	de definitie	Leg alstublieft eerst de definitie van dit begrip uit
丢人	gezichtsverlies lijden	In het openbaar liegen is echt beschamend
丢三落四	vergeetachtig	Hij is altijd vergeetachtig en vergeet vaak zijn sleutels als hij weggaat
东道主	de gastheer	Als gastheer moeten wij goed voor de gasten zorgen
东张西望	om zich heen kijken	Kijk tijdens de les niet steeds om je heen
董事长	de bestuursvoorzitter	De bestuursvoorzitter woonde vandaag de vergadering bij
冻结	bevriezen	De bank bevroor deze rekening tijdelijk
动荡	onrustig	Door de oorlog bleef deze regio lang onrustig
动机	het motief	De politie onderzoekt zijn motief
动静	geluid of beweging	In de kamer was geen enkel geluid of beweging te horen
动力	de drijfveer	Interesse is de drijfveer om te leren
动脉	de slagader	De arts onderzocht zijn slagader
动身	vertrekken	We vertrekken morgenochtend vroeg naar het vliegveld
动手	handgemeen worden	De zaak is nog niet duidelijk, dus niemand moet handgemeen worden
动态	de voortgang	Blijf alstublieft de voortgang van het project volgen
动员	mobiliseren	De school mobiliseerde studenten om aan vrijwilligerswerk mee te doen
栋	het gebouw	Dit gebouw heeft twintig verdiepingen
兜	de zak	Hij stopte de sleutels in zijn jaszak
陡峭	steil	Deze bergweg is erg steil
斗争	strijden	Zij strijden om het milieu te beschermen
督促	aansporen	De manager spoorde iedereen aan de taak op tijd af te maken
毒品	verdovende middelen	De douane nam een partij verdovende middelen in beslag
独裁	dictatuur	Mensen verzetten zich tegen dictatuur
堵塞	verstoppen	Afval verstopte het riool
赌博	gokken	Gokken kan ernstige gevolgen hebben
杜绝	een einde maken aan	Het bedrijf eist dat er een einde komt aan verspilling
端	dragen	Hij kwam binnen met een kop hete thee in zijn handen
端午节	het Drakenbootfeest	Tijdens het Drakenbootfeest eten we zongzi
端正	corrigeren	Studenten moeten hun leerhouding corrigeren
