source_headword	CS	example_CS
dub	nazývat	Kritici nazývají město hlavním městem kultury.
dumb	hloupý	Byla to hloupá chyba.
duo	duo	Komediální duo jelo na turné po Evropě.
eager	dychtivý	Studenti byli dychtiví začít.
earnings	příjmy	Příjmy společnosti prudce vzrostly.
ease	ulehčit	Nová silnice ulehčí dopravě.
echo	ozývat se	Její hlas se ozýval v hale.
ecological	ekologický	Ekologický dopad zůstává nejistý.
educator	pedagog	Pedagog navrhl nový kurz.
effectiveness	účinnost	Studie měřila účinnost vakcíny.
efficiency	efektivita	Lepší software zlepšil efektivitu.
ego	ego	Jeho ego způsobovalo problémy v práci.
elaborate	složitý	Složitý kostým trval týdny.
electoral	volební	Volební systém se loni změnil.
elevate	pozvednout	Ocenění pozvedne její profil.
eligible	způsobilý	Na slevy jsou způsobilí pouze obyvatelé.
elite	elita	Elita trénovala na soukromé akademii.
embark	vydat se	Vydají se na dlouhou cestu.
embarrassment	rozpaky	Zasmál se, aby skryl své rozpaky.
embassy	velvyslanectví	Velvyslanectví vydalo nové cestovní rady.
embed	začlenit se	Novinář se začlení do jednotky.
embody	ztělesňovat	Zdá se, že socha ztělesňuje odvahu.
emergence	vznik	Vznik telefonů změnil každodenní život.
empirical	empirický	Práce se opírá o empirické důkazy.
empower	posílit	Vzdělávání může posílit místní komunity.
enact	schválit	Parlament hlasoval pro schválení reformy.
encompass	zahrnovat	Kurz bude zahrnovat moderní historii.
encouragement	povzbuzení	Její povzbuzení mu pomohlo pokračovat.
encouraging	povzbudivý	První výsledky vypadají povzbudivě.
endeavour	snaha	Záchrana byla obtížná snaha.
endless	nekonečný	Poušť se zdála nekonečná.
endorse	podpořit	Odbory odmítly kandidáta podpořit.
endorsement	podpora	Jeho podpora oživila její kampaň.
endure	vydržet	Rostliny mohou vydržet drsné zimy.
enforce	prosazovat	Policie prosazuje rychlostní limit.
enforcement	prosazování	Přísnější prosazování omezilo nelegální skládky.
engagement	zapojení	Zapojení studentů se tento semestr zlepšilo.
engaging	poutavý	Řečník měl poutavý projev.
enquire	zeptat se	Zeptejte se prosím na recepci.
enrich	obohatit	Cestování může obohatit vaše porozumění.
enrol	zapsat se	Studenti se musí zapsat do září.
ensue	následovat	Po oznámení může následovat chaos.
enterprise	podnik	Podnik zaměstnává místní umělce.
enthusiast	nadšenec	Tuto trasu zná každý cyklistický nadšenec.
entitle	opravňovat	Vstupenka vás opravňuje ke vstupu.
entity	subjekt	Společnost je samostatný právní subjekt.
epidemic	epidemie	Epidemie se rozšířila do několika regionů.
equality	rovnost	Hnutí bojovalo za rovnost.
equation	rovnice	Rovnice obsahuje dvě neznámé.
erect	postavit	Dělníci postaví nový plot.
escalate	eskalovat	Konflikt by mohl rychle eskalovat.
essence	podstata	Báseň zachycuje podstatu dětství.
establishment	establishment	Establishment se postavil proti reformě.
eternal	věčný	Slibovali si věčné přátelství.
evacuate	evakuovat	Hasiči pomohli obyvatelům bezpečně se evakuovat.
evoke	vyvolat	Píseň může vyvolat silné vzpomínky.
evolutionary	evoluční	Fosilie ukazuje evoluční změnu.
exaggerate	přehánět	Nepřehánějte své zkušenosti.
excellence	dokonalost	Škola odměňuje akademickou dokonalost.
exceptional	výjimečný	Ukázala výjimečné schopnosti.
excess	přebytek	Přebytek vody zaplavil sklep.
exclusion	vyloučení	Sociální vyloučení škodí mladým lidem.
exclusive	exkluzivní	Klub nabízí exkluzivní přístup.
exclusively	výhradně	Tuto místnost využívá výhradně personál.
execute	provést	Tým provede plán pečlivě.
execution	provedení	Provedení strategie trvalo měsíce.
exert	vyvinout	Musíte vyvinout větší tlak.
exile	exil	Spisovatel žil v exilu.
expenditure	výdaje	Veřejné výdaje loni vzrostly.
experimental	experimentální	Léčba je stále experimentální.
expire	vypršet	Můj pas brzy vyprší.
explicit	výslovný	Pokyny byly výslovné.
explicitly	výslovně	Pravidla výslovně zakazují kouření.
exploitation	vykořisťování	Zpráva odhalila vykořisťování pracovníků.
explosive	výbušný	Výbušné zařízení bylo bezpečně odstraněno.
extremist	extremista	Extremistická skupina ztratila podporu.
facilitate	usnadnit	Aplikace usnadní dálkové studium.
faction	frakce	Jedna frakce se postavila proti vůdci.
faculty	fakulta	Fakulta návrh schválila.
fade	vyblednout	Barva na slunci vybledne.
fairness	spravedlnost	Spravedlnost je důležitá v každé soutěži.
fatal	smrtelný	Nehoda způsobila smrtelná zranění.
fate	osud	Nikdo neznal jeho osud.
favourable	příznivý	Recenze byla příznivá.
feat	výkon	Vylézt na ten vrchol byl výkon.
feminist	feministický	Feministické hnutí změnilo veřejnou debatu.
fibre	vláknina	Tento chléb obsahuje extra vlákninu.
fierce	prudký	Prudká bouře poškodila střechy.
film-maker	filmař	Filmař poté odpovídal na otázky.
filter	filtr	Filtr odstraňuje prach ze vzduchu.
fine	pokuta	Společnost zaplatila pokutu.
firearm	střelná zbraň	Policista našel ukradenou střelnou zbraň.
fit	střih	Nové boty perfektně sedí.
fixture	trvalá součást	Lampa je trvalou součástí.
flaw	chyba	Návrh má jednu vážnou chybu.
flawed	chybný	Chybná studie přinesla falešné výsledky.
flee	prchnout	Rodiny musely prchnout před boji.
fleet	flotila	Letecká společnost obnovila svou flotilu.
flesh	maso	Trn mu propíchl maso.
flexibility	flexibilita	Práce na dálku nabízí větší flexibilitu.
flourish	vzkvétat	Malé podniky zde mohou vzkvétat.
fluid	tekutina	Po cvičení pijte hodně tekutin.
footage	záběry	Záběry ukázaly nehodu.
foreigner	cizinec	Formulář se ptá, zda jste cizinec.
forge	navázat	Pokusili se navázat nové spojenectví.
formula	vzorec	Vzorec vyřešil problém.
formulate	formulovat	Vědci formulují novou teorii.
forth	kupředu	Řeka nesla loď kupředu.
forthcoming	nadcházející	Nadcházející zpráva vše vysvětlí.
foster	podporovat	Program pomáhá podporovat nezávislost.
fragile	křehký	Křehká váza vyžaduje opatrné zacházení.
franchise	franšíza	Restaurace se stala globální franšízou.
frankly	upřímně řečeno	Upřímně řečeno, potřebujeme více času.
frustrated	frustrovaný	Dělníci byli zpožděním frustrovaní.
frustrating	frustrující	Pomalé připojení bylo frustrující.
frustration	frustrace	Frustrace během setkání rostla.
functional	funkční	Stará kuchyně je stále funkční.
fundraising	získávání prostředků	Získávání prostředků začíná příští týden.
funeral	pohřeb	Pohřeb se konal v pátek.
gallon	galon	Nádrž pojme jeden galon.
gambling	hazard	Hazardní hry jsou omezeny zákonem.
gathering	shromáždění	Shromáždění skončilo pokojně.
gaze	pohled	Krátce opětovala jeho pohled.
gear	vybavení	Před lezením si sbalte bezpečnostní vybavení.
generic	generický	Generická verze stojí méně.
genocide	genocida	Genocida zanechala hluboké národní trauma.
glance	letmý pohled	Krátce se podíval.
glimpse	letmý pohled	Zahlédl jsem moře.
glorious	slavný	Tým si užil slavné vítězství.
glory	sláva	Snila o olympijské slávě.
governance	správa	Dobrá správa vyžaduje transparentnost.
grace	grácie	Přijala porážku s grácií.
grasp	pochopit	Nedokázal ten koncept pochopit.
grave (for dead person)	hrob	Hrob byl posetý květinami.
grave (serious)	vážný	Situace zůstává vážná.
gravity	gravitace	Gravitace přitahuje objekty k Zemi.
grid	mřížka	Mapa používá jednoduchou mřížku.
grief	smutek	Smutek změnil celou jeho rodinu.
grin	úsměv	Chlapec se široce usmál.
grind	mlít	Dělníci melou zrna každé ráno.
grip	úchop	Udržujte pevný úchop lana.
gross	hrubý	Hrubý příjem prudce vzrostl.
guerrilla	partyzán	Partyzáni se skrývali v kopcích.
guidance	vedení	Průvodce poskytuje praktické vedení.
guilt	vina	Po lhaní cítila vinu.
gut	instinkt	V těžkých rozhodnutích důvěřujte svému instinktu.
hail	oslavovat	Vesničané oslavují lékaře jako hrdinu.
halfway	v polovině	Zastavili jsme v polovině kopce.
halt	zastavení	Vlak náhle zastavil.
handful	hrstka	Hrstka dobrovolníků zůstala dlouho do noci.
handling	zacházení	Správné zacházení zabraňuje poškození.
handy	šikovný	Tento nástroj je šikovný na opravy.
harassment	obtěžování	Společnost vyšetřovala stížnosti na obtěžování.
hardware	hardware	Obchod prodává počítačový hardware.
harmony	harmonie	Sbor zpíval v dokonalé harmonii.
harsh	přísný	Soudce vynesl přísný trest.
harvest	sklizeň	Sklizeň začíná v září.
haunt	pronásledovat	Vzpomínka ho dál pronásledovala.
hazard	nebezpečí	Led je vážné nebezpečí na silnici.
heighten	zvýšit	Projev může zvýšit napětí.
heritage	dědictví	Hrad je součástí místního dědictví.
hierarchy	hierarchie	Hierarchie úřadu je jasně definována.
high-profile	ostře sledovaný	Ostře sledovaný soudní proces přilákal novináře.
hint	nápověda	Dala mi užitečnou nápovědu.
homeland	vlast	Vrátil se do své vlasti.
hopeful	plný naděje	Lékaři jsou ohledně zotavení plní naděje.
horizon	horizont	Slunce zmizelo za horizontem.
horn	klakson	Klakson auta všechny vzbudil.
hostage	rukojmí	Rukojmí se vrátil domů.
hostile	nepřátelský	Dav se stal nepřátelským.
hostility	nepřátelství	Otevřené nepřátelství ukončilo jednání.
humanitarian	humanitární	Humanitární mise dodala jídlo.
humanity	lidstvo	Lidstvo čelí společným výzvám.
humble	pokorný	Zůstala pokorná i po úspěchu.
hydrogen	vodík	Vodík hoří velmi snadno.
identification	průkaz totožnosti	U vchodu je vyžadován průkaz totožnosti.
ideological	ideologický	Spor měl ideologické kořeny.
ideology	ideologie	Jeho ideologie formovala každý projev.
idiot	idiot	Nenazývejte nikoho idiotem.
ignorance	nevědomost	Nevědomost může šířit strach.
imagery	obraznost	Báseň používá živou obraznost.
immense	obrovský	Projekt vyžadoval obrovské úsilí.
imminent	blížící se	Bouře se zdála být blížící se.
implementation	implementace	Implementace zákona byla pomalá.
imprison	uvěznit	Režim se pokusil uvěznit kritiky.
imprisonment	uvěznění	Jeho uvěznění trvalo pět let.
inability	neschopnost	Její neschopnost se soustředit znepokojovala učitele.
inadequate	neadekvátní	Úkryt měl neadekvátní vytápění.
inappropriate	nevhodný	Jeho vtip byl nevhodný.
incidence	výskyt	Výskyt chřipky vzrostl.
inclined	nakloněný	Je nakloněna souhlasit.
inclusion	inkluze	Škola podporuje inkluzi.
