source_headword	DE	example_DE
jazz	der Jazz	Jazz klingt heute Abend großartig.
jewellery	der Schmuck	Sie bewahrt Schmuck in einer Schachtel auf.
joke	der Witz	Erzähl mir einen Witz.
journalist	der Journalist; die Journalistin	Der Journalist stellte Fragen.
jump	springen; der Sprung	Spring über die Linie.
kid	das Kind	Das Kind lacht.
kill	töten	Töte das Insekt nicht.
king	der König	Der König lebte in einem Palast.
knee	das Knie	Mein Knie tut weh.
knife	das Messer	Benutze ein scharfes Messer.
knock	klopfen; der Schlag	Klopf an, bevor du eintrittst.
knowledge	das Wissen	Wissen wächst durch Übung.
lab	das Labor	Das Labor ist geschlossen.
lady	die Dame	Die Dame lächelte uns an.
lake	der See	Der See ist ruhig.
lamp	die Lampe	Mach die Lampe an.
laptop	der Laptop	Mein Laptop ist neu.
last1 (taking time)	dauern	Der Film dauert zwei Stunden.
laughter	das Lachen	Wir hörten draußen Lachen.
law	das Gesetz	Das Gesetz änderte sich gestern.
lawyer	der Anwalt; die Anwältin	Der Anwalt rief mich an.
lazy	faul	Sei nicht faul.
lead1	führen	Gute Führungskräfte führen durch ihr Beispiel.
leader	der Leiter; die Leiterin	Sie ist die Teamleiterin.
learning	das Lernen	Lernen braucht Zeit.
least	am wenigsten; der geringste	Wähle die billigste Option.
lecture	die Vorlesung; der Vortrag	Die Vorlesung beginnt um zehn.
lemon	die Zitrone	Gib Zitrone in den Tee.
lend	leihen; verleihen	Kannst du mir fünf Dollar leihen?
less	weniger	Iss weniger Zucker.
level	das Niveau; die Stufe	Diese Stufe ist leicht.
lifestyle	der Lebensstil	Er hat einen gesunden Lebensstil.
lift	heben; der Aufzug	Hebe die Kiste vorsichtig.
light	anzünden	Zünde die Kerze vorsichtig an.
light (not heavy)	leicht	Diese Tasche ist leicht.
likely	wahrscheinlich	Regen ist morgen wahrscheinlich.
link	der Link	Schick mir den Link.
listener	der Zuhörer; die Zuhörerin	Sei ein guter Zuhörer.
lock	abschließen; das Schloss	Schließ die Tür ab.
lorry	der Lastwagen	Der Lastwagen transportierte Kisten.
lost	verloren	Wir haben uns verlaufen.
loud	laut	Die Musik ist laut.
loudly	laut	Sprich bitte nicht laut.
lovely	schön; reizend	Was für ein schöner Garten!
low	niedrig	Der Stuhl ist niedrig.
luck	das Glück	Viel Glück beim Test.
lucky	glücklich; mit Glück	Du hast heute Glück.
mail	die Post	Ich bekam heute Morgen Post.
major	wichtig; groß	Das ist ein wichtiges Problem.
male	männlich; das Männchen	Der männliche Vogel ist bunt.
manage	schaffen; verwalten	Kannst du diese Aufgabe schaffen?
manager	der Manager; die Managerin	Der Manager ist beschäftigt.
manner	die Art; die Weise	Sprich auf höfliche Weise.
mark	markieren; die Note	Markiere die Antwort deutlich.
marry	heiraten	Sie werden im Juni heiraten.
material	das Material	Dieses Material ist weich.
mathematics	die Mathematik	Mathematik ist mein Lieblingsfach.
maths	Mathe	Mathe ist schwierig für mich.
matter	wichtig sein; die Sache	Das ist nicht wichtig.
may modal	dürfen; vielleicht	Du darfst jetzt gehen.
media	die Medien	Die Medien erzählten die Geschichte.
medical	medizinisch	Sie braucht medizinische Hilfe.
medicine	die Medizin; das Medikament	Nimm dieses Medikament nach dem Mittagessen.
memory	das Gedächtnis; die Erinnerung	Ich habe ein gutes Gedächtnis.
mention	erwähnen	Erwähne meinen Namen nicht.
metal	das Metall	Das Tor ist aus Metall.
method	die Methode	Diese Methode funktioniert gut.
middle	die Mitte	Steh in der Mitte.
might modal	könnte; vielleicht	Vielleicht regnet es später.
mind	der Geist; die Meinung	Ich habe meine Meinung geändert.
mine (belongs to me)	mein; meins	Dieses Buch gehört mir.
mirror	der Spiegel	Schau in den Spiegel.
missing	vermisst; fehlend	Meine Schlüssel fehlen.
mobile	das Handy	Mein Handy liegt auf dem Tisch.
monkey	der Affe	Der Affe kletterte auf den Baum.
moon	der Mond	Der Mond ist hell.
mostly	meistens; hauptsächlich	Die Klasse ist meistens ruhig.
motorcycle	das Motorrad	Er fährt Motorrad.
movement	die Bewegung	Ich sah eine Bewegung in den Bäumen.
musical	musikalisch; das Musical	Das ist ein musikalischer Film.
musician	der Musiker; die Musikerin	Der Musiker spielte Gitarre.
myself	ich selbst	Ich habe es selbst gemacht.
narrow	schmal	Die Straße ist schmal.
national	national	Das ist ein nationaler Feiertag.
nature	die Natur	Ich liebe die Natur.
nearly	fast	Wir sind fast da.
necessary	notwendig	Ist das notwendig?
neck	der Hals; der Nacken	Mein Nacken tut weh.
neither	keiner von beiden	Keine Antwort ist richtig.
nervous	nervös	Sie ist nervös.
network	das Netzwerk	Das Netzwerk funktioniert nicht.
noise	der Lärm; das Geräusch	Ich hörte ein lautes Geräusch.
noisy	laut; lärmig	Die Straße ist laut.
none	keiner; nichts	Keiner von ihnen kam.
normal	normal	Das ist normal.
normally	normalerweise	Ich wache normalerweise früh auf.
notice	bemerken; der Hinweis	Hast du das Schild bemerkt?
novel	der Roman	Sie schrieb einen Roman.
nowhere	nirgends; nirgendwo	Hier gibt es nirgends einen Sitzplatz.
nut	die Nuss	Die Nuss ist hart.
ocean	der Ozean	Der Ozean ist tief.
offer	das Angebot; anbieten	Ich nahm das Angebot an.
officer	der Beamte; die Beamtin	Der Beamte prüfte mein Ticket.
oil	das Öl	Gib Öl in die Pfanne.
onto	auf	Leg es auf das Regal.
opportunity	die Gelegenheit; die Chance	Das ist eine gute Gelegenheit.
option	die Option; die Möglichkeit	Wähle die beste Option.
ordinary	gewöhnlich	Es war ein gewöhnlicher Tag.
organization	die Organisation	Die Organisation hilft Studenten.
organize	organisieren	Organisiere bitte die Dateien.
original	original; ursprünglich	Bewahre den Originalbeleg auf.
ourselves	wir selbst	Wir kochten das Abendessen selbst.
oven	der Ofen; der Backofen	Der Ofen ist heiß.
owner	der Besitzer; die Besitzerin	Der Besitzer öffnete den Laden.
pack	packen; die Packung	Pack jetzt deine Tasche.
pain	der Schmerz	Ich habe Schmerzen im Rücken.
painter	der Maler; die Malerin	Der Maler strich die Wand fertig.
palace	der Palast	Der Palast ist alt.
pants	die Hose	Diese Hose ist zu lang.
parking	das Parken; der Parkplatz	Parken ist hier schwierig.
particular	bestimmt; besonders	Ich brauche ein bestimmtes Buch.
pass	geben; bestehen	Gib mir das Salz.
passenger	der Passagier; die Passagierin	Jeder Passagier braucht ein Ticket.
patient	geduldig; der Patient	Sei geduldig mit Kindern.
pattern	das Muster	Dieses Muster ist einfach.
peace	der Frieden	Wir alle wollen Frieden.
penny	der Penny; die kleine Münze	Ich fand eine kleine Münze.
per	pro; je	Tickets kosten zehn Dollar pro Person.
per cent	das Prozent	Fünf Prozent sind wenig.
perform	auftreten; aufführen	Die Band tritt heute Abend auf.
perhaps	vielleicht	Vielleicht ist sie zu Hause.
permission	die Erlaubnis	Bitte zuerst um Erlaubnis.
personality	die Persönlichkeit	Er hat eine freundliche Persönlichkeit.
pet	das Haustier	Mein Haustier ist eine Katze.
petrol	das Benzin	Das Auto braucht Benzin.
physical	körperlich; physisch	Körperliche Bewegung hilft der Gesundheit.
physics	die Physik	Physik ist schwierig.
pick	wählen; aufheben	Wähle eine Karte.
pilot	der Pilot; die Pilotin	Der Pilot sprach deutlich.
planet	der Planet	Die Erde ist ein Planet.
plastic	das Plastik; aus Plastik	Diese Flasche ist aus Plastik.
plate	der Teller	Leg das Essen auf den Teller.
platform	der Bahnsteig; die Plattform	Warte an Bahnsteig zwei.
pleased	erfreut; zufrieden	Ich freue mich, dich kennenzulernen.
pocket	die Tasche; die Hosentasche	Das Ticket ist in meiner Tasche.
polite	höflich	Sei zu allen höflich.
pollution	die Verschmutzung	Verschmutzung schadet dem Ozean.
pop	der Pop; die Popmusik	Ich mag Popmusik.
population	die Bevölkerung	Die Bevölkerung wächst.
position	die Position; die Lage	Ändere deine Position.
possession	der Besitz	Dieser Ring ist mein Besitz.
possibility	die Möglichkeit	Es gibt eine Möglichkeit für Regen.
poster	das Poster; das Plakat	Häng das Poster an die Wand.
power	die Energie; der Strom; die Macht	Der Computer braucht Strom.
predict	vorhersagen	Wir können das Wetter nicht vorhersagen.
president	der Präsident; die Präsidentin	Der Präsident hielt eine Rede.
prevent	verhindern	Wasche die Hände, um Krankheit zu verhindern.
print	drucken; der Druck	Drucke das Dokument.
printer	der Drucker	Der Drucker ist kaputt.
prison	das Gefängnis	Er kam ins Gefängnis.
prize	der Preis; der Gewinn	Sie gewann einen Preis.
process	der Prozess; verarbeiten	Der Prozess dauert lange.
produce	produzieren	Bauernhöfe produzieren Lebensmittel.
professional	professionell; der Profi	Sie ist eine professionelle Tänzerin.
professor	der Professor; die Professorin	Der Professor beantwortete Fragen.
profile	das Profil	Aktualisiere dein Profil.
program	das Programm	Das Programm beginnt jetzt.
progress	der Fortschritt	Wir machten heute Fortschritte.
promise	versprechen; das Versprechen	Halte dein Versprechen.
pronounce	aussprechen	Bitte sprich dieses Wort aus.
protect	schützen	Schütze deine Augen.
provide	bereitstellen; liefern	Sie stellen kostenloses Wasser bereit.
pub	der Pub; die Kneipe	Wir trafen uns im Pub.
public	öffentlich	Der Park ist öffentlich.
publish	veröffentlichen	Sie veröffentlichen eine Zeitschrift.
pull	ziehen	Zieh an der Tür.
purpose	der Zweck; das Ziel	Was ist der Zweck?
push	drücken; schieben	Drück den Knopf.
quality	die Qualität	Die Qualität ist hoch.
quantity	die Menge	Prüfe die Menge.
queen	die Königin	Die Königin winkte.
quietly	leise	Sprich leise.
race (competition)	das Rennen	Das Rennen beginnt bald.
railway	die Eisenbahn	Die Eisenbahn ist geschlossen.
raise	heben; erhöhen	Hebe deine Hand.
rate	der Tarif; die Rate	Der Hotelpreis ist hoch.
rather	ziemlich; eher	Ich bin ziemlich müde.
reach	erreichen; reichen	Kannst du das Regal erreichen?
react	reagieren	Wie hat er reagiert?
realize	bemerken; erkennen	Ich erkenne meinen Fehler.
receive	erhalten; bekommen	Hast du meine Nachricht erhalten?
recent	kürzlich; neu	Das ist ein neues Foto.
recently	kürzlich; vor Kurzem	Ich bin kürzlich hierhergezogen.
reception	der Empfang; die Rezeption	Der Empfang ist am Montag.
recipe	das Rezept	Dieses Rezept ist einfach.
recognize	erkennen	Ich erkenne dieses Lied.
recommend	empfehlen	Ich empfehle dieses Buch.
record	die Aufzeichnung; der Datensatz	Führe eine Aufzeichnung der Zahlungen.
recording	die Aufnahme	Die Aufnahme klingt klar.
recycle	recyceln	Recycle Papier und Plastik.
reduce	reduzieren; verringern	Stell die Hitze niedriger.
refer	verweisen; sich beziehen	Sieh auf Seite zwei nach.
refuse1	sich weigern	Ich weigere mich zu lügen.
region	die Region	Diese Region ist kalt.
regular	regelmäßig; Stamm-	Er ist ein Stammkunde.
relationship	die Beziehung	Ihre Beziehung ist stark.
remove	entfernen; ausziehen	Zieh deine Schuhe aus.
repair	reparieren; die Reparatur	Repariere heute das Fahrrad.
replace	ersetzen	Ersetze die alte Batterie.
reply	antworten; die Antwort	Bitte antworte bald.
reporter	der Reporter; die Reporterin	Der Reporter machte Notizen.
request	die Anfrage; die Bitte	Ich stellte eine Anfrage.
research	die Forschung; recherchieren	Wir erforschen die lokale Geschichte.
researcher	der Forscher; die Forscherin	Der Forscher prüfte die Daten.
respond	antworten	Bitte antworte heute.
response	die Antwort	Ihre Antwort war schnell.
rest (remaining part)	der Rest	Iss den Rest später.
rest (sleep/relax)	sich ausruhen; die Ruhe	Du musst dich ausruhen.
review	überprüfen; die Rezension	Geh deine Notizen heute Abend durch.
ring1	der Ring	Sie trug einen goldenen Ring.
ring2	anrufen; klingeln	Ruf mich nach dem Mittagessen an.
rise	steigen; aufgehen	Die Preise steigen jedes Jahr.
rock (stone)	der Stein; der Fels	Der Stein ist schwer.
