source_headword	DE	example_DE
nasty	böse	Der Schnitt sah böse aus.
navigation	die Navigation	Die App verbessert die Navigation.
nearby	nahegelegen	Ein nahegelegenes Café öffnet früh.
necessity	die Notwendigkeit	Sauberes Wasser ist eine Notwendigkeit.
negotiate	verhandeln	Sie verhandeln morgen über den Vertrag.
negotiation	die Verhandlung	Die Verhandlung dauerte den ganzen Morgen.
neutral	neutral	Der Richter blieb neutral.
newly	neu	Die frisch gestrichene Tür sah hell aus.
norm	die Norm	Remote-Arbeit wurde zur Norm.
notebook	das Notizbuch	Schreibe Notizen in dein Notizbuch.
novelist	der Romanautor	Die Romanautorin hat ihr Buch signiert.
nowadays	heutzutage	Heutzutage arbeiten viele Menschen online.
nursing	die Krankenpflege	Sie studiert Krankenpflege.
nutrition	die Ernährung	Gute Ernährung unterstützt die Gesundheit.
obesity	die Fettleibigkeit	Fettleibigkeit erhöht die Gesundheitsrisiken.
observer	der Beobachter	Der Beobachter hat die Ergebnisse aufgezeichnet.
obstacle	das Hindernis	Der umgestürzte Baum war ein Hindernis.
occupation	der Beruf	Bitte geben Sie hier Ihren Beruf an.
occupy	beziehen	Die Familie wird die Wohnung beziehen.
offender	der Täter	Der Täter entschuldigte sich vor Gericht.
ongoing	laufend	Die Untersuchung ist noch laufend.
openly	offen	Sie sprach offen über ihre Ängste.
opera	die Oper	Wir haben in Mailand eine Oper gesehen.
operator	der Telefonist	Der Telefonist hat den Anruf durchgestellt.
optimistic	optimistisch	Sie ist optimistisch, was die Zukunft angeht.
orchestra	das Orchester	Das Orchester spielte leise.
organic	bio	Sie kauften Bio-Gemüse.
outfit	das Outfit	Ihr Outfit passte zum Anlass.
output	die Leistung	Die Leistung der Maschine hat sich erhöht.
outstanding	hervorragend	Seine Leistung war hervorragend.
overcome	überwinden	Sie überwinden Probleme gemeinsam.
overnight	über Nacht	Das Paket kam über Nacht an.
overseas	in Übersee	Er fand Arbeit in Übersee.
ownership	das Eigentum	Das Eigentum an dem Land hat gewechselt.
oxygen	der Sauerstoff	Pflanzen produzieren Sauerstoff.
packet	die Packung	Öffnen Sie die Packung vorsichtig.
palm	die Handfläche	Halte die Münze in deiner Handfläche.
panic	die Panik	Panik breitete sich in der Menge aus.
parade	die Parade	Die Parade begann am Mittag.
parallel	parallel	Die Straßen verlaufen parallel.
participation	die Beteiligung	Die Beteiligung im Unterricht hat sich verbessert.
partnership	die Partnerschaft	Die Partnerschaft half beiden Unternehmen.
part-time	Teilzeit	Sie hat einen Teilzeitjob gefunden.
passionate	leidenschaftlich	Er ist leidenschaftlich, was Musik angeht.
password	das Passwort	Wähle ein sicheres Passwort.
patience	die Geduld	Das Unterrichten von kleinen Kindern erfordert Geduld.
pause	pausieren	Pausiere das Video jetzt.
peer	der Gleichaltrige	Gruppenzwang beeinflusste seine Wahl.
penalty	die Strafe	Der Spieler erhielt eine Strafe.
perceive	wahrnehmen	Menschen nehmen Risiken unterschiedlich wahr.
perception	die Wahrnehmung	Seine Wahrnehmung der Gefahr hat sich geändert.
permanently	dauerhaft	Der Laden wurde dauerhaft geschlossen.
pill	die Pille	Nehmen Sie eine Pille nach dem Frühstück.
pity	das Mitleid	Es ist schade.
placement	die Platzierung	Die Platzierung des Sofas ist wichtig.
portion	die Portion	Serviere eine kleine Portion Reis.
potentially	potenziell	Diese Änderung ist potenziell nützlich.
precede	vorausgehen	Dunkle Wolken gehen oft dem Regen voraus.
precious	kostbar	Der Ring ist kostbar.
precise	präzise	Die Anweisungen waren präzise.
precisely	genau	Messen Sie den Abstand genau.
predictable	vorhersehbar	Das Ende war vorhersehbar.
preference	die Vorliebe	Sie drückte eine Vorliebe für Tee aus.
pride	der Stolz	Er fühlte Stolz, nachdem er fertig war.
primarily	hauptsächlich	Der Kurs findet hauptsächlich online statt.
principal	der Schulleiter	Der Schulleiter begrüßte die neuen Schüler.
prior	vorherig	Wir brauchen eine vorherige Genehmigung.
probability	die Wahrscheinlichkeit	Die Wahrscheinlichkeit für Regen ist hoch.
probable	wahrscheinlich	Regen ist heute Abend wahrscheinlich.
proceed	fortfahren	Bitte gehen Sie weiter in den nächsten Raum.
programming	die Programmierung	Programmierung erfordert Übung.
progressive	fortschrittlich	Die Politik war fortschrittlich für ihre Zeit.
prohibit	verbieten	Die Regeln verbieten das Rauchen.
promising	vielversprechend	Die Ergebnisse sehen vielversprechend aus.
promotion	die Beförderung	Sie hat eine Beförderung bei der Arbeit bekommen.
prompt	prompt	Die prompte Antwort sparte Zeit.
proportion	der Anteil	Ein großer Anteil stimmte mit Ja.
protein	das Protein	Bohnen enthalten Protein.
protester	der Demonstrant	Der Demonstrant hielt ein Schild.
psychological	psychologisch	Der Unfall verursachte psychologischen Stress.
publicity	die Öffentlichkeit	Die Veranstaltung erregte Öffentlichkeit.
publishing	das Verlagswesen	Sie arbeitet im Verlagswesen.
punk	der Punk	Punkmusik wurde dort beliebt.
purely	rein	Die Wahl war rein praktisch.
pursuit	das Streben	Er setzte sein Streben nach Gerechtigkeit fort.
puzzle	das Puzzle	Das Puzzle dauerte eine Stunde.
questionnaire	der Fragebogen	Bitte füllen Sie den Fragebogen aus.
racial	rassisch	Der Bericht diskutierte rassistische Ungleichheit.
racism	der Rassismus	Rassismus schadet Gemeinschaften.
racist	rassistisch	Der Kommentar war rassistisch.
radiation	die Strahlung	Strahlung kann Zellen schädigen.
rail	das Geländer	Halten Sie sich am Geländer der Treppe fest.
random	zufällig	Der Computer hat eine zufällige Zahl ausgewählt.
rat	die Ratte	Eine Ratte lief hinter die Mülleimer.
rating	die Bewertung	Das Hotel hat eine hohe Bewertung.
reasonably	einigermaßen	Das Zimmer war einigermaßen sauber.
rebuild	wiederaufbauen	Sie werden die Brücke wiederaufbauen.
receiver	der Empfänger	Der Empfänger fing den Ball.
recession	die Rezession	Die Rezession reduzierte die Ausgaben.
reckon	glauben	Ich glaube, der Zug hat Verspätung.
recognition	die Anerkennung	Sie erhielt Anerkennung für ihre Arbeit.
recovery	die Genesung	Die Genesung dauerte mehrere Wochen.
recruit	rekrutieren	Das Unternehmen wird Ingenieure rekrutieren.
recruitment	die Rekrutierung	Die Rekrutierung beginnt nächsten Montag.
referee	der Schiedsrichter	Der Schiedsrichter stoppte das Spiel.
refugee	der Flüchtling	Der Flüchtling fand ein sicheres Zuhause.
registration	die Registrierung	Die Registrierung endet am Freitag.
regulate	regulieren	Das Gesetz wird Emissionen regulieren.
reinforce	verstärken	Zusätzliche Balken verstärken das Dach.
relieve	lindern	Medizin kann Schmerzen lindern.
relieved	erleichtert	Sie fühlte sich nach dem Anruf erleichtert.
remarkable	bemerkenswert	Die Genesung war bemerkenswert.
remarkably	bemerkenswert	Er erholte sich bemerkenswert schnell.
reporting	die Berichterstattung	Genaue Berichterstattung ist wichtig.
resign	zurücktreten	Der Manager wird morgen zurücktreten.
resolution	die Auflösung	Der Bildschirm hat eine hohe Auflösung.
restore	restaurieren	Arbeiter restaurieren das alte Gemälde.
restrict	einschränken	Die Regeln schränken das Parken ein.
restriction	die Einschränkung	Die Einschränkung endet morgen.
retail	der Einzelhandel	Die Einzelhandelsumsätze stiegen.
retirement	der Ruhestand	Sie plante ihren Ruhestand sorgfältig.
revenue	die Einnahmen	Die Ticketeinnahmen bezahlten die Reparaturen.
revision	die Wiederholung	Die Wiederholung half vor der Prüfung.
ridiculous	lächerlich	Der Preis war lächerlich.
risky	riskant	Der Plan schien riskant.
rival	der Rivale	Unser Rivale hat ein neues Geschäft eröffnet.
rob	ausrauben	Die Männer versuchten, die Bank auszurauben.
robbery	der Raub	Der Raub passierte in der Nacht.
rocket	die Rakete	Die Rakete startete erfolgreich.
romance	die Romantik	Der Roman beinhaltet eine Liebesgeschichte.
rose	die Rose	Eine rote Rose wuchs am Zaun.
roughly	ungefähr	Ungefähr zwanzig Personen nahmen teil.
ruin	ruinieren	Der Regen könnte das Picknick ruinieren.
satisfaction	die Zufriedenheit	Die Kundenzufriedenheit hat sich verbessert.
scandal	der Skandal	Der Skandal beschädigte seine Karriere.
scare	der Schreck	Das laute Geräusch jagte mir einen Schreck ein.
scenario	das Szenario	Das schlimmste Szenario ist unwahrscheinlich.
scholar	der Gelehrte	Der Gelehrte studierte alte Texte.
scholarship	das Stipendium	Sie hat ein Stipendium gewonnen.
scratch	der Kratzer	Die Katze hat einen Kratzer hinterlassen.
screening	die Vorsorgeuntersuchung	Das Krankenhaus bietet eine Krebsvorsorgeuntersuchung an.
seeker	der Suchende	Der Arbeitssuchende hat Bewerbungen verschickt.
seminar	das Seminar	Das Seminar beginnt um neun.
settler	der Siedler	Der Siedler baute eine kleine Farm.
severely	schwer	Der Sturm hat die Straßen schwer beschädigt.
sexy	sexy	Das Kleid wurde als sexy angesehen.
shocking	schockierend	Die Nachricht war schockierend.
shore	das Ufer	Wir spazierten am Ufer entlang.
shortage	der Mangel	Die Stadt hatte mit einem Wassermangel zu kämpfen.
shortly	kurz	Der Bus kam kurz nach Mittag an.
short-term	kurzfristig	Der Plan hat kurzfristige Vorteile.
sibling	das Geschwister	Jedes Geschwisterkind erhielt ein Geschenk.
signature	die Unterschrift	Bitte fügen Sie Ihre Unterschrift hinzu.
significance	die Bedeutung	Die Entdeckung hat eine große Bedeutung.
skilled	qualifiziert	Qualifizierte Arbeiter haben das Dach repariert.
slogan	der Slogan	Die Kampagne verwendete einen einfachen Slogan.
so-called	sogenannt	Der sogenannte Experte machte Fehler.
somehow	irgendwie	Irgendwie sind die Schlüssel verschwunden.
sometime	irgendwann	Besuchen Sie uns irgendwann nächste Woche.
sophisticated	ausgeklügelt	Die Software ist ausgeklügelt.
spare	Ersatz	Wir bewahren einen Ersatzschlüssel auf.
specialize	sich spezialisieren	Ärzte spezialisieren sich auf verschiedenen Gebieten.
specify	angeben	Bitte geben Sie Ihre Ankunftszeit an.
spectacular	spektakulär	Das Feuerwerk war spektakulär.
spectator	der Zuschauer	Jeder Zuschauer erhielt ein Programm.
speculate	spekulieren	Experten spekulieren über die Ursache.
speculation	die Spekulation	Der Artikel ermutigte zu Spekulationen.
spice	das Gewürz	Fügen Sie ein Gewürz nach dem anderen hinzu.
spill	verschütten	Verschütte den Saft nicht.
spite	der Trotz	Er war erfolgreich trotz der Probleme.
spoil	verderben	Zu viel Salz kann die Suppe verderben.
spokesman	der Sprecher	Der Sprecher beantwortete Fragen.
spokesperson	der Sprecher	Der Sprecher las eine Erklärung vor.
spokeswoman	die Sprecherin	Die Sprecherin wandte sich an die Presse.
sponsorship	das Sponsoring	Das Team braucht Sponsoring.
sporting	sportlich	Die Stadt ist Gastgeber für sportliche Veranstaltungen.
stall	der Stand	Der Marktstand verkauft Obst.
stance	die Haltung	Der Minister änderte seine Haltung.
starve	verhungern	Ohne Nahrung können Tiere verhungern.
steadily	stetig	Das Unternehmen wuchs stetig.
steam	der Dampf	Dampf stieg aus der Suppe auf.
stimulate	anregen	Helle Farben können das Interesse anregen.
