source_headword	FR	example_FR
exceed	dépasser	La demande pourrait dépasser l'offre.
exception	l'exception	Il y a une exception.
excessive	excessif	Le bruit excessif dérange les voisins.
exclude	exclure	La liste exclut les travailleurs temporaires.
exhibit	l'exposition	Le musée exposera des photographies rares.
exit	la sortie	La sortie est derrière la scène.
exotic	exotique	La boutique vend des fruits exotiques.
expansion	l'expansion	L'entreprise a prévu une expansion.
expertise	l'expertise	Son expertise a amélioré le projet.
exploit	exploiter	Les criminels exploitent les mots de passe faibles.
exposure	l'exposition	L'exposition au soleil peut endommager la peau.
extension	l'extension	La prolongation du délai a aidé tout le monde.
extensive	vaste	La bibliothèque dispose de vastes ressources.
extensively	longuement	Le sujet a été largement étudié.
extract	l'extrait	L'extrait de vanille donne du goût.
fabric	le tissu	Le tissu est doux au toucher.
fabulous	fabuleux	Le repas était fabuleux.
failed	raté	La tentative manquée nous a appris quelque chose.
fake	faux	Le site internet vendait de faux billets.
fame	la renommée	La célébrité a changé sa vie privée.
fantasy	la fantaisie	Le roman est une œuvre de fantasy.
fare	le tarif	Le prix du billet de bus a augmenté.
federal	fédéral	Le gouvernement fédéral a annoncé un financement.
fever	la fièvre	L'enfant a de la fièvre.
firefighter	le pompier	Le pompier a sauvé le chien.
firework	le feu d'artifice	Un feu d'artifice a explosé au-dessus du parc.
firm	ferme	Le matelas est ferme.
firmly	fermement	Elle a fermé la porte fermement.
flavour	la saveur	La soupe a une saveur riche.
fond	affectueux	Il est amateur de jazz.
fool	le fou	N'agis pas comme un imbécile.
forbid	interdire	La loi interdit de fumer ici.
forecast	la prévision	Les prévisions annoncent de la pluie.
format	le format	Utilisez le bon format de fichier.
formation	la formation	La formation des nuages change rapidement.
formerly	autrefois	Le bâtiment était autrefois une école.
fortunate	chanceux	Nous avons eu la chance d'arriver tôt.
forum	le forum	Le forum a discuté de la politique climatique.
fossil	le fossile	Le fossile a été trouvé dans la pierre.
foundation	la fondation	La maison a des fondations solides.
founder	le fondateur	Le fondateur a accueilli les invités.
fraction	la fraction	Seule une fraction des élèves est venue.
fragment	le fragment	Un fragment de verre gisait sur le sol.
framework	le cadre	La loi crée un cadre clair.
fraud	la fraude	La banque a détecté une fraude.
freely	librement	Les enfants jouaient librement dehors.
frequent	fréquent	Des pauses fréquentes améliorent la concentration.
fulfil	remplir	J'espère tenir ma promesse.
full-time	à temps plein	Elle a un travail à temps plein.
fundamentally	fondamentalement	Le plan est fondamentalement différent.
furious	furieux	Il était furieux du retard.
gaming	le jeu	Les jeux vidéo peuvent améliorer le temps de réaction.
gay	gay	Il soutient les droits des homosexuels.
gender	le genre	Le sondage posait des questions sur le genre.
gene	le gène	Le gène affecte la couleur des yeux.
genetic	génétique	La maladie a des causes génétiques.
genius	le génie	Le jeune pianiste est un génie.
genuine	authentique	Son sourire semblait sincère.
genuinely	véritablement	Il voulait sincèrement aider.
gesture	le geste	Elle a fait un geste amical.
gig	le concert	Le groupe a joué un concert en centre-ville.
globalization	la mondialisation	La mondialisation affecte les entreprises locales.
globe	le globe	Le globe montre chaque continent.
golden	doré	Le coucher de soleil est devenu doré.
goodness	la bonté	Elle croit en la bonté humaine.
gorgeous	magnifique	Le jardin était magnifique.
governor	le gouverneur	Le gouverneur a signé le projet de loi.
graphic	graphique	L'image explicite a choqué les spectateurs.
graphics	les graphismes	Le jeu a des graphismes simples.
greatly	grandement	Vos conseils ont grandement aidé.
greenhouse	la serre	Les tomates poussent dans la serre.
grocery	l'épicerie	Elle a acheté des provisions après le travail.
guideline	la directive	La directive explique les pratiques de sécurité.
habitat	l'habitat	La forêt est l'habitat des oiseaux.
harbour	le port	Le bateau est entré dans le port.
headquarters	le siège	Le siège social de l'entreprise a déménagé en centre-ville.
