source_headword	RO	example_RO
astonishing	uimitor	Priveliștea de pe stâncă era uimitoare.
attachment	un atașament	E-mailul include un atașament.
auction	o licitație	Pictura s-a vândut la licitație.
audio	audio	Înregistrarea audio sună clar.
automatic	automat	Ușa are o încuietoare automată.
automatically	automat	Luminile se aprind automat.
awareness	conștientizare	Campania a crescut conștientizarea publicului.
awkward	penibil	Tăcerea a părut stânjenitoare.
badge	o insignă	Vizitatorii trebuie să poarte un ecuson.
balanced	echilibrat	O dietă echilibrată include legume.
ballet	baletul	Ea studiază baletul după școală.
balloon	balonul	Balonul a plutit deasupra mesei.
barely	abia	El abia a auzit anunțul.
bargain	târgul	Acea jachetă a fost un adevărat chilipir.
basement	subsolul	Cutiile sunt în subsol.
basket	coșul	Ea a pus mere în coș.
bat	bâta	Liliacul a zburat din peșteră.
beneficial	benefic	Exercițiile fizice regulate sunt benefice pentru sănătate.
beside	lângă	Lampa stă lângă canapea.
besides	în plus	În afară de matematică, el studiază chimia.
bias	prejudecata	Articolul a arătat o părtinire clară.
bid	oferta	Compania a făcut o ofertă mai mare.
biological	biologic	Testul biologic a confirmat rezultatul.
blanket	pătura	Copilul a dormit sub o pătură.
blow	lovitura	Lovitura puternică a spart fereastra.
bold	îndrăzneț	Titlul a folosit litere îngroșate.
bombing	bombardamentul	Bombardamentul a avariat mai multe clădiri.
booking	rezervarea	Am confirmat rezervarea la hotel.
boost	impulsul	Victoria a crescut încrederea echipei.
bound	obligat	Pachetul a fost legat cu sfoară.
brick	cărămida	Zidul este făcut din cărămidă.
briefly	pe scurt	Ea a vorbit pe scurt după prânz.
broadcaster	radiodifuzorul	Prezentatorul l-a intervievat pe primar.
broadly	în linii mari	Cele două planuri sunt în mare parte similare.
bug	eroarea	Aplicația s-a închis din cauza unei erori.
cabin	cabana	Am stat într-o cabană mică.
canal	canalul	Bărcile se mișcau încet de-a lungul canalului.
candle	lumânarea	Lumânarea a ars pe masă.
carbon	carbonul	Copacii absorb carbonul din aer.
casual	casual	El a purtat haine lejere la serviciu.
cave	peștera	Drumeții au intrat în peșteră.
certainty	certitudinea	Nu putem ști cu certitudine.
certificate	certificatul	Ea a primit un certificat de formare.
challenging	provocator	Cursul a fost provocator, dar util.
championship	campionatul	Echipa noastră a ajuns în finala campionatului.
charming	fermecător	Strada veche arăta fermecător.
chase	urmărirea	Câinele a urmărit mingea.
cheek	obrazul	O lacrimă i-a curs pe obraz.
cheer	aclamația	Mulțimea a început să aclame tare.
choir	corul	Corul a cântat frumos.
chop	a tăia	Tocați ceapa în bucăți mici.
circuit	circuitul	Alergătorul a finalizat circuitul.
civilization	civilizația	Civilizația antică a modelat această regiune.
clarify	a clarifica	Vă rugăm să clarificați ultimul punct.
classify	a clasifica	Oamenii de știință clasifică animalele pe specii.
clerk	funcționarul	Funcționarul a printat chitanța.
cliff	stânca	Poteca se termină lângă o stâncă.
clinic	clinica	Clinica se deschide la opt.
clip	clipul	Ea a atașat clema la hârtie.
coincidence	coincidența	Întâlnirea cu el acolo a fost o coincidență.
collector	colecționarul	Colecționarul a cumpărat monede rare.
colony	colonia	Furnicile au construit o colonie mare.
colourful	colorat	Piața era luminoasă și colorată.
comic	banda desenată	Scena comică ne-a făcut să râdem.
commander	comandantul	Comandantul a dat ordine clare.
comparative	comparativ	Eseul folosește date comparative.
completion	finalizarea	Podul este aproape de finalizare.
compose	a compune	El va compune muzică pentru film.
composer	compozitorul	Compozitorul a scris un cântec nou.
compound	compusul	Compusul conține două substanțe chimice.
comprehensive	cuprinzător	Ghidul oferă instrucțiuni cuprinzătoare.
comprise	a cuprinde	Echipa cuprinde cinci membri.
compulsory	obligatoriu	Prezența este obligatorie pentru această clasă.
concrete	betonul	Podeaua este făcută din beton.
confess	a mărturisi	El i-a mărturisit greșeala profesorului său.
confusion	confuzia	Întârzierea a provocat confuzie.
consequently	în consecință	A plouat; prin urmare, meciul s-a oprit.
conservation	conservarea	Conservarea protejează animalele rare.
considerable	considerabil	Reparația a durat un timp considerabil.
considerably	considerabil	Prețurile au crescut considerabil anul acesta.
consistently	în mod constant	Ea performează constant bine.
conspiracy	conspirația	Poliția a investigat conspirația.
consult	a consulta	Consultă-ți medicul înainte de a lua medicamente.
consultant	consultantul	Consultantul a sugerat o nouă strategie.
consumption	consumul	Consumul de energie a scăzut luna trecută.
controversial	controversat	Politica rămâne controversată.
controversy	controversa	Decizia a provocat o controversă.
convenience	comoditatea	Magazinul oferă o mare comoditate.
convention	convenția	Convenția anuală începe luni.
conventional	convențional	El a ales un design convențional.
convey	a transmite	Mesajul a transmis simpatie.
convincing	convingător	Explicația ei a fost convingătoare.
cope	a face față	Ea a învățat să facă față stresului.
corporation	corporația	Corporația a deschis un nou birou.
corridor	coridorul	Coridorul era îngust și liniștit.
counter (long flat surface)	tejgheaua	Cheile sunt pe blatul din bucătărie.
coverage	acoperirea	Acoperirea știrilor a durat toată seara.
crack	crăpătura	O crăpătură a apărut pe perete.
craft	meseria	Ea vinde obiecte de meșteșug online.
creativity	creativitatea	Creativitatea ajută la rezolvarea problemelor.
critically	critic	Articolul a fost de o importanță critică.
cruise	croaziera	Au rezervat o croazieră în Grecia.
cue	semnalul	Actorul și-a ratat replica.
curious	curios	Copilul era curios în legătură cu spațiul.
curriculum	programa	Școala și-a actualizat programa.
cute	drăguț	Cățelușul arăta drăguț.
dairy	lăptăria	Ferma produce produse lactate.
dare	a îndrăzni	Te provoc să încerci.
darkness	întunericul	Camera s-a umplut de întuneric.
database	baza de date	Baza de date stochează înregistrările clienților.
deadline	termenul-limită	Termenul limită este vineri.
deadly	mortal	Șarpele are un venin mortal.
dealer	dealerul	Dealerul auto a oferit o reducere.
deck	puntea	Scaunele sunt pe terasă.
defender	apărătorul	Fundașul a blocat șutul.
delete	a șterge	Șterge mesajul vechi.
democracy	democrația	Democrația depinde de alegeri libere.
democratic	democratic	Votul a urmat reguli democratice.
demonstration	demonstrația	Studenții s-au alăturat unei demonstrații.
depart	a se îndepărta	Trenul va pleca la prânz.
dependent	dependent	Copilul este dependent de adulți.
deposit	depozitul	Ea a plătit un avans pentru apartament.
depression	depresia	Depresia necesită sprijin profesional.
derive	a deriva	Multe cuvinte provin din latină.
desperately	cu disperare	Avea disperată nevoie de apă.
destruction	distrugerea	Furtuna a provocat o distrugere pe scară largă.
determination	determinarea	Determinarea ei l-a impresionat pe antrenor.
devote	a dedica	Ea își dedică weekendurile studiului.
differ	a diferi	Părerile lor diferă puternic.
disability	dizabilitatea	Clădirea are acces pentru persoanele cu dizabilități.
disabled	dezactivat	Atletul cu dizabilități a câștigat o medalie.
disagreement	dezacordul	Întâlnirea s-a încheiat cu un dezacord.
disappoint	a dezamăgi	Rezultatul poate dezamăgi fanii.
disappointment	dezamăgirea	El a simțit o dezamăgire profundă.
discourage	a descuraja	Nu descurajați tinerii cursanți.
disorder	tulburarea	Doctorul a diagnosticat o tulburare de somn.
distant	distant	Munții păreau îndepărtați.
distinct	distinct	Cele două sunete sunt distincte.
distinguish	a distinge	Poți distinge aceste culori?
distract	a distrage	Zgomotul poate distrage elevii.
disturb	a deranja	Vă rugăm să nu deranjați pacientul.
dive	a se scufunda	Ei se vor scufunda lângă recif.
diverse	divers	Orașul are culturi diverse.
diversity	diversitatea	Noi sărbătorim diversitatea culturală.
divorce	divorțul	Divorțul a fost dificil pentru toți.
dominant	dominant	Echipa dominantă a controlat jocul.
donation	donația	Organizația caritabilă a primit o donație.
dot	punctul	Pune un punct după număr.
downtown	centrul orașului	Ne-am întâlnit în centrul orașului după muncă.
dramatically	dramatic	Prețul a scăzut dramatic.
drought	seceta	Seceta a distrus recoltele.
dull	plictisitor	Cursul a fost plictisitor.
dump	a arunca	Nu arunca gunoiul aici.
duration	durata	Durata zborului este de trei ore.
dynamic	dinamic	Sala de clasă s-a simțit dinamică.
economics	economia	Ea studiază economia la universitate.
economist	economistul	Economistul a prezis o creștere mai lentă.
editorial	editorial	Articolul editorial a criticat legea.
efficiently	eficient	Echipa a lucrat eficient.
elbow	un cot	S-a lovit la cot.
electronics	electronice	Magazinul vinde electronice.
elegant	elegant	Rochia arăta elegant.
elementary	elementar	Cartea explică gramatica elementară.
eliminate	a elimina	Echipa a eliminat câteva erori.
embrace	a îmbrățișa	Ea a îmbrățișat noua idee.
emission	o emisie	Nivelurile emisiilor auto au scăzut.
emotionally	emoțional	A vorbit cu emoție despre familia sa.
empire	un imperiu	Imperiul a durat secole.
enjoyable	plăcut	Călătoria a fost plăcută.
entertaining	distractiv	Spectacolul a fost distractiv.
entrepreneur	un antreprenor	Antreprenorul a deschis o cafenea.
envelope	un plic	Pune scrisoarea într-un plic.
equip	a echipa	Școala va echipa laboratorul.
equivalent	un echivalent	Un dolar nu este echivalent aici.
era	o eră	Descoperirea a început o nouă eră.
erupt	a erupe	Vulcanul ar putea erupe curând.
essentially	în esență	Cele două metode sunt în esență identice.
ethic	o etică	Etica sa de muncă este puternică.
ethnic	etnic	Festivalul sărbătorește tradițiile etnice.
evaluation	o evaluare	Cursul include o evaluare finală.
evident	evident	Nervozitatea lui era evidentă.
evolution	o evoluție	Evoluția explică multe schimbări biologice.
evolve	a evolua	Limbile evoluează în timp.
exceed	a depăși	Cererea ar putea depăși oferta.
exception	o excepție	Există o excepție.
excessive	excesiv	Zgomotul excesiv deranjează vecinii.
exclude	a exclude	Lista exclude lucrătorii temporari.
exhibit	o expoziție	Muzeul va expune fotografii rare.
exit	o ieșire	Ieșirea este în spatele scenei.
exotic	exotic	Magazinul vinde fructe exotice.
expansion	o expansiune	Compania a plănuit o extindere.
expertise	o expertiză	Expertiza ei a îmbunătățit proiectul.
exploit	a exploata	Infractorii exploatează parolele slabe.
exposure	o expunere	Expunerea la soare poate deteriora pielea.
extension	o extensie	Prelungirea termenului a ajutat pe toată lumea.
extensive	extensiv	Biblioteca are resurse extinse.
extensively	extensiv	Subiectul a fost studiat pe larg.
extract	un extract	Extractul de vanilie dă aromă.
fabric	un material	Materialul se simte moale la atingere.
fabulous	fabulos	Masa a fost fabuloasă.
failed	eșuat	Încercarea eșuată ne-a învățat ceva.
fake	fals	Site-ul vindea bilete false.
fame	o faimă	Faima i-a schimbat viața privată.
fantasy	o fantezie	Romanul este o fantezie.
fare	un tarif	Tariful de autobuz a crescut.
federal	federal	Guvernul federal a anunțat finanțarea.
fever	o febră	Copilul are febră.
firefighter	un pompier	Pompierul a salvat câinele.
firework	un foc de artificii	O artificie a explodat deasupra parcului.
firm	ferm	Salteaua este fermă.
firmly	ferm	Ea a închis ușa ferm.
flavour	o aromă	Supa are o aromă bogată.
fond	afectuos	Lui îi place mult jazzul.
fool	un prost	Nu te purta ca un prost.
forbid	a interzice	Legea interzice fumatul aici.
forecast	o prognoză	Prognoza prezice ploaie.
format	un format	Folosește formatul corect de fișier.
formation	o formațiune	Formarea norilor se schimbă rapid.
formerly	anterior	Clădirea a fost anterior o școală.
fortunate	norocos	Am fost norocoși să ajungem devreme.
forum	un forum	Forumul a discutat politica climatică.
fossil	o fosilă	Fosila a fost găsită în piatră.
foundation	o fundație	Casa are o fundație puternică.
founder	un fondator	Fondatorul a întâmpinat oaspeții.
fraction	o fracțiune	Doar o fracțiune dintre studenți au venit.
fragment	un fragment	Un fragment de sticlă stătea pe podea.
framework	un cadru	Legea creează un cadru clar.
fraud	o fraudă	Banca a detectat o fraudă.
freely	liber	Copiii s-au jucat liber afară.
frequent	frecvent	Pauzele frecvente îmbunătățesc concentrarea.
fulfil	a îndeplini	Sper să îmi îndeplinesc promisiunea.
full-time	cu normă întreagă	Ea are un loc de muncă cu normă întreagă.
fundamentally	fundamental	Planul este fundamental diferit.
furious	furios	A fost furios din cauza întârzierii.
gaming	un joc	Jocurile video pot îmbunătăți viteza de reacție.
gay	homosexual	El sprijină drepturile persoanelor gay.
gender	un gen	Sondajul a întrebat despre gen.
gene	o genă	Gena afectează culoarea ochilor.
genetic	genetic	Boala are cauze genetice.
genius	un geniu	Tânărul pianist este un geniu.
genuine	autentic	Zâmbetul ei părea sincer.
genuinely	cu adevărat	El voia cu adevărat să ajute.
gesture	un gest	Ea a făcut un gest prietenos.
gig	un concert	Trupa a cântat la un concert în centru.
globalization	o globalizare	Globalizarea afectează afacerile locale.
globe	un glob	Globul arată fiecare continent.
golden	de aur	Apusul a devenit auriu.
goodness	o bunătate	Ea crede în bunătatea umană.
gorgeous	superb	Grădina arăta superb.
governor	un guvernator	Guvernatorul a semnat legea.
graphic	grafic	Imaginea grafică a șocat telespectatorii.
graphics	o grafică	Jocul are o grafică simplă.
greatly	foarte mult	Sfatul tău a ajutat foarte mult.
greenhouse	o seră	Roșiile cresc în interiorul serei.
grocery	o băcănie	A luat cumpărături alimentare după muncă.
guideline	o orientare	Ghidul explică practicile sigure.
habitat	un habitat	Pădurea este un habitat pentru păsări.
harbour	un port	Barca a intrat în port.
headquarters	un sediu	Sediul companiei s-a mutat în centru.
