simplified	AZ	example_AZ
备忘录	xatırlatma qeydi	O, əsas məqamları xatırlatma qeydinə yazdı.
背叛	xəyanət	O, dostunun xəyanətini qəbul edə bilmədi.
背诵	əzbərləmək	Şagirdlər mətni əzbərdən deyirlər.
被动	passiv	Danışıqlarda çox passiv olmamalıyıq.
被告	təqsirləndirilən şəxs	Təqsirləndirilən şəxs bütün ittihamları rədd etdi.
贝壳	balıqqulağı	Uşaq dəniz kənarında balıqqulağı yığdı.
奔波	ora-bura qaçmaq	O, iş üçün hər yerdə ora-bura qaçır.
奔驰	sürətlə getmək	Maşın magistralda sürətlə gedirdi.
本能	instinkt	Uşağı qorumaq valideyn instinktidir.
本钱	sərmayə	Biznes qurmaq üçün sərmayə lazımdır.
本人	şəxsən mən	Şəxsən mən məsuliyyəti daşımağa hazıram.
本身	özlüyündə	Bu planın özlüyündə problemi yoxdur.
本事	bacarıq	Onun böyük bacarığı var.
笨拙	yöndəmsiz	Onun hərəkətləri bir az yöndəmsizdir.
崩溃	çökmək	Sistem qəfildən çökdü.
甭	lazım deyil	Bu işə görə narahat olmağın lazım deyil.
蹦	hoppanmaq	Balaca it otların üstündə hoppanırdı.
迸发	qəfil qopmaq	Alqışlar izdihamdan qəfil qopdu.
逼迫	məcbur etmək	Onlar onu müqavilə imzalamağa məcbur etdilər.
鼻涕	burun axıntısı	Uşaq soyuqlayıb və burnu dayanmadan axır.
比方	məsələn	Məsələn, əvvəlcə bir ay sınaqdan keçirə bilərik.
比喻	bənzətmə	Bu bənzətmə çox canlıdır.
比重	pay	Xidmət sektorunun payı getdikcə artır.
鄙视	xor baxmaq	Başqalarının zəhmətinə xor baxma.
弊病	qüsur	Bu sistemin xeyli qüsuru var.
弊端	çatışmazlıq	Yeni plan köhnə sistemin çatışmazlıqlarını həll etdi.
臂	qol	Onun sağ qolu yaralandı.
闭塞	təcrid olunmuş	Bu dağ kəndinin yolları əvvəllər çox təcrid olunmuş idi.
编织	toxumaq	Nənə sviter toxuyur.
边疆	sərhəd bölgəsi	Çoxlu əsgər vətənin sərhəd bölgəsini qoruyur.
边界	sərhəd	İki ölkə sərhədi yenidən müəyyənləşdirdi.
边境	sərhəd bölgəsi	Sərhəd bölgələrində təhlükəsizlik yoxlamaları gücləndirildi.
边缘	kənar	Fincan masanın kənarında qoyulub.
鞭策	ruhlandırmaq	Müəllimin sözləri məni həmişə ruhlandırır.
扁	yastı	Bu qutu həm geniş, həm də yastıdır.
贬低	alçaltmaq	Başqalarının zəhmətini asanlıqla alçaltma.
贬义	mənfi məna	Bu söz burada mənfi məna daşıyır.
便利	rahat	Metro gediş-gəlişi daha rahat edir.
便条	qeyd	O, masanın üstündə bir qeyd qoydu.
便于	əlverişli olmaq	Bu dizayn yaşlı insanların istifadəsi üçün əlverişlidir.
变故	gözlənilməz hadisə	Ailədə qəfil gözlənilməz hadisə baş verdi.
变迁	dəyişiklik	Şəhərin dəyişiklikləri onu çox düşündürdü.
变质	xarab olmaq	Süd uzun müddət qalanda xarab olur.
辨认	tanımaq	Polis ondan fotodakı adamı tanımağı istədi.
辩护	müdafiə etmək	Vəkil təqsirləndirilən şəxsi müdafiə etdi.
辩解	özünü doğrultmaq	O, səhvini doğrultmağa çalışdı.
辩证	dialektik	Bu məsələyə dialektik baxmaq lazımdır.
辫子	hörük	Balaca qızın iki hörüyü var.
遍布	hər yerə yayılmaq	Bu bitki ölkənin hər yerinə yayılıb.
标本	nümunə	Muzeydə heyvan nümunələri nümayiş olunur.
标记	işarə	Vacib abzasların yanında işarə qoyun.
标题	başlıq	Bu məqalənin başlığı cəlbedicidir.
表决	səsvermə	Nümayəndələr təklif üzrə səsvermə keçirəcəklər.
表态	mövqe bildirmək	O, hələ açıq şəkildə mövqe bildirməyib.
表彰	təltif etmək	Şirkət yaxşı işçiləri təltif etdi.
憋	özünü saxlamaq	O, gülməyini saxladı və danışmadı.
别墅	villa	Onlar şəhər kənarında villa aldılar.
别致	özünəməxsus	Bu kafenin dekorasiyası çox özünəməxsusdur.
别扭	yöndəmsiz	Bu cümlə bir az yöndəmsiz səslənir.
濒临	astanasında olmaq	Bu heyvan nəsli kəsilmə astanasındadır.
冰雹	dolu	Dünən günortadan sonra güclü dolu yağdı.
丙	üçüncü	Üçüncü qrupun yarışı günortadan sonra başlayır.
并非	heç də deyil	Məsələ heç də düşündüyün kimi deyil.
并列	bərabər olmaq	Bu iki layihə birinci yerdə bərabərdir.
剥削	istismar	Köhnə cəmiyyətdə ciddi istismar vardı.
拨	yığmaq	Zəhmət olmasa, bu telefon nömrəsini yığın.
播种	toxum səpmək	Fermerlər yazda toxum səpməyə başlayırlar.
波浪	dalğa	Dənizin üstündə böyük dalğalar qalxdı.
波涛	nəhəng dalğalar	Qayıq nəhəng dalğalar arasında irəlilədi.
伯母	əmi arvadı	Həftəsonu əmi arvadımı ziyarət edəcəyəm.
博大精深	geniş və dərin	Çin mədəniyyəti geniş və dərindir.
博览会	sərgi	Beynəlxalq sərgi çox şirkət cəlb etdi.
搏斗	döyüşmək	Polis cinayətkarla döyüşdü.
薄弱	zəif	Onun qrammatika əsası nisbətən zəifdir.
不顾	təhlükəyə baxmayaraq	O, təhlükəyə baxmayaraq içəri qaçdı.
不愧	layiq olmaq	O, həqiqətən təcrübəli mütəxəssis adına layiqdir.
不料	gözlənilmədən	Gözlənilmədən iclas ləğv edildi.
不像话	yolverilməz	Qonaqlarla belə davranmaq yolverilməzdir.
不屑一顾	etinasız yanaşmaq	O, bu şayiələrə etinasız yanaşdı.
哺乳	əmizdirmək	Ana körpəni əmizdirir.
捕捉	tutmaq	Fotoqraf gözəl anı tutdu.
补偿	kompensasiya etmək	Şirkət itkilərini kompensasiya edəcək.
补救	düzəltmək	Bunu düzəltməyə hələ vaxtımız var.
补贴	subsidiya	Hökumət aztəminatlı ailələrə subsidiya verir.
不得已	məcbur qalmaq	O, məcbur qaldığı üçün doğma yurdunu tərk etdi.
不妨	zərər olmaz	Əvvəlcə onun izahını dinləsən, zərər olmaz.
不敢当	layiq deyiləm	Məni belə tərifləyirsiniz, buna layiq deyiləm.
不禁	özünü saxlaya bilməmək	Xəbəri eşidəndə özünü saxlamayıb güldü.
不堪	dözülməz	Buradakı səs-küy dözülməzdir.
不可思议	inanılmaz	Bu nəticə doğrudan da inanılmazdır.
不免	qaçılmaz	İlk dəfə səhnəyə çıxanda bir az həyəcanlanmaq qaçılmazdır.
不时	ara-sıra	O, ara-sıra başını qaldırıb saata baxırdı.
不惜	çəkinməmək	İnsan xilas etmək üçün risk etməkdən çəkinmədi.
不相上下	bərabər gücdə	İki komandanın gücü bərabərdir.
不言而喻	öz-özünə aydın	Dürüstlüyün əhəmiyyəti öz-özünə aydındır.
不由得	qeyri-ixtiyari	Köhnə fotonu görəndə qeyri-ixtiyari uşaqlığımı xatırladım.
不择手段	hər vasitəyə əl atmaq	O, pul qazanmaq üçün hər vasitəyə əl atır.
不止	yüzdən çox	İclasa yüzdən çox adam qatıldı.
布告	elan	Məktəbin qapısına bir elan asıldı.
布局	plan	Bu mənzilin planı çox məntiqlidir.
布置	tapşırmaq	Müəllim yeni ev tapşırığı verdi.
步伐	addım	Komanda nizamlı addımlarla irəlilədi.
部署	həyata keçirmək	Şirkət yeni satış planını həyata keçirir.
部位	yer	Həkim zədələnmiş yeri yoxladı.
才干	qabiliyyət	Onun idarəetmədə böyük qabiliyyəti var.
裁缝	dərzi	Bu dərzinin sənəti çox yaxşıdır.
裁判	hakim	Hakim oyunun dayandırıldığını elan etdi.
裁员	işçi ixtisar etmək	Şirkət zərərə görə işçi ixtisar etməyə qərar verdi.
财富	sərvət	Bilik də bir növ sərvətdir.
财务	maliyyə	Maliyyə şöbəsi hesabları yoxlayır.
财政	dövlət maliyyəsi	Bu il dövlət maliyyə gəlirləri bir qədər artıb.
彩票	lotereya bileti	O, ara-sıra lotereya bileti alır.
采购	satın almaq	Şirkət avadanlıq satın almaq üçün adam göndərdi.
采集	toplamaq	Tədqiqatçılar meşədə nümunələr topladılar.
采纳	qəbul etmək	Rəhbər təklifimizi qəbul etdi.
参谋	məsləhətçi	O, tez-tez menecerə məsləhətçi olur.
参照	əsas götürmək	Zəhmət olmasa, formanı bu nümunəni əsas götürərək doldurun.
残疾	əlillik	Bu stansiya əlilliyi olan sərnişinlərə yardım göstərir.
残酷	qəddar	Müharibə çox qəddardır.
残留	qalmaq	Fincanda hələ də qəhvə qoxusu qalıb.
残忍	amansız	Heyvanlara əziyyət vermək amansız davranışdır.
灿烂	parlaq	O, parlaq təbəssüm göstərdi.
仓促	tələsik	Bu qərar çox tələsik verildi.
仓库	anbar	Mallar artıq anbara çatdırılıb.
舱	kabinə	Sərnişinlər təyyarənin kabinəsinə daxil olurlar.
苍白	solğun	Onun sifəti çox solğun görünürdü.
操劳	zəhmət çəkmək	Anam bu ailə üçün illərlə zəhmət çəkdi.
操练	məşq etmək	Əsgərlər hər səhər məşq edirlər.
操纵	idarə etmək	Bu maşın kompüterlə idarə olunur.
操作	işlətmək	Zəhmət olmasa, avadanlığı təlimata uyğun işlədin.
嘈杂	səs-küylü	Vağzalda çox səs-küy var.
草案	layihə	Komitə layihəni müzakirə edir.
草率	tələsik	Belə vacib qərar tələsik verilməməlidir.
侧面	yan tərəf	Yan tərəfdən bu bina daha hündür görünür.
测量	ölçmək	Mühəndis körpünün uzunluğunu ölçür.
策划	planlaşdırmaq	Onlar böyük bir tədbir planlaşdırdılar.
策略	strategiya	Bu strategiya şirkətə xərcləri azaltmağa kömək etdi.
层出不穷	ardı-arası kəsilməmək	Yeni problemlərin ardı-arası kəsilmir.
层次	quruluş	Bu məqalənin quruluşu çox aydındır.
差别	fərq	İki üsul arasında böyük fərq yoxdur.
插座	rozetka	Bu otaqda rozetka çatmır.
查获	ələ keçirmək	Gömrük saxta malların bir partiyasını ələ keçirdi.
刹那	bir an	Bir anda bütün işıqlar söndü.
岔	ayrılmaq	Maşınlar qarşıdakı yolayrıcında ayrıldı.
诧异	təəccüblənmiş	Onun qərarı hamını çox təəccübləndirdi.
柴油	dizel yanacağı	Bu yük maşını dizel yanacağı ilə işləyir.
搀	qolundan tutub kömək etmək	Tibb bacısı qocanın qolundan tutub palataya apardı.
缠绕	sarılmaq	Üzümlər budaqlara sarılıb.
馋	iştahı çəkmək	Tortu görəndə uşağın iştahı çəkdi.
产业	sənaye	Turizm burada vacib sənayedir.
阐述	izah etmək	Professor fikirlərini ətraflı izah etdi.
颤抖	titrəmək	O, soyuqdan bütün bədəni ilə titrəyirdi.
昌盛	çiçəklənən	Biz ölkənin çiçəklənməsini arzulayırıq.
偿还	qaytarmaq	O, krediti vaxtında qaytardı.
尝试	sınamaq	Biz yeni üsulu sınaya bilərik.
场合	məqam	Belə məqamda zarafat etmək uyğun deyil.
场面	səhnə	Toyun ab-havası çox canlı idi.
场所	yer	Bura ictimai yerdir, siqaret çəkməyin.
敞开	taybatay açmaq	Zəhmət olmasa, pəncərəni bir az taybatay açın.
倡导	təşviq etmək	Məktəb sağlam həyat tərzini təşviq edir.
倡议	təşəbbüs	Bu ekoloji təşəbbüs dəstək aldı.
畅通	açıq	Yağış dayanandan sonra yol yenidən açıldı.
畅销	yaxşı satılmaq	Bu roman çox yaxşı satılır.
超越	aşmaq	O, nəhayət öz rekordunu aşdı.
钞票	əsginas	Pul kisəsində yalnız bir neçə əsginas qalmışdı.
嘲笑	lağa qoymaq	Başqalarının qüsurlarını lağa qoyma.
巢穴	yuva	Ovçu heyvanın yuvasını tapdı.
朝代	sülalə	Tanq sülaləsi Çin tarixində bir sülalədir.
潮流	dəb axını	Gənclər dəb axınını diqqətlə izləyirlər.
撤退	geri çəkilmək	Qoşunlar əmr aldıqdan sonra geri çəkildi.
撤销	ləğv etmək	Məhkəmə əvvəlki qərarı ləğv etdi.
沉淀	çökmək	Lil tədricən dibə çökəcək.
沉闷	boğucu	Bugünkü hava isti və boğucudur.
沉思	düşüncəyə dalmaq	O, pəncərənin yanında düşüncəyə dalmışdı.
沉重	ağır	Bu xəbər hamının əhvalını ağırlaşdırdı.
沉着	təmkinli	Təhlükə zamanı təmkinli qalmaq lazımdır.
陈旧	köhnəlmiş	Bu maşın artıq çox köhnəlib.
陈列	nümayiş etdirmək	Sərgi zalında çoxlu tarixi əşya nümayiş olunur.
陈述	bəyan etmək	Zəhmət olmasa, faktları aydın bəyan edin.
称心如意	ürəyincə olmaq	Bu iş onun ürəyincədir.
衬托	daha qabarıq göstərmək	Ağ divar güllərin rəngini daha qabarıq göstərir.
称号	titul	O, əla müəllim titulunu aldı.
乘	minmək	Mən hər gün metroya minib işə gedirəm.
呈现	rəng almaq	Göy üzü solğun qırmızı rəng aldı.
城堡	qala	Dağın başında qədim qala var.
惩罚	cəzalandırmaq	Məktəb imtahanda aldadan şagirdləri cəzalandıracaq.
成本	xərc	Xammalın bahalaşması xərci artırdı.
成交	razılaşma əldə etmək	Bu ticarət razılaşması nəhayət baş tutdu.
成天	bütün günü	O, bütün günü kompüterin qarşısında oturur.
成效	nəticə	Yeni idarəetmə üsulu tezliklə nəticə verdi.
成心	qəsdən	O, səni qəsdən çətin vəziyyətə salmadı.
成员	üzv	Hər üzv iclasda iştirak etməlidir.
承办	təşkil etmək	Bu şirkət sərgini təşkil etdi.
承包	podrat götürmək	Onlar bu layihəni podrat götürdülər.
承诺	söz vermək	O, tapşırığı vaxtında bitirəcəyinə söz verdi.
橙	portağal	Mən bir neçə təzə portağal aldım.
澄清	aydınlaşdırmaq	Menecer çıxıb anlaşılmazlığı aydınlaşdırdı.
盛	süzmək	O, qonağa bir kasa şorba süzdü.
诚挚	səmimi	Zəhmət olmasa, səmimi təşəkkürümü qəbul edin.
秤	tərəzi	Bu tərəzi o qədər də dəqiq deyil.
吃苦	çətinliyə dözmək	Gənclər çətinliyə dözməyi öyrənməlidirlər.
吃力	çətin olmaq	Bu qutunu daşımaq çox çətindir.
持久	davamlı	Uğur davamlı zəhmət tələb edir.
迟钝	ləng	Son vaxtlar onun reaksiyaları bir az ləngdir.
迟缓	yavaş	Yağışdan sonra nəqliyyat yavaşladı.
迟疑	tərəddüd etmək	O, cavab verməzdən əvvəl bir an tərəddüd etdi.
赤道	ekvator	Ekvator yaxınlığında ilboyu isti olur.
赤字	kəsir	Şirkət bu il kəsir verdi.
充当	rolunu oynamaq	O, layihədə koordinator rolunu oynadı.
充沛	bol	Uşaqların enerjisi çox boldur.
充实	dolğun	Bu təcrübə həyatımı daha dolğun etdi.
充足	kifayət qədər	Səfərdən əvvəl kifayət qədər su hazırlayın.
冲动	impuls	Bir anlıq impulsla qərar vermə.
冲击	təsir	Yeni texnologiya ənənəvi sahələrə təsir etdi.
冲突	münaqişə	Hər iki tərəf münaqişədən qaçmağa çalışdı.
崇拜	heyran olmaq	Bir çox gənc bu alimə heyrandır.
崇高	uca	Həkimin vəzifəsi ucadır.
崇敬	dərin hörmət etmək	Şagirdlər bu müəllimə dərin hörmət edirlər.
重叠	üst-üstə düşmək	Bu iki tapşırıq qismən üst-üstə düşür.
稠密	sıx	Burada əhali çox sıxdır.
筹备	hazırlaşmaq	Onlar toya hazırlaşırlar.
丑恶	çirkin	O, hadisənin arxasındakı çirkin həqiqəti ifşa etdi.
出路	çıxış yolu	Təhsil gənclərə daha çox çıxış yolu verə bilər.
出卖	satmaq; xəyanət etmək	O, dostlarını satmaz.
出身	mənşə	O, adi ailədən çıxıb.
出神	fikrə dalmaq	O, musiqiyə qulaq asarkən fikrə dalmışdı.
出息	gələcək vəd etmək	Bu uşağın gələcəyi parlaq olacaq.
初步	ilkin	Biz ilkin razılaşma əldə etmişik.
除	istisna olmaq	Ondan başqa hamı gəlib.
储备	ehtiyat yığmaq	Şirkət daha çox vəsait ehtiyatı yığmalıdır.
储存	saxlamaq	Bu məlumatlar avtomatik saxlanacaq.
储蓄	qənaət etmək	O, hər ay maaşının bir hissəsini yığır.
处分	intizam cəzası	Məktəb ona ciddi intizam cəzası verdi.
处境	vəziyyət	Onların indiki vəziyyəti çox çətindir.
处置	utilizasiya etmək	Bu köhnə avadanlıq düzgün şəkildə utilizasiya edilməlidir.
触犯	pozmaq	Belə etmək qanunu pozar.
川流不息	dayanmadan axmaq	Küçədə maşınlar dayanmadan axır.
穿越	keçmək	Qatar uzun tuneldən keçdi.
传达	çatdırmaq	Zəhmət olmasa, bu xəbəri hamıya çatdırın.
传单	vərəqə	Könüllülər küçədə vərəqə payladılar.
传授	ötürmək	Müəllim təcrübəsini şagirdlərə ötürdü.
船舶	gəmi	Limanda çoxlu gəmi dayanıb.
喘气	təngnəfəs olmaq	Qaçandan sonra o, dayanmadan təngnəfəs olurdu.
串	düzmək	O, muncuqları bir boyunbağıya düzdü.
床单	döşəkağı	Zəhmət olmasa, döşəkağını dəyişin.
创立	təsis etmək	Onlar bu şirkəti birlikdə təsis etdilər.
创新	yenilik etmək	Müəssisənin inkişafı üçün daim yenilik etmək lazımdır.
创业	biznes qurmaq	Bir çox gənc biznes qurmağı seçir.
创作	yaratmaq	Yazıçı uzun roman yaradır.
吹牛	lovğalanmaq	Lovğalanma, sübut göstər.
吹捧	həddindən artıq tərifləmək	Media bu məhsulu həddindən artıq təriflədi.
炊烟	ocaq tüstüsü	Axşam kənddə ocaq tüstüsü qalxdı.
垂直	şaquli	Bu iki xətt bir-birinə şaqulidir.
锤	çəkic	Fəhlə dəmir lövhəyə çəkiclə vurdu.
纯粹	sırf	Onun köməyi sırf yaxşı niyyətdən idi.
纯洁	saf	Uşağın qəlbi çox safdır.
慈善	xeyriyyə	Bu şirkət tez-tez xeyriyyə tədbirlərində iştirak edir.
慈祥	mehriban	Nənənin təbəssümü çox mehribandır.
磁带	maqnit kaseti	Bu köhnə maqnit kaseti hələ də oxutmaq olur.
雌雄	dişi və erkək	Bu quşun dişisi və erkəyi fərqli rəngdədir.
伺候	qulluq etmək	Tibb bacısı xəstəyə diqqətlə qulluq edir.
刺	tikan	Qızılgül budağında çoxlu tikan var.
次品	qüsurlu məhsul	Bu qüsurlu məhsulları satmaq olmaz.
次序	sıra	Zəhmət olmasa, sıraya uyğun düzülün.
丛	dəstə	Yol kənarında bir dəstə çöl çiçəyi var.
从容	təmkinlə	O, suala təmkinlə cavab verdi.
凑合	birtəhər keçinmək	Otaq böyük deyil, amma yaşamaq üçün birtəhər yarayır.
粗鲁	kobud	O, çox kobud danışır.
窜	cummaq	O pişik bir anda evə cumdu.
摧残	məhv etmək	Uzunmüddətli çirklənmə bu meşəni məhv edər.
脆弱	kövrək	Şüşə məmulatlar çox kövrəkdir.
搓	ovuşdurmaq	O, soyuq əllərini ovuşdurdu.
磋商	məsləhətləşmək	Hər iki tərəf məsləhətləşməni davam etdirəcək.
挫折	uğursuzluq	Hər kəs uğursuzluqlarla üzləşir.
搭	minmək	Biz hava limanına avtobusla gedirik.
搭档	tərəfdaş	O, illərdir mənim iş tərəfdaşımdır.
搭配	uyğunlaşmaq	Bu pencək və şalvar yaxşı uyğunlaşır.
答辩	müdafiə	Magistrant dissertasiya müdafiəsinə hazırlaşır.
答复	cavab	Zəhmət olmasa, mənə tezliklə cavab verin.
达成	əldə etmək	Tərəflər nəhayət razılaşma əldə etdilər.
打包	qablaşdırmaq	Ofisiant qalan yeməyi bizim üçün qablaşdırdı.
打官司	məhkəməyə müraciət etmək	Onlar müqavilə məsələsinə görə məhkəməyə müraciət etdilər.
打击	zərbə	Bu uğursuzluq ona böyük zərbə oldu.
打架	dava etmək	Kampusda dava edən şagirdlər cəza alacaq.
打量	süzmək	O, məni başdan-ayağa süzdü.
打猎	ov etmək	Burada ov etmək qadağandır.
打仗	müharibə etmək	Heç kim müharibə etmək istəmir.
大不了	ən pis halda	Ən pis halda sabah yenə cəhd edərik.
大臣	nazir	Kral bir neçə naziri çağırdı.
大伙儿	hamı	Hamı sənin qərarını gözləyir.
大肆	geniş miqyasda	Tacir yeni məhsulu geniş miqyasda reklam etdi.
大体	əsasən	Plan əsasən problemsizdir.
大意	əsas məna	Zəhmət olmasa, əvvəlcə məqalənin əsas mənasını izah et.
大致	təxminən	Mən hadisənin gedişini təxminən başa düşdüm.
歹徒	cinayətkar	Polis cinayətkarı tez yaxaladı.
代价	bədəl	Uğur çox vaxt bədəl ödəməyi tələb edir.
代理	müvəqqəti əvəz etmək	O, müvəqqəti olaraq menecerin işini əvəz edir.
带领	rəhbərlik etmək	Müəllim şagirdlərə muzeyi gəzdirmək üçün rəhbərlik etdi.
怠慢	etinasız yanaşmaq	Biz qonaqlara etinasız yanaşa bilmərik.
逮捕	həbs etmək	Polis əsas şübhəlini həbs etdi.
担保	zəmanət vermək	Bank kiminsə zəmanət verməsini tələb edir.
胆怯	qorxaq	İlk çıxışında o, bir az qorxaq idi.
淡季	mövsümdənkənar dövr	Turizmin mövsümdənkənar dövründə biletlər daha ucuzdur.
淡水	şirin su	Bu balıq yalnız şirin suda yaşaya bilir.
蛋白质	zülal	Yumurtada bol zülal var.
诞辰	doğum ildönümü	Bu gün həmin yazıçının doğum ildönümüdür.
诞生	yaranmaq	Bu fikir müzakirə zamanı yarandı.
当场	yerindəcə	O, səhvini yerindəcə etiraf etdi.
当初	əvvəlcə	Əvvəlcə hamımız bu qərarı dəstəkləyirdik.
当代	müasir	Müasir cəmiyyət çox sürətlə dəyişir.
当面	üz-üzə	Problem varsa, üz-üzə aydınlaşdırmaq daha yaxşıdır.
当前	hazırkı	Hazırda ən vacib məsələ təhlükəsizliyi təmin etməkdir.
当事人	tərəf	Polis hadisənin tərəflərini dindirir.
当务之急	təcili məsələ	Mənzil problemini həll etmək təcili məsələdir.
当选	seçilmək	O, sədr seçildi.
党	partiya	Bu partiya yeni siyasət təklif etdi.
档案	sənəd arxivi	Məktəb şagirdlərin sənəd arxivini saxladı.
档次	səviyyə	Bu otelin səviyyəsi çox yüksəkdir.
倒闭	bağlanmaq	O kiçik mağaza keçən il bağlandı.
导弹	raket	Xəbərdə raket sınağı barədə məlumat verildi.
导航	naviqasiya	Zəhmət olmasa, telefonda naviqasiyanı açın.
导向	yönümlü	Təhsil siyasəti ədalətə yönümlü olmalıdır.
捣乱	qarışıqlıq salmaq	Zəhmət olmasa, dərsdə qarışıqlıq salmayın.
盗窃	oğurluq	Ticarət mərkəzi oğurluğun qarşısını almaq üçün tədbirləri gücləndirdi.
稻谷	çəltik	Fermerlər çəltiyi biçirlər.
得不偿失	xeyrindən çox ziyanı olmaq	Pula qənaət üçün keyfiyyətsiz material almağın xeyrindən çox ziyanı olar.
得力	bacarıqlı	O, menecerin bacarıqlı köməkçisidir.
