source_headword	ES	example_ES
conflict	el conflicto	El conflicto duró años.
confusing	confuso	El mapa era confuso.
conscious	consciente	Ella permaneció consciente.
conservative	conservador	Sus ideas son conservadoras.
consideration	la consideración	El costo es una consideración importante.
consistent	coherente; constante	Sus resultados son constantes.
constant	constante	El ruido constante nos agotó.
constantly	constantemente	Él revisa el teléfono constantemente.
construct	construir	Los trabajadores construyeron un puente nuevo.
construction	la construcción	La construcción empieza el próximo mes.
contemporary	contemporáneo	La galería muestra arte contemporáneo.
contest	el concurso	Ella participó en el concurso.
contract	el contrato	Lee el contrato con cuidado.
contribute	contribuir	Todos pueden contribuir ideas.
contribution	la contribución	Su contribución fue valiosa.
convert	convertir	Convirtieron el garaje.
convinced	convencido	Estoy convencido de que mintió.
core	el núcleo; la esencia	La confianza es el núcleo del problema.
corporate	corporativo	Las reglas corporativas cambiaron otra vez.
council	el consejo	El consejo aprobó el plan.
county	el condado	El condado reparó la carretera.
courage	el valor	Ella mostró verdadero valor.
crash	el choque	El choque bloqueó el tráfico.
creation	la creación	La creación tomó seis meses.
creature	la criatura	La criatura se movió en silencio.
crew	la tripulación	La tripulación preparó el barco.
crisis	la crisis	La crisis cambió todo.
criterion	el criterio	El precio es un criterio.
critic	el crítico	El crítico elogió la obra.
critical	crítico	Su estado es crítico.
criticism	la crítica	Ella aceptó la crítica con calma.
criticize	criticar	No critiques cada error.
crop	la cosecha	La cosecha fracasó este año.
crucial	crucial	El tiempo es crucial aquí.
cure	la cura	Los médicos encontraron una cura.
curve	la curva	La carretera sigue una curva.
curved	curvo	La pared es ligeramente curva.
debate	el debate	El debate continuó durante horas.
debt	la deuda	Pagó la deuda.
decent	decente	Encontraron un apartamento decente.
declare	declarar	Declararon el resultado.
decline	disminuir	Las ventas siguieron disminuyendo.
decoration	la decoración	La decoración parecía cara.
decrease	disminuir	Los precios pueden disminuir pronto.
deeply	profundamente	Ella se preocupaba profundamente por la justicia.
defeat	la derrota	La derrota sorprendió al equipo.
defence	la defensa	La defensa cuestionó las pruebas.
defend	defender	Intentó defenderse.
delay	el retraso	El mal tiempo causó un retraso.
deliberate	deliberado	Fue una elección deliberada.
deliberately	deliberadamente	Ella ignoró deliberadamente la advertencia.
delight	encantar	La noticia encantó a todos.
delighted	encantado	Estábamos encantados con el regalo.
delivery	la entrega	La entrega llegó temprano.
demand	la demanda; exigir	Los trabajadores exigen mejor pago.
demonstrate	demostrar	Él demostró el software nuevo.
deny	negar	Ella negó la acusación.
depressed	deprimido	Se sintió deprimido después de perder.
depressing	deprimente	La película fue deprimente.
depth	la profundidad	La piscina tiene mucha profundidad.
deserve	merecer	Mereces un descanso.
desire	el deseo	Ella expresó el deseo de viajar.
desperate	desesperado	Hicieron una llamada desesperada.
detailed	detallado	La guía es muy detallada.
detect	detectar	Los perros pueden detectar humo.
dig	cavar	Cavan pozos en verano.
disc	el disco	El disco estaba rayado.
discipline	la disciplina	La disciplina ayuda a los atletas a mejorar.
dishonest	deshonesto	Su respuesta sonó deshonesta.
dismiss	rechazar; despedir	El gerente rechazó la queja.
display	mostrar; la pantalla	La pantalla muestra el marcador.
distribute	distribuir	Los voluntarios distribuyeron agua limpia.
distribution	la distribución	La distribución empezó después del amanecer.
district	el distrito	El distrito eligió un alcalde.
division	la división; el departamento	La división maneja casos legales.
domestic	doméstico; nacional	Los vuelos nacionales son más baratos.
dominate	dominar	Una empresa puede dominar el mercado.
downwards	hacia abajo	El camino baja hacia abajo.
dozen	la docena	Ella compró una docena de huevos.
draft	el borrador	Por favor, revisa el borrador.
drag	arrastrar	No arrastres la mesa.
dramatic	dramático; brusco	Los resultados fueron dramáticos.
edit	editar	Ella editó el artículo.
edition	la edición	Esta edición incluye fotos nuevas.
efficient	eficiente	El sistema es eficiente.
elderly	anciano; mayor	Los residentes mayores necesitan apoyo.
elect	elegir	Los votantes eligen un nuevo consejo.
elsewhere	en otro lugar	Buscamos ayuda en otro lugar.
emerge	surgir	Los detalles surgieron después de medianoche.
emotional	emocional	El discurso fue emocional.
emphasis	el énfasis	Pon énfasis en la seguridad.
emphasize	enfatizar	Los profesores enfatizan la práctica diaria.
enable	permitir	La aplicación permite pagos rápidos.
encounter	encontrar; enfrentarse a	Encontramos mucho tráfico.
engage	involucrar	El curso involucra a estudiantes adultos.
enhance	mejorar	La iluminación puede mejorar la habitación.
enquiry	la investigación; la consulta	La investigación duró tres meses.
ensure	asegurar	Revisa dos veces para asegurar la precisión.
enthusiasm	el entusiasmo	Su entusiasmo animó al grupo.
enthusiastic	entusiasta	Los voluntarios estaban entusiastas.
entire	entero	Todo el pueblo perdió electricidad.
entirely	completamente	La historia es completamente falsa.
establish	establecer	Establecieron reglas claras.
estate	la finca	La finca incluye varias granjas.
estimate	estimar	Estimamos diez mil visitantes.
ethical	ético	La decisión planteó cuestiones éticas.
evaluate	evaluar	Los expertos evaluarán el diseño.
evil	malo; el mal	El rey temía a los espíritus malos.
examination	el examen; la revisión	El examen duró una hora.
excuse	la excusa	Esa excusa sonó débil.
executive	el ejecutivo	El ejecutivo aprobó el acuerdo.
existence	la existencia	Su existencia era desconocida.
expectation	la expectativa	La expectativa era alta antes del lanzamiento.
expense	el gasto	Viajar es nuestro mayor gasto.
exploration	la exploración	La exploración espacial inspira a los niños.
expose	exponer; revelar	El artículo reveló corrupción.
extend	extender	Extendieron el plazo.
extent	la medida; el alcance	Conocimos el alcance más tarde.
external	externo	La presión externa influyó en ellos.
extraordinary	extraordinario	Su recuperación fue extraordinaria.
facility	la instalación	La instalación abrió en junio.
failure	el fracaso	El fracaso le enseñó paciencia.
faith	la fe	Ella mantuvo la fe en él.
fault	la culpa; la falla	El accidente fue mi culpa.
feather	la pluma	Una pluma cayó de la almohada.
fee	la tarifa	La tarifa incluye el almuerzo.
feedback	los comentarios; la retroalimentación	Los comentarios ayudaron a mejorar el curso.
fellow	el compañero; colega	Sus colegas la apoyaron.
finance	financiar; las finanzas	El banco financiará la expansión.
finding	el hallazgo	El hallazgo sorprendió a los investigadores.
firm	la empresa	La empresa contrató personal nuevo.
flame	la llama	Apareció una llama pequeña.
flash	el destello	Un destello iluminó el cielo.
flexible	flexible	El horario es flexible.
float	flotar	Las hojas flotan en el agua.
folding	plegable	Llevaba una silla plegable.
forgive	perdonar	¿Puedes perdonarlo?
former	anterior; ex	El exalcalde regresó.
fortune	la fortuna	Perdieron una fortuna.
found	fundar	Fundaron una pequeña organización benéfica.
freedom	la libertad	La libertad requiere responsabilidad.
frequency	la frecuencia	La frecuencia aumentó en invierno.
fully	completamente	El hotel está completamente reservado.
fund	el fondo	El fondo apoya escuelas locales.
fundamental	fundamental	El respeto es fundamental aquí.
funding	la financiación	La financiación terminó el año pasado.
furthermore	además	Además, los costos están subiendo.
gain	ganar; adquirir	Los estudiantes ganan confianza rápidamente.
gang	la pandilla	Una pandilla controlaba la calle.
generate	generar	Los paneles solares generan energía.
genre	el género	La comedia es su género favorito.
govern	gobernar; regular	Las leyes regulan el gasto público.
grab	agarrar	Me agarró del brazo.
gradually	gradualmente	El dolor desapareció gradualmente.
grand	imponente	El hotel tiene una entrada imponente.
grant	la subvención; conceder	La subvención pagó el equipo.
guarantee	garantizar	El boleto garantiza la entrada.
handle	manejar	Ella manejó la queja con calma.
harm	el daño; dañar	Fumar puede dañar la salud.
harmful	dañino	Esa sustancia química es dañina.
hearing	la audición; la audiencia	Su audición mejoró.
heaven	el cielo	Imaginaban el cielo arriba.
heel	el talón	Le dolía mucho el talón.
hell	el infierno	El viaje fue un infierno.
hesitate	dudar	No dudes en preguntar.
hollow	hueco	El árbol estaba hueco por dentro.
holy	sagrado	Visitaron un lugar sagrado.
honour	el honor	Lucharon por el honor.
household	el hogar	Cada hogar recibió agua.
housing	la vivienda	Los costos de vivienda siguen subiendo.
humorous	humorístico	Su historia fue humorística.
humour	el humor	El humor ayudó a reducir la tensión.
hunting	la caza	La caza está prohibida aquí.
illustrate	ilustrar	Los ejemplos ilustran la regla.
illustration	la ilustración	La ilustración muestra el proceso.
imagination	la imaginación	Los niños usan la imaginación libremente.
impatient	impaciente	Los conductores se impacientaron.
imply	implicar	Su silencio puede implicar acuerdo.
impose	imponer	El tribunal impuso una multa.
impress	impresionar	Su valor impresionó a todos.
impressed	impresionado	Quedé impresionado por su trabajo.
inch	la pulgada	Muévelo una pulgada a la izquierda.
incident	el incidente	El incidente causó preocupación.
income	el ingreso	Sus ingresos aumentaron lentamente.
increasingly	cada vez más	La vivienda es cada vez más cara.
industrial	industrial	La ciudad tiene raíces industriales.
infection	la infección	La infección se propagó rápidamente.
inform	informar	Por favor, informa al gerente.
initial	inicial	El costo inicial fue alto.
initially	inicialmente	Inicialmente, nadie le creyó.
initiative	la iniciativa	Ella lanzó una nueva iniciativa.
inner	interior	La puerta interior estaba cerrada.
insight	la percepción; el conocimiento	El informe ofrece una percepción útil.
insist	insistir	Insisten en controles de seguridad.
inspire	inspirar	Su historia puede inspirar a otros.
install	instalar	Instalaron un calentador nuevo.
instance	el ejemplo; el caso	Este es un ejemplo claro.
