source_headword	PL	example_PL
soar	gwałtownie wzrosnąć	Ceny paliw mogą gwałtownie wzrosnąć.
socialist	socjalistyczny	Partia popiera politykę socjalistyczną.
sole	jedyny	On był jedynym ocalałym.
solely	wyłącznie	Ta decyzja była wyłącznie jego.
solicitor	radca prawny	Radca prawny przygotował umowę.
solidarity	solidarność	Robotnicy wyrazili solidarność.
solo	solowy	Wydała solowy album.
sound	rozsądny	Plan jest rozsądny i praktyczny.
sovereignty	suwerenność	Traktat chronił suwerenność narodową.
spam	spam	Spam zapełnił skrzynkę odbiorczą.
span	spinać	Most spina brzegi rzeki.
spark	wywołać	Drobna uwaga wywołała debatę.
specialized	specjalistyczny	Klinika zapewnia specjalistyczną opiekę.
specification	specyfikacja	Projekt spełnia każdą specyfikację.
specimen	okaz	Okaz został bezpiecznie przechowany.
spectacle	widowisko	Parada była barwnym widowiskiem.
spectrum	spektrum	Opinie obejmują szerokie spektrum.
spell	okres	Okres suszy trwał tygodniami.
sphere	sfera	Polityka wkroczyła w sferę kultury.
spin	kręcić się	Koła zaczęły się kręcić.
spine	kręgosłup	Uraz wpłynął na jego kręgosłup.
spotlight	światło reflektorów	Skandal postawił go w świetle reflektorów.
spouse	małżonek	Jej współmałżonek wziął udział w ceremonii.
spy	szpieg	Szpieg wysyłał zakodowane wiadomości.
squad	oddział	Oddział ratunkowy przybył szybko.
squeeze	ścisnąć	Delikatnie ściśnij uchwyt.
stab	ranić nożem	Raport opisywał ranę od pchnięcia nożem.
stability	stabilność	Polityka przyniosła stabilność.
stabilize	ustabilizować	Lekarstwo pomogło go ustabilizować.
stake	udział	Inwestorzy mają tu swoje udziały.
standing	pozycja	Jej pozycja w partii wzrosła.
stark	wyraźny	Wyniki ukazały wyraźny kontrast.
statistical	statystyczny	W badaniu wykorzystano metody statystyczne.
steer	pokierować	Próbował pokierować debatą.
stem	łodyga	Łodyga złamała się podczas burzy.
stereotype	stereotyp	Ten film rzucił wyzwanie stereotypom.
stimulus	bodziec	Pakiet zapewnił bodziec dla gospodarki.
stir	zamieszać	Powoli zamieszaj sos.
storage	przechowywanie	Obiekt oferuje bezpieczne przechowywanie.
straightforward	jasny	Instrukcje były proste i jasne.
strain	napięcie	Długie opóźnienie wywołało napięcie.
strand	kosmyk	Kosmyk włosów opadł.
strategic	strategiczny	Firma dokonała strategicznej inwestycji.
strip (long narrow piece)	pasek	Odetnij wąski pasek papieru.
strip (remove clothes/a layer)	zdzierać	Ostrożnie zedrzyj starą farbę.
strive	dążyć	Oni dążą do doskonałości.
structural	strukturalny	Most ma uszkodzenia strukturalne.
stumble	potknąć się	Potknął się na schodach.
stun	oszołomić	Ta wiadomość może oszołomić ludzi.
submission	złożenie	Termin składania prac minął.
subscriber	subskrybent	Każdy subskrybent otrzymuje aktualizacje.
subscription	subskrypcja	Subskrypcja odnawia się automatycznie.
subsidy	dotacja	Dotacja obniżyła koszty paliwa.
substantial	znaczny	Projekt wymaga znacznego finansowania.
substantially	znacznie	Cena znacznie wzrosła.
substitute	zamiennik	Użyj mleka jako zamiennika.
substitution	zamiana	Zamiana zmieniła przepis.
subtle	subtelny	Obraz ma subtelne detale.
suburban	podmiejski	Przeprowadzili się na obszar podmiejski.
succession	seria	Kryzys nastąpił po serii niepowodzeń.
successive	kolejny	Kolejne rządy ignorowały ten problem.
successor	następca	Następca rozpocznie pracę w poniedziałek.
suck	wessać	Maszyna potrafi wessać kurz.
sue	pozwać	Postanowiła pozwać firmę.
suicide	samobójstwo	Zapobieganie samobójstwom wymaga ciągłego finansowania.
suite	apartament	Apartament hotelowy miał widok na rzekę.
summit	szczyt	Przywódcy spotkali się na szczycie.
superb	znakomity	Występ był znakomity.
superior	lepszy	Nowy model jest lepszy.
supervise	nadzorować	Będzie nadzorować stażystów.
supervision	nadzór	Dzieci potrzebują nadzoru dorosłych.
supervisor	przełożony	Najpierw zapytaj swojego przełożonego.
supplement	dodatek	Raport zawiera dodatek.
supportive	wspierający	Jej rodzina była bardzo wspierająca.
supposedly	rzekomo	Plik został rzekomo usunięty.
suppress	tłumić	Reżim próbował stłumić protesty.
supreme	najwyższy	Sąd najwyższy rozpatrywał sprawę.
surge	przepięcie	Nagłe przepięcie uszkodziło sprzęt.
surgical	chirurgiczny	Pacjent potrzebuje leczenia chirurgicznego.
surplus	nadwyżka	W magazynie jest nadwyżka.
surrender	poddać się	Żołnierze zgodzili się poddać.
surveillance	monitorowanie	Kamery monitoringu nagrały wejście.
suspension	zawieszenie	Zawieszenie trwało dwa tygodnie.
suspicion	podejrzenie	Jego zachowanie wzbudziło podejrzenia.
suspicious	podejrzany	Paczka wyglądała podejrzanie.
sustain	utrzymać	Projekt może utrzymać lokalne miejsca pracy.
swing	kołysać się	Drzwi zaczęły się kołysać.
sword	miecz	Miecz wisiał na ścianie.
symbolic	symboliczny	Ten gest był symboliczny.
syndrome	zespół	Ten zespół chorobowy wpływa na pamięć.
synthesis	synteza	Ten rozdział oferuje syntezę.
systematic	systematyczny	Przegląd był systematyczny.
tactic	taktyka	Ta taktyka szybko zawiodła.
tactical	taktyczny	Drużyna dokonała zmiany taktycznej.
taxpayer	podatnik	Pieniądze podatników sfinansowały ten most.
tempt	skusić	Oferta może skusić inwestorów.
tenant	najemca	Najemca zapłacił czynsz wcześniej.
tender	czuły	Posłała czuły uśmiech.
tenure	kadencja	Jego kadencja trwała sześć lat.
terminal	śmiertelny	Pacjent miał śmiertelną chorobę.
terminate	rozwiązać	Firma może rozwiązać umowę.
terrain	teren	Teren był trudny.
terrific	wspaniały	Widok był wspaniały.
testify	zeznawać	Zgodziła się zeznawać.
testimony	zeznanie	Jego zeznanie było szczegółowe.
texture	faktura	Ten materiał ma szorstką fakturę.
thankfully	na szczęście	Na szczęście nikt nie został ranny.
theatrical	teatralny	Przemówienie brzmiało teatralnie.
theology	teologia	Studiował teologię na uniwersytecie.
theoretical	teoretyczny	Ten model jest czysto teoretyczny.
thereafter	potem	Potem zasady się zmieniły.
thereby	tym samym	Zmiana obniżyła koszty, tym samym ratując miejsca pracy.
thoughtful	przemyślany	Jej odpowiedź była przemyślana.
thought-provoking	dający do myślenia	Artykuł dawał do myślenia.
thread	nić	Nić łatwo pękła.
threshold	próg	Wynik głosowania przekroczył próg.
thrilled	zachwycony	Była zachwycona tą wiadomością.
thrive	rozwijać się	Małe firmy mogą się tutaj rozwijać.
tide	przypływ	Przypływ nadszedł szybko.
tighten	dokręcić	Mocno dokręć pokrywkę.
timber	drewno	Dom wykorzystuje lokalne drewno.
timely	w samą porę	Ostrzeżenie nadeszło w samą porę.
tobacco	tytoń	Sprzedaż tytoniu spadła.
tolerance	tolerancja	Ta polityka promuje tolerancję.
tolerate	tolerować	Nie możemy tolerować nadużyć.
toll	żniwo	Burza zebrała ciężkie żniwo.
top	przewyższyć	Sprzedaż może przewyższyć ubiegłoroczny rekord.
torture	tortury	Traktat całkowicie zakazuje tortur.
