source_headword	HU	example_HU
spokesperson	szóvivő	A szóvivő felolvasta a nyilatkozatot.
spokeswoman	szóvivőnő	A szóvivőnő a sajtóhoz szólt.
sponsorship	szponzoráció	A csapatnak szponzorációra van szüksége.
sporting	sport-	A város sporteseményeknek ad otthont.
stall	stand	A piaci stand gyümölcsöt árul.
stance	álláspont	A miniszter megváltoztatta az álláspontját.
starve	éhezik	Élelem nélkül az állatok éhezhetnek.
steadily	egyenletesen	A cég egyenletesen nőtt.
steam	gőz	Gőz szállt fel a levesből.
stimulate	ösztönöz	Az élénk színek ösztönözhetik az érdeklődést.
