hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
1063:参赛	参赛	参赛	മത്സരത്തിൽ പങ്കെടുക്കുക	ഞങ്ങളുടെ ക്ലാസിൽ നിന്ന് അഞ്ചുപേർ മത്സരത്തിൽ പങ്കെടുക്കുന്നു.	жарысқа қатысу	Біздің сыныптан бес адам жарысқа қатысады.
1067:查看	查看	查看	പരിശോധിക്കുക; കാണുക	അധ്യാപകൻ വിദ്യാർത്ഥികളുടെ പട്ടിക പരിശോധിക്കുകയാണ്.	тексеру; қарау	Мұғалім оқушылар тізімін тексеріп жатыр.
1068:茶叶	茶叶	茶叶	ചായയില	ഈ കടയിലെ ചായയില വളരെ പുതുതാണ്.	шай жапырағы	Бұл дүкеннің шай жапырағы өте жаңа.
1069:查找	查找	查找	തിരയുക	ഞാൻ ഓൺലൈനിൽ വിവരങ്ങൾ തിരയുന്നു.	іздеу	Мен интернеттен ақпарат іздеп жатырмын.
1070:差点儿	差点儿	差点儿	കുറച്ച് മാത്രം ബാക്കി; ഏകദേശം	എനിക്ക് ബസ് ഏകദേശം നഷ്ടമാകുമായിരുന്നു.	сәл қалу; дерлік	Мен автобустан сәл қалып қоя жаздадым.
1072:厂	厂	厂	ഫാക്ടറി	ഈ ഫാക്ടറി മൊബൈൽ ഫോണുകൾ നിർമ്മിക്കുന്നു.	зауыт	Бұл зауыт ұялы телефон шығарады.
1075:车速	车速	车速	വാഹനവേഗം	മഴക്കാലത്ത് വാഹനവേഗം കുറച്ച് മന്ദമാക്കണം.	көлік жылдамдығы	Жаңбырлы күні көлік жылдамдығы сәл баяу болуы керек.
1076:车位	车位	车位	പാർക്കിംഗ് സ്ഥലം	താഴെ ഇനിയും ഒരു പാർക്കിംഗ് സ്ഥലം ഉണ്ട്.	тұрақ орны	Төменде әлі бір тұрақ орны бар.
1077:城	城	城	നഗരം; പട്ടണം	ഈ നഗരത്തിൽ പല പഴയ വഴികളും ഉണ്ട്.	қала; шаһар	Бұл қалада көп ескі көше бар.
1080:乘客	乘客	乘客	യാത്രക്കാരൻ	യാത്രക്കാരേ, ദയവായി പിൻവാതിൽ വഴി ഇറങ്ങുക.	жолаушы	Жолаушылар, артқы есіктен түсіңіздер.
1085:迟	迟	迟	വൈകിയ	അവൻ ഇന്ന് കുറച്ച് വൈകിയാണ് എത്തിയത്.	кеш	Ол бүгін сәл кеш келді.
1086:重	重	重	വീണ്ടും; ആവർത്തിച്ച്	ഈ ലേഖനം ഒരിക്കൽ വീണ്ടും എഴുതണം.	қайта; қайталап	Бұл шығарманы бір рет қайта жазу керек.
1091:出行	出行	出行	യാത്ര ചെയ്യുക; പുറത്തിറങ്ങുക	അവധി ദിവസങ്ങളിൽ പലരും യാത്ര ചെയ്യുന്നു.	жолға шығу; сапарлау	Мереке күндері көп адам сапарлайды.
1092:出租	出租	出租	വാടകയ്ക്ക് വിടുക	ഈ അപാർട്ട്മെന്റ് വാടകയ്ക്ക് വിടാം.	жалға беру	Бұл пәтерді жалға беруге болады.
1094:厨师	厨师	厨师	പാചകക്കാരൻ	ഈ പാചകക്കാരൻ വളരെ വേഗം പാചകം ചെയ്യുന്നു.	аспаз	Бұл аспаз тамақты өте тез дайындайды.
1095:窗	窗	窗	ജനൽ	ദയവായി ജനൽ കുറച്ച് തുറക്കുക.	терезе	Терезені сәл ашыңыз.
1099:此	此	此	ഇത്; ഇവിടെ	ഇവിടെ പാർക്കിംഗ് നിരോധിച്ചിരിക്കുന്നു.	бұл; мұнда	Мұнда көлік қоюға тыйым салынған.
1100:此次	此次	此次	ഈ തവണ	ഈ യോഗം വളരെ പ്രധാനമാണ്.	осы жолы	Бұл жиналыс өте маңызды.
1104:从中	从中	从中	അതിൽ നിന്ന്; അവരിൽ നിന്ന്	അവൻ അതിൽ നിന്ന് വളരെ കൂടുതലായി പഠിച്ചു.	соның ішінен; содан	Ол содан көп нәрсе үйренді.
1105:粗	粗	粗	കട്ടിയുള്ള; കരുക്കുള്ള	ഈ കയർ കുറച്ച് കട്ടിയുള്ളതാണ്.	жуан; кедір-бұдыр	Бұл арқан біршама жуан.
1107:村	村	村	ഗ്രാമം	അമ്മുമ്മ ഒരു ചെറിയ ഗ്രാമത്തിൽ താമസിക്കുന്നു.	ауыл	Әжем шағын ауылда тұрады.
1109:错过	错过	错过	നഷ്ടപ്പെടുത്തുക	നാളെയുള്ള മത്സരം നഷ്ടപ്പെടുത്തരുത്.	өткізіп алу	Ертеңгі жарысты өткізіп алма.
1112:答	答	答	മറുപടി പറയുക	അവൻ ഈ ചോദ്യത്തിന് വളരെ വേഗം മറുപടി പറഞ്ഞു.	жауап беру	Ол бұл сұраққа өте тез жауап берді.
1116:打败	打败	打败	തോൽപ്പിക്കുക	അവർ ഒടുവിൽ ശക്തമായ ടീമിനെ തോൽപ്പിച്ചു.	жеңу	Олар ақыры мықты команданы жеңді.
1120:打印机	打印机	打印机	പ്രിന്റർ	ഓഫീസിലെ പ്രിന്റർ കേടായി.	принтер	Кеңседегі принтер бұзылып қалды.
1123:大巴	大巴	大巴	കോച്ച് ബസ്	ഞങ്ങൾ വിമാനത്താവളത്തിലേക്ക് കോച്ച് ബസിൽ പോകുന്നു.	үлкен автобус	Біз әуежайға үлкен автобуспен барамыз.
1124:大大	大大	大大	വളരെയധികം	ഈ പ്രവർത്തനം താൽപര്യം വളരെയധികം വർധിപ്പിച്ചു.	едәуір; қатты	Бұл іс-шара қызығушылықты едәуір арттырды.
1126:大量	大量	大量	വലിയ അളവ്	സൂപ്പർമാർക്കറ്റിൽ വളരെ അധികം പുതുതായ പഴങ്ങൾ ഉണ്ട്.	көп мөлшер	Супермаркетте көп мөлшерде жаңа жеміс бар.
1127:大赛	大赛	大赛	വലിയ മത്സരം	സ്കൂൾ അടുത്ത ആഴ്ച ചൈനീസ് മത്സരം നടത്തും.	үлкен жарыс	Мектеп келесі аптада қытай тілі жарысын өткізеді.
1128:大厅	大厅	大厅	ഹാൾ; ലോബി	അതിഥികൾ ലോബിയിൽ കാറിനായി കാത്തിരിക്കുന്നു.	зал; вестибюль	Қонақтар вестибюльде көлікті күтіп тұр.
1130:大自然	大自然	大自然	പ്രകൃതി	കുട്ടികൾക്ക് പ്രകൃതിയിൽ കളിക്കാൻ ഇഷ്ടമാണ്.	табиғат	Балалар табиғатта ойнағанды ұнатады.
1131:待	待	待	താമസിക്കുക	അവൻ ഒരു ദിവസം മുഴുവൻ വീട്ടിൽ തങ്ങി.	тұру; қалу	Ол бір күн үйде болды.
1133:袋子	袋子	袋子	ബാഗ്; സഞ്ചി	ദയവായി പഴങ്ങൾ സഞ്ചിയിൽ ഇടുക.	қап; сөмке	Жемістерді қапқа салыңыз.
1140:道	道	道	ചോദ്യങ്ങൾക്ക് അളവുപദം; വഴി	ഈ ചോദ്യം ബുദ്ധിമുട്ടല്ല.	сұраққа есептік сөз; жол	Бұл сұрақ қиын емес.
1142:到来	到来	到来	വരവ്	വസന്തത്തിന്റെ വരവ് ആളുകളെ സന്തോഷിപ്പിക്കുന്നു.	келу; келуі	Көктемнің келуі адамдарды қуантады.
1143:道路	道路	道路	റോഡ്	ഈ റോഡ് ഗ്രാമത്തിലേക്ക് പോകുന്നു.	жол	Бұл жол ауылға апарады.
1146:登机	登机	登机	വിമാനത്തിൽ കയറുക	ദയവായി അരമണിക്കൂർ മുമ്പ് വിമാനത്തിൽ കയറുക.	ұшаққа отыру	Ұшаққа жарты сағат бұрын отырыңыз.
1148:等到	等到	等到	വരെ കാത്തിരിക്കുക	മഴ നിർത്തിയ ശേഷം നാം പോകാം.	дейін күту	Жаңбыр тоқтағаннан кейін барамыз.
1150:低价	低价	低价	കുറഞ്ഞ വില	ഈ കടയിൽ പലപ്പോഴും കുറഞ്ഞ വിലയ്ക്ക് ടിക്കറ്റുകൾ വിൽക്കുന്നു.	төмен баға	Бұл дүкен жиі төмен бағалы билет сатады.
1151:低温	低温	低温	കുറഞ്ഞ താപനില	കുറഞ്ഞ താപനിലയുള്ള കാലാവസ്ഥയിൽ കൂടുതൽ വസ്ത്രം ധരിക്കണം.	төмен температура	Төмен температурада жылырақ киіну керек.
1152:低于	低于	低于	താഴെയായിരിക്കുക	ഇന്നത്തെ താപനില ഇന്നലെയേക്കാൾ താഴെയാണ്.	төмен болу	Бүгінгі температура кешегіден төмен.
1154:底下	底下	底下	താഴെ	മേശയുടെ താഴെ ഒരു ബാഗ് ഉണ്ട്.	астында	Үстелдің астында бір сөмке бар.
1157:点名	点名	点名	ഹാജർ വിളിക്കുക	അധ്യാപകൻ ക്ലാസിന് മുമ്പ് ഹാജർ വിളിക്കും.	түгендеу; атын атау	Мұғалім сабақ алдында оқушыларды түгендейді.
1158:点头	点头	点头	തലകുലുക്കുക	അവൾ സമ്മതം കാണിക്കാൻ തലകുലുക്കി.	бас изеу	Ол келісімін білдіріп басын изеді.
1159:电动车	电动车	电动车	ഇലക്ട്രിക് വാഹനം	അവൻ ജോലിക്ക് ഇലക്ട്രിക് വാഹനത്തിൽ പോകുന്നു.	электр көлігі	Ол жұмысқа электр көлігімен барады.
1160:电视剧	电视剧	电视剧	ടിവി സീരിയൽ	എന്റെ അമ്മയ്ക്ക് ടിവി സീരിയലുകൾ കാണാൻ ഇഷ്ടമാണ്.	телехикая	Анам телехикая көргенді ұнатады.
1163:订	订	订	ബുക്ക് ചെയ്യുക; ഓർഡർ ചെയ്യുക	ഞാൻ ഇതിനകം ഒരു വിമാന ടിക്കറ്റ് ബുക്ക് ചെയ്തു.	брондау; тапсырыс беру	Мен бір ұшақ билетін брондап қойдым.
1164:定	定	定	നിശ്ചയിക്കുക	യോഗസമയം ഇതിനകം നിശ്ചയിച്ചു.	белгілеу; шешу	Жиналыс уақыты белгіленіп қойды.
1165:东部	东部	东部	കിഴക്കൻ ഭാഗം	നഗരത്തിന്റെ കിഴക്കൻ ഭാഗത്ത് ഒരു പുതിയ പാർക്ക് ഉണ്ട്.	шығыс бөлік	Қаланың шығыс бөлігінде жаңа саябақ бар.
1166:动车	动车	动车	ഹൈസ്പീഡ് ട്രെയിൻ	ഞങ്ങൾ ഹൈസ്പീഡ് ട്രെയിനിൽ ഷാങ്ഹായിലേക്കു പോകുന്നു.	жылдам пойыз	Біз Шанхайға жылдам пойызбен барамыз.
1168:读者	读者	读者	വായനക്കാരൻ	ഈ പുസ്തകത്തിന് പല യുവ വായനക്കാരുണ്ട്.	оқырман	Бұл кітаптың жас оқырманы көп.
1170:度假	度假	度假	അവധി ആഘോഷിക്കാൻ പോകുക	അവർ കടൽത്തീരത്തേക്ക് അവധി ആഘോഷിക്കാൻ പോയി.	демалысқа бару	Олар теңіз жағасына демалысқа барды.
1173:队	队	队	ടീം; വരി	വാതിലിനരികിൽ ആളുകളുടെ ഒരു വരി ഉണ്ട്.	команда; кезек	Есіктің алдында адамдар кезекте тұр.
1177:队员	队员	队员	ടീം അംഗം	ഓരോ ടീം അംഗവും വളരെ പരിശ്രമിക്കുന്നു.	команда мүшесі	Әр команда мүшесі көп еңбектенеді.
1178:队长	队长	队长	ടീം നായകൻ; ക്യാപ്റ്റൻ	ടീം നായകൻ പരിശീലനം ക്രമീകരിക്കുന്നു.	команда жетекшісі; капитан	Команда жетекшісі жаттығуды ұйымдастырып жатыр.
1181:多数	多数	多数	ഭൂരിപക്ഷം	മിക്ക വിദ്യാർത്ഥികളും ചൈനീസ് ക്ലാസ് തിരഞ്ഞെടുത്തു.	көпшілік	Оқушылардың көбі қытай тілі сабағын таңдады.
1182:多样	多样	多样	വൈവിധ്യമുള്ള	ഇവിടുത്തെ പ്രവർത്തനരൂപങ്ങൾ വളരെ വൈവിധ്യമുള്ളതാണ്.	алуан түрлі	Мұндағы іс-шара түрлері өте алуан түрлі.
1185:发出	发出	发出	പുറപ്പെടുവിക്കുക; അയയ്ക്കുക	മൊബൈൽ ഫോൺ ഒരു ശബ്ദം പുറപ്പെടുവിച്ചു.	шығару; жіберу	Ұялы телефон дыбыс шығарды.
1186:发送	发送	发送	അയയ്ക്കുക	ദയവായി ഇമെയിൽ എനിക്ക് അയയ്ക്കുക.	жіберу	Электронды хатты маған жіберіңіз.
1187:法	法	法	നിയമം; രീതി	ഈ രീതി താരതമ്യേന ലളിതമാണ്.	заң; әдіс	Бұл әдіс біршама қарапайым.
1190:烦	烦	烦	അലട്ടപ്പെട്ട; ബുദ്ധിമുട്ടുള്ള	ഈ കാര്യം അവനെ വളരെ അലട്ടിയിരിക്കുന്നു.	мазасыз; қиындықты	Бұл іс оны қатты мазалады.
1196:房租	房租	房租	വാടക	ഈ മാസം വാടക കൂടിയിരിക്കുന്നു.	пәтер ақысы	Бұл айда пәтер ақысы өсті.
1199:费	费	费	ഫീസ്; ചെലവാകുക	രജിസ്ട്രേഷൻ ഫീസ് ഇതിനകം അടച്ചു.	төлем; шығындалу	Тіркелу төлемі төленіп қойды.
1200:费用	费用	费用	ചെലവ്	യാത്രാചെലവ് വളരെ കൂടുതലല്ല.	шығын; құн	Сапар шығыны аса жоғары емес.
1201:分数	分数	分数	മാർക്ക്; സ്കോർ	അവന്റെ പരീക്ഷാ മാർക്ക് വളരെ ഉയർന്നതാണ്.	балл; баға	Оның емтихан балы өте жоғары.
1202:分为	分为	分为	ആയി വിഭജിക്കുക	ഈ ക്ലാസ് മൂന്ന് ചെറിയ ഗ്രൂപ്പുകളായി വിഭജിച്ചിരിക്കുന്നു.	бөлу	Бұл сынып үш шағын топқа бөлінді.
1209:付	付	付	അടയ്ക്കുക	ഞാൻ മൊബൈൽ ഫോണിലൂടെ പണം അടച്ചു.	төлеу	Мен ақшаны ұялы телефонмен төледім.
1210:父母	父母	父母	മാതാപിതാക്കൾ	അവന്റെ മാതാപിതാക്കൾ വടക്കൻ ഭാഗത്ത് താമസിക്കുന്നു.	ата-ана	Оның ата-анасы солтүстік бөлікте тұрады.
1211:父女	父女	父女	അച്ഛനും മകളും	ഈ അച്ഛനും മകളും ഒരുമിച്ച് യാത്ര ചെയ്യുന്നു.	әке мен қыз	Бұл әке мен қыз бірге саяхаттап жүр.
1216:负责人	负责人	负责人	ഉത്തരവാദി	ഉത്തരവാദി എല്ലാവർക്കും അറിയിപ്പ് അയക്കും.	жауапты адам	Жауапты адам бәріне хабарлама жібереді.
1217:父子	父子	父子	അച്ഛനും മകനും	ഈ അച്ഛനും മകനും പലപ്പോഴും പാർക്കിൽ ഓടാൻ പോകുന്നു.	әке мен ұл	Бұл әке мен ұл саябаққа жиі жүгіруге барады.
1218:改	改	改	മാറ്റുക; തിരുത്തുക	ദയവായി പിഴവ് തിരുത്തുക.	өзгерту; түзету	Қатені түзетіңіз.
1224:感	感	感	ഭാവം; അനുഭവം	ഈ മുറി ശക്തമായ സുരക്ഷാഭാവം നൽകുന്നു.	сезім	Бұл бөлме күшті қауіпсіздік сезімін береді.
1230:感人	感人	感人	ഹൃദയസ്പർശിയായ	ഈ കഥ വളരെ ഹൃദയസ്പർശിയാണ്.	әсерлі	Бұл әңгіме өте әсерлі.
1231:赶上	赶上	赶上	പിടിച്ചെത്തുക	അവൻ ഒടുവിൽ അവസാന ബസ് പിടിച്ചു.	қуып жету; үлгеру	Ол ақыры соңғы автобусқа үлгерді.
1235:钢琴	钢琴	钢琴	പിയാനോ	അവൾ ദിവസവും പിയാനോ അഭ്യസിക്കുന്നു.	пианино	Ол күн сайын пианино жаттығады.
1236:高价	高价	高价	ഉയർന്ന വില	അവൻ ഉയർന്ന വിലയുള്ള ടിക്കറ്റ് വാങ്ങാൻ ആഗ്രഹിക്കുന്നില്ല.	жоғары баға	Ол жоғары бағалы билет алғысы келмейді.
1237:高考	高考	高考	ചൈനീസ് കോളേജ് പ്രവേശന പരീക്ഷ	പല വിദ്യാർത്ഥികളും ഗാവ്കാവോയ്ക്ക് തയ്യാറെടുക്കുന്നു.	қытайдың жоғары оқу орнына түсу емтиханы	Көп оқушы гаокаоға дайындалып жатыр.
1238:高速	高速	高速	ഉയർന്ന വേഗം	ഈ എക്സ്പ്രസ് റോഡ് വളരെ വീതിയുള്ളതാണ്.	жоғары жылдамдық	Бұл жылдам жол өте кең.
1239:高温	高温	高温	ഉയർന്ന താപനില	ഉയർന്ന താപനിലയുള്ള കാലാവസ്ഥ ദീർഘദൂര ഓട്ടത്തിന് യോജിച്ചതല്ല.	жоғары температура	Жоғары температуралы ауа райы ұзақ қашықтыққа жүгіруге қолайлы емес.
1240:高于	高于	高于	മേലായിരിക്കുക	ഈ വർഷത്തെ വില കഴിഞ്ഞ വർഷത്തേക്കാൾ കൂടുതലാണ്.	жоғары болу	Биылғы баға былтырғыдан жоғары.
1242:歌声	歌声	歌声	പാട്ടുസ്വരം	ദൂരത്ത് നിന്ന് മനോഹരമായ പാട്ടുസ്വരം കേട്ടു.	ән дауысы	Алыстан әдемі ән дауысы естілді.
1243:歌手	歌手	歌手	ഗായകൻ	ഈ ഗായകൻ വളരെ ജനപ്രിയനാണ്.	әнші	Бұл әнші өте танымал.
1245:各地	各地	各地	വിവിധ സ്ഥലങ്ങൾ	വിവിധ സ്ഥലങ്ങളിൽ നിന്നുള്ള വിനോദസഞ്ചാരികൾ ഇവിടെയെത്തുന്നു.	әр жер	Әр жерден келген туристер осында келеді.
1246:各个	各个	各个	ഓരോ; എല്ലാം	ഓരോ ക്ലാസും പ്രവർത്തനത്തിൽ പങ്കെടുത്തു.	әрбір	Әрбір сынып іс-шараға қатысты.
1247:各位	各位	各位	എല്ലാവരും; നിങ്ങൾ എല്ലാവരും	അധ്യാപകരേ, ദയവായി ആദ്യം കുറച്ച് വിശ്രമിക്കുക.	баршаңыз; әрқайсыңыз	Ұстаздар, алдымен біраз демалыңыздар.
1248:各种	各种	各种	വിവിധ തരം	സൂപ്പർമാർക്കറ്റിൽ വിവിധ തരം പഴങ്ങൾ ഉണ്ട്.	әртүрлі	Супермаркетте әртүрлі жеміс бар.
1249:更加	更加	更加	ഇനിയും കൂടുതൽ	പഠിച്ചതിനുശേഷം അവൻ കൂടുതൽ ആത്മവിശ്വാസിയായി.	одан да	Оқығаннан кейін ол одан да сенімді болды.
1252:公共	公共	公共	പൊതു	ബസ് സ്റ്റോപ്പ് മുന്നിലാണ്.	қоғамдық	Автобус аялдамасы алда.
1253:功课	功课	功课	പാഠപണി; പാഠങ്ങൾ	അവൻ വൈകുന്നേരം വീട്ടിൽ പാഠപണി ചെയ്യുന്നു.	сабақ жұмысы	Ол кешке үйде сабақ жұмысын істейді.
1255:公路	公路	公路	റോഡ്; ഹൈവേ	ഈ റോഡ് വളരെ നീളമുള്ളതാണ്.	жол; тас жол	Бұл жол өте ұзын.
1258:共	共	共	മൊത്തം	ഞങ്ങൾ മൊത്തം മൂന്ന് ടിക്കറ്റുകൾ വാങ്ങി.	барлығы	Біз барлығы үш билет сатып алдық.
1261:购买	购买	购买	വാങ്ങുക	ദയവായി ടിക്കറ്റുകൾ ഓൺലൈനിൽ വാങ്ങുക.	сатып алу	Билеттерді онлайн сатып алыңыз.
1270:观看	观看	观看	കാണുക	വിദ്യാർത്ഥികൾ മത്സരം കാണുകയാണ്.	көру; тамашалау	Оқушылар жарысты көріп жатыр.
1272:管	管	管	നിർവഹിക്കുക; ചുമതലയെടുക്കുക	ഈ കാര്യം അവൻ നോക്കും.	басқару; жауап беру	Бұл іске ол жауап береді.
1286:寒冷	寒冷	寒冷	തണുത്ത	തണുത്ത ശീതകാലം ഉടൻ വരുന്നു.	суық	Суық қыс жақындап қалды.
1291:好好	好好	好好	നന്നായി; ശ്രദ്ധയായി	നീ നന്നായി വിശ്രമിക്കണം.	жақсылап	Сен жақсылап демалуың керек.
1292:好笑	好笑	好笑	ചിരിപ്പിക്കുന്ന	ഈ കഥ വല്ലാതെ ചിരിപ്പിക്കുന്നതാണ്.	күлкілі	Бұл әңгіме шынымен күлкілі.
1295:红包	红包	红包	ചുവപ്പ് കവറിലെ സമ്മാനപ്പണം	വസന്തോത്സവത്തിൽ കുട്ടികൾക്ക് ചുവപ്പ് കവറുകൾ ലഭിക്കും.	қызыл конверт	Көктем мерекесінде балалар қызыл конверт алады.
1302:话剧	话剧	话剧	നാടകാവതരണം	ഇന്ന് രാത്രി ഞങ്ങൾ നാടകാവതരണം കാണാൻ പോകുന്നു.	сахналық қойылым	Біз бүгін кешке сахналық қойылым көруге барамыз.
1304:坏处	坏处	坏处	ദോഷം; കുറവ്	ഈ ശീലത്തിന് പല ദോഷങ്ങളും ഉണ്ട്.	зиян; кемшілік	Бұл әдеттің көп зияны бар.
1305:环保	环保	环保	പരിസ്ഥിതി സംരക്ഷണം	പരിസ്ഥിതി സംരക്ഷണ പ്രശ്നങ്ങൾ കൂടുതൽ പ്രധാനമാകുന്നു.	қоршаған ортаны қорғау	Қоршаған ортаны қорғау мәселелері барған сайын маңызды болып жатыр.
1306:换乘	换乘	换乘	മാറി കയറുക	അടുത്ത സ്റ്റേഷനിൽ എത്താൻ മെട്രോ മാറി കയറണം.	ауысып міну	Келесі станцияға жету үшін метроға ауысып міну керек.
1307:回复	回复	回复	മറുപടി നൽകുക	ദയവായി എന്റെ ഇമെയിലിന് ഉടൻ മറുപടി നൽകുക.	жауап беру	Менің электронды хатыма тезірек жауап беріңіз.
1308:回信	回信	回信	മറുപടി കത്ത് എഴുതുക	അവൻ ഇതുവരെ മറുപടി കത്ത് എഴുതിയിട്ടില്ല.	хатқа жауап жазу	Ол әлі хатқа жауап жазған жоқ.
1310:会员	会员	会员	അംഗം	അംഗങ്ങൾ കുറഞ്ഞ വിലയ്ക്ക് ടിക്കറ്റുകൾ വാങ്ങാം.	мүше	Мүшелер төмен бағалы билет сатып ала алады.
1311:活	活	活	ജീവിച്ചിരിക്കുന്ന; ജീവിക്കുക	ഈ മരം ഇനിയും ജീവിച്ചിരിക്കുന്നു.	тірі; өмір сүру	Бұл ағаш әлі тірі.
1315:货	货	货	സാധനം; ചരക്ക്	ഈ ചരക്കുകൂട്ടം ഇന്ന് എത്തി.	тауар	Бұл тауар партиясы бүгін келді.
1317:获奖	获奖	获奖	പുരസ്കാരം നേടുക	അവൻ മത്സരത്തിൽ പുരസ്കാരം നേടി.	жүлде алу	Ол жарыста жүлде алды.
1318:获取	获取	获取	ലഭിക്കുക	വിദ്യാർത്ഥികൾക്ക് അതിൽ നിന്ന് വിവരം ലഭിക്കാം.	алу; табу	Оқушылар одан ақпарат ала алады.
1320:基本上	基本上	基本上	അടിസ്ഥാനമായി; ഏകദേശം	ഈ പ്രശ്നം ഏകദേശം പരിഹരിച്ചു.	негізінен	Бұл мәселе негізінен шешілді.
1327:既	既	既	രണ്ടും; മുതൽ	അവന് ചൈനീസും ഇംഗ്ലീഷും സംസാരിക്കാം.	әрі; екі жақты	Ол әрі қытайша, әрі ағылшынша сөйлей алады.
1336:加快	加快	加快	വേഗം കൂട്ടുക	ദയവായി ജോലിയുടെ വേഗം കൂട്ടുക.	жылдамдату	Жұмыс жылдамдығын арттырыңыз.
