source_headword	ET	example_ET
albeit	ehkki	Plaan töötas, ehkki aeglaselt.
alert	hoiatama	Palun hoiatage personali koheselt.
align	joonduma	Nooled joonduvad teega.
alignment	joondamine	Rataste joondamine parandas auto juhitavust.
alike	sarnaselt	Kaksikud riietuvad nädalavahetustel sarnaselt.
allegation	väide	Väide ilmus ajalehes.
allege	väitma	Nad väidavad, et rahalised vahendid on kadunud.
allegedly	väidetavalt	Juht eiras väidetavalt hoiatust.
alliance	liit	Osapooled moodustasid ajutise liidu.
allocate	eraldama	Linn eraldab koolidele raha.
allocation	eraldamine	Kohtade eraldamine oli ebaõiglane.
allowance	taskuraha	Tema taskuraha katab lõunasöögi ja transpordi.
ally	liitlane	Kanadast sai lähedane liitlane.
aluminium	alumiinium	Raam on valmistatud alumiiniumist.
amateur	amatöör-	Pildi tegi amatöörfotograaf.
ambassador	suursaadik	Suursaadik kohtus kohalike õpilastega.
amend	muutma	Parlament hääletas seaduse muutmise poolt.
amendment	muudatus	Muudatus muutis ühte lõiku.
amid	keskel	Kõne tuli kasvava pinge keskel.
analogy	analoogia	Õpetaja kasutas lihtsat analoogiat.
anchor	ankur	Paat heitis saare lähedal ankrut.
angel	ingel	Laps kandis inglikostüümi.
anonymous	anonüümne	Kaebus oli anonüümne.
apparatus	aparaat	Labori aparaat vajab puhastamist.
appealing	ahvatlev	Pakkumine tundub õpilastele ahvatlev.
appetite	isu	Treening suurendas tema isu.
applaud	plaksutama	Publik hakkas valjult plaksutama.
applicable	kohaldatav	Soodustus on kohaldatav täna.
appoint	määrama	Juhatus määrab direktori.
appreciation	tänulikkus	Ta väljendas tänulikkust nende abi eest.
arbitrary	meelevaldne	Tähtaeg tundus töötajatele meelevaldne.
architectural	arhitektuurne	Linn kaitseb oma arhitektuurset pärandit.
archive	arhiiv	Arhiiv hoiab vanu fotosid.
arena	areen	Arutelu liikus avalikule areenile.
arguably	arvatavasti	See on vaieldamatult tema parim romaan.
arm	relvastama	Valvurid relvastavad konvoi.
array	hulk	Pood pakub hulgaliselt tööriistu.
articulate	selgelt väljendama	Ta suudab keerulisi ideid selgelt väljendada.
ash	tuhk	Tuhk kattis autot pärast tulekahju.
aspiration	püüdlus	Tema püüdlus on saada kirurgiks.
aspire	püüdlema	Paljud õpilased püüdlevad välismaale õppima.
assassination	atentaat	Atentaat muutis riigi poliitikat.
assault	rünnak	Rünnak toimus jaama lähedal.
assemble	kokku panema	Töölised panevad mööbli käsitsi kokku.
assembly	kogunemine	Kooli kogunemine algab kell üheksa.
assert	kehtestama	Ta proovis oma autoriteeti kehtestada.
assertion	väide	Tema väide üllatas paneeli.
assurance	kinnitus	Juht andis toe kohta kinnituse.
asylum	varjupaik	Perekond palus piiril varjupaika.
atrocity	hirmutegu	Film kirjeldas sõjaaegset hirmutegu.
attain	saavutama	Vähesed jooksjad saavutavad selle kiiruse.
attendance	kohalolek	Kohalolek paranes pärast teadaannet.
attorney	advokaat	Advokaat küsitles tunnistajat.
attribute	omistama	Teadlased omistavad tõusu reostusele.
audit	audit	Audit leidis mitu viga.
authentic	autentne	Restoran pakub autentset piirkondlikku toitu.
authorize	volitama	Ainult juhid saavad tagasimakseid volitada.
auto	auto	Autotööstus muutus kiiresti.
autonomy	autonoomia	Piirkond soovib suuremat autonoomiat.
availability	saadavus	Kohtade saadavus on piiratud.
await	ootama	Mitu sõnumit ootab sinu vastust.
backdrop	taust	Mäed moodustasid muljetavaldava tausta.
backing	toetus	Ettepanek sai valijate toetuse.
backup	varukoopia	Süsteem loob varukoopia iga päev.
bail	kautsjon	Kohtunik määras kautsjoni keskpäeval.
ballot	hääletussedel	Iga valija sai hääletussedeli.
banner	bänner	Sissepääsu kohal rippus bänner.
bare	paljas	Toas olid paljad seinad.
barrel	tünn	Tünn oli vett täis.
bass1	bass	Bass kõlas sügavalt ja soojalt.
battlefield	lahinguväli	Vanast lahinguväljast sai mälestusmärk.
bay	laht	Küla asub vaikse lahe ääres.
beam	tala	Terasest tala toetab katust.
beast	metsaline	Lugu kirjeldab metsikut metsalist.
behalf	nimel	Ta rääkis oma meeskonna nimel.
beloved	armastatud	Armastatud õpetaja läks täna pensionile.
bench	pink	Nad istusid puidust pingil.
benchmark	võrdlusalus	Testist sai tööstuse võrdlusalus.
beneath	all	Dokumendid olid kausta all.
beneficiary	kasusaaja	Tema poeg oli peamine kasusaaja.
betray	reetma	Ära reeda oma sõbra usaldust.
bind	siduma	Leping seob mõlemat ettevõtet.
biography	elulugu	Tema elulugu müüdi palju eksemplare.
bishop	piiskop	Piiskop külastas külakirikut.
bizarre	veider	Filmil oli veider lõpp.
blade	tera	Tera lõikas köie läbi.
blast	plahvatus	Plahvatus purustas lähedal asuvad aknad.
bleed	veritsema	Haav hakkas tugevalt veritsema.
blend	segama	Sega kastet, kuni see on ühtlane.
bless	õnnistama	Preester õnnistab maja.
blessing	õnnistus	Toetuse omamine oli õnnistus.
boast	kiitlema	Talle meeldib raha üle kiidelda.
bonus	boonus	Töötajad said puhkuseboonuse.
boom	buum	Linn kogenud ehitusbuumi.
bounce	põrkama	Pall võib väga kõrgele põrgata.
boundary	piir	Jõgi märgib piiri.
bow1	kummardus	Näitleja tegi sügava kummarduse.
breach	rikkumine	Rikkumine paljastas isiklikud andmed.
breakdown	jaotus	Aruanne sisaldab kulude jaotust.
breakthrough	läbimurre	Avastus oli suur läbimurre.
breed	paljunema	Need linnud paljunevad kevadel.
broadband	lairiba	Kontor vajab kiiremat lairibaühendust.
browser	brauser	Enne sisselogimist värskenda oma brauserit.
brutal	jõhker	Rünnak oli jõhker ja ootamatu.
buck	dollar	Pilet maksab kümme dollarit.
buddy	semu	Tema semu ootas väljas.
buffer	puhver	Puud loovad mürapuhvri.
bulk	hulgi	Nad ostsid riisi hulgi.
burden	koorem	Võlast sai raske koorem.
bureaucracy	bürokraatia	Bürokraatia viivitas loa andmist.
burial	matus	Matus toimus koidikul.
burst	lõhkema	Toru võib rõhu all lõhkeda.
cabinet	valitsuskabinet	Valitsuskabinet kiitis plaani heaks.
calculation	arvutus	Arvutus võttis mitu minutit.
canvas	lõuend	Kunstnik maalis suurele lõuendile.
capability	võimekus	Seadmel on traadita ühenduse võimekus.
capitalism	kapitalism	Kapitalism kujundas kaasaegset majandust.
capitalist	kapitalistlik	Kapitalistlik süsteem premeerib erainvesteeringuid.
cargo	last	Laev vedas meditsiinilist lasti.
carriage	vagun	Rongivagun oli peaaegu tühi.
carve	voolima	Ta voolib puitu hoolikalt.
casino	kasiino	Kasiino avati hotelli lähedal.
casualty	ohver	Õnnetus nõudis ühe ohvri.
catalogue	kataloog	Kataloogis on loetletud kõik tooted.
cater	toitlustama	Restoran suudab toitlustada suuri üritusi.
cattle	veised	Veised sõid jõe ääres rohtu.
caution	ettevaatlikkus	Ole jäistel teedel ettevaatlik.
cautious	ettevaatlik	Investorid jäävad sel nädalal ettevaatlikuks.
cease	lõpetama	Tehas lõpetab varsti tootmise.
cemetery	kalmistu	Kalmistult avaneb vaade merele.
chamber	saal	Saal oli hääletamise ajal vaikne.
chaos	kaos	Viivitus tekitas lennujaamas kaose.
characterize	iseloomustama	Eksperdid iseloomustavad plaani riskantsena.
charm	võlu	Linnal on vana maailma võlu.
charter	harta	Harta kaitseb põhiõigusi.
chronic	krooniline	Ta kannatab kroonilise seljavalu all.
chunk	tükk	Lõika juust tükiks.
circulate	ringlema	Palun levitage päevakorda täna.
circulation	tiraaž	Ajalehe tiraaž langes järsult.
citizenship	kodakondsus	Ta taotles Prantsuse kodakondsust.
civic	kodaniku	Koosolekul osalesid kodanikuühiskonna juhid.
civilian	tsiviilisik	Mitmed tsiviilisikute kodud said kannatada.
clarity	selgus	Skeem lisas aruandele selgust.
clash	kokkupõrge	Kokkupõrge algas pärast marssi.
classification	klassifikatsioon	Klassifikatsioon sõltub suurusest.
cling	klammerduma	Märjad riided klammerduvad naha külge.
clinical	kliiniline	Kliiniline uuring algab järgmisel kuul.
closure	meelerahu	Perekond soovis pärast juhtumit meelerahu leida.
cluster	kobar	Läheduses asus majade kobar.
coalition	koalitsioon	Koalitsioon kaotas oma enamuse.
coastal	ranniku	Rannikukülad valmistusid üleujutuseks.
cocktail	kokteil	Ta tellis puuviljakokteili.
cognitive	kognitiivne	Kognitiivsed oskused paranevad harjutades.
coincide	kokku langema	Festival langeb kokku koolilõpetamisega.
collaborate	koostööd tegema	Meeskonnad teevad tarkvara osas koostööd.
collaboration	koostöö	Nende koostöö andis tugevaid tulemusi.
collective	kollektiivne	Otsus oli kollektiivne pingutus.
collision	kokkupõrge	Kokkupõrge blokeeris maantee.
colonial	koloniaalne	Hoonel on koloniaalne arhitektuur.
columnist	kolumnist	Kolumnist kritiseeris poliitikat.
combat	lahing	Sõdurid treenisid lahinguks.
commence	algama	Tseremoonia algab keskpäeval.
commentary	kommentaar	Mängu kommentaar oli elav.
commentator	kommentaator	Kommentaator selgitas otsust.
commerce	kaubandus	Internetikaubandus kasvas kiiresti.
commissioner	volinik	Volinik kuulutas välja uued reeglid.
commodity	tarbekaup	Nisu on oluline tarbekaup.
communist	kommunistlik	Kommunistlik partei pidas koosoleku.
companion	kaaslane	Tema koer on truu kaaslane.
comparable	võrreldav	Need kaks linna on suuruselt võrreldavad.
compassion	kaastunne	Õde näitas üles suurt kaastunnet.
compel	sundima	Tõendid võivad sundida reageerima.
compelling	veenev	Dokumentaalfilm esitas veenva argumendi.
compensate	kompenseerima	Ettevõte kompenseerib mõjutatud klientidele.
compensation	hüvitis	Töötajad nõudsid õiglast hüvitist.
competence	pädevus	Test mõõdab professionaalset pädevust.
competent	pädev	Ta on pädev insener.
compile	koguma	Teadlased koguvad haiglatest andmeid.
complement	täiendama	Vein täiendab einet.
complexity	keerukus	Projektil on ootamatu keerukus.
compliance	vastavus	Audit kontrollis juriidilist vastavust.
complication	tüsistus	Operatsioonil oli üks tüsistus.
comply	järgima	Ettevõtted peavad eeskirju järgima.
composition	heliteos	Heliteos sisaldab viiulit ja klaverit.
compromise	kompromiss	Kompromiss rahuldas mõlemat poolt.
compute	arvutama	Programm suudab kogusumma arvutada.
conceal	varjama	Ta püüdis kahjustusi varjata.
concede	tunnistama	Minister keeldus kaotust tunnistamast.
conceive	välja mõtlema	Nad ei suutnud paremat plaani välja mõelda.
conception	arusaam	Film muutis minu arusaama ajaloost.
concession	järeleandmine	Ettevõte tegi ühe järeleandmise.
condemn	hukka mõistma	Juhid mõistavad rünnaku avalikult hukka.
confer	omistama	Auhind omistab prestiiži.
confession	ülestunnistus	Tema ülestunnistus üllatas kohut.
configuration	konfiguratsioon	Konfiguratsioon juhib võrgujuurdepääsu.
confine	piirama	Reeglid piiravad koerad sellele alale.
confirmation	kinnitus	Saime kinnituse e-posti teel.
confront	silmitsi seisma	Ta otsustas probleemiga silmitsi seista.
confrontation	vastasseis	Vastasseis lõppes ilma vägivallata.
congratulate	õnnitlema	Helistasin, et oma õde õnnitleda.
congregation	kogudus	Kogudus laulis koos.
congressional	kongressi	Kongressi istung kestis tunde.
conquer	vallutama	Meeskond loodab turu vallutada.
conscience	südametunnistus	Tema südametunnistus ei lubanud valetada.
consciousness	teadvus	Õnnetus mõjutas tema teadvust.
consecutive	järjestikune	Ta võitis kolm järjestikust mängu.
consensus	konsensus	Komitee saavutas kiiresti konsensuse.
consent	nõusolek	Vajalik on kirjalik nõusolek.
conserve	säästma	Põua ajal säästame vett.
consistency	järjepidevus	Keeleõppes on järjepidevus oluline.
consolidate	ühendama	Ettevõte ühendab kaks kontorit.
constituency	valimisringkond	Kandidaat külastas igat valimisringkonda.
constitute	moodustama	Naised moodustavad pool komiteest.
constitution	põhiseadus	Põhiseadus garanteerib sõnavabaduse.
constitutional	põhiseaduslik	Kohus vaatas läbi põhiseaduslikud õigused.
constraint	piirang	Eelarvepiirang piiras projekti.
consultation	konsultatsioon	Konsultatsioon kestis kaks nädalat.
contemplate	mõtisklema	Ta tegi pausi, et pakkumise üle mõtiskleda.
contempt	põlgus	Ta näitas üles põlgust reeglite vastu.
contend	võistlema	Mitmed firmad võistlevad lepingu nimel.
contender	pretendent	Ta on tugev pretendent.
content2	rahulolev	Ta tundis end tulemusega rahulolevana.
contention	vaidlusküsimus	Peamine vaidlusküsimus puudutab rahastamist.
continually	pidevalt	Süsteem kontrollib pidevalt vigu.
contractor	töövõtja	Töövõtja parandas katuse.
contradiction	vastuolu	Tema avaldus sisaldas vastuolu.
contrary	vastupidine	Vastupidised tõendid muutsid juhtumit.
contributor	panustaja	Ta on regulaarne panustaja.
conversion	konverteerimine	Konverteerimine muutis dollarid eurodeks.
convict	süüdi mõistma	Vandekohus võib kahtlusaluse süüdi mõista.
conviction	süüdimõistmine	Tema süüdimõistmine šokeeris avalikkust.
cooperate	koostööd tegema	Palun tehke uurimisega koostööd.
cooperative	koostööaldis	Töötajad olid koostööaltid ja rahulikud.
coordinate	koordineerima	Nad koordineerivad tarneid igal hommikul.
coordination	koordinatsioon	Hea koordinatsioon säästis aega.
coordinator	koordinaator	Koordinaator määras iga ülesande.
cop	politseinik	Politseinik seisis jaama ees.
copper	vask	Toru on tehtud vasest.
copyright	autoriõigus	Pilt on kaitstud autoriõigusega.
correction	parandus	Õpetaja tegi ühe paranduse.
correlate	korreleeruma	Kõrge stress võib korreleeruda haigustega.
correlation	korrelatsioon	Uuring leidis tugeva korrelatsiooni.
correspond	vastama	Need numbrid vastavad siltidele.
correspondence	kirjavahetus	Nende kirjavahetus kestis aastaid.
correspondent	korrespondent	Korrespondent tegi reportaaži Kairost.
corresponding	vastav	Igal nupul on vastav tuli.
corrupt	korrumpeerunud	Korrumpeerunud ametnik võttis raha vastu.
corruption	korruptsioon	Korruptsioon nõrgendas avalikkuse usaldust.
costly	kulukas	Viga oli meeskonnale kulukas.
councillor	volikogu liige	Volikogu liige vastas elanike küsimustele.
counselling	nõustamine	Ta sai pärast õnnetust nõustamist.
counsellor	nõustaja	Nõustaja aitas uusi õpilasi.
counter (argue against)	vastu vaidlema	Ta püüdis tema argumendile vastu vaielda.
counterpart	ametivend	Ta kohtus oma Jaapani ametivennaga.
countless	lugematu	Otsinguga ühines lugematu arv vabatahtlikke.
coup	riigipööre	Riigipööre tagandas presidendi.
courtesy	viisakus	Ta tänas neid viisakuse eest.
