source_headword	NO	example_NO
since	siden	Jeg har ventet siden lunsj.
singing	sang	Sang hjelper meg å slappe av.
single	enkel	Jeg kjøpte en enkeltbillett.
sir	herr	Herr, vesken din er klar.
site	et nettsted	Dette nettstedet er trygt.
size	en størrelse	Hvilken størrelse trenger du?
ski	stå på ski	Vi står på ski om vinteren.
skiing	skikjøring	Skikjøring er gøy om vinteren.
skin	en hud	Huden hennes er tørr.
sky	en himmel	Himmelen er klar.
slowly	sakte	Gå sakte på isen.
smartphone	en smarttelefon	Smarttelefonen min er ny.
smell	en lukt	Suppen lukter godt.
smile	et smil	Smil til kameraet.
smoke	røyk	Røyken fylte rommet.
smoking	røyking	Røyking er forbudt.
soap	såpe	Bruk såpe og vann.
soccer	fotball	Fotball er populært her.
social	sosialt	Dette er et sosialt arrangement.
society	et samfunn	Samfunnet endrer seg over tid.
sock	en sokk	En sokk mangler.
soft	myk	Dette teppet er mykt.
soldier	en soldat	Soldaten kom hjem.
solution	en løsning	Vi fant en løsning.
solve	løse	Løs dette puslespillet.
somewhere	et sted	Legg det et trygt sted.
sort	en type	Hvilken type vil du ha?
source	en kilde	Sjekk kilden først.
speaker	en taler; en høyttaler	Taleren var tydelig.
specific	spesifikk	Jeg trenger et spesifikt svar.
speech	en tale	Talen hennes var kort.
speed	en fart	Senk farten her.
spider	en edderkopp	Det er en edderkopp på veggen.
spoon	en skje	Bruk en skje til suppen.
square	firkantet	Tegn en firkantet boks.
stage	en scene	Bandet står på scenen.
stair	et trappetrinn	Trappetrinnet er ødelagt.
stamp	et frimerke	Sett frimerket på brevet.
state	oppgi	Oppgi navnet ditt tydelig.
steal	stjele	Ikke stjel penger.
step	et steg	Ta ett steg framover.
stomach	en mage	Magen min gjør vondt.
stone	en stein	Steinen er tung.
store	en butikk	Butikken stenger tidlig.
storm	en storm	En storm kommer.
straight	rett	Gå rett hjem.
strange	merkelig	Denne lyden er merkelig.
strategy	en strategi	Vi trenger en strategi.
stress	stress	Arbeid kan forårsake stress.
structure	en struktur	Denne strukturen er sterk.
stupid	dum	Det var en dum feil.
succeed	lykkes	Du kan lykkes her.
successful	vellykket	Hun ble vellykket.
such	slik	Slik hjelp er nyttig.
suddenly	plutselig	Plutselig løp hunden bort.
suggest	foreslå	Jeg foreslår en kort pause.
suggestion	et forslag	Forslaget ditt er nyttig.
suit	en dress	Denne dressen er dyr.
support	støtte	Vi støtter laget vårt.
suppose	anta	Jeg antar at du har rett.
surprise	en overraskelse	Overraskelsen gjorde henne glad.
surprised	overrasket	Hun var overrasket i dag.
surprising	overraskende	Resultatet var overraskende.
survey	en undersøkelse	Fyll ut undersøkelsen.
sweet	søt	Denne teen er søt.
symbol	et symbol	Dette symbolet betyr fare.
system	et system	Systemet fungerer bra.
tablet	et nettbrett	Nettbrettet mitt ligger på skrivebordet.
target	et mål	Treff målet forsiktig.
task	en oppgave	Denne oppgaven er lett.
taste	en smak	Smak på suppen først.
teaching	undervisning	Undervisning er vanskelig arbeid.
technology	teknologi	Teknologien endrer seg raskt.
teenage	tenårings-	Tenåringsbroren min studerer hardt.
temperature	en temperatur	Temperaturen er lav.
term	et semester	Dette semesteret slutter snart.
themselves	seg selv	De lagde middagen selv.
thick	tykk	Denne boken er tykk.
thief	en tyv	Tyven løp bort.
thin	tynn	Papiret er tynt.
thinking	tenking	Tenking tar tid.
thought	en tanke	Jeg hadde en merkelig tanke.
throw	kaste	Kast ballen forsiktig.
tidy	ryddig	Hold rommet ditt ryddig.
tie	knyte	Knyt skoene dine nå.
tip	et tips; driks	Legg igjen driks for servicen.
tool	et verktøy	Bruk riktig verktøy.
top	en topp	Den øverste hyllen er full.
touch	berøre	Ikke berør glasset.
tour	en rundtur	Vi tok en rundtur i byen.
tourism	turisme	Turisme hjelper denne byen.
towards	mot	Gå mot stasjonen.
towel	et håndkle	Ta med et rent håndkle.
tower	et tårn	Tårnet er veldig gammelt.
toy	en leke	Lekebilen er rød.
track	et spor	Sporet går nordover.
tradition	en tradisjon	Denne tradisjonen er gammel.
traditional	tradisjonell	Hun hadde på seg tradisjonelle klær.
trainer	en trener	Treneren min er hjelpsom.
training	trening	Treningen begynner i morgen.
transport	transport	Kollektivtransporten er sen.
traveller	en reisende	Den reisende ba om hjelp.
trouble	problem	Vi hadde problemer i går.
truck	en lastebil	Lastebilen står utenfor.
twin	en tvilling	Tvillingsøsteren min er høyere.
typical	typisk	Dette er en typisk dag.
underground	underjordisk	Toget går under jorden.
understanding	en forståelse	Forståelsen din er riktig.
unfortunately	dessverre	Dessverre er butikken stengt.
unhappy	ulykkelig	Han ser ulykkelig ut.
uniform	en uniform	Hun bruker skoleuniform.
unit	en enhet	Denne enheten er liten.
united	forent	Laget forble forent.
unusual	uvanlig	Denne lyden er uvanlig.
used to modal	pleide å	Vi pleide å bo her.
user	en bruker	Hver bruker har et nummer.
usual	vanlig	Jeg tok min vanlige plass.
valley	en dal	Dalen er grønn.
van	en varebil	Varebilen er full.
variety	en variasjon	Vi trenger mer variasjon.
vehicle	et kjøretøy	Dette kjøretøyet er sakte.
view	en utsikt	Utsikten er vakker.
virus	et virus	Viruset gjorde ham syk.
voice	en stemme	Stemmen hennes er myk.
war	en krig	Krigen sluttet for lenge siden.
washing	klesvask	Klesvasken henger ute.
wave	en bølge	Bølgen traff båten.
weak	svak	Beina mine er svake.
web	nettet	Nettet er fullt av informasjon.
wedding	et bryllup	Bryllupet begynner snart.
weight	en vekt	Sjekk vekten først.
wet	våt	Skoene mine er våte.
wheel	et hjul	Hjulet er ødelagt.
while	en stund	Vent her en stund.
whole	hel	Jeg spiste hele eplet.
whose	hvem sin	Hvem sin telefon er dette?
wide	bred	Veien er bred.
wild	vill	Ville dyr lever her.
wind1	en vind	Vinden er sterk.
winner	en vinner	Vinneren smiler.
wish	et ønske	Ønsk deg noe.
wood	tre	Stolen er laget av tre.
wooden	tre-	Treboksen er tung.
working	arbeidende; arbeids-	Arbeidsdagen er over.
worried	bekymret	Jeg er bekymret i dag.
worry	bekymre seg	Ikke bekymre deg nå.
worse	verre	Denne smerten er verre.
worst	verst	Dette var den verste dagen.
wow	wow	Wow, det er fantastisk!
yet	ennå; allerede	Er vi framme ennå?
yours	din; ditt	Denne boken er din.
zero	null	Tell ned til null.
