simplified	MY	example_MY
颁发	ချီးမြှင့်သည်; ထုတ်ပေးသည်	ကျောင်းသည် ထူးချွန်ကျောင်းသားများအား ဂုဏ်ပြုလက်မှတ်များ ချီးမြှင့်ခဲ့သည်။
版本	ဗားရှင်း; မူကွဲ	ဤဆော့ဖ်ဝဲတွင် ဗားရှင်းအသစ် ရှိသည်။
伴侣	အဖော်; ဘဝဖော်	သူမသည် ခွေးကို မိမိ၏ အဖော်အဖြစ် သဘောထားသည်။
伴随	အတူပါလာသည်; လိုက်ပါသည်	အောင်မြင်မှုနှင့်အတူ ဖိအားများ မကြာခဏ အတူပါလာတတ်သည်။
半途而废	လမ်းတစ်ဝက်တွင် လက်လျှော့သည်	သုတေသနလုပ်ရာတွင် လမ်းတစ်ဝက်တွင် လက်မလျှော့ရပါ။
扮演	သရုပ်ဆောင်သည်; ဇာတ်ကောင်အဖြစ် ပါဝင်သည်	သူသည် ရုပ်ရှင်ထဲတွင် ဆရာဝန်အဖြစ် သရုပ်ဆောင်သည်။
榜样	စံပြ; နမူနာကောင်း	မိဘများသည် ကလေးများအတွက် စံပြ ဖြစ်သည်။
绑架	ပြန်ပေးဆွဲသည်	ရဲများသည် ပြန်ပေးဆွဲမှုတစ်ခုကို တားဆီးနိုင်ခဲ့သည်။
磅	ပေါင်; အလေးချိန်ယူနစ်	ဤသေတ္တာသည် ပေါင်နှစ်ဆယ် လေးသည်။
包庇	ဖုံးကွယ်ကာကွယ်သည်; အပြစ်ရှိသူကို ခိုလှုံစေသည်	မည်သူမျှ ပြစ်မှုကို ဖုံးကွယ်ကာကွယ်ခွင့် မရှိပါ။
包袱	ဝန်ထုပ်ဝန်ပိုး; ထုပ်ပိုးထားသောအထုပ်	သူသည် ဝန်ထုပ်ဝန်ပိုးကို ချပြီးနောက် အများကြီး ပေါ့ပါးသွားသည်။
包围	ဝိုင်းရံသည်	သတင်းထောက်များသည် သရုပ်ဆောင်ကို ဝိုင်းရံလိုက်ကြသည်။
包装	ထုပ်ပိုးမှု; ထုပ်ပိုးသည်	ဤလက်ဆောင်၏ ထုပ်ပိုးမှုသည် အလွန်လှသည်။
保管	ထိန်းသိမ်းသည်; သိမ်းဆည်းထားသည်	ဤစာရွက်စာတမ်းများကို ကျွန်တော် ထိန်းသိမ်းထားသည်။
保密	လျှို့ဝှက်ထားသည်	အစည်းအဝေးအကြောင်းအရာကို လျှို့ဝှက်ထားရမည်။
保姆	ကလေးထိန်း; အိမ်အကူ	သူတို့သည် ကလေးထိန်းတစ်ယောက် ငှားခဲ့ကြသည်။
保守	ရှေးရိုးစွဲသော; ထိန်းသိမ်းစောင့်ရှောက်သည်	သူ၏အတွေးအခေါ်များသည် အတော်လေး ရှေးရိုးစွဲသည်။
保卫	ကာကွယ်စောင့်ရှောက်သည်	စစ်သားများသည် နယ်စပ်ကို ကာကွယ်စောင့်ရှောက်ကြသည်။
保养	ထိန်းသိမ်းပြုပြင်သည်; ကျန်းမာရေးဂရုစိုက်သည်	ဤကားကို ပုံမှန် ထိန်းသိမ်းပြုပြင်ရန် လိုသည်။
保障	အာမခံကာကွယ်သည်; အာမခံချက်ပေးသည်	ဥပဒေသည် နိုင်ငံသားများ၏ အခွင့်အရေးများကို အာမခံကာကွယ်သည်။
保重	ကိုယ်ကိုယ်ကို ဂရုစိုက်သည်	အပြင်သို့ သွားနေစဉ် ကျေးဇူးပြု၍ ကိုယ်ကိုယ်ကို ဂရုစိုက်ပါ။
饱和	ပြည့်ဝမှု; အပြည့်အဝဖြစ်ခြင်း	ဤစျေးကွက်သည် ပြည့်ဝမှုအနီးသို့ ရောက်နေပြီ။
饱经沧桑	ဘဝအပြောင်းအလဲများစွာ ကြုံတွေ့ခဲ့သော	ဤအဘိုးအိုသည် ဘဝအပြောင်းအလဲများစွာ ကြုံတွေ့ခဲ့သူ ဖြစ်သည်။
报酬	အခကြေးငွေ; ဆုလာဘ်	သူသည် သင့်တော်သော အခကြေးငွေ ရရှိခဲ့သည်။
报仇	လက်စားချေသည်	သူသည် လက်စားချေလိုခြင်း မရှိဘဲ အသစ်ပြန်စချင်သည်။
报答	ကျေးဇူးဆပ်သည်; ပြန်လည်တုံ့ပြန်သည်	သင့်အကူအညီကို ကျွန်တော် အလုပ်ဖြင့် ကျေးဇူးဆပ်မည်။
报复	လက်စားချေခြင်း; တုံ့ပြန်လက်စားချေသည်	လက်စားချေခြင်းသည် ပဋိပက္ခကို ပိုမိုနက်ရှိုင်းစေမည်သာ ဖြစ်သည်။
报警	ရဲကို အကြောင်းကြားသည်; အချက်ပေးသည်	မီးလောင်မှုတွေ့ရှိပြီးနောက် ချက်ချင်း ရဲကို အကြောင်းကြားရမည်။
报销	ကုန်ကျငွေ ပြန်တောင်းသည်; ပြန်လျော်ပေးသည်	ခရီးစရိတ်ကို ကုန်ကျငွေ ပြန်တောင်းနိုင်သည်။
抱负	ရည်မှန်းချက်; မျှော်မှန်းချက်	သူသည် ငယ်စဉ်ကတည်းက ကြီးမားသော ရည်မှန်းချက် ရှိခဲ့သည်။
暴力	အကြမ်းဖက်မှု; အင်အားသုံးမှု	ကျွန်ုပ်တို့သည် အကြမ်းဖက်မှု ပုံစံအားလုံးကို ဆန့်ကျင်သည်။
暴露	ဖော်ထုတ်သည်; ပေါ်လွင်လာသည်	ဤပြဿနာသည် တဖြည်းဖြည်း ပေါ်လွင်လာခဲ့သည်။
曝光	ဖော်ထုတ်ပြသခြင်း; လူသိရှင်ကြားဖြစ်ခြင်း	ဤဓာတ်ပုံ လူသိရှင်ကြားဖြစ်ပြီးနောက် အာရုံစိုက်မှု ရရှိခဲ့သည်။
爆发	ပေါက်ကွဲထွက်သည်; ရုတ်တရက် ဖြစ်ပွားသည်	မီးတောင်သည် ရုတ်တရက် ပေါက်ကွဲထွက်ခဲ့သည်။
爆炸	ပေါက်ကွဲမှု; ပေါက်ကွဲသည်	ဓာတ်ခွဲခန်းတွင် ပေါက်ကွဲမှု ဖြစ်ပွားခဲ့သည်။
卑鄙	အောက်တန်းကျသော; ရွံရှာဖွယ်ကောင်းသော	ဤအောက်တန်းကျသော နည်းလမ်းသည် လူကို ဒေါသထွက်စေသည်။
悲哀	ဝမ်းနည်းသော; စိတ်မကောင်းဖြစ်သော	ဤသတင်းကို ကြားပြီး သူသည် အလွန်ဝမ်းနည်းခဲ့သည်။
悲惨	ကြေကွဲဖွယ်ကောင်းသော; ဆိုးရွားသော	အဲဒါသည် ကြေကွဲဖွယ်ကောင်းသော သမိုင်းကာလတစ်ခု ဖြစ်သည်။
北极	မြောက်ဝင်ရိုးစွန်း	သိပ္ပံပညာရှင်များသည် မြောက်ဝင်ရိုးစွန်းတွင် သုတေသနလုပ်နေကြသည်။
备份	အရန်မိတ္တူ; အရန်သိမ်းသည်	ကျေးဇူးပြု၍ အရေးကြီးဖိုင်များကို အရင် အရန်သိမ်းပါ။
备忘录	မှတ်တမ်းတို; မှတ်စုစာအုပ်	သူမသည် မှတ်တမ်းတိုထဲတွင် အရေးကြီးအချက်များ ရေးမှတ်ခဲ့သည်။
背叛	သစ္စာဖောက်သည်	သူသည် သူငယ်ချင်း၏ သစ္စာဖောက်မှုကို လက်မခံနိုင်ပါ။
背诵	အလွတ်ရွတ်သည်	ကျောင်းသားများသည် စာပိုဒ်ကို အလွတ်ရွတ်နေကြသည်။
被动	တုံ့ပြန်မှုသာရှိသော; မသွက်လက်သော	ညှိနှိုင်းမှုတွင် ကျွန်ုပ်တို့ အလွန်တုံ့ပြန်မှုသာရှိနေ၍ မရပါ။
被告	တရားခံ	တရားခံသည် စွပ်စွဲချက်အားလုံးကို ငြင်းဆိုခဲ့သည်။
贝壳	ခရုခွံ; အခွံ	ကလေးသည် ပင်လယ်ကမ်းခြေတွင် ခရုခွံများ ကောက်ယူခဲ့သည်။
奔波	အလုပ်အတွက် အပြေးအလွှားသွားလာသည်	သူသည် အလုပ်အတွက် နေရာအနှံ့ အပြေးအလွှားသွားလာနေသည်။
奔驰	အမြန်ပြေးသည်; အရှိန်မြန်စွာ သွားသည်	ကားသည် အမြန်လမ်းပေါ်တွင် အရှိန်မြန်စွာ သွားနေသည်။
本能	သဘာဝဗီဇ	ကလေးကို ကာကွယ်ခြင်းသည် မိဘ၏ သဘာဝဗီဇ ဖြစ်သည်။
本钱	မတည်ရင်းနှီးငွေ; အရင်းအနှီး	စီးပွားရေးလုပ်ရန် မတည်ရင်းနှီးငွေ လိုအပ်သည်။
本人	ကိုယ်တိုင်; ကျွန်ုပ်ကိုယ်တိုင်	ကျွန်ုပ်ကိုယ်တိုင် တာဝန်ယူလိုပါသည်။
本身	ကိုယ်တိုင်; အရာဝတ္ထုကိုယ်၌	ဤအစီအစဉ် ကိုယ်တိုင်တွင် ပြဿနာ မရှိပါ။
本事	စွမ်းရည်; ကျွမ်းကျင်မှု	သူသည် အလွန်စွမ်းရည်ရှိသူ ဖြစ်သည်။
笨拙	မကျွမ်းကျင်သော; လက်မသွက်သော	သူ၏လှုပ်ရှားမှုများသည် နည်းနည်း လက်မသွက်ပါ။
崩溃	ပြိုလဲသည်; ပျက်စီးရပ်တန့်သည်	စနစ်သည် ရုတ်တရက် ပျက်စီးရပ်တန့်သွားသည်။
甭	မလိုပါ; မလုပ်ရန်လိုသည်	ဤကိစ္စကို သင် စိတ်မပူပါနှင့်။
蹦	ခုန်ပေါက်သည်	ခွေးကလေးသည် မြက်ခင်းပေါ်တွင် ခုန်ပေါက်နေသည်။
迸发	ရုတ်တရက် ထွက်ပေါ်လာသည်; ပေါက်ထွက်သည်	လက်ခုပ်သံများသည် လူအုပ်ထဲမှ ရုတ်တရက် ထွက်ပေါ်လာသည်။
逼迫	အတင်းအကျပ်ခိုင်းသည်; ဖိအားပေးသည်	သူတို့သည် သူ့ကို စာချုပ်လက်မှတ်ထိုးရန် အတင်းအကျပ်ခိုင်းခဲ့ကြသည်။
鼻涕	နှာရည်	ကလေးသည် အအေးမိပြီး နှာရည် အမြဲယိုနေသည်။
比方	ဥပမာ; ဥပမာအားဖြင့်	ဥပမာအားဖြင့် ကျွန်ုပ်တို့ ပထမဆုံး တစ်လ စမ်းကြည့်နိုင်သည်။
比喻	ဥပမာတင်စားချက်; ရုပ်ပြောင်းသုံးစကား	ဤဥပမာတင်စားချက်သည် အလွန်ပုံရိပ်မြင်သာသည်။
比重	အချိုးအစား; အလေးချိန်ဆိုင်ရာအချိုး	ဝန်ဆောင်မှုလုပ်ငန်း၏ အချိုးအစားသည် ပို၍မြင့်လာသည်။
鄙视	အထင်သေးသည်; မထီမဲ့မြင်ပြုသည်	အခြားသူများ၏ ကြိုးစားမှုကို အထင်မသေးပါနှင့်။
弊病	အားနည်းချက်; ဆိုးကျိုး	ဤစနစ်တွင် အားနည်းချက်များ မနည်းပါ။
弊端	အားနည်းချက်; မကောင်းသောဘက်	အစီအစဉ်သစ်သည် စနစ်ဟောင်း၏ အားနည်းချက်များကို ဖြေရှင်းခဲ့သည်။
臂	လက်မောင်း	သူ၏ညာလက်မောင်း ဒဏ်ရာရခဲ့သည်။
闭塞	အထီးကျန်သော; သွားလာရခက်သော; ပိတ်ဆို့သော	ဤတောင်ရွာသည် ယခင်က လမ်းပန်းဆက်သွယ်ရေး အလွန်အထီးကျန်ခဲ့သည်။
编织	ယက်သည်; ထိုးသည်	အဘွားသည် သိုးမွေးအင်္ကျီတစ်ထည် ထိုးနေသည်။
边疆	နယ်စပ်ဒေသ	စစ်သားများစွာသည် မိမိနိုင်ငံ၏ နယ်စပ်ဒေသကို စောင့်ရှောက်ကြသည်။
边界	နယ်နိမိတ်; နယ်စပ်မျဉ်း	နိုင်ငံနှစ်ခုသည် နယ်နိမိတ်ကို ပြန်လည်သတ်မှတ်ခဲ့ကြသည်။
边境	နယ်စပ်ဒေသ	နယ်စပ်ဒေသများတွင် လုံခြုံရေးစစ်ဆေးမှုများ တိုးမြှင့်ခဲ့သည်။
边缘	အစွန်း; အနား	ခွက်ကို စားပွဲ၏ အစွန်းပေါ်တွင် ထားထားသည်။
鞭策	တွန်းအားပေးသည်; အားပေးနှိုးဆော်သည်	ဆရာ၏စကားများသည် ကျွန်တော့်ကို အမြဲ တွန်းအားပေးနေသည်။
扁	ပြားသော	ဤသေတ္တာသည် ကျယ်ပြီး ပြားသည်။
贬低	အထင်သေးစေသည်; တန်ဖိုးလျှော့ပြောသည်	အခြားသူများ၏ ကြိုးစားမှုကို လွယ်လွယ်ကူကူ အထင်သေးမပြောပါနှင့်။
贬义	မကောင်းသောအဓိပ္ပာယ်; အနုတ်သဘောအဓိပ္ပာယ်	ဤစကားလုံးသည် ဤနေရာတွင် မကောင်းသောအဓိပ္ပာယ် ပါရှိသည်။
便利	အဆင်ပြေသော; လွယ်ကူစေသည်	မြေအောက်ရထားသည် သွားလာရေးကို ပိုမိုအဆင်ပြေစေသည်။
便条	မှတ်စုတို	သူသည် စားပွဲပေါ်တွင် မှတ်စုတိုတစ်ရွက် ထားခဲ့သည်။
便于	အဆင်ပြေစေသည်; လွယ်ကူစေသည်	ဤဒီဇိုင်းသည် သက်ကြီးရွယ်အိုများ အသုံးပြုရန် အဆင်ပြေစေသည်။
变故	မမျှော်လင့်သော အဖြစ်အပျက်; ကံဆိုးမှု	မိသားစုထဲတွင် မမျှော်လင့်သော ကံဆိုးမှုတစ်ခု ရုတ်တရက် ဖြစ်ပွားခဲ့သည်။
变迁	ပြောင်းလဲမှုများ	မြို့၏ ပြောင်းလဲမှုများက သူ့ကို အတွေးများစွာ ဖြစ်စေခဲ့သည်။
变质	ပျက်စီးသွားသည်; အရည်အသွေးကျဆင်းသည်	နို့ကို ကြာကြာထားလျှင် ပျက်စီးသွားမည်။
辨认	ခွဲခြားသိမြင်သည်; အသိအမှတ်ပြုသည်	ရဲက သူ့ကို ဓာတ်ပုံထဲက လူကို ခွဲခြားသိမြင်ရန် ပြောခဲ့သည်။
辩护	ကာကွယ်ပြောဆိုသည်; ခုခံပြောဆိုသည်	ရှေ့နေသည် တရားခံအတွက် ကာကွယ်ပြောဆိုခဲ့သည်။
辩解	ရှင်းပြကာကွယ်သည်; အကြောင်းပြသည်	သူသည် မိမိအမှားအတွက် ရှင်းပြကာကွယ်ရန် ကြိုးစားခဲ့သည်။
辩证	ဒိုင်ယာလက်တစ်ဆန်သော; အပြန်အလှန်ဆက်စပ်၍ စဉ်းစားသော	ကျွန်ုပ်တို့သည် ဤပြဿနာကို အပြန်အလှန်ဆက်စပ်၍ စဉ်းစားရမည်။
辫子	ဆံမြီး; ကျစ်ဆံမြီး	ကောင်မလေးငယ်သည် ဆံမြီးနှစ်ချောင်း ကျစ်ထားသည်။
遍布	နေရာအနှံ့ ပျံ့နှံ့သည်	ဤအပင်မျိုးသည် တစ်နိုင်ငံလုံး နေရာအနှံ့ ပျံ့နှံ့နေသည်။
标本	နမူနာပစ္စည်း; နမူနာ	ပြတိုက်ထဲတွင် တိရစ္ဆာန်နမူနာပစ္စည်းများ ပြသထားသည်။
标记	အမှတ်အသား; အမှတ်အသားလုပ်သည်	အရေးကြီးသော စာပိုဒ်များဘေးတွင် အမှတ်အသားလုပ်ပါ။
标题	ခေါင်းစဉ်	ဤဆောင်းပါး၏ ခေါင်းစဉ်သည် အလွန်ဆွဲဆောင်မှုရှိသည်။
表决	မဲခွဲဆုံးဖြတ်သည်	ကိုယ်စားလှယ်များသည် အဆိုပြုချက်ကို မဲခွဲဆုံးဖြတ်မည်။
表态	မိမိရပ်တည်ချက်ကို ဖော်ပြသည်	သူသည် မိမိရပ်တည်ချက်ကို လူသိရှင်ကြား မဖော်ပြရသေးပါ။
表彰	ချီးကျူးဂုဏ်ပြုသည်	ကုမ္ပဏီသည် ထူးချွန်ဝန်ထမ်းများကို ချီးကျူးဂုဏ်ပြုခဲ့သည်။
憋	အောင့်ထားသည်; ထိန်းထားသည်	သူသည် ရယ်ချင်စိတ်ကို အောင့်ထားပြီး စကားမပြောခဲ့ပါ။
别墅	ဗီလာအိမ်; ကျယ်ဝန်းသောအိမ်	သူတို့သည် မြို့ပြင်တွင် ဗီလာအိမ်တစ်လုံး ဝယ်ခဲ့ကြသည်။
别致	ထူးခြားလှပသော; သီးသန့်ဆန်သော	ဤကော်ဖီဆိုင်၏ အလှဆင်ပုံသည် အလွန်ထူးခြားလှပသည်။
别扭	အဆင်မပြေသော; ကြားရတာ မချောမွေ့သော	ဤဝါကျသည် ကြားရတာ နည်းနည်း မချောမွေ့ပါ။
濒临	နီးကပ်နေသည်; အစွန်းသို့ရောက်နေသည်	ဤတိရစ္ဆာန်မျိုးသည် မျိုးသုဉ်းလုနီးပါး ဖြစ်နေသည်။
冰雹	မိုးသီး	မနေ့လယ်ပိုင်းတွင် မိုးသီးကြီးကြီးများ ကျခဲ့သည်။
丙	တတိယအဆင့်; ဂ အုပ်စု	ဂ အုပ်စု၏ ပြိုင်ပွဲသည် နေ့လယ်ပိုင်းတွင် စတင်မည်။
并非	မဟုတ်ပါ; တကယ်တော့ မဟုတ်ပါ	အခြေအနေသည် သင်ထင်သကဲ့သို့ မဟုတ်ပါ။
并列	ဘေးချင်းယှဉ်နေသည်; အဆင့်တူဖြစ်သည်	ဤစီမံကိန်းနှစ်ခုသည် ပထမနေရာတွင် အဆင့်တူဖြစ်သည်။
剥削	ခေါင်းပုံဖြတ်သည်; ခေါင်းပုံဖြတ်မှု	ဟောင်းနွမ်းသော လူ့အဖွဲ့အစည်းတွင် ပြင်းထန်သော ခေါင်းပုံဖြတ်မှု ရှိခဲ့သည်။
拨	ဖုန်းနံပါတ်နှိပ်သည်; ခွဲဝေသည်; ဖယ်ရွှေ့သည်	ကျေးဇူးပြု၍ ဤဖုန်းနံပါတ်ကို နှိပ်ပါ။
播种	မျိုးစေ့ကြဲသည်	လယ်သမားများသည် နွေဦးတွင် မျိုးစေ့ကြဲခြင်း စတင်ကြသည်။
波浪	လှိုင်း	ပင်လယ်မျက်နှာပြင်ပေါ်တွင် ကြီးမားသော လှိုင်းများ ထလာသည်။
波涛	ကြီးမားသောလှိုင်းများ	လှေသည် ကြီးမားသောလှိုင်းများကြားတွင် ရှေ့သို့ ဆက်သွားခဲ့သည်။
伯母	အဒေါ်; အဖေ၏အစ်ကို၏ဇနီး	ကျွန်တော် စနေ၊ တနင်္ဂနွေတွင် အဒေါ်ကို သွားတွေ့မည်။
博大精深	ကျယ်ပြန့်နက်နဲသော	တရုတ်ယဉ်ကျေးမှုသည် ကျယ်ပြန့်နက်နဲသည်။
博览会	ပြပွဲကြီး; အပြည်ပြည်ဆိုင်ရာ ပြပွဲ	အပြည်ပြည်ဆိုင်ရာ ပြပွဲသည် ကုမ္ပဏီများစွာကို ဆွဲဆောင်ခဲ့သည်။
搏斗	တိုက်ခိုက်ရုန်းကန်သည်	ရဲများနှင့် လူဆိုးသည် တိုက်ခိုက်ရုန်းကန်ခဲ့ကြသည်။
薄弱	အားနည်းသော	သူ၏သဒ္ဒါအခြေခံသည် အတော်လေး အားနည်းသည်။
不顾	ဂရုမစိုက်ဘဲ; မမှုဘဲ	သူသည် အန္တရာယ်ကို မမှုဘဲ အတွင်းသို့ ပြေးဝင်သွားသည်။
不愧	ထိုက်တန်သည်; အမှန်ပင် ဖြစ်သည်	သူသည် အတွေ့အကြုံကြွယ်ဝသော ကျွမ်းကျင်သူဟု ခေါ်ထိုက်သည်။
不料	မမျှော်လင့်ဘဲ	မမျှော်လင့်ဘဲ အစည်းအဝေးကို ရုတ်တရက် ဖျက်သိမ်းလိုက်သည်။
不像话	မသင့်တော်သော; အလွန်မတော်သော	ဧည့်သည်များကို ဤသို့ဆက်ဆံခြင်းသည် အလွန်မသင့်တော်ပါ။
不屑一顾	အထင်မထားဘဲ လျစ်လျူရှုသည်	သူသည် ထိုကောလာဟလများကို အထင်မထားဘဲ လျစ်လျူရှုခဲ့သည်။
哺乳	နို့တိုက်သည်; နို့တိုက်ကျွေးခြင်း	မိခင်သည် ကလေးငယ်ကို နို့တိုက်နေသည်။
捕捉	ဖမ်းယူသည်; ဖမ်းဆီးသည်	ဓာတ်ပုံဆရာသည် အလွန်ကောင်းသော အခိုက်အတန့်ကို ဖမ်းယူနိုင်ခဲ့သည်။
补偿	လျော်ကြေးပေးသည်; ဖြည့်ဆည်းပေးသည်	ကုမ္ပဏီသည် သင့်ဆုံးရှုံးမှုကို လျော်ကြေးပေးမည်။
补救	ပြန်လည်ကုစားသည်; ကယ်ဆယ်ပြုပြင်သည်	ကျွန်ုပ်တို့သည် ယခုတိုင် ပြန်လည်ကုစားရန် အချိန်မီသေးသည်။
补贴	ထောက်ပံ့ကြေး; ထောက်ပံ့သည်	အစိုးရသည် ဝင်ငွေနည်းမိသားစုများအား ထောက်ပံ့ကြေး ပေးသည်။
不得已	မဖြစ်မနေ; ရွေးချယ်စရာမရှိ၍	သူသည် ရွေးချယ်စရာမရှိ၍သာ မွေးရပ်မြေမှ ထွက်ခွာခဲ့သည်။
不妨	လုပ်ကြည့်လျှင် မမှားပါ; အရင်လုပ်ကြည့်ပါ	သင်သည် သူ၏ရှင်းပြချက်ကို အရင်နားထောင်ကြည့်လျှင် မမှားပါ။
不敢当	မထိုက်တန်ပါ; အလွန်ချီးကျူးလွန်းပါသည်	သင် ဤသို့ချီးကျူးသောအခါ ကျွန်တော် မထိုက်တန်ပါ။
不禁	မထိန်းနိုင်ဘဲ; မလုပ်ဘဲမနေနိုင်	ဤသတင်းကို ကြားပြီး သူသည် မထိန်းနိုင်ဘဲ ရယ်လိုက်သည်။
不堪	မခံနိုင်သော; အလွန်ဆိုးသော	ဤနေရာ၏ ဆူညံသံသည် လူကို မခံနိုင်အောင် ဖြစ်စေသည်။
不可思议	ယုံကြည်ရန်ခက်သော; မထင်မှတ်နိုင်သော	ဤရလဒ်သည် တကယ်ပင် ယုံကြည်ရန်ခက်သည်။
