simplified	LO	example_LO
谢谢	ຂອບໃຈ	ຂອບໃຈ.
星期	ອາທິດ; ວັນໃນອາທິດ	ມື້ນີ້ແມ່ນວັນຈັນ.
学生	ນັກຮຽນ; ນັກສຶກສາ	ຂ້ອຍເປັນນັກຮຽນ.
学习	ຮຽນ; ສຶກສາ	ຂ້ອຍຮຽນພາສາຈີນ.
学校	ໂຮງຮຽນ	ໂຮງຮຽນໃຫຍ່.
一	ໜຶ່ງ	ຂ້ອຍມີຈອກໜຶ່ງໃບ.
衣服	ເສື້ອຜ້າ	ຂ້ອຍຊື້ເສື້ອຜ້າ.
医生	ໝໍ; ແພດ	ນາງເປັນໝໍ.
医院	ໂຮງໝໍ	ໂຮງໝໍຢູ່ຂ້າງໜ້າໂຮງຮຽນ.
椅子	ຕັ່ງ; ເກົ້າອີ້	ຕັ່ງຢູ່ຂ້າງຫຼັງໂຕະ.
有	ມີ	ຂ້ອຍມີເພື່ອນ.
月	ເດືອນ; ດວງຈັນ	ມື້ນີ້ແມ່ນວັນທີສີ່ ເດືອນພຶດສະພາ.
再见	ລາກ່ອນ; ພົບກັນໃໝ່	ລາກ່ອນ, ອາຈານ.
在	ຢູ່; ກຳລັງ	ຂ້ອຍຢູ່ເຮືອນ.
怎么	ແນວໃດ; ຢ່າງໃດ	ຕົວອັກສອນນີ້ອ່ານແນວໃດ?
怎么样	ເປັນແນວໃດ; ສະບາຍດີບໍ	ມື້ນີ້ເຈົ້າສະບາຍດີບໍ?
这	ນີ້	ນີ້ແມ່ນປຶ້ມຂອງຂ້ອຍ.
中国	ຈີນ; ປະເທດຈີນ	ຂ້ອຍໄປປະເທດຈີນ.
中午	ຕອນທ່ຽງ	ຕອນທ່ຽງຂ້ອຍກິນເຂົ້າ.
住	ອາໄສຢູ່; ພັກຢູ່	ຂ້ອຍອາໄສຢູ່ປັກກິ່ງ.
桌子	ໂຕະ	ປຶ້ມຢູ່ເທິງໂຕະ.
字	ຕົວອັກສອນ; ຄຳ	ຕົວອັກສອນນີ້ນ້ອຍ.
昨天	ມື້ວານນີ້	ມື້ວານນີ້ຂ້ອຍເບິ່ງຮູບເງົາ.
坐	ນັ່ງ; ຂີ່	ຂ້ອຍຂີ່ເຮືອບິນໄປປັກກິ່ງ.
做	ເຮັດ; ແຕ່ງກິນ	ຂ້ອຍແຕ່ງກິນ.
