simplified	NE	example_NE	SI	example_SI	TA	example_TA
公司	कम्पनी	म कम्पनीमा काम गर्छु।	සමාගම	මම සමාගමක වැඩ කරනවා.	நிறுவனம்	நான் ஒரு நிறுவனத்தில் வேலை செய்கிறேன்.
贵	महँगो	यो हातघडी महँगो छ।	මිල අධික	මේ අත් ඔරලෝසුව මිල අධිකයි.	விலை உயர்ந்த	இந்த கைக்கடிகாரம் விலை உயர்ந்தது.
过	अनुभव सूचक कण	म चीन गएको छु।	අත්දැකීම දක්වන පදය	මම චීනයට ගොස් තිබෙනවා.	அனுபவத் துகள்	நான் சீனாவுக்குச் சென்றிருக்கிறேன்.
还	अझै; पनि	ऊ अझै स्कूलमा छ।	තවමත්; ද	ඔහු තවමත් පාසලේ ඉන්නවා.	இன்னும்; கூட	அவர் இன்னும் பள்ளியில் இருக்கிறார்.
孩子	बच्चा	यो बच्चा धेरै खुसी छ।	දරුවා	මේ දරුවා ගොඩක් සතුටින් ඉන්නවා.	குழந்தை	இந்த குழந்தை மிகவும் மகிழ்ச்சியாக இருக்கிறது.
好吃	स्वादिष्ट	यो परिकार स्वादिष्ट छ।	රසවත්	මේ කෑම රසයි.	சுவையான	இந்த உணவு சுவையாக இருக்கிறது.
号	नम्बर; मिति	आज आठ गते हो।	අංකය; දිනය	අද අටවැනිදා.	எண்; தேதி	இன்று எட்டாம் தேதி.
黑	कालो	यो बिरालो कालो छ।	කළු	මේ බළලා කළුයි.	கருப்பு	இந்த பூனை கருப்பாக இருக்கிறது.
红	रातो	मलाई रातो स्याउ मन पर्छ।	රතු	මම රතු ඇපල්වලට කැමතියි.	சிவப்பு	எனக்கு சிவப்பு ஆப்பிள்கள் பிடிக்கும்.
欢迎	स्वागत गर्नु; स्वागत छ	बेइजिङमा स्वागत छ।	සාදරයෙන් පිළිගන්නවා	බෙයිජිං වෙත සාදරයෙන් පිළිගනිමු.	வரவேற்பது; வரவேற்கிறோம்	பெய்ஜிங்குக்கு வரவேற்கிறோம்.
回答	जवाफ दिनु	कृपया यो प्रश्नको जवाफ दिनुहोस्।	පිළිතුරු දෙනවා	කරුණාකර මේ ප්‍රශ්නයට පිළිතුරු දෙන්න.	பதில் அளித்தல்	தயவுசெய்து இந்த கேள்விக்கு பதில் அளியுங்கள்.
机场	विमानस्थल	विमानस्थल यहाँबाट टाढा छ।	ගුවන් තොටුපළ	ගුවන් තොටුපළ මෙතැනින් දුරයි.	விமான நிலையம்	விமான நிலையம் இங்கிருந்து தூரத்தில் உள்ளது.
鸡蛋	अण्डा	म अण्डा खान्छु।	බිත්තරය	මම බිත්තර කනවා.	முட்டை	நான் முட்டை சாப்பிடுகிறேன்.
件	कपडा वा सामानको मापक शब्द	मैले एउटा कपडा किनेँ।	ඇඳුම් හෝ භාණ්ඩ සඳහා මිනුම් පදය	මම ඇඳුමක් මිලදී ගත්තා.	ஆடைகள் அல்லது பொருட்களுக்கான அளவுச்சொல்	நான் ஒரு ஆடை வாங்கினேன்.
教室	कक्षा कोठा	विद्यार्थीहरू कक्षा कोठामा छन्।	පන්ති කාමරය	සිසුන් පන්ති කාමරයේ ඉන්නවා.	வகுப்பறை	மாணவர்கள் வகுப்பறையில் இருக்கிறார்கள்.
姐姐	दिदी	मेरी दिदी डाक्टर हुनुहुन्छ।	අක්කා	මගේ අක්කා වෛද්‍යවරියක්.	அக்கா	என் அக்கா மருத்துவர்.
介绍	परिचय गराउनु	म आफ्नो साथीको परिचय गराउँछु।	හඳුන්වා දෙනවා	මම මගේ මිතුරාව හඳුන්වා දෙනවා.	அறிமுகப்படுத்துதல்	நான் என் நண்பரை அறிமுகப்படுத்துகிறேன்.
进	भित्र पस्नु	कृपया भित्र आउनुहोस्।	ඇතුළු වෙනවා	කරුණාකර ඇතුළට එන්න.	உள்ளே நுழைதல்	தயவுசெய்து உள்ளே வாருங்கள்.
近	नजिक	स्कूल घर नजिकै छ।	ළඟ	පාසල ගෙදරට ළඟයි.	அருகில்	பள்ளி வீட்டுக்கு அருகில் உள்ளது.
就	तब; अहिले नै	म अहिले जान्छु।	එවිට; දැන්ම	මම දැන් යනවා.	அப்படியே; உடனே	நான் இப்போது போகிறேன்.
觉得	लाग्नु; महसुस गर्नु	मलाई यो परिकार स्वादिष्ट लाग्छ।	හිතෙනවා; දැනෙනවා	මට මේ කෑම රසයි කියලා හිතෙනවා.	நினைத்தல்; உணர்தல்	இந்த உணவு சுவையாக இருக்கிறது என்று நினைக்கிறேன்.
咖啡	कफी	म कफी पिउँछु।	කෝපි	මම කෝපි බොනවා.	காபி	நான் காபி குடிக்கிறேன்.
开始	सुरु गर्नु; सुरु हुनु	परीक्षा सुरु भइसकेको छ।	ආරම්භ කරනවා; ආරම්භය	විභාගය ආරම්භ වෙලා.	தொடங்குதல்; ஆரம்பம்	தேர்வு தொடங்கிவிட்டது.
考试	परीक्षा	भोलि परीक्षा छ।	විභාගය	හෙට විභාගයක් තියෙනවා.	தேர்வு	நாளை தேர்வு இருக்கிறது.
可能	सायद; सम्भव	ऊ घरमा हुन सक्छ।	සමහරවිට; හැකි	ඔහු සමහරවිට ගෙදර ඇති.	இருக்கலாம்; சாத்தியம்	அவர் வீட்டில் இருக்கலாம்.
可以	सक्नु; अनुमति हुनु	म जान सक्छु?	පුළුවන්; අවසරයි	මට යන්න පුළුවන්ද?	முடியும்; அனுமதி	நான் செல்லலாமா?
课	कक्षा; पाठ	आज चिनियाँ भाषाको कक्षा छ।	පාඩම; පන්තිය	අද චීන භාෂා පන්තියක් තියෙනවා.	பாடம்; வகுப்பு	இன்று சீன மொழி வகுப்பு இருக்கிறது.
快	छिटो; चाँडै	ऊ छिटो हिँड्छ।	වේගවත්; ඉක්මන්	ඔහු ඉක්මනට ඇවිදිනවා.	வேகமான; விரைவில்	அவர் வேகமாக நடக்கிறார்.
快乐	खुसी; आनन्दित	जन्मदिनको शुभकामना।	සතුටු	උපන් දිනයට සුබ පැතුම්.	மகிழ்ச்சி	பிறந்தநாள் வாழ்த்துகள்.
累	थाकेको	म थाकेको छु।	වෙහෙසයි	මට වෙහෙසයි.	சோர்வான	நான் சோர்வாக இருக்கிறேன்.
离	बाट टाढा; बाट	स्कूल घरबाट टाढा छैन।	ඈතින්; සිට	පාසල ගෙදරින් දුර නැහැ.	இருந்து தூரம்; இருந்து	பள்ளி வீட்டிலிருந்து தூரமாக இல்லை.
两	दुई	मसँग दुई जना बच्चा छन्।	දෙක	මට දරුවන් දෙදෙනෙක් ඉන්නවා.	இரண்டு	எனக்கு இரண்டு குழந்தைகள் உள்ளனர்.
路	बाटो; सडक	यो बाटो लामो छ।	පාර; මාර්ගය	මේ පාර දිගයි.	சாலை; வழி	இந்த சாலை நீளமாக இருக்கிறது.
旅游	यात्रा गर्नु; घुम्न जानु	म चीन घुम्न जान चाहन्छु।	සංචාරය කරනවා; සංචාරය	මට චීනයට සංචාරය කරන්න ඕනේ.	சுற்றுலா செல்லுதல்; பயணம்	நான் சீனாவுக்கு சுற்றுலா செல்ல விரும்புகிறேன்.
卖	बेच्नु	यो पसलले स्याउ बेच्छ।	විකුණනවා	මේ වෙළඳසැල ඇපල් විකුණනවා.	விற்பது	இந்த கடை ஆப்பிள்கள் விற்கிறது.
慢	ढिलो; बिस्तारै	कृपया अलि बिस्तारै जानुहोस्।	මන්දගාමී; සෙමින්	කරුණාකර ටිකක් සෙමින් යන්න.	மெதுவான; மெதுவாக	தயவுசெய்து கொஞ்சம் மெதுவாகச் செல்லுங்கள்.
忙	व्यस्त	म आज व्यस्त छु।	කාර්යබහුල	අද මම කාර්යබහුලයි.	வேலைப்பளுவான	இன்று நான் வேலைப்பளுவாக இருக்கிறேன்.
每	हरेक; प्रत्येक	म हरेक दिन चिनियाँ भाषा पढ्छु।	සෑම; එක් එක්	මම සෑම දිනකම චීන භාෂාව ඉගෙන ගන්නවා.	ஒவ்வொரு	நான் ஒவ்வொரு நாளும் சீனம் படிக்கிறேன்.
妹妹	बहिनी	मेरी बहिनी टिभी हेर्दै छे।	නංගි	මගේ නංගි රූපවාහිනිය බලමින් ඉන්නවා.	தங்கை	என் தங்கை தொலைக்காட்சி பார்த்துக்கொண்டிருக்கிறாள்.
门	ढोका; गेट	ढोका खुल्यो।	දොර; ගේට්ටුව	දොර ඇරුණා.	கதவு; வாயில்	கதவு திறந்தது.
男人	पुरुष; मान्छे	यो मानिस शिक्षक हो।	පිරිමියා; මිනිසා	මේ මිනිසා ගුරුවරයෙක්.	ஆண்; மனிதன்	இந்த ஆண் ஒரு ஆசிரியர்.
您	तपाईं	नमस्ते।	ඔබ	ආයුබෝවන්.	நீங்கள்	வணக்கம்.
牛奶	दूध	म दूध पिउँछु।	කිරි	මම කිරි බොනවා.	பால்	நான் பால் குடிக்கிறேன்.
女人	महिला; स्त्री	ती महिला डाक्टर हुन्।	කාන්තාව	ඒ කාන්තාව වෛද්‍යවරියක්.	பெண்	அந்த பெண் ஒரு மருத்துவர்.
旁边	छेउमा; नजिकै	स्कूलको छेउमा एउटा पसल छ।	ළඟ; පැත්තේ	පාසල ළඟ වෙළඳසැලක් තියෙනවා.	பக்கத்தில்; அருகில்	பள்ளியின் பக்கத்தில் ஒரு கடை உள்ளது.
跑步	दौडनु	म बिहान दौडन्छु।	දුවනවා; දිවීම	මම උදේ දුවනවා.	ஓடுதல்	நான் காலையில் ஓடுகிறேன்.
便宜	सस्तो	यो स्याउ सस्तो छ।	ලාභ	මේ ඇපල් ගෙඩිය ලාභයි.	மலிவான	இந்த ஆப்பிள் மலிவானது.
票	टिकट	म टिकट किन्छु।	ටිකට්පත	මම ටිකට්පතක් මිලදී ගන්නවා.	சீட்டு	நான் ஒரு சீட்டு வாங்குகிறேன்.
妻子	श्रीमती; पत्नी	मेरी श्रीमती शिक्षक हुनुहुन्छ।	බිරිඳ	මගේ බිරිඳ ගුරුවරියක්.	மனைவி	என் மனைவி ஆசிரியை.
起床	उठ्नु	म बिहान छ बजे उठ्छु।	නින්දෙන් නැගිටිනවා	මම උදේ හයට නැගිටිනවා.	எழுந்திருத்தல்	நான் காலை ஆறு மணிக்கு எழுந்திருக்கிறேன்.
千	एक हजार	यो साइकलको मूल्य एक हजार युआन पर्छ।	දහස	මේ බයිසිකලයේ මිල යුවාන් දහසකි.	ஆயிரம்	இந்த மிதிவண்டியின் விலை ஆயிரம் யுவான்.
晴	घमाइलो; खुला	आज घमाइलो छ।	හිරු එළිය ඇති; පැහැදිලි	අද හිරු එළිය තියෙනවා.	வெயிலான; தெளிவான	இன்று வெயிலாக இருக்கிறது.
去年	गत वर्ष; पोहोर	गत वर्ष म बेइजिङमा थिएँ।	ගිය අවුරුද්ද	ගිය අවුරුද්දේ මම බෙයිජිංවල හිටියා.	கடந்த ஆண்டு	கடந்த ஆண்டு நான் பெய்ஜிங்கில் இருந்தேன்.
让	अनुमति दिनु; गर्न दिनु	आमाले मलाई पढ्न दिनुहुन्छ।	අවසර දෙනවා; කිරීමට දෙනවා	අම්මා මට ඉගෙන ගන්න ඉඩ දෙනවා.	அனுமதித்தல்; செய்யவைத்தல்	அம்மா என்னைப் படிக்க அனுமதிக்கிறார்.
上班	काममा जानु	म आठ बजे काममा जान्छु।	වැඩට යනවා	මම අටට වැඩට යනවා.	வேலைக்குச் செல்லுதல்	நான் எட்டு மணிக்கு வேலைக்குச் செல்கிறேன்.
身体	शरीर; स्वास्थ्य	उसको स्वास्थ्य राम्रो छ।	ශරීරය; සෞඛ්‍යය	ඔහුගේ සෞඛ්‍යය හොඳයි.	உடல்; உடல்நலம்	அவரின் உடல்நலம் நன்றாக இருக்கிறது.
生病	बिरामी हुनु	ऊ बिरामी भयो।	අසනීප වෙනවා	ඔහු අසනීප වුණා.	நோய்வாய்ப்படுதல்	அவர் நோய்வாய்ப்பட்டார்.
生日	जन्मदिन	आज मेरो जन्मदिन हो।	උපන් දිනය	අද මගේ උපන් දිනයයි.	பிறந்தநாள்	இன்று என் பிறந்தநாள்.
时间	समय	मसँग समय छैन।	වෙලාව; කාලය	මට වෙලාව නැහැ.	நேரம்	என்னிடம் நேரம் இல்லை.
事情	काम; कुरा	मसँग गर्नुपर्ने काम छ।	කාරණය; වැඩ	මට කරන්න දෙයක් තියෙනවා.	விஷயம்; வேலை	எனக்கு செய்ய வேண்டிய ஒரு வேலை இருக்கிறது.
手表	हातघडी	यो हातघडी नयाँ छ।	අත් ඔරලෝසුව	මේ අත් ඔරලෝසුව අලුත්.	கைக்கடிகாரம்	இந்த கைக்கடிகாரம் புதியது.
手机	मोबाइल फोन	मेरो मोबाइल फोन टेबलमा छ।	ජංගම දුරකථනය	මගේ ජංගම දුරකථනය මේසය උඩ තියෙනවා.	கைப்பேசி	என் கைப்பேசி மேசையின் மேல் இருக்கிறது.
送	पठाउनु; उपहार दिनु	म तिमीलाई एउटा किताब उपहार दिन्छु।	යවනවා; තෑගි දෙනවා	මම ඔයාට පොතක් තෑගි දෙනවා.	அனுப்புதல்; பரிசளித்தல்	நான் உனக்கு ஒரு புத்தகம் பரிசளிக்கிறேன்.
所以	त्यसैले; त्यसकारण	आज पानी परिरहेको छ, त्यसैले म जाँदिनँ।	ඒ නිසා	අද වැස්ස නිසා මම යන්නේ නැහැ.	அதனால்; ஆகவே	இன்று மழை பெய்கிறது, அதனால் நான் போகவில்லை.
它	यो; त्यो	यो मेरो बिरालो हो।	එය	ඒ මගේ බළලා.	அது	அது என் பூனை.
踢足球	फुटबल खेल्नु	उनीहरू फुटबल खेल्छन्।	පාපන්දු සෙල්ලම් කරනවා	ඔවුන් පාපන්දු සෙල්ලම් කරනවා.	கால்பந்து விளையாடுதல்	அவர்கள் கால்பந்து விளையாடுகிறார்கள்.
题	प्रश्न; विषय	यो प्रश्न सही छैन।	ප්‍රශ්නය; මාතෘකාව	මේ ප්‍රශ්නය හරි නැහැ.	கேள்வி; தலைப்பு	இந்த கேள்வி சரியில்லை.
跳舞	नाच्नु	उनीलाई नाच्न मन पर्छ।	නටනවා	ඇයට නටන්න කැමතියි.	நடனமாடுதல்	அவளுக்கு நடனமாடுவது பிடிக்கும்.
外	बाहिर	ऊ ढोकाबाहिर छ।	පිටත	ඔහු දොරෙන් පිටත ඉන්නවා.	வெளியே	அவர் கதவுக்கு வெளியே இருக்கிறார்.
完	सक्नु; समाप्त गर्नु	मैले सकेँ।	කරලා ඉවරයි; අවසන් කරනවා	මම කරලා ඉවරයි.	முடித்தல்	நான் முடித்துவிட்டேன்.
玩	खेल्नु; रमाइलो गर्नु	बच्चा खेलिरहेको छ।	සෙල්ලම් කරනවා	දරුවා සෙල්ලම් කරමින් ඉන්නවා.	விளையாடுதல்	குழந்தை விளையாடிக்கொண்டிருக்கிறது.
晚上	साँझ; राति	साँझ म चलचित्र हेर्छु।	සවස; රාත්‍රිය	සවස මම චිත්‍රපටයක් බලනවා.	மாலை; இரவு	மாலையில் நான் திரைப்படம் பார்க்கிறேன்.
为什么	किन	तिमी किन जाँदैनौ?	ඇයි	ඔයා ඇයි යන්නේ නැත්තේ?	ஏன்	நீ ஏன் போகவில்லை?
问	सोध्नु	म शिक्षकलाई सोध्छु।	අහනවා	මම ගුරුවරයාගෙන් අහනවා.	கேட்பது	நான் ஆசிரியரிடம் கேட்கிறேன்.
问题	प्रश्न; समस्या	मसँग एउटा प्रश्न छ।	ප්‍රශ්නය; ගැටලුව	මට ප්‍රශ්නයක් තියෙනවා.	கேள்வி; பிரச்சினை	என்னிடம் ஒரு கேள்வி இருக்கிறது.
西瓜	तरबुज	म तरबुज खान्छु।	කොමඩු	මම කොමඩු කනවා.	தர்பூசணி	நான் தர்பூசணி சாப்பிடுகிறேன்.
希望	आशा गर्नु; आशा	तिमी आउँछौ भन्ने आशा गर्छु।	බලාපොරොත්තු වෙනවා; බලාපොරොත්තුව	ඔයා එයි කියලා මම බලාපොරොත්තු වෙනවා.	நம்புதல்; நம்பிக்கை	நீ வருவாய் என்று நான் நம்புகிறேன்.
洗	धुनु	म कपडा धुन्छु।	සෝදනවා	මම ඇඳුම් සෝදනවා.	கழுவுதல்; துவைத்தல்	நான் ஆடைகளை துவைக்கிறேன்.
向	तर्फ; सामु	ऊ मतिर हिँड्छ।	දෙසට	ඔහු මගේ පැත්තට ඇවිදිනවා.	நோக்கி	அவர் என்னை நோக்கி நடக்கிறார்.
小时	घण्टा	म दुई घण्टा पढ्छु।	පැය	මම පැය දෙකක් ඉගෙන ගන්නවා.	மணிநேரம்	நான் இரண்டு மணிநேரம் படிக்கிறேன்.
笑	मुस्कुराउनु; हाँस्नु	उनी मुस्कुराइन्।	සිනහ වෙනවා; හිනා වෙනවා	ඇය සිනාසුණා.	சிரித்தல்; புன்னகைத்தல்	அவள் புன்னகைத்தாள்.
新	नयाँ	यो नयाँ किताब हो।	අලුත්	මේක අලුත් පොතක්.	புதிய	இது ஒரு புதிய புத்தகம்.
姓	थर	तपाईंको थर के हो?	වාසගම	ඔබගේ වාසගම මොකක්ද?	குடும்பப் பெயர்	உங்கள் குடும்பப் பெயர் என்ன?
休息	आराम गर्नु	म आराम गर्न चाहन्छु।	විවේක ගන්නවා	මට විවේක ගන්න ඕනේ.	ஓய்வெடுத்தல்	நான் ஓய்வெடுக்க விரும்புகிறேன்.
雪	हिउँ	आज हिउँ परिरहेको छ।	හිම	අද හිම වැටෙනවා.	பனி	இன்று பனி பெய்கிறது.
颜色	रङ	मलाई यो रङ मन पर्छ।	වර්ණය; පාට	මම මේ පාටට කැමතියි.	நிறம்	எனக்கு இந்த நிறம் பிடிக்கும்.
眼睛	आँखा	उनका आँखा ठूला छन्।	ඇස	ඇගේ ඇස් ලොකුයි.	கண்	அவளின் கண்கள் பெரியவை.
羊肉	भेडाको मासु	म भेडाको मासु खाँदिनँ।	එළු මස්; බැටළු මස්	මම බැටළු මස් කන්නේ නැහැ.	ஆட்டிறைச்சி; செம்மறியாட்டிறைச்சி	நான் ஆட்டிறைச்சி சாப்பிட மாட்டேன்.
药	औषधि	ऊ औषधि खान्छ।	බෙහෙත්	ඔහු බෙහෙත් ගන්නවා.	மருந்து	அவர் மருந்து எடுத்துக்கொள்கிறார்.
要	चाहनु; चाहिनु	म पानी पिउन चाहन्छु।	ඕනේ; අවශ්‍යයි	මට වතුර බොන්න ඕනේ.	வேண்டும்; விரும்புதல்	நான் தண்ணீர் குடிக்க விரும்புகிறேன்.
也	पनि	म पनि जान्छु।	ද	මමත් යනවා.	கூட; மேலும்	நானும் போகிறேன்.
已经	पहिल्यै; भइसकेको	म पहिल्यै आइपुगेको छु।	දැනටමත්	මම දැනටමත් ඇවිත්.	ஏற்கனவே	நான் ஏற்கனவே வந்துவிட்டேன்.
一起	सँगै	हामी सँगै जान्छौँ।	එකට	අපි එකට යනවා.	ஒன்றாக	நாம் ஒன்றாக செல்கிறோம்.
意思	अर्थ; मतलब	यो अक्षरको अर्थ के हो?	අර්ථය; අදහස	මේ අක්ෂරයේ අර්ථය මොකක්ද?	அர்த்தம்; கருத்து	இந்த எழுத்தின் அர்த்தம் என்ன?
阴	बादल लागेको; धुम्म	आज बादल लागेको छ।	වලාකුළු සහිත; අඳුරු	අද අහස වලාකුළු සහිතයි.	மேகமூட்டமான	இன்று மேகமூட்டமாக இருக்கிறது.
因为	किनभने	पानी परिरहेको हुनाले म जाँदिनँ।	මොකද; නිසා	වැස්ස නිසා මම යන්නේ නැහැ.	ஏனெனில்	மழை பெய்வதால் நான் போகவில்லை.
游泳	पौडी खेल्नु	म पौडी खेल्न सक्छु।	පිහිනනවා	මට පිහිනන්න පුළුවන්.	நீந்துதல்	எனக்கு நீந்த முடியும்.
右边	दायाँपट्टि	पसल दायाँपट्टि छ।	දකුණු පැත්ත	වෙළඳසැල දකුණු පැත්තේ තියෙනවා.	வலது பக்கம்	கடை வலது பக்கத்தில் உள்ளது.
鱼	माछा	म माछा खान्छु।	මාළු	මම මාළු කනවා.	மீன்	நான் மீன் சாப்பிடுகிறேன்.
元	युआन; मुद्रा एकाइ	यो कपको मूल्य दस युआन पर्छ।	යුවාන්; මුදල් ඒකකය	මේ කෝප්පයේ මිල යුවාන් දහයකි.	யுவான்; நாணய அலகு	இந்த கோப்பையின் விலை பத்து யுவான்.
远	टाढा	विमानस्थल टाढा छ।	දුර	ගුවන් තොටුපළ දුරයි.	தூரமான	விமான நிலையம் தூரத்தில் உள்ளது.
运动	खेलकुद; व्यायाम	मलाई व्यायाम मन पर्छ।	ක්‍රීඩා; ව්‍යායාම	මම ව්‍යායාම කරන්න කැමතියි.	விளையாட்டு; உடற்பயிற்சி	எனக்கு உடற்பயிற்சி பிடிக்கும்.
再	फेरि; त्यसपछि	म भोलि फेरि आउँछु।	නැවත; පසුව	මම හෙට නැවත එනවා.	மீண்டும்; பிறகு	நான் நாளை மீண்டும் வருவேன்.
早上	बिहान	बिहान म चिया पिउँछु।	උදේ	උදේ මම තේ බොනවා.	காலை	காலையில் நான் தேநீர் குடிக்கிறேன்.
