source_headword	SW	example_SW
dirt	uchafu	Kulikuwa na uchafu kwenye viatu.
disadvantage	hasara	Bei ya juu ni hasara kubwa.
disappointed	aliyekatishwa tamaa	Alikatishwa tamaa na matokeo.
disappointing	ya kukatisha tamaa	Habari hiyo ilikuwa ya kukatisha tamaa.
discount	punguzo	Duka lilitoa punguzo kubwa.
dislike	kuchukia	Sipendi kelele hiyo.
divide	kugawa	Gawa keki katika vipande sita.
documentary	filamu ya makala	Tuliangalia filamu ya makala.
donate	kutoa mchango	Walitoa mchango wa pesa kwa shule.
doubt	shaka	Sina shaka.
dressed	aliyevaa	Alikuwa tayari na amevaa vizuri.
drum	ngoma	Mtoto alikuwa anapiga ngoma.
drunk	mlevi	Dereva alikuwa mlevi.
due	inayotakiwa	Ripoti inatakiwa kesho.
dust	vumbi	Kulikuwa na vumbi juu ya meza.
duty	wajibu	Huo ni wajibu wangu.
earthquake	tetemeko la ardhi	Tetemeko la ardhi liliharibu daraja.
eastern	mashariki	Pwani ya mashariki ni nzuri.
economic	kiuchumi	Ukuaji wa kiuchumi ulipungua.
economy	uchumi	Uchumi wa nchi unakua.
edge	ukingo	Usisimame ukingoni.
editor	mhariri	Mhariri alibadilisha kichwa cha habari.
educate	kuelimisha	Shule zinapaswa kuwaelimisha watoto.
educated	aliyeelimika	Ni mtu aliyeelimika sana.
educational	ya kielimu	Ziara ilikuwa ya kielimu.
effective	ya ufanisi	Njia hii ina ufanisi.
effectively	kwa ufanisi	Alitatua tatizo kwa ufanisi.
effort	juhudi	Hii ilihitaji juhudi kubwa.
election	uchaguzi	Uchaguzi utafanyika majira ya kuchipua.
element	kipengele	Maji ni kipengele muhimu.
embarrassed	aliyeaibika	Aliaibika kwa kosa lake.
embarrassing	ya aibu	Huo ulikuwa wakati wa aibu.
emergency	dharura	Wakati wa dharura, piga simu ya msaada.
emotion	hisia	Kulikuwa na hisia kali katika sauti yake.
employment	ajira	Mpango unaunga mkono ajira.
encourage	kuhimiza	Mwalimu aliwahimiza wanafunzi.
enemy	adui	Hakumwamini adui yake.
engaged	amechumbiwa	Walichumbiana wiki iliyopita.
engineering	uhandisi	Anasoma uhandisi.
entertain	kuburudisha	Mchezo uliwaburudisha watoto.
entertainment	burudani	Kuna burudani nyingi jijini.
entrance	mlango	Mlango uko upande wa kulia.
entry	ingizo	Ingizo linapaswa kuwa fupi.
environmental	kimazingira	Hili ni tatizo la kimazingira.
episode	kipindi	Kipindi cha mwisho kilikuwa cha kuvutia.
equal	sawa	Kura zote ni sawa.
equally	kwa usawa	Waligawana pesa kwa usawa.
escape	kutoroka	Mfungwa alijaribu kutoroka.
essential	muhimu	Maji ni muhimu kwa maisha.
eventually	hatimaye	Hatimaye tuliipata nyumba.
examine	kuchunguza	Daktari alimchunguza mgonjwa.
exchange	kubadilishana	Walibadilishana zawadi.
excitement	msisimko	Kulikuwa na msisimko mkubwa chumbani.
exhibition	maonyesho	Tulitembelea maonyesho.
expand	kupanua	Kampuni inataka kupanua soko lake.
expected	inayotarajiwa	Matokeo yanayotarajiwa yalikuwa mazuri.
expedition	msafara	Msafara ulienda milimani.
experienced	mwenye uzoefu	Ni mwalimu mwenye uzoefu.
explode	kulipuka	Chupa inaweza kulipuka kwa shinikizo.
explore	kuchunguza	Tunataka kuchunguza jiji.
explosion	mlipuko	Mlipuko ulisikika mbali.
export	usafirishaji nje	Usafirishaji nje wa nchi uliongezeka.
fairly	kiasi	Mtihani ulikuwa rahisi kiasi.
familiar	iliyozoeleka	Jina hilo linaonekana limezoeleka kwangu.
fancy	ya kifahari	Alichagua mkahawa wa kifahari.
fascinating	ya kuvutia	Hadithi ilikuwa ya kuvutia.
fashionable	ya mtindo	Jaketi hili ni la mtindo sana.
fasten	kufunga	Funga mkanda wako.
favour	hisani	Tafadhali nifanyie hisani.
fence	uzio	Uzio umepakwa rangi upya.
fighting	mapigano	Mapigano yalisimamishwa haraka.
file	faili	Hifadhi faili kwenye folda hii.
financial	kifedha	Walipata msaada wa kifedha.
fitness	utimamu wa mwili	Utimamu wa mwili ni sehemu ya ratiba yake.
fixed	iliyofungwa	Rafu imefungwa ukutani.
flag	bendera	Bendera ilipepea katika upepo.
flood	mafuriko	Mafuriko yalifunga barabara.
flour	unga	Ongeza unga kwenye bakuli.
flow	kutiririka	Mto unatiririka polepole.
fold	kukunja	Kunja karatasi katikati.
folk	ya jadi	Waliimba wimbo wa jadi.
force	nguvu	Usitumie nguvu.
forever	milele	Alitaka kubaki huko milele.
frame	fremu	Picha iko ndani ya fremu ya mbao.
freeze	kuganda	Maji huganda wakati wa baridi.
frequently	mara kwa mara	Husafiri mara kwa mara.
friendship	urafiki	Urafiki wao ulidumu kwa muda mrefu.
frighten	kutisha	Sauti kubwa ilimtisha mtoto.
frightened	aliyeogopa	Mtoto aliogopa giza.
frightening	ya kutisha	Filamu ilikuwa ya kutisha.
frozen	iliyogandishwa	Nunua mboga iliyogandishwa.
fry	kukaanga	Kaanga vitunguu kidogo.
fuel	mafuta	Gari linahitaji mafuta.
function	kazi	Kitufe hiki kina kazi mpya.
fur	manyoya	Manyoya ya mnyama ni laini.
garage	gereji	Gari liko gerejini.
gather	kukusanyika	Watu walikusanyika ukumbini.
generally	kwa ujumla	Kwa ujumla, mpango unafanya kazi vizuri.
generation	kizazi	Kizazi kipya hujifunza haraka.
generous	mkarimu	Ni rafiki mkarimu sana.
gentle	mpole	Sauti yake ilikuwa mpole.
gentleman	bwana	Bwana huyo alifungua mlango.
ghost	mzimu	Kuna mzimu katika hadithi.
giant	kubwa	Kuna mti mkubwa sana bustanini.
glad	furahi	Nimefurahi kukuona.
global	kimataifa	Hili ni tatizo la kimataifa.
glove	glavu	Glavu ilipotea kwenye theluji.
goods	bidhaa	Bidhaa zilifika leo.
grade	daraja	Alipata daraja la juu.
graduate	mhitimu	Kaka yangu ni mhitimu wa chuo kikuu.
grain	chembe	Kila chembe ni muhimu.
grateful	mwenye shukrani	Nina shukrani sana kwa msaada.
growth	ukuaji	Ukuaji wa kampuni ulikuwa wa haraka.
guard	mlinzi	Mlinzi alisimama mlangoni.
guilty	mwenye hatia	Alihisi mwenye hatia.
hang	kuning'iniza	Ning'iniza koti lako hapa.
happiness	furaha	Furaha yake ilionekana.
hardly	kwa shida	Niliisikia sauti kwa shida.
headline	kichwa cha habari	Kichwa cha habari kilivutia mawazo yangu.
heating	joto	Mfumo wa joto haufanyi kazi leo.
heavily	kwa nguvu	Mvua ilinyesha kwa nguvu.
helicopter	helikopta	Helikopta iliruka juu ya jiji.
highlight	kuangazia	Angazia maneno muhimu.
highly	sana	Ni daktari anayeheshimiwa sana.
hire	kukodisha	Tulikodisha gari kwa siku mbili.
historic	ya kihistoria	Hili ni jengo la kihistoria.
historical	ya historia	Wanachunguza ukweli wa historia.
honest	mwaminifu	Alitoa jibu la uaminifu.
horrible	mbaya sana	Hali ya hewa ilikuwa mbaya sana.
horror	ya kutisha	Sipendi filamu za kutisha.
host	mwenyeji	Alikuwa mwenyeji wa jioni hiyo.
