source_headword	TL	example_TL
miner	minero	Nagtrabaho sa ilalim ng lupa ang minero.
miserable	miserable	Ginawang miserable ng ulan ang piknik.
mode	mode	Ilipat ang camera sa night mode.
modest	simple	Nakatira sila sa isang simpleng bahay.
monster	halimaw	May nakakatakot na halimaw ang kuwento.
monthly	buwanan	Nagbabayad kami ng upa buwan-buwan.
monument	monumento	Nakatayo ang monumento malapit sa ilog.
moreover	bukod pa rito	Bukod pa rito, nakakatipid ng pera ang plano.
mortgage	mortgage	Nag-apply sila para sa isang mortgage.
mosque	mosque	Malapit sa palengke ang mosque.
motion	galaw	Nadedetek ng sensor ang galaw.
motivate	hikayatin	Maaaring makahikayat ng mga mag-aaral ang papuri.
motivation	motibasyon	Nananatiling malakas ang kanyang motibasyon.
moving	nakakaantig	Nakakaantig ang talumpati.
myth	mito	Ipinapaliwanag ng mito ang pangalan ng bundok.
naked	hubad	Hubad ang sanggol pagkatapos maligo.
nasty	malala	Mukhang malala ang hiwa.
navigation	nabigasyon	Pinapabuti ng app ang nabigasyon.
nearby	malapit	Maagang nagbubukas ang isang malapit na cafe.
necessity	pangangailangan	Isang pangangailangan ang malinis na tubig.
negotiate	makipagnegosasyon	Makikipagnegosasyon sila para sa kontrata bukas.
negotiation	negosasyon	Tumagal ng buong umaga ang negosasyon.
neutral	neutral	Nananatiling neutral ang huwes.
newly	bagong	Mukhang maliwanag ang bagong pintang pinto.
norm	pamantayan	Naging pamantayan na ang remote work.
notebook	notebook	Magsulat ng mga tala sa iyong notebook.
novelist	nobelista	Pinirmahan ng nobelista ang kanyang libro.
nowadays	ngayon	Ngayon, maraming tao ang nagtatrabaho online.
nursing	nursing	Nag-aaral siya ng nursing.
nutrition	nutrisyon	Sumusuporta sa kalusugan ang mabuting nutrisyon.
obesity	labis na katabaan	Pinapataas ng labis na katabaan ang mga panganib sa kalusugan.
observer	tagamasid	Itinala ng tagamasid ang mga resulta.
obstacle	hadlang	Isang hadlang ang natumbang puno.
occupation	trabaho	Pakisulat ang iyong trabaho rito.
occupy	uukupahin	Uukupahin ng pamilya ang apartment.
offender	nagkasala	Humingi ng tawad ang nagkasala sa korte.
ongoing	patuloy	Patuloy ang imbestigasyon.
openly	nang hayagan	Nagsalita siya nang hayagan tungkol sa kanyang mga takot.
opera	opera	Nanuod kami ng isang opera sa Milan.
operator	operator	Ikinonekta ng operator ang tawag.
optimistic	optimistiko	Optimistiko siya tungkol sa hinaharap.
orchestra	orkestra	Tumugtog nang mahina ang orkestra.
organic	organiko	Bumili sila ng mga organikong gulay.
outfit	kasuotan	Bumagay ang kanyang kasuotan sa okasyon.
output	produksyon	Tumaas ang produksyon ng makina.
outstanding	katangi-tangi	Katangi-tangi ang kanyang pagtatanghal.
overcome	malampasan	Sama-sama nilang nalalampasan ang mga problema.
overnight	magdamag	Dumating ang package magdamag.
overseas	sa ibang bansa	Nakahanap siya ng trabaho sa ibang bansa.
ownership	pagmamay-ari	Nagbago ang pagmamay-ari ng lupa.
oxygen	oxygen	Gumagawa ng oxygen ang mga halaman.
packet	pakete	Buksan ang pakete nang maingat.
palm	palad	Hawakan ang barya sa iyong palad.
panic	gulat	Kumalat ang gulat sa mga tao.
parade	parada	Nagsimula ang parada noong tanghali.
parallel	parallel	Tumatakbo nang parallel ang mga kalsada.
participation	partisipasyon	Bumuti ang partisipasyon sa klase.
partnership	pakikipagsosyo	Nakatulong sa parehong kumpanya ang pakikipagsosyo.
part-time	part-time	Nakahanap siya ng part-time na trabaho.
passionate	masigasig	Masigasig siya tungkol sa musika.
password	password	Pumili ng malakas na password.
patience	pasensya	Nangangailangan ng pasensya ang pagtuturo sa mga bata.
pause	i-pause	I-pause ang video ngayon.
peer	kasamahan	Naimpluwensyahan ng peer pressure ang kanyang pagpili.
penalty	penalty	Nakatanggap ng penalty ang manlalaro.
perceive	pag-unawa	Magkaiba ang pag-unawa ng mga tao sa panganib.
perception	pananaw	Nagbago ang kanyang pananaw sa panganib.
permanently	nang permanente	Nagsara ang tindahan nang permanente.
pill	pildoras	Uminom ng isang pildoras pagkatapos mag-almusal.
pity	sayang	Nakakahinayang iyon.
placement	pagkakalagay	Mahalaga ang pagkakalagay ng sofa.
portion	porsyon	Maghain ng maliit na porsyon ng kanin.
potentially	posibleng	Posibleng maging kapaki-pakinabang ang pagbabagong ito.
precede	mauna	Madalas mauna ang madilim na ulap bago umulan.
precious	mahalaga	Mahalaga ang singsing.
precise	eksakto	Eksakto ang mga tagubilin.
precisely	nang eksakto	Sukatin ang distansya nang eksakto.
predictable	nahuhulaan	Nahuhulaan ang katapusan.
preference	kagustuhan	Nagpahayag siya ng kagustuhan sa tsaa.
pride	pagmamalaki	Naramdaman niya ang pagmamalaki pagkatapos matapos.
primarily	pangunahin	Pangunahing online ang kurso.
principal	prinsipal	Binati ng prinsipal ang mga bagong mag-aaral.
prior	nauna	Kailangan natin ng naunang pag-apruba.
probability	posibilidad	Mataas ang posibilidad ng ulan.
probable	malamang	Malamang na umulan mamayang gabi.
proceed	magpatuloy	Mangyaring magpatuloy sa susunod na silid.
programming	programming	Nangangailangan ng pagsasanay ang programming.
progressive	progresibo	Progresibo ang patakaran para sa panahon nito.
prohibit	ipagbawal	Ipinagbabawal ng mga patakaran ang paninigarilyo.
promising	maaasahan	Mukhang maaasahan ang mga resulta.
promotion	promosyon	Nakatanggap siya ng promosyon sa trabaho.
prompt	maagap	Nakatipid ng oras ang maagap na tugon.
proportion	bahagi	Bumoto ng oo ang malaking bahagi.
protein	protina	Naglalaman ng protina ang mga beans.
protester	nagpoprotesta	May hawak na karatula ang nagpoprotesta.
psychological	sikolohikal	Nagdulot ng sikolohikal na stress ang aksidente.
publicity	publisidad	Nakatanggap ng publisidad ang kaganapan.
publishing	paglalathala	Nagtatrabaho siya sa paglalathala.
punk	punk	Naging tanyag doon ang musikang punk.
purely	puro	Puro praktikal ang pagpili.
pursuit	paghahangad	Ipinagpatuloy niya ang kanyang paghahangad ng hustisya.
puzzle	palaisipan	Inabot ng isang oras ang palaisipan.
questionnaire	talatanungan	Pakikumpleto ang talatanungan.
racial	panlahi	Tinalakay sa ulat ang hindi pagkakapantay-pantay na panlahi.
racism	rasismo	Pinipinsala ng rasismo ang mga komunidad.
racist	rasista	Rasista ang komento.
radiation	radyasyon	Maaaring makapinsala sa mga selula ang radyasyon.
rail	riles	Hawakan ang riles sa hagdan.
random	random	Pumili ang computer ng random na numero.
rat	daga	Isang daga ang tumakbo sa likod ng mga basurahan.
rating	rating	May mataas na rating ang hotel.
reasonably	medyo	Medyo malinis ang kwarto.
rebuild	muling itayo	Muli nilang itatayo ang tulay.
receiver	tagatanggap	Nasalo ng tagatanggap ang bola.
recession	resesyon	Binawasan ng resesyon ang paggastos.
reckon	palagay	Sa palagay ko ay huli na ang tren.
recognition	pagkilala	Nakatanggap siya ng pagkilala para sa kanyang trabaho.
recovery	paggaling	Inabot ng ilang linggo ang paggaling.
recruit	kumuha	Kukuha ang kumpanya ng mga inhinyero.
recruitment	pag-recruit	Magsisimula ang pag-recruit sa susunod na Lunes.
referee	reperi	Itinigil ng reperi ang laban.
refugee	refugee	Nakahanap ng ligtas na tahanan ang refugee.
registration	pagpaparehistro	Magsasara ang pagpaparehistro sa Biyernes.
regulate	i-regulate	Iko-regulate ng batas ang mga emisyon.
reinforce	patibayin	Pinapatibay ng mga dagdag na beam ang bubong.
relieve	maibsan	Maaaring maibsan ng gamot ang sakit.
relieved	nakahinga ng maluwag	Nakahinga siya ng maluwag pagkatapos ng tawag.
remarkable	kahanga-hanga	Kahanga-hanga ang paggaling.
remarkably	kapansin-pansin	Gumaling siya nang kapansin-pansin na mabilis.
reporting	pag-uulat	Mahalaga ang tumpak na pag-uulat.
resign	magbitiw	Magbibitiw ang tagapamahala bukas.
resolution	resolusyon	May mataas na resolusyon ang screen.
restore	kumpunihin	Kinukumpuni ng mga manggagawa ang lumang pagpipinta.
restrict	limitahan	Nililimitahan ng mga patakaran ang pagparada.
restriction	paghihigpit	Magtatapos ang paghihigpit bukas.
retail	tingi	Tumaas ang mga benta sa tingi.
retirement	pagretiro	Maingat niyang pinlano ang kanyang pagretiro.
revenue	kita	Ang kita sa tiket ang nagbayad para sa mga pagkukumpuni.
revision	pagrepaso	Nakatulong ang pagrepaso bago ang pagsusulit.
ridiculous	katawa-tawa	Katawa-tawa ang presyo.
risky	mapanganib	Mukhang mapanganib ang plano.
rival	karibal	Nagbukas ng bagong tindahan ang aming karibal.
rob	magnakaw	Sinubukan ng mga lalaki na magnakaw sa bangko.
robbery	pagnanakaw	Nangyari ang pagnanakaw sa gabi.
rocket	rocket	Matagumpay na inilunsad ang rocket.
romance	romansa	Kasama sa nobela ang isang romansa.
rose	rosas	Isang pulang rosas ang tumubo sa tabi ng bakod.
roughly	humigit-kumulang	Humigit-kumulang dalawampung tao ang dumalo.
ruin	sirain	Maaaring sirain ng ulan ang piknik.
satisfaction	kasiyahan	Tumaas ang kasiyahan ng customer.
scandal	iskandalo	Sinira ng iskandalo ang kanyang karera.
scare	takot	Nagbigay sa akin ng takot ang malakas na ingay.
scenario	senaryo	Malabong mangyari ang pinakamasamang senaryo.
scholar	iskolar	Pinag-aralan ng iskolar ang mga sinaunang teksto.
scholarship	iskolarship	Nanalo siya ng iskolarship.
scratch	kalmot	Nag-iwan ng kalmot ang pusa.
screening	screening	Nag-aalok ang ospital ng screening para sa kanser.
seeker	naghahanap	Nagpadala ng mga aplikasyon ang naghahanap ng trabaho.
seminar	seminar	Magsisimula ang seminar nang alas nuwebe.
settler	naninirahan	Nagtayo ng maliit na bukid ang naninirahan.
severely	matindi	Matinding sinira ng bagyo ang mga kalsada.
sexy	seksi	Itinuturing na seksi ang damit.
shocking	nakakagulat	Nakakagulat ang balita.
shore	baybayin	Naglakad kami sa kahabaan ng baybayin.
shortage	kakulangan	Naharap ang lungsod sa kakulangan sa tubig.
shortly	ilang sandali	Dumating ang bus ilang sandali pagkatapos ng tanghali.
short-term	panandalian	May mga panandaliang pakinabang ang plano.
sibling	kapatid	Nakatanggap ng regalo ang bawat kapatid.
signature	lagda	Pakidagdag ang iyong lagda.
significance	kahalagahan	May malaking kahalagahan ang pagtuklas.
skilled	bihasa	Inayos ng mga bihasang manggagawa ang bubong.
slogan	islogan	Gumamit ng simpleng islogan ang kampanya.
so-called	tinatawag na	Nagkamali ang tinatawag na eksperto.
somehow	paano man	Sa paano man, nawala ang mga susi.
sometime	minsan	Bisitahin mo kami minsan sa susunod na linggo.
sophisticated	sopistikado	Sopistikado ang software.
spare	reserba	Nagtatago kami ng reserbang susi.
specialize	magpakadalubhasa	Nagpapakadalubhasa ang mga doktor sa iba't ibang larangan.
specify	tukuyin	Pakitukoy ang oras ng iyong pagdating.
spectacular	kamangha-mangha	Kamangha-mangha ang mga paputok.
spectator	manonood	Nakatanggap ng programa ang bawat manonood.
speculate	mag-isip-isip	Nag-iisip-isip ang mga eksperto tungkol sa dahilan.
speculation	haka-haka	Hinikayat ng artikulo ang mga haka-haka.
spice	pampalasa	Magdagdag ng isang pampalasa sa bawat pagkakataon.
spill	matapon	Huwag mong hayaang matapon ang juice.
spite	kabila	Nagtagumpay siya sa kabila ng mga problema.
spoil	masira	Maaaring masira ng sobrang asin ang sopas.
spokesman	tagapagsalita	Sinagot ng tagapagsalita ang mga tanong.
spokesperson	tagapagsalita	Nagbasa ng pahayag ang tagapagsalita.
spokeswoman	tagapagsalita	Kinausap ng tagapagsalita ang mga mamamahayag.
sponsorship	sponsorship	Kailangan ng koponan ng sponsorship.
sporting	palakasan	Nagho-host ang lungsod ng mga kaganapan sa palakasan.
stall	puwesto	Nagbebenta ng prutas ang puwesto sa palengke.
stance	paninindigan	Binago ng ministro ang kanyang paninindigan.
starve	magutom	Kung walang pagkain, maaaring magutom ang mga hayop.
steadily	tuluy-tuloy	Tuluy-tuloy na lumago ang kumpanya.
steam	singaw	Tumaas ang singaw mula sa sopas.
stimulate	pukawin	Maaaring pukawin ng maliliwanag na kulay ang interes.
