source_headword	NL	example_NL
recovery	het herstel	Het herstel duurde enkele weken.
recruit	rekruteren	Het bedrijf gaat ingenieurs rekruteren.
recruitment	de werving	De werving begint aanstaande maandag.
referee	de scheidsrechter	De scheidsrechter stopte de wedstrijd.
refugee	de vluchteling	De vluchteling vond een veilig thuis.
registration	de registratie	De registratie sluit op vrijdag.
regulate	reguleren	De wet zal uitstoot reguleren.
reinforce	versterken	Extra balken versterken het dak.
relieve	verlichten	Medicijnen kunnen pijn verlichten.
relieved	opgelucht	Ze voelde zich opgelucht na het telefoontje.
remarkable	opmerkelijk	Het herstel was opmerkelijk.
remarkably	opmerkelijk	Hij herstelde opmerkelijk snel.
reporting	de rapportage	Nauwkeurige rapportage is belangrijk.
resign	ontslag nemen	De manager zal morgen ontslag nemen.
resolution	de resolutie	Het scherm heeft een hoge resolutie.
restore	restaureren	Arbeiders restaureren het oude schilderij.
restrict	beperken	De regels beperken het parkeren.
restriction	de beperking	De beperking eindigt morgen.
retail	de detailhandel	De verkoop in de detailhandel steeg.
retirement	het pensioen	Ze plande haar pensioen zorgvuldig.
revenue	de opbrengst	De ticketopbrengst betaalde de reparaties.
revision	het herhalen	Herhalen hielp voor het examen.
ridiculous	belachelijk	De prijs was belachelijk.
risky	riskant	Het plan leek riskant.
rival	de rivaal	Onze rivaal opende een nieuwe winkel.
rob	overvallen	De mannen probeerden de bank te overvallen.
robbery	de overval	De overval gebeurde 's nachts.
rocket	de raket	De raket is succesvol gelanceerd.
romance	de romantiek	De roman bevat romantiek.
rose	de roos	Een rode roos groeide bij het hek.
roughly	ongeveer	Er waren ongeveer twintig mensen aanwezig.
ruin	verpesten	De regen zou de picknick kunnen verpesten.
satisfaction	de tevredenheid	De klanttevredenheid verbeterde.
scandal	het schandaal	Het schandaal beschadigde zijn carrière.
scare	de schrik	Het harde geluid bezorgde me de schrik.
scenario	het scenario	Het ergste scenario is onwaarschijnlijk.
scholar	de geleerde	De geleerde bestudeerde oude teksten.
scholarship	de beurs	Ze won een beurs.
scratch	de kras	De kat liet een kras achter.
screening	de screening	Het ziekenhuis biedt kankerscreening aan.
seeker	de zoeker	De werkzoekende stuurde sollicitaties.
seminar	het seminar	Het seminar begint om negen uur.
settler	de kolonist	De kolonist bouwde een kleine boerderij.
severely	ernstig	De storm beschadigde de wegen ernstig.
sexy	sexy	De jurk werd als sexy beschouwd.
shocking	schokkend	Het nieuws was schokkend.
shore	de kust	We liepen langs de kust.
shortage	het tekort	De stad kampte met een watertekort.
shortly	binnenkort	De bus kwam kort na de middag aan.
short-term	kortetermijn-	Het plan heeft kortetermijnvoordelen.
sibling	de broer of zus	Elke broer of zus ontving een cadeau.
signature	de handtekening	Voeg uw handtekening toe.
significance	de betekenis	De ontdekking heeft grote betekenis.
skilled	vakkundig	Vakkundige arbeiders repareerden het dak.
slogan	de slogan	De campagne gebruikte een eenvoudige slogan.
so-called	zogenaamd	De zogenaamde expert maakte fouten.
somehow	op de een of andere manier	Op de een of andere manier verdwenen de sleutels.
sometime	ooit	Bezoek ons ergens volgende week.
sophisticated	geavanceerd	De software is geavanceerd.
spare	reserve	We bewaren een reservesleutel.
specialize	zich specialiseren	Artsen specialiseren zich in verschillende vakgebieden.
specify	specificeren	Specificeer uw aankomsttijd.
spectacular	spectaculair	Het vuurwerk was spectaculair.
spectator	de toeschouwer	Elke toeschouwer kreeg een programma.
speculate	speculeren	Experts speculeren over de oorzaak.
speculation	de speculatie	Het artikel moedigde speculatie aan.
spice	de specerij	Voeg één specerij tegelijk toe.
spill	morsen	Mors het sap niet.
spite	de spijt	Hij slaagde ondanks de problemen.
spoil	bederven	Te veel zout kan soep bederven.
spokesman	de woordvoerder	De woordvoerder beantwoordde vragen.
spokesperson	de woordvoerder	De woordvoerder las een verklaring voor.
spokeswoman	de woordvoerster	De woordvoerster sprak de pers toe.
sponsorship	de sponsoring	Het team heeft sponsoring nodig.
sporting	sportief	De stad organiseert sportevenementen.
stall	de kraam	De marktkraam verkoopt fruit.
stance	het standpunt	De minister wijzigde zijn standpunt.
starve	verhongeren	Zonder voedsel kunnen dieren verhongeren.
steadily	gestaag	Het bedrijf groeide gestaag.
steam	de stoom	Stoom steeg op uit de soep.
stimulate	stimuleren	Felle kleuren kunnen de interesse stimuleren.
