source_headword	SI	example_SI
prosecutor	පැමිණිලිකරු	පැමිණිලිකරු සාක්ෂිකරුගෙන් ප්‍රශ්න කළේය.
prospective	අපේක්ෂිත	අපේක්ෂිත සිසුන් විශ්වවිද්‍යාල භූමියේ සංචාරය කළහ.
prosperity	සෞභාග්‍යය	වෙළඳාම කලාපයට සෞභාග්‍යය ගෙන ආවේය.
protective	ආරක්ෂිත	ඇය ආරක්ෂිත අත්වැසුම් පැළඳ සිටියාය.
protocol	ක්‍රියා පටිපාටිය	ක්‍රියා පටිපාටිය සඳහා ලිඛිත අනුමැතිය අවශ්‍ය වේ.
province	පළාත	පළාත ප්‍රවාහනය සඳහා ආයෝජනය කළේය.
provincial	පළාත්	පළාත් නිලධාරීන් සැලසුම ප්‍රකාශයට පත් කළහ.
provision	ප්‍රතිපාදනය	ගිවිසුමට ආරක්ෂිත ප්‍රතිපාදනයක් ඇතුළත් වේ.
provoke	ප්‍රකෝප කිරීම	කතාවෙන් ප්‍රබල ප්‍රතිචාර ප්‍රකෝප විය හැක.
psychiatric	මානසික	රෝහල මානසික වාට්ටුවක් විවෘත කළේය.
pulse	නාඩි	හෙදිය ඔහුගේ නාඩි පරීක්ෂා කළාය.
pump	පොම්පය	පොම්පය මඟින් ජලය ඉහළට ගෙන යයි.
punch	පහර	ඔහු කෝපයෙන් පහරක් ගැසුවේය.
query	විමසුම	ඔබගේ විමසුම සහාය කණ්ඩායමට යවන්න.
quest	ගවේෂණය	යුක්තිය උදෙසා ඔවුන්ගේ ගවේෂණය අඛණ්ඩව සිදු විය.
quota	කෝටාව	කණ්ඩායම සිය විකුණුම් කෝටාව සපුරාලන ලදී.
radar	රේඩාර්	කුණාටුව රේඩාර් මගින් දිස් විය.
radical	විප්ලවීය	කණ්ඩායම විප්ලවීය ප්‍රතිසංස්කරණ යෝජනා කළේය.
rage	කෝපය	ඔහුගේ කෝපය ඉක්මනින් මැකී ගියේය.
raid	වැටලීම	පොලිසිය හිමිදිරි වැටලීමක් සිදු කළේය.
rally	රැලිය	ආධාරකරුවෝ නගර මධ්‍යයේ රැලියට එක් වූහ.
ranking	ශ්‍රේණිගත කිරීම	විශ්වවිද්‍යාලය සිය ශ්‍රේණිගත කිරීම වැඩිදියුණු කර ගත්තේය.
rape	දූෂණය	දූෂණ නඩු සඳහා ප්‍රවේශම් සහගත විමර්ශනයක් අවශ්‍ය වේ.
ratio	අනුපාතය	පන්තියේ ගුරුවරුන්ගේ අනුපාතය අඩුය.
rational	තාර්කික	ඇගේ තීරණය තාර්කික විය.
ray	කිරණ	හිරු කිරණක් ඇතුළු විය.
readily	පහසුවෙන්	ඔහු පහසුවෙන් දීමනාව පිළිගත්තේය.
realization	අවබෝධය	එම අවබෝධය ඇගේ සැලසුම් වෙනස් කළේය.
realm	ක්ෂේත්‍රය	මෙම ප්‍රශ්නය වෙනත් ක්ෂේත්‍රයකට අයත් වේ.
rear	පසුපස	අද පසුපස දොරටුව භාවිතා කරන්න.
reasoning	තර්කනය	ඔහුගේ තර්කනය පැහැදිලි විය.
reassure	අස්වසාලීම	වෛද්‍යවරයා ඇයව අස්වසාලීමට උත්සාහ කළේය.
rebel	කැරලිකරු	කැරලිකාර නායකයා අත්අඩංගුවට පත්වීමෙන් බේරී ගියේය.
rebellion	කැරැල්ල	සාකච්ඡාවලින් පසු කැරැල්ල අවසන් විය.
recipient	ලබන්නා	ලබන්නා පෝරමයට අත්සන් කළේය.
reconstruction	ප්‍රතිසංස්කරණය	ගංවතුරෙන් පසු ප්‍රතිසංස්කරණ කටයුතු ආරම්භ විය.
recount1	විස්තර කිරීම	ඇයට සිදුවීම් පැහැදිලිව විස්තර කළ හැක.
referendum	ජනමත විචාරණය	ජනමත විචාරණය රට බෙදුවේය.
reflection	පරාවර්තනය	ප්‍රබන්ධයට ගැඹුරු කල්පනාවක් අවශ්‍ය විය.
reform	ප්‍රතිසංස්කරණය	ප්‍රතිසංස්කරණය මගින් මහජන සේවා වැඩිදියුණු විය.
refuge	රැකවරණය	පවුල විදේශයන්හි රැකවරණය පැතීය.
refusal	ප්‍රතික්ෂේප කිරීම	ඇගේ ප්‍රතික්ෂේප කිරීම කමිටුව පුදුමයට පත් කළේය.
regain	නැවත ලබා ගැනීම	ඔහු විශ්වාසය නැවත ලබා ගැනීමට වෙහෙස මහන්සි වී වැඩ කළේය.
regardless	නොතකා	ඔවුන් විවේචන නොතකා දිගටම කටයුතු කළහ.
regime	පාලන තන්ත්‍රය	පාලන තන්ත්‍රය නිදහස් කථනය සීමා කළේය.
regulator	නියාමකය	නියාමකය සමාගමට දඩ නියම කළේය.
regulatory	නියාමන	නියාමන අනුමැතිය සඳහා මාස ගණනාවක් ගත විය.
rehabilitation	පුනරුත්ථාපනය	පුනරුත්ථාපනය ඔහුට නැවත ඇවිදීමට උපකාර විය.
reign	පාලන සමය	රජුගේ පාලන සමය දශක ගණනාවක් පැවතුනි.
rejection	ප්‍රතික්ෂේප කිරීම	ප්‍රතික්ෂේප කිරීම ඇගේ විශ්වාසයට හානි කළේය.
relevance	අදාළත්වය	දත්තවලට ඇත්තේ සීමිත අදාළත්වයකි.
reliability	විශ්වසනීයත්වය	හදිසි පද්ධතිවලදී විශ්වසනීයත්වය වැදගත් වේ.
reluctant	අකමැති	ඔහු කතා කිරීමට මැලි විය.
remainder	ඉතිරිය	ඉතිරිය පුණ්‍යායතනයට ගියේය.
remains	අවශේෂ	අවශේෂ ප්‍රවේශමෙන් පරීක්ෂා කරන ලදී.
remedy	පිළියම	නීතිය මගින් පිළියමක් සපයයි.
reminder	සිහිකැඳවීම	විද්‍යුත් තැපෑල ප්‍රයෝජනවත් සිහිකැඳවීමක් විය.
removal	ඉවත් කිරීම	බාධක ඉවත් කිරීම වෙළඳාමට උපකාර විය.
render	පත් කිරීම	අත්වැරදීම නිසා ගිවිසුම අවලංගු විය.
renew	අලුත් කිරීම	ඔබගේ විදේශ ගමන් බලපත්‍රය ඉක්මනින් අලුත් කරන්න.
renowned	ප්‍රසිද්ධ	ඇය ඇගේ පර්යේෂණ සඳහා ප්‍රසිද්ධය.
rental	කුලිය	කුලියට රක්ෂණය ද ඇතුළත් වේ.
replacement	ආදේශනය	ආදේශන කොටස අද පැමිණියේය.
reportedly	වාර්තා වන අන්දමට	වාර්තා වන අන්දමට අමාත්‍යවරයා ඊයේ ඉල්ලා අස්විය.
representation	නියෝජනය	සාධාරණ නියෝජනයක් වැදගත් වේ.
reproduce	බෝ වීම	මෙම ශාක ඉක්මනින් බෝ වේ.
reproduction	ප්‍රජනනය	ඩිජිටල් ප්‍රතිනිෂ්පාදනය ප්‍රවේශය වැඩිදියුණු කළේය.
republic	ජනරජය	ජනරජය මැතිවරණ පැවැත්වීය.
resemble	සමාන වීම	මෝස්තර දෙක එකිනෙකට ඉතා සමාන වේ.
reside	පදිංචිව සිටීම	ඔවුන් දේශසීමාව අසල පදිංචිව සිටිති.
residence	නිවාසය	ඔහුගේ නිල නිවාසයට ආරක්ෂාව යොදා ඇත.
residential	නේවාසික	ප්‍රදේශය බොහෝ දුරට නේවාසික වේ.
residue	අවශේෂය	පිරිසිදුකාරකය ඇලෙන සුළු අවශේෂයක් ඉතිරි කළේය.
resignation	ඉල්ලා අස්වීම	ඇයගේ ඉල්ලා අස්වීම මණ්ඩලය පුදුමයට පත් කළේය.
resistance	ප්‍රතිරෝධය	වෙනස් වීමට ඇති ප්‍රතිරෝධය ප්‍රබල විය.
respective	අදාළ	ඔවුන් තම තමන්ගේ කාර්යාලවලට ආපසු ගියහ.
respectively	පිළිවෙලින්	ලකුණු පිළිවෙලින් 80 සහ 90 විය.
restoration	ප්‍රතිසංස්කරණය	ගොඩනැගිල්ලේ ප්‍රතිසංස්කරණය සඳහා වසර ගණනාවක් ගත විය.
restraint	සංයමය	පොලිසිය සංයමයෙන් කටයුතු කළේය.
resume	නැවත ආරම්භ කිරීම	පන්ති ලබන සතියේ නැවත ආරම්භ වේ.
retreat	පසුබැසීම	හමුදාව පසුබැසීමක් ආරම්භ කළේය.
retrieve	නැවත ලබා ගැනීම	ඇය ගොනුව නැවත ලබා ගත්තාය.
revelation	අනාවරණය	එම අනාවරණය ඔහුගේ කීර්ති නාමයට හානි කළේය.
revenge	පළිගැනීම	ඔහුට අපහාසයට පළිගැනීමට අවශ්‍ය විය.
reverse	අවලංගු කිරීම	උසාවිය තීරණය අවලංගු කළේය.
revival	පුනර්ජීවනය	නගරය ආර්ථික පුනර්ජීවනයක් දුටුවේය.
revive	පුනර්ජීවනය කිරීම	මෙම උත්සවය දේශීය සම්ප්‍රදායන් පුනර්ජීවනය කිරීමට උපකාරී විය.
revolutionary	විප්ලවීය	මෙම නව නිපැයුම විප්ලවීය එකක් විය.
rhetoric	වාගාලංකාරය	ඔහුගේ කථාව ආක්‍රමණශීලී බවක් පෙනෙන්නට තිබුණි.
rifle	රයිෆලය	රයිෆලය ආරක්ෂිතව ගබඩා කර තිබුණි.
riot	කැරැල්ල	කැරැල්ල පැය කිහිපයක් පැවතුනි.
rip	ඉරා දැමීම	කඩදාසිය ප්‍රවේශමෙන් ඉරන්න.
ritual	චාරිත්‍රය	මෙම චාරිත්‍රයෙන් අස්වැන්න නෙළීම සනිටුහන් කරයි.
robust	ශක්තිමත්	පද්ධතිය ශක්තිමත් ය.
rock	සෙලවීම	පිපිරීමෙන් ගම සෙලවී ගියේය.
rod	දණ්ඩ	තිර රෙද්ද දණ්ඩක එල්ලා තිබේ.
rotate	කරකැවීම	මිට සෙමින් කරකවන්න.
rotation	භ්‍රමණය	බෝග භ්‍රමණය පස ආරක්ෂා කරයි.
ruling	තීන්දුව	උසාවිය තීන්දුවක් නිකුත් කළේය.
rumour	කටකතාව	කටකතාව ඉක්මනින් පැතිර ගියේය.
sack	සේවයෙන් පහ කිරීම	මණ්ඩලය පුහුණුකරු සේවයෙන් පහ කළ හැකිය.
sacred	පූජනීය	විහාරස්ථානය පූජනීයයි.
sacrifice	පරිත්‍යාගය	දෙමාපියන් බොහෝ විට පරිත්‍යාගයන් කරති.
saint	ශාන්තුවරයා	පල්ලිය ප්‍රාදේශීය ශාන්තුවරයෙකුට ගෞරව කරයි.
sake	වෙනුවෙන්	ඔහු ඇය වෙනුවෙන් රැඳී සිටියේය.
sanction	සම්බාධකය	මෙම සම්බාධකය ජාත්‍යන්තර වෙළඳාමට බලපෑවේය.
say	අදහස	කාලසටහන් සකස් කිරීමේදී සේවකයින්ට අදහස් ප්‍රකාශ කිරීමට අයිතියක් තිබුණි.
scattered	විසිරුණු	විසිරුණු කඩදාසි මේසය පුරා විය.
sceptical	සැක සහිත	ඇය එම ප්‍රකාශය පිළිබඳව සැකයෙන් පසුවූවාය.
scope	විෂය පථය	ව්‍යාපෘතියේ විෂය පථය පුළුල් විය.
screw	ඉස්කුරුප්පුව	ඉස්කුරුප්පුව ප්‍රවේශමෙන් තද කරන්න.
scrutiny	සූක්ෂ්ම පරීක්ෂාව	මෙම ගනුදෙනුව මහජන සූක්ෂ්ම පරීක්ෂාවට ලක් විය.
seal	මුද්‍රා තැබීම	තැපැල් කිරීමට පෙර ලියුම් කවරය මුද්‍රා තබන්න.
secular	ලෞකික	පාසල ලෞකික විෂය නිර්දේශයක් අනුගමනය කරයි.
seemingly	පෙනෙන විදිහට	මෙම කාර්යය පෙනෙන විදිහට සරල විය.
segment	ඛණ්ඩය	අවසාන ඛණ්ඩය කෙටි විය.
seize	භාරයට ගැනීම	පොලිසිය ලේඛන භාරයට ගත්තේය.
seldom	කලාතුරකින්	ඇය කලාතුරකින් පන්තියක් මග හරියි.
selective	තෝරාගත්	වැඩසටහන ඉතා තෝරාගත් එකකි.
senator	සෙනෙට් සභිකයා	සෙනෙට් සභිකයා පනතට සහාය දුන්නේය.
sensation	ආන්දෝලනය	මෙම සොයාගැනීම ආන්දෝලනයක් ඇති කළේය.
sensitivity	සංවේදීතාව	මෙම ගැටලුව සඳහා සංවේදීතාව අවශ්‍ය වේ.
sentiment	මතය	මහජන මතය ඉක්මනින් වෙනස් විය.
separation	වෙන්වීම	වෙන්වීම අපහසු විය.
serial	අනුක්‍රමික	අනුක්‍රමික අංකය අස්ථානගත වී ඇත.
settlement	නිරවුල් කිරීම	නිරවුල් කිරීමෙන් ආරවුල අවසන් විය.
set-up	සැකසුම	සැකසුම සඳහා මුළු උදෑසනම ගත විය.
sexuality	ලිංගිකත්වය	පාඨමාලාව අනන්‍යතාව සහ ලිංගිකත්වය ගැන සාකච්ඡා කරයි.
shareholder	කොටස්කරු	කොටස්කරුවෙකු මණ්ඩලයෙන් ප්‍රශ්න කළේය.
shatter	බිඳ දමනවා	මෙම පුවත ඔහුගේ විශ්වාසය බිඳ දැමුවේය.
shed	අඩු කරනවා	සමාගම රැකියා අඩු කරනු ඇත.
sheer	හුදු	එහි විශාලත්වය සැවොම පුදුමයට පත් කළේය.
shipping	නැව්ගත කිරීම	නැව්ගත කිරීමේ පිරිවැය ඉහළ ගියේය.
shoot	රූගත කිරීම	ඡායාරූප රූගත කිරීම කල්තියා අවසන් විය.
shrink	හැකිළෙනවා	කමිසය හැකිළිය හැක.
shrug	උරහිස් හකුලනවා	ඇය සුළු වශයෙන් උරහිස් හැකුළුවාය.
sigh	සුසුම්ලනවා	ඔහු සහනයෙන් සුසුම්ලෑවේය.
simulate	අනුකරණය කරනවා	මෘදුකාංගයට රථවාහන ගමනාගමනය අනුකරණය කළ හැක.
simulation	අනුකරණය	අනුකරණය මගින් ගංවතුරක් පුරෝකථනය කළේය.
simultaneously	එකවරම	එලාම් දෙකක් එකවරම නාද විය.
sin	පාපය	ආඩම්බරය පාපයක් ලෙස සැලකේ.
situated	පිහිටා ඇති	හෝටලය නගර මධ්‍යයේ පිහිටා ඇත.
sketch	දළ සටහන	ඇය ඉක්මන් දළ සටහනක් ඇන්දාය.
skip	මඟහරිනවා	උදෑසන ආහාරය මඟහරින්න එපා.
slam	තදින් වසනවා	ඔහුට දොර තදින් වැසිය හැක.
slap	පහර දෙනවා	මේසයට පහර නොදෙන්න.
slavery	වහල්භාවය	වහල්භාවය කලාපයේ ඉතිහාසය හැඩගැස්වීය.
slot	කාල වේලාව	කාල වේලාවක් අන්තර්ජාලයෙන් වෙන්කර ගන්න.
smash	කුඩුපට්ටම් වෙනවා	වීදුරුව බිම වැටී කුඩුපට්ටම් විය.
snap	කැඩෙනවා	සුළඟට අත්ත කැඩී ගියේය.
soak	පෙඟෙනවා	බෝංචි රැයක් පුරා පෙඟෙන්න හරින්න.
soar	ඉහළ යනවා	ඉන්ධන මිල ඉහළ යා හැක.
socialist	සමාජවාදී	පක්ෂය සමාජවාදී ප්‍රතිපත්තිවලට සහාය දෙයි.
sole	එකම	ඔහු එකම දිවිගලවා ගත් තැනැත්තා විය.
solely	තනිකරම	එම තීරණය තනිකරම ඔහුගේය.
solicitor	නීතීඥයා	නීතීඥයා ගිවිසුම සකස් කළේය.
solidarity	සහයෝගීතාවය	කම්කරුවන් සහයෝගීතාවය ප්‍රකාශ කළහ.
solo	ඒකල	ඇය ඒකල ගීත ඇල්බමයක් නිකුත් කළාය.
sound	සාධාරණ	සැලැස්ම සාධාරණ හා ප්‍රායෝගිකයි.
sovereignty	ස්වෛරීභාවය	ගිවිසුම ජාතික ස්වෛරීභාවය ආරක්ෂා කළේය.
spam	අනවශ්‍ය පණිවිඩ	අනවශ්‍ය පණිවිඩ මගින් එන ලිපි ගොනුව පිරී ගියේය.
span	විහිදෙනවා	පාලම ගඟ හරහා විහිදේ.
spark	ඇති කරනවා	සුළු ප්‍රකාශයක් විවාදයක් ඇති කළේය.
specialized	විශේෂිත	සායනය විශේෂිත ප්‍රතිකාර සපයයි.
specification	පිරිවිතරය	සැලසුම සෑම පිරිවිතරයක්ම සපුරාලයි.
specimen	නිදර්ශකය	නිදර්ශකය ආරක්ෂිතව ගබඩා කර ඇත.
spectacle	දර්ශනය	පෙළපාළිය විචිත්‍රවත් දර්ශනයක් විය.
spectrum	පරාසය	අදහස් පුළුල් පරාසයක් ආවරණය කරයි.
spell	කාලය	වියළි කාලය සති ගණනක් පැවතුනි.
sphere	ක්ෂේත්‍රය	දේශපාලනය සංස්කෘතික ක්ෂේත්‍රයට පිවිසියේය.
spin	කැරකෙනවා	රෝද කැරැකෙන්නට පටන් ගත්තේය.
spine	කොඳු ඇට පෙළ	තුවාලය ඔහුගේ කොඳු ඇට පෙළට බලපෑවේය.
spotlight	අවධානය	අපවාදය ඔහු වෙත අවධානය යොමු කළේය.
spouse	සහකරු / සහකාරිය	ඇයගේ සහකරු උත්සවයට සහභාගී විය.
spy	ඔත්තුකරු	ඔත්තුකරු රහස්‍ය පණිවිඩ යැවීය.
squad	කණ්ඩායම	මුදාගැනීමේ කණ්ඩායම ඉක්මනින් පැමිණියේය.
squeeze	මිරිකනවා	මිටුව මෘදු ලෙස මිරිකන්න.
stab	ඇනීම	වාර්තාවෙන් පිහි ඇනුම් තුවාලයක් විස්තර කෙරිණි.
stability	ස්ථාවරත්වය	ප්‍රතිපත්තිය ස්ථාවරත්වය ගෙන ආවේය.
stabilize	ස්ථාවර කරනවා	ඖෂධය ඔහුව ස්ථාවර කිරීමට උපකාරී විය.
stake	කොටස	ආයෝජකයින්ට මෙහි කොටසක් ඇත.
standing	තත්ත්වය	පක්ෂය තුළ ඇයගේ තත්ත්වය ඉහළ ගියේය.
stark	පැහැදිලි	ප්‍රතිඵල මගින් පැහැදිලි වෙනසක් පෙන්නුම් කළේය.
statistical	සංඛ්‍යානමය	අධ්‍යයනය සඳහා සංඛ්‍යානමය ක්‍රම භාවිතා කරන ලදී.
steer	මෙහෙයවනවා	ඔහු විවාදය මෙහෙයවීමට උත්සාහ කළේය.
stem	කඳ	කුණාටුවෙන් කඳ කැඩී ගියේය.
stereotype	සම්මත ආකල්පය	චිත්‍රපටය සම්මත ආකල්පයකට අභියෝග කළේය.
stimulus	උත්තේජනය	පැකේජය මගින් ආර්ථික උත්තේජනයක් ලබා දුන්නේය.
stir	කලවම් කරනවා	සෝස් එක සෙමින් කලවම් කරන්න.
storage	ගබඩා කිරීම	පහසුකම මගින් ආරක්ෂිත ගබඩා කිරීමක් ලබා දෙයි.
straightforward	පැහැදිලි	උපදෙස් ඉතා පැහැදිලි විය.
strain	පීඩනය	දිගු ප්‍රමාදය පීඩනයක් ඇති කළේය.
strand	කෙඳිති	හිසකෙස් කෙඳිත්තක් පහළට වැටුණි.
strategic	උපායමාර්ගික	සමාගම උපායමාර්ගික ආයෝජනයක් කළේය.
strip (long narrow piece)	තීරුව	කඩදාසි පටු තීරුවක් කපන්න.
strip (remove clothes/a layer)	ඉවත් කරනවා	පැරණි තීන්ත ප්‍රවේශමෙන් ඉවත් කරන්න.
strive	උත්සාහ කරනවා	ඔවුන් විශිෂ්ටත්වය සඳහා උත්සාහ කරති.
structural	ව්‍යුහාත්මක	පාලමට ව්‍යුහාත්මක හානි සිදුවී ඇත.
stumble	පැකිළෙනවා	ඔහු පඩිපෙළ මත පැකිළුණේය.
stun	පුදුමයට පත් කරනවා	මෙම පුවත මිනිසුන් පුදුමයට පත් කළ හැකිය.
submission	ඉදිරිපත් කිරීම	ඉදිරිපත් කිරීම සඳහා වූ අවසාන දිනය පසු විය.
subscriber	ග්‍රාහකයා	සෑම ග්‍රාහකයෙකුටම යාවත්කාලීන කිරීම් ලැබේ.
subscription	දායකත්වය	දායකත්වය ස්වයංක්‍රීයව අලුත් වේ.
subsidy	සහනාධාරය	සහනාධාරය මගින් ඉන්ධන පිරිවැය අඩු විය.
substantial	සැලකිය යුතු	ව්‍යාපෘතිය සඳහා සැලකිය යුතු අරමුදල් අවශ්‍ය වේ.
substantially	සැලකිය යුතු ලෙස	මිල සැලකිය යුතු ලෙස වැඩි විය.
substitute	ආදේශකය	ආදේශකයක් ලෙස කිරි භාවිතා කරන්න.
substitution	ආදේශ කිරීම	ආදේශ කිරීම නිසා වට්ටෝරුව වෙනස් විය.
subtle	සියුම්	සිතුවමේ සියුම් තොරතුරු ඇත.
suburban	තදාසන්න	ඔවුන් තදාසන්න ප්‍රදේශයකට පදිංචියට ගියහ.
succession	පෙළ	මෙම අර්බුදය අසාර්ථකවීම් පෙළකට පසුව ඇති විය.
successive	අනුක්‍රමික	අනුක්‍රමික රජයන් මෙම ගැටලුව නොසලකා හැරියේය.
successor	අනුප්‍රාප්තිකයා	අනුප්‍රාප්තිකයා සඳුදා වැඩ ආරම්භ කරනු ඇත.
suck	උරා බොනවා	යන්ත්‍රයට දූවිලි උරා ගත හැක.
sue	නඩු පවරනවා	ඇය සමාගමට නඩු පැවරීමට තීරණය කළාය.
suicide	සියදිවි නසා ගැනීම	සියදිවි නසා ගැනීම් වැළැක්වීමට අඛණ්ඩ අරමුදල් අවශ්‍ය වේ.
suite	කාමර කට්ටලය	හෝටල් කාමර කට්ටලය ගඟ දෙසට විවෘත විය.
summit	සමුළුව	නායකයින් සමුළුවේදී හමු විය.
superb	විශිෂ්ට	ප්‍රසංගය විශිෂ්ට විය.
superior	උසස්	නව මාදිලිය උසස් ය.
supervise	අධීක්ෂණය කරනවා	ඇය පුහුණුවන්නන් අධීක්ෂණය කරනු ඇත.
supervision	අධීක්ෂණය	ළමයින්ට වැඩිහිටි අධීක්ෂණය අවශ්‍ය වේ.
supervisor	අධීක්ෂක	පළමුව ඔබේ අධීක්ෂකගෙන් විමසන්න.
supplement	අතිරේකය	වාර්තාවට අතිරේකයක් ඇතුළත් වේ.
supportive	සහාය දෙන	ඇයගේ පවුල සහාය දැක්වීය.
supposedly	බොහෝ දුරට	ගොනුව බොහෝ දුරට මකා දමා ඇත.
suppress	මර්දනය කරනවා	පාලනය විරෝධතා මර්දනය කිරීමට උත්සාහ කළේය.
supreme	ශ්‍රේෂ්ඨාධිකරණ	ශ්‍රේෂ්ඨාධිකරණය නඩුව විභාග කළේය.
surge	පීඩනය	හදිසි පීඩනයකින් උපකරණවලට හානි සිදු විය.
surgical	ශල්‍ය	රෝගියාට ශල්‍යකර්ම ප්‍රතිකාර අවශ්‍ය වේ.
surplus	අතිරික්තය	ගබඩාවේ අතිරික්තයක් ඇත.
surrender	යටත් වෙනවා	සොල්දාදුවන් යටත් වීමට එකඟ විය.
surveillance	නිරීක්ෂණ	නිරීක්ෂණ කැමරා මගින් පිවිසුම පටිගත කරන ලදී.
suspension	අත්හිටුවීම	අත්හිටුවීම සති දෙකක් පැවතුනි.
suspicion	සැකය	ඔහුගේ හැසිරීම සැකයක් ඇති කළේය.
suspicious	සැක සහිත	පාර්සලය සැක සහිත බව පෙනෙන්නට තිබුණි.
sustain	පවත්වා ගන්නවා	ව්‍යාපෘතියට දේශීය රැකියා පවත්වා ගත හැකිය.
swing	පැද්දෙනවා	දොර පැද්දීමට පටන් ගත්තේය.
sword	කඩුව	කඩුව බිත්තියේ එල්ලා තිබුණි.
symbolic	සංකේතාත්මක	එම ක්‍රියාව සංකේතාත්මක විය.
syndrome	රෝග ලක්ෂණය	රෝග ලක්ෂණය මතකයට බලපායි.
synthesis	සංශ්ලේෂණය	පරිච්ඡේදය මගින් සංශ්ලේෂණයක් ඉදිරිපත් කරයි.
systematic	ක්‍රමානුකූල	සමාලෝචනය ක්‍රමානුකූල විය.
tactic	උපාය	උපාය ඉක්මනින් අසාර්ථක විය.
tactical	උපායශීලී	කණ්ඩායම උපායශීලී වෙනසක් කළේය.
taxpayer	බදු ගෙවන්නා	බදු ගෙවන්නන්ගේ මුදලින් පාලමට අරමුදල් සපයන ලදී.
tempt	පොළඹවනවා	මෙම දීමනාව ආයෝජකයින් පොළඹවනු ඇත.
tenant	කුලී නිවැසියා	කුලී නිවැසියා කල්තියා කුලිය ගෙවා ඇත.
tender	මෘදු	ඇය මෘදු සිනහවක් පෑවාය.
tenure	සේවා කාලය	ඔහුගේ සේවා කාලය වසර හයක් පැවතුනි.
terminal	මාරාන්තික	රෝගියාට මාරාන්තික රෝගයක් වැළඳී තිබුණි.
terminate	අවසන් කරනවා	සමාගම ගිවිසුම අවසන් කළ හැකිය.
terrain	භූමිය	භූමිය දුෂ්කර විය.
terrific	විශිෂ්ට	දර්ශනය විශිෂ්ට විය.
testify	සාක්ෂි දෙනවා	ඇය සාක්ෂි දීමට එකඟ වූවාය.
testimony	සාක්ෂිය	ඔහුගේ සාක්ෂිය සවිස්තරාත්මක විය.
texture	වයනය	රෙදිපිළිවලට රළු වයනයක් ඇත.
thankfully	වාසනාවකට	වාසනාවකට මෙන්, කිසිවෙකුට තුවාල සිදුවී නොමැත.
theatrical	නාට්‍යමය	කතාව නාට්‍යමය ස්වභාවයක් ගත්තේය.
theology	දේවධර්මය	ඔහු විශ්වවිද්‍යාලයේදී දේවධර්මය හැදෑරීය.
theoretical	න්‍යායික	ආකෘතිය සම්පූර්ණයෙන්ම න්‍යායික වේ.
thereafter	ඉන්පසුව	ඉන්පසුව නීති රීති වෙනස් විය.
thereby	ඒ අනුව	වෙනස මගින් වියදම් අඩු වූ අතර, ඒ අනුව රැකියා ඉතිරි විය.
thoughtful	කල්පනාකාරී	ඇයගේ පිළිතුර කල්පනාකාරී විය.
thought-provoking	සිතන්නට පොළඹවන	ලිපිය සිතන්නට පොළඹවන සුළු විය.
thread	නූල	නූල පහසුවෙන් කැඩී ගියේය.
threshold	සීමාව	ඡන්දය සීමාව ඉක්මවා ගියේය.
thrilled	ඉතා සතුටු වූ	පුවතින් ඇය ඉතා සතුටට පත් වූවාය.
thrive	දියුණු වෙනවා	කුඩා ව්‍යාපාර මෙහි දියුණු විය හැක.
tide	වඩදිය	වඩදිය ඉක්මනින් ඉහළ ගියේය.
tighten	තද කරනවා	පියන හොඳින් තද කරන්න.
