simplified	HY	example_HY
附近	մոտակայք; մոտ	Մոտակայքում մի ռեստորան կա։
干净	մաքուր	Այս սենյակը շատ մաքուր է։
感冒	մրսել	Ես մրսել եմ և ուզում եմ հանգստանալ։
感兴趣	հետաքրքրվել	Ես շատ եմ հետաքրքրվում չինարենով։
刚才	հենց նոր	Հենց նոր ո՞վ զանգեց քեզ։
个子	հասակ; կազմվածք	Նա բարձրահասակ է։
根据	ըստ; հիման վրա	Ըստ քարտեզի՝ դպրոցը արևելքում է։
跟	հետ; հետևել	Ես ընկերոջս հետ այգի եմ գնում։
更	ավելի; էլ ավելի	Այսօր երեկվանից էլ ցուրտ է։
公斤	կիլոգրամ	Այս խնձորները մեկ կիլոգրամ են։
公园	այգի	Երեխաները այգում խաղում են։
故事	պատմություն	Պապիկը ինձ պատմություն է պատմում։
刮风	քամի լինել	Այսօր քամի է, հեծանիվ մի քշիր։
关	փակել; անջատել	Խնդրում եմ, դուռը փակիր։
关系	հարաբերություն; կապ	Գործընկերոջս հետ լավ հարաբերություններ ունեմ։
关心	հոգ տանել; հետաքրքրվել	Մայրս շատ է հոգ տանում իմ առողջության մասին։
关于	մասին; վերաբերյալ	Այս գիրքը չինական մշակույթի մասին է։
国家	երկիր; պետություն	Չինաստանը շատ մեծ երկիր է։
过	փորձի մասնիկ; նախկինում անել	Ես Պեկինում եղել եմ։
过去	անցյալ; նախկինում	Նախկինում այստեղ մետրո չկար։
还是	թե; կամ	Դու թեյ ես խմում, թե՞ սուրճ։
害怕	վախենալ	Ես քննությունից չեմ վախենում։
黑板	գրատախտակ	Ուսուցիչը գրատախտակին հիերոգլիֆներ է գրում։
后来	հետո; ավելի ուշ	Հետո մենք այգի գնացինք։
护照	անձնագիր	Խնդրում եմ, անձնագիրը բեր։
96:花	ծախսել; արժենալ	Հեռախոս գնելը երկու հազար յուան արժեցավ։
97:花	ծաղիկ	Սեղանի վրա մեկ ծաղիկ կա։
画	նկարել; նկար	Իմ կրտսեր քույրը սիրում է պանդաներ նկարել։
坏	վատ; փչացած	Իմ համակարգիչը փչացել է։
欢迎	բարի գալուստ; ողջունել	Բարի գալուստ իմ տուն։
环境	միջավայր; պայմաններ	Այս դպրոցի միջավայրը շատ լավն է։
还	վերադարձնել; հետ տալ	Խնդրում եմ, վաղը վերադարձրու իմ գիրքը։
换	փոխել; փոխանակել	Ես ուզում եմ փոխել վերնաշապիկը։
黄河	Հուանհե գետ	Հուանհե գետը շատ երկար է։
回答	պատասխանել; պատասխան	Խնդրում եմ, պատասխանեք իմ հարցին։
会议	հանդիպում; ժողով	Հանդիպումը սկսվում է ժամը իննին։
或者	կամ; հնարավոր է	Դու կարող ես մետրոյով կամ ավտոբուսով գնալ։
几乎	գրեթե	Նա գրեթե ամեն օր մարզվում է։
机会	հնարավորություն; շանս	Սա լավ հնարավորություն է։
极	չափազանց; շատ	Նա չափազանց ուրախ է։
季节	եղանակ; սեզոն	Աշունը իմ ամենասիրած եղանակն է։
记得	հիշել	Հիշո՞ւմ ես վարկային քարտը բերելը։
检查	ստուգել; զննել	Բժիշկը ինձ զննում է։
简单	պարզ; հեշտ	Այս նախադասությունը շատ պարզ է։
健康	առողջություն; առողջ	Մարզվելը առողջության համար լավ է։
见面	հանդիպել	Մենք վաղը դպրոցում կհանդիպենք։
讲	բացատրել; խոսել	Ուսուցիչը շատ պարզ է բացատրում։
教	սովորեցնել	Նա ինձ սովորեցնում է չինական հիերոգլիֆներ գրել։
脚	ոտք	Ոտքս մի քիչ ցավում է։
角	անկյուն	Խանութը փողոցի անկյունում է։
接	դիմավորել; ստանալ	Ես օդանավակայան եմ գնում ընկերոջս դիմավորելու։
街道	փողոց	Այս փողոցը շատ մաքուր է։
结婚	ամուսնանալ	Նրանք հաջորդ տարի կամուսնանան։
结束	ավարտվել; ավարտել	Մրցումն արդեն ավարտվել է։
节目	ծրագիր; հաղորդում	Այս հեռուստահաղորդումը շատ լավն է։
节日	տոն	Գարնան տոնը կարևոր չինական տոն է։
解决	լուծել	Այս խնդիրը արդեն լուծվել է։
借	փոխ առնել; փոխ տալ	Ես ուզում եմ քո բառարանը փոխ առնել։
经常	հաճախ	Ես հաճախ եմ գրադարան գնում։
经过	անցնել; գործընթաց	Ես ամեն օր անցնում եմ այս այգու կողքով։
经理	մենեջեր; տնօրեն	Մենեջերը հանդիպման է։
久	երկար ժամանակ	Ես այստեղ երկար ժամանակ եմ ապրում։
旧	հին; օգտագործված	Այս հագուստը շատ հին է։
句子	նախադասություն	Խնդրում եմ, մի նախադասություն գրեք։
决定	որոշել; որոշում	Ես որոշեցի չինարեն սովորել։
可爱	սիրուն; հմայիչ	Այս կատուն շատ սիրուն է։
渴	ծարավ; ծարավ լինել	Ես ծարավ եմ և ուզում եմ ջուր խմել։
刻	տասնհինգ րոպե; պահ	Ժամը ութն անց տասնհինգ է։
客人	հյուր; հաճախորդ	Այսօր մեր տուն հյուր եկավ։
空调	օդորակիչ	Խնդրում եմ, օդորակիչը միացրու։
口	բերան; հաշվիչ բառ	Նա մեկ կում ջուր խմեց։
哭	լաց լինել	Երեխան ինչո՞ւ է լաց լինում։
裤子	տաբատ	Այս տաբատը նոր է։
筷子	չինական ձողիկներ	Ես կարող եմ ձողիկներով ուտել։
蓝	կապույտ	Երկինքը կապույտ է։
老	ծեր; հին	Իմ ուսուցիչը ծեր չէ։
离开	հեռանալ; թողնել	Նա վաղը Պեկինից հեռանում է։
礼物	նվեր	Սա նվեր է քեզ համար։
历史	պատմություն	Ես սիրում եմ Չինաստանի պատմությունը։
脸	դեմք	Նրա դեմքը շատ կարմիր է։
练习	վարժություն; վարժվել	Խնդրում եմ, ավելի շատ չինարեն խոսելու վարժություն արեք։
辆	հաշվիչ բառ մեքենաների համար	Դռան մոտ մեկ տաքսի կա։
聊天	զրուցել	Ես ընկերոջս հետ զրուցում եմ։
了解	հասկանալ; ճանաչել	Ես ուզում եմ հասկանալ չինական մշակույթը։
邻居	հարևան	Իմ հարևանը շատ ջերմ մարդ է։
留学	արտասահմանում սովորել	Նա Չինաստանում է սովորում։
楼	շենք; հարկ	Գրասենյակը երրորդ հարկում է։
绿	կանաչ	Գարնանը ծառերը կանաչում են։
马	ձի	Այդ ձին շատ արագ է վազում։
马上	անմիջապես; հիմա	Ես անմիջապես կվերադառնամ։
满意	գոհ; բավարարված	Ես այս սենյակից շատ գոհ եմ։
帽子	գլխարկ	Այս գլխարկը շատ գեղեցիկ է։
米	մետր; բրինձ	Այս սեղանը երկու մետր երկարություն ունի։
面包	հաց	Նախաճաշին ես հաց եմ ուտում։
明白	հասկանալ; պարզ	Ես հասկանում եմ, թե ինչ նկատի ունես։
拿	վերցնել; բռնել	Խնդրում եմ, ինձ համար մի գիրք վերցրու։
奶奶	տատիկ	Տատիկը սիրում է երաժշտություն լսել։
南	հարավ	Դպրոցը քաղաքի հարավում է։
难	դժվար	Այս հարցը դժվար չէ։
难过	տխրել; տխուր լինել	Նա այսօր մի քիչ տխուր է։
年级	դասարան; ուսումնական տարի	Իմ կրտսեր քույրը երրորդ դասարանում է։
年轻	երիտասարդ	Այս մենեջերը շատ երիտասարդ է։
鸟	թռչուն	Ծառի վրա մեկ թռչուն կա։
努力	ջանք; ջանալ	Նա շատ ջանասիրաբար է սովորում։
爬山	լեռ բարձրանալ; արշավել	Այս շաբաթավերջին լեռ ենք բարձրանալու։
盘子	ափսե; սկուտեղ	Սեղանի վրա երեք ափսե կա։
胖	գեր; հաստ	Այս շունը մի քիչ գեր է։
啤酒	գարեջուր	Հայրիկը գարեջուր չի խմում։
皮鞋	կաշվե կոշիկ	Այս զույգ կաշվե կոշիկը թանկ է։
瓶子	շիշ	Շշի մեջ ջուր կա։
其实	իրականում	Իրականում ես գարեջուր չեմ սիրում։
其他	ուրիշ; մնացած	Մյուս դասընկերները բոլորը եկել են։
奇怪	տարօրինակ	Այս ձայնը շատ տարօրինակ է։
骑	քշել; հեծնել	Նա ամեն օր հեծանիվով է աշխատանքի գնում։
起飞	թռչել; օդ բարձրանալ	Ինքնաթիռը շուտով օդ կբարձրանա։
起来	վեր կենալ; վեր շարժում	Խնդրում եմ, վեր կացեք։
清楚	պարզ; հստակ	Դու շատ հստակ խոսեցիր։
请假	ազատ օր խնդրել	Նա մրսել է և պետք է ազատ օր խնդրի։
秋	աշուն	Աշնանը եղանակը հաճելի է։
裙子	կիսաշրջազգեստ	Այս կիսաշրջազգեստը շատ գեղեցիկ է։
然后	հետո	Ես նախ ուտում եմ, հետո տնային աշխատանք եմ անում։
热情	ջերմ; խանդավառ	Չինացի ընկերները շատ ջերմ են։
认为	կարծել; համարել	Կարծում եմ՝ այս մեթոդը լավն է։
认真	լուրջ; ուշադիր	Խնդրում եմ, ուշադիր լսեք ուսուցչին։
容易	հեշտ	Այս չինական հիերոգլիֆը հեշտ է գրել։
如果	եթե	Եթե անձրև գա, մետրոյով կգնանք։
伞	հովանոց	Անձրև է գալիս, խնդրում եմ, հովանոց վերցրու։
上网	ինտերնետ մտնել	Երեկոյան քարտեզը նայելու համար ինտերնետ եմ մտնում։
声音	ձայն	Քո ձայնը հաճելի է հնչում։
生气	բարկանալ	Մի բարկացիր, ես դա դիտմամբ չեմ արել։
世界	աշխարհ	Աշխարհը շատ մեծ է։
试	փորձել	Ես ուզում եմ փորձել այս զույգ կաշվե կոշիկը։
瘦	նիհար	Նա առաջվանից ավելի նիհար է։
叔叔	հորեղբայր; քեռի	Հորեղբայրս ինձ դպրոց է տանում մեքենայով։
舒服	հարմար; լավ զգալ	Այս աթոռը հարմար է։
数学	մաթեմատիկա	Մաթեմատիկայի դասը հետաքրքիր է։
树	ծառ	Տան առջև մեկ ծառ կա։
刷牙	ատամները մաքրել	Ես ամեն առավոտ ատամներս մաքրում եմ։
双	զույգ	Ես մեկ զույգ կաշվե կոշիկ գնեցի։
水平	մակարդակ	Նրա չինարենի մակարդակը բարձր է։
司机	վարորդ	Վարորդը մեզ դռան մոտ է սպասում։
太阳	արև	Այսօր արևը ուժեղ է։
特别	հատկապես; հատուկ	Այս ծրագիրը հատկապես հետաքրքիր է։
疼	ցավել	Ոտքս ցավում է։
提高	բարձրացնել; բարելավել	Ավելի շատ վարժվելը կարող է բարելավել չինարենի մակարդակը։
体育	սպորտ; ֆիզկուլտուրա	Ես սիրում եմ ֆիզկուլտուրայի դասը։
甜	քաղցր	Այս ըմպելիքը չափազանց քաղցր է։
条	շերտ; հաշվիչ բառ	Ես մեկ կիսաշրջազգեստ գնեցի։
同事	գործընկեր	Իմ գործընկերը շատ զբաղված է։
同意	համաձայնել	Ես համաձայն եմ քո որոշման հետ։
头发	մազ	Նրա մազերը երկար են։
突然	հանկարծ	Նա հանկարծ հեռացավ։
图书馆	գրադարան	Գրադարանը այսօր բաց չէ։
腿	ոտք	Լեռ բարձրանալուց հետո ոտքերս ցավում են։
完成	ավարտել	Ես արդեն ավարտել եմ տնային աշխատանքը։
碗	աման; թաս	Սեղանի վրա երկու աման կա։
万	տասը հազար	Այս քաղաքում տասը հազար մարդ կա։
忘记	մոռանալ	Մի մոռացիր անձնագիրը բերել։
为	համար; պատճառով	Ես ուրախ եմ քեզ համար։
为了	համար; նպատակով	Քննության համար նա ամեն օր կրկնում է։
位	հաշվիչ բառ մարդկանց համար	Այս ուսուցիչը շատ հայտնի է։
文化	մշակույթ	Ես ուզում եմ հասկանալ չինական մշակույթը։
西	արևմուտք	Բանկը դպրոցի արևմուտքում է։
习惯	սովորություն; սովորել	Ես սովոր եմ առավոտյան մարզվել։
洗手间	զուգարան	Զուգարանը աջ կողմում է։
洗澡	լողանալ; ցնցուղ ընդունել	Երեկոյան ցնցուղ եմ ընդունում։
夏	ամառ	Ամառը շատ շոգ է։
先	նախ; առաջինը	Դու նախ կեր։
相信	հավատալ	Ես հավատում եմ, որ նա կգա։
香蕉	բանան	Ես երեք բանան գնեցի։
像	նմանվել; նման լինել	Այս ամպը թռչունի է նման։
向	ուղղություն; դեպի	Խնդրում եմ, ձախ գնացեք։
小心	զգույշ լինել	Անձրև է գալիս, ճանապարհին զգույշ եղիր։
校长	տնօրեն	Տնօրենը գրասենյակում է։
新闻	լուրեր	Հայրիկը ամեն օր լուրեր է դիտում։
新鲜	թարմ	Այս միրգը շատ թարմ է։
信用卡	վարկային քարտ	Կարո՞ղ եմ վարկային քարտով վճարել։
行李箱	ճամպրուկ	Իմ ճամպրուկը ծանր է։
熊猫	պանդա	Երեխաները սիրում են պանդաներ դիտել։
需要	կարիք ունենալ; անհրաժեշտ լինել	Ես քո օգնության կարիքն ունեմ։
选择	ընտրել; ընտրություն	Ո՞ր վերնաշապիկն ես ընտրում։
要求	պահանջել; խնդրել	Ուսուցիչը պահանջում է, որ տնային աշխատանքը ուշադիր անենք։
爷爷	պապիկ	Պապիկը ամեն օր այգի է գնում։
一直	միշտ; շարունակ	Նա երկար ժամանակ քեզ է սպասում։
一定	անպայման; հաստատ	Ես անպայման կգամ։
一共	ընդհանուր; միասին	Այս գրքերը ընդհանուր ինչքա՞ն արժեն։
一会儿	մի քիչ ժամանակ	Խնդրում եմ, մի քիչ սպասիր ինձ։
一样	նույն; միևնույն	Այս երկու բաժակները նույն չափի են։
以前	նախկինում; առաջ	Ես նախկինում Պեկինում էի ապրում։
一般	սովորական; միջին	Այս ռեստորանի ուտելիքը միջին է։
一边	մեկ կողմ; միաժամանակ	Նա երաժշտություն է լսում և միաժամանակ տնային աշխատանք անում։
音乐	երաժշտություն	Ես չինական երաժշտություն եմ սիրում։
银行	բանկ	Բանկը մեծ խանութի կողքին է։
饮料	ըմպելիք	Այս ըմպելիքի համը լավն է։
应该	պետք է; հարկավոր է	Դու պետք է ավելի շատ հանգստանաս։
影响	ազդեցություն; ազդել	Եղանակը կազդի մրցման վրա։
用	օգտագործել	Ես տնային աշխատանք անելու համար համակարգիչ եմ օգտագործում։
游戏	խաղ	Երեխաները խաղ են խաղում։
有名	հայտնի	Այս ռեստորանը շատ հայտնի է։
又	նորից; կրկին	Նա այսօր նորից ուշացավ։
遇到	հանդիպել; պատահել	Փողոցում ուսուցչին հանդիպեցի։
元	յուան; դրամական միավոր	Այս բառարանը հիսուն յուան արժե։
愿意	ցանկանալ; պատրաստ լինել	Ցանկանո՞ւմ եք մասնակցել։
月亮	լուսին	Այս գիշեր լուսինը պայծառ է։
越	որքան ավելի... այնքան ավելի...	Որքան ավելի շատ եմ չինարեն սովորում, այնքան ավելի հետաքրքիր է դառնում։
站	կայարան; կանգնել	Նա դռան մոտ կանգնած է։
张	հաշվիչ բառ հարթ առարկաների համար	Խնդրում եմ, ինձ մի քարտեզ տվեք։
长	աճել	Երեխաները արագ են աճում։
着急	անհանգստանալ; շտապել	Մի անհանգստացիր, վերելակը շուտով կգա։
照顾	խնամել; հոգ տանել	Նա խնամում է իր հիվանդ տատիկին։
照片	լուսանկար; նկար	Այս լուսանկարը լավ է երևում։
照相机	լուսանկարչական ապարատ	Ես լուսանկարչական ապարատով լուսանկարներ եմ անում։
283:只	միայն	Ես միայն մեկ բաժակ թեյ եմ խմում։
284:只	հաշվիչ բառ կենդանիների համար	Սեղանի տակ մեկ կատու կա։
只有…才…	միայն եթե... ապա...	Միայն ուշադիր կրկնելու դեպքում կարող ես քննությանը լավ արդյունք ստանալ։
中间	մեջտեղ; միջև	Սեղանը սենյակի մեջտեղում է։
中文	չինարեն; չինական գրություն	Ես ամեն օր չինարեն եմ սովորում։
终于	վերջապես	Մենք վերջապես հասանք։
种	տեսակ	Ի՞նչ տեսակի ըմպելիք ես սիրում։
重要	կարևոր	Անձնագիրը շատ կարևոր է։
周末	շաբաթավերջ	Շաբաթավերջին ուզում եմ այգի գնալ։
主要	գլխավոր; հիմնական	Նրա հիմնական հոբբին երաժշտությունն է։
注意	ուշադրություն դարձնել	Խնդրում եմ, ուշադրություն դարձրեք ուսուցչին։
自己	ինքն; սեփական անձ	Ես ուզում եմ տնային աշխատանքը ինքս անել։
自行车	հեծանիվ	Իմ հեծանիվը ներքևում է։
总是	միշտ	Նա միշտ շուտ է հասնում գրասենյակ։
嘴	բերան	Խնդրում եմ, բացեք բերանը։
最后	վերջին; վերջում	Վերջում մենք բոլորս համաձայնեցինք։
最近	վերջերս; այս օրերին	Վերջերս զբաղված եմ։
作业	տնային աշխատանք; աշխատանք	Ես դեռ չեմ ավարտել տնային աշխատանքը։
