simplified	SW	example_SW
拜访	kutembelea	Tutamtembelea mwalimu wikendi hii.
拜年	kutembelea kwa salamu za mwaka mpya	Wakati wa Sikukuu ya Majira ya Chipukizi, tunawatembelea babu na bibi kutoa salamu za mwaka mpya.
拜托	kuomba msaada; tafadhali	Nakutegemea katika jambo hili.
败坏	kuharibu; kuchafua	Tabia ya aina hii itachafua sifa ya kampuni.
斑	doa; baka	Kuna doa jeusi juu ya paka.
颁布	kutangaza; kutoa rasmi	Kanuni mpya zitatangazwa wiki ijayo.
颁发	kutoa; kutunuku	Shule iliwatunuku vyeti wanafunzi bora.
版本	toleo	Programu hii ina toleo jipya.
伴侣	mwenzi	Anamchukulia mbwa kama mwenzi wake.
伴随	kuambatana; kufuatana	Mafanikio mara nyingi huambatana na shinikizo.
半途而废	kukata tamaa njiani; kuacha katikati	Huwezi kuacha katikati unapofanya utafiti.
扮演	kuigiza; kucheza nafasi	Anaigiza daktari katika filamu.
榜样	mfano wa kuigwa	Wazazi ni mifano ya kuigwa kwa watoto.
绑架	kuteka nyara	Polisi walizuia tukio la utekaji nyara.
磅	pauni; mizani	Sanduku hili lina uzito wa pauni ishirini.
包庇	kuficha; kulinda kwa uovu	Hakuna mtu anayeruhusiwa kuficha uhalifu.
包袱	mzigo; kifurushi	Baada ya kuweka mzigo chini, alihisi amepumzika zaidi.
包围	kuzingira	Waandishi wa habari walimzunguka mwigizaji.
包装	ufungaji; pakiti	Ufungaji wa zawadi hii ni mzuri sana.
保管	kuhifadhi; kuhakikisha	Nyaraka hizi zimehifadhiwa kwangu.
保密	kutunza siri; siri	Yaliyomo kwenye mkutano lazima yabaki siri.
保姆	yaya; mlezi wa nyumbani	Waliajiri yaya.
保守	kihafidhina; kuhifadhi	Mawazo yake ni ya kihafidhina kiasi.
保卫	kutetea; kulinda	Wanajeshi wanalinda mpaka.
保养	kutunza; matengenezo	Gari hili linahitaji matengenezo ya kawaida.
保障	kuhakikisha; kulinda	Sheria inalinda haki za raia.
保重	jitunze	Tafadhali jitunze ukiwa mbali.
饱和	kujaa; kiwango cha kujaa	Soko hili tayari linakaribia kujaa.
饱经沧桑	kupitia mabadiliko na magumu mengi	Mzee huyu amepitia shida na mabadiliko mengi.
报酬	malipo; ujira	Alipata malipo yanayofaa.
报仇	kulipiza kisasi	Hataki kulipiza kisasi, anataka tu kuanza upya.
报答	kulipa fadhila	Nitalipa msaada wako kwa matendo yangu.
报复	kulipiza; kisasi	Kisasi kitaongeza tu mgogoro.
报警	kuripoti polisi; kupiga kengele	Baada ya kuona moto, unapaswa kuwaita polisi mara moja.
报销	kurudishiwa gharama	Gharama za safari zinaweza kurudishwa.
抱负	azma; matarajio makubwa	Tangu utotoni alikuwa na azma kubwa.
暴力	vurugu; ukatili	Tunapinga vurugu za aina yoyote.
暴露	kufichua; kuonekana wazi	Tatizo hili lilijitokeza polepole.
曝光	kufichuliwa; kufichua	Baada ya picha hii kufichuliwa, ilivuta umakini.
爆发	kulipuka; kuzuka	Volkano ililipuka ghafla.
爆炸	mlipuko; kulipuka	Mlipuko ulitokea maabara.
卑鄙	duni; ya kuchukiza	Mbinu hii ya kuchukiza inawakasirisha watu.
悲哀	huzuni; mwenye majonzi	Baada ya kusikia habari hiyo, alihisi huzuni sana.
悲惨	ya kusikitisha; ya maafa	Hicho kilikuwa kipindi cha kusikitisha katika historia.
北极	Ncha ya Kaskazini; Aktiki	Wanasayansi wanafanya utafiti katika Aktiki.
备份	nakala rudufu	Tafadhali tengeneza nakala rudufu za faili muhimu kwanza.
备忘录	kumbukumbu; memo	Aliandika mambo muhimu katika memo.
背叛	kusaliti	Hakuweza kukubali usaliti wa rafiki yake.
背诵	kukariri	Wanafunzi wanakariri matini.
被动	pasivu; hali ya kupokea tu	Hatuwezi kuwa pasivu sana katika mazungumzo.
被告	mshtakiwa	Mshtakiwa alikanusha mashtaka yote.
贝壳	gamba la bahari; kome	Mtoto aliokota magamba ya bahari ufukweni.
奔波	kukimbizana huku na huko	Anakimbizana kila mahali kwa ajili ya kazi.
奔驰	kukimbia kwa kasi; kwenda kwa kasi	Gari lilikimbia kwa kasi barabarani.
本能	silika	Kuwalinda watoto ni silika ya mzazi.
本钱	mtaji; mali	Kufanya biashara kunahitaji mtaji.
本人	mimi mwenyewe; yeye mwenyewe	Mimi mwenyewe niko tayari kubeba jukumu.
本身	yenyewe	Mpango wenyewe hauna tatizo.
本事	uwezo; ustadi	Ana uwezo mkubwa.
笨拙	isiyo na wepesi; buthara	Harakati zake hazina wepesi kidogo.
崩溃	kuporomoka; kuvunjika	Mfumo ulivurugika ghafla.
甭	si lazima	Si lazima uwe na wasiwasi kuhusu hili.
蹦	kurukaruka	Kijibwa kilirukaruka kwenye nyasi.
迸发	kufurika ghafla; kulipuka	Makofi yalilipuka kutoka kwa umati.
逼迫	kulazimisha	Walimlazimisha kusaini mkataba.
鼻涕	kamasi	Mtoto ana mafua na kamasi zinamtoka kila mara.
比方	mfano	Kwa mfano, tunaweza kujaribu kwa mwezi mmoja kwanza.
比喻	sitiari; tashbihi	Sitiari hii ni hai sana.
比重	uwiano; sehemu	Uwiano wa sekta ya huduma unazidi kuongezeka.
鄙视	kudharau	Usidharau juhudi za watu wengine.
弊病	kasoro; tatizo	Mfumo huu una kasoro kadhaa.
弊端	upungufu; madhara	Mpango mpya ulitatua upungufu wa mfumo wa zamani.
臂	mkono	Mkono wake wa kulia ulijeruhiwa.
闭塞	kutengwa; kufungwa	Usafiri katika kijiji hiki cha milimani zamani ulikuwa mgumu sana.
编织	kusuka; kufuma	Bibi anafuma sweta.
边疆	eneo la mpakani	Wanajeshi wengi hulinda eneo la mpakani la nchi.
边界	mpaka	Nchi hizo mbili zilichora upya mpaka.
边境	mpaka; eneo la mpaka	Maeneo ya mpakani yaliimarisha ukaguzi wa usalama.
边缘	ukingo	Kikombe kimewekwa kwenye ukingo wa meza.
鞭策	kuhamasisha; kuchochea	Maneno ya mwalimu yamenihamasisha daima.
扁	bapa; tambarare	Sanduku hili ni pana na bapa.
贬低	kudunisha; kudharau	Usidunishe juhudi za watu wengine kiholela.
贬义	maana ya kudhalilisha	Neno hili lina maana ya kudhalilisha hapa.
便利	rahisi; inayofaa	Metro hufanya safari kuwa rahisi zaidi.
便条	kikaratasi cha ujumbe; noti	Aliacha ujumbe kwenye meza.
便于	rahisi kwa; inayofaa kwa	Muundo huu ni rahisi kwa wazee kutumia.
变故	tukio lisilotarajiwa; msiba	Msiba usiotarajiwa ulitokea ghafla katika familia.
变迁	mabadiliko	Mabadiliko ya mji yalimfanya aguswe sana.
变质	kuharibika	Maziwa yataharibika yakikaa muda mrefu.
辨认	kutambua; kubaini	Polisi walimwomba amtambue mtu kwenye picha.
辩护	kutetea	Wakili alimtetea mshtakiwa.
辩解	kujitetea; kueleza	Alijaribu kujitetea kuhusu kosa lake.
辩证	kuchunguza; kidialektiki	Tunapaswa kulitazama tatizo hili kwa njia ya kidialektiki.
辫子	msuko; suka	Msichana mdogo ana misuko miwili.
遍布	kuenea kila mahali	Mmea huu unapatikana kote nchini.
标本	sampuli; kielelezo	Vielelezo vya wanyama vinaonyeshwa makumbusho.
标记	alama	Tafadhali weka alama kando ya aya muhimu.
标题	kichwa cha habari; anwani	Kichwa cha makala hii kinavutia sana.
表决	kupiga kura	Wawakilishi watapiga kura juu ya pendekezo.
表态	kueleza msimamo	Bado hajaeleza msimamo wake hadharani.
表彰	kupongeza; kutambua rasmi	Kampuni iliwapongeza wafanyakazi bora.
憋	kuzuia; kubana	Alizuia kicheko na hakusema chochote.
别墅	vila	Walinunua vila viungani mwa jiji.
别致	wa kipekee; tofauti	Mapambo ya kahawa hii ni ya kipekee sana.
别扭	isiyo ya kawaida; ya tabu	Sentensi hii inasikika ya tabu kidogo.
濒临	karibu na; ukingoni mwa	Mnyama huyu yuko karibu na kutoweka.
冰雹	mvua ya mawe	Jana alasiri kulikuwa na mvua kubwa ya mawe.
丙	ya tatu; herufi C	Mechi ya kundi C inaanza alasiri.
并非	si kweli kwamba	Mambo si kama unavyofikiria.
并列	sambamba; pamoja	Miradi hii miwili imefungana nafasi ya kwanza.
剥削	kunyonya; unyonyaji	Unyonyaji mkubwa ulikuwepo katika jamii ya zamani.
拨	kupiga namba; kutenga	Tafadhali piga namba hii ya simu.
播种	kupanda mbegu	Wakulima huanza kupanda mbegu wakati wa masika.
波浪	wimbi	Mawimbi makubwa yaliinuka baharini.
波涛	mawimbi makubwa	Mashua ilisonga mbele kupitia mawimbi makubwa.
伯母	shangazi	Nitamtembelea shangazi wikendi hii.
博大精深	pana na yenye kina	Utamaduni wa Kichina ni mpana na wenye kina.
博览会	maonyesho ya kimataifa	Maonyesho ya kimataifa yalivutia kampuni nyingi.
搏斗	kupambana; kugombana	Polisi walipambana na mhalifu.
薄弱	dhaifu	Msingi wake wa sarufi ni dhaifu kiasi.
不顾	bila kujali	Alikimbia ndani bila kujali hatari.
不愧	kustahili kuitwa	Kwa kweli anastahili kuitwa mtaalamu mwenye uzoefu.
不料	bila kutarajia	Bila kutarajia, mkutano ulifutwa ghafla.
不像话	haikubaliki; ya kushangaza	Haikubaliki kuwatendea wageni namna hii.
不屑一顾	kudharau kabisa	Aliyadharau kabisa uvumi huu.
哺乳	kunyonyesha	Mama anamnyonyesha mtoto.
捕捉	kukamata; kunasa	Mpiga picha alinasa wakati mzuri.
补偿	kufidia	Kampuni itakufidia hasara yako.
补救	kurekebisha; suluhisho	Bado tuna muda wa kurekebisha.
补贴	ruzuku; posho	Serikali hutoa ruzuku kwa familia zenye kipato kidogo.
不得已	bila njia nyingine; kulazimika	Aliondoka nyumbani kwa sababu hakuwa na njia nyingine.
不妨	afadhali; hakuna ubaya	Afadhali usikilize maelezo yake kwanza.
不敢当	sistahili sifa hizo	Kwa kweli sistahili sifa kama hizo kutoka kwako.
不禁	kushindwa kujizuia	Aliposikia habari hiyo, alishindwa kujizuia kucheka.
不堪	isiyovumilika	Kelele hapa hazivumiliki.
不可思议	isiyoaminika; isiyofikirika	Matokeo haya kwa kweli hayaaminiki.
不免	kuepukika; bila kuepuka	Akiwa jukwaani kwa mara ya kwanza, bila shaka alikuwa na woga kidogo.
不时	mara kwa mara	Aliinua macho kutazama saa mara kwa mara.
不惜	bila kusita	Ili kumwokoa mtu, hakusita kuhatarisha maisha.
不相上下	sawa kwa nguvu	Timu hizi mbili zina nguvu zinazokaribiana.
不言而喻	ni wazi; haina haja ya kusemwa	Umuhimu wa uaminifu ni wazi.
不由得	kushindwa kujizuia	Alipoona picha ya zamani, alishindwa kujizuia kukumbuka utoto.
不择手段	kwa njia yoyote; bila kuchagua mbinu	Anatumia njia yoyote kupata pesa.
不止	zaidi ya; si tu	Zaidi ya watu mia moja walihudhuria mkutano.
布告	tangazo; ilani	Tangazo lilibandikwa langoni mwa shule.
布局	mpangilio	Mpangilio wa nyumba hii ni mzuri sana.
布置	kupanga; kuandaa	Mwalimu alitoa kazi mpya ya nyumbani.
步伐	hatua; mwendo	Timu ilisonga mbele kwa hatua zilizopangwa.
部署	kupanga utekelezaji; kupeleka	Kampuni inapanga mpango mpya wa mauzo.
部位	sehemu; eneo	Daktari alikagua sehemu iliyojeruhiwa.
才干	uwezo; umahiri	Ana uwezo mkubwa katika usimamizi.
裁缝	mshonaji	Mshonaji huyu ana ustadi mkubwa.
裁判	mwamuzi; kuhukumu	Mwamuzi alitangaza kuwa mechi imesitishwa.
裁员	kupunguza wafanyakazi	Kampuni iliamua kupunguza wafanyakazi kwa sababu ya hasara.
财富	utajiri	Maarifa pia ni aina ya utajiri.
财务	fedha; mambo ya fedha	Idara ya fedha inakagua hesabu.
财政	fedha za serikali; kifedha	Mapato ya serikali yameongezeka kiasi mwaka huu.
彩票	tiketi ya bahati nasibu	Mara kwa mara hununua tiketi ya bahati nasibu.
采购	kununua; manunuzi	Kampuni ilimtuma mtu kununua vifaa.
采集	kukusanya	Watafiti walikusanya sampuli msituni.
采纳	kukubali; kupitisha	Kiongozi alikubali pendekezo letu.
参谋	mshauri; kutoa ushauri	Mara nyingi humshauri meneja.
参照	kurejelea; kufuata mfano	Tafadhali jaza fomu kwa kufuata muundo huu.
残疾	ulemavu; mwenye ulemavu	Kituo hiki hutoa msaada kwa abiria wenye ulemavu.
残酷	katili; ukatili	Vita ni vya kikatili sana.
残留	kubaki; mabaki	Harufu ya kahawa bado imebaki kikombeni.
残忍	katili; bila huruma	Kuwatesa wanyama ni tabia ya kikatili.
灿烂	angavu; mzuri sana	Alionyesha tabasamu angavu.
仓促	kwa haraka; pupa	Uamuzi huu ulifanywa kwa haraka sana.
仓库	ghala	Bidhaa tayari zimefikishwa ghalani.
舱	kabini; sehemu ya ndani ya ndege au meli	Abiria wanaingia kwenye kabini.
苍白	paupe; rangi imepotea	Uso wake ulionekana paupe sana.
操劳	kufanya kazi kwa bidii; kuhangaika	Mama alihangaika kwa ajili ya familia hii kwa miaka mingi.
操练	mazoezi; kufanya mazoezi ya nidhamu	Wanajeshi hufanya mazoezi kila asubuhi.
操纵	kuendesha; kudhibiti; kupanga kwa hila	Mashine hii inadhibitiwa na kompyuta.
操作	kuendesha; kutumia; kushughulikia	Tafadhali tumia kifaa kulingana na maelekezo.
嘈杂	kelele nyingi; yenye makelele	Kituoni kuna kelele nyingi sana.
草案	rasimu	Kamati inajadili rasimu hiyo.
草率	zembe; bila uangalifu	Uamuzi muhimu kama huu hauwezi kufanywa kwa uzembe.
侧面	upande; mtazamo	Kutoka upande wa pembeni, jengo hili linaonekana refu zaidi.
测量	kupima; kufanya kipimo	Mhandisi anapima urefu wa daraja.
策划	kupanga; kuratibu	Walipanga tukio kubwa.
策略	mkakati	Mkakati huu uliisaidia kampuni kupunguza gharama.
层出不穷	kujitokeza mfululizo; kutoisha	Matatizo mapya yanaendelea kujitokeza moja baada ya jingine.
层次	kiwango; mpangilio	Muundo wa makala hii uko wazi sana.
差别	tofauti	Hakuna tofauti kubwa kati ya mbinu hizi mbili.
插座	soketi; sehemu ya kuchomeka umeme	Chumba hiki hakina soketi za kutosha.
查获	kukamata baada ya uchunguzi	Forodha ilikamata kundi la bidhaa bandia.
刹那	ghafla; muda mfupi sana	Ghafla taa zote zilizimika.
岔	njia panda; tawi	Magari yalitawanyika kwenye makutano yaliyo mbele.
诧异	kushangaa; mshangao	Uamuzi wake uliwashangaza wote.
柴油	dizeli	Lori hili hutumia dizeli.
搀	kumshika mkono kumsaidia; kuchanganya	Muuguzi alimshika mzee mkono na kumpeleka wodini.
缠绕	kujizungusha; kuzunguka	Mizabibu ilijizungusha kwenye matawi.
馋	tamani chakula; kuwa na hamu ya chakula	Alipoona keki, mtoto alitamani kuila.
产业	sekta; tasnia	Utalii ni sekta muhimu hapa.
阐述	kueleza kwa kina	Profesa alieleza mtazamo wake kwa kina.
颤抖	kutetemeka	Alikuwa na baridi kiasi kwamba mwili wote ulitetemeka.
昌盛	kustawi; ufanisi	Tunatumaini nchi itastawi na kuwa na ufanisi.
偿还	kulipa deni; kurejesha	Alilipa mkopo kwa wakati.
尝试	kujaribu	Tunaweza kujaribu mbinu mpya.
场合	hafla; mazingira	Hafla ya aina hii haifai kwa kufanya mzaha.
场面	mandhari; tukio	Sherehe ya harusi ilikuwa na shamrashamra nyingi.
场所	mahali; sehemu	Hapa ni mahali pa umma, tafadhali usivute sigara.
敞开	kufungua wazi	Tafadhali acha dirisha likiwa wazi kwa muda.
倡导	kupendekeza; kuhamasisha	Shule inahamasisha mtindo wa maisha wenye afya.
倡议	mpango; pendekezo	Mpango huu wa mazingira ulipata uungwaji mkono.
畅通	bila kizuizi; kupitika vizuri	Baada ya mvua kusimama, barabara ilipitika vizuri tena.
畅销	kuuzwa sana	Riwaya hii inauzwa sana.
超越	kupita; kuzidi	Hatimaye alivunja rekodi yake mwenyewe.
钞票	noti; pesa za karatasi	Zilibaki noti chache tu kwenye pochi.
嘲笑	kumcheka; kudhihaki	Usicheke mapungufu ya watu wengine.
巢穴	pango; kiota; maficho	Mwindaji aligundua pango la mnyama.
朝代	nasaba ya kifalme; enzi	Nasaba ya Tang ni nasaba katika historia ya China.
潮流	mtindo; mkondo	Vijana hufuatilia sana mitindo ya mavazi.
撤退	kurudi nyuma; kujiondoa	Vikosi vilirudi nyuma baada ya kupokea amri.
撤销	kufuta; kubatilisha	Mahakama ilibatilisha hukumu ya awali.
沉淀	kutulia chini; mashapo	Mchanga laini utatulia chini polepole.
沉闷	nzito; yenye kubana; ya huzuni	Hali ya hewa leo ni ya joto na kubana.
沉思	kutafakari kwa kina	Alikaa kando ya dirisha akitafakari kwa kina.
沉重	nzito; ya kuhuzunisha	Habari hii iliwafanya wote wahisi uzito moyoni.
沉着	tulivu; bila woga	Baki mtulivu unapokabili hatari.
陈旧	kizamani	Mashine hii tayari ni ya kizamani sana.
陈列	kuonyesha; kuweka maonyesho	Vitu vingi vya urithi vinaonyeshwa kwenye ukumbi wa maonyesho.
陈述	kueleza; kutoa maelezo	Tafadhali eleza ukweli kwa uwazi.
称心如意	kuridhisha kabisa; kama unavyotaka	Kazi hii inamridhisha sana.
衬托	kufanya kitu king'ae zaidi; kuonyesha uzuri	Ukuta mweupe unaonyesha vizuri rangi ya maua.
称号	cheo; jina la heshima	Alipata cheo cha mwalimu bora.
乘	kupanda; kutumia	Kila siku napanda metro kwenda kazini.
呈现	kuonekana; kuonyesha	Anga lilionekana kuwa na rangi nyekundu hafifu.
城堡	kasri	Juu ya mlima kuna kasri la zamani.
惩罚	adhabu; kuadhibu	Shule itawaadhibu wanafunzi wanaodanganya.
成本	gharama	Kupanda kwa bei ya malighafi kuliongeza gharama.
成交	kufikia makubaliano; kukamilisha biashara	Biashara hii hatimaye ilikamilika.
成天	siku nzima; kila wakati	Yeye hukaa mbele ya kompyuta siku nzima.
成效	matokeo; athari	Mbinu mpya ya usimamizi ilionyesha matokeo haraka.
成心	kwa makusudi	Hakukufanya uone aibu kwa makusudi.
成员	mwanachama; mshiriki	Kila mshiriki lazima ahudhurie mkutano.
承办	kusimamia; kuandaa	Kampuni hii iliandaa maonyesho hayo.
承包	kuchukua kandarasi; kupewa kazi	Walichukua kandarasi ya mradi huu.
承诺	ahadi; kuahidi	Aliahidi kumaliza kazi kwa wakati.
橙	chungwa; rangi ya machungwa	Nilinunua machungwa kadhaa mapya.
澄清	kufafanua; kuwa wazi	Meneja alijitokeza kufafanua kutokuelewana.
盛	kubeba; kutia kwenye chombo; kuchota	Alimchotea mgeni bakuli la supu.
诚挚	dhati; ya moyo	Tafadhali pokea shukrani zangu za dhati.
秤	mizani	Mizani hii si sahihi sana.
吃苦	kuvumilia shida	Vijana wanapaswa kujifunza kuvumilia shida.
吃力	kuchosha; kuhitaji juhudi	Kuhamisha sanduku hili kunahitaji juhudi nyingi.
持久	kudumu; endelevu	Mafanikio yanahitaji juhudi endelevu.
迟钝	kuzubaa; kuwa mzito kuelewa	Mwitikio wake umekuwa mzito kidogo hivi karibuni.
迟缓	polepole; kusuasua	Trafiki ilianza kusuasua baada ya mvua.
迟疑	kusita	Alisita kwa muda kabla ya kujibu.
赤道	ikweta	Karibu na ikweta kuna joto mwaka mzima.
赤字	nakisi	Kampuni ilipata nakisi mwaka huu.
充当	kutumikia kama; kuchukua nafasi	Alikuwa mratibu katika mradi huo.
充沛	tele; yenye nguvu	Watoto wamejaa nguvu.
充实	kuridhisha; tajiri kwa uzoefu	Uzoefu huu uliufanya maisha yangu yawe ya kuridhisha zaidi.
充足	kutosha; tele	Andaa maji ya kutosha kabla ya safari.
冲动	msukumo; pupa	Usifanye uamuzi kwa msukumo wa ghafla.
冲击	athari kubwa; mshtuko	Teknolojia mpya imeathiri sekta za jadi.
冲突	mgogoro; mzozo	Pande zote mbili zilijaribu kuepuka mgogoro.
崇拜	kumvutia sana; kuabudu	Vijana wengi humvutia mwanasayansi huyu.
崇高	tukufu; adhimu	Wajibu wa daktari ni wa kutukuka.
崇敬	kuheshimu sana	Wanafunzi wote wanamheshimu sana mwalimu huyu.
重叠	kuingiliana	Kazi hizi mbili zinaingiliana kwa sehemu.
稠密	mnene; songamano	Idadi ya watu hapa ni kubwa na songamano.
筹备	maandalizi; kuandaa	Wanajiandaa kwa ajili ya harusi.
丑恶	mbaya; chafu	Alifichua ukweli mbaya nyuma ya tukio hilo.
出路	njia ya kutoka; mustakabali	Elimu inaweza kuwapa vijana njia zaidi za kusonga mbele.
出卖	kuuza; kumsaliti	Hangewasaliti marafiki zake.
出身	asili ya familia	Anatoka katika familia ya kawaida.
出神	kuzama mawazoni; kushikwa kabisa	Alizama kabisa katika kusikiliza muziki.
出息	matarajio; mustakabali mzuri	Mtoto huyu atakuwa na mustakabali mzuri.
初步	awali; ya mwanzo	Tumefikia makubaliano ya awali.
除	kuondoa; isipokuwa	Wote wamefika isipokuwa yeye.
储备	akiba; kuweka akiba	Kampuni inahitaji kuweka fedha zaidi akiba.
储存	kuhifadhi	Data hizi zitahifadhiwa kiotomatiki.
储蓄	kuweka akiba; akiba	Huweka akiba sehemu ya mshahara wake kila mwezi.
处分	adhabu ya kinidhamu; kuadhibu	Shule ilimpa adhabu kali ya kinidhamu.
处境	hali ngumu; mazingira mabaya	Hali yao ya sasa ni ngumu sana.
处置	kushughulikia; kutatua	Kifaa hiki cha zamani kinahitaji kushughulikiwa ipasavyo.
触犯	kukiuka; kuvunja sheria	Kufanya hivi kutakiuka sheria.
川流不息	kuendelea bila kukoma	Magari barabarani yanaendelea kupita bila kukoma.
穿越	kuvuka; kupita kwenye	Treni ilipita kwenye handaki refu.
传达	kufikisha; kuwasilisha	Tafadhali fikisha ujumbe huu kwa kila mtu.
传单	kipeperushi	Wajitoleaji waligawa vipeperushi mtaani.
传授	kufundisha; kupitisha maarifa	Mwalimu aliwapa wanafunzi uzoefu.
船舶	meli; vyombo vya majini	Meli nyingi zimetia nanga bandarini.
喘气	kupumua kwa shida; kuhema	Baada ya kukimbia, aliendelea kuhema.
串	kufunga kwa mstari; kuunganisha	Alizifunga shanga kuwa mkufu.
床单	shuka	Tafadhali badilisha shuka.
创立	kuanzisha	Walianzisha kampuni hii pamoja.
创新	ubunifu; kubuni	Ukuaji wa biashara unahitaji ubunifu wa kudumu.
创业	kuanzisha biashara	Vijana wengi huchagua kuanzisha biashara.
创作	kubuni; kutunga	Mwandishi anatunga riwaya ndefu.
吹牛	kujigamba	Usijigambe, onyesha ushahidi.
吹捧	kusifia kupita kiasi	Vyombo vya habari vilisifia bidhaa hii kupita kiasi.
炊烟	moshi wa kupikia	Jioni moshi wa kupikia ulipanda kutoka kijijini.
垂直	wima; yenye pembe ya nyuzi tisini	Mistari hii miwili iko wima kwa kila mmoja.
锤	nyundo; kugonga	Fundi aligonga bamba la chuma kwa nyundo.
纯粹	kabisa; safi	Msaada wake ulikuwa wa nia njema kabisa.
纯洁	safi; asiye na doa	Moyo wa mtoto ni safi sana.
慈善	hisani; ya kusaidia wahitaji	Kampuni hii mara nyingi hushiriki shughuli za hisani.
慈祥	mwenye upole; mwenye huruma	Tabasamu la bibi ni la upole sana.
磁带	kanda ya kaseti	Kanda hii ya zamani bado inaweza kuchezwa.
雌雄	jike na dume	Dume na jike wa ndege huyu wana rangi tofauti.
伺候	kuhudumia	Muuguzi alimhudumia mgonjwa kwa uangalifu.
刺	mwiba; kuchoma	Kwenye tawi la waridi kuna miiba mingi.
次品	bidhaa zenye kasoro	Bidhaa hizi zenye kasoro haziwezi kuuzwa.
次序	mpangilio; utaratibu	Tafadhali pangeni foleni kwa utaratibu.
丛	kichaka; kundi	Kando ya barabara kuna kichaka cha maua ya porini.
从容	utulivu; bila haraka	Alijibu swali kwa utulivu.
凑合	kutosha kwa shida; kujikimu	Chumba si kikubwa, lakini kinatosha kuishi.
粗鲁	mkali; asiye na adabu	Anaongea kwa ukali mno.
窜	kukimbilia; kuchupa	Paka huyo ghafla alichupa kuingia chumbani.
摧残	kuharibu vibaya; kuangamiza	Uchafuzi wa muda mrefu utaharibu msitu huu vibaya.
脆弱	dhaifu; rahisi kuvunjika	Bidhaa za kioo ni dhaifu sana.
搓	kusugua; kufikicha	Alisugua mikono yake iliyokuwa na baridi.
磋商	mashauriano; kujadiliana	Pande zote mbili zitaendelea na mashauriano.
挫折	kikwazo; kushindwa kwa muda	Kila mtu hukutana na vikwazo.
搭	kupanda; kujenga; kutundika	Tunapanda basi kwenda uwanja wa ndege.
搭档	mshirika; mwenzangu wa kazi	Amekuwa mshirika wangu wa kazi kwa miaka mingi.
搭配	kulingana; kuoanisha	Jaketi hili na suruali hii vinaendana vizuri.
答辩	utetezi; kujibu	Mwanafunzi wa shahada ya juu anajiandaa kwa utetezi wa tasnifu.
答复	jibu; kujibu	Tafadhali nipe jibu haraka iwezekanavyo.
达成	kufikia; kutimiza	Pande hizo mbili hatimaye zilifikia makubaliano.
打包	kufungasha; kupakia	Mhudumu alitufungashia chakula kilichobaki.
打官司	kufungua kesi; kwenda mahakamani	Walienda mahakamani kwa suala la mkataba.
打击	pigo; kushambulia	Kushindwa huku kulikuwa pigo kubwa kwake.
打架	kupigana	Wanafunzi wanaopigana shuleni wataadhibiwa.
打量	kumkagua; kumtazama kwa makini	Alinitazama juu chini.
打猎	kuwinda	Uwindaji umepigwa marufuku hapa.
打仗	kupigana vita	Hakuna mtu anayetaka kwenda vitani.
大不了	mbaya zaidi; si jambo kubwa	Mbaya zaidi, tutajaribu tena kesho.
大臣	waziri	Mfalme aliwaita mawaziri kadhaa.
大伙儿	kila mtu; wote	Kila mtu anasubiri uamuzi wako.
大肆	kwa wingi; bila kizuizi	Mfanyabiashara alitangaza bidhaa mpya kwa wingi.
