source_headword	FR	example_FR
spy	l'espion	L'espion a envoyé des messages codés.
squad	l'équipe	L'équipe de secours est arrivée rapidement.
squeeze	serrer	Serrez doucement la poignée.
stab	poignarder	Le rapport a décrit une blessure à l'arme blanche.
stability	la stabilité	La politique a apporté la stabilité.
stabilize	stabiliser	Le médicament a aidé à le stabiliser.
stake	l'enjeu	Les investisseurs ont une part ici.
standing	le statut	Son statut dans le parti a augmenté.
stark	saisissant	Les résultats ont montré un contraste saisissant.
statistical	statistique	L'étude a utilisé des méthodes statistiques.
steer	orienter	Il a essayé d'orienter le débat.
stem	la tige	La tige s'est cassée pendant la tempête.
stereotype	le stéréotype	Le film a remis en question un stéréotype.
stimulus	la relance	Le plan a fourni une relance économique.
stir	remuer	Remuez la sauce lentement.
storage	le stockage	L'installation offre un stockage sécurisé.
straightforward	simple	Les instructions étaient simples.
strain	la tension	Le long retard a causé des tensions.
strand	la mèche	Une mèche de cheveux est tombée.
strategic	stratégique	L'entreprise a fait un investissement stratégique.
strip (long narrow piece)	la bande	Coupez une bande étroite de papier.
strip (remove clothes/a layer)	décaper	Décapez soigneusement la vieille peinture.
strive	s'efforcer	Ils s'efforcent d'atteindre l'excellence.
structural	structurel	Le pont a des dommages structurels.
stumble	trébucher	Il a trébuché dans les escaliers.
stun	stupéfier	Les nouvelles peuvent stupéfier les gens.
submission	la soumission	La date limite de soumission est dépassée.
subscriber	l'abonné	Chaque abonné reçoit des mises à jour.
subscription	l'abonnement	L'abonnement se renouvelle automatiquement.
subsidy	la subvention	La subvention a réduit les coûts du carburant.
substantial	important	Le projet nécessite un financement important.
substantially	considérablement	Le prix a considérablement augmenté.
substitute	le substitut	Utilisez du lait comme substitut.
substitution	la substitution	La substitution a changé la recette.
subtle	subtil	La peinture a des détails subtils.
suburban	de banlieue	Ils ont déménagé dans une zone de banlieue.
succession	la succession	La crise a suivi une succession d'échecs.
successive	successif	Les gouvernements successifs ont ignoré le problème.
successor	le successeur	Le successeur commencera lundi.
suck	aspirer	La machine peut aspirer la poussière.
sue	poursuivre en justice	Elle a décidé de poursuivre l'entreprise en justice.
suicide	le suicide	La prévention du suicide a besoin d'un financement durable.
suite	la suite	La suite de l'hôtel donnait sur la rivière.
summit	le sommet	Les dirigeants se sont réunis au sommet.
superb	superbe	La performance était superbe.
superior	supérieur	Le nouveau modèle est supérieur.
supervise	superviser	Elle va superviser les stagiaires.
supervision	la supervision	Les enfants ont besoin de la surveillance d'un adulte.
supervisor	le responsable	Demandez d'abord à votre responsable.
supplement	le supplément	Le rapport comprend un supplément.
supportive	d'un grand soutien	Sa famille l'a beaucoup soutenue.
supposedly	prétendument	Le fichier a été prétendument supprimé.
suppress	réprimer	Le régime a essayé de réprimer les manifestations.
supreme	suprême	La cour suprême a entendu l'affaire.
surge	la surtension	Une surtension soudaine a endommagé l'équipement.
surgical	chirurgical	Le patient a besoin d'un traitement chirurgical.
surplus	l'excédent	L'entrepôt a un excédent.
surrender	se rendre	Les soldats ont accepté de se rendre.
surveillance	la surveillance	Les caméras de surveillance ont filmé l'entrée.
suspension	la suspension	La suspension a duré deux semaines.
suspicion	le soupçon	Son comportement a éveillé les soupçons.
suspicious	suspect	Le paquet avait l'air suspect.
sustain	maintenir	Le projet peut maintenir les emplois locaux.
swing	se balancer	La porte a commencé à se balancer.
sword	l'épée	L'épée était accrochée au mur.
symbolic	symbolique	Le geste était symbolique.
syndrome	le syndrome	Le syndrome affecte la mémoire.
synthesis	la synthèse	Le chapitre offre une synthèse.
systematic	systématique	L'examen était systématique.
tactic	la tactique	La tactique a rapidement échoué.
tactical	tactique	L'équipe a fait un changement tactique.
taxpayer	le contribuable	L'argent des contribuables a financé le pont.
tempt	tenter	L'offre pourrait tenter les investisseurs.
tenant	le locataire	Le locataire a payé le loyer en avance.
tender	tendre	Elle a fait un sourire tendre.
tenure	le mandat	Son mandat a duré six ans.
terminal	terminal	Le patient avait une maladie en phase terminale.
terminate	résilier	L'entreprise peut résilier le contrat.
terrain	le terrain	Le terrain était difficile.
terrific	formidable	La vue était formidable.
testify	témoigner	Elle a accepté de témoigner.
testimony	le témoignage	Son témoignage était détaillé.
texture	la texture	Le tissu a une texture rugueuse.
thankfully	heureusement	Heureusement, personne n'a été blessé.
theatrical	théâtral	Le discours semblait théâtral.
theology	la théologie	Il a étudié la théologie à l'université.
theoretical	théorique	Le modèle est purement théorique.
thereafter	par la suite	Par la suite, les règles ont changé.
thereby	ainsi	Le changement a réduit les coûts, sauvant ainsi des emplois.
thoughtful	réfléchi	Sa réponse était réfléchie.
thought-provoking	qui fait réfléchir	L'article incitait à la réflexion.
thread	le fil	Le fil s'est cassé facilement.
threshold	le seuil	Le vote a franchi le seuil.
thrilled	ravi	Elle était ravie par la nouvelle.
thrive	prospérer	Les petites entreprises peuvent prospérer ici.
tide	la marée	La marée est montée rapidement.
tighten	serrer	Serrez fermement le couvercle.
timber	le bois	La maison utilise du bois local.
timely	opportun	L'avertissement était opportun.
tobacco	le tabac	Les ventes de tabac ont diminué.
tolerance	la tolérance	La politique encourage la tolérance.
tolerate	tolérer	Nous ne pouvons pas tolérer les abus.
toll	le lourd tribut	La tempête a prélevé un lourd tribut.
top	dépasser	Les ventes pourraient dépasser le record de l'année dernière.
torture	la torture	Le traité interdit absolument la torture.
