hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
3656:编写	编写	编写	elaborar; redigir	A professora elaborou uma série de exercícios.	elaborar; redactar	La maestra elaboró una serie de ejercicios.
3657:遍地	遍地	遍地	por toda parte	Na primavera, há flores por toda parte no parque.	por todas partes	En primavera, hay flores por todas partes en el parque.
3658:便捷	便捷	便捷	prático; conveniente	Este método de pagamento é muito prático.	práctico; conveniente	Este método de pago es muy práctico.
3660:兵	兵	兵	soldado	Este soldado serve na fronteira.	soldado	Este soldado sirve en la frontera.
3662:播	播	播	transmitir; exibir	A emissora vai transmitir este documentário hoje à noite.	transmitir; poner	El canal transmitirá este documental esta noche.
3670:不适	不适	不适	mal-estar; indisposição	Depois de tomar o remédio, ele sentiu mal-estar.	malestar; indisposición	Después de tomar la medicina, sintió malestar.
3671:不至于	不至于	不至于	não chegar a; não a ponto de	Esse pequeno erro não deve afetar o resultado.	no llegar a; no ser para tanto	Ese pequeño error no debería afectar el resultado.
3672:补	补	补	complementar; consertar	Este relatório ainda precisa de alguns dados a mais.	complementar; remendar	Este informe todavía necesita agregar algunos datos.
3673:捕	捕	捕	capturar; prender	A polícia capturou o suspeito rapidamente.	capturar; detener	La policía capturó rápidamente al sospechoso.
3675:补课	补课	补课	repor aulas	Depois de ficar doente, ele precisa repor aulas.	recuperar clases	Después de enfermarse, necesita recuperar clases.
3677:补习	补习	补习	fazer reforço; ter aulas extras	Ela faz reforço de matemática nos fins de semana.	tomar clases de refuerzo	Ella toma clases de refuerzo de matemáticas los fines de semana.
3680:不曾	不曾	不曾	nunca; nem uma vez	Nunca ouvi falar desse assunto.	nunca; jamás	Jamás he oído hablar de este asunto.
3681:不成	不成	不成	não dar certo; falhar	Tenho medo de que fazer assim não dê certo.	no funcionar; fracasar	Temo que hacerlo así no funcione.
3682:不得	不得	不得	não poder; ser proibido	É proibido fumar em lugares públicos.	no se permite; no debe	No se permite fumar en lugares públicos.
3683:部队	部队	部队	tropas; unidade militar	Esta unidade militar está treinando nas montanhas.	tropas; unidad militar	Esta unidad militar está entrenando en las montañas.
3687:不许	不许	不许	não permitir; ser proibido	Não é permitido estacionar aqui.	no permitir; estar prohibido	Está prohibido estacionarse aquí.
3688:不宜	不宜	不宜	não ser adequado; não ser aconselhável	Não é aconselhável se exercitar logo depois de comer.	no ser adecuado; no ser aconsejable	No es aconsejable hacer ejercicio justo después de comer.
3689:不已	不已	不已	sem parar; extremamente	Ao ouvir a boa notícia, todos ficaram extremamente animados.	sin cesar; sumamente	Al escuchar la buena noticia, todos se emocionaron muchísimo.
3693:猜测	猜测	猜测	adivinhar; especular	Ele só está especulando e ainda não tem provas.	adivinar; especular	Solo está especulando y todavía no tiene pruebas.
3696:才华	才华	才华	talento; dom	Ela tem muito talento para música.	talento; don	Ella tiene mucho talento para la música.
3697:才能	才能	才能	capacidade; talento	Este projeto exige capacidade de gestão.	capacidad; talento	Este proyecto requiere capacidad de gestión.
3699:财物	财物	财物	bens; pertences	Cuide bem dos seus pertences pessoais.	bienes; pertenencias	Cuida bien tus pertenencias personales.
3700:材质	材质	材质	material; textura	O material desta roupa é muito confortável.	material; textura	El material de esta prenda es muy cómodo.
3707:参展	参展	参展	participar de uma exposição; expor	A empresa participa de uma exposição pela primeira vez este ano.	participar en una exposición; exponer	La empresa participa en una exposición por primera vez este año.
3710:草原	草原	草原	pradaria; estepe	A pradaria é muito bonita no verão.	pradera; pastizal	La pradera es muy hermosa en verano.
3711:侧	侧	侧	lado	Ele ficou do lado esquerdo da estrada.	lado	Se paró del lado izquierdo del camino.
3716:层面	层面	层面	nível; aspecto	Esse problema precisa ser analisado do ponto de vista legal.	nivel; aspecto	Este problema debe analizarse desde el punto de vista legal.
3717:叉	叉	叉	garfo	O garçom me deu um garfo.	tenedor	El mesero me dio un tenedor.
3718:差异	差异	差异	diferença; disparidade	Há uma grande diferença entre o clima do norte e do sul.	diferencia; disparidad	Hay una gran diferencia entre el clima del norte y del sur.
3720:查询	查询	查询	consultar; pesquisar	Você pode consultar as informações do voo pela internet.	consultar; buscar	Puedes consultar la información del vuelo en internet.
3721:拆除	拆除	拆除	demolir; remover	Esta ponte velha será demolida no mês que vem.	demoler; retirar	Este puente viejo será demolido el próximo mes.
3722:产出	产出	产出	produzir; gerar	Esta terra produz muitos grãos todos os anos.	producir; generar	Esta tierra produce muchos granos cada año.
3723:产地	产地	产地	origem; área de produção	A origem deste chá fica em Yunnan.	lugar de origen; zona de producción	El lugar de origen de este té está en Yunnan.
3724:肠	肠	肠	intestino	O médico examinou o intestino dele.	intestino	El doctor le revisó el intestino.
3725:长短	长短	长短	comprimento; diferença de comprimento	Estas duas cordas têm comprimentos diferentes.	longitud; diferencia de largo	Estas dos cuerdas tienen distinta longitud.
3726:常规	常规	常规	rotina; convencional	Este é um exame de rotina no hospital.	rutina; convencional	Este es un examen de rutina en el hospital.
3727:常年	常年	常年	o ano todo; durante todo o ano	O clima aqui é ameno o ano todo.	todo el año; durante todo el año	Aquí el clima es templado todo el año.
3728:长寿	长寿	长寿	longevidade; vida longa	Hábitos saudáveis ajudam na longevidade.	longevidad; vida larga	Los hábitos saludables ayudan a la longevidad.
3729:常温	常温	常温	temperatura ambiente	Este remédio pode ser guardado em temperatura ambiente.	temperatura ambiente	Esta medicina puede guardarse a temperatura ambiente.
3730:场次	场次	场次	sessão; horário de apresentação	A apresentação de hoje tem três sessões.	función; horario de presentación	La presentación de hoy tiene tres funciones.
3731:场地	场地	场地	local; espaço	A escola forneceu o local da competição.	lugar; sede	La escuela proporcionó la sede de la competencia.
3732:场馆	场馆	场馆	espaço; estádio	O novo espaço comporta vinte mil pessoas.	recinto; estadio	El nuevo recinto puede recibir a veinte mil personas.
3734:厂家	厂家	厂家	fabricante; fábrica	Este fabricante oferece serviço pós-venda.	fabricante; fábrica	Este fabricante ofrece servicio posventa.
3735:场景	场景	场景	cena; cenário	Esta cena do filme é muito emocionante.	escena; escenario	Esta escena de la película es muy conmovedora.
3737:厂商	厂商	厂商	fabricante; fornecedor	Vários fornecedores participaram do lançamento.	fabricante; proveedor	Varios proveedores asistieron al lanzamiento.
3746:炒股	炒股	炒股	investir em ações; negociar ações	Ele começou recentemente a aprender a investir em ações.	invertir en acciones; operar acciones	Hace poco empezó a aprender a invertir en acciones.
3748:撤回	撤回	撤回	retirar; revogar	A empresa retirou esta solicitação.	retirar; retractar	La empresa retiró esta solicitud.
3752:撑	撑	撑	sustentar; abrir	Este guarda-chuva não abre mais.	sostener; abrir	Este paraguas ya no abre.
3755:称作	称作	称作	chamar de; ser chamado de	As pessoas chamam este lugar de jardim da cidade.	llamar; ser llamado	La gente llama a este lugar el jardín de la ciudad.
3756:成	成	成	décimo; proporção	A renda aumentou trinta por cento este ano.	décima parte; proporción	Los ingresos aumentaron un treinta por ciento este año.
3763:成千上万	成千上万	成千上万	milhares e milhares	Milhares e milhares de pessoas participaram da marcha.	miles y miles	Miles y miles de personas participaron en la marcha.
3766:诚信	诚信	诚信	integridade; honestidade	O mais importante nos negócios é a integridade.	integridad; honestidad	Lo más importante al hacer negocios es la integridad.
3768:城镇	城镇	城镇	cidade pequena; povoado urbano	Esta cidade fica perto do mar.	pueblo; localidad urbana	Este pueblo está cerca del mar.
3770:持有	持有	持有	possuir; deter	Ele possui ações desta empresa.	poseer; tener	Él posee acciones de esta empresa.
3771:尺	尺	尺	chi; pé chinês	Este tecido mede três chi.	chi; pie chino	Esta tela mide tres chi.
3772:尺寸	尺寸	尺寸	tamanho; dimensões	Por favor, confirme as dimensões da caixa.	tamaño; dimensiones	Por favor, confirma las dimensiones de la caja.
3778:重建	重建	重建	reconstruir	Depois do terremoto, o vilarejo começou a ser reconstruído.	reconstruir	Después del terremoto, el pueblo comenzó a reconstruirse.
3780:抽奖	抽奖	抽奖	sorteio	Quem compra ingresso pode participar do sorteio.	sorteo; rifa	Las personas que compren boleto pueden participar en el sorteo.
3782:愁	愁	愁	preocupar-se; ficar aflito	Ele está preocupado com o trabalho.	preocuparse; angustiarse	Está preocupado por asuntos del trabajo.
3785:出场	出场	出场	entrar em cena; aparecer	O protagonista entrou em cena por último.	salir a escena; aparecer	El protagonista salió a escena al final.
3786:初等	初等	初等	elementar; básico	Este livro apresenta matemática elementar.	elemental; básico	Este libro presenta matemáticas elementales.
3787:出境	出境	出境	sair do país; cruzar a fronteira para fora	É preciso passaporte para fazer os procedimentos de saída do país.	salir del país; cruzar la frontera hacia afuera	Se necesita pasaporte para hacer los trámites de salida del país.
3788:出力	出力	出力	contribuir; fazer força	Todos estão dispostos a contribuir para este projeto.	aportar esfuerzo; colaborar	Todos están dispuestos a colaborar en este proyecto.
3789:出名	出名	出名	famoso; conhecido	Esta pequena loja é famosa pelo pão.	famoso; conocido	Esta pequeña tienda es conocida por su pan.
3790:出入	出入	出入	entrada e saída; acesso	Para entrar e sair do condomínio, é preciso passar o cartão.	entrada y salida; acceso	Para entrar y salir del conjunto residencial, hay que pasar la tarjeta.
3792:出游	出游	出游	viajar; sair para passear	Muitas famílias escolhem viajar no feriado.	salir de viaje; pasear	Muchas familias eligen salir de viaje durante las vacaciones.
3793:出于	出于	出于	por; por causa de	Ele cancelou o plano por questões de segurança.	por; debido a	Canceló el plan por motivos de seguridad.
3797:处罚	处罚	处罚	punir; penalidade	Estacionar irregularmente será punido.	castigar; sanción	Estacionarse de forma ilegal será sancionado.
3799:处处	处处	处处	em toda parte; por todos os lados	Há árvores verdes por toda parte nesta cidade.	por todas partes; en todos lados	Hay árboles verdes por todas partes en esta ciudad.
3800:穿过	穿过	穿过	atravessar; passar por	Passamos por um caminho tranquilo.	atravesar; pasar por	Atravesamos un camino tranquilo.
3801:传承	传承	传承	transmitir; herdar	Esse ofício foi transmitido por várias gerações.	transmitir; heredar	Este oficio se ha transmitido por varias generaciones.
3804:传染病	传染病	传染病	doença infecciosa; doença contagiosa	O médico lembrou todos de prevenir doenças infecciosas.	enfermedad infecciosa; enfermedad contagiosa	El doctor les recordó a todos prevenir enfermedades infecciosas.
3806:传输	传输	传输	transmitir; transferir	O sistema está transmitindo dados.	transmitir; transferir	El sistema está transmitiendo datos.
3808:船只	船只	船只	barcos; embarcações	Há muitas embarcações paradas no porto.	barcos; embarcaciones	Hay muchas embarcaciones atracadas en el puerto.
3810:窗口	窗口	窗口	janela; guichê	Por favor, vá ao guichê número três para fazer o procedimento.	ventana; ventanilla	Por favor, ve a la ventanilla número tres para hacer el trámite.
3812:创办	创办	创办	fundar; criar	Depois de se formar, ele fundou uma empresa.	fundar; establecer	Después de graduarse, fundó una empresa.
3813:创建	创建	创建	criar; estabelecer	A equipe está criando um novo banco de dados.	crear; establecer	El equipo está creando una nueva base de datos.
3815:创意	创意	创意	criatividade; ideia criativa	Este anúncio é muito criativo.	creatividad; idea creativa	Este anuncio es muy creativo.
3817:纯	纯	纯	puro; puramente	Esta garrafa de suco é puro suco de maçã.	puro; puramente	Esta botella de jugo es puro jugo de manzana.
3818:瓷器	瓷器	瓷器	porcelana; louça fina	O museu exibiu peças antigas de porcelana.	porcelana; loza fina	El museo exhibió piezas antiguas de porcelana.
3819:此刻	此刻	此刻	neste momento; agora	Neste momento, só quero descansar em silêncio.	en este momento; ahora	En este momento, solo quiero descansar tranquilo.
3821:次数	次数	次数	número de vezes	Por favor, registre o número de vezes que você pratica por dia.	número de veces	Por favor, registra el número de veces que practicas cada día.
3822:匆匆	匆匆	匆匆	às pressas; apressadamente	Ele tomou o café da manhã às pressas e saiu.	a toda prisa; apresuradamente	Desayunó a toda prisa y salió.
3824:从未	从未	从未	nunca; jamais	Ela nunca desistiu do próprio sonho.	nunca; jamás	Ella jamás ha renunciado a su sueño.
3825:从业	从业	从业	trabalhar em uma profissão; atuar	Ele trabalha no setor financeiro há muitos anos.	trabajar en una profesión; dedicarse	Él ha trabajado en el sector financiero durante muchos años.
3827:脆	脆	脆	crocante; quebradiço	Esse tipo de biscoito é aromático e crocante.	crujiente; quebradizo	Este tipo de galleta es aromática y crujiente.
3829:村庄	村庄	村庄	vilarejo; aldeia	Há um vilarejo tranquilo ao pé da montanha.	pueblo; aldea	Hay un pueblo tranquilo al pie de la montaña.
3830:存储	存储	存储	armazenar; armazenamento	Estas fotos podem ser armazenadas na nuvem.	almacenar; almacenamiento	Estas fotos pueden almacenarse en la nube.
3831:寸	寸	寸	cun; unidade chinesa parecida com polegada	Esta foto mede dois cun.	cun; unidad china parecida a una pulgada	Esta foto mide dos cun.
3837:打动	打动	打动	emocionar; tocar	A sinceridade dele emocionou todos.	conmover; tocar emocionalmente	Su sinceridad conmovió a todos.
3840:打卡	打卡	打卡	bater ponto; fazer check-in	Os funcionários batem ponto todos os dias às nove da manhã.	marcar entrada; hacer check-in	Los empleados marcan entrada todos los días a las nueve de la mañana.
3841:打雷	打雷	打雷	trovejar	Começou a trovejar lá fora.	tronar	Afuera empezó a tronar.
3842:打造	打造	打造	construir; criar	Eles querem criar uma nova marca.	crear; construir	Quieren crear una nueva marca.
3845:大吃一惊	大吃一惊	大吃一惊	ficar muito surpreso; levar um susto	Ao ouvir o preço, ele ficou muito surpreso.	llevarse una gran sorpresa	Al escuchar el precio, se llevó una gran sorpresa.
3846:大地	大地	大地	terra; solo	A chuva da primavera nutriu a terra.	tierra; suelo	La lluvia de primavera nutrió la tierra.
3847:大都	大都	大都	em sua maioria; na maior parte	A maioria dos turistas aqui vem do próprio país.	en su mayoría; por lo general	La mayoría de los turistas aquí viene del propio país.
3849:大幅	大幅	大幅	muito; de forma significativa	Os custos caíram significativamente este ano.	considerablemente; de forma significativa	Los costos bajaron considerablemente este año.
3851:大使	大使	大使	embaixador; embaixadora	O embaixador compareceu ao jantar de boas-vindas.	embajador; embajadora	El embajador asistió a la cena de bienvenida.
3852:大师	大师	大师	mestre; grande especialista	Este mestre me ensinou muito.	maestro; gran experto	Este maestro me enseñó mucho.
3853:大洋洲	大洋洲	大洋洲	Oceania; continente oceânico	A Austrália fica na Oceania.	Oceanía	Australia se encuentra en Oceanía.
3856:待	待	待	ficar; permanecer	Por favor, fique em um lugar seguro.	quedarse; permanecer	Por favor, quédate en un lugar seguro.
3864:担忧	担忧	担忧	preocupar-se; ter preocupação	Os pais se preocupam com a segurança da criança.	preocuparse; estar preocupado	Los padres se preocupan por la seguridad del niño.
3870:当今	当今	当今	atualmente; nos dias de hoje	A sociedade atual muda muito rapidamente.	hoy en día; en la actualidad	La sociedad actual cambia muy rápido.
3872:当下	当下	当下	no momento; agora	No momento, o mais importante é resolver o problema.	en este momento; ahora	En este momento, lo más importante es resolver el problema.
3875:当天	当天	当天	no mesmo dia	O pedido foi enviado no mesmo dia.	el mismo día	El pedido se envió el mismo día.
3876:岛	岛	岛	ilha	Não há carros nesta ilha.	isla	No hay autos en esta isla.
3878:倒车	倒车	倒车	dar ré	Ao dar ré, preste atenção atrás.	dar reversa; echarse en reversa	Al dar reversa, presta atención a lo que hay detrás.
3879:导师	导师	导师	orientador; mentor	Meu orientador me deu muitos conselhos.	asesor; mentor	Mi asesor me dio muchos consejos.
3881:倒是	倒是	倒是	na verdade; pelo contrário	Esta loja não é grande, mas o sabor é muito bom.	la verdad; en cambio	Esta tienda no es grande, pero la comida sí sabe muy bien.
3882:得了	得了	得了	contrair; pegar	Ele pegou gripe e precisa descansar.	contraer; agarrar	Contrajo gripe y necesita descansar.
3883:得以	得以	得以	poder; tornar-se possível	Com a ajuda de todos, o projeto pôde ser concluído.	poder; hacerse posible	Con la ayuda de todos, el proyecto pudo completarse.
3884:得知	得知	得知	ficar sabendo; ser informado	Acabei de ficar sabendo que a reunião mudou de horário.	enterarse; ser informado	Me acabo de enterar de que cambiaron la hora de la reunión.
3888:低碳	低碳	低碳	baixo carbono; de baixa emissão de carbono	A vida de baixo carbono está ficando cada vez mais popular.	bajo en carbono; de bajas emisiones	La vida baja en carbono se está volviendo cada vez más popular.
3893:地形	地形	地形	terreno; relevo	O terreno aqui é complexo e não é adequado caminhar à noite.	terreno; relieve	El terreno aquí es complejo y no conviene viajar de noche.
3894:地域	地域	地域	região; área	Regiões diferentes têm hábitos alimentares diferentes.	región; zona	Las distintas regiones tienen diferentes hábitos alimentarios.
3896:点击	点击	点击	clicar	Clique no botão no canto superior direito.	hacer clic; dar clic	Por favor, da clic en el botón de la esquina superior derecha.
3898:点燃	点燃	点燃	acender; atear fogo	Ele acendeu as velas de aniversário.	encender; prender	Encendió las velas de cumpleaños.
3900:电饭锅	电饭锅	电饭锅	panela elétrica de arroz	Ainda há arroz na panela elétrica.	arrocera; olla arrocera	Todavía hay arroz en la arrocera.
3901:电力	电力	电力	energia elétrica	O fornecimento de energia elétrica nesta região é estável.	energía eléctrica	El suministro de energía eléctrica en esta zona es estable.
3902:店铺	店铺	店铺	loja; estabelecimento	Há muitas lojinhas nesta rua.	tienda; local	Hay muchas tiendas pequeñas en esta calle.
3906:钓鱼	钓鱼	钓鱼	pescar; ir pescar	Nos fins de semana, ele gosta de pescar à beira do rio.	pescar; ir de pesca	Los fines de semana le gusta pescar junto al río.
3909:订单	订单	订单	pedido; ordem	O cliente já confirmou o pedido.	pedido; orden	El cliente ya confirmó el pedido.
3910:订婚	订婚	订婚	ficar noivo; noivar	Eles planejam noivar no ano que vem.	comprometerse; ponerse de novios	Planean comprometerse el próximo año.
3911:定价	定价	定价	definir preço; precificação	O novo produto ainda não tem preço definido.	fijar precio; precio	El nuevo producto todavía no tiene precio definido.
3912:定时	定时	定时	programar horário; agendado	Este software pode desligar no horário programado.	programar; programado	Este software puede apagarse en un horario programado.
3913:定位	定位	定位	localizar; posicionamento	O celular pode localizar rapidamente a posição do veículo.	localizar; posicionamiento	El celular puede localizar rápidamente la posición del vehículo.
3915:定制	定制	定制	personalizar; sob medida	O cliente encomendou um conjunto de móveis sob medida.	personalizar; hecho a medida	El cliente pidió un juego de muebles hecho a medida.
3919:动漫	动漫	动漫	animação e quadrinhos	No fim de semana, ele gosta de ver anime.	animación y cómics	Los fines de semana le gusta ver anime.
3921:动听	动听	动听	agradável de ouvir; melodioso	A voz dela cantando é muito agradável.	agradable al oído; melodioso	Su voz al cantar es muy agradable.
3924:都市	都市	都市	metrópole; cidade grande	Xangai é uma metrópole moderna.	metrópoli; ciudad	Shanghái es una metrópoli moderna.
3925:毒	毒	毒	veneno; venenoso	Este tipo de cobra é venenoso.	veneno; venenoso	Este tipo de serpiente es venenosa.
3926:渡	渡	渡	atravessar; cruzar de barco	Atravessamos este rio de barco.	cruzar; cruzar en ferry	Cruzamos este río en barco.
3928:短缺	短缺	短缺	falta; escassez	Esta cidade tem falta de água no inverno.	escasez; falta	Esta ciudad tiene escasez de agua en invierno.
3930:对接	对接	对接	conectar; coordenar	Os dois sistemas estão sendo conectados.	conectar; coordinar	Los dos sistemas se están conectando.
3936:多才多艺	多才多艺	多才多艺	multitalentoso; versátil	Ela é versátil: sabe pintar e também tocar piano.	multitalentoso; versátil	Ella es muy versátil: sabe pintar y también tocar piano.
3938:多媒体	多媒体	多媒体	multimídia; recursos digitais	Há equipamentos multimídia na sala de aula.	multimedia; medios digitales	Hay equipo multimedia en el salón de clases.
3940:多元	多元	多元	diverso; plural	A escola incentiva intercâmbio cultural diverso.	diverso; plural	La escuela fomenta el intercambio cultural diverso.
3941:夺	夺	夺	tomar; arrancar	Ele tomou a bola no último segundo.	arrebatar; tomar por la fuerza	Arrebató la pelota en el último segundo.
3942:夺取	夺取	夺取	conquistar; tomar	O atleta se esforçou para conquistar o campeonato.	conquistar; ganar	El atleta se esforzó por ganar el campeonato.
3943:躲避	躲避	躲避	evitar; esquivar-se	Os pedestres tentaram se abrigar da chuva forte repentina.	evitar; esquivar	Los peatones se refugiaron de la fuerte lluvia repentina.
3946:儿科	儿科	儿科	pediatria	A pediatria deste hospital é muito conhecida.	pediatría	El área de pediatría de este hospital es muy conocida.
3949:发病	发病	发病	adoecer; manifestar a doença	Essa doença geralmente se manifesta na primavera.	enfermarse; manifestarse una enfermedad	Esta enfermedad suele manifestarse en primavera.
3951:发电	发电	发电	gerar eletricidade	Turbinas eólicas podem ser usadas para gerar eletricidade.	generar electricidad	Los aerogeneradores pueden usarse para generar electricidad.
3953:发放	发放	发放	distribuir; entregar	A escola distribuirá os novos livros didáticos amanhã.	distribuir; entregar	La escuela distribuirá los nuevos libros de texto mañana.
3954:发光	发光	发光	brilhar; emitir luz	Esses pequenos insetos brilham à noite.	brillar; emitir luz	Estos insectos pequeños brillan en la noche.
3959:法定	法定	法定	legal; determinado por lei	Todos podem descansar nos feriados oficiais.	legal; establecido por ley	Todos pueden descansar en los días feriados oficiales.
3960:法官	法官	法官	juiz; juíza	O juiz anunciou a sentença.	juez; jueza	El juez anunció el veredicto.
3961:法规	法规	法规	leis e regulamentos; normas	As empresas devem cumprir as normas ambientais.	leyes y reglamentos; normativa	Las empresas deben cumplir la normativa ambiental.
3968:犯	犯	犯	cometer; violar	Ele cometeu um erro grave.	cometer; violar	Cometió un error grave.
3969:方方面面	方方面面	方方面面	todos os aspectos; todos os lados	Esta reforma afeta todos os aspectos da sociedade.	todos los aspectos; todos los ámbitos	Esta reforma afecta todos los aspectos de la sociedad.
3973:房价	房价	房价	preços dos imóveis; preço das moradias	Os preços dos imóveis nesta cidade são altos.	precios de vivienda; precios inmobiliarios	Los precios de la vivienda en esta ciudad son altos.
3975:访谈	访谈	访谈	entrevista; entrevistar	O repórter está fazendo uma entrevista com o escritor.	entrevista; entrevistar	El reportero está haciendo una entrevista con el escritor.
3977:放飞	放飞	放飞	soltar; deixar voar	As crianças estão soltando pipas no gramado.	soltar; dejar volar	Los niños están volando cometas en el pasto.
3978:飞速	飞速	飞速	rapidamente; em alta velocidade	A tecnologia está se desenvolvendo rapidamente.	rápidamente; a gran velocidad	La tecnología se está desarrollando rápidamente.
3979:肥	肥	肥	fértil; gordo	Esta terra é muito fértil e adequada para plantar verduras.	fértil; gordo	Esta tierra es muy fértil y apta para cultivar verduras.
3980:肥胖	肥胖	肥胖	obeso; obesidade	A obesidade aumenta os riscos à saúde.	obeso; obesidad	La obesidad aumenta los riesgos para la salud.
3983:肺炎	肺炎	肺炎	pneumonia; infecção pulmonar	O médico disse que ele teve pneumonia.	neumonía	El doctor dijo que tenía neumonía.
3984:分工	分工	分工	divisão de tarefas; divisão do trabalho	A divisão de tarefas entre os membros da equipe é bem clara.	división del trabajo; reparto de tareas	El reparto de tareas entre los miembros del equipo es muy claro.
3985:分级	分级	分级	classificar por nível; graduar	Estes materiais precisam ser classificados por dificuldade.	clasificar por nivel; graduar	Estos materiales deben clasificarse por dificultad.
3986:分期	分期	分期	parcelado; em etapas	Ele escolheu pagar parcelado.	a plazos; por etapas	Eligió pagar a plazos.
3988:氛围	氛围	氛围	ambiente; atmosfera	O ambiente no escritório é bem tranquilo.	ambiente; atmósfera	El ambiente en la oficina es relajado.
3989:粉	粉	粉	pó; farinha; rosa	Este pó pode ser usado para fazer bolo.	polvo; harina; rosa	Este polvo se puede usar para hacer pasteles.
3993:风力	风力	风力	força do vento; energia eólica	Hoje o vento está forte à beira-mar.	fuerza del viento; energía eólica	Hoy hay mucho viento junto al mar.
3995:风雨	风雨	风雨	vento e chuva; dificuldades	Mesmo com vento e chuva fortes, ele chegou no horário.	viento y lluvia; dificultades	Aunque el viento y la lluvia fueran fuertes, llegó a tiempo.
3998:服	服	服	convencer-se; aceitar	Todos reconhecem a capacidade dele.	quedar convencido; aceptar	Todos reconocen su capacidad.
3999:浮	浮	浮	flutuar; boiar	As folhas boiam na superfície da água.	flotar	Las hojas flotan en la superficie del agua.
4004:服用	服用	服用	tomar remédio; usar medicamento	Tome o remédio conforme as instruções.	tomar medicina; tomar medicamento	Por favor, toma el medicamento según las instrucciones.
4010:负面	负面	负面	negativo; desfavorável	Esta notícia trouxe um impacto negativo.	negativo; desfavorable	Esta noticia tuvo un impacto negativo.
