simplified	IT	example_IT	PT	example_PT
房间	la stanza	Questa stanza è grande.	o quarto; a divisão	Esta divisão é grande.
非常	molto; estremamente	Oggi fa molto freddo.	muito; extremamente	Hoje está muito frio.
服务员	il cameriere; l'addetto al servizio	Il cameriere è al ristorante.	o empregado de mesa; o funcionário de serviço	O empregado de mesa está no restaurante.
高	alto	Lui è alto.	alto	Ele é alto.
告诉	dire; raccontare	Per favore, dimmelo.	dizer; contar	Por favor, diz-me.
哥哥	il fratello maggiore	Il fratello maggiore lavora.	o irmão mais velho	O irmão mais velho trabalha.
给	dare; a	Ti do un libro.	dar; a	Dou-te um livro.
公共汽车	l'autobus	Vado al lavoro in autobus.	o autocarro	Vou para o trabalho de autocarro.
公斤	il chilogrammo	Compro un chilogrammo di mele.	o quilograma	Compro um quilograma de maçãs.
公司	l'azienda; la società	Lavoro in un'azienda.	a empresa	Trabalho numa empresa.
贵	caro	Questo orologio è caro.	caro	Este relógio é caro.
过	la particella di esperienza passata	Sono stato in Cina.	a partícula de experiência passada	Já estive na China.
还	ancora; anche	Lui è ancora a scuola.	ainda; também	Ele ainda está na escola.
孩子	il bambino; il figlio	Questo bambino è molto contento.	a criança	Esta criança está muito contente.
好吃	buono; gustoso	Questo piatto è molto buono.	saboroso; bom	Este prato está muito saboroso.
号	il numero; la data	Oggi è l'otto.	o número; o dia do mês	Hoje é dia oito.
黑	nero	Questo gatto è nero.	preto	Este gato é preto.
红	rosso	Mi piacciono le mele rosse.	vermelho	Gosto de maçãs vermelhas.
欢迎	dare il benvenuto; benvenuto	Benvenuto a Pechino.	dar as boas-vindas; bem-vindo	Bem-vindo a Pequim.
回答	rispondere; la risposta	Per favore, rispondi a questa domanda.	responder; a resposta	Por favor, responde a esta pergunta.
机场	l'aeroporto	L'aeroporto è lontano da qui.	o aeroporto	O aeroporto fica longe daqui.
鸡蛋	l'uovo	Mangio uova.	o ovo	Como ovos.
件	il classificatore per vestiti e oggetti	Ho comprato un capo di abbigliamento.	o classificador para roupa e objetos	Comprei uma peça de roupa.
教室	l'aula	Gli studenti sono in aula.	a sala de aula	Os alunos estão na sala de aula.
姐姐	la sorella maggiore	Mia sorella maggiore è medico.	a irmã mais velha	A irmã mais velha é médica.
介绍	presentare; introdurre	Presento il mio amico.	apresentar; introduzir	Apresento o meu amigo.
进	entrare	Entra, per favore.	entrar	Entre, por favor.
近	vicino; vicino a	La scuola è vicina a casa.	perto; próximo	A escola fica perto de casa.
就	allora; subito; proprio	Vado subito.	então; logo; exatamente	Vou já.
觉得	pensare; trovare	Penso che questo piatto sia buono.	achar; sentir	Acho este prato saboroso.
咖啡	il caffè	Bevo caffè.	o café	Bebo café.
开始	cominciare; l'inizio	L'esame è cominciato.	começar; o começo	O exame começou.
考试	l'esame	Domani c'è un esame.	o exame	Amanhã há exame.
可能	forse; possibile	Forse è a casa.	talvez; possível	Talvez ele esteja em casa.
可以	potere; essere permesso	Posso andare?	poder; ser permitido	Posso ir?
课	la lezione; il corso	Oggi c'è lezione di cinese.	a aula; a lição	Hoje há aula de chinês.
快	veloce; presto	Lui cammina molto velocemente.	rápido; depressa; em breve	Ele anda muito depressa.
快乐	felice; gioioso	Buon compleanno.	feliz; alegre	Feliz aniversário.
累	stanco	Sono molto stanco.	cansado	Estou muito cansado.
离	da; distante da	La scuola non è lontana da casa.	de; afastado de	A escola não fica longe de casa.
两	due	Ho due figli.	dois; duas	Tenho dois filhos.
路	la strada; il percorso	Questa strada è lunga.	a estrada; o caminho	Esta estrada é comprida.
旅游	viaggiare; il turismo	Voglio viaggiare in Cina.	viajar; o turismo	Quero viajar pela China.
卖	vendere	Questo negozio vende mele.	vender	Esta loja vende maçãs.
慢	lento; lentamente	Più lentamente, per favore.	lento; devagar	Mais devagar, por favor.
忙	occupato	Oggi sono occupato.	ocupado	Hoje estou ocupado.
每	ogni	Studio cinese ogni giorno.	cada	Estudo chinês todos os dias.
妹妹	la sorella minore	Mia sorella minore guarda la televisione.	a irmã mais nova	A irmã mais nova está a ver televisão.
门	la porta; il portone	La porta si è aperta.	a porta; o portão	A porta abriu-se.
男人	l'uomo	Quest'uomo è insegnante.	o homem	Este homem é professor.
您	Lei; voi	Buongiorno.	o senhor; a senhora	Olá.
牛奶	il latte	Bevo latte.	o leite	Bebo leite.
女人	la donna	Quella donna è medico.	a mulher	Aquela mulher é médica.
旁边	accanto; a fianco	C'è un negozio accanto alla scuola.	ao lado; junto a	Há uma loja ao lado da escola.
跑步	correre; fare jogging	Corro la mattina.	correr; fazer jogging	Corro de manhã.
便宜	economico; a buon mercato	Questa mela costa poco.	barato; económico	Esta maçã é barata.
票	il biglietto	Compro un biglietto.	o bilhete	Compro um bilhete.
妻子	la moglie	Mia moglie è insegnante.	a esposa; a mulher	A minha esposa é professora.
起床	alzarsi	Mi alzo alle sei del mattino.	levantar-se	Levanto-me às seis da manhã.
千	mille	Questa bicicletta costa mille yuan.	mil	Esta bicicleta custa mil yuans.
晴	sereno; soleggiato	Oggi c'è il sole.	limpo; com sol	Hoje está sol.
去年	l'anno scorso	L'anno scorso sono stato a Pechino.	o ano passado	No ano passado estive em Pequim.
让	lasciare; permettere	La mamma mi lascia studiare.	deixar; permitir	A mãe deixa-me estudar.
上班	andare al lavoro	Vado al lavoro alle otto.	ir trabalhar	Vou trabalhar às oito.
身体	il corpo; la salute	Lui è in buona salute.	o corpo; a saúde	Ele tem boa saúde.
生病	ammalarsi	Lui si è ammalato.	adoecer; ficar doente	Ele ficou doente.
生日	il compleanno	Oggi è il mio compleanno.	o aniversário	Hoje é o meu aniversário.
时间	il tempo	Non ho tempo.	o tempo	Não tenho tempo.
事情	la cosa; la faccenda	Ho una cosa da fare.	o assunto; a coisa	Tenho uma coisa para fazer.
手表	l'orologio da polso	Questo orologio è nuovo.	o relógio de pulso	Este relógio é novo.
手机	il cellulare	Il mio cellulare è sul tavolo.	o telemóvel	O meu telemóvel está em cima da mesa.
送	regalare; inviare	Ti regalo un libro.	oferecer; enviar	Ofereço-te um livro.
所以	perciò; quindi	Oggi piove, perciò non vado.	por isso; portanto	Hoje chove, por isso não vou.
它	esso; ciò	È il mio gatto.	ele; ela; isso	É o meu gato.
踢足球	giocare a calcio	Loro giocano a calcio.	jogar futebol	Eles jogam futebol.
题	la domanda; l'esercizio	Questo esercizio non è corretto.	a pergunta; o exercício	Este exercício não está correto.
跳舞	ballare	A lei piace ballare.	dançar	Ela gosta de dançar.
外	fuori; esterno	È fuori, davanti alla porta.	fora; exterior	Ele está lá fora, à porta.
完	finire	Ho finito.	acabar; terminar	Acabei.
玩	giocare; divertirsi	Il bambino gioca.	brincar; jogar; divertir-se	A criança está a brincar.
晚上	la sera; la notte	La sera guardo un film.	a noite; o serão	À noite vejo um filme.
为什么	perché	Perché non vai?	porquê	Porque é que não vais?
问	chiedere	Faccio una domanda all'insegnante.	perguntar	Pergunto ao professor.
问题	la domanda; il problema	Ho una domanda.	a pergunta; o problema	Tenho uma pergunta.
西瓜	l'anguria	Mangio anguria.	a melancia	Como melancia.
希望	sperare; la speranza	Spero che tu venga.	esperar; a esperança	Espero que venhas.
洗	lavare	Lavo i vestiti.	lavar	Lavo a roupa.
向	verso; in direzione di	Lui cammina verso di me.	para; em direção a	Ele caminha na minha direção.
小时	l'ora	Studio due ore.	a hora	Estudo duas horas.
笑	sorridere; ridere	Lei ha sorriso.	sorrir; rir	Ela sorriu.
新	nuovo	Questo è un libro nuovo.	novo	Este é um livro novo.
姓	il cognome; chiamarsi di cognome	Qual è il Suo cognome?	o apelido; ter como apelido	Qual é o seu apelido?
休息	riposare; il riposo	Voglio riposare.	descansar; o descanso	Quero descansar.
雪	la neve	Oggi nevica.	a neve	Hoje está a nevar.
颜色	il colore	Mi piace questo colore.	a cor	Gosto desta cor.
眼睛	l'occhio; gli occhi	Lei ha gli occhi grandi.	o olho; os olhos	Ela tem os olhos grandes.
羊肉	la carne di montone; l'agnello	Non mangio agnello.	a carne de borrego; o borrego	Não como borrego.
药	la medicina; il farmaco	Lui prende una medicina.	o medicamento; o remédio	Ele toma um medicamento.
要	volere; dovere	Voglio bere acqua.	querer; ter de	Quero beber água.
也	anche	Anch'io vado.	também	Eu também vou.
已经	già	Sono già arrivato.	já	Já cheguei.
一起	insieme	Andiamo insieme.	juntos	Vamos juntos.
意思	il significato; il senso	Che cosa significa questo carattere?	o significado; o sentido	O que significa este caractere?
阴	nuvoloso; coperto	Oggi è nuvoloso.	nublado; encoberto	Hoje está nublado.
因为	perché; a causa di	Poiché piove, non vado.	porque; devido a	Como está a chover, não vou.
游泳	nuotare	So nuotare.	nadar	Sei nadar.
右边	la destra; il lato destro	Il negozio è a destra.	a direita; o lado direito	A loja fica à direita.
鱼	il pesce	Mangio pesce.	o peixe	Como peixe.
元	lo yuan	Questa tazza costa dieci yuan.	o yuan	Esta chávena custa dez yuans.
远	lontano; distante	L'aeroporto è lontano.	longe; distante	O aeroporto fica longe.
运动	lo sport; l'esercizio fisico	Mi piace fare sport.	o desporto; o exercício	Gosto de fazer desporto.
再	di nuovo; poi	Domani tornerò.	outra vez; depois	Amanhã volto.
早上	la mattina	La mattina bevo tè.	a manhã	De manhã bebo chá.
张	il classificatore per oggetti piatti	Ho comprato un biglietto.	o classificador para objetos planos	Comprei um bilhete.
丈夫	il marito	Suo marito è medico.	o marido	O marido dela é médico.
找	cercare; trovare	Cerco un amico.	procurar; encontrar	Procuro um amigo.
着	la particella di azione o stato continuo	La porta è aperta.	a partícula de ação ou estado contínuo	A porta está aberta.
真	davvero; vero	Questo libro è davvero buono.	realmente; verdadeiro	Este livro é realmente bom.
正在	stare facendo; in corso	Lui sta guardando la televisione.	estar a; em processo de	Ele está a ver televisão.
知道	sapere	Non lo so.	saber	Não sei.
准备	prepararsi; preparare; la preparazione	Mi preparo per l'esame.	preparar-se; preparar; a preparação	Preparo-me para o exame.
自行车	la bicicletta	La mia bicicletta è nuova.	a bicicleta	A minha bicicleta é nova.
走	camminare; andare	Vado a casa a piedi.	andar; ir	Vou para casa a pé.
最	il più; il massimo	Lui è il più alto.	o mais; mais	Ele é o mais alto.
左边	la sinistra; il lato sinistro	La scuola è a sinistra.	a esquerda; o lado esquerdo	A escola fica à esquerda.
