source_headword	TL	example_TL
voting	pagboto	Magsisimula ang maagang pagboto sa susunod na linggo.
wander	gumala	Gumagala ang mga turista sa lumang palengke.
warming	pag-init	Nakaaapekto ang pag-init ng mundo sa lebel ng dagat.
weekly	lingguhan	Ang koponan ay may lingguhang pagpupulong.
weird	kakaiba	Kakaiba ang tunog ng ingay.
welfare	kapakanan	Sinusuportahan ng programa ang kapakanan ng bata.
wheat	trigo	Nagtatanim ang magsasaka ng trigo.
whoever	sinuman	Sinumang dumating nang maaga ay dapat maghintay sa labas.
widespread	malawakan	Ang bagyo ay nagdulot ng malawakang pinsala.
wisdom	karunungan	Ibinahagi ng kanyang lola ang praktikal na karunungan.
withdraw	bawiin	Nagpasya siyang bawiin ang kanyang aplikasyon.
workforce	manggagawa	Ang mga manggagawa ay nangangailangan ng mga bagong kasanayan.
workplace	lugar ng trabaho	Ang lugar ng trabaho ay may malinaw na mga panuntunan sa kaligtasan.
workshop	workshop	Ang workshop ay magsisimula sa ika-sampu.
worm	uod	Gumalaw ang isang uod sa ibabaw ng lupa.
wrist	pulso	Nasaktan niya ang kanyang pulso.
