simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
厕所	тоалет	Мушки тоалет је на првом спрату.	stranišče; toaletni prostor	Moško stranišče je v prvem nadstropju.	tualetas	Vyrų tualetas yra pirmame aukšte.	tualete	Vīriešu tualete atrodas pirmajā stāvā.
差不多	скоро; отприлике	Сваког дана устајем око седам сати.	skoraj; približno	Vsak dan vstanem približno ob sedmih.	beveik; maždaug	Kasdien keliuosi maždaug septintą valandą.	gandrīz; apmēram	Es katru dienu ceļos apmēram septiņos.
尝	пробати; окусити	Дођи брзо да пробаш јела која сам направио. Каквог су укуса?	poskusiti; okušati	Pridi hitro poskusit jedi, ki sem jih pripravil. Kakšnega okusa so?	ragauti; pabandyti	Greitai ateik paragauti patiekalų, kuriuos paruošiau. Koks jų skonis?	nogaršot; pamēģināt	Ātri nāc nogaršot ēdienus, ko pagatavoju. Kā tie garšo?
长城	Велики зид	Желим да за викенд посетим Велики зид.	Veliki zid	Za konec tedna si želim ogledati Veliki zid.	Didžioji siena	Savaitgalį noriu aplankyti Didžiąją sieną.	Lielais mūris	Nedēļas nogalē gribu apmeklēt Lielo mūri.
长江	Јангце	Јангце је највећа река у Кини.	Jangce	Jangce je največja reka na Kitajskem.	Jangdzė	Jangdzė yra didžiausia Kinijos upė.	Jandzi upe	Jandzi ir lielākā Ķīnas upe.
场	бројна реч за догађаје; место	Ова киша је дошла баш на време.	števec za dogodke; kraj	Ta dež je prišel ravno pravi čas.	skaitiklis įvykiams; vieta	Šis lietus atėjo pačiu laiku.	skaitītājvārds notikumiem; vieta	Šis lietus atnāca tieši laikā.
超过	премашити; прећи	Одавде сваког дана полеће више од триста летова.	preseči; presegati	Od tu vsak dan vzleti več kot tristo letov.	viršyti; pranokti	Kasdien iš čia pakyla daugiau kaip trys šimtai skrydžių.	pārsniegt; pārspēt	Katru dienu no šejienes izlido vairāk nekā trīs simti reisu.
乘坐	возити се; путовати	Добро дошли на овај лет.	peljati se; potovati	Dobrodošli na tem letu.	važiuoti; skristi	Sveiki atvykę į šį skrydį.	braukt; lidot	Laipni lūdzam šajā reisā.
成功	успех; успети	Труд је гаранција успеха.	uspeh; uspeti	Trud je jamstvo za uspeh.	sėkmė; pasisekti	Pastangos yra sėkmės garantija.	panākumi; izdoties	Pūles ir panākumu garantija.
成为	постати	Од малена сам желео да постанем полицајац.	postati	Že od malega sem hotel postati policist.	tapti	Nuo mažens norėjau tapti policininku.	kļūt	Kopš bērnības esmu gribējis kļūt par policistu.
诚实	поштен; искрен	Поштени људи заслужују наше поштовање.	pošten; iskren	Pošteni ljudje si zaslužijo naše spoštovanje.	sąžiningas; sąžiningumas	Sąžiningi žmonės nusipelno mūsų pagarbos.	godīgs; godīgums	Godīgi cilvēki ir pelnījuši mūsu cieņu.
吃惊	изненадити се; запрепастити се	Изненадио се када је чуо ову вест.	biti presenečen; biti osupel	Ko je slišal to novico, je bil zelo presenečen.	nustebti; būti sukrėstam	Išgirdęs šią naujieną, jis labai nustebo.	būt pārsteigtam; būt šokētam	Dzirdot šo ziņu, viņš bija ļoti pārsteigts.
重新	поново; изнова	Поново је испричао ту ствар.	znova; ponovno	Zadevo je znova povedal.	iš naujo; vėl	Jis iš naujo papasakojo tą reikalą.	no jauna; vēlreiz	Viņš vēlreiz izstāstīja šo lietu.
抽烟	пушити	Извините, у болници није дозвољено пушење.	kaditi	Oprostite, v bolnišnici kajenje ni dovoljeno.	rūkyti	Atsiprašau, ligoninėje rūkyti negalima.	smēķēt	Atvainojiet, slimnīcā nedrīkst smēķēt.
出差	ићи на службени пут	Тата је на службеном путу већ више од месец дана.	iti na službeno pot	Oče je že več kot mesec dni na službeni poti.	vykti į komandiruotę	Tėtis jau daugiau kaip mėnesį yra komandiruotėje.	doties komandējumā	Tētis jau vairāk nekā mēnesi ir komandējumā.
出发	кренути; поћи	Кренуо сам из Пекинга за Шангај.	odpraviti se; kreniti	Iz Pekinga sem se odpravil v Šanghaj.	išvykti; leistis į kelią	Išvykau iš Pekino į Šanchajų.	doties ceļā; izbraukt	Es devos no Pekinas uz Šanhaju.
出生	родити се	Рођен сам у малом граду.	roditi se	Rodil sem se v majhnem mestu.	gimti	Gimiau mažame mieste.	piedzimt	Es piedzimu mazā pilsētā.
出现	појавити се; настати	У нашем раду се појавило доста проблема.	pojaviti se; nastati	Pri našem delu se je pojavilo precej težav.	pasirodyti; atsirasti	Mūsų darbe atsirado nemažai problemų.	parādīties; rasties	Mūsu darbā ir radušās diezgan daudzas problēmas.
厨房	кухиња	Нож за воће је у кухињи.	kuhinja	Nož za sadje je v kuhinji.	virtuvė	Vaisių peilis yra virtuvėje.	virtuve	Augļu nazis ir virtuvē.
传真	факс	Молим вас, пошаљите ми један факс.	faks	Prosim, pošljite mi faks.	faksas	Prašau išsiųsti man faksą.	fakss	Lūdzu, atsūtiet man faksu vienu dokumentu.
窗户	прозор	Већ сам очистио прозоре.	okno	Okna sem že očistil.	langas	Aš jau nuvaliau langus.	logs	Es jau notīrīju logus.
词语	реч; израз	Молим вас, употребите ове речи да кажете неколико реченица.	beseda; izraz	Prosimo, s temi besedami povejte nekaj stavkov.	žodis; posakis	Prašome panaudoti šiuos žodžius ir pasakyti kelis sakinius.	vārds; izteiciens	Lūdzu, izmantojiet šos vārdus, lai pateiktu dažus teikumus.
从来	одувек; никада раније	Никада га нисам видео.	vedno; nikoli prej	Nikoli ga še nisem videl.	visada; niekada anksčiau	Aš niekada jo nemačiau.	vienmēr; nekad agrāk	Es nekad viņu neesmu redzējis.
粗心	непажљив; неопрезан	Стварно си превише непажљив.	nepazljiv; malomaren	Res si preveč nepazljiv.	neatidus; nerūpestingas	Tu tikrai labai neatidus.	neuzmanīgs; paviršs	Tu tiešām esi pārāk neuzmanīgs.
存	положити; сачувати	Положио сам новац у банку.	shraniti; položiti	Denar sem položil v banko.	įnešti; saugoti	Pinigus įnešiau į banką.	noguldīt; glabāt	Es noguldīju naudu bankā.
错误	грешка; погрешан	Хвала ти што си указао на моју грешку.	napaka; napačen	Hvala, ker si opozoril na mojo napako.	klaida; klaidingas	Ačiū, kad nurodei mano klaidą.	kļūda; kļūdains	Paldies, ka norādīji uz manu kļūdu.
答案	одговор; решење	Твој одговор је тачан.	odgovor; rešitev	Tvoj odgovor je pravilen.	atsakymas; sprendimas	Tavo atsakymas teisingas.	atbilde; risinājums	Tava atbilde ir pareiza.
打扮	дотерати се; нашминкати се	Једноставно се дотерала и изашла.	urediti se; naličiti se	Preprosto se je uredila in odšla ven.	pasipuošti; pasidažyti	Ji paprastai pasipuošė ir išėjo.	sapucēties; uzkrāsoties	Viņa vienkārši sapucējās un izgāja ārā.
打扰	сметати; узнемиравати	Извините, да вас на тренутак прекинем.	motiti; nadlegovati	Oprostite, da vas za trenutek motim.	trukdyti; varginti	Atsiprašau, kad trumpam sutrukdysiu.	traucēt; apgrūtināt	Atvainojiet, ka uz mirkli jūs traucēju.
打印	штампати	Ови материјали су већ одштампани.	tiskati; natisniti	Ta gradiva so že natisnjena.	spausdinti	Ši medžiaga jau išspausdinta.	drukāt	Šie materiāli jau ir izdrukāti.
打招呼	поздравити	Поздравио ме је са осмехом.	pozdraviti	Z nasmehom me je pozdravil.	pasisveikinti	Jis su šypsena mane pasveikino.	sasveicināties	Viņš smaidot ar mani sasveicinājās.
打折	дати попуст; бити на снижењу	Пре Пролећног фестивала сви тржни центри имају снижења.	dati popust; znižati	Pred pomladnim praznikom imajo nakupovalna središča razprodaje.	taikyti nuolaidą	Prieš Pavasario šventę prekybos centrai taiko nuolaidas.	dot atlaidi; būt izpārdošanā	Pirms Pavasara svētkiem tirdzniecības centros ir atlaides.
打针	дати или примити ињекцију	Син се веома плаши ињекција.	dati ali dobiti injekcijo	Sin se zelo boji injekcij.	leisti arba gauti injekciją	Sūnus labai bijo injekcijų.	veikt vai saņemt injekciju	Dēls ļoti baidās no injekcijām.
大概	вероватно; отприлике	Вероватно неће доћи.	verjetno; približno	Verjetno ne bo prišel.	tikriausiai; maždaug	Jis tikriausiai neateis.	droši vien; aptuveni	Viņš droši vien neatnāks.
大使馆	амбасада	Сутра идем у амбасаду да средим визу.	veleposlaništvo	Jutri grem na veleposlaništvo urediti vizum.	ambasada	Rytoj eisiu į ambasadą tvarkytis vizos.	vēstniecība	Rīt iešu uz vēstniecību kārtot vīzu.
大约	отприлике; око	Има отприлике тридесет и нешто година.	približno; okoli	Star je približno nekaj čez trideset let.	maždaug; apie	Jam maždaug trisdešimt su trupučiu metų.	apmēram; aptuveni	Viņam ir apmēram nedaudz pāri trīsdesmit.
大夫	лекар	Докторе Ли, да ли сте сутра ујутру у болници?	zdravnik	Doktor Li, boste jutri dopoldne v bolnišnici?	gydytojas	Gydytojau Li, ar rytoj ryte būsite ligoninėje?	ārsts	Dakter Li, vai rīt no rīta būsiet slimnīcā?
戴	носити; ставити на себе	Носи једне црне наочаре.	nositi; nadeti si	Nosi črna očala.	dėvėti; užsidėti	Jis nešioja juodus akinius.	valkāt; uzlikt	Viņš valkā melnas brilles.
当	бити; радити као	Желим да будем лекар.	biti; delati kot	Želim biti zdravnik.	būti; dirbti kuo	Noriu būti gydytojas.	būt; strādāt par	Es gribu būt ārsts.
当时	тада; у то време	Не сећам се јасно тадашње ситуације.	takrat; v tistem času	Takratnih razmer se ne spomnim jasno.	tada; tuo metu	Nebepamenu aiškiai tuometinės situacijos.	toreiz; tajā laikā	Es vairs skaidri neatceros toreizējo situāciju.
刀	нож	Нож за воће је у кухињи.	nož	Nož za sadje je v kuhinji.	peilis	Vaisių peilis yra virtuvėje.	nazis	Augļu nazis ir virtuvē.
导游	туристички водич; водити туру	Моја старија сестра је туристички водич.	turistični vodnik; voditi ogled	Moja starejša sestra je turistična vodnica.	gidas; vesti ekskursiją	Mano vyresnioji sesuo yra gidė.	gids; vadīt ekskursiju	Mana vecākā māsa ir gide.
倒	пасти; оборити	Јак ветар је оборио дрво.	pasti; podreti	Močan veter je podrl drevo.	kristi; parversti	Stiprus vėjas parvertė medį.	krist; nogāzt	Spēcīgais vējš nogāza koku.
到处	свуда	У парку је свуда цвеће.	povsod	V parku so povsod rože.	visur	Parke visur yra gėlių.	visur	Parkā visur ir ziedi.
到底	заправо; тачно	Шта ова реченица заправо значи?	navsezadnje; pravzaprav	Kaj ta stavek pravzaprav pomeni?	galų gale; tiksliai	Ką šis sakinys iš tikrųjų reiškia?	īsti; galu galā	Ko īsti nozīmē šis teikums?
道歉	извинити се; извињење	Већ сам му се извинио.	opravičiti se; opravičilo	Njemu sem se že opravičil.	atsiprašyti; atsiprašymas	Aš jau jo atsiprašiau.	atvainoties; atvainošanās	Es jau viņam atvainojos.
得	морати; треба	Сутра имам испит, морам раније да легнем.	morati; treba	Jutri imam izpit, zato moram iti prej spat.	turėti; privalėti	Rytoj turiu egzaminą, todėl turiu anksčiau eiti miegoti.	nākties; vajadzēt	Rīt man ir eksāmens, tāpēc man jāiet gulēt agrāk.
得意	поносан; задовољан	Посао је успео, и сви су веома поносни.	ponosen; zadovoljen	Delo je uspelo in vsi so zelo ponosni.	išdidus; patenkintas	Darbas pavyko, ir visi labai didžiuojasi.	lepns; apmierināts	Darbs izdevās, un visi ir ļoti lepni.
登机牌	карта за укрцавање	Молимо вас, узмите карту за укрцавање и припремите се за укрцавање.	vstopni kupon	Prosimo, vzemite vstopni kupon in se pripravite na vkrcanje.	įlaipinimo kortelė	Prašome pasiimti įlaipinimo kortelę ir pasiruošti lipti į lėktuvą.	iekāpšanas karte	Lūdzu, paņemiet iekāpšanas karti un gatavojieties iekāpt lidmašīnā.
等	и тако даље; итд.	На столу има воћа као што су јабуке, банане и тако даље.	in tako naprej; itd.	Na mizi je sadje, kot so jabolka, banane in podobno.	ir taip toliau; ir pan.	Ant stalo yra vaisių, tokių kaip obuoliai, bananai ir panašiai.	un tā tālāk; u. tml.	Uz galda ir augļi, piemēram, āboli, banāni un tamlīdzīgi.
低	низак	Још мало више, сада је прениско.	nizek	Še malo višje, zdaj je prenizko.	žemas	Dar šiek tiek aukščiau, dabar per žemai.	zems	Vēl mazliet augstāk, tagad ir pārāk zemu.
底	дно; основа	Дно чаше је веома чисто.	dno; osnova	Dno skodelice je zelo čisto.	dugnas; pagrindas	Puodelio dugnas labai švarus.	apakša; pamats	Krūzes apakša ir ļoti tīra.
地点	место; локација	Место састанка је у сали за састанке на трећем спрату.	kraj; lokacija	Kraj sestanka je v sejni sobi v tretjem nadstropju.	vieta; lokacija	Susitikimo vieta yra trečio aukšto posėdžių salėje.	vieta; lokācija	Sapulces vieta ir sanāksmju telpā trešajā stāvā.
地球	Земља; планета	Већи део површине Земље је океан.	Zemlja; planet	Večji del Zemljine površine je ocean.	Žemė; planeta	Didžiąją Žemės paviršiaus dalį sudaro vandenynas.	Zeme; planēta	Lielāko daļu Zemes virsmas klāj okeāns.
地址	адреса	Молимо вас, запишите своју адресу.	naslov	Prosimo, zapišite svoj naslov.	adresas	Prašome užrašyti savo adresą.	adrese	Lūdzu, pierakstiet savu adresi.
掉	испасти; пасти	Кључ је пао на земљу.	pasti; izpasti	Ključ je padel na tla.	nukristi; iškristi	Raktas nukrito ant žemės.	krist; izkrist	Atslēga nokrita uz zemes.
调查	истрага; истраживати	Полиција спроводи истрагу.	preiskava; preiskovati	Policija izvaja preiskavo.	tyrimas; tirti	Policija atlieka tyrimą.	izmeklēšana; izmeklēt	Policija veic izmeklēšanu.
丢	изгубити	Да ли си изгубио школску торбу?	izgubiti	Si izgubil šolsko torbo?	pamesti	Ar pametei kuprinę?	pazaudēt	Vai tu pazaudēji skolas somu?
动作	покрет; радња	Да те научим да плешеш, покрети су врло једноставни.	gib; dejanje	Naj te naučim plesati, gibi so zelo preprosti.	judesys; veiksmas	Leisk išmokysiu tave šokti, judesiai labai paprasti.	kustība; darbība	Ļauj man tev iemācīt dejot, kustības ir ļoti vienkāršas.
堵车	саобраћајна гужва	На путу сам и опет је гужва у саобраћају.	prometni zastoj	Sem na cesti in spet je prometni zastoj.	transporto spūstis	Aš kelyje, ir vėl yra spūstis.	satiksmes sastrēgums	Es esmu ceļā, un atkal ir sastrēgums.
肚子	стомак; трбух	Боли ме стомак.	trebuh; želodec	Boli me trebuh.	pilvas; skrandis	Man skauda pilvą.	vēders	Man sāp vēders.
短信	есемес; текстуална порука	Ако има нешто, пошаљи ми есемес или ме позови.	kratko sporočilo	Če je kaj, mi pošlji kratko sporočilo ali me pokliči.	trumpoji žinutė	Jei kas nors bus, parašyk man žinutę arba paskambink.	īsziņa	Ja kaut kas notiek, atsūti man īsziņu vai piezvani.
对话	дијалог	Овај дијалог је прилично једноставан, могу да га разумем.	dialog	Ta dialog je precej preprost, lahko ga razumem.	dialogas	Šis dialogas gana paprastas, galiu jį suprasti.	dialogs	Šis dialogs ir diezgan vienkāršs, es to saprotu.
对面	преко пута	Живим баш преко пута школе.	nasproti	Živim ravno nasproti šole.	priešais	Gyvenu tiesiai priešais mokyklą.	pretī	Es dzīvoju tieši pretī skolai.
对于	у вези са; што се тиче	Што се тиче овог питања, имам другачије мишљење.	glede; kar zadeva	Glede tega vprašanja imam drugačno mnenje.	dėl; kalbant apie	Šiuo klausimu turiu kitokią nuomonę.	par; attiecībā uz	Par šo jautājumu man ir citāds viedoklis.
儿童	дете; деца	Деца нижа од једног метра и двадесет центиметара могу купити дечју карту.	otrok; otroci	Otroci, nižji od enega metra in dvajset centimetrov, lahko kupijo otroško vozovnico.	vaikas; vaikai	Vaikai, žemesni nei vienas metras dvidešimt centimetrų, gali pirkti vaikiškus bilietus.	bērns; bērni	Bērni, kas ir zemāki par vienu metru un divdesmit centimetriem, var pirkt bērnu biļetes.
而	и; а	Овај комад одеће је јефтин, а леп.	in; pa	Ta kos oblačila je poceni in lep.	ir; o	Šis drabužis pigus ir gražus.	un; bet	Šis apģērba gabals ir lēts un skaists.
发生	десити се; догодити се	Ситуација се много променила.	zgoditi se; nastati	Razmere so se zelo spremenile.	įvykti; atsitikti	Situacija labai pasikeitė.	notikt; rasties	Situācija ir ļoti mainījusies.
发展	развој; развијати се	Економија се ових година брзо развија.	razvoj; razvijati se	V zadnjih letih se gospodarstvo hitro razvija.	vystymasis; vystytis	Pastaraisiais metais ekonomika sparčiai vystosi.	attīstība; attīstīties	Pēdējos gados ekonomika attīstās ļoti strauji.
法律	закон; право	На универзитету студирам право.	pravo; zakon	Na univerzi študiram pravo.	teisė; įstatymas	Universitete studijuoju teisę.	tiesības; likums	Universitātē studēju tiesības.
翻译	превести; преводилац	Молим вас, преведите овај чланак на кинески.	prevesti; prevajalec	Prosimo, prevedite ta članek v kitajščino.	versti; vertėjas	Prašome išversti šį straipsnį į kinų kalbą.	tulkot; tulks	Lūdzu, pārtulkojiet šo rakstu ķīniešu valodā.
烦恼	брига; нервирање	Немој више да се бринеш због тога.	skrb; nadloga	Ne skrbi več zaradi tega.	rūpestis; susierzinimas	Daugiau dėl to nesijaudink.	raizes; kaitinājums	Vairs neraizējies par šo lietu.
反对	противити се; бити против	Сви се противе овом плану.	nasprotovati; biti proti	Vsi nasprotujejo temu načrtu.	prieštarauti; būti prieš	Visi prieštarauja šiam planui.	iebilst; būt pret	Visi iebilst pret šo plānu.
方法	метод; начин	Сигурно ћемо наћи начин да решимо проблем.	metoda; način	Zagotovo bomo našli način za rešitev problema.	metodas; būdas	Tikrai rasime būdą problemai išspręsti.	metode; veids	Mēs noteikti atradīsim veidu, kā atrisināt problēmu.
方面	аспект; област	Тата воли да чита књиге из области историје.	področje; vidik	Oče rad bere knjige s področja zgodovine.	sritis; aspektas	Tėtis mėgsta skaityti istorijos srities knygas.	joma; aspekts	Tētim patīk lasīt grāmatas par vēsturi.
