source_headword	ZH	example_ZH
backing	支持	该提案获得了选民的支持。
backup	备份	系统每天创建一个备份。
bail	保释金	法官在中午设定了保释金。
ballot	选票	每位选民都收到了一张选票。
banner	横幅	横幅悬挂在入口上方。
bare	光秃秃的	房间里只有光秃秃的墙壁。
barrel	桶	桶里装满了水。
bass1	低音	低音听起来低沉而温暖。
battlefield	战场	古老的战场变成了一座纪念碑。
bay	海湾	村庄坐落在宁静的海湾旁。
beam	梁	一根钢梁支撑着屋顶。
beast	野兽	故事描述了一只凶猛的野兽。
behalf	代表	她代表她的团队发了言。
beloved	敬爱的	这位敬爱的老师今天退休了。
bench	长凳	他们坐在一条木长凳上。
benchmark	基准	这项测试成为了行业基准。
beneath	在...下面	文件在文件夹下面。
beneficiary	受益人	她的儿子是主要受益人。
betray	辜负	不要辜负你朋友的信任。
bind	约束	该协议将对两家公司都有约束力。
biography	传记	他的传记卖出了很多本。
bishop	主教	主教访问了村里的教堂。
bizarre	离奇的	这部电影有一个离奇的结局。
blade	刀片	刀片割断了绳子。
blast	爆炸	爆炸震碎了附近的窗户。
bleed	流血	伤口开始大量流血。
blend	混合	将酱汁混合均匀直到顺滑。
bless	祝福	牧师将为这座房子祈福。
blessing	幸事	得到支持是一件幸事。
boast	吹嘘	他喜欢吹嘘金钱。
bonus	奖金	员工们收到了一笔节日奖金。
boom	繁荣	这座城市经历了建筑业的繁荣。
bounce	弹起	球可以弹得很高。
boundary	边界	这条河是边界的标志。
bow1	鞠躬	演员深深地鞠了一躬。
breach	泄露	违规行为暴露了私人数据。
breakdown	细目	报告包含了一份成本细目。
breakthrough	突破	这一发现是一项重大突破。
breed	繁殖	这些鸟在春天繁殖。
broadband	宽带	办公室需要更快的宽带。
browser	浏览器	在登录之前更新您的浏览器。
brutal	残酷的	袭击是残酷而突然的。
buck	美元	票价是十美元。
buddy	伙伴	他的伙伴在外面等候。
buffer	缓冲	树木形成了一道噪音屏障。
bulk	大量	他们大量购买了大米。
burden	负担	债务成了沉重的负担。
bureaucracy	官僚主义	繁文缛节拖延了许可证的办理。
burial	葬礼	葬礼在黎明时分举行。
burst	破裂	管道可能会在压力下破裂。
cabinet	内阁	内阁批准了该计划。
calculation	计算	计算花了大概几分钟时间。
canvas	画布	艺术家在一块大画布上作画。
capability	功能	该设备具有无线功能。
capitalism	资本主义	资本主义塑造了现代经济。
capitalist	资本主义的	资本主义制度奖励私人投资。
cargo	货物	船上装载着医疗货物。
carriage	车厢	火车车厢几乎是空的。
carve	雕刻	他会小心地雕刻这块木头。
casino	赌场	赌场在酒店附近开业了。
casualty	伤亡人员	这起坠机事故造成一人伤亡。
catalogue	目录	目录列出了所有产品。
cater	提供餐饮服务	这家餐厅可以为大型活动提供餐饮服务。
cattle	牛	牛群在河边吃草。
caution	小心	在结冰的路面上要小心。
cautious	谨慎的	投资者本周保持谨慎。
cease	停止	工厂很快就会停止生产。
cemetery	墓地	墓地俯瞰着大海。
chamber	议事厅	投票期间会议厅里鸦雀无声。
chaos	混乱	延误在机场引起了混乱。
characterize	描述	专家们将该计划描述为具有风险的。
charm	魅力	这个小镇有一种古老的魅力。
charter	宪章	该宪章保护基本权利。
chronic	慢性的	他患有慢性背痛。
chunk	块	把奶酪切成大块。
circulate	传阅	请在今天传阅议程。
circulation	发行量	报纸的发行量大幅下降。
citizenship	公民身份	她申请了法国国籍。
civic	市政的	市政领导人出席了会议。
civilian	平民	几处平民房屋受损。
clarity	清晰	图表使报告更加清晰。
clash	冲突	冲突在游行之后爆发了。
classification	分类	分类取决于大小。
cling	紧贴	湿衣服紧贴着皮肤。
clinical	临床的	临床试验下个月开始。
closure	释怀	结案后，这家人希望能有一种了结感。
cluster	群	附近有一群房子。
coalition	联盟	联盟失去了多数席位。
coastal	沿海的	沿海村庄为洪水做好了准备。
cocktail	鸡尾酒	她点了一杯水果鸡尾酒。
cognitive	认知	认知能力随着练习而提高。
coincide	重合	节日将与毕业典礼同时发生。
collaborate	合作	团队在软件上进行合作。
collaboration	合作	他们的合作产生了强大的成果。
collective	集体的	这个决定是集体努力的结果。
collision	碰撞	碰撞堵塞了公路。
colonial	殖民地的	这栋建筑拥有殖民地风格的建筑。
columnist	专栏作家	这位专栏作家批评了该政策。
combat	战斗	士兵们为战斗进行了训练。
commence	开始	典礼将于正午开始。
commentary	解说	这场比赛的解说很生动。
commentator	评论员	评论员解释了这个决定。
commerce	商业	电子商务发展迅速。
commissioner	委员	委员宣布了新规定。
commodity	商品	小麦是一种重要的商品。
communist	共产主义的	共产党举行了会议。
companion	伴侣	她的狗是一个忠实的伴侣。
comparable	可比较的	这两个城市在规模上具有可比性。
compassion	同情	这位护士表现出了极大的同情心。
compel	强迫	证据可能会迫使做出回应。
compelling	令人信服的	这部纪录片提出了一个令人信服的理由。
compensate	补偿	公司将对受影响的客户进行赔偿。
compensation	补偿	工人们要求得到公平的补偿。
competence	能力	这项测试衡量专业能力。
competent	胜任的	她是一位能干的工程师。
compile	汇编	研究人员汇编了来自医院的数据。
complement	补充	葡萄酒将使这顿饭更加完美。
complexity	复杂性	这个项目有着意想不到的复杂性。
compliance	遵守	审计检查了是否符合法律规定。
complication	并发症	这次手术出现了一个并发症。
comply	遵守	公司必须遵守规定。
composition	作曲	这首曲子包括小提琴和钢琴。
compromise	妥协	这一妥协让双方都很满意。
compute	计算	这个程序可以计算出总数。
conceal	隐藏	他试图隐藏损坏的痕迹。
concede	承认	部长拒绝承认失败。
conceive	构想	他们想不出更好的计划。
conception	概念	这部电影改变了我对历史的概念。
concession	让步	公司做出了一项让步。
condemn	谴责	领导人公开谴责了这次袭击。
confer	授予	这个奖项将赋予威望。
confession	供词	他的供词让法庭感到惊讶。
configuration	配置	此配置控制着网络访问。
confine	限制	规定将狗限制在这个区域内。
confirmation	确认	我们通过电子邮件收到了确认。
confront	面对	她决定面对这个问题。
confrontation	对抗	这场对抗在没有暴力的情况下结束了。
congratulate	祝贺	我打电话祝贺我姐姐。
congregation	会众	会众们一起唱歌。
congressional	国会的	国会听证会持续了几个小时。
conquer	征服	这个团队希望征服市场。
conscience	良心	他的良心不允许说谎。
consciousness	意识	那场事故影响了他的意识。
consecutive	连续的	她连续赢了三场比赛。
consensus	共识	委员会很快达成了共识。
consent	同意	需要书面同意。
conserve	节约	我们在干旱期间节约用水。
consistency	连贯性	在语言学习中坚持不懈很重要。
consolidate	合并	公司将合并两个办事处。
constituency	选区	候选人走访了每个选区。
constitute	构成	女性占委员会人数的一半。
constitution	宪法	宪法保障言论自由。
constitutional	宪法的	法院审查了宪法权利。
constraint	限制	预算限制制约了该项目。
consultation	咨询	咨询持续了两周。
contemplate	考虑	她停下来仔细考虑这个提议。
contempt	蔑视	他表现出对规则的蔑视。
contend	竞争	多家公司竞争这份合同。
contender	竞争者	她是一个强有力的竞争者。
content2	满意的	他对结果感到满意。
contention	争论	主要的争论点是资金问题。
continually	不断地	系统不断地检查错误。
contractor	承包商	承包商修好了屋顶。
contradiction	矛盾	他的声明中含有一个矛盾。
contrary	相反的	相反的证据改变了这起案件。
contributor	撰稿人	她是一位定期的撰稿人。
conversion	转换	兑换过程将美元变成了欧元。
convict	定罪	陪审团可能会将嫌疑人定罪。
conviction	定罪	他的定罪震惊了公众。
cooperate	合作	请配合调查。
cooperative	合作的	工作人员表现得很配合而且很冷静。
coordinate	协调	他们每天早上协调送货事宜。
coordination	协调	良好的协调节省了时间。
coordinator	协调员	协调员分配了各项任务。
cop	警察	一名警察站在警察局外。
copper	铜	这根管子是铜做的。
copyright	版权	这张图片受版权保护。
correction	纠正	老师做了一处修改。
correlate	相关	高压可能与疾病相关。
correlation	相关性	这项研究发现了很强的相关性。
correspond	对应	这些数字与标签相对应。
correspondence	通信	他们的通信持续了数年。
correspondent	记者	记者从开罗发回了报道。
corresponding	相应的	每个按钮都有一个相应的指示灯。
corrupt	腐败的	那名腐败的官员收了钱。
corruption	腐败	腐败削弱了公众的信任。
costly	昂贵的	这个错误让团队付出了高昂的代价。
councillor	议员	议员回答了居民们的问题。
counselling	心理咨询	事故发生后她接受了心理咨询。
counsellor	顾问	辅导员帮助了新生。
counter (argue against)	反驳	她试图反驳他的论点。
counterpart	对应人物	他会见了他的日本同行。
countless	无数的	无数的志愿者加入了搜寻工作。
coup	政变	这场政变罢免了总统。
courtesy	礼貌	她感谢了他们的盛情。
