source_headword	SW	example_SW
festival	tamasha	Tamasha linaanza kesho.
few	chache	Wanafunzi wachache wako hapa.
fifteen	kumi na tano	Nina miaka kumi na tano.
fifth	ya tano	Hili ni somo la tano.
fifty	hamsini	Mama yangu ana miaka hamsini.
fill	kujaza	Jaza kikombe kwa maji.
film	filamu	Tunatazama filamu.
final	ya mwisho	Hili ni swali la mwisho.
find	kupata; kutafuta	Ninapata funguo zangu.
fine	sawa; vizuri	Ninahisi vizuri sasa.
finish	kumaliza	Maliza kazi yako ya nyumbani.
fire	moto	Moto una joto kali.
first	kwanza	Yeye ni wa kwanza kwenye foleni.
fish	samaki	Ninakula samaki kwa chakula cha jioni.
five	tano	Nina vitabu vitano.
flat	fleti	Fleti yangu ni ndogo.
flight	safari ya ndege	Safari ya ndege imechelewa.
floor	sakafu	Mfuko uko sakafuni.
flower	ua	Ua hili ni la njano.
fly	kuruka	Ndege huruka angani.
follow	kufuata	Nifuate, tafadhali.
food	chakula	Chakula kiko tayari.
foot	mguu; unyayo	Unyayo wangu unauma.
football	mpira wa miguu	Tunacheza mpira wa miguu leo.
for	kwa; kwa ajili ya	Zawadi hii ni kwa ajili yako.
forget	kusahau	Usisahau funguo zako.
form	fomu	Jaza fomu.
forty	arobaini	Baba yangu ana miaka arobaini.
four	nne	Ninaona ndege wanne.
fourteen	kumi na nne	Ana miaka kumi na nne.
fourth	ya nne	Hii ni ghorofa ya nne.
free	bure	Tiketi ni bure.
Friday	Ijumaa	Tunakutana Ijumaa.
friend	rafiki	Rafiki yangu yuko hapa.
friendly	mwenye urafiki	Mwalimu ni mwenye urafiki.
from	kutoka	Ninatoka hapa.
front	mbele	Simama mbele.
fruit	matunda	Ninakula matunda kila siku.
full	imejaa; kamili	Chupa imejaa.
fun	furaha; burudani	Mchezo huu unafurahisha.
funny	ya kuchekesha	Filamu inachekesha.
future	mustakabali; baadaye	Fikiria kuhusu mustakabali wako.
game	mchezo	Mchezo unaanza sasa.
garden	bustani	Bustani ni nzuri.
geography	jiografia	Ninasoma jiografia shuleni.
get	kupata; kufika	Ninafika nyumbani jioni.
girl	msichana	Msichana anatabasamu.
girlfriend	mpenzi wa kike	Mpenzi wake wa kike ni mwema.
give	kutoa; kumpa	Nipe kitabu.
glass	glasi	Ninakunywa kwa glasi.
go	kwenda	Tunaenda nyumbani sasa.
good	nzuri	Kahawa hii ni nzuri.
goodbye	kwaheri	Kwaheri, tutaonana kesho.
grandfather	babu	Babu yangu ni mzee.
grandmother	bibi	Bibi yangu anatengeneza supu.
grandparent	babu au bibi	Babu mmoja anaishi nasi.
great	bora; nzuri sana	Hili ni wazo bora.
green	kijani	Mlango ni wa kijani.
grey	kijivu	Anga ni la kijivu.
group	kundi	Fanyeni kazi katika kundi dogo.
grow	kukua	Mimea hukua bustanini.
guess	kubashiri	Bashiri jibu.
guitar	gitaa	Anapiga gitaa.
gym	ukumbi wa mazoezi	Ninaenda ukumbi wa mazoezi.
hair	nywele	Nywele zake ni ndefu.
half	nusu	Kata keki nusu.
hand	mkono	Inua mkono wako.
happen	kutokea	Nini kitatokea baadaye?
happy	furaha	Nina furaha leo.
hard	ngumu	Kiti hiki ni kigumu.
hat	kofia	Kofia yangu ni nyeusi.
hate	kuchukia	Ninachukia chai baridi.
have	kuwa na	Nina gari.
have to modal	lazima	Lazima nisome.
he	yeye	Yeye ni kaka yangu.
head	kichwa	Kichwa changu kinauma.
health	afya	Chakula kizuri husaidia afya yako.
healthy	yenye afya	Mlo huu ni wenye afya.
hear	kusikia	Ninasikia muziki.
hello	hujambo	Hujambo, nimefurahi kukutana nawe.
help	kusaidia	Tafadhali nisaidie.
her	yake; yeye	Huu ni mfuko wake.
here	hapa	Njoo hapa sasa.
hey	hei	Hei, nisubiri.
hi	habari	Habari, hujambo?
high	juu; mrefu	Ukuta ni mrefu.
him	yeye; kwake	Ninamjua.
his	yake	Koti lake ni la buluu.
history	historia	Ninasoma historia.
hobby	hobi	Kusoma ni hobi yangu.
holiday	likizo	Tunachukua likizo mwezi Julai.
home	nyumbani	Niko nyumbani.
homework	kazi ya nyumbani	Fanya kazi yako ya nyumbani leo usiku.
hope	kutumaini	Natumaini utakuja.
horse	farasi	Farasi anakimbia haraka.
hospital	hospitali	Hospitali iko karibu hapa.
hot	moto	Supu ni moto.
hotel	hoteli	Hoteli ni safi.
hour	saa	Subiri saa moja.
house	nyumba	Nyumba hii ni ya zamani.
how	jinsi; vipi	Habari yako?
however	hata hivyo	Hata hivyo, ninaweza kukaa hapa.
hundred	mia	Watu mia moja walikuja.
hungry	njaa	Nina njaa.
husband	mume	Mume wake ni daktari.
I	mimi	Ninapenda chai.
ice	barafu	Barafu ni baridi.
ice cream	aisikrimu	Nataka aisikrimu.
idea	wazo	Hilo ni wazo zuri.
if	ikiwa; kama	Nipigie simu ikiwa unahitaji msaada.
imagine	kufikiria	Fikiria nyumba ndogo.
important	muhimu	Somo hili ni muhimu.
improve	kuboresha	Nataka kuboresha.
in	ndani ya	Funguo ziko ndani ya mfuko wangu.
include	kujumuisha	Tafadhali jumuisha jina lako.
information	taarifa; habari	Nahitaji taarifa zaidi.
interest	shauku; hamu	Ana shauku katika sanaa.
interested	kuvutiwa	Ninavutiwa na muziki.
interesting	ya kuvutia	Kitabu hiki kinavutia.
internet	intaneti	Intaneti ni polepole.
interview	mahojiano	Nina mahojiano leo.
into	ndani ya	Weka vitabu ndani ya mfuko.
introduce	kumtambulisha	Tafadhali mtambulishe rafiki yako.
island	kisiwa	Kisiwa hiki ni kidogo.
it	hicho; hiyo	Kuna baridi.
its	yake	Mbwa anapenda kitanda chake.
jacket	jaketi	Jaketi langu ni jipya.
January	Januari	Januari ni mwezi wa kwanza.
jeans	jinzi	Jinzi zangu ni za buluu.
job	kazi	Nahitaji kazi mpya.
join	kujiunga	Jiunge na darasa letu leo.
journey	safari	Safari ni ndefu.
juice	juisi	Ninakunywa juisi ya machungwa.
July	Julai	Tunasafiri mwezi Julai.
June	Juni	Shule inaisha mwezi Juni.
just	tu; sasa hivi	Nahitaji maji tu.
keep	kuweka; kutunza	Tunza ufunguo huu.
key	ufunguo	Nilipoteza ufunguo wangu.
kilometre	kilomita	Tembea kilomita moja.
kind (type)	aina	Unapenda aina gani ya muziki?
kitchen	jikoni	Jikoni ni safi.
know	kujua	Najua jibu.
land	ardhi; nchi kavu	Ndege iko ardhini.
language	lugha	Kiingereza ni lugha.
large	kubwa	Chumba hiki ni kikubwa.
last1 (final)	mwisho	Huu ni ukurasa wa mwisho.
late	kuchelewa; ya kuchelewa	Basi limechelewa.
later	baadaye	Tutaonana baadaye.
laugh	kucheka	Tunacheka pamoja.
learn	kujifunza	Ninajifunza Kiingereza.
leave	kuondoka; kuacha	Acha mlango wazi.
left	kushoto	Geuka kushoto hapa.
leg	mguu	Mguu wangu unauma.
lesson	somo	Somo linaanza sasa.
let	kuruhusu; acha	Acha nikusaidie.
letter	barua	Ninaandika barua.
library	maktaba	Maktaba inafunguliwa saa tatu.
lie1	kulala; kujilaza	Tafadhali lala kitandani.
life	maisha	Maisha ya mjini yana shughuli nyingi.
like (similar)	kama	Ni kama mchezo.
like (find sb/sth pleasant)	kupenda	Ninapenda wimbo huu.
line	mstari; foleni	Simama kwenye foleni.
lion	simba	Simba amelala.
list	orodha	Tengeneza orodha ya ununuzi.
listen	kusikiliza	Msikilize mwalimu.
little	kidogo	Nina pesa kidogo.
live1	kuishi	Ninaishi karibu na shule.
local	ya eneo; ya karibu	Hili ni duka la karibu.
long1	ndefu; mrefu	Barabara ni ndefu.
look	kuangalia	Angalia picha.
lose	kupoteza	Usipoteze tiketi yako.
lot	nyingi; kiasi kikubwa	Nina kazi nyingi ya nyumbani.
love	kupenda	Ninaipenda familia yangu.
lunch	chakula cha mchana	Chakula cha mchana kiko tayari.
