source_headword	HR	example_HR
identification	identifikacija	Na ulazu je potrebna identifikacija.
ideological	ideološki	Spor je imao ideološke korijene.
ideology	ideologija	Njegova je ideologija oblikovala svaki govor.
idiot	idiot	Ne nazivajte nikoga idiotom.
ignorance	neznanje	Neznanje može širiti strah.
imagery	slike	Pjesma koristi živopisne slike.
immense	ogroman	Projekt je zahtijevao ogroman trud.
imminent	neizbježan	Oluja se činila neizbježnom.
implementation	provedba	Provedba zakona bila je spora.
imprison	zatvoriti	Režim je pokušao zatvoriti kritičare.
imprisonment	zatvor	Njegova zatvorska kazna trajala je pet godina.
inability	nesposobnost	Njezina nesposobnost fokusiranja zabrinula je učitelje.
inadequate	neadekvatan	Sklonište je imalo neadekvatno grijanje.
inappropriate	neprikladan	Njegova je šala bila neprikladna.
incidence	učestalost	Učestalost gripe se povećala.
inclined	sklon	Sklona je složiti se.
inclusion	uključenost	Škola promiče uključenost.
