source_headword	RO	example_RO
beast	bestia	Povestea descrie o bestie fioroasă.
behalf	numele	Ea a vorbit în numele echipei sale.
beloved	iubit	Profesorul iubit s-a pensionat astăzi.
bench	banca	Ei s-au așezat pe o bancă de lemn.
benchmark	standardul	Testul a devenit un standard în industrie.
beneath	sub	Documentele erau sub dosar.
beneficiary	beneficiarul	Fiul ei a fost principalul beneficiar.
betray	a trăda	Nu trăda încrederea prietenului tău.
bind	a lega	Acordul va obliga ambele companii.
biography	biografia	Biografia lui s-a vândut în multe exemplare.
bishop	episcopul	Episcopul a vizitat biserica din sat.
bizarre	bizar	Filmul a avut un final bizar.
blade	lama	Lama a tăiat frânghia.
blast	explozia	Explozia a spart ferestrele din apropiere.
bleed	a sângera	Tăietura a început să sângereze puternic.
blend	a amesteca	Amestecă sosul până devine fin.
bless	a binecuvânta	Preotul va binecuvânta casa.
blessing	binecuvântarea	A avea sprijin a fost o binecuvântare.
boast	a se lăuda	Îi place să se laude cu banii.
bonus	bonusul	Angajații au primit un bonus de sărbători.
boom	avântul	Orașul a cunoscut un avânt al construcțiilor.
bounce	a sări	Mingea poate sări foarte sus.
boundary	granița	Râul marchează granița.
bow1	plecăciunea	Actorul a făcut o plecăciune adâncă.
breach	breșa	Breșa a expus date private.
breakdown	defalcarea	Raportul include o defalcare a costurilor.
breakthrough	progresul	Descoperirea a fost o reușită majoră.
breed	a se înmulți	Aceste păsări se înmulțesc primăvara.
broadband	banda largă	Biroul are nevoie de o bandă largă mai rapidă.
browser	browserul	Actualizează-ți browserul înainte de a te conecta.
brutal	brutal	Atacul a fost brutal și brusc.
buck	dolarul	Biletul costă zece dolari.
buddy	amicul	Amicul lui a așteptat afară.
buffer	zona tampon	Copacii creează o zonă tampon pentru zgomot.
bulk	vracul	Ei au cumpărat orez vrac.
burden	povara	Datoria a devenit o povară grea.
bureaucracy	birocrația	Birocrația a întârziat permisul.
burial	înmormântarea	Înmormântarea a avut loc în zori.
burst	a se sparge	Țeava se poate sparge sub presiune.
cabinet	cabinetul	Cabinetul a aprobat planul.
calculation	calculul	Calculul a durat câteva minute.
canvas	pânza	Artistul a pictat pe o pânză mare.
capability	capacitatea	Dispozitivul are capacitate wireless.
capitalism	capitalismul	Capitalismul a modelat economia modernă.
capitalist	capitalist	Sistemul capitalist recompensează investițiile private.
cargo	încărcătura	Nava a transportat încărcătură medicală.
carriage	vagonul	Vagonul de tren era aproape gol.
carve	a sculpta	El va sculpta lemnul cu grijă.
casino	cazinoul	Cazinoul s-a deschis lângă hotel.
casualty	victima	Accidentul a provocat o victimă.
catalogue	catalogul	Catalogul listează fiecare produs.
cater	a asigura catering	Restaurantul poate asigura catering pentru evenimente mari.
cattle	vitele	Vitele pășteau lângă râu.
caution	prudența	Folosiți prudența pe drumurile înghețate.
cautious	precaut	Investitorii rămân precauți în această săptămână.
cease	a înceta	Fabrica va înceta producția în curând.
cemetery	cimitirul	Cimitirul are vedere la mare.
chamber	camera	Camera a fost tăcută în timpul votului.
chaos	haosul	Întârzierea a provocat haos la aeroport.
characterize	a caracteriza	Experții caracterizează planul drept riscant.
charm	farmecul	Orașul are un farmec din lumea veche.
charter	carta	Carta protejează drepturile fundamentale.
chronic	cronic	El suferă de dureri cronice de spate.
chunk	bucata	Taie brânza într-o bucată.
circulate	a distribui	Te rog să distribui agenda astăzi.
circulation	tirajul	Tirajul ziarului a scăzut brusc.
citizenship	cetățenia	Ea a aplicat pentru cetățenia franceză.
civic	civic	Liderii civici au participat la întâlnire.
civilian	civil	Mai multe case civile au fost avariate.
clarity	claritatea	Diagrama a adăugat claritate raportului.
clash	confruntarea	Confruntarea a început după marș.
classification	clasificarea	Clasificarea depinde de mărime.
cling	a se lipi	Hainele ude se lipesc de piele.
clinical	clinic	Studiul clinic începe luna viitoare.
closure	închiderea	Familia a dorit o închidere după acest caz.
cluster	grupul	Un grup de case se afla în apropiere.
coalition	coaliția	Coaliția și-a pierdut majoritatea.
coastal	de coastă	Satele de coastă s-au pregătit pentru inundații.
cocktail	cocktailul	Ea a comandat un cocktail de fructe.
cognitive	cognitiv	Abilitățile cognitive se îmbunătățesc prin practică.
coincide	a coincide	Festivalul va coincide cu absolvirea.
collaborate	a colabora	Echipele colaborează la software.
collaboration	colaborarea	Colaborarea lor a produs rezultate puternice.
collective	colectiv	Decizia a fost un efort colectiv.
collision	coliziunea	Coliziunea a blocat autostrada.
colonial	colonial	Clădirea are o arhitectură colonială.
columnist	columnistul	Columnistul a criticat politica.
combat	lupta	Soldații s-au antrenat pentru luptă.
commence	a începe	Ceremonia va începe la prânz.
commentary	comentariul	Comentariul meciului a fost plin de viață.
commentator	comentatorul	Comentatorul a explicat decizia.
commerce	comerțul	Comerțul online a crescut rapid.
commissioner	comisarul	Comisarul a anunțat noi reguli.
commodity	marfa	Grâul este o marfă importantă.
communist	comunist	Partidul comunist a organizat o întâlnire.
companion	tovarășul	Câinele ei este un tovarăș loial.
comparable	comparabil	Cele două orașe sunt comparabile ca mărime.
compassion	compasiunea	Asistenta a dat dovadă de multă compasiune.
compel	a sili	Dovezile ar putea sili un răspuns.
compelling	convingător	Documentarul a prezentat un caz convingător.
compensate	a compensa	Compania îi va compensa pe clienții afectați.
compensation	compensația	Muncitorii au cerut o compensație echitabilă.
competence	competența	Testul măsoară competența profesională.
competent	competent	Ea este un inginer competent.
compile	a compila	Cercetătorii compilează date de la spitale.
complement	a completa	Vinul va completa masa.
complexity	complexitatea	Proiectul are o complexitate neașteptată.
compliance	conformitatea	Auditul a verificat conformitatea legală.
complication	complicația	Operația a avut o complicație.
comply	a se conforma	Companiile trebuie să se conformeze reglementărilor.
composition	compoziția	Compoziția include vioară și pian.
compromise	compromisul	Compromisul a mulțumit ambele părți.
compute	a calcula	Programul poate calcula totalul.
conceal	a ascunde	A încercat să ascundă pagubele.
concede	a recunoaște	Ministrul a refuzat să recunoască înfrângerea.
conceive	a concepe	Nu au putut concepe un plan mai bun.
conception	concepția	Filmul mi-a schimbat concepția despre istorie.
concession	concesia	Compania a oferit o concesie.
condemn	a condamna	Liderii condamnă public atacul.
confer	a conferi	Premiul va conferi prestigiu.
confession	mărturisirea	Mărturisirea lui a surprins instanța.
configuration	configurația	Configurația controlează accesul la rețea.
confine	a restrânge	Regulile restrâng câinii la această zonă.
confirmation	confirmarea	Am primit confirmarea prin e-mail.
confront	a confrunta	Ea a decis să confrunte problema.
confrontation	confruntarea	Confruntarea s-a încheiat fără violență.
congratulate	a felicita	Am sunat-o pe sora mea să o felicit.
congregation	congregația	Congregația a cântat împreună.
congressional	congresional	Audierea congresională a durat ore întregi.
conquer	a cuceri	Echipa speră să cucerească piața.
conscience	conștiința	Conștiința lui nu i-a permis să mintă.
consciousness	conștiența	Accidentul i-a afectat conștiența.
consecutive	consecutiv	A câștigat trei meciuri consecutive.
consensus	consensul	Comitetul a ajuns rapid la un consens.
consent	consimțământul	Este necesar consimțământul scris.
conserve	a conserva	Noi conservăm apa în timpul secetelor.
consistency	consecvența	Consecvența contează în studiul limbilor.
consolidate	a consolida	Compania va consolida două birouri.
constituency	circumscripția	Candidatul a vizitat fiecare circumscripție.
constitute	a constitui	Femeile constituie jumătate din comitet.
constitution	constituția	Constituția garantează libertatea de exprimare.
constitutional	constituțional	Instanța a revizuit drepturile constituționale.
constraint	constrângerea	Constrângerea bugetară a limitat proiectul.
consultation	consultația	Consultația a durat două săptămâni.
contemplate	a contempla	S-a oprit pentru a contempla oferta.
contempt	disprețul	A arătat dispreț față de reguli.
contend	a concura	Mai multe firme concurează pentru contract.
contender	candidatul	Ea este un candidat puternic.
content2	mulțumit	S-a simțit mulțumit de rezultat.
contention	disputa	Disputa principală privește finanțarea.
continually	continuu	Sistemul verifică continuu erorile.
contractor	contractorul	Contractorul a reparat acoperișul.
contradiction	contradicția	Declarația lui conținea o contradicție.
contrary	contrar	Dovezile contrare au schimbat cazul.
contributor	contribuitorul	Ea este un contribuitor obișnuit.
conversion	conversia	Conversia a schimbat dolari în euro.
convict	a condamna	Juriul ar putea condamna suspectul.
conviction	condamnarea	Condamnarea sa a șocat publicul.
cooperate	a coopera	Vă rugăm să cooperați cu investigația.
cooperative	cooperant	Personalul a fost cooperant și calm.
coordinate	a coordona	Ei coordonează livrările în fiecare dimineață.
coordination	coordonarea	Buna coordonare a economisit timp.
coordinator	coordonatorul	Coordonatorul a atribuit fiecare sarcină.
cop	polițistul	Un polițist stătea în afara stației.
copper	cuprul	Țeava este din cupru.
copyright	dreptul de autor	Imaginea este protejată de dreptul de autor.
correction	corectura	Profesorul a făcut o corectură.
correlate	a corela	Stresul ridicat se poate corela cu bolile.
correlation	corelația	Studiul a găsit o corelație puternică.
correspond	a corespunde	Aceste numere corespund etichetelor.
correspondence	corespondența	Corespondența lor a durat ani de zile.
correspondent	corespondentul	Corespondentul a transmis din Cairo.
corresponding	corespunzător	Fiecare buton are o lumină corespunzătoare.
corrupt	corupt	Oficialul corupt a acceptat bani.
corruption	corupția	Corupția a slăbit încrederea publicului.
costly	costisitor	Eroarea a fost costisitoare pentru echipă.
councillor	consilierul	Consilierul a răspuns întrebărilor rezidenților.
counselling	consilierea	A primit consiliere după accident.
counsellor	consilierul	Consilierul a ajutat noii studenți.
counter (argue against)	a contraargumenta	Ea a încercat să îi contraargumenteze.
counterpart	omologul	Și-a întâlnit omologul japonez.
countless	nenumărat	Nenumărați voluntari s-au alăturat căutării.
coup	lovitura de stat	Lovitura de stat l-a înlăturat pe președinte.
courtesy	curtoazia	I-a mulțumit pentru curtoazia lor.
