source_headword	JA	example_JA
novelist	小説家	小説家は彼女の本にサインしました。
nowadays	最近は	最近は、多くの人がオンラインで働いています。
nursing	看護	彼女は看護を勉強しています。
nutrition	栄養	良い栄養は健康を支えます。
obesity	肥満	肥満は健康リスクを高めます。
observer	観察者	観察者は結果を記録しました。
obstacle	障害物	倒れた木は障害物でした。
occupation	職業	ここにあなたの職業を書いてください。
occupy	占有する	家族がそのアパートを占有します。
offender	犯罪者	犯罪者は法廷で謝罪しました。
ongoing	進行中の	調査は進行中です。
openly	公然と	彼女は自分の恐怖について公然と話しました。
opera	オペラ	私たちはミラノでオペラを見ました。
operator	オペレーター	オペレーターが電話をつなぎました。
optimistic	楽観的な	彼女は未来について楽観的です。
orchestra	オーケストラ	オーケストラは静かに演奏しました。
organic	有機の	彼らは有機野菜を買いました。
outfit	服装	彼女の服装はその場に合っていました。
output	出力	機械の出力が増加しました。
outstanding	傑出した	彼のパフォーマンスは傑出していました。
overcome	克服する	彼らは一緒に問題を克服します。
overnight	一晩で	荷物は一晩で届きました。
overseas	海外で	彼は海外で仕事を見つけました。
ownership	所有権	土地の所有権が変わりました。
oxygen	酸素	植物は酸素を作ります。
packet	袋	袋を慎重に開けてください。
palm	手のひら	コインを手のひらに持ってください。
panic	パニック	パニックが群衆に広がりました。
parade	パレード	パレードは正午に始まりました。
parallel	平行の	道路は平行に走っています。
participation	参加	授業への参加が改善されました。
partnership	パートナーシップ	パートナーシップは両方の会社を助けました。
part-time	パートタイムの	彼女はパートタイムの仕事を見つけました。
passionate	情熱的な	彼は音楽に情熱的です。
password	パスワード	強力なパスワードを選んでください。
patience	忍耐	幼児を教えるには忍耐が必要です。
pause	一時停止する	今すぐビデオを一時停止してください。
peer	仲間	仲間のプレッシャーが彼の選択に影響しました。
penalty	ペナルティ	選手はペナルティを受けました。
perceive	認識する	人々はリスクを違ったように認識します。
perception	認識	彼の危険に対する認識が変わりました。
permanently	永久に	その店は永久に閉店しました。
pill	錠剤	朝食後に錠剤を1つ飲んでください。
pity	残念なこと	それは残念なことです。
placement	配置	ソファの配置は重要です。
portion	1人前	ご飯を少量出してください。
potentially	潜在的に	この変更は潜在的に役に立ちます。
precede	先行する	暗い雲はしばしば雨に先行します。
precious	貴重な	その指輪は貴重です。
precise	正確な	その指示は正確でした。
precisely	正確に	距離を正確に測ってください。
predictable	予測可能な	結末は予測可能でした。
preference	好み	彼女はお茶の好みを表現しました。
pride	誇り	彼は終わった後に誇りを感じました。
primarily	主に	そのコースは主にオンラインです。
principal	校長	校長は新入生に挨拶しました。
prior	事前の	私たちは事前の承認が必要です。
probability	確率	雨の確率が高いです。
probable	可能性の高い	今夜は雨の可能性が高いです。
proceed	進む	次の部屋に進んでください。
programming	プログラミング	プログラミングには練習が必要です。
progressive	進歩的な	その政策は当時としては進歩的でした。
prohibit	禁止する	規則は喫煙を禁止しています。
promising	有望な	結果は有望に見えます。
promotion	昇進	彼女は仕事で昇進しました。
prompt	迅速な	迅速な対応で時間が節約できました。
proportion	割合	大きな割合が賛成票を投じました。
protein	タンパク質	豆にはタンパク質が含まれています。
protester	抗議者	抗議者は看板を持っていました。
psychological	心理的な	その事故は心理的なストレスを引き起こしました。
publicity	注目	そのイベントは注目を集めました。
publishing	出版	彼女は出版業界で働いています。
punk	パンク	パンク音楽はそこで人気になりました。
purely	純粋に	その選択は純粋に実用的なものでした。
pursuit	追求	彼は正義の追求を続けました。
puzzle	パズル	そのパズルには1時間かかりました。
questionnaire	アンケート	アンケートにご記入ください。
racial	人種の	その報告書は人種の不平等について論じていました。
racism	人種差別	人種差別は地域社会に害を及ぼします。
racist	人種差別的な	そのコメントは人種差別的でした。
radiation	放射線	放射線は細胞を傷つける可能性があります。
rail	手すり	階段の手すりにつかまってください。
random	ランダムな	コンピューターはランダムな数字を選びました。
rat	ネズミ	ネズミがゴミ箱の後ろを走りました。
rating	評価	そのホテルは高い評価を得ています。
reasonably	かなり	その部屋はかなりきれいでした。
rebuild	再建する	彼らはその橋を再建します。
receiver	レシーバー	レシーバーがボールをキャッチしました。
recession	不景気	不景気は支出を減らしました。
reckon	思う	私は電車が遅れていると思います。
recognition	評価	彼女は仕事に対して評価を受けました。
recovery	回復	回復には数週間かかりました。
recruit	採用する	会社はエンジニアを採用します。
recruitment	採用	採用は来週の月曜日に始まります。
referee	審判	審判が試合を止めました。
refugee	難民	難民は安全な家を見つけました。
registration	登録	登録は金曜日に締め切られます。
regulate	規制する	その法律は排出量を規制します。
reinforce	補強する	追加の梁が屋根を補強しています。
relieve	和らげる	薬は痛みを和らげることができます。
relieved	ほっとした	彼女は電話の後にほっとしました。
remarkable	注目すべき	その回復は注目すべきものでした。
remarkably	驚くほど	彼は驚くほど早く回復しました。
reporting	報道	正確な報道は重要です。
resign	辞任する	マネージャーは明日辞任します。
resolution	解像度	その画面は高い解像度を持っています。
restore	修復する	作業員が古い絵を修復しています。
restrict	制限する	規則で駐車が制限されています。
restriction	制限	その制限は明日終わります。
retail	小売	小売りの売上が増加しました。
retirement	退職	彼女は退職を慎重に計画しました。
revenue	収入	チケットの収入が修理代に充てられました。
revision	復習	試験前の復習が役立ちました。
ridiculous	ばかげた	その値段はばかげていました。
risky	危険な	その計画は危険に見えました。
rival	ライバル	私たちのライバルが新しい店を開きました。
rob	強盗する	男たちは銀行に強盗に入ろうとしました。
robbery	強盗	強盗は夜に起きました。
rocket	ロケット	ロケットの打ち上げは成功しました。
romance	ロマンス	その小説にはロマンスが含まれています。
rose	バラ	赤いバラがフェンスのそばで育ちました。
roughly	およそ	およそ20人が参加しました。
ruin	台無しにする	雨がピクニックを台無しにするかもしれません。
satisfaction	満足	顧客満足度が向上しました。
scandal	スキャンダル	スキャンダルが彼の経歴に傷をつけました。
scare	驚き	大きな音に驚きました。
scenario	シナリオ	最悪のシナリオはありそうにありません。
scholar	学者	その学者は古代のテキストを研究しました。
scholarship	奨学金	彼女は奨学金を獲得しました。
scratch	引っかき傷	猫が引っかき傷を残しました。
screening	検査	病院はがん検査を提供しています。
seeker	求職者	求職者は応募書類を送りました。
seminar	セミナー	セミナーは9時に始まります。
settler	開拓者	その開拓者は小さな農場を建てました。
severely	ひどく	嵐が道路をひどく傷つけました。
sexy	セクシーな	そのドレスはセクシーだと見なされました。
shocking	衝撃的な	そのニュースは衝撃的でした。
shore	岸	私たちは岸に沿って歩きました。
shortage	不足	その都市は水不足に直面しました。
shortly	間もなく	バスは正午過ぎに間もなく到着しました。
short-term	短期的な	その計画には短期的な利点があります。
sibling	兄弟	各兄弟は贈り物を受け取りました。
signature	署名	署名を追加してください。
significance	意義	その発見には大きな意義があります。
skilled	熟練した	熟練した労働者が屋根を修理しました。
slogan	スローガン	そのキャンペーンはシンプルなスローガンを使いました。
so-called	いわゆる	いわゆる専門家がミスをしました。
somehow	どういうわけか	どういうわけか、鍵がなくなりました。
sometime	いつか	来週のいつか私たちを訪ねてきてください。
sophisticated	洗練された	そのソフトウェアは洗練されています。
spare	予備の	私たちは予備の鍵を保管しています。
specialize	専門とする	医師はさまざまな分野を専門としています。
specify	指定する	到着時間を指定してください。
spectacular	壮観な	花火は壮観でした。
spectator	観客	各観客はプログラムを受け取りました。
speculate	推測する	専門家は原因について推測しています。
speculation	推測	その記事は推測を促しました。
spice	スパイス	スパイスを一度に1つずつ加えてください。
spill	こぼす	ジュースをこぼさないでください。
spite	悪意	彼は問題にもかかわらず成功しました。
spoil	台無しにする	塩が多すぎるとスープが台無しになる可能性があります。
spokesman	報道官	報道官が質問に答えました。
spokesperson	報道官	報道官が声明を読み上げました。
spokeswoman	女性報道官	女性報道官がマスコミに語りました。
sponsorship	スポンサーシップ	そのチームにはスポンサーシップが必要です。
sporting	スポーツの	その都市はスポーツイベントを主催しています。
stall	屋台	市場の屋台では果物を売っています。
stance	立場	大臣は立場を変えました。
starve	飢える	食べ物がないと、動物は飢える可能性があります。
steadily	着実に	会社は着実に成長しました。
steam	湯気	スープから湯気が上がりました。
stimulate	刺激する	明るい色は興味を刺激することができます。
