source_headword	HR	example_HR
smile	osmijeh; nasmiješiti se	Nasmiješi se kameri.
smoke	dim	Dim je ispunio sobu.
smoking	pušenje	Pušenje nije dopušteno.
soap	sapun	Koristi sapun i vodu.
soccer	nogomet	Nogomet je ovdje popularan.
social	društven	Ovo je društveni događaj.
society	društvo	Društvo se mijenja s vremenom.
sock	čarapa	Jedna čarapa nedostaje.
soft	mekan	Ova deka je mekana.
soldier	vojnik	Vojnik se vratio kući.
solution	rješenje	Pronašli smo rješenje.
solve	riješiti	Riješi ovu zagonetku.
somewhere	negdje	Stavi to negdje na sigurno.
sort	vrsta	Koju vrstu želiš?
source	izvor	Prvo provjeri izvor.
speaker	govornik; zvučnik	Zvučnik je bio glasan.
specific	određen	Trebam određeni odgovor.
speech	govor	Njezin govor je bio kratak.
speed	brzina	Smanji brzinu ovdje.
spider	pauk	Na zidu je pauk.
spoon	žlica	Koristi žlicu za juhu.
square	kvadratan	Nacrtaj kvadratnu kutiju.
stage	pozornica	Bend je na pozornici.
stair	stuba	Stuba je slomljena.
stamp	marka	Stavi marku na pismo.
state	izjaviti	Jasno reci svoje ime.
steal	ukrasti	Nemoj krasti novac.
step	korak	Napravi jedan korak naprijed.
stomach	želudac	Boli me želudac.
stone	kamen	Kamen je težak.
store	trgovina	Trgovina se rano zatvara.
storm	oluja	Dolazi oluja.
straight	ravno	Idi ravno kući.
strange	čudan	Taj zvuk je čudan.
strategy	strategija	Trebamo strategiju.
stress	stres	Posao može izazvati stres.
structure	struktura	Ova struktura je čvrsta.
stupid	glup	To je bila glupa pogreška.
succeed	uspjeti	Ovdje možeš uspjeti.
successful	uspješan	Postala je uspješna.
such	takav	Takva pomoć je korisna.
suddenly	iznenada	Iznenada je pas pobjegao.
suggest	predložiti	Predlažem kratku pauzu.
suggestion	prijedlog	Tvoj prijedlog je koristan.
suit	odijelo	Ovo odijelo je skupo.
support	podržati	Podržavamo naš tim.
suppose	pretpostaviti	Pretpostavljam da si u pravu.
surprise	iznenađenje	Iznenađenje ju je razveselilo.
surprised	iznenađen	Danas je bila iznenađena.
surprising	iznenađujući	Rezultat je bio iznenađujući.
survey	anketa	Molim te, ispuni anketu.
sweet	sladak	Ovaj čaj je sladak.
symbol	simbol	Ovaj simbol znači opasnost.
system	sustav	Sustav dobro radi.
tablet	tablet	Moj tablet je na stolu.
target	meta	Pažljivo pogodi metu.
task	zadatak	Ovaj zadatak je lagan.
taste	okus; kušati	Prvo kušaj juhu.
teaching	poučavanje	Poučavanje je težak posao.
technology	tehnologija	Tehnologija se brzo mijenja.
teenage	tinejdžerski	Moj brat tinejdžer marljivo uči.
temperature	temperatura	Temperatura je niska.
term	rok; polugodište	Ovo polugodište uskoro završava.
themselves	oni sami	Sami su skuhali večeru.
thick	debeo	Ova knjiga je debela.
thief	lopov	Lopov je pobjegao.
thin	tanak	Papir je tanak.
thinking	razmišljanje	Razmišljanje zahtijeva vrijeme.
thought	misao	Imao sam čudnu misao.
throw	baciti	Lagano baci loptu.
tidy	uredan	Drži svoju sobu urednom.
tie	vezati	Zaveži cipele sada.
tip	savjet; napojnica	Ostavi napojnicu za uslugu.
tool	alat	Koristi pravi alat.
top	vrh; gornji dio	Gornja polica je puna.
touch	dodirnuti	Ne dodiruj staklo.
tour	obilazak	Išli smo u obilazak grada.
tourism	turizam	Turizam pomaže ovom gradu.
towards	prema	Idi prema stanici.
towel	ručnik	Uzmi čist ručnik.
tower	toranj	Toranj je vrlo star.
toy	igračka	Autić igračka je crven.
track	tračnica; trag	Tračnica vodi prema sjeveru.
tradition	tradicija	Ova tradicija je stara.
traditional	tradicionalan	Nosila je tradicionalnu odjeću.
trainer	trener	Moj trener je koristan.
training	trening	Trening počinje sutra.
transport	prijevoz	Javni prijevoz kasni.
traveller	putnik	Putnik je zatražio pomoć.
trouble	problem	Jučer smo imali problem.
truck	kamion	Kamion je vani.
twin	blizanac	Moja sestra blizanka je viša.
typical	tipičan	Ovo je tipičan dan.
underground	podzemni	Vlak ide pod zemljom.
understanding	razumijevanje	Tvoje razumijevanje je točno.
unfortunately	nažalost	Nažalost, trgovina je zatvorena.
unhappy	nesretan	Izgleda nesretno.
uniform	uniforma	Nosi školsku uniformu.
unit	jedinica	Ova jedinica je mala.
united	ujedinjen	Tim je ostao ujedinjen.
unusual	neobičan	Taj zvuk je neobičan.
used to modal	nekad smo	Nekad smo živjeli ovdje.
user	korisnik	Svaki korisnik ima broj.
usual	uobičajen	Zauzeo sam svoje uobičajeno mjesto.
valley	dolina	Dolina je zelena.
van	kombi	Kombi je pun.
variety	raznolikost	Trebamo više raznolikosti.
vehicle	vozilo	Ovo vozilo je sporo.
view	pogled	Pogled je lijep.
virus	virus	Virus ga je razbolio.
voice	glas	Njezin glas je tih.
war	rat	Rat je završio prije mnogo godina.
washing	pranje	Rublje je vani.
wave	val	Val je udario brod.
weak	slab	Noge su mi slabe.
web	web	Web-stranica je otvorena.
wedding	vjenčanje	Vjenčanje uskoro počinje.
weight	težina	Prvo provjeri težinu.
wet	mokar	Cipele su mi mokre.
wheel	kotač	Kotač je slomljen.
while	neko vrijeme	Čekaj ovdje neko vrijeme.
whole	cijeli	Pojeo sam cijelu jabuku.
whose	čiji	Čiji je ovo telefon?
wide	širok	Cesta je široka.
wild	divlji	Ovdje žive divlje životinje.
wind1	vjetar	Vjetar je jak.
winner	pobjednik	Pobjednik se nasmiješio.
wish	želja	Zamisli želju.
wood	drvo	Stolica je od drveta.
wooden	drven	Drvena kutija je teška.
working	radni	Radni dan je završio.
worried	zabrinut	Danas sam zabrinut.
worry	brinuti se	Ne brini se sada.
worse	gori	Ova bol je gora.
worst	najgori	To je bio najgori dan.
wow	vau	Vau, to je nevjerojatno!
yet	još; već	Jesmo li već stigli?
yours	tvoj; vaš	Ova knjiga je tvoja.
zero	nula	Broji unatrag do nule.
