hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
2041:本地	本地	本地	స్థానిక	ఈ దుకాణం ప్రధానంగా స్థానిక పండ్లు అమ్ముతుంది.	ಸ್ಥಳೀಯ	ಈ ಅಂಗಡಿ ಮುಖ್ಯವಾಗಿ ಸ್ಥಳೀಯ ಹಣ್ಣುಗಳನ್ನು ಮಾರುತ್ತದೆ.
2046:比分	比分	比分	స్కోరు; పాయింట్ల ఫలితం	మ్యాచ్ ముగిసినప్పుడు స్కోరు మూడు-రెండు.	ಸ್ಕೋರ್; ಅಂಕೆ ಫಲಿತಾಂಶ	ಪಂದ್ಯ ಮುಗಿದಾಗ ಸ್ಕೋರ್ ಮೂರು-ಎರಡು ಆಗಿತ್ತು.
2049:必	必	必	తప్పక; నిశ్చయంగా	ముఖ్యమైన పత్రాలకు సంబంధించిన వ్యక్తి తప్పక సంతకం చేయాలి.	ತಪ್ಪದೇ; ಖಚಿತವಾಗಿ	ಮುಖ್ಯ ದಾಖಲೆಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ವ್ಯಕ್ತಿಯೇ ತಪ್ಪದೇ ಸಹಿ ಮಾಡಬೇಕು.
2052:闭幕式	闭幕式	闭幕式	ముగింపు వేడుక	క్రీడా సమావేశపు ముగింపు వేడుక సాయంత్రం జరుగుతుంది.	ಸಮಾರೋಪ ಸಮಾರಂಭ	ಕ್ರೀಡಾಕೂಟದ ಸಮಾರೋಪ ಸಮಾರಂಭ ಸಂಜೆ ನಡೆಯುತ್ತದೆ.
2054:必需	必需	必需	అవసరమైన; తప్పనిసరి	ప్రయాణంలో నీరు మరియు ఆహారం అవసరమైన వస్తువులు.	ಅಗತ್ಯ; ಅವಶ್ಯಕ	ಪ್ರಯಾಣದಲ್ಲಿ ನೀರು ಮತ್ತು ಆಹಾರ ಅಗತ್ಯ ವಸ್ತುಗಳು.
2057:变动	变动	变动	మార్పు; సవరణ	ఈ నెల పని పట్టికలో మార్పులు ఉన్నాయి.	ಬದಲಾವಣೆ; ತಿದ್ದುಪಡಿ	ಈ ತಿಂಗಳ ಕೆಲಸದ ವೇಳಾಪಟ್ಟಿಯಲ್ಲಿ ಬದಲಾವಣೆಗಳಿವೆ.
2059:便利店	便利店	便利店	సౌకర్య దుకాణం	కింద ఉన్న సౌకర్య దుకాణం ఇరవై నాలుగు గంటలు తెరిచి ఉంటుంది.	ಅನುಕೂಲ ಅಂಗಡಿ	ಕೆಳ ಮಹಡಿಯ ಅನುಕೂಲ ಅಂಗಡಿ ಇಪ್ಪತ್ತ್ನಾಲ್ಕು ಗಂಟೆ ತೆರೆದಿರುತ್ತದೆ.
2067:饼	饼	饼	రొట్టి; పలుచని వంటకం	ఉదయం అమ్మ నాకు గుడ్డు రొట్టి చేసింది.	ರೊಟ್ಟಿ; ತಟ್ಟೆ ತಿಂಡಿ	ಬೆಳಿಗ್ಗೆ ತಾಯಿ ನನಗೆ ಮೊಟ್ಟೆ ರೊಟ್ಟಿ ಮಾಡಿದರು.
2068:病房	病房	病房	ఆసుపత్రి వార్డు	నర్సు రోగిని ఆసుపత్రి వార్డుకు తీసుకెళ్లింది.	ಆಸ್ಪತ್ರೆ ವಾರ್ಡ್	ನರ್ಸ್ ರೋಗಿಯನ್ನು ಆಸ್ಪತ್ರೆ ವಾರ್ಡ್‌ಗೆ ಕರೆದುಕೊಂಡು ಹೋದರು.
2069:病情	病情	病情	రోగస్థితి	వైద్యుడు అతని రోగస్థితి ఇప్పటికే మెరుగైందని చెప్పారు.	ರೋಗಸ್ಥಿತಿ	ವೈದ್ಯರು ಅವನ ರೋಗಸ್ಥಿತಿ ಈಗಾಗಲೇ ಉತ್ತಮವಾಗಿದೆ ಎಂದು ಹೇಳಿದರು.
2070:拨打	拨打	拨打	ఫోన్ చేయడం; నంబర్ డయల్ చేయడం	అగ్ని ప్రమాదం ఎదురైతే అత్యవసర నంబర్‌కు ఫోన్ చేయండి.	ಕರೆ ಮಾಡುವುದು; ಸಂಖ್ಯೆ ಒತ್ತುವುದು	ಬೆಂಕಿ ಕಂಡರೆ ತುರ್ತು ಸಂಖ್ಯೆಗೆ ಕರೆ ಮಾಡಿ.
2073:不利	不利	不利	అననుకూలమైన	బలమైన గాలి పోటీకి అననుకూలం.	ಅನನುಕೂಲಕರ	ಬಲವಾದ ಗಾಳಿ ಪಂದ್ಯಕ್ಕೆ ಅನನುಕೂಲಕರ.
2074:不幸	不幸	不幸	దురదృష్టకరమైన; దురదృష్టం	చిన్నప్పుడు అతనికి దురదృష్టకరమైన అనుభవం జరిగింది.	ದುರ್ಭಾಗ್ಯಕರ; ದುರದೃಷ್ಟ	ಬಾಲ್ಯದಲ್ಲಿ ಅವನಿಗೆ ದುರ್ಭಾಗ್ಯಕರ ಅನುಭವವಾಯಿತು.
2078:不符	不符	不符	సరిపోకపోవడం; అనుగుణంగా లేకపోవడం	టికెట్‌పై ఉన్న పేరు గుర్తింపు కార్డుతో సరిపోలడం లేదు.	ಹೊಂದಿಕೆಯಾಗದಿರುವುದು	ಟಿಕೆಟ್‌ನಲ್ಲಿರುವ ಹೆಸರು ಗುರುತಿನ ಚೀಟಿಗೆ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ.
2079:不良	不良	不良	చెడు; హానికరమైన	చాలా కాలం రాత్రిళ్లు మేల్కొని ఉండటం చెడు అలవాటు.	ಕೆಟ್ಟ; ಹಾನಿಕರ	ಬಹುಕಾಲ ರಾತ್ರಿ ಜಾಗರಣೆಯು ಕೆಟ್ಟ ಅಭ್ಯಾಸ.
2081:步行	步行	步行	నడక; నడిచి వెళ్లడం	ఇక్కడి నుండి పాఠశాలకు నడిచి వెళ్లవచ్చు.	ನಡೆದು ಹೋಗುವುದು	ಇಲ್ಲಿಂದ ಶಾಲೆಗೆ ನಡೆದು ಹೋಗಬಹುದು.
2083:才2	才2	才	ప్రతిభ; సామర్థ్యం	చిన్నప్పటి నుంచే అతను సంగీత ప్రతిభ చూపించాడు.	ಪ್ರತಿಭೆ; ಸಾಮರ್ಥ್ಯ	ಚಿಕ್ಕಂದಿನಿಂದಲೇ ಅವನು ಸಂಗೀತ ಪ್ರತಿಭೆ ತೋರಿಸಿದ್ದ.
2087:彩色	彩色	彩色	రంగుల; బహురంగ	పిల్లలు రంగుల పటం వేశారు.	ಬಣ್ಣದ; ಬಹುಬಣ್ಣದ	ಮಕ್ಕಳು ಬಣ್ಣದ ನಕ್ಷೆ ಬರೆದರು.
2088:采用	采用	采用	స్వీకరించడం; ఉపయోగించడం	సంస్థ కొత్త నిర్వహణ విధానాన్ని స్వీకరించాలని నిర్ణయించింది.	ಅಳವಡಿಸಿಕೊಳ್ಳುವುದು; ಬಳಸುವುದು	ಕಂಪನಿಯು ಹೊಸ ನಿರ್ವಹಣಾ ವಿಧಾನವನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳಲು ತೀರ್ಮಾನಿಸಿತು.
2090:餐饮	餐饮	餐饮	ఆహార సేవలు; భోజన పానీయ సేవలు	మాల్‌లో ఆహార సేవల ప్రాంతం ఐదవ అంతస్తులో ఉంది.	ಆಹಾರ ಮತ್ತು ಪಾನೀಯ ಸೇವೆಗಳು	ಮಾಲ್‌ನ ಆಹಾರ ಮತ್ತು ಪಾನೀಯ ವಿಭಾಗ ಐದನೇ ಮಹಡಿಯಲ್ಲಿ ಇದೆ.
2092:藏	藏	藏	దాచడం; నిల్వ చేయడం	ఆమె బహుమతిని అలమారలో దాచింది.	ಮರೆಮಾಡುವುದು; ಸಂಗ್ರಹಿಸುವುದು	ಅವಳು ಉಡುಗೊರೆಯನ್ನು ಅಲಮಾರಿಯಲ್ಲಿ ಮರೆಮಾಡಿದಳು.
2095:测	测	测	కొలవడం; పరీక్షించడం	గురువు నీటి ఉష్ణోగ్రత కొలవమని మాకు చెప్పారు.	ಅಳೆಯುವುದು; ಪರೀಕ್ಷಿಸುವುದು	ಶಿಕ್ಷಕರು ನೀರಿನ ತಾಪಮಾನವನ್ನು ಅಳೆಯಲು ಹೇಳಿದರು.
2096:测试	测试	测试	పరీక్ష; పరీక్షించడం	కొత్త సాఫ్ట్‌వేర్ రేపటి నుండి పరీక్ష ప్రారంభిస్తుంది.	ಪರೀಕ್ಷೆ; ಪರೀಕ್ಷಿಸುವುದು	ಹೊಸ ಸಾಫ್ಟ್‌ವೇರ್ ನಾಳೆಯಿಂದ ಪರೀಕ್ಷೆ ಆರಂಭಿಸುತ್ತದೆ.
2097:曾	曾	曾	ఒకప్పుడు; గతంలో	అతను ఒకప్పుడు బీజింగ్‌లో మూడు సంవత్సరాలు పనిచేశాడు.	ಒಮ್ಮೆ; ಹಿಂದಿನಲ್ಲಿ	ಅವನು ಒಮ್ಮೆ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಮೂರು ವರ್ಷ ಕೆಲಸ ಮಾಡಿದ್ದ.
2104:产	产	产	ఉత్పత్తి చేయడం; ప్రసవించడం	ఈ పండ్ల తోట ప్రధానంగా ఆపిల్లు ఉత్పత్తి చేస్తుంది.	ಉತ್ಪಾದಿಸುವುದು; ಹೆರುವುದು	ಈ ತೋಟ ಮುಖ್ಯವಾಗಿ ಸೇಬುಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
2105:产量	产量	产量	ఉత్పత్తి పరిమాణం; దిగుబడి	ఈ సంవత్సరం ధాన్య దిగుబడి పెరిగింది.	ಉತ್ಪಾದನಾ ಪ್ರಮಾಣ; ಇಳುವರಿ	ಈ ವರ್ಷದ ಧಾನ್ಯ ಇಳುವರಿ ಹೆಚ್ಚಾಗಿದೆ.
2108:长处	长处	长处	బలమైన వైపు; ప్రత్యేక నైపుణ్యం	సహనం అతని బలమైన వైపు.	ಬಲವಾದ ಗುಣ; ಉತ್ತಮತೆ	ಸಹನೆ ಅವನ ಬಲವಾದ ಗುಣ.
2109:长度	长度	长度	పొడవు	ఈ తాడి పొడవు సరిగ్గా ఉంది.	ಉದ್ದ	ಈ ಕಯ್ಯಿಯ ಉದ್ದ ಸರಿಯಾಗಿದೆ.
2110:长久	长久	长久	దీర్ఘకాలం; నిలకడైన	నిజమైన స్నేహం దీర్ఘకాలం నిలవగలదు.	ದೀರ್ಘಕಾಲದ; ದೀರ್ಘಕಾಲ ಉಳಿಯುವ	ನಿಜವಾದ ಸ್ನೇಹ ದೀರ್ಘಕಾಲ ಉಳಿಯಬಹುದು.
2111:长期	长期	长期	దీర్ఘకాలిక	దీర్ఘకాలిక వ్యాయామం శరీరానికి మంచిది.	ದೀರ್ಘಕಾಲಿಕ	ದೀರ್ಘಕಾಲಿಕ ವ್ಯಾಯಾಮ ದೇಹಕ್ಕೆ ಒಳ್ಳೆಯದು.
2115:长远	长远	长远	దీర్ఘకాలిక; దూరదృష్టి గల	నిర్ణయం తీసుకునేటప్పుడు దీర్ఘకాల ప్రభావాన్ని పరిగణించాలి.	ದೀರ್ಘಕಾಲದ; ದೂರದೃಷ್ಟಿಯ	ನಿರ್ಧಾರ ಮಾಡುವಾಗ ದೀರ್ಘಕಾಲದ ಪರಿಣಾಮವನ್ನು ಪರಿಗಣಿಸಬೇಕು.
2117:超	超	超	మించిపోవడం; అధిగమించడం	ఈ నెల ఖర్చులు బడ్జెట్‌ను మించిపోయాయి.	ಮೀರಿಸುವುದು; ಮೀರಿಹೋಗುವುದು	ಈ ತಿಂಗಳ ಖರ್ಚು ಬಜೆಟ್ ಮೀರಿದೆ.
2118:超出	超出	超出	మించిపోవడం; దాటి వెళ్లడం	నిజమైన ఖర్చు మా ప్రణాళికను మించింది.	ಮೀರಿಹೋಗುವುದು; ಹೊರತಾಗುವುದು	ನಿಜವಾದ ವೆಚ್ಚ ನಮ್ಮ ಯೋಜನೆಯನ್ನು ಮೀರಿತು.
2120:超速	超速	超速	వేగ పరిమితి మించటం	ఈ కారుకు వేగ పరిమితి మించినందుకు జరిమానా విధించారు.	ವೇಗ ಮೀರಿಸುವುದು	ಈ ಕಾರಿಗೆ ವೇಗ ಮೀರಿದ ಕಾರಣ ದಂಡ ವಿಧಿಸಲಾಯಿತು.
2124:车祸	车祸	车祸	రోడ్డు ప్రమాదం	ఆ రోడ్డు ప్రమాదంలో తీవ్రమైన గాయాలు కాలేదు.	ರಸ್ತೆ ಅಪಘಾತ	ಆ ರಸ್ತೆ ಅಪಘಾತದಲ್ಲಿ ಗಂಭೀರ ಗಾಯಗಳು ಆಗಲಿಲ್ಲ.
2126:车辆	车辆	车辆	వాహనం	సముదాయం గేటు వద్ద బయటివారి వాహనాలు లోపలికి రావడానికి అనుమతి లేదు.	ವಾಹನ	ಸಮುದಾಯದ ಗೇಟ್‌ನಲ್ಲಿ ಹೊರಗಿನ ವಾಹನಗಳಿಗೆ ಒಳಗೆ ಬರಲು ಅನುಮತಿ ಇಲ್ಲ.
2128:车主	车主	车主	వాహన యజమాని	వాహన యజమాని ఇప్పటికే బీమా కంపెనీని సంప్రదించాడు.	ವಾಹನ ಮಾಲೀಕ	ವಾಹನ ಮಾಲೀಕರು ಈಗಾಗಲೇ ವಿಮಾ ಕಂಪನಿಯನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಾರೆ.
2130:沉	沉	沉	మునగడం; భారంగా ఉండటం	రాయి నీటిలో పడిపోయి త్వరగా మునిగింది.	ಮುಳುಗುವುದು; ಭಾರವಾಗಿರುವುದು	ಕಲ್ಲು ನೀರಿಗೆ ಬಿದ್ದು ಬೇಗ ಮುಳುಗಿತು.
2134:称为	称为	称为	అని పిలవబడటం	ఈ రకమైన టీని స్థానికంగా వసంత టీ అని పిలుస్తారు.	ಎಂದು ಕರೆಯಲ್ಪಡುವುದು	ಈ ರೀತಿಯ ಚಹಾವನ್ನು ಸ್ಥಳೀಯವಾಗಿ ವಸಂತ ಚಹಾ ಎಂದು ಕರೆಯುತ್ತಾರೆ.
2143:成年1	成年1	成年	పెద్దవాడవడం; ప్రాయపూర్తి కావడం	అతను ఈ సంవత్సరం మాత్రమే ప్రాయపూర్తి సాధించి పనులు తానే చేసుకోగలడు.	ಪ್ರಾಪ್ತವಯಸ್ಕನಾಗುವುದು	ಅವನು ಈ ವರ್ಷಷ್ಟೇ ಪ್ರಾಪ್ತವಯಸ್ಕನಾಗಿ ಕೆಲಸಗಳನ್ನು ತಾನೇ ನಿರ್ವಹಿಸಬಹುದು.
2144:城区	城区	城区	నగర ప్రాంతం	పాత నగర ప్రాంతంలోని వీధులు తక్కువ వెడల్పుగా ఉన్నాయి.	ನಗರ ಪ್ರದೇಶ	ಹಳೆಯ ನಗರ ಪ್ರದೇಶದ ರಸ್ತೆಗಳು ಸ್ವಲ್ಪ ಕಿರಿದಾಗಿವೆ.
2149:乘务员	乘务员	乘务员	సేవా సిబ్బంది; ప్రయాణ సిబ్బంది	ప్రయాణ సిబ్బంది అందరికీ భద్రతా బెల్ట్ కట్టుకోవాలని గుర్తు చేశారు.	ಸೇವಾ ಸಿಬ್ಬಂದಿ; ಪ್ರಯಾಣ ಸಿಬ್ಬಂದಿ	ಪ್ರಯಾಣ ಸಿಬ್ಬಂದಿ ಎಲ್ಲರಿಗೂ ಸುರಕ್ಷತಾ ಬೆಲ್ಟ್ ಕಟ್ಟಿಕೊಳ್ಳಲು ನೆನಪಿಸಿದರು.
2153:橙子	橙子	橙子	నారింజ పండు	ఈ నారింజ పండు తీపిగా, రసంగా ఉంది.	ಕಿತ್ತಳೆ ಹಣ್ಣು	ಈ ಕಿತ್ತಳೆ ಹಣ್ಣು ಸಿಹಿಯಾಗಿಯೂ ರಸದಾರವಾಗಿಯೂ ಇದೆ.
2154:池	池	池	చెరువు; కొలను	ఆవరణలో చిన్న చెరువు ఉంది.	ಕೆರೆ; ಕೊಳ	ಅಂಗಳದಲ್ಲಿ ಒಂದು ಸಣ್ಣ ಕೆರೆ ಇದೆ.
2159:充电	充电	充电	ఛార్జ్ చేయడం	ఫోన్ బ్యాటరీ దాదాపు అయిపోయింది, దాన్ని ఛార్జ్ చేయాలి.	ಚಾರ್ಜ್ ಮಾಡುವುದು	ಫೋನ್‌ನ ವಿದ್ಯುತ್ ಬಹುತೇಕ ಖಾಲಿಯಾಗಿದೆ, ಅದನ್ನು ಚಾರ್ಜ್ ಮಾಡಬೇಕು.
2162:充值	充值	充值	రీచార్జ్ చేయడం; డబ్బు జమ చేయడం	నేను బస్ కార్డులో వంద యువాన్లు రీచార్జ్ చేశాను.	ರೀಚಾರ್ಜ್ ಮಾಡುವುದು; ಹಣ ತುಂಬುವುದು	ನಾನು ಬಸ್ ಕಾರ್ಡ್‌ಗೆ ನೂರು ಯುವಾನ್ ರೀಚಾರ್ಜ್ ಮಾಡಿದೆ.
2165:虫子	虫子	虫子	పురుగు; కీటకం	పూల కుండీలో కొన్ని చిన్న పురుగులు ఉన్నాయి.	ಹುಳು; ಕೀಟ	ಹೂವಿನ ಕುಂಡೆಯಲ್ಲಿ ಕೆಲವು ಸಣ್ಣ ಹುಳುಗಳು ಇವೆ.
2167:抽	抽	抽	తీయడం; పొగ తాగడం; పంప్ చేయడం	అతను పెట్టె నుంచి ఒక కాగితం తీసుకున్నాడు.	ಎಳೆಯುವುದು; ಧೂಮಪಾನ ಮಾಡುವುದು; ಪಂಪ್ ಮಾಡುವುದು	ಅವನು ಪೆಟ್ಟಿಗೆಯಿಂದ ಒಂದು ಕಾಗದವನ್ನು ತೆಗೆದನು.
2170:初	初	初	ప్రారంభం; మొదట	సమావేశం వచ్చే నెల ప్రారంభానికి నిర్ణయించారు.	ಆರಂಭ; ಮೊದಲ	ಸಭೆಯನ್ನು ಮುಂದಿನ ತಿಂಗಳ ಆರಂಭಕ್ಕೆ ನಿಗದಿಪಡಿಸಲಾಗಿದೆ.
2173:初期	初期	初期	ప్రారంభ దశ	ప్రాజెక్టుకు ప్రారంభ దశలో మరింత నిధి అవసరం.	ಆರಂಭಿಕ ಹಂತ	ಯೋಜನೆಗೆ ಆರಂಭಿಕ ಹಂತದಲ್ಲಿ ಹೆಚ್ಚಿನ ನಿಧಿ ಬೇಕು.
2175:出售	出售	出售	అమ్మకానికి పెట్టడం; విక్రయించడం	ఈ అపార్ట్‌మెంట్ ప్రస్తుతం అమ్మకానికి ఉంది.	ಮಾರಾಟ ಮಾಡುವುದು	ಈ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಈಗ ಮಾರಾಟಕ್ಕೆ ಇದೆ.
2177:出自	出自	出自	నుండి రావడం; మూలం కావడం	ఈ వాక్యం ఒక పురాతన పుస్తకం నుండి వచ్చింది.	ಮೂಲವಾಗಿರುವುದು; ಇಂದ ಬರುತ್ತಿರುವುದು	ಈ ವಾಕ್ಯ ಒಂದು ಪ್ರಾಚೀನ ಪುಸ್ತಕದಿಂದ ಬಂದಿದೆ.
2179:处	处	处	నిర్వహించడం; పరిష్కరించడం	అతను ఈ క్లిష్టమైన సమస్యను పరిష్కరిస్తున్నాడు.	ನಿರ್ವಹಿಸುವುದು; ಪರಿಹರಿಸುವುದು	ಅವನು ಈ ಸಂಕೀರ್ಣ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸುತ್ತಿದ್ದಾನೆ.
2181:处于	处于	处于	ఒక స్థితిలో ఉండటం	కంపెనీ ప్రస్తుతం వేగవంతమైన అభివృద్ధి దశలో ఉంది.	ಸ್ಥಿತಿಯಲ್ಲಿ ಇರುವುದು; ನೆಲೆಸಿರುವುದು	ಕಂಪನಿ ಈಗ ವೇಗವಾದ ಅಭಿವೃದ್ಧಿಯ ಹಂತದಲ್ಲಿದೆ.
2182:处	处	处	స్థలం; చోటు	ఈ పాత ఇల్లు ఇప్పటికే మరమ్మతు చేయబడింది.	ಸ್ಥಳ; ಜಾಗ	ಈ ಹಳೆಯ ಮನೆಯನ್ನು ಈಗಾಗಲೇ ದುರಸ್ತಿ ಮಾಡಲಾಗಿದೆ.
2183:传	传	传	పంపించడం; వ్యాప్తి చేయడం	దయచేసి ఈ సమాచారాన్ని అందరికీ పంపండి.	ಹಂಚುವುದು; ಹರಡುವುದು	ದಯವಿಟ್ಟು ಈ ಮಾಹಿತಿಯನ್ನು ಎಲ್ಲರಿಗೂ ಹಂಚಿ.
2185:传递	传递	传递	చేరవేయడం; పంపించడం	చిరునవ్వు స్నేహపూర్వక సందేశాన్ని చేరవేయగలదు.	ಸಾಗಿಸುವುದು; ತಲುಪಿಸುವುದು	ಒಂದು ನಗು ಸ್ನೇಹಪೂರ್ಣ ಸಂದೇಶವನ್ನು ತಲುಪಿಸಬಹುದು.
2188:窗台	窗台	窗台	కిటికీ అంచు	కిటికీ అంచుపై రెండు పూల కుండీలు ఉన్నాయి.	ಕಿಟಕಿಯ ಅಂಚು	ಕಿಟಕಿಯ ಅಂಚಿನ ಮೇಲೆ ಎರಡು ಹೂ ಕುಂಡೆಗಳು ಇವೆ.
2196:此后	此后	此后	ఆ తర్వాత; ఆ తరువాత	ఆ తర్వాత అతను మళ్లీ ఆలస్యం కాలేదు.	ನಂತರ; ಆ ಬಳಿಕ	ಆ ಬಳಿಕ ಅವನು ಮತ್ತೆ ತಡವಾಗಲಿಲ್ಲ.
2197:此前	此前	此前	దీనికి ముందు	దీనికి ముందు మేము ఈ విషయాన్ని ఇప్పటికే చర్చించాము.	ಇದಕ್ಕೂ ಮೊದಲು	ಇದಕ್ಕೂ ಮೊದಲು ನಾವು ಈ ವಿಷಯವನ್ನು ಈಗಾಗಲೇ ಚರ್ಚಿಸಿದ್ದೇವೆ.
2198:此时	此时	此时	ఈ సమయంలో	ఈ సమయంలో బయట వర్షం ఇంకా ఎక్కువైంది.	ಈ ಸಮಯದಲ್ಲಿ	ಈ ಸಮಯದಲ್ಲಿ ಹೊರಗಿನ ಮಳೆ ಇನ್ನಷ್ಟು ಹೆಚ್ಚಾಯಿತು.
2200:从不	从不	从不	ఎప్పుడూ కాదు; అసలు కాదు	అతను పని చేస్తున్నప్పుడు ఎప్పుడూ ఫోన్‌తో ఆడడు.	ಎಂದಿಗೂ ಇಲ್ಲ; ಎಂದಿಗೂ ಮಾಡದ	ಅವನು ಕೆಲಸ ಮಾಡುವಾಗ ಎಂದಿಗೂ ಫೋನ್‌ನಲ್ಲಿ ಆಡೋದಿಲ್ಲ.
2206:促销	促销	促销	ప్రచార అమ్మకం; రాయితీ విక్రయం	ఈ వారాంతంలో సూపర్‌మార్కెట్‌లో ప్రచార అమ్మకం ఉంది.	ಪ್ರಚಾರ ಮಾರಾಟ; ರಿಯಾಯಿತಿ ಮಾರಾಟ	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಸೂಪರ್‌ಮಾರ್ಕೆಟ್‌ನಲ್ಲಿ ಪ್ರಚಾರ ಮಾರಾಟ ಇದೆ.
2208:存放	存放	存放	నిల్వ చేయడం; ఉంచడం	దయచేసి మీ సామాను ముందుభాగపు డెస్క్ వద్ద ఉంచండి.	ಸಂಗ್ರಹಿಸುವುದು; ಇಡುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸಾಮಾನುಗಳನ್ನು ಮುಂಭಾಗದ ಮೇಜಿನ ಬಳಿ ಇಡಿ.
2209:存款	存款	存款	బ్యాంకు జమ; పొదుపు	ఆమె ప్రతి నెల కొంత డబ్బు పొదుపు చేస్తుంది.	ಠೇವಣಿ; ಉಳಿತಾಯ	ಅವಳು ಪ್ರತಿ ತಿಂಗಳು ಒಂದು ಮೊತ್ತದ ಹಣವನ್ನು ಉಳಿಸುತ್ತಾಳೆ.
2215:打断	打断	打断	మధ్యలో ఆపడం; అడ్డుకోవడం	ఇతరులు మాట్లాడుతున్నప్పుడు దయచేసి మధ్యలో అడ్డుకోవద్దు.	ಮಧ್ಯೆ ಅಡ್ಡಿಪಡಿಸುವುದು	ಇತರರು ಮಾತನಾಡುತ್ತಿರುವಾಗ ದಯವಿಟ್ಟು ಮಧ್ಯೆ ಅಡ್ಡಿಪಡಿಸಬೇಡಿ.
