source_headword	BN	example_BN
ambulance	অ্যাম্বুলেন্স	কয়েক মিনিটের মধ্যেই অ্যাম্বুলেন্সটি পৌঁছে যায়।
amusing	মজাদার	গল্পটি মজাদার এবং হালকা ছিল।
analyst	বিশ্লেষক	বিশ্লেষকটি বিক্রয়ের ডেটা পর্যালোচনা করেছেন।
ancestor	পূর্বপুরুষ	আমার পূর্বপুরুষ এই গ্রামের কাছাকাছি থাকতেন।
animation	অ্যানিমেশন	অ্যানিমেশনটি পাঠটিকে আরও পরিষ্কার করেছে।
annually	বার্ষিকভাবে	উৎসবটি বার্ষিকভাবে অনুষ্ঠিত হয়।
anticipate	প্রত্যাশা করা	আমরা আগামীকাল ভারী ট্রাফিকের প্রত্যাশা করছি।
anxiety	উদ্বেগ	উদ্বেগ ঘুমকে কঠিন করে তুলতে পারে।
apology	ক্ষমা প্রার্থনা	সে আন্তরিকভাবে ক্ষমা প্রার্থনা করেছে।
applicant	আবেদনকারী	আবেদনকারী একটি নতুন জীবনবৃত্তান্ত পাঠিয়েছেন।
appropriately	যথাযথভাবে	অনুগ্রহ করে সাক্ষাৎকারের জন্য যথাযথভাবে পোশাক পরুন।
arrow	তীর	তীরটি প্রস্থান পথের দিকে নির্দেশ করে।
artwork	শিল্পকর্ম	জাদুঘরটিতে স্থানীয় শিল্পকর্ম প্রদর্শিত হয়েছে।
aside	একপাশে	সে তাকে যেতে দেওয়ার জন্য পাশে সরে দাঁড়াল।
asset	সম্পদ	অভিজ্ঞতা একটি মূল্যবান সম্পদ।
assign	বরাদ্দ করা	শিক্ষক আজ বাড়ির কাজ দিয়েছেন।
assistance	সহায়তা	অনুগ্রহ করে সহায়তার জন্য কর্মীদের জিজ্ঞাসা করুন।
assumption	অনুমান	সেই অনুমানটি ভুল হতে পারে।
assure	আশ্বস্ত করা	আমি আপনাকে নিশ্চিত করছি যে দরজাটি তালাবদ্ধ।
astonishing	বিস্ময়কর	পাহাড়ের চূড়া থেকে দৃশ্যটি বিস্ময়কর ছিল।
attachment	সংযুক্তি	ইমেলটিতে একটি সংযুক্তি রয়েছে।
auction	নিলাম	পেইন্টিংটি নিলামে বিক্রি হয়েছিল।
audio	অডিও	অডিও রেকর্ডিংটি পরিষ্কার শোনাচ্ছে।
automatic	স্বয়ংক্রিয়	দরজাটিতে একটি স্বয়ংক্রিয় তালা রয়েছে।
automatically	স্বয়ংক্রিয়ভাবে	বাতিগুলি স্বয়ংক্রিয়ভাবে জ্বলে ওঠে।
awareness	সচেতনতা	প্রচারণাটি জনসচেতনতা বৃদ্ধি করেছে।
awkward	অস্বস্তিকর	নীরবতাটি বিব্রতকর মনে হয়েছিল।
badge	ব্যাজ	দর্শনার্থীদের অবশ্যই একটি ব্যাজ পরতে হবে।
balanced	ভারসাম্যপূর্ণ	একটি সুষম খাদ্যতালিকায় শাকসবজি থাকে।
ballet	ব্যালে	সে স্কুলের পর ব্যালে শেখে।
balloon	বেলুন	টেবিলের ওপর বেলুনটি ভাসছিল।
barely	খুব কমই	সে কোনোমতে ঘোষণাটি শুনতে পেল।
bargain	সস্তা জিনিস	জ্যাকেটটি সত্যিই সস্তায় কেনা হয়েছিল।
basement	বেসমেন্ট	বাক্সগুলো বেসমেন্টে আছে।
basket	ঝুড়ি	সে ঝুড়িতে আপেলগুলো রাখল।
bat	বাদুড়	গুহা থেকে বাদুড়টি উড়ে বের হলো।
beneficial	উপকারী	নিয়মিত ব্যায়াম স্বাস্থ্যের জন্য উপকারী।
beside	পাশে	সোফার পাশে বাতিটি রাখা আছে।
besides	তাছাড়া	গণিত ছাড়াও সে রসায়ন পড়ে।
bias	পক্ষপাত	প্রবন্ধটিতে স্পষ্ট পক্ষপাত দেখা গেছে।
bid	নিলাম ডাক	কোম্পানিটি আরও বেশি দর প্রস্তাব করেছে।
biological	জৈবিক	জৈবিক পরীক্ষাটি ফলাফল নিশ্চিত করেছে।
blanket	কম্বল	শিশুটি কম্বলের নিচে ঘুমাচ্ছিল।
blow	আঘাত	জোরে আঘাতে জানালাটি ভেঙে গেল।
bold	সাহসী	শিরোনামে গাঢ় অক্ষর ব্যবহার করা হয়েছে।
bombing	বোমা হামলা	বোমা হামলায় বেশ কয়েকটি ভবন ক্ষতিগ্রস্ত হয়েছে।
booking	বুকিং	আমি হোটেলের বুকিং নিশ্চিত করেছি।
boost	বৃদ্ধি করা	এই জয় দলের আত্মবিশ্বাস বৃদ্ধি করেছে।
bound	বাধ্য	পার্সেলটি সুতা দিয়ে বাঁধা ছিল।
brick	ইট	দেয়ালটি ইটের তৈরি।
briefly	সংক্ষেপে	দুপুরের খাবারের পর সে সংক্ষেপে কথা বলেছিল।
broadcaster	সম্প্রচারক	সম্প্রচারক মেয়রের সাক্ষাৎকার নিয়েছিলেন।
broadly	ব্যাপকভাবে	দুটি পরিকল্পনা ব্যাপকভাবে একই রকম।
bug	বাগ	একটি ত্রুটির কারণে অ্যাপটি ক্র্যাশ করেছে।
cabin	কেবিন	আমরা একটি ছোট কেবিনে ছিলাম।
canal	খাল	খালের ওপর দিয়ে নৌকাগুলো ধীরে ধীরে চলছিল।
candle	মোমবাতি	টেবিলের ওপর মোমবাতিটি জ্বলছিল।
carbon	কার্বন	গাছপালা বাতাস থেকে কার্বন শোষণ করে।
casual	নৈমিত্তিক	সে কাজের জন্য নৈমিত্তিক পোশাক পরেছিল।
cave	গুহা	হাইকাররা গুহায় প্রবেশ করল।
certainty	নিশ্চিততা	আমরা নিশ্চয়তার সাথে জানতে পারি না।
certificate	শংসাপত্র	সে একটি প্রশিক্ষণের শংসাপত্র পেয়েছিল।
challenging	চ্যালেঞ্জিং	কোর্সটি চ্যালেঞ্জিং কিন্তু দরকারী ছিল।
championship	চ্যাম্পিয়নশিপ	আমাদের দল চ্যাম্পিয়নশিপের ফাইনালে পৌঁছেছে।
charming	মোহনীয়	পুরানো রাস্তাটি মনোমুগ্ধকর লাগছিল।
chase	তাড়া করা	কুকুরটি বলটিকে তাড়া করেছিল।
cheek	গাল	তার গাল বেয়ে একটি অশ্রু গড়িয়ে পড়ল।
cheer	উল্লাস করা	জনতা উচ্চস্বরে উল্লাস করতে শুরু করল।
choir	গায়কদল	গায়কদলটি সুন্দরভাবে গান গেয়েছিল।
chop	কাটা	পেঁয়াজগুলোকে ছোট ছোট টুকরো করে কাটুন।
circuit	সার্কিট	দৌড়বিদ সার্কিট সম্পন্ন করেছে।
civilization	সভ্যতা	প্রাচীন সভ্যতা এই অঞ্চলটিকে রূপ দিয়েছে।
clarify	স্পষ্ট করা	দয়া করে শেষ বিষয়টি স্পষ্ট করুন।
classify	শ্রেণীবদ্ধ করা	বিজ্ঞানীরা প্রাণীদের প্রজাতি অনুযায়ী শ্রেণিবদ্ধ করেন।
clerk	কেরানি	কেরানি রসিদটি প্রিন্ট করেছেন।
cliff	খাড়া পাহাড়	রাস্তাটি একটি খাড়া পাহাড়ের কাছে শেষ হয়েছে।
clinic	ক্লিনিক	ক্লিনিকটি আটটায় খোলে।
clip	ক্লিপ	সে কাগজের সাথে ক্লিপটি সংযুক্ত করেছিল।
coincidence	কাকতালীয় ঘটনা	সেখানে তার সাথে দেখা হওয়াটা ছিল একটি কাকতালীয় ঘটনা।
collector	সংগ্রাহক	সংগ্রাহকটি বিরল মুদ্রা কিনেছিলেন।
colony	উপনিবেশ	পিঁপড়ারা একটি বড় কলোনি তৈরি করেছে।
colourful	রঙিন	বাজারটি ছিল উজ্জ্বল এবং রঙিন।
comic	কমিক	কমিক দৃশ্যটি আমাদের হাসিয়েছে।
commander	সেনাপতি	কমান্ডার পরিষ্কার নির্দেশ দিয়েছিলেন।
comparative	তুলনামূলক	প্রবন্ধটিতে তুলনামূলক তথ্য ব্যবহার করা হয়েছে।
completion	সমাপ্তি	সেতুটির নির্মাণ কাজ সমাপ্তির পথে।
compose	রচনা করা	সে সিনেমাটির জন্য সঙ্গীত রচনা করবে।
composer	সুরকার	সুরকার একটি নতুন গান লিখেছেন।
compound	যৌগ	যৌগটিতে দুটি রাসায়নিক পদার্থ রয়েছে।
comprehensive	ব্যাপক	নির্দেশিকাটিতে ব্যাপক নির্দেশনা দেওয়া হয়েছে।
comprise	গঠিত হওয়া	দলটি পাঁচজন সদস্য নিয়ে গঠিত।
compulsory	বাধ্যতামূলক	এই ক্লাসের জন্য উপস্থিতি বাধ্যতামূলক।
concrete	কংক্রিট	মেঝেটি কংক্রিটের তৈরি।
confess	স্বীকার করা	সে তার শিক্ষকের কাছে নিজের ভুল স্বীকার করেছিল।
confusion	বিভ্রান্তি	বিলম্বের কারণে বিভ্রান্তি তৈরি হয়েছিল।
consequently	ফলস্বরূপ	বৃষ্টি পড়েছিল; ফলস্বরূপ, খেলা বন্ধ হয়ে গিয়েছিল।
conservation	সংরক্ষণ	সংরক্ষণ বিরল প্রাণীদের রক্ষা করে।
considerable	যথেষ্ট	মেরামতের কাজে যথেষ্ট সময় লেগেছে।
considerably	উল্লেখযোগ্যভাবে	এ বছর দাম উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে।
consistently	ধারাবাহিকভাবে	সে ধারাবাহিকভাবে ভালো পারফর্ম করে।
conspiracy	ষড়যন্ত্র	পুলিশ ষড়যন্ত্রটির তদন্ত করেছে।
consult	পরামর্শ করা	ওষুধ খাওয়ার আগে আপনার ডাক্তারের সাথে পরামর্শ করুন।
consultant	পরামর্শদাতা	পরামর্শদাতা একটি নতুন কৌশল প্রস্তাব করেছেন।
consumption	ভোগ	গত মাসে শক্তির ব্যবহার কমেছে।
controversial	বিতর্কিত	নীতিটি এখনও বিতর্কিত।
controversy	বিতর্ক	সিদ্ধান্তটি বিতর্কের সৃষ্টি করেছিল।
convenience	সুবিধা	দোকানটি দারুণ সুবিধা প্রদান করে।
convention	সম্মেলন	বার্ষিক সম্মেলন সোমবার শুরু হবে।
conventional	গতানুগতিক	সে একটি প্রচলিত নকশা বেছে নিয়েছে।
convey	জ্ঞাপন করা	বার্তাটি সমবেদনা জ্ঞাপন করেছে।
convincing	বিশ্বাসযোগ্য	তার ব্যাখ্যাটি বিশ্বাসযোগ্য ছিল।
cope	সামলানো	সে মানসিক চাপ সামলে উঠতে শিখেছে।
corporation	কর্পোরেশন	কর্পোরেশনটি একটি নতুন অফিস খুলেছে।
corridor	করিডোর	করিডোরটি সরু ও শান্ত ছিল।
counter (long flat surface)	কাউন্টার	চাবিগুলো রান্নাঘরের কাউন্টারে আছে।
coverage	কভারেজ	খবরের সম্প্রচার পুরো সন্ধ্যা ধরে চলেছিল।
crack	ফাটল	দেওয়ালে একটি ফাটল দেখা দিয়েছে।
craft	নৈপুণ্য	সে অনলাইনে হাতে তৈরি কারুশিল্প বিক্রি করে।
creativity	সৃজনশীলতা	সৃজনশীলতা সমস্যা সমাধানে সাহায্য করে।
critically	সমালোচনামূলকভাবে	প্রবন্ধটি অত্যন্ত গুরুত্বপূর্ণ ছিল।
cruise	সমুদ্রযাত্রা	তারা গ্রিসে একটি নৌভ্রমণ বুক করেছে।
cue	সংকেত	অভিনেতা তার সংকেত মিস করেছেন।
curious	কৌতূহলী	শিশুটি মহাকাশ সম্পর্কে কৌতূহলী ছিল।
curriculum	পাঠ্যক্রম	স্কুলটি তাদের পাঠ্যক্রম আপডেট করেছে।
cute	মিষ্টি	কুকুরছানাটি দেখতে খুব সুন্দর ছিল।
dairy	দুগ্ধজাত	খামারটি দুগ্ধজাত পণ্য উৎপাদন করে।
dare	সাহস করা	আমি তোমাকে এটি চেষ্টা করার সাহস দেখাচ্ছি।
darkness	অন্ধকার	ঘরটি অন্ধকারে ভরে গিয়েছিল।
database	ডেটাবেস	ডেটাবেস গ্রাহকের রেকর্ড সংরক্ষণ করে।
deadline	সময়সীমা	সময়সীমা শুক্রবার।
deadly	মারাত্মক	সাপটির মারাত্মক বিষ আছে।
dealer	ব্যবসায়ী	গাড়ির ডিলার একটি ছাড় দিয়েছে।
deck	ডেক	চেয়ারগুলো ডেকের ওপর আছে।
defender	রক্ষক	ডিফেন্ডার শটটি আটকে দিল।
delete	মুছে ফেলা	পুরনো মেসেজ মুছে ফেলুন।
democracy	গণতন্ত্র	গণতন্ত্র অবাধ নির্বাচনের ওপর নির্ভরশীল।
democratic	গণতান্ত্রিক	ভোটটি গণতান্ত্রিক নিয়ম অনুসরণ করেছিল।
demonstration	প্রদর্শনী	ছাত্ররা একটি বিক্ষোভে যোগ দিয়েছিল।
depart	প্রস্থান করা	ট্রেনটি দুপুরে প্রস্থান করবে।
dependent	নির্ভরশীল	শিশুটি প্রাপ্তবয়স্কদের ওপর নির্ভরশীল।
deposit	আমানত	সে অ্যাপার্টমেন্টের জন্য জমা টাকা দিয়েছে।
depression	বিষণ্ণতা	বিষণ্ণতায় পেশাদার সহায়তা প্রয়োজন।
derive	উদ্ভূত করা	অনেক শব্দ ল্যাটিন থেকে উদ্ভূত হয়েছে।
desperately	মরিয়া হয়ে	তার নিদারুণভাবে জল প্রয়োজন ছিল।
destruction	ধ্বংস	ঝড়টি ব্যাপক ধ্বংসযজ্ঞ ঘটিয়েছে।
determination	দৃঢ়সংকল্প	তার দৃঢ়সংকল্প কোচকে মুগ্ধ করেছিল।
devote	উৎসর্গ করা	সে ছুটির দিনগুলো পড়াশোনায় উৎসর্গ করে।
differ	ভিন্ন হওয়া	তাদের মতামত তীব্রভাবে ভিন্ন।
disability	অক্ষমতা	ভবনটিতে অক্ষমদের প্রবেশের সুবিধা রয়েছে।
disabled	অক্ষম	অক্ষম ক্রীড়াবিদ একটি পদক জিতেছেন।
disagreement	মতবিরোধ	সভাটি মতবিরোধের মধ্য দিয়ে শেষ হয়েছিল।
disappoint	হতাশ করা	ফলাফলটি ভক্তদের হতাশ করতে পারে।
disappointment	হতাশা	সে গভীর হতাশা অনুভব করেছিল।
discourage	নিরুৎসাহিত করা	তরুণ শিক্ষার্থীদের নিরুৎসাহিত করবেন না।
disorder	বিশৃঙ্খলা	ডাক্তার একটি ঘুমের ব্যাধি নির্ণয় করেছেন।
distant	দূরবর্তী	পাহাড়গুলোকে দূরের মনে হচ্ছিল।
distinct	স্বতন্ত্র	দুটি শব্দ স্বতন্ত্র।
distinguish	পার্থক্য করা	তুমি কি এই রঙগুলোর পার্থক্য করতে পারো?
distract	বিভ্রান্ত করা	শব্দ শিক্ষার্থীদের মনোযোগ বিক্ষিপ্ত করতে পারে।
disturb	বিরক্ত করা	দয়া করে রোগীকে বিরক্ত করবেন না।
dive	ডুব	তারা প্রবালের কাছে ডুব দেবে।
diverse	বৈচিত্র্যময়	শহরে বৈচিত্র্যময় সংস্কৃতি রয়েছে।
diversity	বৈচিত্র্য	আমরা সাংস্কৃতিক বৈচিত্র্য উদযাপন করি।
divorce	বিবাহবিচ্ছেদ	বিবাহবিচ্ছেদটি সবার জন্যই কঠিন ছিল।
dominant	প্রভাবশালী	আধিপত্যশালী দলটি খেলা নিয়ন্ত্রণ করেছিল।
donation	দান	দাতব্য সংস্থাটি একটি দান পেয়েছে।
dot	বিন্দু	সংখ্যার পরে একটি বিন্দু দিন।
downtown	শহরের কেন্দ্রস্থল	আমরা কাজের পর শহরের কেন্দ্রস্থলে দেখা করেছিলাম।
dramatically	নাটকীয়ভাবে	দাম নাটকীয়ভাবে কমে গেছে।
drought	খরা	খরা ফসলের ক্ষতি করেছে।
dull	একঘেয়ে	বক্তৃতাটি একঘেয়ে ছিল।
dump	ফেলে দেওয়া	এখানে আবর্জনা ফেলে দেবেন না।
duration	সময়কাল	ফ্লাইটের সময়কাল তিন ঘণ্টা।
dynamic	গতিশীল	শ্রেণীকক্ষটি গতিশীল মনে হচ্ছিল।
economics	অর্থনীতি	সে বিশ্ববিদ্যালয়ে অর্থনীতি নিয়ে পড়াশোনা করে।
economist	অর্থনীতিবিদ	অর্থনীতিবিদ ধীর বৃদ্ধির পূর্বাভাস দিয়েছেন।
editorial	সম্পাদকীয়	সম্পাদকীয়টি আইনটির সমালোচনা করেছে।
efficiently	দক্ষতার সাথে	দলটি দক্ষতার সাথে কাজ করেছে।
elbow	কনুই	সে তার কনুইতে ব্যথা পেয়েছে।
electronics	ইলেকট্রনিক্স	দোকানটিতে ইলেকট্রনিক্স বিক্রি হয়।
elegant	মার্জিত	পোশাকটি মার্জিত দেখাচ্ছিল।
elementary	প্রাথমিক	বইটি প্রাথমিক ব্যাকরণ ব্যাখ্যা করে।
eliminate	দূর করা	দলটি বেশ কয়েকটি ভুল দূর করেছে।
embrace	গ্রহণ করা	সে নতুন ধারণাটি গ্রহণ করেছে।
emission	নির্গমন	গাড়ির নির্গমনের মাত্রা কমেছে।
emotionally	আবেগপ্রবণভাবে	তিনি তার পরিবার সম্পর্কে আবেগপ্রবণভাবে কথা বলেছেন।
empire	সাম্রাজ্য	সাম্রাজ্যটি শতাব্দী ধরে টিকে ছিল।
enjoyable	উপভোগ্য	ভ্রমণটি আনন্দদায়ক ছিল।
entertaining	বিনোদনমূলক	অনুষ্ঠানটি বিনোদনমূলক ছিল।
entrepreneur	উদ্যোক্তা	উদ্যোক্তা একটি ক্যাফে খুলেছেন।
envelope	খাম	চিঠিটি একটি খামে রাখুন।
equip	সজ্জিত করা	স্কুলটি ল্যাবটিকে সজ্জিত করবে।
equivalent	সমতুল্য	এক ডলার এখানে সমতুল্য নয়।
era	যুগ	আবিষ্কারটি একটি নতুন যুগের সূচনা করেছে।
erupt	অগ্ন্যুৎপাত হওয়া	আগ্নেয়গিরিটি শীঘ্রই অগ্ন্যুৎপাত ঘটাতে পারে।
essentially	মূলত	দুটি পদ্ধতি মূলত অভিন্ন।
ethic	নীতিবোধ	তার কাজের নৈতিকতা দৃঢ়।
ethnic	জাতিগত	উৎসবটি জাতিগত ঐতিহ্য উদযাপন করে।
evaluation	মূল্যায়ন	কোর্সে একটি চূড়ান্ত মূল্যায়ন রয়েছে।
evident	স্পষ্ট	তার নার্ভাসনেস স্পষ্ট ছিল।
evolution	বিবর্তন	বিবর্তন অনেক জৈবিক পরিবর্তনের ব্যাখ্যা দেয়।
evolve	বিকশিত করা	সময়ের সাথে সাথে ভাষার বিবর্তন ঘটে।
exceed	অতিক্রম করা	চাহিদা সরবরাহকে ছাড়িয়ে যেতে পারে।
exception	ব্যতিক্রম	সেখানে একটি ব্যতিক্রম আছে।
excessive	অতিরিক্ত	অতিরিক্ত শব্দ প্রতিবেশীদের বিরক্ত করে।
exclude	বাদ দেওয়া	তালিকায় অস্থায়ী কর্মীদের বাদ দেওয়া হয়েছে।
exhibit	প্রদর্শনী	জাদুঘরটি বিরল ছবি প্রদর্শন করবে।
exit	প্রস্থান	বের হওয়ার পথটি মঞ্চের পিছনে।
exotic	বিদেশী	দোকানটি বিদেশী ফল বিক্রি করে।
expansion	সম্প্রসারণ	কোম্পানিটি একটি সম্প্রসারণের পরিকল্পনা করেছিল।
expertise	দক্ষতা	তার দক্ষতা প্রকল্পটি উন্নত করেছে।
exploit	কাজে লাগানো	অপরাধীরা দুর্বল পাসওয়ার্ডের সুযোগ নেয়।
exposure	প্রকাশ	সূর্যের সংস্পর্শ ত্বকের ক্ষতি করতে পারে।
extension	বর্ধিতকরণ	সময়সীমা বৃদ্ধি সবাইকে সাহায্য করেছে।
extensive	ব্যাপক	গ্রন্থাগারে ব্যাপক সম্পদ রয়েছে।
extensively	ব্যাপকভাবে	বিষয়টি ব্যাপকভাবে অধ্যয়ন করা হয়েছিল।
extract	নির্যাস	ভ্যানিলার নির্যাস স্বাদ দেয়।
fabric	কাপড়	কাপড়টি নরম মনে হচ্ছে।
fabulous	দুর্দান্ত	খাবারটি চমৎকার ছিল।
failed	ব্যর্থ	ব্যর্থ প্রচেষ্টাটি আমাদের কিছু শিখিয়েছে।
fake	নকল	ওয়েবসাইটটি জাল টিকিট বিক্রি করেছে।
fame	খ্যাতি	খ্যাতি তার ব্যক্তিগত জীবন পরিবর্তন করে দিয়েছে।
fantasy	কল্পনা	উপন্যাসটি একটি ফ্যান্টাসি।
fare	ভাড়া	বাসের ভাড়া বেড়েছে।
federal	যুক্তরাষ্ট্রীয়	যুক্তরাষ্ট্রীয় সরকার অর্থায়নের ঘোষণা দিয়েছে।
fever	জ্বর	বাচ্চাটির জ্বর হয়েছে।
firefighter	দমকলকর্মী	অগ্নিনির্বাপক কর্মী কুকুরটিকে উদ্ধার করেছেন।
firework	আতশবাজি	পার্কের উপরে একটি আতশবাজি বিস্ফোরিত হয়েছে।
firm	দৃঢ়	ম্যাট্রেসটি শক্ত।
firmly	দৃঢ়ভাবে	সে শক্তভাবে দরজা বন্ধ করল।
flavour	স্বাদ	স্যুপটির চমৎকার স্বাদ আছে।
fond	স্নেহশীল	সে জ্যাজ সঙ্গীতের অনুরক্ত।
fool	বোকা	বোকার মতো আচরণ করো না।
forbid	নিষেধ করা	আইন এখানে ধূমপান নিষেধ করে।
forecast	পূর্বাভাস	পূর্বাভাসে বৃষ্টির সম্ভাবনা জানানো হয়েছে।
format	বিন্যাস	সঠিক ফাইল ফরম্যাট ব্যবহার করুন।
formation	গঠন	মেঘের গঠন দ্রুত পরিবর্তিত হয়।
formerly	পূর্বে	ভবনটি পূর্বে একটি স্কুল ছিল।
fortunate	ভাগ্যবান	আমরা ভাগ্যবান যে তাড়াতাড়ি পৌঁছাতে পেরেছি।
forum	ফোরাম	ফোরামে জলবায়ু নীতি নিয়ে আলোচনা করা হয়।
fossil	জীবাশ্ম	জীবাশ্মটি পাথরের মধ্যে পাওয়া গেছে।
foundation	ভিত্তি	বাড়িটির একটি শক্ত ভিত্তি আছে।
founder	প্রতিষ্ঠাতা	প্রতিষ্ঠাতা অতিথিদের স্বাগত জানান।
fraction	ভগ্নাংশ	মাত্র একাংশ শিক্ষার্থী এসেছে।
fragment	খণ্ড	মেঝেতে কাঁচের একটি টুকরো পড়ে ছিল।
framework	কাঠামো	আইনটি একটি পরিষ্কার কাঠামো তৈরি করে।
fraud	জালিয়াতি	ব্যাংকটি প্রতারণা শনাক্ত করেছে।
freely	স্বাধীনভাবে	বাচ্চারা বাইরে স্বাধীনভাবে খেলছিল।
frequent	ঘন ঘন	ঘনঘন বিরতি মনোযোগ বাড়ায়।
fulfil	পূরণ করা	আমি আমার প্রতিশ্রুতি পূরণ করার আশা করি।
full-time	পূর্ণকালীন	তার একটি পূর্ণকালীন চাকরি আছে।
fundamentally	মৌলিকভাবে	পরিকল্পনাটি মৌলিকভাবে আলাদা।
furious	ক্ষিপ্ত	দেরির কারণে সে ক্ষিপ্ত ছিল।
gaming	গেমিং	গেমিং প্রতিক্রিয়ার গতি বাড়াতে পারে।
gay	সমকামী	সে সমকামী অধিকার সমর্থন করে।
gender	লিঙ্গ	জরিপে লিঙ্গ সম্পর্কে জানতে চাওয়া হয়েছিল।
gene	জিন	জিন চোখের রঙকে প্রভাবিত করে।
genetic	জেনেটিক	রোগটির জিনগত কারণ রয়েছে।
genius	প্রতিভা	তরুণ পিয়ানোবাদক একজন প্রতিভা।
genuine	আসল	তার হাসি অকৃত্রিম মনে হয়েছিল।
genuinely	প্রকৃতই	সে সত্যিকার অর্থে সাহায্য করতে চেয়েছিল।
gesture	অঙ্গভঙ্গি	সে একটি বন্ধুত্বপূর্ণ অঙ্গভঙ্গি করেছিল।
gig	গিগ	ব্যান্ডটি শহরের কেন্দ্রে একটি গিগ পরিবেশন করেছিল।
globalization	বিশ্বায়ন	বিশ্বায়ন স্থানীয় ব্যবসাকে প্রভাবিত করে।
globe	গ্লোব	গ্লোবটি প্রতিটি মহাদেশ দেখায়।
golden	সোনালী	সূর্যাস্তটি সোনালী রঙের হয়ে গেল।
goodness	মঙ্গল	সে মানুষের সদ্গুণে বিশ্বাস করে।
gorgeous	চমৎকার	বাগানটি চমৎকার দেখাচ্ছিল।
governor	গভর্নর	গভর্নর বিলে স্বাক্ষর করেন।
graphic	গ্রাফিক	গ্রাফিক ছবিটি দর্শকদের হতবাক করে দিয়েছিল।
graphics	গ্রাফিক্স	গেমটিতে সাধারণ গ্রাফিক্স আছে।
greatly	ব্যাপকভাবে	আপনার পরামর্শ ব্যাপকভাবে সাহায্য করেছে।
greenhouse	গ্রিনহাউস	টমেটো গ্রিনহাউসের ভেতরে জন্মায়।
grocery	মুদি	সে কাজের পর মুদি জিনিসপত্র কিনেছিল।
guideline	নির্দেশিকা	নির্দেশিকাটি নিরাপদ অনুশীলন ব্যাখ্যা করে।
habitat	আবাসস্থল	বনটি পাখিদের একটি আবাসস্থল।
harbour	বন্দর	নৌকাটি বন্দরে প্রবেশ করল।
headquarters	সদর দপ্তর	কোম্পানির সদর দপ্তর শহরের কেন্দ্রে স্থানান্তরিত হয়েছে।
