source_headword	HU	example_HU
barrier	akadály	A nyelv akadály volt.
basically	alapvetően	Alapvetően több időre van szükségünk.
bear (deal with)	elvisel	Nem tudom elviselni ezt a zajt.
beg	könyörög	Segítségért könyörgött.
being	lény	Minden lénynek vízre van szüksége.
bent	hajlott	A fémrúd hajlott volt.
bet	fogad	Fogadok, hogy tudja.
beyond	túl	A falu a folyón túl van.
bitter	keserű	A gyógyszer keserű volt.
blame	hibáztat	Ne hibáztasd a sofőrt.
blind	vak	Fiatalon megvakult.
bond	kötelék	A bizalom erős köteléket teremt.
breast	mell	Fájdalmat érzett a mellében.
brief	rövid	Tartsd röviden a választ.
broad	széles	A folyó itt széles.
broadcast	sugároz	A beszédet élőben sugározták.
budget	költségvetés	A költségvetés nagyon szűkös.
bullet	golyó	A golyó a falba csapódott.
bunch	csomó	Egy kulcscsomót vitt.
bush	bokor	A madár elbújt a bokorban.
cable	kábel	A kábel sérült.
calculate	kiszámít	Számítsd ki a teljes költséget.
cancel	lemond	Lemondták a találkozót.
cancer	rák	A rák kezelése nehéz lehet.
capable	képes	Elég képes erre.
capacity	kapacitás	A terem elérte a kapacitását.
capture	megörökít	A fénykép megörökítette a hangulatot.
cast	szereposztás	A szereposztás készen áll.
cell	sejt	Minden sejt adatokat tartalmaz.
chairman	elnök	Az elnök megnyitotta az ülést.
characteristic	tulajdonság	A türelem fontos tulajdonság.
chief	fő	A fő ok a biztonság volt.
circumstance	körülmény	Minden körülmény számít.
cite	idéz	A diák három forrást idézett.
citizen	állampolgár	Minden állampolgár szavazhat.
civil	polgári	Az ügy polgári jogokat érintett.
classic	klasszikus	Ez klasszikus példa.
closely	szorosan	Szorosan együtt dolgoztak.
collapse	összeomlik	A régi tető összeomlott.
combination	kombináció	Ez a kombináció jól működik.
comfort	kényelem	A szék kevés kényelmet nyújt.
command	parancs	A katonák teljesítették a parancsot.
commission	bizottság	A bizottság kivizsgálta a panaszt.
commitment	elkötelezettség	Az elkötelezettsége erős maradt.
committee	bizottság	A bizottság holnap szavaz.
commonly	általában	Ezt a szót általában használják.
complicated	bonyolult	A szabályok bonyolultak.
component	összetevő	Minden összetevőt teszteltek.
concentration	koncentráció	Teljes koncentráció szükséges.
concept	fogalom	A fogalom egyszerű.
concern	aggodalom	A biztonság miatt aggodalom van.
concerned	aggódó	A költségek miatt aggódunk.
conduct	végez	Helyi kutatást végeznek.
confidence	bizalom	A bizalma gyorsan nőtt.
conflict	konfliktus	A konfliktus évekig tartott.
confusing	zavaros	A magyarázat zavaros volt.
conscious	eszméleténél van	Az esés után eszméleténél volt.
conservative	konzervatív	A javaslat elég konzervatív volt.
consideration	megfontolás	Vedd ezt figyelembe.
consistent	következetes	A munkája következetesen jó.
constant	állandó	Állandó zaj volt ott.
constantly	folyamatosan	A telefon folyamatosan csörgött.
construct	épít	Új hidat építettek.
construction	építkezés	Az építkezés júniusban kezdődik.
contemporary	kortárs	A múzeum kortárs művészetet mutat be.
contest	verseny	Megnyerte a versenyt.
contract	szerződés	A szerződés pénteken lejár.
contribute	hozzájárul	Mindenki hozzájárulhat az alaphoz.
contribution	hozzájárulás	A hozzájárulása fontos volt.
convert	átalakít	Az épületet lakásokká alakították.
convinced	meggyőződött	Meggyőződtem róla, hogy igaza van.
core	mag	A bizalom a probléma magja.
corporate	vállalati	A cég megváltoztatta vállalati stratégiáját.
council	tanács	A tanács jóváhagyta a tervet.
county	megye	A megye új határokat kapott.
courage	bátorság	Nagy bátorságot mutatott.
crash	baleset	A baleset lezárta az utat.
creation	létrehozás	Munkahelyek létrehozása időt vesz igénybe.
creature	lény	A lény lassan mozgott.
crew	legénység	A legénység nyugodt maradt.
crisis	válság	A válság hónapokig tartott.
criterion	kritérium	Az ár nem az egyetlen kritérium.
critic	kritikus	A kritikus dicsérte a filmet.
critical	kritikus	A helyzet kritikus.
criticism	kritika	Nyugodtan fogadta a kritikát.
criticize	kritizál	Ne kritizáld túl gyorsan.
crop	termés	A termésnek több eső kellett.
crucial	kulcsfontosságú	Az idő itt kulcsfontosságú.
cure	gyógymód	Még nincs gyógymód.
curve	kanyar	Az útnak éles kanyarja van.
curved	ívelt	A híd ívelt alakú.
debate	vita	A vita későn kezdődött.
debt	adósság	Kifizette az adósságát.
decent	tisztességes	Tisztességes hotelt talált.
declare	kihirdet	A kormány vészhelyzetet hirdetett ki.
decline	csökkenés	A csökkenés váratlan volt.
decoration	dekoráció	A dekoráció az ajtó fölött lógott.
decrease	csökken	A költségek lassan csökkentek.
deeply	mélyen	Mélyen sértve érezte magát.
defeat	vereség	A vereséget nehéz volt elfogadni.
defence	védelem	A védelem jól felkészült.
defend	megvéd	Megvédte a döntését.
delay	késés	A késés egy óráig tartott.
deliberate	szándékos	Ez szándékos választás volt.
deliberately	szándékosan	Szándékosan figyelmen kívül hagyta a figyelmeztetést.
delight	öröm	A hír nagy örömet hozott.
delighted	elragadtatott	Elragadtatott volt az eredménytől.
delivery	kiszállítás	A kiszállítás holnap érkezik.
demand	kereslet	Nőtt a kereslet a szobák iránt.
demonstrate	bemutat	A számok bemutatják a problémát.
deny	tagad	Tagadta a vádat.
depressed	depressziós	Depressziósnak érezte magát.
depressing	lehangoló	A hír lehangoló volt.
depth	mélység	Mérd meg a víz mélységét.
deserve	megérdemel	Őszinte választ érdemel.
desire	vágy	A szabadság iránti vágya megmaradt.
desperate	kétségbeesett	Kétségbeesett kísérletet tett.
detailed	részletes	Részletes jelentést kaptunk.
detect	észlel	A teszt hibákat észlelhet.
dig	ás	Mély gödröt ástak.
disc	lemez	A régi lemez nem működött.
discipline	fegyelem	A fegyelem segít az edzésben.
dishonest	tisztességtelen	A válasz tisztességtelennek hangzott.
dismiss	elutasít	A bíró elutasította a panaszt.
display	megjelenít	A képernyő megjeleníti az eredményeket.
distribute	szétoszt	Élelmet osztottak szét a faluban.
distribution	elosztás	Az elosztás nem volt igazságos.
district	körzet	A körzet új iskolát kapott.
division	osztály	A pénzügyi osztályon dolgozik.
domestic	belföldi	A belföldi járatok olcsóbbak.
dominate	ural	Egy csapat uralta a mérkőzést.
downwards	lefelé	A nyíl lefelé mutat.
dozen	tucat	Egy tucat tojást vett.
draft	vázlat	Az első vázlat kész.
drag	húz	Húzd a széket a falhoz.
dramatic	drámai	A változás drámai volt.
edit	szerkeszt	Szerkeszd gondosan a szöveget.
edition	kiadás	Ez a kiadás új kártyákat tartalmaz.
efficient	hatékony	A rendszer hatékony.
elderly	idős	Egy idős férfi segítséget kapott.
elect	megválaszt	Új vezetőt választottak.
elsewhere	máshol	Máshol kell keresnünk.
emerge	felbukkan	Új tények bukkantak fel.
emotional	érzelmi	A beszélgetés érzelmessé vált.
emphasis	hangsúly	A hangsúly a biztonságon van.
emphasize	hangsúlyoz	Hangsúlyozd a legfontosabb pontot.
enable	lehetővé tesz	Az alkalmazás gyors tanulást tesz lehetővé.
encounter	találkozik	Problémával találkoztak.
engage	bevon	A tanár bevonta az osztályt.
enhance	javít	Ez a funkció javítja az élményt.
enquiry	vizsgálat	A vizsgálat holnap kezdődik.
ensure	biztosít	Biztosítsd, hogy mindenki biztonságban legyen.
enthusiasm	lelkesedés	A lelkesedése ragadós volt.
enthusiastic	lelkes	A csoport lelkes volt.
entire	egész	Az egész csapat megérkezett.
entirely	teljesen	Teljesen egyetértek.
establish	alapít	Új céget alapítottak.
estate	birtok	A birtok a város mögött fekszik.
estimate	becslés	A becslés túl alacsony volt.
ethical	etikus	A döntés etikailag nehéz volt.
evaluate	értékel	Értékelnünk kell az eredményeket.
evil	gonoszság	A történet a gonoszságról szól.
examination	vizsgálat	A vizsgálat két óráig tartott.
excuse	kifogás	A kifogás gyengének hangzott.
executive	vezető	A vezető lemondott.
existence	létezés	A levél létezését megerősítették.
expectation	elvárás	Az elvárás túl magas volt.
expense	kiadás	Ez a kiadás nem volt tervezett.
exploration	felderítés	A felderítés korán kezdődött.
expose	kitesz	Ne tedd ki a gyerekeket füstnek.
extend	meghosszabbít	Meghosszabbították a határidőt.
extent	mérték	A kár mértéke ismeretlen.
external	külső	Egy külső csapat ellenőrzi.
extraordinary	rendkívüli	Rendkívüli teljesítmény volt.
facility	létesítmény	A létesítmény jövő héten nyílik.
failure	kudarc	A kudarca fájdalmas volt.
faith	hit	Elvesztette a hitét a rendszerben.
fault	hiba	Nem a te hibád volt.
feather	toll	Egy toll feküdt az asztalon.
fee	díj	A díj benne van.
feedback	visszajelzés	A visszajelzés hasznos volt.
fellow	kolléga	A kollégám segített nekem.
finance	pénzügy	Pénzügyet tanul.
finding	megállapítás	A megállapítás meglepte a csapatot.
firm	cég	A cég gyorsan növekszik.
flame	láng	A láng nagyobb lett.
flash	villanás	A villanás megvilágította a szobát.
flexible	rugalmas	Az órarend rugalmas.
float	úszik	A fa úszhat a vízen.
folding	összecsukható	Összecsukható széket vett.
forgive	megbocsát	Meg tudok neki bocsátani.
former	korábbi	A korábbi igazgató röviden beszélt.
fortune	vagyon	Elvesztette a vagyonát.
found	alapít	Kis jótékonysági szervezetet alapítottak.
freedom	szabadság	A szabadság mindenkinek fontos.
frequency	gyakoriság	A gyakoriság nőtt.
fully	teljesen	Teljesen értem.
fund	alap	Az alap kutatást támogat.
fundamental	alapvető	Ez alapvető jog.
funding	finanszírozás	A finanszírozást jóváhagyták.
furthermore	továbbá	Továbbá a terv olcsóbb.
gain	szerez	Nagyobb támogatást szereztek.
gang	banda	A bandát letartóztatták.
generate	generál	A program jelentést generál.
genre	műfaj	Szeretem ezt a műfajt.
govern	irányít	A törvények irányítják az ország működését.
grab	megragad	Ragadd meg gyorsan a táskát.
gradually	fokozatosan	A fájdalom fokozatosan elmúlt.
grand	nagyszabású	A hotelnek nagyszabású bejárata volt.
grant	támogatás	Az iskola támogatást kapott.
guarantee	garancia	A garancia két évig érvényes.
handle	kezel	Jól kezeli a nyomást.
harm	kár	A dohányzás kárt okoz.
harmful	káros	Ez az anyag káros.
hearing	hallás	A hallása romlott.
heaven	égbolt	Az égbolt tiszta volt.
heel	sarok	Fáj a sarkam.
hell	pokol	Az út pokolnak tűnt.
hesitate	habozik	Ne habozz telefonálni.
hollow	üreges	A fa belül üreges volt.
holy	szent	A templom szent hely.
honour	becsület	Nagy becsület volt.
household	háztartás	Minden háztartás levelet kapott.
housing	lakhatás	A lakhatás itt drága.
humorous	humoros	A története humoros volt.
humour	humor	A humora mindenkit megnyugtatott.
hunting	vadászat	A vadászat itt tilos.
illustrate	illusztrál	A grafikon illusztrálja a különbséget.
illustration	illusztráció	Az illusztráció a második oldalon van.
imagination	képzelet	Használd a képzeleted.
impatient	türelmetlen	Türelmetlen volt a sorban.
imply	sejtet	Azt sejteted, hogy tévedek?
impose	bevezet	A kormány új szabályokat vezetett be.
impress	lenyűgöz	A bátorsága mindenkit lenyűgözött.
impressed	lenyűgözött	Lenyűgözött a munkája.
inch	hüvelyk	A képernyő öt hüvelyk széles.
incident	incidens	Az incidenst kivizsgálták.
income	jövedelem	A jövedelme idén nőtt.
increasingly	egyre inkább	Ez egyre inkább világos.
industrial	ipari	A városnak ipari területe van.
infection	fertőzés	A fertőzés gyorsan terjedt.
inform	tájékoztat	Tájékoztass minket a változásokról.
initial	kezdeti	A kezdeti költségek magasak voltak.
initially	kezdetben	Kezdetben senki sem értette.
initiative	kezdeményezés	Átvette a kezdeményezést.
inner	belső	A belső ereje megmaradt.
insight	betekintés	A kutatás új betekintést adott.
insist	ragaszkodik	Ragaszkodott a válaszhoz.
inspire	inspirál	A története inspirálta az osztályt.
install	telepít	Telepítsd ma az alkalmazást.
instance	példa	Ez világos példa.
