source_headword	MY	example_MY
incredible	အံ့သြဖွယ်ကောင်းသော	မြင်ကွင်းက အံ့သြဖွယ်ကောင်းတယ်။
independent	လွတ်လပ်သော	ကျွန်တော့် အစ်မက လွတ်လပ်တယ်။
individual	တစ်ဦးချင်း; လူတစ်ဦး	လူတစ်ဦးချင်းစီမှာ နံပါတ်ရှိတယ်။
industry	စက်မှုလုပ်ငန်း	ဒေသခံ စက်မှုလုပ်ငန်းက ကြီးထွားနေတယ်။
informal	တရားမဝင်ဆန်သော; အလွတ်သဘော	ဒီအီးမေးလ်က အလွတ်သဘော ဖြစ်တယ်။
injury	ဒဏ်ရာ	သူ့ ဒဏ်ရာက မပြင်းထန်ဘူး။
insect	အင်းဆက်	အင်းဆက်တစ်ကောင်က ခွက်ပေါ် ကျလာတယ်။
inside	အတွင်းမှာ	အိမ်အတွင်းမှာ စောင့်ပါ။
instead	အစား	အစား ရေ သောက်ပါ။
instruction	ညွှန်ကြားချက်	ညွှန်ကြားချက်တိုင်းကို သေချာ ဖတ်ပါ။
instructor	သင်တန်းဆရာ	သင်တန်းဆရာက လေ့ကျင့်ခန်းကို ရှင်းပြတယ်။
instrument	တူရိယာ	သူမ တူရိယာတစ်ခု တီးတယ်။
intelligent	ဉာဏ်ကောင်းသော	သူက ဉာဏ်ကောင်းတဲ့ ကျောင်းသားပါ။
international	နိုင်ငံတကာ	ဒါက နိုင်ငံတကာ လေဆိပ်ပါ။
introduction	မိတ်ဆက်; နိဒါန်း	နိဒါန်းက တိုတယ်။
invent	တီထွင်သည်	ကလေးတွေက ဂိမ်းအသစ်တွေ တီထွင်နိုင်တယ်။
invention	တီထွင်မှု	တီထွင်မှုက အချိန် သက်သာစေတယ်။
invitation	ဖိတ်ကြားစာ	ကျွန်တော် ဖိတ်ကြားစာတစ်စောင် ရခဲ့တယ်။
invite	ဖိတ်ခေါ်သည်	မင်းရဲ့ သူငယ်ချင်းကိုလည်း ဖိတ်ခေါ်ပါ။
involve	ပါဝင်သည်; ပတ်သက်သည်	ဒီအလုပ်မှာ ခရီးသွားခြင်း ပါဝင်မယ်။
item	ပစ္စည်း	ပစ္စည်းတစ်ခု ရွေးပါ။
itself	ကိုယ်တိုင်	စက်က ကိုယ်တိုင် ပိတ်သွားတယ်။
jam	ယို	ပေါင်မုန့်ပေါ် ယို တင်ပါ။
jazz	ဂျက်ဇ်ဂီတ	ဒီည ဂျက်ဇ်ဂီတက ကောင်းကောင်း ကြားရတယ်။
jewellery	လက်ဝတ်ရတနာ	သူမ လက်ဝတ်ရတနာတွေကို သေတ္တာထဲမှာ ထားတယ်။
joke	ဟာသ	ကျွန်တော့်ကို ဟာသတစ်ခု ပြောပါ။
journalist	သတင်းထောက်	သတင်းထောက်က မေးခွန်းတွေ မေးတယ်။
jump	ခုန်သည်	မျဉ်းပေါ်ကနေ ခုန်ပါ။
kid	ကလေး	ကလေးက ရယ်နေတယ်။
kill	သတ်သည်	အင်းဆက်ကို မသတ်ပါနဲ့။
king	ဘုရင်	ဘုရင်က နန်းတော်မှာ နေခဲ့တယ်။
knee	ဒူး	ကျွန်တော့် ဒူး နာတယ်။
knife	ဓား	ထက်တဲ့ ဓားကို သုံးပါ။
knock	ခေါက်သည်	ဝင်မီ တံခါးကို ခေါက်ပါ။
knowledge	ဗဟုသုတ	လေ့ကျင့်မှုနဲ့ ဗဟုသုတ တိုးတယ်။
lab	ဓာတ်ခွဲခန်း	ဓာတ်ခွဲခန်းက ပိတ်ထားတယ်။
lady	အမျိုးသမီး	အမျိုးသမီးက ကျွန်တော်တို့ကို ပြုံးပြတယ်။
lake	ကန်	ကန်က ငြိမ်သက်တယ်။
lamp	မီးအိမ်	မီးအိမ်ကို ဖွင့်ပါ။
laptop	လက်ပ်တော့	ကျွန်တော့် လက်ပ်တော့က အသစ်ပါ။
last1 (taking time)	ကြာသည်	ရုပ်ရှင်က နှစ်နာရီ ကြာတယ်။
laughter	ရယ်သံ	အပြင်မှာ ရယ်သံကို ကြားခဲ့တယ်။
law	ဥပဒေ	ဥပဒေက မနေ့က ပြောင်းသွားတယ်။
lawyer	ရှေ့နေ	ရှေ့နေက ကျွန်တော့်ကို ဖုန်းဆက်တယ်။
lazy	ပျင်းသော	မပျင်းပါနဲ့။
lead1	ဦးဆောင်သည်	ခေါင်းဆောင်ကောင်းတွေက နမူနာနဲ့ ဦးဆောင်တယ်။
leader	ခေါင်းဆောင်	သူမက အသင်းခေါင်းဆောင်ပါ။
learning	သင်ယူခြင်း	သင်ယူခြင်းက အချိန်ယူတယ်။
least	အနည်းဆုံး	စျေးအနည်းဆုံးဟာကို ရွေးပါ။
lecture	ဟောပြောပွဲ	ဟောပြောပွဲက ဆယ်နာရီမှာ စတယ်။
lemon	သံပုရာ	လက်ဖက်ရည်ထဲ သံပုရာ ထည့်ပါ။
lend	ချေးပေးသည်	ဒေါ်လာငါးဒေါ်လာ ချေးပေးနိုင်မလား။
less	နည်းသော	သကြားကို နည်းနည်းစားပါ။
level	အဆင့်	ဒီအဆင့်က လွယ်တယ်။
lifestyle	ဘဝနေထိုင်ပုံ	သူ့မှာ ကျန်းမာတဲ့ ဘဝနေထိုင်ပုံ ရှိတယ်။
lift	မြှောက်သည်	သေတ္တာကို သေချာ မြှောက်ပါ။
light	မီးညှိသည်	ဖယောင်းတိုင်ကို သေချာ မီးညှိပါ။
light (not heavy)	ပေါ့သော	ဒီအိတ်က ပေါ့တယ်။
likely	ဖြစ်နိုင်ခြေရှိသော	မနက်ဖြန် မိုးရွာနိုင်ခြေ ရှိတယ်။
link	လင့်ခ်; ချိတ်ဆက်မှု	လင့်ခ်ကို ကျွန်တော့်ဆီ ပို့ပါ။
listener	နားထောင်သူ	နားထောင်သူကောင်း ဖြစ်ပါ။
lock	သော့ခတ်သည်	တံခါးကို သော့ခတ်ပါ။
lorry	ကုန်တင်ကား	ကုန်တင်ကားက သေတ္တာတွေ သယ်တယ်။
lost	လမ်းပျောက်သော	ကျွန်တော်တို့ လမ်းပျောက်နေတယ်။
loud	ကျယ်သော	ဂီတက ကျယ်တယ်။
loudly	ကျယ်ကျယ်	ကျေးဇူးပြု၍ ကျယ်ကျယ် မပြောပါနဲ့။
lovely	ချစ်စရာကောင်းသော	ဘယ်လောက် ချစ်စရာကောင်းတဲ့ ဥယျာဉ်လဲ။
low	နိမ့်သော	ကုလားထိုင်က နိမ့်တယ်။
luck	ကံကောင်းမှု	မင်းစာမေးပွဲအတွက် ကံကောင်းပါစေ။
lucky	ကံကောင်းသော	မင်း ဒီနေ့ ကံကောင်းတယ်။
mail	စာတိုက်စာ	ဒီမနက် စာတိုက်စာ ရတယ်။
major	အဓိက; ကြီးမားသော	ဒါက ကြီးမားတဲ့ ပြဿနာပါ။
male	အထီး; အမျိုးသား	အထီးငှက်က တောက်ပတယ်။
manage	စီမံသည်; ကိုင်တွယ်နိုင်သည်	ဒီတာဝန်ကို ကိုင်တွယ်နိုင်လား။
manager	မန်နေဂျာ	မန်နေဂျာက အလုပ်များတယ်။
manner	အပြုအမူ; နည်းလမ်း	ယဉ်ကျေးတဲ့ နည်းလမ်းနဲ့ ပြောပါ။
mark	အမှတ်အသားပြုသည်	မင်းရဲ့ အဖြေကို ရှင်းရှင်း အမှတ်အသားပြုပါ။
marry	လက်ထပ်သည်	သူတို့ ဇွန်လမှာ လက်ထပ်မယ်။
material	ပစ္စည်း; အထည်အမျိုးအစား	ဒီပစ္စည်းက နူးညံ့တယ်။
mathematics	သင်္ချာ	သင်္ချာက ကျွန်တော့် အကြိုက်ဆုံး ဘာသာရပ်ပါ။
maths	သင်္ချာ	သင်္ချာက ကျွန်တော့်အတွက် ခက်တယ်။
matter	အရေးကြီးသည်; ကိစ္စ	အဲဒါ အရေးမကြီးဘူး။
may modal	နိုင်သည်; ခွင့်ရှိသည်	အခု သွားနိုင်တယ်။
media	မီဒီယာ	မီဒီယာက ဇာတ်လမ်းကို ဖော်ပြတယ်။
medical	ဆေးဘက်ဆိုင်ရာ	သူမ ဆေးဘက်ဆိုင်ရာ အကူအညီ လိုတယ်။
medicine	ဆေး	နေ့လယ်စာပြီး ဒီဆေးကို သောက်ပါ။
memory	မှတ်ဉာဏ်; အမှတ်တရ	ကျွန်တော့် မှတ်ဉာဏ်က ကောင်းတယ်။
mention	ဖော်ပြသည်; ပြောပြသည်	ကျွန်တော့် နာမည်ကို မပြောပါနဲ့။
metal	သတ္တု	တံခါးမကြီးက သတ္တုနဲ့ လုပ်ထားတယ်။
method	နည်းလမ်း	ဒီနည်းလမ်းက ကောင်းကောင်း အလုပ်လုပ်တယ်။
middle	အလယ်	အလယ်မှာ ရပ်ပါ။
might modal	ဖြစ်နိုင်သည်	နောက်ပိုင်း မိုးရွာနိုင်တယ်။
mind	စိတ်	ကျွန်တော် စိတ်ပြောင်းသွားတယ်။
mine (belongs to me)	ကျွန်တော့်ဟာ	ဒီစာအုပ်က ကျွန်တော့်ဟာပါ။
mirror	မှန်	မှန်ထဲကို ကြည့်ပါ။
missing	ပျောက်နေသော	ကျွန်တော့် သော့တွေ ပျောက်နေတယ်။
mobile	မိုဘိုင်းဖုန်း	ကျွန်တော့် မိုဘိုင်းဖုန်းက စားပွဲပေါ်မှာ ရှိတယ်။
monkey	မျောက်	မျောက်က သစ်ပင်ပေါ် တက်တယ်။
moon	လ	လက တောက်ပတယ်။
mostly	အများအားဖြင့်	အတန်းက အများအားဖြင့် တိတ်ဆိတ်တယ်။
motorcycle	မော်တော်ဆိုင်ကယ်	သူ မော်တော်ဆိုင်ကယ် စီးတယ်။
movement	လှုပ်ရှားမှု	သစ်ပင်တွေထဲမှာ လှုပ်ရှားမှု မြင်တယ်။
musical	ဂီတဆိုင်ရာ	ဒါက ဂီတရုပ်ရှင်ပါ။
musician	ဂီတပညာရှင်	ဂီတပညာရှင်က ဂစ်တာ တီးတယ်။
myself	ကိုယ်တိုင်	ဒါကို ကျွန်တော်ကိုယ်တိုင် လုပ်ခဲ့တယ်။
narrow	ကျဉ်းသော	လမ်းက ကျဉ်းတယ်။
national	အမျိုးသားရေး; နိုင်ငံတော်ဆိုင်ရာ	ဒါက နိုင်ငံတော် အားလပ်ရက်ပါ။
nature	သဘာဝ	ကျွန်တော် သဘာဝကို ချစ်တယ်။
nearly	နီးပါး	ကျွန်တော်တို့ ရောက်နီးပါး ဖြစ်နေပြီ။
necessary	လိုအပ်သော	ဒါ လိုအပ်လား။
neck	လည်ပင်း	ကျွန်တော့် လည်ပင်း နာတယ်။
neither	နှစ်ခုစလုံးမဟုတ်	အဖြေနှစ်ခုစလုံး မမှန်ဘူး။
nervous	စိတ်လှုပ်ရှားသော; စိုးရိမ်သော	သူမ စိတ်လှုပ်ရှားနေတယ်။
network	ကွန်ရက်	ကွန်ရက်က ပျက်နေတယ်။
noise	ဆူညံသံ	ကျွန်တော် ကျယ်တဲ့ ဆူညံသံ ကြားတယ်။
noisy	ဆူညံသော	လမ်းက ဆူညံတယ်။
none	မည်သူမျှမရှိ; ဘာမျှမရှိ	သူတို့ထဲက မည်သူမျှ မလာဘူး။
normal	သာမန်; ပုံမှန်	ဒါက ပုံမှန်ပါ။
normally	ပုံမှန်အားဖြင့်	ပုံမှန်အားဖြင့် ကျွန်တော် စောစော ထတယ်။
notice	သတိပြုသည်	ဆိုင်းဘုတ်ကို သတိပြုမိလား။
novel	ဝတ္ထု	သူမ ဝတ္ထုတစ်ပုဒ် ရေးတယ်။
nowhere	ဘယ်နေရာမှမရှိ	ထိုင်စရာ ဘယ်နေရာမှ မရှိဘူး။
nut	အခွံမာသီး	အခွံမာသီးက မာတယ်။
ocean	သမုဒ္ဒရာ	သမုဒ္ဒရာက နက်တယ်။
offer	ကမ်းလှမ်းမှု; ကမ်းလှမ်းသည်	ကမ်းလှမ်းမှုကို ကျွန်တော် လက်ခံတယ်။
officer	အရာရှိ	အရာရှိက ကျွန်တော့် လက်မှတ်ကို စစ်တယ်။
oil	ဆီ	ဒယ်အိုးထဲ ဆီ ထည့်ပါ။
onto	ပေါ်သို့	အဲဒါကို စင်ပေါ်သို့ တင်ပါ။
opportunity	အခွင့်အရေး	ဒါက ကောင်းတဲ့ အခွင့်အရေးပါ။
option	ရွေးချယ်စရာ	အကောင်းဆုံး ရွေးချယ်စရာကို ရွေးပါ။
ordinary	သာမန်	ဒါက သာမန်နေ့တစ်နေ့ပါ။
organization	အဖွဲ့အစည်း	အဖွဲ့အစည်းက ကျောင်းသားတွေကို ကူညီတယ်။
organize	စီစဉ်သည်; စနစ်တကျလုပ်သည်	ဖိုင်တွေကို စီစဉ်ပါ။
original	မူရင်း	မူရင်း ဖြတ်ပိုင်းကို သိမ်းထားပါ။
ourselves	ကျွန်တော်တို့ကိုယ်တိုင်	ကျွန်တော်တို့ကိုယ်တိုင် ညစာ ချက်တယ်။
oven	မီးဖို	မီးဖိုက ပူတယ်။
owner	ပိုင်ရှင်	ပိုင်ရှင်က ဆိုင်ကို ဖွင့်တယ်။
pack	ထုပ်ပိုးသည်; အိတ်ဆောင်ပြင်သည်	အခု မင်းအိတ်ကို ပြင်ပါ။
pain	နာကျင်မှု	ကျွန်တော့် ကျောမှာ နာကျင်မှု ခံစားရတယ်။
painter	ပန်းချီဆရာ; ဆေးသုတ်သူ	ဆေးသုတ်သူက နံရံကို ပြီးစီးတယ်။
palace	နန်းတော်	နန်းတော်က ဟောင်းတယ်။
pants	ဘောင်းဘီ	ဒီဘောင်းဘီက အရမ်းရှည်တယ်။
parking	ကားရပ်နားခြင်း	ဒီမှာ ကားရပ်ဖို့ ခက်တယ်။
particular	တိကျသော	တိကျတဲ့ စာအုပ်တစ်အုပ် လိုတယ်။
pass	ပေးသည်; ဖြတ်သန်းသည်	ဆားကို ကျွန်တော့်ဆီ ပေးပါ။
passenger	ခရီးသည်	ခရီးသည်တိုင်း လက်မှတ်လိုတယ်။
patient	စိတ်ရှည်သော; လူနာ	ကလေးတွေနဲ့ စိတ်ရှည်ပါ။
pattern	ပုံစံ	ဒီပုံစံက ရိုးရှင်းတယ်။
peace	ငြိမ်းချမ်းရေး	ကျွန်တော်တို့အားလုံး ငြိမ်းချမ်းရေးကို လိုချင်တယ်။
penny	ပင်နီ	ကျွန်တော် ပင်နီတစ်ပြား တွေ့တယ်။
per	တစ်ဦးလျှင်	လက်မှတ်က တစ်ဦးလျှင် ဒေါ်လာဆယ်ဒေါ်လာ ကျတယ်။
per cent	ရာခိုင်နှုန်း	ငါးရာခိုင်နှုန်းက နည်းတယ်။
perform	ဖျော်ဖြေသည်	တီးဝိုင်းက ဒီည ဖျော်ဖြေမယ်။
perhaps	ဖြစ်နိုင်သည်	သူမ အိမ်မှာ ရှိနေနိုင်တယ်။
permission	ခွင့်ပြုချက်	အရင် ခွင့်ပြုချက် တောင်းပါ။
personality	ကိုယ်ရည်ကိုယ်သွေး	သူ့မှာ ဖော်ရွေတဲ့ ကိုယ်ရည်ကိုယ်သွေး ရှိတယ်။
pet	အိမ်မွေးတိရစ္ဆာန်	ကျွန်တော့် အိမ်မွေးတိရစ္ဆာန်က ကြောင်ပါ။
petrol	ဓာတ်ဆီ	ကားက ဓာတ်ဆီ လိုတယ်။
physical	ရုပ်ပိုင်းဆိုင်ရာ	ရုပ်ပိုင်းဆိုင်ရာ လေ့ကျင့်ခန်းက ကျန်းမာရေးကို ကူညီတယ်။
physics	ရူပဗေဒ	ရူပဗေဒက ခက်တယ်။
pick	ရွေးသည်	ကတ်တစ်ခု ရွေးပါ။
pilot	လေယာဉ်မှူး	လေယာဉ်မှူးက ရှင်းရှင်း ပြောတယ်။
planet	ဂြိုဟ်	ကမ္ဘာက ဂြိုဟ်တစ်လုံးပါ။
plastic	ပလတ်စတစ်	ဒီပုလင်းက ပလတ်စတစ်ပါ။
plate	ပန်းကန်	အစားအစာကို ပန်းကန်ပေါ် တင်ပါ။
platform	ပလက်ဖောင်း	နံပါတ်နှစ် ပလက်ဖောင်းမှာ စောင့်ပါ။
pleased	ဝမ်းသာသော	မင်းနဲ့ တွေ့ရတာ ဝမ်းသာပါတယ်။
pocket	အိတ်ကပ်	လက်မှတ်က ကျွန်တော့် အိတ်ကပ်ထဲမှာ ရှိတယ်။
polite	ယဉ်ကျေးသော	လူတိုင်းကို ယဉ်ကျေးပါ။
pollution	ညစ်ညမ်းမှု	ညစ်ညမ်းမှုက သမုဒ္ဒရာကို ထိခိုက်စေတယ်။
pop	ပေါ့ပ်ဂီတ	ကျွန်တော် ပေါ့ပ်ဂီတ ကြိုက်တယ်။
population	လူဦးရေ	လူဦးရေက တိုးနေတယ်။
position	နေရာ; အနေအထား	မင်းရဲ့ အနေအထားကို ပြောင်းပါ။
possession	ပိုင်ဆိုင်မှု	ဒီလက်စွပ်က ကျွန်တော့် ပိုင်ဆိုင်မှုပါ။
possibility	ဖြစ်နိုင်ခြေ	မိုးရွာနိုင်ခြေ ရှိတယ်။
poster	ပိုစတာ	ပိုစတာကို နံရံပေါ် ကပ်ပါ။
power	လျှပ်စစ်ဓာတ်အား; အင်အား	ကွန်ပျူတာက လျှပ်စစ်ဓာတ်အား လိုတယ်။
predict	ခန့်မှန်းသည်	မိုးလေဝသကို ကျွန်တော်တို့ မခန့်မှန်းနိုင်ဘူး။
president	သမ္မတ	သမ္မတက မိန့်ခွန်း ပြောတယ်။
prevent	ကာကွယ်တားဆီးသည်	လက်ဆေးခြင်းက ရောဂါကို ကာကွယ်တားဆီးတယ်။
print	ပုံနှိပ်သည်	စာရွက်စာတမ်းကို ပုံနှိပ်ပါ။
printer	ပုံနှိပ်စက်	ပုံနှိပ်စက်က ပျက်နေတယ်။
prison	ထောင်	သူ ထောင်ထဲ သွားခဲ့တယ်။
prize	ဆု	သူမ ဆုတစ်ခု ရခဲ့တယ်။
process	လုပ်ငန်းစဉ်	လုပ်ငန်းစဉ်က အချိန်ယူတယ်။
produce	ထုတ်လုပ်သည်	ခြံတွေက အစားအစာ ထုတ်လုပ်တယ်။
professional	ကျွမ်းကျင်ပညာရှင်; ပရော်ဖက်ရှင်နယ်	သူမက ပရော်ဖက်ရှင်နယ် ကချေသည်ပါ။
professor	ပါမောက္ခ	ပါမောက္ခက မေးခွန်းတွေ ဖြေတယ်။
profile	ကိုယ်ရေးအချက်အလက်	မင်းရဲ့ ကိုယ်ရေးအချက်အလက်ကို အပ်ဒိတ်လုပ်ပါ။
program	အစီအစဉ်	အစီအစဉ်က အခု စတယ်။
progress	တိုးတက်မှု	ဒီနေ့ ကျွန်တော်တို့ တိုးတက်မှု ရခဲ့တယ်။
promise	ကတိ; ကတိပေးသည်	မင်းရဲ့ ကတိကို တည်ပါ။
pronounce	အသံထွက်သည်	ဒီစကားလုံးကို အသံထွက်ပေးပါ။
protect	ကာကွယ်သည်	မင်းရဲ့ မျက်လုံးတွေကို ကာကွယ်ပါ။
provide	ပေးသည်; ထောက်ပံ့သည်	သူတို့က ရေ အခမဲ့ ပေးတယ်။
pub	အရက်ဆိုင်	ကျွန်တော်တို့ အရက်ဆိုင်မှာ တွေ့ခဲ့တယ်။
public	အများပြည်သူဆိုင်ရာ	ပန်းခြံက အများပြည်သူဆိုင်ရာ ဖြစ်တယ်။
publish	ထုတ်ဝေသည်	သူတို့ မဂ္ဂဇင်းတစ်စောင် ထုတ်ဝေတယ်။
pull	ဆွဲသည်	တံခါးကို ဆွဲပါ။
purpose	ရည်ရွယ်ချက်	ရည်ရွယ်ချက်က ဘာလဲ။
push	တွန်းသည်; နှိပ်သည်	ခလုတ်ကို နှိပ်ပါ။
quality	အရည်အသွေး	အရည်အသွေးက မြင့်တယ်။
quantity	ပမာဏ	ပမာဏကို စစ်ပါ။
queen	ဘုရင်မ	ဘုရင်မက လက်ယမ်းပြတယ်။
quietly	တိတ်တိတ်ဆိတ်ဆိတ်	တိတ်တိတ်ဆိတ်ဆိတ် ပြောပါ။
race (competition)	ပြိုင်ပွဲ	ပြိုင်ပွဲက မကြာမီ စမယ်။
railway	ရထားလမ်း	ရထားလမ်းက ပိတ်ထားတယ်။
raise	မြှောက်သည်	မင်းလက်ကို မြှောက်ပါ။
rate	နှုန်း; စျေးနှုန်း	ဟိုတယ်နှုန်းက မြင့်တယ်။
rather	အတော်လေး	ကျွန်တော် အတော်လေး ပင်ပန်းတယ်။
reach	ရောက်သည်; လက်လှမ်းမီသည်	စင်ကို လက်လှမ်းမီနိုင်လား။
react	တုံ့ပြန်သည်	သူ ဘယ်လို တုံ့ပြန်ခဲ့လဲ။
realize	သဘောပေါက်သည်	ကျွန်တော့် အမှားကို သဘောပေါက်တယ်။
receive	လက်ခံရရှိသည်	ကျွန်တော့် စာကို ရရှိခဲ့လား။
recent	မကြာသေးသော	ဒါက မကြာသေးတဲ့ ဓာတ်ပုံပါ။
recently	မကြာသေးမီက	မကြာသေးမီက ကျွန်တော် ဒီကို ပြောင်းလာတယ်။
reception	ဧည့်ခံပွဲ; လက်ခံရေး	ဧည့်ခံပွဲက တနင်္လာနေ့မှာ ဖြစ်တယ်။
recipe	ချက်နည်း	ဒီချက်နည်းက လွယ်တယ်။
recognize	မှတ်မိသည်	အဲဒီသီချင်းကို ကျွန်တော် မှတ်မိတယ်။
recommend	အကြံပြုသည်	ဒီစာအုပ်ကို ကျွန်တော် အကြံပြုတယ်။
record	မှတ်တမ်း	ငွေပေးချေမှု မှတ်တမ်းကို သိမ်းထားပါ။
recording	အသံသွင်းမှု	အသံသွင်းမှုက ရှင်းလင်းစွာ ကြားရတယ်။
recycle	ပြန်လည်အသုံးပြုသည်	စက္ကူနဲ့ ပလတ်စတစ်ကို ပြန်လည်အသုံးပြုပါ။
reduce	လျှော့ချသည်	အပူကို လျှော့ချပါ။
refer	ရည်ညွှန်းသည်	စာမျက်နှာနှစ်ကို ရည်ညွှန်းပါ။
refuse1	ငြင်းဆိုသည်	လိမ်ပြောဖို့ ကျွန်တော် ငြင်းဆိုတယ်။
region	ဒေသ	ဒီဒေသက အေးတယ်။
regular	ပုံမှန်	သူက ပုံမှန် ဖောက်သည်ပါ။
relationship	ဆက်ဆံရေး	သူတို့ရဲ့ ဆက်ဆံရေးက ခိုင်မာတယ်။
remove	ဖယ်ရှားသည်	မင်းရဲ့ ဖိနပ်တွေကို ချွတ်ပါ။
repair	ပြင်ဆင်သည်	ဒီနေ့ စက်ဘီးကို ပြင်ပါ။
replace	အစားထိုးသည်	ဘက်ထရီဟောင်းကို အစားထိုးပါ။
reply	ပြန်ဖြေသည်	ကျေးဇူးပြု၍ မကြာမီ ပြန်ဖြေပါ။
