source_headword	HY	example_HY
intelligent	խելացի	Այս երեխան շատ խելացի է։
international	միջազգային	Սա միջազգային համաժողով է։
introduction	ներածություն	Ուսուցիչը կարճ ներածություն արեց։
invent	հորինել	Գիտնականը նոր սարք հորինեց։
invention	գյուտ	Այս գյուտը կյանքը հեշտացրեց։
invitation	հրավեր	Մենք հարսանիքի հրավեր ստացանք։
invite	հրավիրել	Նա ընկերոջը տուն հրավիրեց։
involve	ներառել	Նախագիծը շատ մարդկանց է ներառում։
item	իր	Ստուգեք ցուցակի յուրաքանչյուր իրը։
itself	ինքնին	Մեքենան ինքնուրույն կանգնեց։
jam	մուրաբա	Նա հացին մուրաբա քսեց։
jazz	ջազ	Նա ջազ երաժշտություն է սիրում։
jewellery	զարդեր	Զարդերը տուփի մեջ են։
joke	կատակ	Նրա կատակը բոլորին ծիծաղեցրեց։
journalist	լրագրող	Լրագրողը նախարարին հարց տվեց։
jump	ցատկել	Երեխան ջուրը ցատկեց։
kid	երեխա	Երեխան խաղում է այգում։
kill	սպանել	Թույնը կարող է բույսը սպանել։
king	թագավոր	Թագավորը ապրում էր պալատում։
knee	ծունկ	Նրա ծունկը ցավում է։
knife	դանակ	Դանակը սեղանի վրա է։
knock	թակել	Ինչ-որ մեկը դուռը թակեց։
knowledge	գիտելիք	Նա այս թեմայի մասին գիտելիք ունի։
lab	լաբորատորիա	Ուսանողները աշխատեցին լաբորատորիայում։
lady	կին	Այդ կինը ավտոբուս նստեց։
lake	լիճ	Լիճը գյուղի մոտ է։
lamp	լամպ	Սեղանի լամպը վառված է։
laptop	նոութբուք	Նա աշխատում է նոութբուքով։
last1 (taking time)	տևել	Ժողովը երկու ժամ տևեց։
laughter	ծիծաղ	Սենյակը լի էր ծիծաղով։
law	օրենք	Այս օրենքը վերաբերում է բոլորին։
lawyer	փաստաբան	Փաստաբանը խոսեց դատարանում։
lazy	ծույլ	Նա այսօր շատ ծույլ է։
lead1	ղեկավարել	Նա թիմը լավ ղեկավարեց։
leader	առաջնորդ	Առաջնորդը բացատրեց ծրագիրը։
learning	ուսուցում	Ուսուցումը ամեն օր պետք է։
least	նվազագույն	Սա նվազագույն գինն է։
lecture	դասախոսություն	Դասախոսությունը սկսվեց առավոտյան։
lemon	կիտրոն	Նա ջրին կիտրոն ավելացրեց։
lend	փոխ տալ	Խնդրում եմ, ինձ գրիչ փոխ տվեք։
less	պակաս	Այսօր մարդիկ պակաս են։
level	մակարդակ	Նրա անգլերենի մակարդակը բարելավվեց։
lifestyle	կենսակերպ	Առողջ կենսակերպը կարևոր է։
lift	վերելակ	Վերելակը կանգ առավ երրորդ հարկում։
light	վառել	Նա մոմը վառեց։
light (not heavy)	թեթև	Այս պայուսակը թեթև է։
likely	հավանական	Այսօր անձրևը հավանական է։
link	կապ	Այս երկու մտքերի միջև կապ կա։
listener	ունկնդիր	Ունկնդիրը ուշադիր լսեց։
lock	կողպել	Դուրս գալիս դուռը կողպեք։
lorry	բեռնատար	Բեռնատարը ապրանքները բերեց։
lost	կորած	Կորած հեռախոսը հետո գտնվեց։
loud	բարձրաձայն	Երաժշտությունը շատ բարձրաձայն էր։
loudly	բարձրաձայն	Նա բարձրաձայն խոսեց։
lovely	հրաշալի	Սա հրաշալի օր է։
low	ցածր	Այսօր ջերմաստիճանը ցածր է։
luck	հաջողություն	Նա լավ հաջողություն ունեցավ։
lucky	հաջողակ	Նա շատ հաջողակ է։
mail	փոստ	Այսօր փոստը ուշ եկավ։
major	հիմնական	Սա հիմնական խնդիրն է։
male	արու	Արու թռչունը գունավոր է։
manage	կառավարել	Նա իր ժամանակը լավ կառավարեց։
manager	մենեջեր	Մենեջերը ժողով հրավիրեց։
manner	ձև	Նրա խոսելու ձևը մեղմ է։
mark	նշան	Գրքում կարմիր նշան կա։
marry	ամուսնանալ	Նրանք հաջորդ ամիս կամուսնանան։
material	նյութ	Այս նյութը փափուկ է։
mathematics	մաթեմատիկա	Նա մաթեմատիկա է սովորում։
maths	մաթեմատիկա	Նա մաթեմատիկա է սիրում։
matter	հարց	Սա փոքր հարց չէ։
may modal	կարող է	Նա կարող է ուշ գալ։
media	մեդիա	Մեդիան տարածեց լուրը։
medical	բժշկական	Նրան բժշկական օգնություն է պետք։
medicine	դեղ	Խնդրում եմ, դեղը ժամանակին ընդունեք։
memory	հիշողություն	Այս օրը լավ հիշողություն է։
mention	նշել	Նա նաև իմ անունը նշեց։
metal	մետաղ	Դուռը մետաղից է պատրաստված։
method	մեթոդ	Այս մեթոդը հեշտ է։
middle	մեջտեղ	Սեղանը սենյակի մեջտեղում է։
might modal	կարող է	Այսօր կարող է անձրև գալ։
mind	միտք	Նրա մտքում հարց կար։
mine (belongs to me)	իմը	Այս գիրքը իմն է։
mirror	հայելի	Հայելին կախված է պատից։
missing	կորած	Կորած բանալին գտնվեց։
mobile	բջջային հեռախոս	Բջջային հեռախոսը սեղանի վրա է։
monkey	կապիկ	Կապիկը ծառը բարձրացավ։
moon	լուսին	Գիշերը լուսինը պայծառ էր։
mostly	հիմնականում	Սենյակը հիմնականում դատարկ էր։
motorcycle	մոտոցիկլ	Մոտոցիկլը արագ գնաց։
movement	շարժում	Նրա ձեռքի շարժումը արագ էր։
musical	երաժշտական	Սա երաժշտական ծրագիր է։
musician	երաժիշտ	Երաժիշտը երգեց բեմում։
myself	ինքս	Ես ուտելիքը ինքս պատրաստեցի։
narrow	նեղ	Ճանապարհը շատ նեղ է։
national	ազգային	Սա ազգային տոն է։
nature	բնություն	Բնությունը խաղաղ է։
nearly	գրեթե	Նա գրեթե պատրաստ է։
necessary	անհրաժեշտ	Սա անհրաժեշտ փաստաթուղթ է։
neck	պարանոց	Նրա պարանոցը ցավում է։
neither	ոչ մեկը	Նրանցից ոչ մեկը այս գույնը չսիրեց։
nervous	նյարդային	Քննությունից առաջ նա նյարդային էր։
network	ցանց	Այստեղ հեռախոսի ցանցը թույլ է։
noise	աղմուկ	Դրսում մեծ աղմուկ լսվեց։
noisy	աղմկոտ	Փողոցը շատ աղմկոտ է։
none	ոչինչ	Տուփում ոչինչ չկա։
normal	նորմալ	Սա նորմալ վիճակ է։
normally	սովորաբար	Նա սովորաբար շուտ է գալիս։
notice	նկատել	Խնդրում եմ, նկատեք փոփոխությունը։
novel	վեպ	Նա նոր վեպ է կարդում։
nowhere	ոչ մի տեղ	Բանալին ոչ մի տեղ չկա։
nut	ընկույզ	Նա մի ընկույզ կերավ։
ocean	օվկիանոս	Օվկիանոսը շատ լայն է։
offer	առաջարկ	Նրանք օգնության առաջարկ արեցին։
officer	պաշտոնյա	Պաշտոնյան ստուգեց փաստաթուղթը։
oil	յուղ	Նա կաթսայի մեջ յուղ լցրեց։
onto	վրա	Կատուն ցատկեց աթոռի վրա։
opportunity	հնարավորություն	Սա լավ հնարավորություն է։
option	ընտրություն	Մենք այլ ընտրություն ունենք։
ordinary	սովորական	Սա սովորական օր է։
organization	կազմակերպություն	Կազմակերպությունը օգնում է երեխաներին։
organize	կազմակերպել	Նրանք միջոցառումը կազմակերպեցին։
original	օրիգինալ	Սա օրիգինալ նկար է։
ourselves	ինքներս	Մենք սենյակը ինքներս մաքրեցինք։
oven	ջեռոց	Հացը ջեռոցում է թխվում։
owner	սեփականատեր	Խանութի սեփականատերը այնտեղ էր։
pack	փաթեթավորել	Նա պայուսակը հավաքեց։
pain	ցավ	Նրա ոտքում ցավ կա։
painter	նկարիչ	Նկարիչը պատը ներկեց։
palace	պալատ	Հին պալատը բաց է։
pants	տաբատ	Նա նոր տաբատ գնեց։
parking	կայանատեղի	Այստեղ կայանատեղին անվճար է։
particular	հատուկ	Նա հատուկ պատճառ ուներ։
pass	անցնել	Մեքենան անցավ կամրջով։
passenger	ուղևոր	Ուղևորը ցույց տվեց տոմսը։
patient	համբերատար	Ուսուցիչը շատ համբերատար էր։
pattern	նախշ	Կտորի վրա գեղեցիկ նախշ կա։
peace	խաղաղություն	Բոլորը խաղաղություն են ուզում։
penny	մանրադրամ	Նա մանրադրամը վերցրեց։
per	յուրաքանչյուր	Յուրաքանչյուր մարդու մեկ տոմս տվեցին։
per cent	տոկոս	Գինը հինգ տոկոսով իջավ։
perform	կատարել	Երեխաները բեմում պար կատարեցին։
perhaps	գուցե	Գուցե նա տանն է։
permission	թույլտվություն	Նրան գնալու թույլտվություն տվեցին։
personality	բնավորություն	Նրա բնավորությունը բարի է։
pet	ընտանի կենդանի	Նրա ընտանի կենդանին շուն է։
petrol	բենզին	Մեքենայում բենզինը քիչ է։
physical	ֆիզիկական	Ֆիզիկական վարժությունը առողջության համար լավ է։
physics	ֆիզիկա	Նա ֆիզիկա է սովորում։
pick	վերցնել	Նա հատակից գրիչ վերցրեց։
pilot	օդաչու	Օդաչուն ողջունեց ուղևորներին։
planet	մոլորակ	Երկիրը մոլորակ է։
plastic	պլաստիկ	Շիշը պլաստիկից է պատրաստված։
plate	ափսե	Ափսեն դրեցին սեղանին։
platform	հարթակ	Գնացքը եկավ երրորդ հարթակ։
pleased	գոհ	Նա արդյունքից գոհ է։
pocket	գրպան	Նա բանալին դրեց գրպանում։
polite	քաղաքավարի	Այս երեխան շատ քաղաքավարի է։
pollution	աղտոտում	Քաղաքում աղտոտումը աճում է։
pop	փոփ երաժշտություն	Նա փոփ երաժշտություն է լսում։
population	բնակչություն	Քաղաքի բնակչությունը մեծ է։
position	դիրք	Նրա դիրքը ցուցակում բարձր է։
possession	սեփականություն	Գիրքը հիմա նրա սեփականությունն է։
possibility	հնարավորություն	Հաղթելու հնարավորություն դեռ կա։
poster	պաստառ	Պաստառը փակցրին պատին։
power	ուժ	Մեքենային ավելի շատ ուժ է պետք։
predict	կանխատեսել	Նրանք վաղվա եղանակը կանխատեսեցին։
president	նախագահ	Նախագահը ելույթ ունեցավ։
prevent	կանխել	Նա կանխեց խնդիրը։
print	տպել	Խնդրում եմ, տպեք այս էջը։
printer	տպիչ	Տպիչը այսօր չի աշխատում։
prison	բանտ	Գողը բանտ ընկավ։
prize	մրցանակ	Նա մրցույթում մրցանակ ստացավ։
process	գործընթաց	Այս գործընթացը ժամանակ է պահանջում։
produce	արտադրել	Գործարանը խաղալիքներ է արտադրում։
professional	մասնագիտական	Նա մասնագիտական խաղացող է։
professor	պրոֆեսոր	Պրոֆեսորը բացատրեց հարցը։
profile	պրոֆիլ	Նա թարմացրեց իր պրոֆիլը։
program	ծրագիր	Ծրագիրը երեկոյան սկսվում է։
progress	առաջընթաց	Նրա ուսման մեջ առաջընթաց կա։
promise	խոստանալ	Նա խոստացավ ժամանակին գալ։
pronounce	արտասանել	Այս բառը հստակ արտասանեք։
protect	պաշտպանել	Ծառերը պաշտպանում են բնությունը։
provide	տրամադրել	Դպրոցը անվճար սնունդ է տրամադրում։
pub	փաբ	Նրանք երեկոյան հանդիպեցին փաբում։
public	հանրային	Սա հանրային այգի է։
publish	հրապարակել	Նրանք գիրքը հաջորդ տարի կհրապարակեն։
pull	քաշել	Դուռը բացելու համար բռնակը քաշեք։
purpose	նպատակ	Այս ժողովի նպատակը պարզ է։
push	հրել	Դուռը բացելու համար հրեք։
quality	որակ	Այս վերնաշապիկի որակը լավ է։
quantity	քանակ	Քանակը ուշադիր չափեք։
queen	թագուհի	Թագուհին ապրում էր պալատում։
quietly	լուռ	Նա լուռ մտավ սենյակ։
race (competition)	մրցավազք	Մրցավազքը սկսվեց առավոտյան։
railway	երկաթուղի	Երկաթուղային կայարանը մոտ է։
raise	բարձրացնել	Նա բարձրացրեց ձեռքը։
rate	գին	Սենյակի գինը բարձր է։
rather	բավականին	Սա բավականին դժվար է։
reach	հասնել	Մենք երեկոյան տուն հասանք։
react	արձագանքել	Նա լուրին հանգիստ արձագանքեց։
realize	գիտակցել	Նա գիտակցեց իր սխալը։
receive	ստանալ	Նա նամակը ստացավ։
recent	վերջին	Վերջին լուրերը կարևոր են։
recently	վերջերս	Նա վերջերս այստեղ եկավ։
reception	ընդունարան	Բանալին հարցրեք ընդունարանում։
recipe	բաղադրատոմս	Այս բաղադրատոմսը հեշտ է։
recognize	ճանաչել	Նա ճանաչեց հին ընկերոջը։
recommend	խորհուրդ տալ	Ես խորհուրդ եմ տալիս այս գիրքը։
record	գրանցել	Նա գրանցեց տեղեկությունը։
recording	ձայնագրություն	Ձայնագրությունը հիմա սկսվում է։
recycle	վերամշակել	Մենք թուղթը վերամշակում ենք։
reduce	նվազեցնել	Խնդրում եմ, ձայնը նվազեցրեք։
refer	հղում անել	Ուսուցիչը հղում արեց հին դասին։
refuse1	մերժել	Նա մերժեց օգնությունը։
region	տարածաշրջան	Այս տարածաշրջանը շատ տաք է։
regular	կանոնավոր	Նա կանոնավոր մարզվում է։
relationship	հարաբերություն	Նրանց հարաբերությունը ուժեղ է։
remove	հեռացնել	Գիրքը հեռացրեք սեղանից։
repair	նորոգել	Նա նորոգեց հեծանիվը։
replace	փոխարինել	Փոխարինեք հին լամպը։
reply	պատասխան	Նրա պատասխանը կարճ էր։
reporter	թղթակից	Թղթակիցը հարց տվեց։
request	խնդրանք	Նա օգնության խնդրանք արեց։
research	հետազոտություն	Նա նոր հետազոտություն անցկացրեց։
researcher	հետազոտող	Հետազոտողը բացատրեց արդյունքները։
respond	պատասխանել	Նա պատասխանեց հարցին։
response	պատասխան	Պատասխանը շատ արագ էր։
rest (remaining part)	մնացած մասը	Մնացած մասը վաղը կավարտենք։
rest (sleep/relax)	հանգիստ	Նա մի քիչ հանգստացավ։
review	վերանայում	Ուսուցիչը դասի վերանայում արեց։
ring1	մատանի	Նա արծաթե մատանի էր կրում։
ring2	զանգել	Հեռախոսը հանկարծ զանգեց։
rise	բարձրանալ	Առավոտյան արևը բարձրանում է։
rock (stone)	քար	Երեխան փոքր քար վերցրեց։
