source_headword	RU	example_RU
moving	трогательный	Речь была трогательной.
myth	миф	Этот миф объясняет название горы.
naked	голый	Ребенок был голым после ванны.
nasty	ужасный	Порез выглядел ужасно.
navigation	навигация	Приложение улучшает навигацию.
nearby	близлежащий	Близлежащее кафе открывается рано.
necessity	необходимость	Чистая вода — это необходимость.
negotiate	вести переговоры	Они будут обсуждать контракт завтра.
negotiation	переговоры	Переговоры длились все утро.
neutral	нейтральный	Судья оставался нейтральным.
newly	недавно	Недавно покрашенная дверь выглядела яркой.
norm	норма	Удаленная работа стала нормой.
notebook	блокнот	Пишите заметки в свой блокнот.
novelist	романист	Писательница подписала свою книгу.
nowadays	в наше время	В наше время многие люди работают онлайн.
nursing	сестринское дело	Она изучает сестринское дело.
nutrition	питание	Хорошее питание поддерживает здоровье.
obesity	ожирение	Ожирение увеличивает риски для здоровья.
observer	наблюдатель	Наблюдатель записал результаты.
obstacle	препятствие	Упавшее дерево было препятствием.
occupation	профессия	Пожалуйста, напишите вашу профессию здесь.
occupy	занимать	Семья займет эту квартиру.
offender	правонарушитель	Правонарушитель извинился в суде.
ongoing	продолжающийся	Расследование продолжается.
openly	открыто	Она открыто говорила о своих страхах.
opera	опера	Мы посмотрели оперу в Милане.
operator	оператор	Оператор соединил звонок.
optimistic	оптимистичный	Она смотрит в будущее с оптимизмом.
orchestra	оркестр	Оркестр играл тихо.
organic	органический	Они купили органические овощи.
outfit	наряд	Ее наряд соответствовал случаю.
output	производительность	Производительность машины увеличилась.
outstanding	выдающийся	Его выступление было выдающимся.
overcome	преодолевать	Они преодолевают проблемы вместе.
overnight	за ночь	Посылка прибыла за ночь.
overseas	за границей	Он нашел работу за границей.
ownership	собственность	Право собственности на землю изменилось.
oxygen	кислород	Растения производят кислород.
packet	пакет	Осторожно откройте пакет.
palm	ладонь	Держите монету в ладони.
panic	паника	Паника распространилась в толпе.
parade	парад	Парад начался в полдень.
parallel	параллельный	Дороги идут параллельно.
participation	участие	Участие в классе улучшилось.
partnership	партнерство	Партнерство помогло обеим компаниям.
part-time	на неполный рабочий день	Она нашла работу на неполный рабочий день.
passionate	страстный	Он страстно увлечен музыкой.
password	пароль	Выберите надежный пароль.
patience	терпение	Обучение маленьких детей требует терпения.
pause	ставить на паузу	Поставьте видео на паузу сейчас.
peer	сверстник	Давление сверстников повлияло на его выбор.
penalty	штраф	Игрок получил штраф.
perceive	воспринимать	Люди воспринимают риск по-разному.
perception	восприятие	Его восприятие опасности изменилось.
permanently	навсегда	Магазин закрылся навсегда.
pill	таблетка	Примите одну таблетку после завтрака.
pity	жалость	Какая жалость.
placement	размещение	Размещение дивана имеет значение.
portion	порция	Подавайте небольшую порцию риса.
potentially	потенциально	Это изменение потенциально полезно.
precede	предшествовать	Темные облака часто предшествуют дождю.
precious	драгоценный	Это драгоценное кольцо.
precise	точный	Инструкции были точными.
precisely	точно	Точно измерьте расстояние.
predictable	предсказуемый	Концовка была предсказуемой.
preference	предпочтение	Она выразила предпочтение чаю.
pride	гордость	Он почувствовал гордость после окончания.
primarily	в первую очередь	Курс проводится в первую очередь онлайн.
principal	директор	Директор поприветствовал новых студентов.
prior	предварительный	Нам нужно предварительное одобрение.
probability	вероятность	Вероятность дождя высока.
probable	вероятный	Сегодня вечером вероятен дождь.
proceed	проходить	Пожалуйста, пройдите в следующую комнату.
programming	программирование	Программирование требует практики.
progressive	прогрессивный	Эта политика была прогрессивной для своего времени.
prohibit	запрещать	Правила запрещают курение.
promising	многообещающий	Результаты выглядят многообещающими.
promotion	повышение	Она получила повышение на работе.
prompt	быстрый	Быстрый ответ сэкономил время.
proportion	доля	Большая доля проголосовала за.
protein	белок	Фасоль содержит белок.
protester	протестующий	Протестующий держал плакат.
psychological	психологический	Авария вызвала психологический стресс.
publicity	огласка	Событие получило огласку.
publishing	издательское дело	Она работает в издательском деле.
punk	панк	Там стала популярной панк-музыка.
purely	исключительно	Выбор был исключительно практическим.
pursuit	стремление	Он продолжил свое стремление к справедливости.
puzzle	головоломка	Головоломка заняла час.
questionnaire	анкета	Пожалуйста, заполните анкету.
racial	расовый	В отчете обсуждалось расовое неравенство.
racism	расизм	Расизм вредит обществу.
racist	расистский	Комментарий был расистским.
radiation	радиация	Радиация может повредить клетки.
rail	перила	Держитесь за перила на лестнице.
random	случайный	Компьютер выбрал случайное число.
rat	крыса	Крыса пробежала за мусорными баками.
rating	рейтинг	У отеля высокий рейтинг.
reasonably	вполне	Комната была вполне чистой.
rebuild	восстанавливать	Они восстановят мост.
receiver	принимающий	Принимающий поймал мяч.
recession	рецессия	Рецессия сократила расходы.
reckon	считать	Я считаю, что поезд опаздывает.
recognition	признание	Она получила признание за свою работу.
recovery	выздоровление	Выздоровление заняло несколько недель.
recruit	нанимать	Компания наймет инженеров.
recruitment	набор	Набор персонала начнется в следующий понедельник.
referee	судья	Судья остановил матч.
refugee	беженец	Беженец нашел безопасный дом.
registration	регистрация	Регистрация закрывается в пятницу.
regulate	регулировать	Закон будет регулировать выбросы.
reinforce	укреплять	Дополнительные балки укрепляют крышу.
relieve	облегчать	Лекарство может облегчить боль.
relieved	испытывающий облегчение	Она почувствовала облегчение после звонка.
remarkable	поразительный	Выздоровление было поразительным.
remarkably	удивительно	Он выздоровел удивительно быстро.
reporting	репортаж	Точные репортажи имеют значение.
resign	увольняться	Менеджер уволится завтра.
resolution	разрешение	У экрана высокое разрешение.
restore	реставрировать	Рабочие реставрируют старую картину.
restrict	ограничивать	Правила ограничивают парковку.
restriction	ограничение	Ограничение заканчивается завтра.
retail	розничная торговля	Розничные продажи увеличились.
retirement	выход на пенсию	Она тщательно планировала свой выход на пенсию.
revenue	доход	Доход от билетов пошел на ремонт.
revision	повторение	Повторение помогло перед экзаменом.
ridiculous	смешной	Цена была смешной.
risky	рискованный	План казался рискованным.
rival	конкурент	Наш конкурент открыл новый магазин.
rob	ограбить	Мужчины попытались ограбить банк.
robbery	ограбление	Ограбление произошло ночью.
rocket	ракета	Ракета успешно запущена.
romance	роман	В книге есть любовный роман.
rose	роза	Красная роза выросла у забора.
roughly	примерно	Присутствовало примерно двадцать человек.
ruin	испортить	Дождь может испортить пикник.
satisfaction	удовлетворение	Удовлетворенность клиентов улучшилась.
scandal	скандал	Скандал повредил его карьере.
scare	испуг	Громкий шум сильно меня напугал.
scenario	сценарий	Худший сценарий маловероятен.
scholar	ученый	Ученый изучал древние тексты.
scholarship	стипендия	Она выиграла стипендию.
scratch	царапина	Кошка оставила царапину.
screening	скрининг	Больница предлагает скрининг на рак.
seeker	соискатель	Соискатель работы разослал заявления.
seminar	семинар	Семинар начинается в девять.
settler	поселенец	Поселенец построил небольшую ферму.
severely	сильно	Шторм сильно повредил дороги.
sexy	сексуальный	Платье считалось сексуальным.
shocking	шокирующий	Новости были шокирующими.
shore	берег	Мы гуляли вдоль берега.
shortage	нехватка	Город столкнулся с нехваткой воды.
shortly	вскоре	Автобус прибыл вскоре после полудня.
short-term	краткосрочный	План имеет краткосрочные преимущества.
sibling	брат или сестра	Каждый брат или сестра получил подарок.
signature	подпись	Пожалуйста, поставьте свою подпись.
significance	значение	Открытие имеет большое значение.
skilled	квалифицированный	Квалифицированные рабочие починили крышу.
slogan	лозунг	В кампании использовался простой лозунг.
so-called	так называемый	Так называемый эксперт допускал ошибки.
somehow	как-то	Каким-то образом ключи исчезли.
sometime	когда-нибудь	Загляните к нам как-нибудь на следующей неделе.
sophisticated	продвинутый	Программное обеспечение сложное.
spare	запасной	Мы храним запасной ключ.
specialize	специализироваться	Врачи специализируются в разных областях.
specify	указывать	Пожалуйста, укажите время вашего прибытия.
spectacular	захватывающий	Фейерверки были захватывающими.
spectator	зритель	Каждый зритель получил программку.
speculate	размышлять	Эксперты размышляют о причине.
speculation	домысел	Статья поощряла домыслы.
spice	специя	Добавляйте по одной специи за раз.
spill	проливать	Не пролейте сок.
spite	несмотря на	Он добился успеха несмотря на проблемы.
spoil	испортить	Слишком много соли может испортить суп.
spokesman	представитель	Представитель ответил на вопросы.
spokesperson	представитель	Представитель зачитал заявление.
spokeswoman	представительница	Представительница обратилась к прессе.
sponsorship	спонсорство	Команде нужно спонсорство.
sporting	спортивный	В городе проходят спортивные мероприятия.
stall	прилавок	В этом ларьке на рынке продают фрукты.
stance	позиция	Министр изменил свою позицию.
starve	голодать	Без еды животные могут голодать.
steadily	стабильно	Компания стабильно росла.
steam	пар	От супа поднимался пар.
stimulate	стимулировать	Яркие цвета могут стимулировать интерес.
