source_headword	BG	example_BG
overall	цялостен	Цялостният резултат беше положителен.
owe	дължа	Дължа ви извинение.
pace	темпо	Вървете с постоянно темпо.
panel	панел	Панелът обсъди климатичната политика.
parliament	парламент	Парламентът одобри новия закон.
participant	участник	Всеки участник подписа формуляра.
partly	отчасти	Закъснението беше отчасти наша вина.
passage	пасаж	Прочетете пасажа, преди да отговорите.
pension1	пенсия	Неговата пенсия го издържа след пенсионирането.
permanent	постоянен	Те се нуждаят от постоянно решение.
permit	позволявам	Правилата позволяват кратки посещения.
perspective	перспектива	Опитайте се да разберете нейната перспектива.
phase	фаза	Проектът навлезе в последната си фаза.
phenomenon	явление	Явлението се среща в много култури.
philosophy	философия	Нейната философия цени практичните действия.
pile	купчина	Купчина документи покриваше бюрото.
pitch	игрище	Отборът подготви игрището внимателно.
plain	ясен	Инструкциите бяха ясни и директни.
pointed	остър	Той направи остра забележка.
popularity	популярност	Певецът придоби популярност онлайн.
pose	представлявам	Въпросът може да създаде проблем.
possess	притежавам	Малко ученици притежават това умение.
potential	потенциал	Идеята има истински потенциал.
praise	похвала	Учителят изказа искрена похвала.
pregnant	бременна	Тя е бременна в шестия месец.
preparation	подготовка	Добрата подготовка намалява стреса.
presence	присъствие	Неговото присъствие промени настроението.
preserve	запазвам	Трябва да запазим тази историческа сграда.
prime	основен	Основната причина беше лошото планиране.
principle	принцип	Решението следваше ясен принцип.
priority	приоритет	Безопасността е наш първи приоритет.
privacy	поверителност	Клиентите очакват поверителност онлайн.
procedure	процедура	Процедурата отнема тридесет минути.
proof	доказателство	Нуждаем се от доказателство, преди да действаме.
proposal	предложение	Предложението се нуждае от повече подробности.
propose	предлагам	Предлагам различно решение.
prospect	перспектива	Перспективата за провал ги притесняваше.
protection	защита	Каската дава основна защита.
psychologist	психолог	Психологът обясни резултатите от теста.
psychology	психология	Тя учи психология в университета.
publication	публикация	Публикацията привлече общественото внимание.
pupil	ученик	Всеки ученик получи нов учебник.
purchase	купувам	Те купуват консумативи всеки месец.
pure	чист	Водата беше чиста и студена.
pursue	преследвам	Той ще преследва медицинска кариера.
rank	ранг	Тя има старши чин.
rapid	бърз	Страната отбеляза бърз растеж.
rapidly	бързо	Цените се повишиха бързо тази година.
raw	суров	Готвачът приготви сурови зеленчуци.
realistic	реалистичен	Задайте реалистичен краен срок.
reasonable	разумен	Това изглежда разумна молба.
recall	спомням си	Спомням си точните му думи.
recover	възстановявам се	Тя ще се възстанови след лечението.
reduction	намаление	Намалението спести пари.
regard	смятам	Много хора я смятат за честна.
regional	регионален	Регионалният офис затвори днес.
register	регистрирам се	Моля, регистрирайте се преди конференцията.
regret	съжалявам	Съжалявам за по-ранното си решение.
regulation	правило	Новото правило засяга всички шофьори.
relatively	сравнително	Изпитът беше сравнително лесен.
relevant	уместен	Изберете само съответните подробности.
relief	облекчение	Новината донесе голямо облекчение.
rely	разчитам	Децата разчитат на подкрепата на възрастните.
remark	забележка	Неговата забележка прекрати дискусията.
representative	представител	Представителят се срещна с местните работници.
reputation	репутация	Хотелът има добра репутация.
requirement	изискване	Опитът е основно изискване.
rescue	спасявам	Те спасяват хора от наводнения.
reserve	резервация	Резервираме места за гостите.
resident	жител	Всеки жител получи известие.
resist	съпротивлявам се	Опитай се да устоиш на натиска.
resolve	разрешавам	Те разрешиха спора мирно.
resort	курорт	Островният курорт отвори през май.
retain	задържам	Компанията иска да задържи персонала.
reveal	разкривам	Докладът ще разкрие истината.
revolution	революция	Революцията промени страната.
reward	награда	Усилената работа заслужава награда.
rhythm	ритъм	Песента има постоянен ритъм.
rid	отървавам се	Отърви се от тези стари файлове.
root	корен	Коренът на проблема са парите.
rub	търкам	Търкайте повърхността с кърпа.
rubber	гума	Гуменото уплътнение предотвратява течове.
rural	селски	Много селски училища се нуждаят от подкрепа.
rush	бързам	Не прибързвайте с това решение.
satellite	сателит	Сателитът изпрати нови снимки.
satisfied	доволен	Клиентът изглеждаше доволен.
satisfy	удовлетворявам	Отговорът не го удовлетвори.
saving	спестяване	Спестяването на енергия намалява месечните разходи.
scale	мащаб	Мащабът на щетите беше огромен.
scheme	схема	Схемата помага на младите работници.
scream	крещя	Чуха писък навън.
sector	сектор	Технологичният сектор се разраства.
secure	подсигурявам	Заключете вратата, за да я подсигурите.
seek	търся	Те търсят съвет от експерти.
select	избирам	Изберете най-добрата опция.
selection	избор	Магазинът предлага богат избор.
self	същност	Тя показа истинската си същност.
senior	старши	Старши лекар прегледа пациента.
sensitive	чувствителен	Тази тема е много чувствителна.
sequence	последователност	Следвайте последователността от стъпки.
session	сесия	Тренировъчната сесия започва по обед.
settle	уреждам	Те уреждат спора бързо.
severe	тежък	Бурята причини тежки наводнения.
shade	сянка	Седнете на сянка.
shadow	сянка	Сянка премина през прозореца.
shallow	плитък	Езерото е плитко тук.
shame	срам	Той изпита срам, след като излъга.
shelter	подслон	Училището осигури спешен подслон.
shock	шок	Решението беше шок.
shocked	шокиран	Тя изглеждаше шокирана от новината.
shooting	стрелба	Стрелбата се случи близо до гарата.
shot	изстрел	Победният изстрел изненада всички.
significant	значителен	Откритието беше значително.
significantly	значително	Разходите се увеличиха значително миналата година.
silence	тишина	Стаята потъна в тишина.
silk	коприна	Роклята беше направена от коприна.
sincere	искрен	Моля, приемете моите искрени благодарности.
slave	роб	Законът освободи всеки роб.
slide	пързалям се	Детето се спусна по пързалката.
slight	лек	Имаше леко закъснение.
slip	подхлъзвам се	Не се подхлъзвай на мокрия под.
slope	склон	Пътеката следва стръмен склон.
solar	слънчев	Къщата използва слънчева енергия.
somewhat	донякъде	Инструкциите бяха донякъде объркващи.
soul	душа	Музиката повдигна душата ѝ.
specialist	специалист	Специалистът прегледа пациента.
species	вид	Този вид живее близо до реки.
spiritual	духовен	Тя описа духовно преживяване.
split	разделям	Те разделиха сметката поравно.
sponsor	спонсорирам	Компанията ще спонсорира събитието.
stable	стабилен	Пациентът е стабилен.
stare	взирам се	Не се взирай в непознати.
status	статус	Статусът му се промени за една нощ.
steady	постоянен	Поддържайте постоянна скорост.
steel	стомана	Мостът е направен от стомана.
steep	стръмен	Хълмът е стръмен.
sticky	лепкав	Подът се усеща лепкав.
stiff	схванат	Рамото му се усещаше схванато.
stock	наличност	Магазинът няма останала наличност.
stream	поток	Малък поток пресича полето.
stretch	разтягам	Разтегнете краката си след полета.
strict	строг	Училището има строги правила.
strike	стачкувам	Работниците може да стачкуват утре.
struggle	боря се	Много семейства се борят с наема.
submit	подавам	Подайте формуляра до петък.
sum	сума	Сумата беше по-висока от очакваното.
surgery	операция	Операцията продължи два часа.
surround	заобикалям	Високи дървета заобикалят къщата.
surrounding	околен	Околният район е тих.
suspect	подозирам	Полицията подозира местен мъж.
swear	псувам	Не псувай в клас.
sweep	мета	Измети пода, преди да пристигнат гостите.
sympathy	съчувствие	Тя изрази съчувствие към жертвите.
tale	приказка	Баба разказа странна приказка.
tank	резервоар	Резервоарът съдържа чиста вода.
tear1	късам	Не късай документа.
tear2	сълза	Сълза се търкулна по бузата ѝ.
temporary	временен	Офисът е временен подслон.
therapy	терапия	Физическата терапия помогна за възстановяването му.
threat	заплаха	Съобщението съдържаше заплаха.
threaten	застрашавам	Бурята може да застраши реколтата.
thus	така	Пътят беше затворен, така че чакахме.
tone	тон	Тонът му звучеше спокойно.
tough	тежък	Интервюто беше тежко.
transfer	прехвърлям	Те прехвърлят данни всяка нощ.
transform	преобразявам	Новата политика ще преобрази услугите.
transition	преход	Преходът отне няколко месеца.
trial	съдебен процес	Съдебният процес започва следващата седмица.
tropical	тропически	Тропическите бури са чести тук.
truly	наистина	Наистина оценявам вашата помощ.
trust	доверие	Изграждането на доверие отнема време.
tune	мелодия	Групата изсвири весела мелодия.
tunnel	тунел	Тунелът минава под реката.
ultimately	в крайна сметка	В крайна сметка планът успя.
unconscious	в безсъзнание	Пациентът остана в безсъзнание.
unexpected	неочакван	Закъснението беше неочаквано.
unique	уникален	Всеки дизайн е уникален.
universe	вселена	Вселената се разширява.
unknown	неизвестен	Името остава неизвестно.
upper	горен	Горният рафт е празен.
upwards	нагоре	Димът се издигаше нагоре.
urban	градски	Градските райони се нуждаят от по-добър транспорт.
urge	призовавам	Лекарите призовават хората да спортуват.
vary	варирам	Цените варират според региона.
vast	обширен	Пустинята покрива обширна площ.
venue	място за провеждане	Мястото побира петстотин души.
via	чрез	Изпратете документа по имейл.
victory	победа	Отборът отпразнува своята победа.
violence	насилие	Градът пострада от политическо насилие.
virtual	виртуален	Срещата е виртуална.
vision	визия	Нейната визия оформи компанията.
visual	визуален	Докладът включва визуални примери.
vital	жизненоважен	Водата е жизненоважна за живота.
vitamin	витамин	Портокалите съдържат витамин С.
volume	сила на звука	Намалете силата на звука.
wage	заплата	Работниците поискаха по-висока заплата.
weakness	слабост	Планът има една слабост.
wealth	богатство	Неговото богатство идваше от търговия.
wealthy	богат	Богатото семейство финансира музея.
whereas	докато	Тя обича чай, докато аз предпочитам кафе.
wherever	където и да е	Седнете, където ви е удобно.
whisper	шепна	Моля, шепнете по време на церемонията.
whom	когото	Кого поканихте?
widely	широко	Книгата е широко четена.
wildlife	дива природа	Паркът защитава местната дива природа.
willing	готов	Тя е готова да помогне.
wind2	навивам	Навийте кабела около макарата.
wire	кабел	Кабелът свързва двете устройства.
wise	мъдър	Това беше мъдър избор.
witness	свидетел	Свидетел описа инцидента.
wound	рана	Почистете раната внимателно.
wrap	опаковам	Опаковайте подаръка в хартия.
zone	зона	Тази зона е затворена за движение.
