source_headword	RU	example_RU
coin	монета	Он нашел монету на полу.
collection	коллекция	Ее коллекция марок большая.
coloured	цветной	На ней был цветной шарф.
combine	смешать	Смешайте муку и воду.
commercial	рекламный ролик	Рекламная пауза длилась пять минут.
commit	обязаться	Мы должны придерживаться плана.
communication	общение	Хорошее общение предотвращает ошибки.
comparison	сравнение	Это сравнение полезно.
competitive	конкурентный	Рынок очень конкурентный.
competitor	конкурент	Наш главный конкурент снизил цены.
complaint	жалоба	Она подала жалобу на шум.
complex	сложный	Инструкции слишком сложные.
concentrate	сосредоточиться	Я не могу сосредоточиться под музыку.
conclude	завершить	Мы сейчас завершаем встречу.
conclusion	вывод	Его вывод казался разумным.
confident	уверенный	Перед собеседованием она чувствовала себя уверенно.
confirm	подтвердить	Пожалуйста, подтвердите адрес почты.
confuse	путать	Эти два имени меня путают.
confused	смущенный	Я был смущен картой.
connection	соединение	Интернет-соединение медленное.
consequence	последствие	Недосып имеет последствия.
consist	состоять	Обед состоит из трех блюд.
consume	потреблять	Большие машины потребляют больше топлива.
consumer	потребитель	Потребитель хочет ясную информацию.
contact	связаться	Свяжитесь со мной после обеда.
container	контейнер	Положите суп в контейнер.
content1	содержание	Содержание курса полезно.
continuous	непрерывный	Машина издавала непрерывный шум.
contrast	контраст	Контраст между ними очевиден.
convenient	удобный	Станция очень удобная.
convince	убедить	Она убедила его попробовать снова.
costume	костюм	Он был в костюме пирата.
cottage	коттедж	Они жили в маленьком коттедже.
cotton	хлопок	Эта рубашка сделана из хлопка.
countryside	сельская местность	Мы гуляли по сельской местности.
court	суд	Дело дошло до суда.
covered	покрытый	Стол был покрыт бумагами.
cruel	жестокий	Смеяться было жестоко.
cultural	культурный	Музей проводит культурные мероприятия.
currency	валюта	Местная валюта — евро.
current	текущий	Текущая ситуация сложная.
currently	в настоящее время	Она в настоящее время учится за границей.
curtain	занавеска	Закрой занавеску на ночь.
custom	обычай	Этот обычай очень старый.
damage	повреждение	Буря нанесла серьезный ущерб.
decade	десятилетие	Они прожили там десять лет.
decorate	украшать	Мы вместе украшаем комнату.
define	определить	Можешь определить этот термин?
definite	определенный	Нам нужен определенный ответ.
definition	определение	Запиши определение в тетрадь.
deliver	доставлять	Они доставляют еду к нам домой.
departure	отправление	Время отправления изменилось.
despite	несмотря на	Несмотря на дождь, мы гуляли.
destination	пункт назначения	Париж был их конечным пунктом назначения.
determine	определять	Тесты определяют ваш уровень.
determined	решительный	Она была решительно настроена на успех.
development	развитие	Развитие города было быстрым.
diagram	схема	Нарисуйте простую схему.
diamond	бриллиант	В кольце был маленький бриллиант.
difficulty	трудность	У него возникла трудность с дверью.
directly	напрямую	Пожалуйста, говорите со мной напрямую.
dirt	грязь	Его обувь была покрыта грязью.
disadvantage	недостаток	Долгая поездка — это недостаток.
disappointed	разочарованный	Она была разочарована результатом.
disappointing	разочаровывающий	Конец был разочаровывающим.
discount	скидка	Студенты получают здесь скидку.
dislike	не любить	Я не люблю очень громкую музыку.
divide	разделить	Разделите торт на куски.
documentary	документальный фильм	Мы смотрели документальный фильм о космосе.
donate	жертвовать	Многие люди жертвуют старую одежду.
doubt	сомнение	У меня нет сомнений в этом.
dressed	одетый	Он был одет в черное.
drum	барабан	Звук барабана разнесся по комнате.
drunk	пьяный	Водитель был пьян.
due	срок	Отчет нужно сдать завтра.
dust	пыль	Пыль покрывала старые книги.
duty	обязанность	Моя обязанность — помочь.
earthquake	землетрясение	Землетрясение повредило мост.
eastern	восточный	Восточное побережье ветреное.
economic	экономический	Страна сталкивается с экономическими проблемами.
economy	экономика	Экономика выросла в этом году.
edge	край	Держись подальше от края.
editor	редактор	Редактор проверил статью.
educate	обучать	Школы обучают молодых людей.
educated	образованный	Она очень образованная.
educational	образовательный	Игра образовательная.
effective	эффективный	Это лекарство эффективно.
effectively	эффективно	Она эффективно объяснила правило.
effort	усилие	Твои усилия изменили ситуацию.
election	выборы	Результат выборов был близким.
element	элемент	Доверие — важный элемент.
embarrassed	смущенный	Он смутился после падения.
embarrassing	неловкий	Это была неловкая ошибка.
emergency	чрезвычайная ситуация	Позвоните по этому номеру в чрезвычайной ситуации.
emotion	эмоция	Страх — сильная эмоция.
employment	занятость	Занятость выросла в этом месяце.
encourage	поощрять	Учителя поощряют учеников читать.
enemy	враг	Эти две страны были врагами.
engaged	помолвленный	Они обручились прошлой весной.
engineering	инженерия	Она изучает инженерию в университете.
entertain	развлекать	Певец будет развлекать гостей.
entertainment	развлечение	Город предлагает вечерние развлечения.
entrance	вход	Встретимся у входа.
entry	вход	Для детей вход бесплатный.
environmental	экологический	Мы обсуждали экологические проблемы.
episode	серия	Последняя серия была захватывающей.
equal	равный	Они получают равную оплату.
equally	поровну	Работа распределена поровну.
escape	сбежать	Заключенные пытались сбежать.
essential	необходимый	Вода необходима для жизни.
eventually	в конце концов	В конце концов мы нашли отель.
examine	осмотреть	Врач осмотрел мою руку.
exchange	обмен	Мы сделали обмен в магазине.
excitement	волнение	Игра была полна волнения.
exhibition	выставка	Художественная выставка откроется завтра.
expand	расширяться	Компания планирует расширяться.
expected	ожидаемый	Ожидаемая стоимость высокая.
expedition	экспедиция	Экспедиция пересекла пустыню.
experienced	опытный	Она опытная медсестра.
explode	взорваться	Бутылка может взорваться от жары.
explore	исследовать	Мы исследовали старый город.
explosion	взрыв	Взрыв разбил несколько окон.
export	экспорт	Кофе — важный экспорт.
fairly	довольно	Тест был довольно легким.
familiar	знакомый	Ее лицо показалось знакомым.
fancy	хотеть	Хочешь кофе?
fascinating	увлекательный	История была увлекательной.
fashionable	модный	Эта обувь модная.
fasten	застегнуть	Застегните ремень безопасности.
favour	одолжение	Можешь оказать мне одолжение?
fence	забор	Забор окружает сад.
fighting	боевые действия	Боевые действия прекратились на рассвете.
file	файл	Сохраните файл перед закрытием.
financial	финансовый	Ей нужен финансовый совет.
fitness	физическая форма	Бег помогает физической форме.
fixed	фиксированный	Цена фиксированная.
flag	флаг	Флаг развевался над школой.
flood	наводнение	Наводнение повредило много домов.
flour	мука	Добавьте муку в миску.
flow	течь	Река течет через город.
fold	сложить	Сложите бумагу пополам.
folk	народный	В зале звучала народная музыка.
force	сила	У ветра была большая сила.
forever	навсегда	Я запомню это навсегда.
frame	рамка	Фотографии нужна рамка.
freeze	замерзать	Вода замерзнет ночью.
frequently	часто	Он часто навещает родителей.
friendship	дружба	Их дружба длилась годами.
frighten	пугать	Громкие звуки пугают ребенка.
frightened	испуганный	Ребенок выглядел испуганным.
frightening	пугающий	Буря была пугающей.
frozen	замерзший	Озеро было замерзшим.
fry	жарить	Жарьте лук пять минут.
fuel	топливо	Машине нужно больше топлива.
function	функция	У этой кнопки одна функция.
fur	мех	У кошки мягкий мех.
garage	гараж	Машина в гараже.
gather	собираться	Мы собрались вокруг стола.
generally	обычно	Она обычно приходит рано.
generation	поколение	Каждое поколение сталкивается с новыми проблемами.
generous	щедрый	Он щедр своим временем.
gentle	мягкий	Говорите мягким голосом.
gentleman	джентльмен	Джентльмен открыл дверь.
ghost	призрак	В истории есть призрак.
giant	гигантский	Гигантский экран заполнил сцену.
glad	рад	Я рад, что ты пришел.
global	глобальный	Изменение климата — глобальная проблема.
glove	перчатка	Я потерял одну перчатку.
goods	товары	Товары прибыли поздно.
grade	оценка	Она получила высокую оценку.
graduate	выпускник	Он недавний выпускник.
grain	зерно	Зерно риса упало.
grateful	благодарный	Я благодарен за твою поддержку.
growth	рост	Растение показало устойчивый рост.
guard	охранник	Охранник проверил наши билеты.
guilty	виноватый	Он чувствовал себя виноватым из-за лжи.
hang	повесить	Повесь пальто здесь.
happiness	счастье	Деньги не могут купить счастье.
hardly	едва	Я едва мог тебя слышать.
headline	заголовок	Заголовок привлек мое внимание.
heating	отопление	Отопление перестало работать.
heavily	сильно	Всю ночь шел сильный дождь.
helicopter	вертолет	Вертолет приземлился рядом.
highlight	выделить	Пожалуйста, выделите главную мысль.
highly	высоко	Ее высоко уважают.
hire	нанять	Нам нужно нанять машину.
historic	исторический	Мы посетили историческое здание.
historical	исторический	Она любит исторические романы.
honest	честный	Пожалуйста, дай честный ответ.
horrible	ужасный	Запах был ужасный.
horror	ужасы	Он любит фильмы ужасов.
host	хозяин	Хозяин встретил каждого гостя.
