source_headword	KM	example_KM
bare	ទទេ	បន្ទប់មានជញ្ជាំងទទេ។
barrel	ធុង	ធុងពោរពេញដោយទឹក។
bass1	សំឡេងបាស	សំឡេងបាសឮជ្រៅនិងកក់ក្តៅ។
battlefield	សមរភូមិ	សមរភូមិចាស់បានក្លាយជាស្តូបរំលឹក។
bay	ឈូងសមុទ្រ	ភូមិស្ថិតនៅក្បែរឈូងសមុទ្រដ៏ស្ងប់ស្ងាត់មួយ។
beam	ធ្នឹម	ធ្នឹមដែកទ្រដំបូល។
beast	សត្វសាហាវ	រឿងនេះពណ៌នាពីសត្វសាហាវមួយ។
behalf	តំណាង	នាងបាននិយាយតំណាងឱ្យក្រុមរបស់នាង។
beloved	ជាទីស្រឡាញ់	គ្រូបង្រៀនជាទីស្រឡាញ់បានចូលនិវត្តន៍នៅថ្ងៃនេះ។
bench	កៅអីអង្គុយ	ពួកគេអង្គុយលើកៅអីឈើ។
benchmark	ស្តង់ដារ	ការធ្វើតេស្តបានក្លាយជាស្តង់ដារឧស្សាហកម្ម។
beneath	នៅខាងក្រោម	ឯកសារនៅខាងក្រោមថតកាតាប។
beneficiary	អ្នកទទួលផល	កូនប្រុសរបស់នាងគឺជាអ្នកទទួលផលចម្បង។
betray	ក្បត់	កុំក្បត់ទំនុកចិត្តមិត្តរបស់អ្នក។
bind	ចង	កិច្ចព្រមព្រៀងនឹងចងក្រុមហ៊ុនទាំងពីរ។
biography	ជីវប្រវត្តិ	ជីវប្រវត្តិរបស់គាត់លក់ដាច់ជាច្រើនច្បាប់។
bishop	ប៊ីស្សព	ប៊ីស្សពបានទៅទស្សនាព្រះវិហារភូមិ។
bizarre	ចម្លែក	ខ្សែភាពយន្តនេះមានទីបញ្ចប់ដ៏ចម្លែក។
blade	ផ្លែ	ផ្លែបានកាត់ខ្សែពួរ។
blast	ការផ្ទុះ	ការផ្ទុះបានធ្វើឱ្យបែកបង្អួចនៅក្បែរនោះ។
bleed	ហូរឈាម	របួសចាប់ផ្តើមហូរឈាមយ៉ាងខ្លាំង។
blend	លាយ	លាយទឹកជ្រលក់រហូតដល់ម៉ត់។
bless	ប្រទានពរ	សង្ឃនឹងប្រទានពរដល់ផ្ទះ។
blessing	ពរជ័យ	ការមានការគាំទ្រគឺជាពរជ័យមួយ។
boast	អួត	គាត់ចូលចិត្តអួតរឿងលុយ។
bonus	ប្រាក់លើកទឹកចិត្ត	បុគ្គលិកទទួលបានប្រាក់លើកទឹកចិត្តសម្រាប់ថ្ងៃឈប់សម្រាក។
boom	ការរីកចម្រើន	ទីក្រុងនេះមានការរីកចម្រើនខាងសំណង់។
bounce	លោត	បាល់អាចលោតបានខ្ពស់ណាស់។
boundary	ព្រំដែន	ទន្លេកំណត់ព្រំដែន។
bow1	ឱន	តារាសម្តែងបានឱនយ៉ាងជ្រៅ។
breach	ការបំពាន	ការបំពានបានបង្ហាញទិន្នន័យឯកជន។
breakdown	ការបំបែក	របាយការណ៍រួមបញ្ចូលការបំបែកការចំណាយ។
breakthrough	របកគំហើញ	ការរកឃើញនេះគឺជារបកគំហើញដ៏សំខាន់មួយ។
breed	បង្កាត់ពូជ	សត្វស្លាបទាំងនេះបង្កាត់ពូជនៅរដូវផ្ការីក។
broadband	អ៊ីនធឺណិតល្បឿនលឿន	ការិយាល័យត្រូវការអ៊ីនធឺណិតល្បឿនលឿនជាងមុន។
browser	កម្មវិធីរុករក	ធ្វើបច្ចុប្បន្នភាពកម្មវិធីរុករករបស់អ្នកមុនពេលចូល។
brutal	ឃោរឃៅ	ការវាយប្រហារនេះមានភាពឃោរឃៅនិងភ្លាមៗ។
buck	ដុល្លារ	សំបុត្រតម្លៃដប់ដុល្លារ។
buddy	មិត្តភក្តិ	មិត្តភក្តិរបស់គាត់បានរង់ចាំនៅខាងក្រៅ។
buffer	រនាំង	ដើមឈើបង្កើតជារនាំងការពារសំឡេងរំខាន។
bulk	ចំនួនច្រើន	ពួកគេបានទិញអង្ករក្នុងចំនួនច្រើន។
burden	បន្ទុក	បំណុលបានក្លាយជាបន្ទុកដ៏ធ្ងន់មួយ។
bureaucracy	ការិយាធិបតេយ្យ	ការិយាធិបតេយ្យបានពន្យារពេលលិខិតអនុញ្ញាត។
burial	ការបញ្ចុះសព	ការបញ្ចុះសពបានធ្វើឡើងនៅពេលព្រឹកព្រលឹម។
burst	ផ្ទុះ	បំពង់អាចផ្ទុះក្រោមសម្ពាធ។
cabinet	គណៈរដ្ឋមន្ត្រី	គណៈរដ្ឋមន្ត្រីបានអនុម័តផែនការនេះ។
calculation	ការគណនា	ការគណនាចំណាយពេលច្រើននាទី។
canvas	ក្រណាត់គំនូរ	វិចិត្រករបានគូរលើក្រណាត់គំនូរដ៏ធំមួយ។
capability	សមត្ថភាព	ឧបករណ៍នេះមានសមត្ថភាពឥតខ្សែ។
capitalism	មូលធននិយម	មូលធននិយមបានបង្កើតសេដ្ឋកិច្ចទំនើប។
capitalist	អ្នកមូលធន	ប្រព័ន្ធមូលធននិយមផ្តល់រង្វាន់ដល់ការវិនិយោគឯកជន។
cargo	ទំនិញ	កប៉ាល់បានដឹកទំនិញវេជ្ជសាស្ត្រ។
carriage	ទូរទេះភ្លើង	ទូរទេះភ្លើងស្ទើរតែទទេ។
carve	ឆ្លាក់	គាត់នឹងឆ្លាក់ឈើដោយប្រុងប្រយ័ត្ន។
casino	កាស៊ីណូ	កាស៊ីណូបានបើកនៅជិតសណ្ឋាគារ។
casualty	ជនរងគ្រោះ	គ្រោះថ្នាក់នេះបណ្តាលឱ្យមានជនរងគ្រោះម្នាក់។
catalogue	កាតាឡុក	កាតាឡុករាយបញ្ជីផលិតផលនីមួយៗ។
cater	ផ្តល់អាហារ	ភោជនីយដ្ឋានអាចផ្តល់អាហារសម្រាប់ព្រឹត្តិការណ៍ធំៗ។
cattle	គោក្របី	គោក្របីស៊ីស្មៅនៅក្បែរទន្លេ។
caution	ការប្រុងប្រយ័ត្ន	ប្រើការប្រុងប្រយ័ត្ននៅលើផ្លូវទឹកកក។
cautious	ប្រុងប្រយ័ត្ន	អ្នកវិនិយោគនៅតែប្រុងប្រយ័ត្ននៅសប្តាហ៍នេះ។
cease	បញ្ឈប់	រោងចក្រនឹងបញ្ឈប់ការផលិតក្នុងពេលឆាប់ៗនេះ។
cemetery	ទីបញ្ចុះសព	ទីបញ្ចុះសពមើលទៅឃើញសមុទ្រ។
chamber	បន្ទប់	បន្ទប់មានភាពស្ងប់ស្ងាត់ក្នុងអំឡុងពេលបោះឆ្នោត។
chaos	ភាពចលាចល	ការពន្យារពេលបណ្តាលឱ្យមានភាពចលាចលនៅអាកាសយានដ្ឋាន។
characterize	លក្ខណៈ	អ្នកជំនាញចាត់ទុកផែនការនេះថាមានហានិភ័យ។
charm	ភាពទាក់ទាញ	ទីក្រុងនេះមានភាពទាក់ទាញបែបបុរាណ។
charter	ធម្មនុញ្ញ	ធម្មនុញ្ញការពារសិទ្ធិជាមូលដ្ឋាន។
chronic	រ៉ាំរ៉ៃ	គាត់ទទួលរងពីការឈឺខ្នងរ៉ាំរ៉ៃ។
chunk	ដុំ	កាត់ឈីសទៅជាដុំ។
circulate	ផ្សព្វផ្សាយ	សូមផ្សព្វផ្សាយរបៀបវារៈនៅថ្ងៃនេះ។
circulation	ការចរាចរ	ការចរាចររបស់កាសែតបានធ្លាក់ចុះយ៉ាងខ្លាំង។
citizenship	សញ្ជាតិ	នាងបានដាក់ពាក្យសុំសញ្ជាតិបារាំង។
civic	ស៊ីវិល	មេដឹកនាំស៊ីវិលបានចូលរួមប្រជុំ។
civilian	ជនស៊ីវិល	ផ្ទះជនស៊ីវិលជាច្រើនត្រូវបានខូចខាត។
clarity	ភាពច្បាស់លាស់	ដ្យាក្រាមបានបន្ថែមភាពច្បាស់លាស់ដល់របាយការណ៍។
clash	ការប៉ះទង្គិច	ការប៉ះទង្គិចបានចាប់ផ្តើមបន្ទាប់ពីការហែក្បួន។
classification	ចំណាត់ថ្នាក់	ចំណាត់ថ្នាក់អាស្រ័យលើទំហំ។
cling	តោង	សម្លៀកបំពាក់សើមតោងជាប់នឹងស្បែក។
clinical	គ្លីនិក	ការសាកល្បងគ្លីនិកចាប់ផ្តើមនៅខែក្រោយ។
closure	ការបិទបញ្ចប់	គ្រួសារចង់បានការបិទបញ្ចប់បន្ទាប់ពីសំណុំរឿងនេះ។
cluster	កម្រង	មានផ្ទះមួយកម្រងនៅក្បែរនោះ។
coalition	ចម្រុះ	ក្រុមចម្រុះបានបាត់បង់សំឡេងភាគច្រើនរបស់ខ្លួន។
coastal	តំបន់ឆ្នេរ	ភូមិនៅតំបន់ឆ្នេរត្រៀមខ្លួនសម្រាប់ទឹកជំនន់។
cocktail	ស្រាក្រឡុក	នាងបានកម្ម៉ង់ស្រាក្រឡុកផ្លែឈើ។
cognitive	ការយល់ដឹង	ជំនាញការយល់ដឹងប្រសើរឡើងតាមរយៈការអនុវត្ត។
coincide	ស្របគ្នា	ពិធីបុណ្យនឹងស្របពេលជាមួយនឹងការទទួលសញ្ញាបត្រ។
collaborate	សហការ	ក្រុមសហការលើកម្មវិធី។
collaboration	ការសហការ	ការសហការរបស់ពួកគេទទួលបានលទ្ធផលល្អ។
collective	រួម	ការសម្រេចចិត្តគឺជាការខិតខំប្រឹងប្រែងរួមគ្នា។
collision	ការប៉ះទង្គិច	ការប៉ះទង្គិចនេះបានបិទផ្លូវធំ។
colonial	អាណានិគម	អគារនេះមានស្ថាបត្យកម្មសម័យអាណានិគម។
columnist	អ្នកសរសេរអត្ថបទ	អ្នកសរសេរអត្ថបទបានរិះគន់គោលការណ៍នេះ។
combat	ការប្រយុទ្ធ	ទាហានបានហ្វឹកហាត់សម្រាប់ការប្រយុទ្ធ។
commence	ចាប់ផ្តើម	ពិធីនេះនឹងចាប់ផ្តើមនៅពេលថ្ងៃត្រង់។
commentary	អត្ថាធិប្បាយ	ការអត្ថាធិប្បាយការប្រកួតពិតជារស់រវើក។
commentator	អ្នកអត្ថាធិប្បាយ	អ្នកអត្ថាធិប្បាយបានពន្យល់ពីការសម្រេចចិត្តនេះ។
commerce	ពាណិជ្ជកម្ម	ពាណិជ្ជកម្មតាមអ៊ីនធឺណិតបានកើនឡើងយ៉ាងឆាប់រហ័ស។
commissioner	ស្នងការ	ស្នងការបានប្រកាសច្បាប់ថ្មី។
commodity	ទំនិញ	ស្រូវសាលីគឺជាទំនិញដ៏សំខាន់មួយ។
communist	កុម្មុយនិស្ត	គណបក្សកុម្មុយនិស្តបានរៀបចំកិច្ចប្រជុំមួយ។
companion	ដៃគូ	ឆ្កែរបស់នាងគឺជាដៃគូដ៏ស្មោះត្រង់។
comparable	អាចប្រៀបធៀបបាន	ទីក្រុងទាំងពីរមានទំហំអាចប្រៀបធៀបគ្នាបាន។
compassion	ក្តីមេត្តា	គិលានុបដ្ឋាយិកាបានបង្ហាញក្តីមេត្តាយ៉ាងខ្លាំង។
compel	បង្ខំ	ភស្តុតាងអាចបង្ខំឲ្យមានការឆ្លើយតប។
compelling	គួរឱ្យទាក់ទាញ	ឯកសារនេះបានបង្ហាញហេតុផលយ៉ាងគួរឱ្យទាក់ទាញ។
compensate	សងជំងឺចិត្ត	ក្រុមហ៊ុននឹងសងជំងឺចិត្តដល់អតិថិជនដែលរងផលប៉ះពាល់។
compensation	សំណង	កម្មករបានទាមទារសំណងដ៏យុត្តិធម៌។
competence	សមត្ថភាព	ការធ្វើតេស្តនេះវាស់ស្ទង់សមត្ថភាពវិជ្ជាជីវៈ។
competent	ដែលមានសមត្ថភាព	នាងគឺជាវិស្វករដែលមានសមត្ថភាព។
compile	ចងក្រង	អ្នកស្រាវជ្រាវចងក្រងទិន្នន័យពីមន្ទីរពេទ្យ។
complement	បំពេញបន្ថែម	ស្រានឹងជួយបំពេញបន្ថែមអាហារនេះ។
complexity	ភាពស្មុគស្មាញ	គម្រោងនេះមានភាពស្មុគស្មាញដែលមិននឹកស្មានដល់។
compliance	ការអនុលោមតាម	ការធ្វើសវនកម្មបានពិនិត្យមើលការអនុលោមតាមច្បាប់។
complication	ផលវិបាក	ការវះកាត់នេះមានផលវិបាកមួយ។
comply	អនុលោមតាម	ក្រុមហ៊ុនត្រូវតែអនុលោមតាមបទប្បញ្ញត្តិ។
composition	សមាសភាព	សមាសភាពនេះរួមមានវីយូឡុងនិងព្យាណូ។
compromise	ការសម្របសម្រួល	ការសម្របសម្រួលបានធ្វើឱ្យភាគីទាំងពីរសប្បាយចិត្ត។
compute	គណនា	កម្មវិធីនេះអាចគណនាសរុបបាន។
conceal	លាក់បាំង	គាត់បានព្យាយាមលាក់បាំងការខូចខាត។
concede	ទទួលស្គាល់	រដ្ឋមន្ត្រីបានបដិសេធមិនទទួលស្គាល់ការបរាជ័យ។
conceive	នឹកឃើញ	ពួកគេមិនអាចនឹកឃើញផែនការដែលល្អជាងនេះទេ។
conception	ទស្សនៈ	ខ្សែភាពយន្តនេះបានផ្លាស់ប្តូរទស្សនៈរបស់ខ្ញុំអំពីប្រវត្តិសាស្ត្រ។
concession	ការសម្បទាន	ក្រុមហ៊ុនបានផ្តល់ការសម្បទានមួយ។
condemn	ថ្កោលទោស	ថ្នាក់ដឹកនាំថ្កោលទោសការវាយប្រហារនេះជាសាធារណៈ។
confer	ផ្តល់ជូន	ពានរង្វាន់នេះនឹងផ្តល់កិត្តិយស។
confession	ការសារភាព	ការសារភាពរបស់គាត់បានធ្វើឱ្យតុលាការភ្ញាក់ផ្អើល។
configuration	ការកំណត់រចនាសម្ព័ន្ធ	ការកំណត់រចនាសម្ព័ន្ធគ្រប់គ្រងការចូលប្រើបណ្តាញ។
confine	កំណត់ព្រំដែន	ច្បាប់នេះកំណត់មិនឱ្យឆ្កែចេញពីតំបន់នេះទេ។
confirmation	ការបញ្ជាក់	យើងទទួលបានការបញ្ជាក់តាមរយៈអ៊ីមែល។
confront	ប្រឈមមុខ	នាងបានសម្រេចចិត្តប្រឈមមុខនឹងបញ្ហា។
confrontation	ការប្រឈមមុខដាក់គ្នា	ការប្រឈមមុខដាក់គ្នាបានបញ្ចប់ដោយគ្មានអំពើហិង្សា។
congratulate	អបអរសាទរ	ខ្ញុំបានទូរស័ព្ទទៅអបអរសាទរបងស្រីរបស់ខ្ញុំ។
congregation	ក្រុមជំនុំ	ក្រុមជំនុំបានច្រៀងរួមគ្នា។
congressional	នៃសភា	សវនាការរបស់សភាមានរយៈពេលប៉ុន្មានម៉ោង។
conquer	យកឈ្នះ	ក្រុមនេះសង្ឃឹមថានឹងយកឈ្នះទីផ្សារ។
