simplified	VI	example_VI
保卫	bảo vệ	Binh sĩ bảo vệ biên giới.
保养	bảo dưỡng	Chiếc xe này cần được bảo dưỡng định kỳ.
保障	bảo đảm	Pháp luật bảo đảm quyền công dân.
保重	giữ gìn sức khỏe	Khi đi xa, xin hãy giữ gìn sức khỏe.
饱和	bão hòa	Thị trường này đã gần bão hòa.
饱经沧桑	trải qua nhiều thăng trầm	Cụ già này đã trải qua nhiều thăng trầm.
报酬	thù lao	Anh ấy nhận được thù lao hợp lý.
报仇	trả thù	Anh ấy không muốn trả thù, chỉ muốn bắt đầu lại.
报答	báo đáp	Tôi sẽ dùng hành động để báo đáp sự giúp đỡ của bạn.
报复	trả đũa	Trả đũa chỉ làm mâu thuẫn sâu sắc hơn.
报警	báo cảnh sát	Sau khi phát hiện cháy, phải báo cảnh sát ngay.
报销	thanh toán chi phí	Chi phí công tác có thể được thanh toán.
抱负	hoài bão	Từ nhỏ anh ấy đã có hoài bão lớn.
暴力	bạo lực	Chúng tôi phản đối mọi hình thức bạo lực.
暴露	bộc lộ	Vấn đề này dần dần bộc lộ ra.
曝光	bị phơi bày	Sau khi bức ảnh bị phơi bày, nó đã gây chú ý.
爆发	bùng phát	Núi lửa đột nhiên bùng phát.
爆炸	vụ nổ	Trong phòng thí nghiệm đã xảy ra một vụ nổ.
卑鄙	hèn hạ	Cách làm hèn hạ này khiến người ta phẫn nộ.
悲哀	đau buồn	Nghe tin này, anh ấy cảm thấy rất đau buồn.
悲惨	bi thảm	Đó là một giai đoạn lịch sử bi thảm.
北极	Bắc Cực	Các nhà khoa học đang nghiên cứu ở Bắc Cực.
备份	sao lưu	Xin hãy sao lưu các tệp quan trọng trước.
备忘录	bản ghi nhớ	Cô ấy ghi các điểm chính vào bản ghi nhớ.
背叛	phản bội	Anh ấy không thể chấp nhận sự phản bội của bạn bè.
背诵	học thuộc lòng	Học sinh đang học thuộc lòng bài khóa.
被动	bị động	Trong đàm phán, chúng ta không thể quá bị động.
被告	bị cáo	Bị cáo phủ nhận tất cả cáo buộc.
贝壳	vỏ sò	Đứa trẻ nhặt vỏ sò bên bờ biển.
奔波	bôn ba	Anh ấy bôn ba khắp nơi vì công việc.
奔驰	chạy nhanh	Chiếc xe chạy nhanh trên đường cao tốc.
本能	bản năng	Bảo vệ con cái là bản năng của cha mẹ.
本钱	vốn	Làm ăn cần có vốn.
本人	bản thân tôi	Bản thân tôi sẵn sàng chịu trách nhiệm.
本身	bản thân	Kế hoạch này bản thân nó không có vấn đề.
本事	năng lực	Anh ấy rất có năng lực.
笨拙	vụng về	Động tác của anh ấy hơi vụng về.
崩溃	sụp đổ	Hệ thống đột nhiên sụp đổ.
甭	không cần	Việc này bạn không cần lo.
蹦	nhảy nhót	Chú chó con nhảy nhót trên bãi cỏ.
迸发	bùng lên	Tiếng vỗ tay bùng lên từ đám đông.
逼迫	ép buộc	Họ ép buộc anh ấy ký hợp đồng.
鼻涕	nước mũi	Đứa trẻ bị cảm và cứ chảy nước mũi.
比方	ví dụ	Ví dụ, chúng ta có thể thử trước một tháng.
比喻	ẩn dụ	Ẩn dụ này rất sinh động.
比重	tỷ trọng	Tỷ trọng của ngành dịch vụ ngày càng cao.
鄙视	khinh thường	Đừng khinh thường nỗ lực của người khác.
弊病	tệ nạn	Chế độ này có khá nhiều tệ nạn.
弊端	nhược điểm	Phương án mới đã giải quyết nhược điểm của chế độ cũ.
臂	cánh tay	Cánh tay phải của anh ấy bị thương.
闭塞	hẻo lánh	Giao thông của ngôi làng miền núi này trước đây rất hẻo lánh.
编织	đan	Bà đang đan một chiếc áo len.
边疆	vùng biên cương	Nhiều chiến sĩ bảo vệ vùng biên cương của Tổ quốc.
边界	ranh giới	Hai nước đã vạch lại ranh giới.
边境	biên giới	Khu vực biên giới đã tăng cường kiểm tra an ninh.
边缘	mép	Chiếc cốc được đặt ở mép bàn.
鞭策	thúc giục	Lời của thầy luôn thúc giục tôi.
扁	dẹt	Chiếc hộp này vừa rộng vừa dẹt.
贬低	hạ thấp	Đừng tùy tiện hạ thấp nỗ lực của người khác.
贬义	nghĩa xấu	Từ này ở đây mang nghĩa xấu.
便利	tiện lợi	Tàu điện ngầm làm việc đi lại tiện lợi hơn.
便条	giấy nhắn	Anh ấy để lại một tờ giấy nhắn trên bàn.
便于	tiện cho	Thiết kế này tiện cho người cao tuổi sử dụng.
变故	biến cố	Trong nhà đột nhiên xảy ra biến cố.
变迁	biến đổi	Những biến đổi của thành phố khiến anh ấy rất xúc động.
变质	biến chất	Sữa để lâu sẽ bị biến chất.
辨认	nhận dạng	Cảnh sát yêu cầu anh ấy nhận dạng người trong ảnh.
辩护	bào chữa	Luật sư bào chữa cho bị cáo.
辩解	biện minh	Anh ấy cố biện minh cho lỗi lầm của mình.
辩证	biện chứng	Chúng ta phải nhìn vấn đề này một cách biện chứng.
辫子	bím tóc	Cô bé thắt hai bím tóc.
遍布	phân bố khắp	Loài cây này phân bố khắp cả nước.
标本	tiêu bản	Trong bảo tàng trưng bày các tiêu bản động vật.
标记	dấu hiệu	Xin hãy đánh dấu bên cạnh những đoạn quan trọng.
标题	tiêu đề	Tiêu đề của bài viết này rất hấp dẫn.
表决	biểu quyết	Các đại biểu sẽ biểu quyết về đề xuất.
表态	bày tỏ lập trường	Anh ấy vẫn chưa công khai bày tỏ lập trường.
表彰	tuyên dương	Công ty tuyên dương nhân viên xuất sắc.
憋	nhịn	Anh ấy nhịn cười và không nói gì.
别墅	biệt thự	Họ mua một căn biệt thự ở ngoại ô.
别致	độc đáo	Cách trang trí của quán cà phê này rất độc đáo.
别扭	gượng gạo	Câu này nghe hơi gượng gạo.
濒临	bên bờ	Loài động vật này đang bên bờ tuyệt chủng.
冰雹	mưa đá	Chiều hôm qua có trận mưa đá rất lớn.
丙	nhóm C	Trận đấu của nhóm C bắt đầu vào buổi chiều.
并非	không phải	Sự việc không phải như bạn nghĩ.
并列	đồng hạng	Hai dự án này đồng hạng nhất.
剥削	bóc lột	Xã hội cũ tồn tại sự bóc lột nghiêm trọng.
拨	bấm	Xin hãy bấm số điện thoại này.
播种	gieo hạt	Nông dân bắt đầu gieo hạt vào mùa xuân.
波浪	sóng	Trên mặt biển nổi lên những con sóng lớn.
波涛	sóng lớn	Con thuyền tiến lên giữa những đợt sóng lớn.
伯母	bác gái	Cuối tuần tôi sẽ đi thăm bác gái.
博大精深	rộng lớn và sâu sắc	Văn hóa Trung Quốc rộng lớn và sâu sắc.
博览会	hội chợ triển lãm	Hội chợ triển lãm quốc tế thu hút nhiều doanh nghiệp.
搏斗	đánh nhau	Cảnh sát đã đánh nhau với tên tội phạm.
薄弱	yếu	Nền tảng ngữ pháp của anh ấy khá yếu.
不顾	bất chấp	Anh ấy bất chấp nguy hiểm lao vào trong.
不愧	xứng đáng	Anh ấy quả thật xứng đáng là chuyên gia giàu kinh nghiệm.
不料	không ngờ	Không ngờ cuộc họp đột nhiên bị hủy.
不像话	quá đáng	Bạn đối xử với khách như vậy thật quá đáng.
不屑一顾	coi thường	Anh ấy coi thường những lời đồn này.
哺乳	cho bú	Người mẹ đang cho em bé bú.
捕捉	bắt được	Nhiếp ảnh gia đã bắt được khoảnh khắc tuyệt vời.
补偿	bồi thường	Công ty sẽ bồi thường tổn thất của bạn.
补救	cứu vãn	Chúng ta vẫn còn kịp cứu vãn.
补贴	trợ cấp	Chính phủ phát trợ cấp cho các gia đình thu nhập thấp.
不得已	bất đắc dĩ	Anh ấy rời quê chỉ vì bất đắc dĩ.
不妨	cũng nên	Bạn cũng nên nghe lời giải thích của anh ấy trước.
不敢当	không dám nhận	Ông khen tôi như vậy, tôi thật không dám nhận.
不禁	không khỏi	Nghe tin này, anh ấy không khỏi bật cười.
不堪	không chịu nổi	Tiếng ồn ở đây khiến người ta không chịu nổi.
不可思议	khó tin	Kết quả này thật khó tin.
不免	khó tránh	Lần đầu lên sân khấu, anh ấy khó tránh hơi căng thẳng.
不时	thỉnh thoảng	Anh ấy thỉnh thoảng ngẩng đầu nhìn đồng hồ.
不惜	không ngần ngại	Để cứu người, anh ấy không ngần ngại mạo hiểm.
不相上下	ngang tài ngang sức	Thực lực của hai đội ngang tài ngang sức.
不言而喻	không cần nói cũng rõ	Tầm quan trọng của sự trung thực thì không cần nói cũng rõ.
不由得	không kìm được	Nhìn thấy bức ảnh cũ, tôi không kìm được nhớ về tuổi thơ.
不择手段	bất chấp thủ đoạn	Anh ấy bất chấp thủ đoạn để kiếm tiền.
不止	hơn	Số người tham gia cuộc họp hơn một trăm người.
布告	thông báo	Một tờ thông báo được dán ở cổng trường.
布局	bố cục	Bố cục của căn hộ này rất hợp lý.
布置	giao	Thầy giáo đã giao bài tập mới.
步伐	bước chân	Đội ngũ tiến lên với bước chân đều đặn.
部署	triển khai	Công ty đang triển khai kế hoạch bán hàng mới.
部位	vị trí	Bác sĩ kiểm tra vị trí bị thương.
才干	tài năng	Cô ấy rất có tài năng trong quản lý.
裁缝	thợ may	Người thợ may này có tay nghề rất tốt.
裁判	trọng tài	Trọng tài tuyên bố trận đấu tạm dừng.
裁员	cắt giảm nhân sự	Công ty quyết định cắt giảm nhân sự vì thua lỗ.
财富	của cải	Tri thức cũng là một loại của cải.
财务	tài vụ	Bộ phận tài vụ đang đối chiếu sổ sách.
财政	tài chính	Thu ngân sách năm nay có tăng lên.
彩票	vé số	Thỉnh thoảng anh ấy mua một tờ vé số.
采购	mua sắm	Công ty cử người đi mua sắm thiết bị.
采集	thu thập	Các nhà nghiên cứu thu thập mẫu trong rừng.
采纳	tiếp thu	Lãnh đạo đã tiếp thu đề xuất của chúng tôi.
参谋	tham mưu	Anh ấy thường tham mưu cho giám đốc.
参照	tham khảo	Xin hãy tham khảo định dạng này để điền biểu mẫu.
残疾	khuyết tật	Nhà ga này hỗ trợ hành khách khuyết tật.
残酷	tàn khốc	Chiến tranh rất tàn khốc.
残留	còn sót lại	Trong cốc vẫn còn sót lại mùi cà phê.
残忍	tàn nhẫn	Ngược đãi động vật là hành vi tàn nhẫn.
灿烂	rạng rỡ	Cô ấy nở nụ cười rạng rỡ.
仓促	vội vàng	Quyết định này được đưa ra quá vội vàng.
仓库	nhà kho	Hàng hóa đã được chuyển đến nhà kho.
舱	khoang	Hành khách đang đi vào khoang máy bay.
苍白	tái nhợt	Sắc mặt anh ấy trông rất tái nhợt.
操劳	vất vả	Mẹ đã vất vả vì gia đình này nhiều năm.
操练	luyện tập	Binh sĩ luyện tập mỗi sáng.
操纵	điều khiển	Chiếc máy này do máy tính điều khiển.
操作	vận hành	Xin hãy vận hành thiết bị theo hướng dẫn.
嘈杂	ồn ào	Trong nhà ga rất ồn ào.
草案	bản dự thảo	Ủy ban đang thảo luận bản dự thảo.
草率	qua loa	Quyết định quan trọng như vậy không thể làm qua loa.
侧面	mặt bên	Nhìn từ mặt bên, tòa nhà này cao hơn.
测量	đo đạc	Kỹ sư đang đo chiều dài cây cầu.
策划	lên kế hoạch	Họ đã lên kế hoạch cho một sự kiện lớn.
策略	chiến lược	Chiến lược này giúp công ty giảm chi phí.
层出不穷	xuất hiện liên tiếp	Các vấn đề mới xuất hiện liên tiếp.
层次	tầng bậc	Bố cục của bài viết này rất rõ ràng.
差别	khác biệt	Hai phương pháp không khác biệt nhiều.
插座	ổ cắm	Ổ cắm trong phòng này không đủ dùng.
查获	phát hiện và thu giữ	Hải quan đã phát hiện và thu giữ một lô hàng giả.
刹那	khoảnh khắc	Trong khoảnh khắc, tất cả đèn đều tắt.
岔	ngã rẽ	Xe tách nhau ở ngã rẽ phía trước.
诧异	kinh ngạc	Quyết định của anh ấy khiến mọi người rất kinh ngạc.
柴油	dầu diesel	Chiếc xe tải này dùng dầu diesel.
搀	dìu	Y tá dìu cụ già vào phòng bệnh.
缠绕	quấn	Dây leo quấn quanh cành cây.
馋	thèm	Nhìn thấy bánh, đứa trẻ hơi thèm.
产业	ngành công nghiệp	Du lịch là ngành công nghiệp quan trọng ở đây.
阐述	trình bày	Giáo sư trình bày chi tiết quan điểm của mình.
颤抖	run rẩy	Cô ấy lạnh đến mức toàn thân run rẩy.
昌盛	thịnh vượng	Chúng tôi hy vọng đất nước thịnh vượng.
偿还	hoàn trả	Anh ấy đã hoàn trả khoản vay đúng hạn.
尝试	thử	Chúng ta có thể thử phương pháp mới.
场合	dịp	Dịp này không thích hợp để đùa.
场面	khung cảnh	Khung cảnh đám cưới rất náo nhiệt.
场所	nơi chốn	Đây là nơi công cộng, xin đừng hút thuốc.
敞开	mở rộng	Xin hãy mở rộng cửa sổ một lát.
倡导	đề xướng	Trường học đề xướng lối sống lành mạnh.
倡议	sáng kiến	Sáng kiến bảo vệ môi trường này nhận được sự ủng hộ.
畅通	thông suốt	Sau khi mưa tạnh, đường sá trở lại thông suốt.
畅销	bán chạy	Cuốn tiểu thuyết này bán rất chạy.
超越	vượt qua	Cuối cùng anh ấy đã vượt qua kỷ lục của mình.
钞票	tiền giấy	Trong ví chỉ còn vài tờ tiền giấy.
嘲笑	chế giễu	Đừng chế giễu khuyết điểm của người khác.
巢穴	hang ổ	Thợ săn phát hiện hang ổ của con vật.
朝代	triều đại	Nhà Đường là một triều đại trong lịch sử Trung Quốc.
潮流	xu hướng	Giới trẻ rất quan tâm đến xu hướng thời trang.
撤退	rút lui	Quân đội rút lui sau khi nhận lệnh.
撤销	hủy bỏ	Tòa án đã hủy bỏ phán quyết ban đầu.
沉淀	lắng xuống	Bùn cát sẽ từ từ lắng xuống.
沉闷	ngột ngạt	Thời tiết hôm nay vừa nóng vừa ngột ngạt.
沉思	trầm tư	Anh ấy ngồi bên cửa sổ trầm tư.
沉重	nặng nề	Tin này khiến tâm trạng mọi người nặng nề.
沉着	bình tĩnh	Gặp nguy hiểm phải giữ bình tĩnh.
陈旧	cũ kỹ	Chiếc máy này đã rất cũ kỹ.
陈列	trưng bày	Trong phòng triển lãm trưng bày nhiều di vật văn hóa.
陈述	trình bày	Xin hãy trình bày sự thật một cách rõ ràng.
称心如意	vừa ý	Công việc này khiến anh ấy rất vừa ý.
衬托	tôn lên	Bức tường trắng tôn lên màu sắc của hoa.
称号	danh hiệu	Anh ấy nhận được danh hiệu giáo viên xuất sắc.
乘	đi	Tôi đi tàu điện ngầm đi làm mỗi ngày.
呈现	hiện ra	Bầu trời hiện ra màu đỏ nhạt.
城堡	lâu đài	Trên đỉnh núi có một lâu đài cổ.
惩罚	trừng phạt	Nhà trường sẽ trừng phạt học sinh gian lận.
成本	chi phí	Giá nguyên liệu tăng làm chi phí tăng.
成交	chốt giao dịch	Thương vụ này cuối cùng đã chốt giao dịch.
成天	cả ngày	Anh ấy ngồi trước máy tính cả ngày.
成效	hiệu quả	Biện pháp quản lý mới nhanh chóng thấy hiệu quả.
成心	cố ý	Anh ấy không cố ý làm bạn khó xử.
成员	thành viên	Mỗi thành viên đều phải tham gia cuộc họp.
承办	đảm nhận	Công ty này đã đảm nhận triển lãm.
承包	nhận thầu	Họ đã nhận thầu công trình này.
承诺	cam kết	Anh ấy cam kết hoàn thành nhiệm vụ đúng hạn.
橙	quả cam	Tôi mua vài quả cam tươi.
澄清	làm rõ	Giám đốc đã ra làm rõ hiểu lầm.
盛	múc	Cô ấy múc một bát canh cho khách.
诚挚	chân thành	Xin hãy nhận lời cảm ơn chân thành của tôi.
秤	cái cân	Cái cân này không chính xác lắm.
吃苦	chịu khổ	Người trẻ nên học cách chịu khổ.
吃力	tốn sức	Chuyển chiếc hộp này rất tốn sức.
持久	bền bỉ	Thành công cần nỗ lực bền bỉ.
迟钝	chậm chạp	Gần đây phản ứng của anh ấy hơi chậm chạp.
迟缓	chậm chạp	Sau mưa, giao thông trở nên chậm chạp.
迟疑	do dự	Cô ấy do dự một chút rồi mới trả lời.
赤道	xích đạo	Gần xích đạo quanh năm đều nóng.
赤字	thâm hụt	Công ty năm nay bị thâm hụt.
充当	đóng vai trò	Anh ấy đóng vai trò điều phối viên trong dự án.
充沛	dồi dào	Bọn trẻ có sức lực rất dồi dào.
充实	phong phú	Trải nghiệm này làm cuộc sống của tôi phong phú hơn.
充足	đầy đủ	Trước chuyến đi phải chuẩn bị đủ nước.
冲动	bốc đồng	Đừng quyết định vì bốc đồng nhất thời.
冲击	tác động	Công nghệ mới đã tác động đến ngành truyền thống.
冲突	xung đột	Hai bên cố gắng tránh xung đột.
崇拜	ngưỡng mộ	Nhiều người trẻ ngưỡng mộ nhà khoa học này.
崇高	cao quý	Trách nhiệm của bác sĩ là cao quý.
崇敬	kính trọng	Học sinh đều rất kính trọng thầy giáo này.
重叠	chồng chéo	Hai nhiệm vụ này có phần chồng chéo.
稠密	dày đặc	Dân số ở đây rất dày đặc.
筹备	chuẩn bị	Họ đang chuẩn bị đám cưới.
丑恶	xấu xa	Anh ấy phơi bày sự thật xấu xa đằng sau sự việc.
出路	lối thoát	Học tập có thể cho người trẻ nhiều lối thoát hơn.
出卖	phản bội	Anh ấy sẽ không phản bội bạn bè.
出身	xuất thân	Anh ấy xuất thân từ một gia đình bình thường.
出神	mê mẩn	Cô ấy nghe nhạc đến mê mẩn.
出息	có tương lai	Đứa trẻ này sau này sẽ có tương lai.
初步	sơ bộ	Chúng tôi đã đạt được thỏa thuận sơ bộ.
除	ngoài	Ngoài anh ấy ra, mọi người đều đã đến.
储备	dự trữ	Công ty cần dự trữ thêm vốn.
储存	lưu trữ	Những dữ liệu này sẽ được lưu trữ tự động.
储蓄	tiết kiệm	Mỗi tháng anh ấy đều tiết kiệm một phần lương.
处分	kỷ luật	Nhà trường đã kỷ luật anh ấy rất nghiêm.
处境	hoàn cảnh	Hoàn cảnh hiện nay của họ rất khó khăn.
处置	xử lý	Những thiết bị cũ này cần được xử lý thỏa đáng.
触犯	vi phạm	Làm như vậy sẽ vi phạm pháp luật.
川流不息	liên tục không ngừng	Xe cộ trên phố qua lại liên tục không ngừng.
穿越	xuyên qua	Đoàn tàu xuyên qua đường hầm dài.
传达	truyền đạt	Xin hãy truyền đạt tin này cho mọi người.
传单	tờ rơi	Tình nguyện viên phát tờ rơi trên phố.
传授	truyền dạy	Thầy giáo truyền dạy kinh nghiệm cho học sinh.
船舶	tàu thuyền	Trong cảng neo đậu rất nhiều tàu thuyền.
喘气	thở hổn hển	Anh ấy thở hổn hển không ngừng sau khi chạy.
串	xâu	Cô ấy xâu hạt thành một sợi dây chuyền.
床单	ga giường	Xin hãy thay ga giường.
创立	thành lập	Họ cùng nhau thành lập công ty này.
创新	đổi mới	Doanh nghiệp phát triển cần không ngừng đổi mới.
创业	khởi nghiệp	Nhiều người trẻ chọn khởi nghiệp.
创作	sáng tác	Nhà văn đang sáng tác một cuốn tiểu thuyết dài.
吹牛	khoác lác	Đừng khoác lác, hãy đưa bằng chứng ra.
吹捧	tung hô	Truyền thông đã tung hô sản phẩm này quá mức.
炊烟	khói bếp	Chiều tối, trong làng bốc lên khói bếp.
垂直	thẳng đứng	Hai đường này vuông góc với nhau.
锤	búa	Công nhân dùng búa gõ tấm sắt.
纯粹	thuần túy	Sự giúp đỡ của anh ấy thuần túy xuất phát từ thiện ý.
纯洁	trong sáng	Tâm hồn trẻ em rất trong sáng.
慈善	từ thiện	Doanh nghiệp này thường tham gia hoạt động từ thiện.
慈祥	hiền từ	Nụ cười của bà rất hiền từ.
磁带	băng từ	Cuốn băng cũ này vẫn còn phát được.
雌雄	đực và cái	Màu sắc con đực và con cái của loài chim này khác nhau.
伺候	chăm sóc	Y tá chăm sóc bệnh nhân rất chu đáo.
刺	gai	Trên cành hoa hồng có rất nhiều gai.
次品	hàng lỗi	Những hàng lỗi này không thể bán được.
次序	thứ tự	Xin hãy xếp hàng theo thứ tự.
丛	bụi	Bên đường có một bụi hoa dại.
从容	điềm tĩnh	Cô ấy điềm tĩnh trả lời câu hỏi.
凑合	tạm được	Phòng không lớn, nhưng vẫn tạm ở được.
粗鲁	thô lỗ	Anh ấy nói chuyện quá thô lỗ.
窜	lao vào	Con mèo ấy bất chợt lao vào trong nhà.
摧残	tàn phá	Ô nhiễm lâu dài sẽ tàn phá khu rừng này.
脆弱	mỏng manh	Đồ thủy tinh rất mỏng manh.
搓	xoa	Anh ấy xoa đôi bàn tay lạnh buốt.
磋商	thương lượng	Hai bên sẽ tiếp tục thương lượng.
挫折	trắc trở	Ai cũng sẽ gặp trắc trở.
搭	đi	Chúng tôi đi xe buýt đến sân bay.
搭档	đối tác	Anh ấy là đối tác làm việc nhiều năm của tôi.
搭配	phối hợp	Chiếc áo khoác này phối với quần rất hợp.
答辩	bảo vệ luận văn	Nghiên cứu sinh đang chuẩn bị bảo vệ luận văn.
答复	trả lời	Xin hãy cho tôi câu trả lời sớm nhất có thể.
达成	đạt được	Hai bên cuối cùng đã đạt được thỏa thuận.
打包	gói mang về	Nhân viên phục vụ giúp chúng tôi gói đồ ăn thừa mang về.
打官司	kiện tụng	Họ kiện tụng vì vấn đề hợp đồng.
打击	đả kích	Thất bại lần này là cú đả kích lớn đối với anh ấy.
打架	đánh nhau	Học sinh đánh nhau trong trường sẽ bị kỷ luật.
打量	quan sát	Cô ấy quan sát tôi từ trên xuống dưới.
打猎	săn bắn	Ở đây cấm săn bắn.
打仗	đánh trận	Không ai muốn đánh trận.
大不了	cùng lắm	Cùng lắm thì ngày mai chúng ta thử lại lần nữa.
大臣	đại thần	Quốc vương triệu kiến vài vị đại thần.
大伙儿	mọi người	Mọi người đều đang chờ quyết định của bạn.
大肆	rầm rộ	Thương gia quảng bá sản phẩm mới rầm rộ.
大体	nhìn chung	Kế hoạch nhìn chung không có vấn đề.
大意	ý chính	Xin hãy nói trước ý chính của bài viết này.
大致	đại khái	Tôi đã hiểu đại khái diễn biến sự việc.
歹徒	tên tội phạm	Cảnh sát nhanh chóng bắt được tên tội phạm.
代价	cái giá	Thành công thường đòi hỏi phải trả giá.
代理	thay mặt	Anh ấy tạm thời thay mặt giám đốc xử lý công việc.
带领	dẫn dắt	Thầy giáo dẫn học sinh tham quan bảo tàng.
怠慢	chậm trễ tiếp đãi	Chúng ta không được chậm trễ tiếp đãi khách.
逮捕	bắt giữ	Cảnh sát đã bắt giữ nghi phạm chính.
担保	bảo lãnh	Ngân hàng yêu cầu có người bảo lãnh.
胆怯	nhút nhát	Lần đầu diễn thuyết, anh ấy hơi nhút nhát.
淡季	mùa thấp điểm	Vé máy bay mùa du lịch thấp điểm rẻ hơn.
淡水	nước ngọt	Loài cá này chỉ có thể sống trong nước ngọt.
蛋白质	protein	Trứng chứa nhiều protein.
诞辰	ngày sinh	Hôm nay là ngày sinh của nhà văn này.
诞生	ra đời	Ý tưởng này ra đời trong cuộc thảo luận.
当场	ngay tại chỗ	Anh ấy thừa nhận lỗi ngay tại chỗ.
当初	ban đầu	Ban đầu chúng tôi đều ủng hộ quyết định này.
当代	đương đại	Xã hội đương đại thay đổi rất nhanh.
当面	trực tiếp	Có vấn đề thì tốt nhất nên nói rõ trực tiếp.
当前	hiện nay	Điều quan trọng nhất hiện nay là bảo đảm an toàn.
当事人	người liên quan	Cảnh sát đang hỏi người liên quan.
当务之急	việc cấp bách nhất	Giải quyết vấn đề nhà ở là việc cấp bách nhất.
当选	được bầu	Cô ấy thuận lợi được bầu làm chủ tịch.
党	đảng	Đảng này đề xuất chính sách mới.
档案	hồ sơ	Trường lưu giữ hồ sơ của học sinh.
档次	đẳng cấp	Khách sạn này có đẳng cấp rất cao.
倒闭	phá sản	Cửa hàng nhỏ đó đã phá sản năm ngoái.
导弹	tên lửa	Bản tin đưa tin về cuộc thử nghiệm tên lửa.
导航	dẫn đường	Xin hãy bật chức năng dẫn đường trên điện thoại.
导向	định hướng	Chính sách giáo dục nên định hướng theo công bằng.
捣乱	gây rối	Xin đừng gây rối trong lớp học.
盗窃	trộm cắp	Trung tâm thương mại tăng cường biện pháp ngăn trộm cắp.
稻谷	lúa	Nông dân đang thu hoạch lúa.
得不偿失	lợi bất cập hại	Mua vật liệu kém chất lượng để tiết kiệm tiền sẽ lợi bất cập hại.
得力	đắc lực	Anh ấy là trợ lý đắc lực bên cạnh giám đốc.
得天独厚	có lợi thế trời cho	Thành phố này có lợi thế địa lý trời cho.
得罪	làm mất lòng	Tôi không muốn vì chuyện nhỏ mà làm mất lòng đồng nghiệp.
