source_headword	UZ	example_UZ
diminish	kamayish	Og'riq asta-sekin kamayishi kerak.
dip	pasayish	Harorat noldan pastga tushishi mumkin.
diplomat	diplomat	Diplomat xorijiy rahbarlar bilan uchrashdi.
diplomatic	diplomatik	Diplomatik muzokaralar tuni bilan davom etdi.
directory	ma'lumotnoma	Uning raqamini ma'lumotnomadan qidiring.
disastrous	halokatli	Halokatli suv toshqini bir nechta ko'priklarni vayron qildi.
discard	tashlab yuborish	Foydali yozuvlarni tashlab yubormang.
discharge	javob berish	Kasalxona ertaga unga javob beradi.
disclose	oshkor qilish	Amaldorlar raqamlarni oshkor qilishdan bosh tortdilar.
disclosure	oshkor qilish	Bu oshkor qilish kengashni hayratda qoldirdi.
discourse	muloqot	Jamoatchilik muloqoti yanada xushmuomala bo'ldi.
discretion	ehtiyotkorlik	Nozik ishlarda ehtiyotkorlikdan foydalaning.
discrimination	kamsitish	Qonun ishga qabul qilishda kamsitishni taqiqlaydi.
dismissal	ishdan bo'shatish	Uning ishdan bo'shatilishi xalqning g'azabiga sabab bo'ldi.
displace	ko'chirib yuborish	Urush minglab odamlarni ko'chirib yuborishi mumkin.
disposal	utilizatsiya	Chiqindilarni utilizatsiya qilish mahalliy muammo bo'lib qolmoqda.
dispose	yo'q qilish	Kompaniya kimyoviy moddalarni xavfsiz yo'q qilishi kerak.
dispute	nizo	Nizo bir necha oy davom etdi.
disrupt	xalaqit berish	Shovqin diqqatni jamlashga xalaqit berishi mumkin.
disruption	uzilish	Ish tashlash jiddiy uzilishga sabab bo'ldi.
dissolve	erish	Shakar issiq choyda eriydi.
distinction	farq	Ular orasidagi farq muhimdir.
distinctive	o'ziga xos	U o'ziga xos ovozga ega.
distort	buzib ko'rsatish	Ko'zgu sizning aksingizni buzib ko'rsatishi mumkin.
distress	qayg'u	Qo'ng'iroq jiddiy qayg'uga sabab bo'ldi.
disturbing	bezovta qiluvchi	Hujjatli filmda bezovta qiluvchi sahnalar namoyish etildi.
divert	burib yuborish	Politsiya transportni burib yuborishiga to'g'ri keldi.
divine	ilohiy	Cherkov ilohiy muhitga ega.
doctrine	ta'limot	Partiya eski ta'limotni rad etdi.
documentation	hujjatlar	Ishga tushirishdan oldin hujjatlarni to'ldiring.
domain	domen	Veb-sayt xavfsiz domendan foydalanadi.
dominance	ustunlik	Jamoaning ustunligi o'n yil davom etdi.
donor	donor	Donor bugun qon topshirdi.
dose	doza	Nonushtadan keyin bir doza qabul qiling.
drain	oqib ketmoq	Suv daryoga oqib ketadi.
drift	tarqalmoq	Tutun yo'l bo'ylab tarqala boshladi.
driving	asosiy	Yomg'ir kechikishlarning asosiy omili edi.
drown	cho'ktirmoq	Oqim sizni cho'ktirishi mumkin bo'lgan joyda hech qachon suzmang.
dual	ikki xil	Qurilma ikki xil funksiyaga ega.
dub	atamoq	Tanqidchilar shaharni madaniy poytaxt deb atashadi.
dumb	ahmoqona	Bu ahmoqona xato edi.
duo	duet	Komediya dueti Yevropa bo'ylab gastrol qildi.
eager	ishtiyoqli	Talabalar boshlashga ishtiyoqli edilar.
earnings	daromad	Kompaniya daromadi keskin oshdi.
ease	yengillashtirmoq	Yangi yo'l tirbandlikni yengillashtiradi.
echo	aks-sado bermoq	Uning ovozi zalda aks-sado berdi.
ecological	ekologik	Ekologik ta'sir noaniqligicha qolmoqda.
educator	o'qituvchi	O'qituvchi yangi kurs ishlab chiqdi.
effectiveness	samaradorlik	Tadqiqot vaksina samaradorligini o'lchadi.
efficiency	samaradorlik	Yaxshiroq dasturiy ta'minot samaradorlikni oshirdi.
ego	manmanlik	Uning manmanligi ishda muammolarni keltirib chiqardi.
elaborate	murakkab	Murakkab libos bir necha hafta vaqt oldi.
electoral	saylovga oid	Saylov tizimi o'tgan yili o'zgardi.
elevate	ko'tarmoq	Mukofot uning mavqeini ko'taradi.
eligible	huquqqa ega	Faqat rezidentlar chegirmalarga ega bo'lishlari mumkin.
elite	elita	Elita xususiy akademiyada ta'lim oldi.
embark	yo'lga chiqmoq	Ular uzoq safarga chiqishadi.
embarrassment	xijolat	U xijolatini yashirish uchun kuldi.
embassy	elchixona	Elchixona sayohat bo'yicha yangi maslahatlar berdi.
embed	biriktirmoq	Jurnalist bo'linmaga biriktiriladi.
embody	mujassam etmoq	Haykal o'zida jasoratni mujassam etgandek ko'rinadi.
emergence	paydo bo'lish	Telefonlarning paydo bo'lishi kundalik hayotni o'zgartirdi.
empirical	empirik	Maqola empirik dalillarga tayanadi.
empower	kuchaytirmoq	Ta'lim mahalliy jamoalarni kuchaytirishi mumkin.
enact	qabul qilmoq	Parlament islohotni qabul qilish uchun ovoz berdi.
encompass	qamrab olmoq	Kurs zamonaviy tarixni qamrab oladi.
encouragement	dalda	Uning daldasi unga davom etishga yordam berdi.
encouraging	umidbaxsh	Dastlabki natijalar umidbaxsh ko'rinadi.
endeavour	urinish	Qutqaruv ishlari qiyin urinish edi.
endless	cheksiz	Cho'l cheksiz bo'lib tuyulardi.
endorse	qo'llab-quvvatlamoq	Kasaba uyushmasi nomzodni qo'llab-quvvatlashni rad etdi.
endorsement	qo'llab-quvvatlash	Uning qo'llab-quvvatlashi uning kampaniyasini kuchaytirdi.
endure	chidamoq	O'simliklar qattiq qishga chidashi mumkin.
enforce	ta'minlamoq	Politsiya tezlik chegarasiga amal qilishni ta'minlaydi.
enforcement	nazorat	Kuchliroq nazorat noqonuniy chiqindi tashlashni kamaytirdi.
engagement	ishtirok	Bu semestrda talabalarning ishtiroki yaxshilandi.
engaging	qiziqarli	Ma'ruzachi qiziqarli nutq so'zladi.
enquire	so'ramoq	Iltimos, qabulxonadan so'rang.
enrich	boyitmoq	Sayohat sizning tushunchangizni boyitishi mumkin.
enrol	ro'yxatdan o'tmoq	Talabalar sentabrdan oldin ro'yxatdan o'tishlari kerak.
ensue	yuzaga kelmoq	E'londan keyin tartibsizlik yuzaga kelishi mumkin.
enterprise	korxona	Korxona mahalliy san'atkorlarni ish bilan ta'minlaydi.
enthusiast	ishqiboz	Har bir velosiped ishqibozi bu yo'nalishni biladi.
entitle	huquq bermoq	Chipta sizga kirish huquqini beradi.
entity	tashkilot	Kompaniya alohida yuridik shaxs hisoblanadi.
epidemic	epidemiya	Epidemiya bir necha mintaqalarga tarqaldi.
equality	tenglik	Harakat tenglik uchun kurashdi.
equation	tenglama	Tenglama ikkita noma'lumni o'z ichiga oladi.
erect	qurmoq	Ishchilar yangi panjara quradilar.
escalate	kuchaymoq	Mojaro tezda kuchayishi mumkin.
essence	mohiyat	She'r bolalikning mohiyatini qamrab oladi.
establishment	tashkilot	Tashkilot islohotga qarshi chiqdi.
eternal	abadiy	Ular abadiy do'stlikka va'da berishdi.
evacuate	evakuatsiya qilmoq	O't o'chiruvchilar aholini xavfsiz evakuatsiya qilishga yordam berishdi.
evoke	uyg'otmoq	Qo'shiq kuchli xotiralarni uyg'otishi mumkin.
evolutionary	evolyutsion	Qazilma evolyutsion o'zgarishni ko'rsatadi.
exaggerate	bo'rttirmoq	Tajribangizni bo'rttirmang.
excellence	mukammallik	Maktab akademik mukammallikni rag'batlantiradi.
exceptional	ajoyib	U ajoyib mahorat ko'rsatdi.
excess	ortiqcha	Ortiqcha suv yerto'lani bosdi.
exclusion	chetlatish	Ijtimoiy chetlatish yoshlarga zarar yetkazadi.
exclusive	maxsus	Klub maxsus kirish huquqini taqdim etadi.
exclusively	faqat	Bu xonadan faqat xodimlar foydalanadi.
execute	amalga oshirmoq	Jamoa rejani ehtiyotkorlik bilan amalga oshiradi.
execution	amalga oshirish	Strategiyani amalga oshirish bir necha oy davom etdi.
exert	ishlatmoq	Siz ko'proq bosim o'tkazishingiz kerak.
exile	surgun	Yozuvchi surgunda yashagan.
expenditure	xarajat	Davlat xarajatlari o'tgan yili oshdi.
experimental	tajriba bosqichidagi	Davolash hali ham tajriba bosqichida.
expire	muddati tugamoq	Mening pasportimning muddati tez orada tugaydi.
explicit	aniq	Ko'rsatmalar aniq edi.
explicitly	qat'iyan	Qoidalar chekishni qat'iyan man etadi.
exploitation	ekspluatatsiya	Hisobot ishchilarni ekspluatatsiya qilishni fosh etdi.
explosive	portlovchi	Portlovchi qurilma xavfsiz tarzda olib tashlandi.
extremist	ekstremist	Ekstremistik guruh qo'llab-quvvatlashni yo'qotdi.
facilitate	osonlashtirmoq	Ilova masofaviy ta'limni osonlashtiradi.
faction	guruh	Bitta guruh rahbarga qarshi chiqdi.
faculty	professor-o'qituvchilar	Professor-o'qituvchilar taklifni ma'qulladilar.
fade	xiralashmoq	Bo'yoq quyosh nurida xiralashadi.
fairness	adolat	Adolat har qanday musobaqada muhimdir.
fatal	halokatli	Baxtsiz hodisa halokatli jarohatlarga olib keldi.
fate	taqdir	Uning taqdirini hech kim bilmas edi.
favourable	ijobiy	Sharh ijobiy bo'ldi.
feat	yutuq	U cho'qqiga chiqish katta yutuq edi.
feminist	feminist	Feministik harakat jamoatchilik bahsini o'zgartirdi.
fibre	kletchatka	Bu nonda qo'shimcha kletchatka bor.
fierce	shiddatli	Shiddatli bo'ron tomlarga zarar yetkazdi.
film-maker	kinorejissyor	Kinorejissyor keyinroq savollarga javob berdi.
filter	filtr	Filtr havodagi changni tozalaydi.
fine	jarima	Kompaniya jarima to'ladi.
firearm	o'qotar qurol	Ofitser o'g'irlangan o'qotar qurolni topdi.
fit	moslik	Yangi poyabzal mukammal mos keladi.
fixture	o'zgarmas jihoz	Chiroq doimiy o'zgarmas jihozdir.
flaw	kamchilik	Loyihaning bitta jiddiy kamchiligi bor.
flawed	nuqsonli	Nuqsonli tadqiqot noto'g'ri natijalar berdi.
flee	qochmoq	Oilalar jangdan qochishga majbur bo'lishdi.
fleet	flot	Aviakompaniya o'z flotini yangiladi.
flesh	tana	Tikan uning tanasini teshib o'tdi.
flexibility	moslashuvchanlik	Masofaviy ish ko'proq moslashuvchanlikni taklif qiladi.
flourish	rivojlanmoq	Kichik biznes bu yerda rivojlanishi mumkin.
fluid	suyuqlik	Mashqdan keyin ko'p suyuqlik iching.
footage	tasvir	Tasvirlar avariyani ko'rsatdi.
foreigner	chet ellik	Shaklda siz chet ellik ekanligingiz so'raladi.
forge	o'rnatmoq	Ular yangi ittifoq o'rnatishga harakat qilishdi.
formula	formula	Formula muammoni hal qildi.
formulate	ishlab chiqmoq	Olimlar yangi nazariyani ishlab chiqadilar.
forth	oldinga	Daryo qayiqni oldinga olib ketdi.
forthcoming	bo'lajak	Bo'lajak hisobot hammasini tushuntirib beradi.
foster	yordam bermoq	Dastur mustaqillikni rivojlantirishga yordam beradi.
fragile	mo'rt	Mo'rt vazaga ehtiyotkorlik bilan munosabatda bo'lish kerak.
franchise	franshiza	Restoran global franshizaga aylandi.
frankly	ochiqchasiga	Ochiqchasiga aytsam, bizga ko'proq vaqt kerak.
frustrated	hafsalasi pir bo'lgan	Ishchilar kechikishdan hafsalasi pir bo'ldi.
frustrating	asabiylashtiradigan	Sekin aloqa asabiylashtirar edi.
frustration	umidsizlik	Uchrashuv davomida umidsizlik kuchaydi.
functional	ishlaydigan	Eski oshxona hali ham ishlaydi.
fundraising	mablag' yig'ish	Mablag' yig'ish keyingi hafta boshlanadi.
funeral	janoza	Janoza juma kuni bo'lib o'tdi.
gallon	gallon	Bak bir gallonni sig'diradi.
gambling	qimor	Qimor o'yinlari qonun bilan cheklangan.
gathering	yig'ilish	Yig'ilish tinch yakunlandi.
gaze	tikilib qarash	U uning nigohini qisqa vaqtga ushlab turdi.
gear	jihozlar	Ko'tarilishdan oldin xavfsizlik jihozlarini joylang.
generic	umumiy	Umumiy versiya arzonroq.
genocide	genotsid	Genotsid chuqur milliy jarohat qoldirdi.
glance	ko'z tashlash	U tezda ko'z tashladi.
glimpse	qisqa qarash	Men dengizni qisqa vaqt ko'rib qoldim.
glorious	ajoyib	Jamoa ajoyib g'alabani nishonladi.
glory	shon-sharaf	U Olimpiada shon-sharafini orzu qilgan.
governance	boshqaruv	Yaxshi boshqaruv shaffoflikni talab qiladi.
grace	nafosat	U mag'lubiyatni nafosat bilan qabul qildi.
grasp	tushunmoq	U tushunchani anglab yetolmadi.
grave (for dead person)	qabr	Qabr gullar bilan qoplangan edi.
grave (serious)	jiddiy	Vaziyat jiddiy bo'lib qolmoqda.
gravity	tortishish kuchi	Tortishish kuchi jismlarni Yerga tortadi.
grid	to'r	Xarita oddiy to'rdan foydalanadi.
grief	qayg'u	Qayg'u uning butun oilasini o'zgartirdi.
grin	jilmayish	Bola keng jilmayib qo'ydi.
grind	maydalamoq	Ishchilar har tong qahva loviyalarini maydalaydilar.
grip	ushlash	Arqonni mahkam ushlang.
gross	yalpi	Yalpi daromad keskin o'sdi.
guerrilla	partizan	Partizan jangchilari tepaliklarda yashiringan.
guidance	yo'l-yo'riq	Qo'llanma amaliy yo'l-yo'riq beradi.
guilt	aybdorlik	U yolg'on gapirgach, aybdorlikni his qildi.
gut	sezgi	Qiyin tanlovlarda sezgingizga ishoning.
hail	olqishlamoq	Qishloq aholisi shifokorni qahramon sifatida olqishlashdi.
halfway	yarmida	Biz tepalikning yarmida to'xtadik.
halt	to'xtash	Poyezd to'satdan to'xtadi.
handful	hovuch	Bir hovuch ko'ngillilar kechikib qolishdi.
handling	munosabatda bo'lish	To'g'ri munosabatda bo'lish zararning oldini oladi.
handy	qulay	Bu asbob ta'mirlash uchun qulay.
harassment	ta'qib qilish	Kompaniya ta'qib qilish bo'yicha shikoyatlarni o'rganib chiqdi.
hardware	apparat	Do'kon kompyuter apparatlarini sotadi.
harmony	uyg'unlik	Xor mukammal uyg'unlikda kuyladi.
harsh	qattiq	Sudya qattiq jazo tayinladi.
harvest	hosil	Hosil yig'imi sentabrda boshlanadi.
haunt	ta'qib qilmoq	Xotira uni ta'qib qilishda davom etdi.
hazard	xavf	Muz jiddiy yo'l xavfidir.
heighten	oshirmoq	Nutq keskinlikni oshirishi mumkin.
heritage	meros	Qal'a mahalliy merosning bir qismidir.
hierarchy	ierarxiya	Ofis ierarxiyasi aniq belgilangan.
high-profile	yuqori darajadagi	Yuqori darajadagi sud muxbirlarni jalb qildi.
hint	ishora	U menga foydali ishora berdi.
homeland	vatan	U vataniga qaytdi.
hopeful	umidvor	Shifokorlar tiklanishdan umidvor.
horizon	ufq	Quyosh ufq ortida g'oyib bo'ldi.
horn	signal	Mashina signali hammani uyg'otdi.
hostage	garovga olingan shaxs	Garovga olingan shaxs uyiga qaytdi.
hostile	dushmanlarcha	Olomon dushmanlarcha munosabatda bo'ldi.
hostility	dushmanlik	Ochiq dushmanlik muzokaralarni yakunladi.
humanitarian	insonparvarlik	Insonparvarlik missiyasi oziq-ovqat yetkazib berdi.
humanity	insoniyat	Insoniyat umumiy qiyinchiliklarga duch kelmoqda.
humble	kamtar	U muvaffaqiyatdan keyin ham kamtar bo'lib qoldi.
hydrogen	vodorod	Vodorod juda oson yonadi.
identification	shaxsni tasdiqlovchi hujjat	Kirish joyida shaxsni tasdiqlovchi hujjat talab qilinadi.
ideological	mafkuraviy	Bahs mafkuraviy ildizlarga ega edi.
ideology	mafkura	Uning mafkurasi har bir nutqni shakllantirdi.
idiot	ahmoq	Hech kimni ahmoq deb atamang.
ignorance	jaholat	Jaholat qo'rquvni tarqatishi mumkin.
imagery	tasvirlar	She'rda yorqin tasvirlar ishlatilgan.
immense	ulkan	Loyiha ulkan kuch talab qildi.
imminent	yaqinlashib kelayotgan	Bo'ron yaqinlashib kelayotganga o'xshardi.
implementation	amalga oshirish	Qonunni amalga oshirish sekin kechdi.
imprison	qamoqqa olmoq	Rejim tanqidchilarni qamoqqa olishga urindi.
imprisonment	qamoq	Uning qamoq muddati besh yil davom etdi.
inability	qodir emaslik	Uning diqqatni jamlashga qodir emasligi o'qituvchilarni xavotirga soldi.
inadequate	yetarli bo'lmagan	Boshpanada isitish tizimi yetarli emas edi.
inappropriate	nomaqbul	Uning hazili nomaqbul edi.
incidence	uchrash darajasi	Grippga chalinish darajasi oshdi.
inclined	moyil	U rozi bo'lishga moyil.
inclusion	qamrab olish	Maktab barchani qamrab olishni targ'ib qiladi.
