hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
5061:心底	心底	心底	హృదయ గర్భంలో; మనసులో లోతుగా	ఆమె హృదయ గర్భం నుంచి గురువుకి కృతజ్ఞతలు తెలిపింది.	ಮನದಾಳದಲ್ಲಿ; ಹೃದಯದ ಆಳದಲ್ಲಿ	ಅವಳು ಮನದಾಳದಿಂದ ಶಿಕ್ಷಕರ ಸಹಾಯಕ್ಕೆ ಧನ್ಯವಾದ ಹೇಳಿದಳು.
5062:新款	新款	新款	కొత్త మోడల్; తాజా శైలి	ఈ దుకాణం ఇప్పుడే కొత్త మోడల్ చెప్పుల సరుకును పెట్టింది.	ಹೊಸ ಮಾದರಿ; ಹೊಸ ಶೈಲಿ	ಈ ಅಂಗಡಿ ಇತ್ತೀಚೆಗೆ ಹೊಸ ಶೈಲಿಯ ಪಾದರಕ್ಷೆಗಳ ಸರಕು ಇಟ್ಟಿದೆ.
5064:新媒体	新媒体	新媒体	కొత్త మాధ్యమం	కొత్త మాధ్యమం ప్రజలు సమాచారం పొందే విధానాన్ని మార్చింది.	ಹೊಸ ಮಾಧ್ಯಮ	ಹೊಸ ಮಾಧ್ಯಮವು ಜನರು ಮಾಹಿತಿ ಪಡೆಯುವ ವಿಧಾನವನ್ನು ಬದಲಿಸಿದೆ.
5065:心目	心目	心目	మనసులో; అభిప్రాయంలో	నా మనసులో ఆమె ఒక ఉత్తమ రచయిత్రి.	ಮನಸ್ಸಿನಲ್ಲಿ; ದೃಷ್ಟಿಯಲ್ಲಿ	ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಅವಳು ಒಬ್ಬ ಉತ್ತಮ ಲೇಖಕಿ.
5066:新能源	新能源	新能源	కొత్త శక్తి; పునరుత్పాదక శక్తి	కొత్త శక్తి పరిశ్రమ వేగంగా అభివృద్ధి చెందుతోంది.	ಹೊಸ ಇಂಧನ; ನವೀಕರಿಸಬಹುದಾದ ಶಕ್ತಿ	ಹೊಸ ಇಂಧನ ಉದ್ಯಮ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿದೆ.
5069:新兴	新兴	新兴	అభివృద్ధి చెందుతున్న; కొత్తగా ఎదుగుతున్న	కొత్తగా ఎదుగుతున్న రంగాలు అనేక యువకులను ఆకర్షించాయి.	ಉದಯೋನ್ಮುಖ; ಹೊಸದಾಗಿ ಬೆಳೆಯುತ್ತಿರುವ	ಉದಯೋನ್ಮುಖ ಉದ್ಯಮಗಳು ಅನೇಕ ಯುವಕರನ್ನು ಆಕರ್ಷಿಸಿವೆ.
5071:心愿	心愿	心愿	కోరిక; మనసారా కోరుకున్నది	ఆమె ఎన్నో సంవత్సరాల కోరికను చివరకు నెరవేర్చుకుంది.	ಮನದಾಸೆ; ಹಾರೈಕೆ	ಅವಳು ಅನೇಕ ವರ್ಷಗಳ ಮನದಾಸೆಯನ್ನು ಕೊನೆಗೂ ನೆರವೇರಿಸಿಕೊಂಡಳು.
5075:兴起	兴起	兴起	ఎదగడం; ఉద్భవించడం	ఆన్‌లైన్ అభ్యాసం అనేక ప్రాంతాల్లో ఎదిగింది.	ಉದಯಿಸುವುದು; ಹೊರಹೊಮ್ಮುವುದು	ಆನ್‌ಲೈನ್ ಕಲಿಕೆ ಅನೇಕ ಪ್ರದೇಶಗಳಲ್ಲಿ ಹೊರಹೊಮ್ಮಿದೆ.
5076:型号	型号	型号	మోడల్ సంఖ్య; రకం సంఖ్య	దయచేసి కంప్యూటర్ మోడల్ సంఖ్యను ఫారంలో రాయండి.	ಮಾದರಿ ಸಂಖ್ಯೆ; ಪ್ರಕಾರ ಸಂಖ್ಯೆ	ದಯವಿಟ್ಟು ಕಂಪ್ಯೂಟರ್ ಮಾದರಿ ಸಂಖ್ಯೆಯನ್ನು ಫಾರ್ಮಿನಲ್ಲಿ ಬರೆಯಿರಿ.
5078:性价比	性价比	性价比	ధరకు సరిపడ విలువ; డబ్బుకు విలువ	ఈ హోటల్ డబ్బుకు చాలా మంచి విలువ ఇస్తుంది.	ಬೆಲೆಗೆ ತಕ್ಕ ಮೌಲ್ಯ; ಹಣಕ್ಕೆ ಮೌಲ್ಯ	ಈ ಹೋಟೆಲ್ ಹಣಕ್ಕೆ ತುಂಬ ಒಳ್ಳೆಯ ಮೌಲ್ಯ ನೀಡುತ್ತದೆ.
5081:修订	修订	修订	సవరించడం; పునఃసమీక్షించడం	సంపాదకుడు ఈ పాఠ్యపుస్తకాన్ని సవరిస్తున్నాడు.	ಪರಿಷ್ಕರಿಸುವುದು; ಮರುಸಂಶೋಧಿಸುವುದು	ಸಂಪಾದಕನು ಈ ಪಾಠಪುಸ್ತಕವನ್ನು ಪರಿಷ್ಕರಿಸುತ್ತಿದ್ದಾನೆ.
5083:袖子	袖子	袖子	చేతి భాగం; బట్ట స్లీవ్	ఈ కోటు చేతులు కొంచెం పొడవుగా ఉన్నాయి.	ತೋಳು ಭಾಗ; ಉಡುಪಿನ ತೋಳು	ಈ ಕೋಟಿನ ತೋಳುಗಳು ಸ್ವಲ್ಪ ಉದ್ದವಾಗಿವೆ.
5088:选修	选修	选修	ఐచ్చిక పాఠ్యంగా తీసుకోవడం	నేను వచ్చే సెమిస్టర్‌లో మనోవిజ్ఞానాన్ని ఐచ్చికంగా తీసుకోవాలనుకుంటున్నాను.	ಐಚ್ಛಿಕ ವಿಷಯವಾಗಿ ತೆಗೆದುಕೊಳ್ಳುವುದು	ನಾನು ಮುಂದಿನ ಸೆಮಿಸ್ಟರ್‌ನಲ್ಲಿ ಮನೋವಿಜ್ಞಾನವನ್ನು ಐಚ್ಛಿಕ ವಿಷಯವಾಗಿ ತೆಗೆದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೇನೆ.
5089:学会	学会	学会	సంఘం; పండితుల సంఘం	అతను స్థానిక భాషా సంఘంలో చేరాడు.	ಸಂಘ; ಪಂಡಿತರ ಸಂಘ	ಅವನು ಸ್ಥಳೀಯ ಭಾಷಾ ಸಂಘಕ್ಕೆ ಸೇರಿದ್ದಾನೆ.
5092:学员	学员	学员	శిక్షణార్థి; విద్యార్థి	శిక్షణ తరగతిలో ఇరవై మంది శిక్షణార్థులు ఉన్నారు.	ತರಬೇತಿ ಪಡೆಯುವವ; ವಿದ್ಯಾರ್ಥಿ	ತರಬೇತಿ ತರಗತಿಯಲ್ಲಿ ಇಪ್ಪತ್ತು ತರಬೇತಿ ವಿದ್ಯಾರ್ಥಿಗಳಿದ್ದಾರೆ.
5093:血管	血管	血管	రక్తనాళం	ఈ రక్తనాళానికి మరింత పరీక్ష అవసరమని వైద్యుడు చెప్పాడు.	ರಕ್ತನಾಳ	ಈ ರಕ್ತನಾಳಕ್ಕೆ ಇನ್ನಷ್ಟು ಪರೀಕ್ಷೆ ಬೇಕು ಎಂದು ವೈದ್ಯರು ಹೇಳಿದರು.
5094:血型	血型	血型	రక్త వర్గం	నమోదు చేసేటప్పుడు మీ రక్త వర్గాన్ని నమోదు చేయాలి.	ರಕ್ತ ಗುಂಪು	ನೋಂದಾಯಿಸುವಾಗ ನಿಮ್ಮ ರಕ್ತ ಗುಂಪನ್ನು ನಮೂದಿಸಬೇಕು.
5096:血液	血液	血液	రక్తం	వ్యాయామం రక్త ప్రసరణను మెరుగుపరుస్తుంది.	ರಕ್ತ	ವ್ಯಾಯಾಮ ರಕ್ತ ಸಂಚಾರವನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
5098:寻求	寻求	寻求	వెతకడం; కోరడం	వారు మరింత మంచి పరిష్కారాన్ని వెతుకుతున్నారు.	ಹುಡುಕುವುದು; ಕೋರುವುದು	ಅವರು ಉತ್ತಮ ಪರಿಹಾರವನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾರೆ.
5101:淹	淹	淹	ముంచివేయడం; నీటిలో ముంచడం	భారీ వర్షం తక్కువ ఎత్తులోని రహదారిని నీటిలో ముంచింది.	ಮುಳುಗಿಸುವುದು; ನೀರಿನಿಂದ ಆವರಿಸುವುದು	ಭಾರಿ ಮಳೆ ತಗ್ಗಿನ ರಸ್ತೆಯನ್ನು ನೀರಿನಿಂದ ಆವರಿಸಿತು.
5103:严	严	严	కఠినమైన; తీవ్రమైన	పాఠశాల పరీక్షా క్రమశిక్షణ విషయంలో చాలా కఠినంగా ఉంటుంది.	ಕಠಿಣ; ಗಂಭೀರ	ಶಾಲೆ ಪರೀಕ್ಷಾ ಶಿಸ್ತಿನ ವಿಷಯದಲ್ಲಿ ತುಂಬ ಕಠಿಣವಾಗಿದೆ.
5111:研讨	研讨	研讨	చర్చించి పరిశీలించడం	నిపుణులు కొత్త చికిత్స ప్రణాళికను చర్చించి పరిశీలిస్తున్నారు.	ಚರ್ಚಿಸಿ ಅಧ್ಯಯನ ಮಾಡುವುದು	ತಜ್ಞರು ಹೊಸ ಚಿಕಿತ್ಸಾ ಯೋಜನೆಯನ್ನು ಚರ್ಚಿಸಿ ಅಧ್ಯಯನ ಮಾಡುತ್ತಿದ್ದಾರೆ.
5113:言语	言语	言语	మాటలు; ప్రసంగం	అతని మాటలు చాలా నిజాయితీగా ఉన్నాయి.	ಮಾತುಗಳು; ಭಾಷಣ	ಅವನ ಮಾತುಗಳು ತುಂಬ ಪ್ರಾಮಾಣಿಕವಾಗಿದ್ದವು.
5114:炎症	炎症	炎症	వాపు; శోథం	ఈ ఔషధం వాపును తగ్గించగలదు.	ಉರಿಯೂತ	ಈ ಔಷಧಿ ಉರಿಯೂತವನ್ನು ಕಡಿಮೆ ಮಾಡಬಹುದು.
5116:眼看	眼看	眼看	కళ్లముందు; ఇంకాసేపట్లో	ఇంకాసేపట్లో చీకటి పడబోతోంది, కాబట్టి మనం తిరిగి వెళ్లాలి.	ಕಣ್ಣೆದುರು; ಬೇಗನೆ	ಇನ್ನೇನು ಕತ್ತಲೆ ಆಗಲಿದೆ, ಆದ್ದರಿಂದ ನಾವು ಹಿಂದಿರುಗಬೇಕು.
5120:仰	仰	仰	పైకి చూడడం; ముఖం పైకి తిప్పడం	బాలుడు తల పైకి ఎత్తి నక్షత్రాలను చూశాడు.	ಮೇಲಕ್ಕೆ ನೋಡುವುದು; ತಲೆ ಎತ್ತುವುದು	ಮಗು ತಲೆ ಎತ್ತಿ ನಕ್ಷತ್ರಗಳನ್ನು ನೋಡಿತು.
5122:养老	养老	养老	వృద్ధాప్య సంరక్షణ; పదవీవిరమణ జీవితం	వారు పదవీవిరమణ తర్వాత వృద్ధాప్య జీవితాన్ని ప్రణాళిక చేస్తున్నారు.	ವೃದ್ಧಾಪ್ಯ ಪಾಲನೆ; ನಿವೃತ್ತಿ ಜೀವನ	ಅವರು ನಿವೃತ್ತಿಯ ನಂತರದ ವೃದ್ಧಾಪ್ಯ ಜೀವನವನ್ನು ಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.
5123:养老院	养老院	养老院	వృద్ధాశ్రమం	ఈ వృద్ధాశ్రమం ఆసుపత్రికి చాలా దగ్గరగా ఉంది.	ವೃದ್ಧಾಶ್ರಮ	ಈ ವೃದ್ಧಾಶ್ರಮ ಆಸ್ಪತ್ರೆಗೆ ತುಂಬ ಹತ್ತಿರದಲ್ಲಿದೆ.
5125:样	样	样	రకం; వస్తువు	అతను మూడు రకాల తినుబండారాలు కొనుగోలు చేశాడు.	ವಿಧ; ವಸ್ತು	ಅವನು ಮೂರು ವಿಧದ ತಿಂಡಿಗಳನ್ನು ಖರೀದಿಸಿದನು.
5128:要么	要么	要么	లేకపోతే; లేదా	నువ్వు ఇప్పుడే వెళ్లవచ్చు, లేకపోతే రేపటి వరకు వేచి ఉండవచ్చు.	ಇಲ್ಲವೇ; ಅಥವಾ	ನೀನು ಈಗಲೇ ಹೋಗು, ಇಲ್ಲವೇ ನಾಳೆಯವರೆಗೆ ಕಾಯು.
5130:野	野	野	అడవి; సాగు చేయని	ఈ పర్వత ప్రాంతంలో చాలా అడవి పూలు ఉన్నాయి.	ಕಾಡು; ಬೆಳೆಸಲಾಗದ	ಈ ಪರ್ವತ ಪ್ರದೇಶದಲ್ಲಿ ಅನೇಕ ಕಾಡು ಹೂಗಳು ಇವೆ.
5131:也好	也好	也好	అయినా సరే; అయినా	నువ్వు వెళ్లినా వెళ్లకపోయినా నాకు చెప్పాలి.	ಹೋದರೂ ಸರಿ, ಹೋಗದಿದ್ದರೂ ಸರಿ	ನೀನು ಹೋದರೂ ಸರಿ, ಹೋಗದಿದ್ದರೂ ಸರಿ, ನನಗೆ ಹೇಳಬೇಕು.
5132:野生	野生	野生	అడవి; సహజంగా పెరిగే	ఇక్కడ అడవి జంతువులను పట్టుకోవడం నిషేధం.	ಕಾಡು; ಸ್ವಾಭಾವಿಕವಾಗಿ ಬೆಳೆಯುವ	ಇಲ್ಲಿ ಕಾಡು ಪ್ರಾಣಿಗಳನ್ನು ಹಿಡಿಯುವುದು ನಿಷೇಧಿಸಲಾಗಿದೆ.
5133:野外	野外	野外	బయట; బహిరంగ ప్రదేశం	విద్యార్థులు బహిరంగ ప్రదేశంలో మొక్కలను పరిశీలించారు.	ಹೊರಾಂಗಣ; ಕ್ಷೇತ್ರ	ವಿದ್ಯಾರ್ಥಿಗಳು ಹೊರಾಂಗಣದಲ್ಲಿ ಸಸ್ಯಗಳನ್ನು ಗಮನಿಸಿದರು.
5134:业	业	业	పరిశ్రమ; వృత్తి	సేవా పరిశ్రమకు మరింత మంది వృత్తిపర నిపుణులు అవసరం.	ಉದ್ಯಮ; ವೃತ್ತಿ	ಸೇವಾ ಉದ್ಯಮಕ್ಕೆ ಇನ್ನಷ್ಟು ವೃತ್ತಿಪರ ತಜ್ಞರು ಬೇಕು.
5139:衣食住行	衣食住行	衣食住行	జీవన మౌలిక అవసరాలు	ఈ నివేదిక నగర నివాసుల జీవన మౌలిక అవసరాలను విశ్లేషిస్తుంది.	ಜೀವನದ ಮೂಲಭೂತ ಅಗತ್ಯಗಳು	ಈ ವರದಿ ನಗರದ ನಿವಾಸಿಗಳ ಜೀವನದ ಮೂಲಭೂತ ಅಗತ್ಯಗಳನ್ನು ವಿಶ್ಲೇಷಿಸುತ್ತದೆ.
5140:医药	医药	医药	వైద్యం మరియు ఔషధాలు; ఔషధ రంగం	ఇటీవలి సంవత్సరాల్లో వైద్య మరియు ఔషధ ఖర్చులు కొంత పెరిగాయి.	ವೈದ್ಯಕೀಯ ಮತ್ತು ಔಷಧ; ಔಷಧ ಕ್ಷೇತ್ರ	ಇತ್ತೀಚಿನ ವರ್ಷಗಳಲ್ಲಿ ವೈದ್ಯಕೀಯ ಮತ್ತು ಔಷಧ ವೆಚ್ಚಗಳು ಸ್ವಲ್ಪ ಹೆಚ್ಚಿವೆ.
5141:一一	一一	一一	ఒక్కొక్కటిగా	గురువు ప్రశ్నలను ఒక్కొక్కటిగా స్పష్టంగా వివరించాడు.	ಒಂದೊಂದಾಗಿ	ಶಿಕ್ಷಕರು ಪ್ರಶ್ನೆಗಳನ್ನು ಒಂದೊಂದಾಗಿ ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸಿದರು.
5142:姨	姨	姨	అమ్మ సోదరి; పిన్ని	నా పిన్ని ఈరోజు ఇంటికి భోజనానికి వస్తుంది.	ತಾಯಿಯ ಸಹೋದರಿ; ಚಿಕ್ಕಮ್ಮ	ನನ್ನ ಚಿಕ್ಕಮ್ಮ ಇಂದು ಮನೆಗೆ ಊಟಕ್ಕೆ ಬರುತ್ತಾಳೆ.
5146:一带	一带	一带	ప్రాంతం; పరిసర ప్రాంతం	పాఠశాల పరిసర ప్రాంతంలో చాలా పుస్తక దుకాణాలు ఉన్నాయి.	ಪ್ರದೇಶ; ಸುತ್ತಮುತ್ತ	ಶಾಲೆಯ ಸುತ್ತಮುತ್ತ ಅನೇಕ ಪುಸ್ತಕ ಅಂಗಡಿಗಳಿವೆ.
5147:一道	一道	一道	కలిసి; ఒకటిగా	మనము కలిసి ప్రదర్శన చూడడానికి వెళ్దాం.	ಜೊತೆಯಲ್ಲಿ; ಒಟ್ಟಿಗೆ	ನಾವು ಜೊತೆಯಲ್ಲಿ ಪ್ರದರ್ಶನ ನೋಡಲು ಹೋಗೋಣ.
5155:一系列	一系列	一系列	శ్రేణి; వరుస	కంపెనీ కొత్త ఉత్పత్తుల శ్రేణిని విడుదల చేసింది.	ಸರಣಿ; ಸಾಲು	ಕಂಪನಿಯು ಹೊಸ ಉತ್ಪನ್ನಗಳ ಸರಣಿಯನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿತು.
5157:一阵	一阵	一阵	ఒక్కసారిగా వచ్చిన; కొద్దిసేపు	కిటికీ బయట నుంచి చల్లని గాలి ఒక్కసారిగా లోపలికి వచ్చింది.	ಒಂದು ಹೊಡೆತ; ಸ್ವಲ್ಪ ಹೊತ್ತು	ಕಿಟಕಿಯ ಹೊರಗಿನಿಂದ ತಂಪಾದ ಗಾಳಿ ಒಂದು ಹೊಡೆತವಾಗಿ ಒಳಬಂತು.
5158:遗址	遗址	遗址	పురావస్తు స్థలం; శిథిలాలు	ఈ పురాతన నగర శిథిల స్థలం అనేక పర్యాటకులను ఆకర్షిస్తోంది.	ಪುರಾತತ್ವ ಸ್ಥಳ; ಅವಶೇಷಗಳು	ಈ ಪ್ರಾಚೀನ ನಗರದ ಅವಶೇಷ ಸ್ಥಳ ಅನೇಕ ಪ್ರವಾಸಿಗರನ್ನು ಆಕರ್ಷಿಸುತ್ತದೆ.
5163:益处	益处	益处	ప్రయోజనం; లాభం	ప్రతిరోజూ వ్యాయామం చేయడం ఆరోగ్యానికి ఎన్నో ప్రయోజనాలు ఇస్తుంది.	ಲಾಭ; ಪ್ರಯೋಜನ	ಪ್ರತಿದಿನ ವ್ಯಾಯಾಮ ಮಾಡುವುದು ಆರೋಗ್ಯಕ್ಕೆ ಅನೇಕ ಲಾಭಗಳನ್ನು ನೀಡುತ್ತದೆ.
