source_headword	KO	example_KO
rebellion	반란	협상 후 반란이 끝났다.
recipient	수령인	수령인이 양식에 서명했다.
reconstruction	재건	홍수 이후 재건이 시작되었다.
recount1	자세히 이야기하다	그녀는 사건을 명확하게 이야기할 수 있다.
referendum	국민투표	국민투표는 나라를 분열시켰다.
reflection	성찰	그 에세이는 더 깊은 성찰이 필요했다.
reform	개혁	그 개혁은 공공 서비스를 향상시켰다.
refuge	피난처	그 가족은 해외로 피난처를 찾았다.
refusal	거절	그녀의 거절은 위원회를 놀라게 했다.
regain	되찾다	그는 신뢰를 되찾기 위해 열심히 노력했다.
regardless	개의치 않고	그들은 비판에 개의치 않고 계속했다.
regime	정권	그 정권은 언론의 자유를 제한했다.
regulator	규제 기관	규제 기관은 그 회사에 벌금을 부과했다.
regulatory	규제의	규제 기관의 승인에는 몇 달이 걸렸다.
rehabilitation	재활	재활 훈련이 그가 다시 걷는 데 도움이 되었다.
reign	통치	왕의 통치는 수십 년 동안 지속되었다.
rejection	거절	거절은 그녀의 자신감에 상처를 주었다.
relevance	관련성	그 데이터는 제한적인 관련성만 가지고 있다.
reliability	신뢰성	비상 시스템에서는 신뢰성이 중요하다.
reluctant	꺼리는	그는 말하기를 꺼렸다.
remainder	나머지	나머지는 자선 단체에 기부되었다.
remains	유해	유해가 주의 깊게 조사되었다.
remedy	구제책	법은 구제책을 제공한다.
reminder	상기시켜 주는 것	그 이메일은 유용한 알림이었다.
removal	철폐	장벽 철폐는 무역에 도움이 되었다.
render	만들다	그 실수로 인해 계약이 무효가 되었다.
renew	갱신하다	여권을 곧 갱신하세요.
renowned	유명한	그녀는 자신의 연구로 유명하다.
rental	대여	대여에는 보험이 포함되어 있다.
replacement	교체품	교체 부품이 오늘 도착했다.
reportedly	전하는 바에 따르면	전하는 바에 따르면 장관이 어제 사임했다고 한다.
representation	대표	공정한 대표성은 여전히 중요하다.
reproduce	번식하다	이 식물들은 빠르게 번식한다.
reproduction	복제	디지털 복제가 접근성을 향상시켰다.
republic	공화국	그 공화국은 선거를 치렀다.
resemble	닮다	두 디자인은 서로 매우 닮았다.
reside	거주하다	그들은 국경 근처에 거주한다.
residence	관저	그의 관저는 경비가 삼엄하다.
residential	주거의	그 지역은 대부분 주택지이다.
residue	찌꺼기	세제가 끈적이는 찌꺼기를 남겼다.
resignation	사임	그녀의 사임은 이사회에 충격을 주었다.
resistance	저항	변화에 대한 저항이 강했다.
respective	각자의	그들은 각자의 사무실로 돌아갔다.
respectively	각각	점수는 각각 80점과 90점이었다.
restoration	복원	그 건물의 복원에는 수년이 걸렸다.
restraint	자제	경찰은 자제력을 보였다.
resume	재개하다	수업은 다음 주에 재개된다.
retreat	후퇴	군대가 후퇴를 시작했다.
retrieve	되찾다	그녀는 파일을 되찾았다.
revelation	폭로	그 폭로는 그의 명성을 훼손했다.
revenge	복수	그는 그 모욕에 대해 복수하고 싶었다.
reverse	번복하다	법원은 그 결정을 번복했다.
revival	부흥	그 도시는 경제적 부흥을 겪었다.
revive	부활시키다	그 축제는 지역 전통을 되살리는 데 도움이 되었다.
revolutionary	혁명적인	그 발명은 혁명적이었다.
rhetoric	수사법	그의 말은 공격적으로 들렸다.
rifle	소총	그 소총은 안전하게 보관되었다.
riot	폭동	폭동은 몇 시간 동안 지속되었다.
rip	찢다	종이를 조심해서 찢으세요.
ritual	의식	그 의식은 추수를 기념한다.
robust	강력한	그 시스템은 강력하다.
rock	뒤흔들다	폭발이 마을을 뒤흔들었다.
rod	막대	커튼이 막대에 매달려 있다.
rotate	회전시키다	손잡이를 천천히 돌리세요.
rotation	윤작	윤작은 토양을 보호한다.
ruling	판결	법원은 판결을 내렸다.
rumour	소문	소문은 빠르게 퍼졌다.
sack	해고하다	이사회는 감독을 해고할지도 모른다.
sacred	신성한	그 사원은 신성하다.
sacrifice	희생	부모는 종종 희생을 한다.
saint	성인 (성직자)	그 교회는 지역 성인을 기린다.
sake	위함	그는 그녀를 위해 머물렀다.
sanction	제재	제재는 국제 무역에 영향을 미쳤다.
say	발언권	직원들은 일정 잡기에 발언권이 있었다.
scattered	흩어진	흩어진 종이들이 책상을 덮고 있었다.
sceptical	회의적인	그녀는 그 주장에 대해 여전히 회의적이었다.
scope	범위	프로젝트 범위가 확대되었다.
screw	나사	나사를 조심해서 조이세요.
scrutiny	정밀 조사	그 거래는 대중의 정밀 조사를 받았다.
seal	봉인하다	우편을 보내기 전에 봉투를 밀봉하세요.
secular	세속적인	그 학교는 세속적인 교육 과정을 따른다.
seemingly	겉보기에는	그 작업은 겉보기에는 간단했다.
segment	부분	마지막 부분이 더 짧았다.
seize	압수하다	경찰이 그 문서를 압수했다.
seldom	좀처럼 ~않는	그녀는 수업에 좀처럼 빠지지 않는다.
selective	선택적인	그 프로그램은 선발 과정이 매우 까다롭다.
senator	상원 의원	상원 의원은 그 법안을 지지했다.
sensation	돌풍	그 발견은 큰 돌풍을 일으켰다.
sensitivity	민감성	그 문제는 세심함이 필요하다.
sentiment	여론	대중의 여론이 빠르게 바뀌었다.
separation	분리	분리는 어려웠다.
serial	일련의	일련번호가 누락되었다.
settlement	합의	그 합의가 분쟁을 종식시켰다.
set-up	준비	준비하는 데 오전 내내 걸렸다.
sexuality	성 (섹슈얼리티)	이 강의는 정체성과 성에 대해 논의한다.
shareholder	주주	한 주주가 이사회에 질문을 던졌다.
shatter	산산조각 나다	그 소식은 그의 자신감을 산산조각 냈다.
shed	감원하다	그 회사는 일자리를 줄일 것이다.
sheer	순전한	그 엄청난 크기가 모두를 놀라게 했다.
shipping	배송	배송비가 증가했다.
shoot	촬영	사진 촬영이 일찍 끝났다.
shrink	줄어들다	그 셔츠는 줄어들 수 있다.
shrug	으쓱하다	그녀는 어깨를 가볍게 으쓱했다.
sigh	한숨 쉬다	그는 안도하며 한숨을 쉬었다.
simulate	시뮬레이션하다	그 소프트웨어는 교통을 시뮬레이션할 수 있다.
simulation	시뮬레이션	그 시뮬레이션은 홍수를 예측했다.
simultaneously	동시에	두 개의 알람이 동시에 울렸다.
sin	죄	교만은 죄로 여겨진다.
situated	위치한	그 호텔은 시내에 위치해 있다.
sketch	스케치	그녀는 스케치를 빨리 그렸다.
skip	건너뛰다	아침 식사를 건너뛰지 마세요.
slam	쾅 닫다	그는 문을 쾅 닫을 수 있다.
slap	찰싹 때리다	탁자를 찰싹 치지 마세요.
slavery	노예 제도	노예 제도는 그 지역의 역사를 형성했다.
slot	시간대	온라인으로 시간대를 예약하세요.
smash	박살 나다	유리가 바닥에 떨어져 박살 났다.
snap	뚝 부러지다	나뭇가지가 바람에 뚝 부러졌다.
soak	담그다	콩을 하룻밤 동안 물에 담가 두세요.
soar	치솟다	연료 가격이 치솟을 수 있다.
socialist	사회주의의	그 당은 사회주의 정책을 지지한다.
sole	유일한	그는 유일한 생존자였다.
solely	오로지	그 결정은 오로지 그의 것이었다.
solicitor	사무 변호사	사무 변호사가 계약서를 준비했다.
solidarity	연대	노동자들은 연대감을 표명했다.
solo	솔로의	그녀는 솔로 앨범을 발매했다.
sound	타당한	그 계획은 타당하고 실용적이다.
sovereignty	주권	그 조약은 국가 주권을 보호했다.
spam	스팸	스팸이 받은 편지함을 가득 채웠다.
span	가로지르다	그 다리는 강을 가로지른다.
spark	촉발하다	작은 발언이 논쟁을 촉발했다.
specialized	전문적인	그 병원은 전문적인 치료를 제공한다.
specification	사양	그 디자인은 모든 사양을 충족한다.
specimen	표본	그 표본은 안전하게 보관되었다.
spectacle	장관	그 퍼레이드는 생생한 장관이었다.
spectrum	스펙트럼	의견은 넓은 스펙트럼을 포괄한다.
spell	기간	건조한 기간이 몇 주 동안 지속되었다.
sphere	영역	정치가 문화 영역에 진입했다.
spin	회전하다	바퀴가 회전하기 시작했다.
spine	척추	그 부상은 그의 척추에 영향을 미쳤다.
spotlight	스포트라이트	그 스캔들은 그를 스포트라이트를 받게 했다.
spouse	배우자	그녀의 배우자가 행사에 참석했다.
spy	스파이	그 스파이는 암호화된 메시지를 보냈다.
squad	구조반	구조반이 빨리 도착했다.
squeeze	쥐어짜다	손잡이를 부드럽게 쥐세요.
stab	찌르다	그 보고서는 자상을 묘사했다.
stability	안정성	그 정책은 안정성을 가져왔다.
stabilize	안정시키다	그 약은 그를 안정시키는 데 도움을 주었다.
stake	지분	투자자들은 여기에 지분을 가지고 있다.
standing	지위	당 내에서 그녀의 지위가 상승했다.
stark	극명한	결과는 극명한 대조를 보였다.
statistical	통계적인	그 연구는 통계적인 방법을 사용했다.
steer	이끌다	그는 논쟁을 이끌려고 노력했다.
stem	줄기	폭풍우에 줄기가 부러졌다.
stereotype	고정 관념	그 영화는 고정 관념에 도전했다.
stimulus	자극	그 패키지는 경제적 자극을 제공했다.
stir	젓다	소스를 천천히 저으세요.
storage	보관	그 시설은 안전한 보관을 제공한다.
straightforward	간단명료한	설명서가 간단명료했다.
strain	부담	긴 지연은 부담을 주었다.
strand	가닥	머리카락 한 가닥이 떨어졌다.
strategic	전략적인	그 회사는 전략적인 투자를 했다.
strip (long narrow piece)	가늘고 긴 조각	가늘고 긴 종이 조각을 자르세요.
strip (remove clothes/a layer)	벗기다	오래된 페인트를 조심스럽게 벗겨내세요.
strive	분투하다	그들은 탁월함을 위해 분투한다.
structural	구조적인	그 다리는 구조적인 손상이 있다.
stumble	발을 헛디디다	그는 계단에서 발을 헛디뎠다.
stun	깜짝 놀라게 하다	그 소식은 사람들을 깜짝 놀라게 할 수 있다.
submission	제출	제출 기한이 지났다.
subscriber	구독자	각 구독자는 업데이트를 받습니다.
subscription	구독	구독은 자동으로 갱신됩니다.
subsidy	보조금	보조금이 연료비를 낮추었다.
substantial	상당한	그 프로젝트는 상당한 자금이 필요하다.
substantially	상당히	가격이 상당히 올랐다.
substitute	대체물	우유를 대체물로 사용하세요.
substitution	대체	대체가 레시피를 바꾸었다.
subtle	미묘한	그 그림에는 미묘한 디테일이 있다.
suburban	교외의	그들은 교외 지역으로 이사했다.
succession	연속	그 위기는 일련의 실패 뒤에 따랐다.
successive	연속적인	연속된 정부들이 그 문제를 무시했다.
successor	후임자	후임자는 월요일에 시작할 것이다.
suck	빨아들이다	그 기계는 먼지를 빨아들일 수 있다.
sue	고소하다	그녀는 그 회사를 고소하기로 결정했다.
suicide	자살	자살 예방에는 지속적인 자금이 필요하다.
suite	스위트룸	그 호텔 스위트룸은 강을 내려다보고 있었다.
summit	정상 회담	지도자들이 정상 회담에서 만났다.
superb	훌륭한	그 공연은 훌륭했다.
superior	우수한	새 모델이 더 우수하다.
supervise	감독하다	그녀는 연습생들을 감독할 것이다.
supervision	감독	아이들은 어른의 감독이 필요하다.
supervisor	상사	먼저 상사에게 물어보세요.
supplement	보충	그 보고서에는 보충 자료가 포함되어 있다.
supportive	협조적인	그녀의 가족은 협조적이었다.
supposedly	아마도	그 파일은 아마 삭제되었을 것이다.
suppress	진압하다	정권은 시위를 진압하려고 시도했다.
supreme	최고의	대법원이 그 사건을 심리했다.
surge	급증	갑작스러운 급증이 장비를 손상시켰다.
surgical	외과적인	그 환자는 외과적 치료가 필요하다.
surplus	잉여	그 창고에는 잉여분이 있다.
surrender	항복하다	군인들은 항복하기로 동의했다.
surveillance	감시	감시 카메라가 입구를 녹화했다.
suspension	정지	정지는 2주 동안 지속되었다.
suspicion	의심	그의 행동이 의심을 샀다.
suspicious	의심스러운	그 소포는 의심스러워 보였다.
sustain	유지하다	그 프로젝트는 지역 일자리를 유지할 수 있다.
swing	흔들리다	문이 흔들리기 시작했다.
sword	검	검이 벽에 걸려 있었다.
symbolic	상징적인	그 제스처는 상징적이었다.
syndrome	증후군	그 증후군은 기억력에 영향을 미친다.
synthesis	종합	그 장은 종합을 제공한다.
systematic	체계적인	그 검토는 체계적이었다.
tactic	전술	그 전술은 빨리 실패했다.
tactical	전술적인	그 팀은 전술적인 변화를 주었다.
taxpayer	납세자	납세자의 돈으로 그 다리에 자금을 조달했다.
tempt	유혹하다	그 제안은 투자자들을 유혹할 수 있다.
tenant	세입자	세입자가 집세를 일찍 냈다.
tender	다정한	그녀는 다정한 미소를 지었다.
tenure	재임 기간	그의 재임 기간은 6년 동안 지속되었다.
terminal	말기의	그 환자는 말기 질환을 앓고 있었다.
terminate	종료하다	회사는 계약을 종료할 수 있다.
terrain	지형	지형이 험난했다.
terrific	훌륭한	경치가 훌륭했다.
testify	증언하다	그녀는 증언하기로 동의했다.
testimony	증언	그의 증언은 상세했다.
texture	질감	그 직물은 거친 질감을 가지고 있다.
thankfully	다행히도	다행히도 아무도 다치지 않았다.
theatrical	연극의	그 연설은 연극처럼 들렸다.
theology	신학	그는 대학교에서 신학을 공부했다.
theoretical	이론적인	그 모델은 순전히 이론적이다.
thereafter	그 후	그 후에 규정이 변경되었다.
thereby	그렇게 함으로써	그 변화는 비용을 줄였고, 그렇게 함으로써 일자리를 구했다.
thoughtful	사려 깊은	그녀의 대답은 사려 깊었다.
thought-provoking	생각하게 만드는	그 기사는 시사하는 바가 많았다.
thread	실	실이 쉽게 끊어졌다.
threshold	기준치	투표가 기준치를 넘었다.
thrilled	아주 신이 난	그녀는 그 소식을 듣고 아주 신이 났다.
thrive	번창하다	소규모 비즈니스는 이곳에서 번창할 수 있다.
tide	조수	조수가 빠르게 밀려왔다.
tighten	조이다	뚜껑을 단단히 조이세요.
timber	목재	그 집은 지역 목재를 사용한다.
timely	시기적절한	그 경고는 시기적절했다.
tobacco	담배	담배 판매가 감소했다.
tolerance	관용	그 정책은 관용을 장려한다.
tolerate	용인하다	우리는 학대를 용인할 수 없다.
toll	피해	그 폭풍은 큰 피해를 입혔다.
top	능가하다	매출이 작년 기록을 능가할 수도 있다.
torture	고문	그 조약은 고문을 절대적으로 금지한다.
